"NetC","Comune di Barletta","","","","","","",""
"Stat","Via Casardi - C. Sportivo","","","","","","",""
,NO2,NOX,O3
03/01/2012 2.00,"40,298268","46,1288164","22,1156922"
03/01/2012 3.00,"31,94785656","37,1051324","28,8281091"
03/01/2012 4.00,"28,46382928","33,07025792","29,0570553"
03/01/2012 5.00,"27,8866156","34,0753772","31,4624268"
03/01/2012 6.00,"20,54258536","26,55100712","35,775537"
03/01/2012 7.00,"33,45355656","40,14068096","23,98235385"
03/01/2012 8.00,"59,2228616","106,03869784","9,26122691"
03/01/2012 9.00,"68,55173904","189,75448976","10,75279464"
03/01/2012 10.00,"75,16075824","182,17627776","16,38643724"
03/01/2012 11.00,"45,41590808","76,07664448","36,21258165"
03/01/2012 12.00,"30,54087312","49,29927568","46,15191105"
03/01/2012 13.00,"24,97393216","39,42997144","54,46164465"
03/01/2012 14.00,"27,28926856","44,69372656","46,0185852"
03/01/2012 15.00,"29,13712096","41,61083688","52,66163595"
03/01/2012 16.00,"46,89950536","60,06417984","44,9714496"
03/01/2012 17.00,"63,84573344","75,75628888","24,87998415"
03/01/2012 18.00,"81,4289252","99,10050872","11,66929365"
03/01/2012 19.00,"80,03750544","108,70136816","12,64100429"
03/01/2012 20.00,"80,94715856","177,71988376","9,79455824"
03/01/2012 21.00,"69,94639008","119,009094","11,14943256"
03/01/2012 22.00,"49,4537844","79,84561712","10,40734842"
03/01/2012 23.00,"33,89310624","49,33885408","13,44773042"
04/01/2012 0.00,"26,91138088","35,79260176","16,58912325"
04/01/2012 1.00,"24,98626456","32,12213536","18,5924823"
04/01/2012 2.00,"16,61250569","21,65946104","28,27726965"
04/01/2012 3.00,,,"33,39979125"
04/01/2012 4.00,"10,40992224","15,27576722","38,8772034"
04/01/2012 5.00,"10,54756712","15,21416066",
04/01/2012 6.00,"14,54323986","19,57912856","36,0509667"
04/01/2012 7.00,"21,40418992","27,04061296","30,96345735"
04/01/2012 8.00,"37,8985168","51,04697752","18,97699661"
04/01/2012 9.00,"44,2342156","72,28491904","19,45510235"
04/01/2012 10.00,"58,24829608","120,94092144","18,87530946"
04/01/2012 11.00,"67,77194896","146,9186536","20,03017905"
04/01/2012 12.00,"63,11854248","118,86058896","28,94998365"
04/01/2012 13.00,"47,04950176","72,62538888","48,6805137"
04/01/2012 14.00,"33,82947488","47,170952","63,4878426"
04/01/2012 15.00,"18,343489","26,30651968","64,43935785"
04/01/2012 16.00,"19,34531008","25,87723744","58,7875428"
04/01/2012 17.00,"36,46359904","43,97003456","40,0172661"
04/01/2012 18.00,"58,70082824","76,78800408","20,23825755"
04/01/2012 19.00,"58,40282392","78,66927824","16,73390439"
04/01/2012 20.00,"45,32044192","58,64140328","22,8665304"
04/01/2012 21.00,"41,74941864","53,83545744","26,13922815"
04/01/2012 22.00,"43,025258","54,89703808","26,31969585"
04/01/2012 23.00,"30,24414984","37,13821","34,69877565"
05/01/2012 0.00,"21,5730004","27,57367856","38,90818575"
05/01/2012 1.00,"18,23699825","23,79623576","40,89269205"
05/01/2012 2.00,"14,35949475","19,10962549","44,76674265"
