TARANTO - Carcere,,,
,SO2,NO2,PM10
06/01/2011 6.00,"0,650026","8,845648","14,40781"
06/01/2011 7.00,"0,650026","14,56342",
06/01/2011 8.00,"0,970525","19,448595","13,43101"
06/01/2011 9.00,"0,666276","17,734125",
06/01/2011 10.00,"1,348803","22,904841","18,55921"
06/01/2011 11.00,"2,076472","26,322121",
06/01/2011 12.00,"3,875779","19,71532","16,84981"
06/01/2011 13.00,"9,808168","26,729014",
06/01/2011 14.00,"9,700733","15,972912","20,757021"
06/01/2011 15.00,"10,363392","14,573805",
06/01/2011 16.00,"6,208649","11,038398","11,96581"
06/01/2011 17.00,"2,107167","14,128634",
06/01/2011 18.00,"2,501697","56,419793","13,43101"
06/01/2011 19.00,"3,136375","61,748844",
06/01/2011 20.00,"2,301273","45,731808","27,59462"
06/01/2011 21.00,"2,213699","46,461867",
06/01/2011 22.00,"2,608229","43,859635","30,036631"
06/01/2011 23.00,"0,816144","34,677846",
07/01/2011 0.00,"0,650026","26,135241","29,54822"
07/01/2011 1.00,"0,650026","14,144207",
07/01/2011 2.00,"0,650026","12,188315","23,44322"
07/01/2011 3.00,"0,650026","10,799583",
07/01/2011 4.00,"0,650026","8,364785","17,3382"
07/01/2011 5.00,"0,650026","12,215567",
07/01/2011 6.00,"0,650026","22,568044","19,53602"
07/01/2011 7.00,"0,805309","28,577842",
07/01/2011 8.00,"2,51253","44,923873","13,43101"
07/01/2011 9.00,"4,959155","54,94086",
07/01/2011 10.00,"2,040359","35,792696","24,17581"
07/01/2011 11.00,"1,211576","19,411618",
07/01/2011 12.00,"1,043652","13,27658","26,12941"
07/01/2011 13.00,"1,865214","6,601627",
07/01/2011 14.00,"1,950077","5,837827","14,16361"
07/01/2011 15.00,"1,578118","6,148671",
07/01/2011 16.00,"0,659054","9,196071","14,16361"
07/01/2011 17.00,"0,650026","6,796307",
07/01/2011 18.00,"1,073446","22,956752","16,11721"
07/01/2011 19.00,"1,756876","62,497083",
07/01/2011 20.00,"1,688262","53,152393","19,53602"
07/01/2011 21.00,"1,184492","47,357391",
07/01/2011 22.00,"0,884757","45,121172","25,39682"
07/01/2011 23.00,"0,781837","24,669293",
08/01/2011 0.00,"0,650026","12,933942","27,83882"
08/01/2011 1.00,,"10,318731",
08/01/2011 2.00,"0,650026",,"19,2918"
08/01/2011 3.00,"0,650026","7,478988",
08/01/2011 4.00,"0,650026","4,938404","14,40781"
08/01/2011 5.00,"0,650026","3,608085",
08/01/2011 6.00,"0,650026","6,015638","18,31501"
08/01/2011 7.00,"0,650026","4,051308",
08/01/2011 8.00,"0,650026","3,76902","17,094"
08/01/2011 9.00,"0,650026","16,455716",
08/01/2011 10.00,"0,749336","27,011952","18,80341"
08/01/2011 11.00,"0,673499","20,744531",
08/01/2011 12.00,"0,650026","10,775581","14,89621"
08/01/2011 13.00,"0,650026","6,335563",
08/01/2011 14.00,"0,650026","4,369287","11,96581"
08/01/2011 15.00,"0,650026","4,586031",
08/01/2011 16.00,"0,771003","11,418022","11,47741"
08/01/2011 17.00,"0,650026","6,234978",
08/01/2011 18.00,"0,650026","5,55684","13,91941"
08/01/2011 19.00,"0,650026","3,765776",
08/01/2011 20.00,"0,650026","24,56092","18,31501"
08/01/2011 21.00,"0,650026","43,505952",
08/01/2011 22.00,"1,820072","50,823347","23,44322"
08/01/2011 23.00,"0,650026","37,206084",
09/01/2011 0.00,"0,650026","9,756754","21,73382"
09/01/2011 1.00,"0,650026","4,217434",
09/01/2011 2.00,"0,650026","3,542542","13,67521"
09/01/2011 3.00,"0,799893","9,61204",
09/01/2011 4.00,"3,036162","25,324076","15,62881"
09/01/2011 5.00,"3,491181","25,989223",
09/01/2011 6.00,"6,772909","31,133345","21,001221"
09/01/2011 7.00,"6,008225","21,361666",
09/01/2011 8.00,"4,498721","23,609566","27,83882"
09/01/2011 9.00,"4,51768","25,281227",
09/01/2011 10.00,"3,25013","16,254549","24,42001"
09/01/2011 11.00,"3,248323","13,405072",
09/01/2011 12.00,"2,894421","12,007256","18,80341"
09/01/2011 13.00,"3,43972","18,890521",
09/01/2011 14.00,"3,25013","17,091019","21,97802"
09/01/2011 15.00,"2,674134","12,695779",
09/01/2011 16.00,"1,950077","14,036478","25,39682"
09/01/2011 17.00,"1,708124","10,152605",
09/01/2011 18.00,"2,69219","23,215675","28,327221"
09/01/2011 19.00,"1,644926","9,599712",
09/01/2011 20.00,"0,664471","5,397851","27,59462"
09/01/2011 21.00,"1,45353","44,481321",
09/01/2011 22.00,"1,959106","54,375635","23,93162"
09/01/2011 23.00,"2,181197","37,531201",
10/01/2011 0.00,"2,052999","37,235281","32,47863"
10/01/2011 1.00,,"36,150908",
10/01/2011 2.00,"2,197449",,"31,990231"
10/01/2011 3.00,"2,087305","30,611597",
10/01/2011 4.00,"1,950077","25,749764","38,58363"
10/01/2011 5.00,"1,583535","22,028113",
10/01/2011 6.00,"1,133934","22,780236","30,76923"
