"NetC","ARPA Puglia","","","","","","","","","","","","","","",""
"Stat","Caldarola","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,CH4
02/01/2011 3.00,"2,83010963","57,25822424","92,46388024",,"1,01536523","33,40000153","2,060442","1095,21811"
02/01/2011 4.00,"2,42555009","45,57865752","74,38926624","0,9488261","1,68751265","33,40000153","1,498041","1084,28278"
02/01/2011 5.00,"2,64047168","33,49936808","53,56116192","0,86521172",,"33,40000153","1,4426145","1060,25906"
02/01/2011 6.00,"2,79037544","26,88929728","42,38382024","0,76050618","9,33112173","33,40000153","1,10542815","1052,63123"
02/01/2011 7.00,"2,833721","37,15805656","64,58672904","0,83957822","4,40543481","33,40000153","1,10115675","1054,3918"
02/01/2011 8.00,"2,89151508","41,92775088","92,8244452","0,89230612","0,9868088","33,40000153","1,3704075","1061,09255"
02/01/2011 9.00,"2,91138217","40,20675968","74,39316672","0,97580167","8,29390727","33,40000153","1,6063515","1091,73813"
02/01/2011 10.00,"2,71993904","46,14063256","84,33185744","1,12588979","12,36803841","33,40000153","2,994048","1145,27357"
02/01/2011 11.00,"3,58323983","52,36134368","93,28879352","1,24098247","18,28737099","33,40000153","4,9573665","1155,1897"
02/01/2011 12.00,"3,20396595","46,22370896","85,39538832","1,1537729","30,06650535","33,40000153","4,875498","1097,10461"
02/01/2011 13.00,"3,5724037","30,27934976","60,78269032","0,97197115","40,4221713","33,40000153","2,2887585","1052,61506"
02/01/2011 14.00,"3,13533473","27,2929396","58,20822056","0,92165247","45,13079025","33,40000153","1,6073685","1036,24955"
02/01/2011 15.00,"3,41346897","16,27790569","29,58397448","0,78578435","53,08529415","33,40000153","1,2066705","1027,33645"
02/01/2011 16.00,"3,05406219","23,02942816","35,65769104","0,76406059","45,66269715","33,40000153","0,9246564","1021,44469"
02/01/2011 17.00,"2,90054604","37,75507856","55,554594","0,77417163","36,78243345","33,40000153","0,9449964","1017,23755"
02/01/2011 18.00,"2,91499456","57,52946056","89,7298732","0,97998868","21,2368947","33,40000153","1,2341295","1036,37548"
02/01/2011 19.00,"2,9059636","76,0721704","125,55880296","1,12304602","7,93423869","33,40000153","2,146887","1050,22729"
02/01/2011 20.00,"2,0101544","68,88196056","108,35573592","1,08354903","11,38780913","33,40000153","2,266893","1101,7601"
02/01/2011 21.00,"2,1347725","80,76787032","129,22923112","1,11099876","4,76687495","33,40000153","2,2023135","1151,02519"
02/01/2011 22.00,"2,16728192","68,31478488","103,39222216","1,05641501","6,1396943","33,40000153","2,056374","1166,30486"
02/01/2011 23.00,"1,89276006","61,36338384","91,2356688","0,96956077","7,91777396","33,40000153","1,90179","1146,71809"
03/01/2011 0.00,"2,082397","52,71045576","79,86119992","0,90889456","12,3958926","33,40000153","1,7741565","1126,83291"
03/01/2011 1.00,"2,02640911","46,71298976","67,6501928","0,84376523","16,94747712","24,70000076","1,405494","1085,42497"
03/01/2011 2.00,"1,76633475","27,18001688","39,2334752","0,844159","21,42432495","24,70000076","1,4700735","1087,25855"
03/01/2011 3.00,"1,72840777","19,68352376","29,12614608","0,81690732","22,6667112","24,70000076","1,5097365","1100,32538"
