MANDURIA,,,,
,NO2,CO,O3,PM10
16/02/2011 14.00,"20,707534","0,370731","59,529602",
16/02/2011 15.00,"10,046828","0,20777","60,742204",
16/02/2011 16.00,"9,976743","0,212908","59,791625",
16/02/2011 17.00,"9,805424","0,213291","52,318937",
16/02/2011 18.00,"14,437523","0,210742","23,495234",
16/02/2011 19.00,"12,813883","0,195877","35,844087",
16/02/2011 20.00,"10,912503","0,227816","49,081251",
16/02/2011 21.00,"9,040978","0,242427","63,013074",
16/02/2011 22.00,"7,161658","0,214098","61,122712",
16/02/2011 23.00,"4,341381","0,232828","60,479522",
17/02/2011 0.00,"1,008446","0,228793","70,640796",
17/02/2011 1.00,"0,751468","0,169715","67,316448",
17/02/2011 2.00,,"0,203012","70,33544",
17/02/2011 3.00,"0,807277",,"64,900704",
17/02/2011 4.00,"0,947448","0,201833",,
17/02/2011 5.00,"1,714488","0,179154","66,499914",
17/02/2011 6.00,"5,236914","0,192615","62,413194",
17/02/2011 7.00,"15,065695","0,277026","52,411703",
17/02/2011 8.00,"29,133315","0,320196","43,651257",
17/02/2011 9.00,"43,894032","0,758285","40,081126",
17/02/2011 10.00,"15,54072","0,323712","65,501934",
17/02/2011 11.00,"12,293443","0,203761","58,699525",
17/02/2011 12.00,"13,610776","0,216623","61,229025",
17/02/2011 13.00,"15,978099","0,167537","58,507247",
17/02/2011 14.00,"14,5167","0,212636","61,747645",
17/02/2011 15.00,"8,176595","0,15982","69,313762",
17/02/2011 16.00,"9,640594","0,241488","69,212872",
17/02/2011 17.00,"11,898886","0,305235","67,759917",
17/02/2011 18.00,"15,753564","0,393289","63,70841",
17/02/2011 19.00,"17,057932","0,311451","61,704312",
17/02/2011 20.00,"17,553717","0,355949","59,321745",
17/02/2011 21.00,"14,625712","0,27484","62,501215",
17/02/2011 22.00,"8,860573","0,185156","64,176239",
17/02/2011 23.00,"5,416021","0,124564","65,547284",
18/02/2011 0.00,"2,098659","0,128954","73,057202",
18/02/2011 1.00,"0,328361","0,09732","79,095224",
18/02/2011 2.00,,"0,094015","78,49467",
18/02/2011 3.00,"2,173936",,"65,485017",
18/02/2011 4.00,"3,920871","0,167516",,
18/02/2011 5.00,"4,799533","0,129103","49,829395",
18/02/2011 6.00,"2,119425","0,168361","71,784346",
18/02/2011 7.00,"8,122084","0,291337","68,089649",
18/02/2011 8.00,"16,425863","0,383503","57,360299",
18/02/2011 9.00,"26,855569","0,660133","51,66693",
18/02/2011 10.00,"16,506333","0,475207","61,296056",
18/02/2011 11.00,"15,798993","0,413254","54,979787",
18/02/2011 12.00,"16,758117","0,432524","58,033991",
18/02/2011 13.00,"19,440815","0,438484","53,184226",
18/02/2011 14.00,"17,741907","0,425088","54,624997",
18/02/2011 15.00,"12,926802","0,396773","59,667059",
18/02/2011 16.00,"12,333671","0,41786","58,272993",
18/02/2011 17.00,"16,197435","0,546159","57,592539",
18/02/2011 18.00,"38,668785","0,849075","36,859003",
18/02/2011 19.00,"61,800753","1,340804","14,873603",
18/02/2011 20.00,"52,169243","1,351664","16,635979",
18/02/2011 21.00,"50,973918","1,018323","16,278498",
18/02/2011 22.00,"31,895197","0,86619","25,30095",
18/02/2011 23.00,"19,606947","0,590785","38,276768",
19/02/2011 0.00,"8,930657","0,312508","43,156319",
19/02/2011 1.00,"3,121382","0,289687","55,056293",
19/02/2011 2.00,,"0,169967","67,981301",
19/02/2011 3.00,"2,308914",,"64,627166",
19/02/2011 4.00,"3,345916","0,177297",,
19/02/2011 5.00,"4,120742","0,186389","57,77873",
19/02/2011 6.00,"5,060404","0,236339","55,780739",
19/02/2011 7.00,"9,832679","0,28522","50,344644",
19/02/2011 8.00,"13,099418","0,380079","46,582231",
19/02/2011 9.00,"22,013199","0,558017","44,198306",
19/02/2011 10.00,"12,114336","0,402962","53,63717",
19/02/2011 11.00,"13,972882","0,407572","54,597924",
19/02/2011 12.00,"17,01769","0,450222","56,389412",
19/02/2011 13.00,"16,249352","0,445098","61,630518",
19/02/2011 14.00,"17,143587","0,479337","65,082826",
19/02/2011 15.00,"9,05136","0,351733","71,884559",
19/02/2011 16.00,"10,811271","0,440702","70,535842",
19/02/2011 17.00,"14,250634","0,491034","66,617037",
19/02/2011 18.00,"24,249437","0,680967","57,111164",
19/02/2011 19.00,"30,843923","0,796149","49,845655",
19/02/2011 20.00,"38,628556","1,141734","43,604537",
19/02/2011 21.00,"29,969146","0,874957","42,265311",
19/02/2011 22.00,"20,405131","0,588284","47,905198",
19/02/2011 23.00,"14,841162","0,563566","53,501094",
20/02/2011 0.00,"14,546545","0,494791","50,656759",
20/02/2011 1.00,"9,138318","0,336023","54,092172",
20/02/2011 2.00,,"0,418501","49,326334",
20/02/2011 3.00,"13,221418",,"55,472011",
20/02/2011 4.00,"13,281116","0,415599",,
20/02/2011 5.00,"7,994892","0,343239","59,121346",
20/02/2011 6.00,"7,586063","0,331832","54,874171",
20/02/2011 7.00,"11,32782","0,409852","51,030506",
20/02/2011 8.00,"13,04101","0,446074","49,758992",
20/02/2011 9.00,"13,082542","0,524308","52,160513",
20/02/2011 10.00,"15,225332","0,598754","54,279021",
20/02/2011 11.00,"19,989806","0,574066","56,081365",
20/02/2011 12.00,"30,468829","0,682308","52,071814",
20/02/2011 13.00,"40,746687","0,824133","50,371056",
20/02/2011 14.00,"20,778926","0,551933","65,478913",
20/02/2011 15.00,"15,762649","0,458248","68,895354",
20/02/2011 16.00,"25,076167","0,498685","61,788943",
20/02/2011 17.00,"38,418293","0,810469","49,484777",
20/02/2011 18.00,"41,274915","0,808511","42,66072",
20/02/2011 19.00,"35,062006","0,813619","41,414922",
20/02/2011 20.00,"36,88162","0,870486","34,276715",
20/02/2011 21.00,"35,805679","0,841584","37,584822",
20/02/2011 22.00,"31,679756","0,766287","35,300429",
20/02/2011 23.00,"25,658924","0,64068","36,415535",
21/02/2011 0.00,"12,597141","0,372396","53,783425",
21/02/2011 1.00,"7,910531","0,311273","59,944642",
21/02/2011 2.00,,"0,280584","62,849901",
21/02/2011 3.00,"2,646363",,"62,470751",
21/02/2011 4.00,"3,43417","0,266776",,
21/02/2011 5.00,"4,234958","0,27396","60,788927",
21/02/2011 6.00,"8,713915","0,231403","75,520367",
21/02/2011 7.00,"15,051413","0,277658","73,979368",
21/02/2011 8.00,"19,044969","0,341642","70,810073",
21/02/2011 9.00,"46,738955","0,846154","42,42238",
21/02/2011 10.00,"25,935361","0,426542","59,690062",
21/02/2011 11.00,"20,117012","0,466038","66,937294",
21/02/2011 12.00,"14,466075","0,420037","72,663848",
21/02/2011 13.00,"21,465488","0,412853","69,016548",
21/02/2011 14.00,"16,993034","0,444144","72,999661",
21/02/2011 15.00,"13,923569","0,393085","78,653772",
21/02/2011 16.00,"14,525783","0,451328","74,58397",
21/02/2011 17.00,"11,878126","0,522368","73,850053",
21/02/2011 18.00,"38,588328","0,927186","38,304519",
21/02/2011 19.00,"48,485891","1,237198","28,406606",
21/02/2011 20.00,"46,620848","1,127129","25,156072",
21/02/2011 21.00,"44,692215","1,243276","25,072781",
21/02/2011 22.00,"28,415588","0,876255","37,740533",
21/02/2011 23.00,"17,008608","0,804364","44,869285",
22/02/2011 0.00,"11,570528","0,676864","43,662748",
22/02/2011 1.00,"8,781401","0,599191","42,746705",
22/02/2011 2.00,,"0,514503","43,185425",
22/02/2011 3.00,"8,356998",,"43,374332",
22/02/2011 4.00,"7,880681","0,317161",,
22/02/2011 5.00,"7,373211","0,323314","40,718228",
22/02/2011 6.00,"18,157222","0,341137","33,342377",
22/02/2011 7.00,"23,060575","0,436871","25,612408",
22/02/2011 8.00,"23,796465","0,557264","30,349097",
22/02/2011 9.00,"26,502538","0,869595","36,42501",
22/02/2011 10.00,"20,132575","0,588292","43,870609",
22/02/2011 11.00,"18,017055","0,519483","53,976381",
22/02/2011 12.00,"28,239091","0,609661","50,171997",
22/02/2011 13.00,"36,184656","0,6777","46,543628",
22/02/2011 14.00,"45,738288","0,89293","40,02764",
22/02/2011 15.00,"28,737473","0,641074","53,024448",
22/02/2011 16.00,"43,088045","0,976825","43,985719",
22/02/2011 17.00,"52,074505","1,125127","33,73505",
22/02/2011 18.00,"55,887663","1,254923","29,259028",
22/02/2011 19.00,"57,860426","1,309372","26,453301",
22/02/2011 20.00,"51,755238","1,129999","27,852793",
22/02/2011 21.00,"44,147105","1,064055","30,666641",
22/02/2011 22.00,"35,877073","1,061704","35,383701",
22/02/2011 23.00,"25,229336","0,92678","38,25307",
23/02/2011 0.00,"12,285651","0,669751","49,449587",
23/02/2011 1.00,"7,628891","0,544572","51,373765",
23/02/2011 2.00,,"0,453239","51,62631",
23/02/2011 3.00,"10,382978",,"55,332521",
23/02/2011 4.00,"11,809334","0,412281",,
23/02/2011 5.00,"8,234997","0,421441","56,132119",
23/02/2011 6.00,"14,289563","0,443581","45,540245",
23/02/2011 7.00,"33,106109","0,645712","28,541349",
23/02/2011 8.00,"37,670718","0,798308","28,46891",
23/02/2011 9.00,"42,504006","1,110116","32,198819",
23/02/2011 10.00,"32,919208","0,709923","47,228812",
23/02/2011 11.00,"34,156081","0,772777","50,421151",
23/02/2011 12.00,"35,351427","0,813237","51,580268",
23/02/2011 13.00,"33,890028","0,803397","53,461809",
23/02/2011 14.00,"29,250139","0,655934","57,815978",
23/02/2011 15.00,"21,539464","0,642234","61,262879",
23/02/2011 16.00,"23,67706","0,691941","58,021803",
23/02/2011 17.00,"30,867289","0,828336","50,968219",
23/02/2011 18.00,"31,464293","0,949929","47,16587",
23/02/2011 19.00,"30,673889","0,791693","49,501037",
23/02/2011 20.00,"28,527211","0,760096","50,993257",
23/02/2011 21.00,"20,694551","0,642363","59,853912",
23/02/2011 22.00,"11,787269","0,528658","69,358449",
23/02/2011 23.00,"7,186319","0,417837","72,712584",
24/02/2011 0.00,"4,987721","0,380133","73,420108",
24/02/2011 1.00,"2,900745","0,365798","72,381512",
24/02/2011 2.00,,"0,334032","71,696332",
24/02/2011 3.00,"7,243425",,"71,826324",
24/02/2011 4.00,"8,171402","0,356677",,
24/02/2011 5.00,"7,493913","0,35984","69,65704",
24/02/2011 6.00,"8,460829","0,396508","68,794464",
24/02/2011 7.00,"14,200011","0,409542","64,21891",
24/02/2011 8.00,"18,107909","0,511767","60,913516",
24/02/2011 9.00,"28,12747","0,781818","52,887671",
24/02/2011 10.00,"20,380466","0,614421","57,81462",
24/02/2011 11.00,"28,309186","0,748056","52,471973",
24/02/2011 12.00,"27,778339","0,75327","51,836865",
24/02/2011 13.00,"22,593338","0,611129","55,987918",
24/02/2011 14.00,"16,607562","0,598735","59,986617",
24/02/2011 15.00,"14,632201","0,6163","63,523574",
24/02/2011 16.00,"17,348653","0,736175","62,658962",
24/02/2011 17.00,"18,995645","0,707542","60,875609",
24/02/2011 18.00,"24,588185","0,870624","59,21477",
24/02/2011 19.00,"26,401297","0,842162","58,870156",
24/02/2011 20.00,"26,359769","0,82511","58,056335",
24/02/2011 21.00,"21,950907","0,770278","59,728665",
24/02/2011 22.00,"14,977443","0,617582","64,280516",
24/02/2011 23.00,"11,121463","0,602454","66,660393",
25/02/2011 0.00,"8,58153","0,516383","64,929806",
25/02/2011 1.00,"5,142169","0,487493","67,073397",
25/02/2011 2.00,,"0,473561","67,628563",
25/02/2011 3.00,"10,20386",,"68,675963",
25/02/2011 4.00,"10,036445","0,420827",,
25/02/2011 5.00,"9,300551","0,441662","64,711116",
25/02/2011 6.00,"15,185102","0,479552","62,61088",
25/02/2011 7.00,"18,009273","0,567703","57,527539",
25/02/2011 8.00,"21,461587","0,621917","54,518023",
25/02/2011 9.00,"31,581116","0,891485","45,94038",
25/02/2011 10.00,"24,612831","0,655597","53,681858",
25/02/2011 11.00,"21,509616","0,601555","59,946001",
25/02/2011 12.00,"25,218936","0,645975","56,886366",
25/02/2011 13.00,"25,305911","0,622176","57,149748",
25/02/2011 14.00,"26,17937","0,709596","59,676534",
25/02/2011 15.00,"15,741889","0,573932","70,174306",
25/02/2011 16.00,"16,428458","0,619212","71,014539",
25/02/2011 17.00,"21,494053","0,725105","67,390923",
25/02/2011 18.00,"30,868569","0,876922","60,063127",
25/02/2011 19.00,"35,862788","0,974267","56,967625",
25/02/2011 20.00,"26,533684","0,760289","64,741602",
25/02/2011 21.00,"24,834776","0,743663","62,847188",
25/02/2011 22.00,"18,367485","0,647693","63,428773",
25/02/2011 23.00,"13,992352","0,588624","61,208716",
26/02/2011 0.00,"9,993615","0,524142","59,587159",
26/02/2011 1.00,"7,500403","0,433628","60,09291",
26/02/2011 2.00,,"0,446086","54,355531",
26/02/2011 3.00,"13,247378",,"52,261399",
26/02/2011 4.00,"12,219462","0,371243",,
26/02/2011 5.00,"8,790489","0,364157","57,051575",
26/02/2011 6.00,"18,42588","0,459998","46,672288",
26/02/2011 7.00,"24,881487","0,511655","38,684346",
26/02/2011 8.00,"36,088616","0,698428","29,799993",
26/02/2011 9.00,"49,238645","1,333888","29,366001",
26/02/2011 10.00,"42,215868","1,00952","35,939566",
26/02/2011 11.00,"42,075701","1,077826","36,559073",
26/02/2011 12.00,"39,761607","0,957564","39,950453",
26/02/2011 13.00,"30,842625","0,846225","52,215353",
26/02/2011 14.00,"28,728391","0,829918","53,576223",
26/02/2011 15.00,"19,294144","0,660561","58,065814",
26/02/2011 16.00,"31,712202","0,825094","46,030437",
26/02/2011 17.00,"48,925861","1,02096","29,646299",
26/02/2011 18.00,"58,728705","1,309852","22,138414",
26/02/2011 19.00,"54,822104","1,317537","20,924458",
26/02/2011 20.00,"43,50337","1,139472","27,93403",
26/02/2011 21.00,"44,420958","1,041196","26,757978",
26/02/2011 22.00,"41,535789","1,218621","23,858145",
26/02/2011 23.00,"34,213194","1,136484","24,495926",
27/02/2011 0.00,"23,211126","0,948513","27,278633",
27/02/2011 1.00,"20,873666","0,898907","23,163487",
27/02/2011 2.00,,"0,658939","31,88399",
27/02/2011 3.00,"15,111122",,"34,108116",
27/02/2011 4.00,"13,442056","0,50843",,
27/02/2011 5.00,"10,793095","0,471227","38,299112",
27/02/2011 6.00,"9,791147","0,433261","40,817082",
27/02/2011 7.00,"13,445952","0,482541","39,964676",
27/02/2011 8.00,"17,664031","0,640209","36,817029",
27/02/2011 9.00,"23,909388","0,652117","39,557079",
27/02/2011 10.00,"28,473999","0,768218","51,479378",
27/02/2011 11.00,"34,244338","0,812581","50,419115",
27/02/2011 12.00,"47,005029","1,0022","45,454937",
27/02/2011 13.00,"44,092592","0,861989","52,662216",
27/02/2011 14.00,"22,628386","0,571947","70,446482",
27/02/2011 15.00,"17,930094","0,58504","76,041696",
27/02/2011 16.00,"19,638095","0,495125","74,097176",
27/02/2011 17.00,"27,327986","0,613769","66,137023",
27/02/2011 18.00,"35,639546","0,809617","53,670347",
27/02/2011 19.00,"74,31743","1,824738","24,31923",
27/02/2011 20.00,"69,636012","1,772832","22,599499",
27/02/2011 21.00,"81,114401","2,145628","13,940611",
27/02/2011 22.00,"67,166168","1,619486","7,916158",
27/02/2011 23.00,"67,633402","2,298382","10,583088",
28/02/2011 0.00,"54,071932","1,890882","7,983188",
28/02/2011 1.00,"36,06137","1,198132","16,098399",
28/02/2011 2.00,,"0,906269","21,612353",
28/02/2011 3.00,"16,633522",,"19,439675",
28/02/2011 4.00,"15,195478","0,687199",,
28/02/2011 5.00,"13,499159","0,496013","33,409386",
28/02/2011 6.00,"23,565457","0,554118","16,866857",
28/02/2011 7.00,"39,755105","0,894056","5,643953",
28/02/2011 8.00,"44,770071","0,971429","12,695508",
28/02/2011 9.00,"29,980847","0,695463","53,751603",
28/02/2011 10.00,"17,013796","0,391921","63,832299",
28/02/2011 11.00,"18,360995","0,410247","66,545279",
28/02/2011 12.00,"14,358357","0,338825","67,459971",
28/02/2011 13.00,"19,03848","0,382073","63,224302",
28/02/2011 14.00,"19,717251","0,400142","57,92632",
28/02/2011 15.00,"13,783403","0,3664","67,469461",
28/02/2011 16.00,"12,215567","0,457433","66,097739",
28/02/2011 17.00,"15,3058","0,539431","64,386132",
28/02/2011 18.00,"32,702464","0,972458","46,869311",
28/02/2011 19.00,"37,979621","1,189805","40,0432",
28/02/2011 20.00,"33,355316","0,921783","43,913938",
28/02/2011 21.00,"35,925084","1,053494","41,158325",
28/02/2011 22.00,"30,176809","1,033004","36,731043",
28/02/2011 23.00,"15,455053","0,758663","46,341874",
01/03/2011 0.00,"7,127913","0,418553","58,170071",
01/03/2011 1.00,"2,303723","0,315189","63,459933",
01/03/2011 2.00,,"0,231008","70,822264",
01/03/2011 3.00,"0,838425",,"73,630001",
01/03/2011 4.00,"1,309554","0,276023",,
01/03/2011 5.00,"1,344595","0,235601","74,31722",
01/03/2011 6.00,"6,999425","0,262761","69,472886",
01/03/2011 7.00,"10,007891","0,312747","64,2399",
01/03/2011 8.00,"13,160418","0,401154","59,433464",
01/03/2011 9.00,"29,765384","0,700469","47,960719",
01/03/2011 10.00,"23,853577","0,584986","43,751447",
01/03/2011 11.00,"19,120247","0,384027","31,510924",
01/03/2011 12.00,"18,603695","0,363497","14,778807",
01/03/2011 13.00,"19,409667","0,441279","31,011257",
01/03/2011 14.00,"20,228615","0,537764","42,001255",
01/03/2011 15.00,"14,777567","0,347726","20,981336",
01/03/2011 16.00,"15,234416","0,381858","24,347658",
01/03/2011 17.00,"17,391485","0,435838","27,3152",
01/03/2011 18.00,"21,169588","0,547412","33,881305",
01/03/2011 19.00,"19,203304","0,4922","26,648293",
01/03/2011 20.00,"17,699083","0,466484","34,001822",
01/03/2011 21.00,"14,781464","0,349427","19,498575",
01/03/2011 22.00,"12,388182","0,22778","18,571687",
01/03/2011 23.00,"7,242126","0,288647","57,516048",
02/03/2011 0.00,"4,7567","0,329153","67,115353",
02/03/2011 1.00,"1,519809","0,275682","67,491805",
02/03/2011 2.00,,"0,329068","59,073268",
02/03/2011 3.00,"7,920913",,"40,824525",
02/03/2011 4.00,"8,71002","0,544091",,
02/03/2011 5.00,"7,618509","0,474701","38,412848",
02/03/2011 6.00,"14,820401","0,297821","52,209949",
02/03/2011 7.00,"27,144989","0,454225","45,603886",
02/03/2011 8.00,"36,213222","0,537279","43,345904",
02/03/2011 9.00,"37,682403","0,727398","48,12796",
02/03/2011 10.00,"21,953487","0,414378","68,436299",
02/03/2011 11.00,"15,526437","0,340009","74,323986",
02/03/2011 12.00,"14,699691","0,289193","73,908965",
02/03/2011 13.00,"16,525801","0,210212","66,77008",
02/03/2011 14.00,"13,884632","0,26615","67,132286",
02/03/2011 15.00,"9,042276","0,17837","68,474229",
02/03/2011 16.00,"6,534785","0,196803","78,804753",
02/03/2011 17.00,"9,040978","0,262744","83,669422",
02/03/2011 18.00,"24,183243","0,494752","71,231197",
02/03/2011 19.00,"31,983458","0,604328","61,584472",
02/03/2011 20.00,"31,805642","0,480064","63,004277",
02/03/2011 21.00,"24,645277","0,421913","65,673905",
02/03/2011 22.00,"17,243527","0,445412","67,373328",
02/03/2011 23.00,"8,722999","0,386411","66,451177",
03/03/2011 0.00,"9,561422","0,408504","52,821994",
03/03/2011 1.00,"4,656766","0,350268","51,204508",
03/03/2011 2.00,,"0,288116","53,208606",
03/03/2011 3.00,"4,536063",,"57,53566",
03/03/2011 4.00,"3,523722","0,200522",,
03/03/2011 5.00,"2,350446","0,153924","68,947477",
03/03/2011 6.00,"6,637317","0,218209","64,617014",
03/03/2011 7.00,"17,596553","0,354036","56,048188",
03/03/2011 8.00,"28,006765","0,433136","46,386562",
03/03/2011 9.00,"30,091152","0,511343","61,469381",
03/03/2011 10.00,"20,223434","0,300464","69,760624",
03/03/2011 11.00,"13,212334","0,168303","77,095178",
03/03/2011 12.00,"11,918354","0,205935","83,249637",
03/03/2011 13.00,"18,546591","0,225369","79,120284",
03/03/2011 14.00,"17,229246","0,277151","83,121677",
03/03/2011 15.00,"9,422552","0,211902","85,139318",
03/03/2011 16.00,"9,656167","0,219701","86,148127",
03/03/2011 17.00,"10,930668","0,243952","84,05468",
03/03/2011 18.00,"28,698545","0,48232","62,090247",
03/03/2011 19.00,"55,860399","1,183315","30,64362",
03/03/2011 20.00,"64,927352","1,181654","22,698351",
03/03/2011 21.00,"65,530854","1,12416","17,533755",
03/03/2011 22.00,"66,222618","2,681671","17,755153",
03/03/2011 23.00,"43,452741","1,307082","8,32307",
04/03/2011 0.00,"30,053523","1,051538","10,520798",
04/03/2011 1.00,"17,47455","0,654116","19,722006",
04/03/2011 2.00,,"0,569773","22,704436",
04/03/2011 3.00,"17,274673",,"19,654307",
04/03/2011 4.00,"15,956036","0,524374",,
04/03/2011 5.00,"16,342799","0,579465","20,814772",
04/03/2011 6.00,"25,770547","0,621114","14,570281",
04/03/2011 7.00,"36,333907","0,662806","9,790931",
04/03/2011 8.00,"45,683797","0,946032","9,113196",
04/03/2011 9.00,"56,485983","1,491571","8,836958",
04/03/2011 10.00,"46,807745","1,21415","14,984637",
04/03/2011 11.00,"43,775907","1,020625","23,533837",
04/03/2011 12.00,"30,510357","0,709533","44,660069",
04/03/2011 13.00,"43,141256","0,716319","38,900346",
04/03/2011 14.00,"43,579929","0,797356","40,48601",
04/03/2011 15.00,"37,015306","0,682223","41,42372",
04/03/2011 16.00,"38,859562","0,814383","38,706013",
04/03/2011 17.00,"48,963508","1,122914","31,474378",
04/03/2011 18.00,"65,608707","1,40537","17,70709",
04/03/2011 19.00,"71,654208","1,689833","12,412493",
04/03/2011 20.00,"66,009773","1,562069","10,370491",
04/03/2011 21.00,"51,446335","1,141776","14,732768",
04/03/2011 22.00,"43,316473","1,229982","17,739588",
04/03/2011 23.00,"35,884855","1,124323","19,105209",
05/03/2011 0.00,"25,552502","0,947227","19,92919",
05/03/2011 1.00,"18,171503","0,694086","22,546693",
05/03/2011 2.00,,"0,534274","26,376793",
05/03/2011 3.00,"12,206483",,"29,522408",
05/03/2011 4.00,"13,003376","0,456068",,
05/03/2011 5.00,"10,207757","0,45717","32,395847",
05/03/2011 6.00,"15,173413","0,61922","28,982123",
05/03/2011 7.00,"34,536378","0,60539","14,277784",
05/03/2011 8.00,"43,032234","0,975852","10,675168",
05/03/2011 9.00,"53,87335","1,336728","10,289239",
05/03/2011 10.00,"40,832344","0,972161","14,53304",
05/03/2011 11.00,"39,692813","0,87663","26,246119",
05/03/2011 12.00,"33,145035","0,694558","33,176491",
05/03/2011 13.00,"35,004896","0,79866","31,823043",
05/03/2011 14.00,"27,830248","0,654428","43,496885",
05/03/2011 15.00,"21,057965","0,647344","44,582204",
05/03/2011 16.00,"25,578448","0,811386","36,09326",
05/03/2011 17.00,"24,481745","0,775286","43,255851",
05/03/2011 18.00,"33,213829","0,898094","41,410873",
05/03/2011 19.00,"49,811021","1,097219","27,462133",
05/03/2011 20.00,"55,621588","1,159874","22,191222",
05/03/2011 21.00,"49,238645","0,958672","25,913693",
05/03/2011 22.00,"30,03274","0,644672","37,274721",
05/03/2011 23.00,"23,996345","0,533868","37,962614",
06/03/2011 0.00,"20,392148","0,48729","41,339093",
06/03/2011 1.00,"9,486146","0,399097","48,759654",
06/03/2011 2.00,,"0,352688","56,847786",
06/03/2011 3.00,"3,737872",,"61,385432",
06/03/2011 4.00,"3,229106","0,399435",,
06/03/2011 5.00,"3,012362","0,384814","67,273115",
06/03/2011 6.00,"3,252467","0,37746","65,950152",
06/03/2011 7.00,"5,71453","0,445541","66,436954",
06/03/2011 8.00,"6,020828","0,442708","67,209477",
06/03/2011 9.00,"9,065637","0,557739","61,600054",
06/03/2011 10.00,"11,750926","0,557823","59,168051",
06/03/2011 11.00,"14,54914","0,614492","58,179546",
06/03/2011 12.00,"18,219525","0,693137","57,608118",
06/03/2011 13.00,"22,825666","0,771825","57,462543",
06/03/2011 14.00,"12,9255","0,692292","65,91901",
06/03/2011 15.00,"10,068892","0,620958","67,399043",
06/03/2011 16.00,"14,458293","0,699603","61,069923",
06/03/2011 17.00,"18,662103","0,824352","51,716367",
06/03/2011 18.00,"23,728989","0,915802","49,13745",
06/03/2011 19.00,"22,913924","1,039791","49,824665",
06/03/2011 20.00,"23,422687","0,960428","47,288404",
06/03/2011 21.00,"26,436344","1,046425","49,190935",
06/03/2011 22.00,"24,150777","0,946777","59,914859",
06/03/2011 23.00,"14,258417","0,745158","68,988778",
07/03/2011 0.00,"8,572444","0,535806","71,320573",
07/03/2011 1.00,"4,646382","0,422296","72,854091",
07/03/2011 2.00,,"0,459697","69,990144",
07/03/2011 3.00,"9,717168",,"68,906861",
07/03/2011 4.00,"8,663297","0,266617",,
07/03/2011 5.00,"4,164871","0,228817","81,307841",
07/03/2011 6.00,"8,552978","0,262016","73,408617",
07/03/2011 7.00,"16,824314","0,309362","60,52082",
07/03/2011 8.00,"14,205207","0,331851","66,871625",
07/03/2011 9.00,"19,252615","0,549273","61,795046",
07/03/2011 10.00,"15,46674","0,407881","58,971042",
07/03/2011 11.00,"14,501118","0,446497","61,621721",
07/03/2011 12.00,"19,810709","0,499002","61,031997",
07/03/2011 13.00,"36,459811","0,706447","53,359587",
07/03/2011 14.00,"22,145587","0,58118","66,546618",
07/03/2011 15.00,"13,262949","0,435444","71,292125",
07/03/2011 16.00,"16,96838","0,527901","69,223709",
07/03/2011 17.00,"21,617339","0,642674","65,66239",
07/03/2011 18.00,"27,268292","0,678625","61,062461",
07/03/2011 19.00,"32,762178","0,865687","53,109075",
07/03/2011 20.00,"32,115825","0,75603","54,857911",
07/03/2011 21.00,"21,950907","0,554778","62,079413",
07/03/2011 22.00,"20,529717","0,568538","59,71107",
07/03/2011 23.00,"7,000721","0,366426","72,904205",
08/03/2011 0.00,"3,252467","0,29517","75,481082",
08/03/2011 1.00,"1,373149","0,298353","77,578608",
08/03/2011 2.00,,"0,259994","79,84742",
08/03/2011 3.00,"5,835232",,"81,841362",
08/03/2011 4.00,"3,909191","0,210404",,
08/03/2011 5.00,"3,111","0,199122","77,885997",
08/03/2011 6.00,"5,027956","0,260376","74,787105",
08/03/2011 7.00,"18,41161","0,28397","65,275124",
08/03/2011 8.00,"20,996971","0,425397","62,278454",
08/03/2011 9.00,"35,208656","0,674964",,
08/03/2011 10.00,"38,389746","0,799233","53,219439",
08/03/2011 11.00,"39,97575","0,698986","49,843619",
08/03/2011 12.00,"38,410511","0,541301",,
08/03/2011 13.00,"28,109305","0,474727",,
08/03/2011 14.00,"16,222101","0,349943","74,382898",
08/03/2011 15.00,"12,219462","0,345868","75,045056",
08/03/2011 16.00,"19,678323","0,415531","73,282673",
08/03/2011 17.00,"21,808137","0,517923","69,967123",
08/03/2011 18.00,"30,388372","0,664541","57,773303",
08/03/2011 19.00,"47,94468","1,022291","42,065574",
08/03/2011 20.00,"43,926478","0,94555","39,503594",
08/03/2011 21.00,"41,608463","1,008435","43,79005",
08/03/2011 22.00,"31,742048","0,973346","48,306692",
08/03/2011 23.00,"17,587458","0,680026","56,244515",
09/03/2011 0.00,"10,442674","0,442855","58,232373",
09/03/2011 1.00,"9,233063","0,290447","53,618898",
09/03/2011 2.00,,"0,324335","51,528814",
09/03/2011 3.00,"12,75159",,"57,715769",
09/03/2011 4.00,"11,543267","0,4308",,
09/03/2011 5.00,"11,894991","0,490203","43,13533",
09/03/2011 6.00,"24,143014","0,565659","32,43918",
09/03/2011 7.00,"30,254684","0,675137","27,546082",
09/03/2011 8.00,"34,380606","0,591718","29,395807",
09/03/2011 9.00,"29,919835","0,624081","47,874734",
09/03/2011 10.00,"23,804266","0,63281","61,533023",
09/03/2011 11.00,"32,13531","0,580605","57,808535",
09/03/2011 12.00,"31,673254","0,638856","62,526253",
09/03/2011 13.00,"28,784184","0,571619","69,426836",
09/03/2011 14.00,"20,310392","0,463292","75,864985",
09/03/2011 15.00,"15,015081","0,462653","81,80344",
09/03/2011 16.00,"23,150132","0,558376","75,769498",
