MANDURIA,,,,
,NO2,CO,O3,PM10
05/01/2011 19.00,"57,429518","2,04126","23,556181",
05/01/2011 20.00,"62,515901","2,207805","14,096333",
05/01/2011 21.00,"56,343216","2,118092","16,414582",
05/01/2011 22.00,"41,103601","1,597365","20,66447",
05/01/2011 23.00,"24,997008","1,310926","27,500038",
06/01/2011 0.00,"22,076793","1,195491","24,058542",
06/01/2011 1.00,"20,83862","1,113408","28,053192",
06/01/2011 2.00,,"1,112824","24,759986",
06/01/2011 3.00,"19,769181",,"19,273117",
06/01/2011 4.00,"21,192933","0,694779",,
06/01/2011 5.00,"17,269484","0,734896","9,945977",
06/01/2011 6.00,"13,983268","0,57008","13,599378",
06/01/2011 7.00,"27,041148","0,792274","3,782045",
06/01/2011 8.00,"23,052792","0,873241","6,780732",
06/01/2011 9.00,"29,64468","1,190134","12,513372",
06/01/2011 10.00,"49,908359","1,652688","19,094372",
06/01/2011 11.00,"39,664247","1,147864","28,194697",
06/01/2011 12.00,"32,624608","0,783235","44,875369",
06/01/2011 13.00,"34,760885","0,783536","47,813806",
06/01/2011 14.00,"22,290936","0,635894","60,710404",
06/01/2011 15.00,"13,330441","0,507579","58,419903",
06/01/2011 16.00,"17,105953","0,530564","58,317004",
06/01/2011 17.00,"45,047826","1,060999","32,284805",
06/01/2011 18.00,"87,354556","2,101211","11,549246",
06/01/2011 19.00,"85,597255","3,482935","21,288026",
06/01/2011 20.00,"83,947661","4,018149","17,909521",
06/01/2011 21.00,"83,136492","4,243528","17,601466",
06/01/2011 22.00,"66,548384","2,808903","1,81316",
06/01/2011 23.00,"67,907259","4,06808","14,883757",
07/01/2011 0.00,"52,206889","4,97326","21,730836",
07/01/2011 1.00,"41,036108","4,427716","11,979853",
07/01/2011 2.00,,"3,19273","5,515313",
07/01/2011 3.00,"25,321476",,"0,017604",
07/01/2011 4.00,"16,238977","1,069715",,
07/01/2011 5.00,"13,980674","0,974122","10,755737",
07/01/2011 6.00,"26,636224","0,612624","11,207334",
07/01/2011 7.00,"32,860818","0,960491","9,94327",
07/01/2011 8.00,"50,087456","1,808901","2,748855",
07/01/2011 9.00,"75,046858","3,448429","8,441556",
07/01/2011 10.00,"22,760772","0,744639","34,225242",
07/01/2011 11.00,"15,451168","0,594519","48,712931",
07/01/2011 12.00,"17,226653","0,559799","52,1578",
07/01/2011 13.00,"18,9645","0,513452","54,243134",
07/01/2011 14.00,"19,407067","0,529767","57,67583",
07/01/2011 15.00,"9,878104","0,430254","62,785583",
07/01/2011 16.00,"14,872308","0,471491","54,81051",
07/01/2011 17.00,"34,366343","0,81855","36,36813",
07/01/2011 18.00,"45,003699","1,029417","29,674748",
07/01/2011 19.00,"47,969344","1,409447","25,401836",
07/01/2011 20.00,"40,465052","0,930373","26,613759",
07/01/2011 21.00,"37,27618","0,79857","25,512878",
07/01/2011 22.00,"43,73438","1,785473","18,537155",
07/01/2011 23.00,"39,464385","2,552519","10,975102",
08/01/2011 0.00,"31,387735","2,099728","10,292626",
08/01/2011 1.00,"7,199295","0,37283","47,695301",
08/01/2011 2.00,,"0,314554","60,741545",
08/01/2011 3.00,"0,669701",,"60,486965",
08/01/2011 4.00,"0,002596","0,266222",,
08/01/2011 5.00,"1,42766","0,267547","58,123367",
08/01/2011 6.00,"4,565915","0,28395","59,439549",
08/01/2011 7.00,"9,021508","0,295955","56,633144",
08/01/2011 8.00,"26,056066","0,499893","40,189455",
08/01/2011 9.00,"38,611693","0,836858","26,245442",
08/01/2011 10.00,"16,977462","0,50754","53,299317",
08/01/2011 11.00,"12,787924","0,413558","60,94737",
08/01/2011 12.00,"14,50891","0,484558","57,048862",
08/01/2011 13.00,"23,913288","0,485326","50,834156",
08/01/2011 14.00,"19,758798","0,467727","54,990601",
08/01/2011 15.00,"11,734062","0,393438","61,816713",
08/01/2011 16.00,"11,16689","0,41514","62,631888",
08/01/2011 17.00,"15,634159","0,510829","59,092899",
08/01/2011 18.00,"23,222806","0,728097","54,107731",
08/01/2011 19.00,"32,052231","0,873981","43,207769",
08/01/2011 20.00,"37,640872","0,857492","38,785914",
08/01/2011 21.00,"41,682458","0,96621","36,960567",
08/01/2011 22.00,"35,808279","0,742578","33,202883",
08/01/2011 23.00,"22,009299","0,633987","41,748049",
09/01/2011 0.00,"17,129306","0,705584","43,136689",
09/01/2011 1.00,"17,505697","0,49323","42,704731",
09/01/2011 2.00,,"0,428127","43,710149",
09/01/2011 3.00,"10,450457",,"49,363583",
09/01/2011 4.00,"13,836612","0,270788",,
09/01/2011 5.00,"5,950744","0,241388","58,178888",
09/01/2011 6.00,"11,910563","0,307237","33,104052",
09/01/2011 7.00,"18,466121","0,444425","31,731652",
09/01/2011 8.00,"30,533721","0,815996","16,540512",
09/01/2011 9.00,"19,131912","0,460379","40,395957",
09/01/2011 10.00,"14,880099","0,445289","54,447601",
09/01/2011 11.00,"12,063719","0,388823","58,147746",
09/01/2011 12.00,"16,921649","0,440143","57,507231",
09/01/2011 13.00,"22,501199","0,543306","53,827436",
