"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOx,O3,PM10,
20/02/2011 0.00,"11,52834473","11,5868481","59,7243948","22,39999962",
20/02/2011 1.00,"12,45632246","14,15647859","58,43037795","22,5",
20/02/2011 2.00,"8,90826994","8,90210948","59,05880295","22,5",
20/02/2011 3.00,"12,71515563","17,21734012","54,83379195","22,5",
20/02/2011 4.00,"16,95344588","16,98712576","47,8974363","22,5",
20/02/2011 5.00,"11,75222846","11,74410628","51,40953405","22,5",
20/02/2011 6.00,"16,05305449","16,04195533","47,4058284","22,5",
20/02/2011 7.00,"18,80453912","19,40597784","44,68770075","22,5",
20/02/2011 8.00,"18,17507622","18,2111461","43,5423513","22,5",
20/02/2011 9.00,"17,51477849","17,79449262","47,78086845","22,5",
20/02/2011 10.00,"17,12704018","17,28543026","53,87088525","22,5",
20/02/2011 11.00,"11,86741498","11,92892402","61,5877248","22,5",
20/02/2011 12.00,"10,93294793","11,10534532","62,88174165","22,5",
20/02/2011 13.00,"11,99070839","12,24344038","64,3683558","22,5",
20/02/2011 14.00,"12,43199226","12,51904753","66,5661675","22,5",
20/02/2011 15.00,"14,15329129","14,38669104","66,7418472","22,5",
20/02/2011 16.00,"14,17600394","14,51152552","69,1829292","22,5",
20/02/2011 17.00,"16,33371697","16,50076076","67,7875464","22,5",
20/02/2011 18.00,"16,85368154","16,91092874","67,06791","22,5",
20/02/2011 19.00,"25,82926536","26,13564424","55,91835375","22,5",
20/02/2011 20.00,,,,"22,5",
20/02/2011 21.00,,,,"22,5",
20/02/2011 22.00,,,,"22,5",
20/02/2011 23.00,,,,"22,5",
21/02/2011 0.00,,,,"22,5",
21/02/2011 1.00,,,,"14,19999981",
21/02/2011 2.00,,,,"14,19999981",
21/02/2011 3.00,,,,"14,19999981",
21/02/2011 4.00,,,,"14,19999981",
21/02/2011 5.00,,,,"14,19999981",
21/02/2011 6.00,,,,"14,19999981",
21/02/2011 7.00,,,,"14,19999981",
21/02/2011 8.00,,,,"14,19999981",
21/02/2011 9.00,,,,"14,19999981",
21/02/2011 10.00,,,,"14,19999981",
21/02/2011 11.00,,,,"14,19999981",
21/02/2011 12.00,,,,"14,19999981",
21/02/2011 13.00,,,,"14,19999981",
21/02/2011 14.00,,,,"14,19999981",
21/02/2011 15.00,"25,1008316","26,22319472","58,46752485","14,19999981",
21/02/2011 16.00,"18,95704406","19,63132616","61,5437949","14,19999981",
21/02/2011 17.00,"19,1306116","19,70266288","62,58779835","14,19999981",
21/02/2011 18.00,"22,64461904","22,8851104","59,795337","14,19999981",
21/02/2011 19.00,"30,67033464","31,18573336","47,67780675","14,19999981",
21/02/2011 20.00,"30,01895448","30,4367456","47,1625581","14,19999981",
21/02/2011 21.00,"32,55223976","33,01771616","42,750057","14,19999981",
21/02/2011 22.00,"21,77016584","22,43927024","48,6474765","14,19999981",
21/02/2011 23.00,"15,84052613","15,91874414","51,5413038","14,19999981",
22/02/2011 0.00,"13,67956843","13,84034086","49,1255583","14,19999981",
22/02/2011 1.00,"10,6101029","11,31124095","50,60203785","29,60000038",
22/02/2011 2.00,"14,37880213","14,40128342","47,37712035","29,60000038",
22/02/2011 3.00,"11,79602855","11,78787961","49,56647325","29,60000038",
22/02/2011 4.00,"9,27005094","9,26364191","52,6275414","29,60000038",
22/02/2011 5.00,"13,20746313","13,19833906","48,30623175","29,60000038",
22/02/2011 6.00,"14,01701922","14,0073273","45,61346055","29,60000038",
22/02/2011 7.00,"15,07965146","15,15190594","45,98848065","29,60000038",
22/02/2011 8.00,"26,22673192","27,49423496","38,48787915","29,60000038",
22/02/2011 9.00,"36,43044496","41,6085616","31,83870375","29,60000038",
22/02/2011 10.00,"28,33415744","32,27194056","42,4814502","29,60000038",
22/02/2011 11.00,"23,78025144","25,30396248","48,16602315","29,60000038",
22/02/2011 12.00,"19,91258136","21,30279656","50,5952748","29,60000038",
22/02/2011 13.00,"21,78557656","23,12179688","49,91280525","29,60000038",
22/02/2011 14.00,"19,86067056","20,60405616","53,37760155","29,60000038",
22/02/2011 15.00,"24,94265184","26,49393392","50,88584655","29,60000038",
22/02/2011 16.00,"20,9030356","21,57678616","57,7664619","29,60000038",
22/02/2011 17.00,"22,19279432","23,80596784","55,865985","29,60000038",
22/02/2011 18.00,"26,6477352","27,63851448","53,6090415","29,60000038",
22/02/2011 19.00,"51,57904888","57,35059296","32,89960485","29,60000038",
22/02/2011 20.00,"61,18411472","67,3032604","24,7840845","29,60000038",
22/02/2011 21.00,"57,87859176","64,55850792","27,8096616","29,60000038",
22/02/2011 22.00,"76,76913264","107,79154296","10,4062412","29,60000038",
22/02/2011 23.00,"66,60354488","82,20546488","10,33866257","29,60000038",
23/02/2011 0.00,"46,01847488","46,83375168","19,72624878","29,60000038",
23/02/2011 1.00,"35,43838464","35,46899576","27,8704692","29,89999962",
23/02/2011 2.00,"27,36561472","27,61419384","35,4791997","29,89999962",
23/02/2011 3.00,"20,64264032","20,6283768","43,2534753","29,89999962",
23/02/2011 4.00,"16,8252807","16,81365574","48,23022225","29,89999962",
23/02/2011 5.00,"13,70065588","13,69118957","52,5718011","29,89999962",
23/02/2011 6.00,"10,8064003","10,79893585","55,08045375","29,89999962",
23/02/2011 7.00,"14,3771731","14,36723835","49,81481085","29,89999962",
23/02/2011 8.00,"29,88023888","30,01360088","32,992512","29,89999962",
23/02/2011 9.00,"52,6530384","65,78738856","17,1736802","29,89999962",
23/02/2011 10.00,"46,36808408","63,670078","27,5359875","29,89999962",
23/02/2011 11.00,"28,64889176","33,77482992","44,27214225","29,89999962",
23/02/2011 12.00,"24,63197096","28,79607752","49,84353885","29,89999962",
23/02/2011 13.00,"22,89526312","25,62011168","53,9891289","29,89999962",
23/02/2011 14.00,"20,5988364","21,62217704","60,21937425","29,89999962",
23/02/2011 15.00,"26,4619844","28,838218","57,2883801","29,89999962",
23/02/2011 16.00,"20,9216776","21,14230328","64,0693452","29,89999962",
23/02/2011 17.00,"25,2127792","26,13889464","62,8699113","29,89999962",
23/02/2011 18.00,"30,94044288","31,82774472","60,2683515","29,89999962",
23/02/2011 19.00,"32,11259448","34,12015624","60,0132708","29,89999962",
23/02/2011 20.00,"27,28936416","27,93034304","61,8529401","29,89999962",
23/02/2011 21.00,"35,91454912","37,87650968","56,2798677","29,89999962",
23/02/2011 22.00,"30,27124288","30,92312016","61,7718633","29,89999962",
23/02/2011 23.00,"15,0115097","15,59936366","71,6240112","29,89999962",
24/02/2011 0.00,"8,19281675","8,19525838","73,69005315","29,89999962",
24/02/2011 1.00,"8,28529063","8,99452026","72,15107025",41,
24/02/2011 2.00,"9,18893434","9,32849122","69,2082657",41,
24/02/2011 3.00,"6,01563765","6,01147714","72,23553855",41,
24/02/2011 4.00,"5,26611644","5,26247599","75,0820644",41,
24/02/2011 5.00,"5,04223271","5,03874714","72,44501355",41,
24/02/2011 6.00,"5,18337655","5,17979346","68,4615771",41,
24/02/2011 7.00,"9,95468078","9,98021936","62,85133785",41,
24/02/2011 8.00,"15,28568094","15,27998318","59,3206467",41,
24/02/2011 9.00,"21,42298488","22,40684272","55,2797742",41,
24/02/2011 10.00,"22,85226224","23,71031048","57,0974985",41,
24/02/2011 11.00,"19,67411672","20,10959384","61,25829045",41,
24/02/2011 12.00,"13,28858355","13,69281094","68,0814897",41,
24/02/2011 13.00,"19,25055136","22,38577248","67,16756025",41,
24/02/2011 14.00,"15,25810607","15,52316663","68,8197195",41,
24/02/2011 15.00,"15,61339774","15,89928954","70,82156235",41,
24/02/2011 16.00,"12,55366811","12,69413893","73,88093475",41,
24/02/2011 17.00,"15,20618954","16,01601522","74,2627179",41,
24/02/2011 18.00,"16,73525035","17,02927771","75,00603495",41,
24/02/2011 19.00,"17,34605978","17,42971934","74,76276465",41,
24/02/2011 20.00,"16,59978133","17,02117274","74,3927919",41,
24/02/2011 21.00,"16,09360992","16,48130616","73,94006655",41,
24/02/2011 22.00,"14,91092129","15,15677007","72,8166621",41,
24/02/2011 23.00,"12,13023468","12,21425943","73,2136671",41,
25/02/2011 0.00,"7,31188761","7,32952772","74,84216565",41,
25/02/2011 1.00,"6,49747312","6,49297992","73,98060495","33,79999161",
25/02/2011 2.00,"8,78010476","8,77403416","65,7992097","33,79999161",
25/02/2011 3.00,"8,3339625","8,38007803","64,2956979","33,79999161",
25/02/2011 4.00,"6,62725968","6,62267662","64,8312357","33,79999161",
25/02/2011 5.00,"5,08117059","5,07765634","71,5716225","33,79999161",
25/02/2011 6.00,"5,26287178","5,27220234","70,997262","33,79999161",
25/02/2011 7.00,"7,55361603","7,58568027","69,133932","33,79999161",
25/02/2011 8.00,"13,29345533","13,54365774","66,3516252","33,79999161",
25/02/2011 9.00,"17,25601797","17,7053265","62,98647915","33,79999161",
25/02/2011 10.00,"20,26220968","20,75321128","60,3781563","33,79999161",
25/02/2011 11.00,"22,24065168","22,67272544","56,7934206","33,79999161",
25/02/2011 12.00,"21,11150096","21,54760904","58,5148263","33,79999161",
25/02/2011 13.00,"14,41368083","15,1681197","67,76218995","33,79999161",
25/02/2011 14.00,"15,70019489","15,98845566","69,53430855","33,79999161",
25/02/2011 15.00,"13,31616033","13,70253729","72,61562595","33,79999161",
25/02/2011 16.00,"13,92453578","14,4223594","72,57508755","33,79999161",
25/02/2011 17.00,"17,16111585","17,34865628","71,85712695","33,79999161",
25/02/2011 18.00,"19,91745696","20,13228928","69,1440666","33,79999161",
25/02/2011 19.00,"20,35387096","20,81319072","69,57484695","33,79999161",
25/02/2011 20.00,"20,20462024","20,56839736","68,23352865","33,79999161",
25/02/2011 21.00,"32,85156336","33,04043072","51,4162971","33,79999161",
25/02/2011 22.00,"36,0346036","36,23098512","45,68779425","33,79999161",
25/02/2011 23.00,"28,69107048","29,70232728","51,5058327","33,79999161",
26/02/2011 0.00,"19,92556384","20,06905944","57,6921282","33,79999161",
26/02/2011 1.00,"11,794411","11,7943632","63,99838305","33,40000153",
26/02/2011 2.00,"13,81097828","13,87276456","62,0472132","33,40000153",
26/02/2011 3.00,"17,5488465","17,56103742","58,25804985","33,40000153",
26/02/2011 4.00,"14,06730865","14,07055331","60,62818965","33,40000153",
26/02/2011 5.00,"12,55366811","12,59848922","60,11970405","33,40000153",
26/02/2011 6.00,"12,28111251","12,27262323","57,55700685","33,40000153",
26/02/2011 7.00,"10,80964496","10,8021786","57,01640175","33,40000153",
26/02/2011 8.00,"20,84219576","20,82777928","49,9161768","33,40000153",
26/02/2011 9.00,"35,53409936","37,00591872","40,2684366","33,40000153",
26/02/2011 10.00,"30,36776064","30,92312016","43,7315571","33,40000153",
26/02/2011 11.00,"26,21376856","27,93196824","47,38386345","33,40000153",
26/02/2011 12.00,"26,22510672","28,93387536","46,7672688","33,40000153",
26/02/2011 13.00,"34,48527176","37,34635032","41,01849675","33,40000153",
26/02/2011 14.00,"33,80144496","36,50656168","40,8816597","33,40000153",
26/02/2011 15.00,"33,0145996","36,81462312","40,4441163","33,40000153",
26/02/2011 16.00,"26,33462608","27,10676816","45,0576735","33,40000153",
26/02/2011 17.00,"19,41209624","19,69778728","51,55987725","33,40000153",
26/02/2011 18.00,"22,82145992","23,54008512","46,81117875","33,40000153",
26/02/2011 19.00,"30,4204936","31,12737912","38,98116285","33,40000153",
26/02/2011 20.00,"37,76157936","39,59824656","30,30478815","33,40000153",
26/02/2011 21.00,"46,71851544","48,86511784","22,49164995","33,40000153",
26/02/2011 22.00,"47,19060736","50,3193468","20,5590735","33,40000153",
26/02/2011 23.00,"38,23529648","41,57286456","29,21348325","33,40000153",
27/02/2011 0.00,"47,94825648","49,06778984","21,3902304","33,40000153",
27/02/2011 1.00,"38,80392528","39,32102568","25,8213249","40,79999161",
27/02/2011 2.00,"22,76547656","22,95807232","39,0098709","40,79999161",
27/02/2011 3.00,"30,89096032","31,00577592","32,81006925","40,79999161",
27/02/2011 4.00,"22,3882772","22,42630688","41,29891395","40,79999161",
27/02/2011 5.00,"16,08387593","16,13112336","47,02236945","40,79999161",
27/02/2011 6.00,"16,210414","16,1992135","45,02557395","40,79999161",
27/02/2011 7.00,"13,73148497","13,7219938","47,6626248","40,79999161",
27/02/2011 8.00,"19,7373848","19,75291024","41,84626215","40,79999161",
27/02/2011 9.00,"24,6741688","24,97486904","38,01993195","40,79999161",
27/02/2011 10.00,"31,6664484","33,18145984","33,46889805","40,79999161",
27/02/2011 11.00,"24,75852624","26,07243352","53,6597145","40,79999161",
27/02/2011 12.00,"15,43007135","15,65610608","67,13715645","40,79999161",
27/02/2011 13.00,"12,79052858","13,31344529","72,85722045","40,79999161",
27/02/2011 14.00,"15,61988706","16,35322893","73,13257035","40,79999161",
27/02/2011 15.00,"19,20363088","20,56839736","72,04465695","40,79999161",
27/02/2011 16.00,"11,50724963","11,87380298","78,47929005","40,79999161",
27/02/2011 17.00,"11,88688488","12,08780358","77,76132945","40,79999161",
27/02/2011 18.00,"13,41188652","13,46908209","74,40462225","40,79999161",
27/02/2011 19.00,"34,44794952","36,0023864","51,09193005","40,79999161",
27/02/2011 20.00,"69,70465592","81,49215504","21,63348075","40,79999161",
27/02/2011 21.00,"100,22004208","173,63896832","5,63221218","40,79999161",
27/02/2011 22.00,"100,08864944","219,0767688","5,42104542","40,79999161",
27/02/2011 23.00,"63,9867052","104,02385136","6,13563048","40,79999161",
28/02/2011 0.00,"51,26431456","64,91356632","6,3493289","40,79999161",
28/02/2011 1.00,"44,77739568","47,72216248","16,03338408","23,2999897",
28/02/2011 2.00,"26,71830712","28,26916856","32,89453755","23,2999897",
28/02/2011 3.00,"23,86460888","23,84810832","29,51081805","23,2999897",
28/02/2011 4.00,"19,463204","19,56809632","27,29273715","23,2999897",
28/02/2011 5.00,"26,35814368","26,47448888","18,46094198","23,2999897",
28/02/2011 6.00,"36,0597464","39,28047216","9,23047398","23,2999897",
28/02/2011 7.00,"32,95215368","40,51908488","9,17810523","23,2999897",
28/02/2011 8.00,"54,70042712","123,21256864","4,76389641","23,2999897",
28/02/2011 9.00,"57,62551944","90,39586104","10,53800496","23,2999897",
28/02/2011 10.00,"61,36013344","109,26686128","16,94561778","23,2999897",
28/02/2011 11.00,"35,60061784","42,05925824","40,2093048","23,2999897",
28/02/2011 12.00,"23,17024696","25,71089344","59,0419053","23,2999897",
28/02/2011 13.00,"17,28440926","17,34541544","68,05952475","23,2999897",
28/02/2011 14.00,"11,86903254","11,89001482","73,50591465","23,2999897",
28/02/2011 15.00,"14,13869508","14,4612686","71,8588227","23,2999897",
28/02/2011 16.00,"12,01017638","12,12022918","71,82839895","23,2999897",
28/02/2011 17.00,,,"69,8569599","23,2999897",
28/02/2011 18.00,,,,"23,2999897",
28/02/2011 19.00,"23,02099624","24,87596128","44,61021495","23,2999897",
28/02/2011 20.00,"25,58429992","26,9332924","39,9896952","23,2999897",
28/02/2011 21.00,"43,35379696","46,6651324","25,40574645","23,2999897",
28/02/2011 22.00,"58,44154192","65,4258676","12,82366449","23,2999897",
28/02/2011 23.00,"42,90927608","45,24818744","20,88004905","23,2999897",
01/03/2011 0.00,"28,52153344","29,57101112","32,17318545","23,2999897",
01/03/2011 1.00,"19,2441844","20,07554112","38,5655844","30,10000038",
01/03/2011 2.00,"12,79863738","12,81411119","40,96949955","30,10000038",
01/03/2011 3.00,"11,92582085","11,9370309","39,36464175","30,10000038",
01/03/2011 4.00,"10,11772658","10,11964431","37,0283172","30,10000038",
01/03/2011 5.00,"6,81382882","6,80911765","44,3312541","30,10000038",
01/03/2011 6.00,"6,83654146","6,831815","49,03265115","30,10000038",
01/03/2011 7.00,"11,99719772","12,08131998","44,34308445","30,10000038",
01/03/2011 8.00,"16,88450298","18,18358462","42,53381895","30,10000038",
01/03/2011 9.00,"21,48382472","23,90160608","39,28524075","30,10000038",
01/03/2011 10.00,"21,59739752","24,13506128","43,6031589","30,10000038",
01/03/2011 11.00,"16,78066991","17,84637282","48,8299392","30,10000038",
01/03/2011 12.00,"12,3784467","13,77549347","49,73880135","30,10000038",
01/03/2011 13.00,"15,69613571","17,32758222","42,1739808","30,10000038",
01/03/2011 14.00,"20,29870976","22,55924824","36,14479155","30,10000038",
01/03/2011 15.00,"23,9165388","27,42775472","32,88101145","30,10000038",
01/03/2011 16.00,"17,89764693","19,7707492","39,96266295","30,10000038",
01/03/2011 17.00,"20,88032104","22,75054384","36,0130218","30,10000038",
01/03/2011 18.00,"23,24812272","25,55363144","34,49600385","30,10000038",
01/03/2011 19.00,"21,92511432","23,8156808","38,712576","30,10000038",
01/03/2011 20.00,"19,22877368","20,66080432","42,90883905","30,10000038",
01/03/2011 21.00,"17,92604778","20,18578704","46,209786","30,10000038",
01/03/2011 22.00,"15,45765769","16,84445806","47,9700543","30,10000038",
01/03/2011 23.00,"14,55644222","15,27998318","48,26908485","30,10000038",
02/03/2011 0.00,"17,84735942","18,0619948","43,8514965","30,10000038",
02/03/2011 1.00,"17,31522878","17,48321902","41,9746404","25,10000038",
02/03/2011 2.00,"10,72366232","10,73084379","43,9832463","25,10000038",
02/03/2011 3.00,"7,8634824","7,8629088","44,03393925","25,10000038",
02/03/2011 4.00,"8,93909521","8,93291371","38,30374065","25,10000038",
02/03/2011 5.00,"9,12566434","9,12421696","36,69888285","25,10000038",
02/03/2011 6.00,"10,66525646","10,66761778","35,90998005","25,10000038",
02/03/2011 7.00,"15,76264846","15,80525738","33,2661861","25,10000038",
02/03/2011 8.00,"27,2147388","28,55451544","27,11534175","25,10000038",
02/03/2011 9.00,"41,4329444","54,51507784","21,3006948","25,10000038",
02/03/2011 10.00,"38,08442056","52,460978","29,27768235","25,10000038",
02/03/2011 11.00,"19,52322168","24,2469324","45,22998165","25,10000038",
02/03/2011 12.00,"11,70112643","13,62147614","52,6427433","25,10000038",
02/03/2011 13.00,"13,4394633","16,88985276","53,1850242","25,10000038",
02/03/2011 14.00,"17,77192337","20,59919968","51,5767749","25,10000038",
02/03/2011 15.00,"21,21857296","25,86004856","50,3401941","25,10000038",
02/03/2011 16.00,"10,66039424","12,38772946","58,59085575","25,10000038",
02/03/2011 17.00,"11,00757902","12,83518717","61,62489165","25,10000038",
02/03/2011 18.00,"14,80791038","16,55912456","58,99967115","25,10000038",
02/03/2011 19.00,"18,08097522","19,39787096","55,51121415","25,10000038",
02/03/2011 20.00,"26,23160752","27,70499472","47,5291593","25,10000038",
02/03/2011 21.00,"33,77467696","35,01181744","41,11816695","25,10000038",
02/03/2011 22.00,"43,24670584","47,61356088","33,40469895","25,10000038",
02/03/2011 23.00,"28,55317704","30,07359944","43,62851535","25,10000038",
03/03/2011 0.00,"16,81636122","17,80422087","51,0648978","25,10000038",
03/03/2011 1.00,"23,35033824","23,91781984","41,7871503","38,09999084",
03/03/2011 2.00,"24,3448268","24,33771416","36,81207915","38,09999084",
03/03/2011 3.00,"14,96122027","15,00275465","44,5103253","38,09999084",
03/03/2011 4.00,"10,6101029","10,61249482","46,8618717","38,09999084",
03/03/2011 5.00,"7,85374841","7,85318246","57,9810042","38,09999084",
03/03/2011 6.00,"10,1696412","10,28176662","54,2982741","38,09999084",
03/03/2011 7.00,"24,19718216","24,39608752","38,56221285","38,09999084",
03/03/2011 8.00,"38,94751648","42,18571792","17,81055203","38,09999084",
03/03/2011 9.00,"50,24062976","70,0187784","14,56197981","38,09999084",
03/03/2011 10.00,"52,80391432","75,02995832","21,0084273","38,09999084",
03/03/2011 11.00,"36,62594696","44,11171376","33,00434235","38,09999084",
03/03/2011 12.00,"31,76703872","41,77230528","34,40646825","38,09999084",
03/03/2011 13.00,"31,06548768","41,40428352","37,88818215","38,09999084",
03/03/2011 14.00,"22,2261396","30,38810432","48,8907468","38,09999084",
03/03/2011 15.00,"24,49570272","31,47918712","52,84884675","38,09999084",
03/03/2011 16.00,"31,05103296","46,83535776","50,8926096","38,09999084",
03/03/2011 17.00,"40,9740644","52,72687984","43,2399492","38,09999084",
03/03/2011 18.00,"57,05023688","76,19560912","37,48443405","38,09999084",
03/03/2011 19.00,"47,5572716","49,98539688","32,43672495","38,09999084",
03/03/2011 20.00,"53,70756376","58,06229672","20,98646235","38,09999084",
03/03/2011 21.00,"43,1923668","46,60677816","22,33117215","38,09999084",
03/03/2011 22.00,"57,35782032","66,76011856","12,45370172","38,09999084",
03/03/2011 23.00,"71,79016992","93,08547144","3,34824242","38,09999084",
04/03/2011 0.00,"53,4139188","62,06348176","10,5912156","38,09999084",
04/03/2011 1.00,"33,32528048","34,562746","21,85141455","27,89999962",
04/03/2011 2.00,"32,89131384","36,73839168","19,43230548","27,89999962",
04/03/2011 3.00,"44,09194368","50,2139956","5,43624732","27,89999962",
04/03/2011 4.00,"31,48312584","33,42789752","10,07851457","27,89999962",
04/03/2011 5.00,"26,07099952","26,22807032","13,65819494","27,89999962",
04/03/2011 6.00,"27,6495276","28,44426952","13,84570898","27,89999962",
04/03/2011 7.00,"31,31439184","32,96744968","11,93339375","27,89999962",
04/03/2011 8.00,"40,1756132","47,69137928","6,976914","27,89999962",
04/03/2011 9.00,"48,66208256","74,27611408","6,13225095","27,89999962",
04/03/2011 10.00,"50,87170448","80,20652624","10,64443622","27,89999962",
04/03/2011 11.00,"47,20358984","60,06773616","14,34912129","27,89999962",
04/03/2011 12.00,"45,72077648","58,87288912","17,24293263","27,89999962",
04/03/2011 13.00,"36,14410384","47,83242752","26,4294807","27,89999962",
04/03/2011 14.00,"22,81495912","29,14463512","33,2425254","27,89999962",
04/03/2011 15.00,"25,68649632","30,69127104","31,01261415","27,89999962",
04/03/2011 16.00,"27,8085104","31,80992488","30,82173255","27,89999962",
04/03/2011 17.00,"30,67046848","33,49158624","32,81469765","27,89999962",
04/03/2011 18.00,"45,01505728","51,82223616","26,04263025","27,89999962",
04/03/2011 19.00,"54,73774936","60,07584304","20,7770073","27,89999962",
04/03/2011 20.00,"60,87830944","67,51562624","15,9827031","27,89999962",
04/03/2011 21.00,"60,27966224","67,84146928","16,12967076","27,89999962",
04/03/2011 22.00,"79,60174152","122,54625576","2,96476551","27,89999962",
04/03/2011 23.00,"73,67207504","96,4478764","2,27129753","27,89999962",
05/03/2011 0.00,"69,12466984","81,390016","2,1133454","27,89999962",
05/03/2011 1.00,"69,50267224","107,98285768","1,72395531",,
05/03/2011 2.00,"63,5632928","100,32258264","1,51870373",,
05/03/2011 3.00,"48,10561408","67,29190312","1,32781016",,
05/03/2011 4.00,"42,20841336","53,73203736","2,17078344",,
05/03/2011 5.00,"31,1262128","35,266362","5,98358954",,
05/03/2011 6.00,"31,92927192","36,9669904","5,02574216",,
05/03/2011 7.00,"32,45002424","36,69301992","5,44131662",,
05/03/2011 8.00,"54,14397776","77,1051284","3,24688245",,
05/03/2011 9.00,"77,59419888","183,42137216","3,48761112",,
05/03/2011 10.00,"55,94638192","108,09958528","2,57030813",,
05/03/2011 11.00,"56,75919224","96,68456288","4,82809152",,
05/03/2011 12.00,"58,6183828","84,2741724","7,24044752",,
05/03/2011 13.00,"57,20371312","78,67933536","14,40656333",,
05/03/2011 14.00,"40,53417056","49,5898232","23,5103169",,
05/03/2011 15.00,"44,59325096","52,71877296","21,05912025",,
05/03/2011 16.00,"34,82839928","38,20560312","27,50895525",,
05/03/2011 17.00,"23,06154976","24,947298","36,5772477",,
05/03/2011 18.00,"30,23634888","32,75670904","35,01801555",,
05/03/2011 19.00,"41,53999728","46,51597728","28,2573396",,
05/03/2011 20.00,"51,31136888","58,0347448","21,31926825",,
05/03/2011 21.00,"28,6748376","31,35758392","35,34236265",,
05/03/2011 22.00,"25,5356204","27,88657736","27,52248135",,
05/03/2011 23.00,"19,74386648","21,29956528","33,5871417",,
06/03/2011 0.00,"16,50243567","17,46052166","37,03168875",,
06/03/2011 1.00,"15,29704395","16,81203436","39,0994065",,
06/03/2011 2.00,"13,67956843","14,81631553","40,7769222",,
06/03/2011 3.00,"11,62730794","12,16075785","42,22299795",,
06/03/2011 4.00,,,,,
06/03/2011 5.00,,,,,
06/03/2011 6.00,,,,,
06/03/2011 7.00,,,,,
06/03/2011 8.00,,,,,
06/03/2011 9.00,,,,,
06/03/2011 10.00,,,,,
06/03/2011 11.00,,,,,
06/03/2011 12.00,,,,,
06/03/2011 13.00,,,,,
06/03/2011 14.00,,,,,
06/03/2011 15.00,,,,,
06/03/2011 16.00,,,,,
06/03/2011 17.00,,,,,
06/03/2011 18.00,,,,,
06/03/2011 19.00,,,,,
06/03/2011 20.00,,,,,
06/03/2011 21.00,,,,,
06/03/2011 22.00,,,,,
06/03/2011 23.00,,,,,
07/03/2011 0.00,,,,,
07/03/2011 1.00,,,,,
07/03/2011 2.00,,,,,
07/03/2011 3.00,,,,,
07/03/2011 4.00,,,,,
07/03/2011 5.00,,,,,
07/03/2011 6.00,,,,,
07/03/2011 7.00,,,,,
07/03/2011 8.00,,,,,
07/03/2011 9.00,,,,,
07/03/2011 10.00,,,,,
07/03/2011 11.00,,,,,
07/03/2011 12.00,,,,,
07/03/2011 13.00,,,,,
07/03/2011 14.00,,,,,
07/03/2011 15.00,,,,,
07/03/2011 16.00,,,,,
07/03/2011 17.00,,,,,
07/03/2011 18.00,,,,,
07/03/2011 19.00,,,,,
07/03/2011 20.00,,,,,
07/03/2011 21.00,"39,14768376","159,9218788","43,2289767",,
07/03/2011 22.00,"18,5117125","46,5702972","46,8069693",,
07/03/2011 23.00,"11,27687849","17,2765127","51,53793225",,
08/03/2011 0.00,"9,61642121","16,21056314","52,39610145",,
08/03/2011 1.00,"7,72396185","11,98080232","52,3986351","16,20000076",
08/03/2011 2.00,"5,17769791","8,42547274","53,8700274","16,20000076",
08/03/2011 3.00,"4,56526519","7,97072074","54,0288294","16,20000076",
08/03/2011 4.00,"5,58166145","10,45847939","53,19346305","16,20000076",
08/03/2011 5.00,"5,43808363","10,19908409","53,44938165","16,20000076",
08/03/2011 6.00,"8,22607599","13,33533004","51,93238365","16,20000076",
08/03/2011 7.00,"18,28863372","26,429098","44,62773105","16,20000076",
08/03/2011 8.00,"21,02551832","28,61935136","42,94770165","16,20000076",
08/03/2011 9.00,"22,89446008","35,3546964","41,500788","16,20000076",
08/03/2011 10.00,"16,2306965","25,07375768","46,4522184","16,20000076",
08/03/2011 11.00,"19,723236","31,07462704","44,1803922","16,20000076",
08/03/2011 12.00,,,,"16,20000076",
08/03/2011 13.00,"19,70732816","84,8599136",,"16,20000076",
08/03/2011 14.00,"15,670991","23,70300664","52,1055297","16,20000076",
08/03/2011 15.00,"13,88236471","20,6267516","53,83118475","16,20000076",
08/03/2011 16.00,"15,19824518","21,214596","54,8059218","16,20000076",
08/03/2011 17.00,,,"50,44830315","16,20000076",
08/03/2011 18.00,"30,95667576","37,21587544","43,9232766","16,20000076",
08/03/2011 19.00,"31,66239496","38,2607452","43,3683474","16,20000076",
08/03/2011 20.00,"26,4035728","31,82613864","47,48269575","16,20000076",
08/03/2011 21.00,"19,9466532","24,33528592","54,2332371","16,20000076",
08/03/2011 22.00,"15,89811939","18,67643512","57,2681109","16,20000076",
08/03/2011 23.00,"19,4615788","21,21769344","47,25295155","16,20000076",
09/03/2011 0.00,"21,46923616","23,56035232","43,43591805","16,20000076",
09/03/2011 1.00,"19,63841968","21,76322528","42,89363715","24,7999897",
09/03/2011 2.00,"16,14795852","17,43052812","46,1937462","24,7999897",
09/03/2011 3.00,"16,32316846","18,12765288","46,7976726","24,7999897",
09/03/2011 4.00,"14,65540352","15,96494762","49,1796228","24,7999897",
09/03/2011 5.00,"8,59191425","9,72974162","54,6724563","24,7999897",
09/03/2011 6.00,"16,10658858","17,25300657","47,1321543","24,7999897",
09/03/2011 7.00,"30,54865496","33,2601004","34,8262761","24,7999897",
09/03/2011 8.00,"48,22161512","61,30556496","23,8980252","24,7999897",
