"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOx,O3,PM10,
04/01/2011 19.00,"83,22440792","167,53506128","1,13054057","31,89999962",
04/01/2011 20.00,"86,79195136","258,7073664","1,62726564","31,89999962",
04/01/2011 21.00,"66,5889372","143,88149896","2,48955851","31,89999962",
04/01/2011 22.00,"63,67684648","140,0083988","2,21622954","31,89999962",
04/01/2011 23.00,"56,67481568","116,74878496","2,37024155","31,89999962",
05/01/2011 0.00,"44,04490848","60,2898532","4,3258383","31,89999962",
05/01/2011 1.00,"29,4908792","34,72161408","8,66691042",,
05/01/2011 2.00,"31,51880376","34,68758048","12,11606393",,
05/01/2011 3.00,"22,56024248","23,45090944","20,68142685",,
05/01/2011 4.00,"19,66841896","20,36574448","26,5118343",,
05/01/2011 5.00,"17,59183974","19,0347248","27,8979204",,
05/01/2011 6.00,"17,48314636","17,75720479","29,64280725","70,09999084",
05/01/2011 7.00,"21,8496668","23,17206336","26,73014715","70,09999084",
05/01/2011 8.00,"36,88389488","42,64127104","10,67411783","70,09999084",
05/01/2011 9.00,"52,41617984","115,47449432","1,78043177","70,09999084",
05/01/2011 10.00,"59,86919408","181,94932336","2,19084516","70,09999084",
05/01/2011 11.00,"55,16928776","118,24192312","6,07749818","70,09999084",
05/01/2011 12.00,"52,98561168","99,0580432","10,4270271","70,09999084",
05/01/2011 13.00,"40,76940392","61,178264","17,11210253","70,09999084",
05/01/2011 14.00,"32,2634704","42,1143812","26,6336889","70,09999084",
05/01/2011 15.00,"34,5347352","40,80603784","27,79300335","70,09999084",
05/01/2011 16.00,"45,7175452","54,00925824","17,98878533","70,09999084",
05/01/2011 17.00,"64,4717796","112,76381368","3,36623333","70,09999084",
05/01/2011 18.00,"76,72045312","213,851464","1,42756016","70,09999084",
05/01/2011 19.00,"93,32187112","360,4892448","1,52572214","70,09999084",
05/01/2011 20.00,"93,25695872","353,0056768","2,57079491","70,09999084",
05/01/2011 21.00,"101,56823152","485,220668","1,67888427","70,09999084",
05/01/2011 22.00,"114,6718176","575,3393464","2,69518715","70,09999084",
05/01/2011 23.00,"130,18144536","694,59614","2,42355194","70,09999084",
06/01/2011 0.00,"103,12729544","550,9709064","3,28076753","70,09999084",
06/01/2011 1.00,"82,34672344","422,8994104","0,75820773",,
06/01/2011 2.00,"58,5680972","234,8934064","0,32325384",,
06/01/2011 3.00,,,"0,16162692",,
06/01/2011 4.00,"39,86250408","72,11501872","0,5568065",,
06/01/2011 5.00,"20,77730248","23,02615864","7,40605247",,
06/01/2011 6.00,"12,85704324","14,67040507",,"46,79999161",
06/01/2011 7.00,"15,66368907","17,37297692","11,16323198","46,79999161",
06/01/2011 8.00,"24,43243464","29,2662192","4,8538749","46,79999161",
06/01/2011 9.00,"27,88152968","37,14859216","5,20759239","46,79999161",
06/01/2011 10.00,"33,28067352","56,32274","8,49597483","46,79999161",
06/01/2011 11.00,"39,92311448","65,26699952","14,32467855","46,79999161",
06/01/2011 12.00,"39,99066544","64,71902032","22,35016455","46,79999161",
06/01/2011 13.00,"48,39438344","75,97027992","20,92852755","46,79999161",
