
Stat, San Pietro In Lama,,,,,
Parm,NO2,NOX,CO,O3,PM10,BENZENE



04/01/2011 19.00,"91,4","142,1","1,3","19,2",,"4,2"
04/01/2011 20.00,"75,6","115,6","1,4","18,9","76,7","7,3"
04/01/2011 21.00,"67,7",98,"1,5","17,1",,"6,4"
04/01/2011 22.00,"70,5",124,"1,6",16,"88,9","8,1"
04/01/2011 23.00,"62,7","117,1","1,3","7,8",,8
05/01/2011 0.00,"66,5","107,6","1,3","8,9","93,3","5,7"
05/01/2011 1.00,"65,4","125,5","1,3","8,8",,"5,7"
05/01/2011 2.00,"55,7","91,1","1,3","8,4","94,3","5,9"
05/01/2011 3.00,"51,9",76,"1,4","7,8",,"5,9"
05/01/2011 4.00,"41,2","50,4","1,1","8,2","91,8","5,9"
05/01/2011 5.00,"29,8","33,5","0,9","11,2",,"4,3"
05/01/2011 6.00,"25,8","28,6","0,9","10,2","75,7","3,3"
05/01/2011 7.00,"36,8","40,6","0,6","21,8",,"2,9"
05/01/2011 8.00,"57,5","82,1","0,7","10,7","54,7","1,7"
05/01/2011 9.00,"75,2","119,1","0,7","11,9",,"3,2"
05/01/2011 10.00,"65,3","114,6","0,7","19,9","57,6","2,8"
05/01/2011 11.00,"25,4",39,"0,6","56,4",,"2,7"
05/01/2011 12.00,"11,3","19,5","0,4",69,"43,5","1,8"
05/01/2011 13.00,"13,4","22,5","0,5",70,,"1,3"
05/01/2011 14.00,"15,9","25,5","0,4","72,2","37,6","1,5"
05/01/2011 15.00,"14,9","22,3","0,4","73,6",,"1,3"
05/01/2011 16.00,19,"24,9","0,5","67,9","29,8","1,5"
05/01/2011 17.00,"20,4","28,9","0,6","65,6",,"1,7"
05/01/2011 18.00,"28,9","37,3","0,6",58,"34,7","2,3"
05/01/2011 19.00,"40,1","50,3","0,8","45,6",,"2,8"
05/01/2011 20.00,"50,9","62,7","0,8","34,9","45,4","3,5"
05/01/2011 21.00,"57,4","71,4","0,9","30,5",,"3,5"
05/01/2011 22.00,"53,2",66,"0,9","30,4","57,6","4,4"
05/01/2011 23.00,"35,4","39,1","0,8",42,,"4,1"
06/01/2011 0.00,"25,7","30,7","0,7","44,4","51,8","3,2"
06/01/2011 1.00,24,"30,8","0,6","48,6",,"2,5"
06/01/2011 2.00,,,"0,6",,"37,6","1,7"
06/01/2011 3.00,"24,4","26,8",,"35,3",,"1,5"
06/01/2011 4.00,20,"22,3","0,3","39,3","29,8","1,6"
06/01/2011 5.00,"13,9","16,6","0,3","43,9",,"1,4"
06/01/2011 6.00,13,"14,4","0,3","37,2","21,5","1,2"
06/01/2011 7.00,"9,5","11,1","0,3","44,1",,"1,3"
06/01/2011 8.00,23,32,"0,3","29,2","15,6",1
