
Stat, San Pietro In Lama,,,,,
Parm,NO2,NOX,CO,O3,PM10,BENZENE



12/03/2011 0.00,"106,5","157,2","1,2","3,5","109,9","6,9"
12/03/2011 1.00,"94,5",130,"1,1","1,7",,6
12/03/2011 2.00,"88,3","136,9",1,"1,6","95,2","4,9"
12/03/2011 3.00,"70,7","100,3","0,8","5,2",,"4,3"
12/03/2011 4.00,"30,7","34,3","0,5","43,9","90,8","3,3"
12/03/2011 5.00,"22,3",25,"0,4","52,7",,"2,3"
12/03/2011 6.00,"15,9","17,7","0,4",63,"53,2","2,1"
12/03/2011 7.00,"25,8",32,"0,4","56,6",,"1,8"
12/03/2011 8.00,"68,3","88,8","0,5","37,2",43,"1,5"
12/03/2011 9.00,"34,8","46,5","0,4","68,9",,"1,8"
12/03/2011 10.00,"11,9","16,8","0,3","107,4","27,4","1,7"
12/03/2011 11.00,"9,5",14,"0,3","113,1",,"1,1"
12/03/2011 12.00,"7,9","11,1","0,3","118,7","12,7","1,3"
12/03/2011 13.00,"7,1","10,9","0,3","118,1",,1
12/03/2011 14.00,"6,8","11,2","0,3","117,6",20,1
12/03/2011 15.00,"5,9","8,9","0,2","119,9",,"0,9"
12/03/2011 16.00,"4,3",7,"0,2","123,6","16,6","0,8"
12/03/2011 17.00,"5,1","8,4","0,3","120,4",,"0,8"
12/03/2011 18.00,"7,5","10,7","0,3","116,4","17,6","0,9"
12/03/2011 19.00,"11,9","15,9","0,3","103,4",,"1,2"
12/03/2011 20.00,"24,9","33,6","0,4","84,3","35,7","1,2"
12/03/2011 21.00,"22,8","28,1","0,4","82,6",,"1,9"
12/03/2011 22.00,"17,5","22,8","0,3","89,1","34,7","1,8"
12/03/2011 23.00,"19,2","22,8","0,3","82,7",,"1,6"
13/03/2011 0.00,"17,4","19,7","0,3","84,1","34,7","1,4"
13/03/2011 1.00,"12,2","14,4","0,3",89,,"1,2"
13/03/2011 2.00,,,"0,3",,"31,7",1
13/03/2011 3.00,"12,6","14,6",,85,,"0,9"
13/03/2011 4.00,"7,6","9,8","0,3","88,7","19,5","0,8"
13/03/2011 5.00,"4,2","5,6","0,3","93,1",,"0,6"
13/03/2011 6.00,"3,9","5,3","0,3","93,2",19,"0,6"
13/03/2011 7.00,"3,3","4,7","0,3","95,2",,"0,7"
13/03/2011 8.00,"5,8","8,3","0,3","93,2","18,6","0,6"
13/03/2011 9.00,"3,6","5,6","0,3","101,5",,"0,6"
13/03/2011 10.00,"2,6","4,7","0,3","104,7","10,3","0,6"
13/03/2011 11.00,"3,3","6,2","0,3","104,8",,"0,7"
13/03/2011 12.00,"3,1",6,"0,3","108,9","26,4","0,8"
13/03/2011 13.00,"5,1","10,4","0,4","108,5",,"0,7"
13/03/2011 14.00,"4,6","7,7","0,3","110,3","24,4",1
13/03/2011 15.00,"2,8","4,7","0,3","111,7",,"0,7"
13/03/2011 16.00,"2,4","4,4","0,3","114,7","28,3","0,7"
13/03/2011 17.00,"2,5",5,"0,3",106,,"0,7"
13/03/2011 18.00,"4,4","6,6","0,3","101,7","30,8","0,7"
13/03/2011 19.00,"6,5","9,4","0,3","97,6",,"0,8"
13/03/2011 20.00,"8,6",13,"0,4","95,1","31,7","0,9"
13/03/2011 21.00,"7,3","10,6","0,3",92,,"0,8"
13/03/2011 22.00,"6,5","10,7","0,3","90,4","32,7","0,9"
13/03/2011 23.00,"4,1","5,7","0,3","91,6",,"0,9"
14/03/2011 0.00,"4,3","6,9","0,3","93,5","30,8","0,9"
14/03/2011 1.00,"2,3","3,9","0,3","92,2",,"0,7"
14/03/2011 2.00,"1,4","3,2","0,3","90,1","21,5","0,6"
14/03/2011 3.00,,,"0,3","90,8",,"0,6"
14/03/2011 4.00,,,"0,3","93,3","23,4","0,6"
14/03/2011 5.00,,,"0,3","93,5",,"0,5"
14/03/2011 6.00,,,"0,3","92,1","31,3","0,6"
14/03/2011 7.00,"4,6",7,"0,3",87,,"0,5"
14/03/2011 8.00,"10,1","15,1","0,3","81,1","39,6","0,7"
14/03/2011 9.00,"9,2","14,6","0,3","84,2",,"0,8"
14/03/2011 10.00,"9,7","16,3","0,3","87,2","52,3","0,8"
14/03/2011 11.00,"6,4","11,5","0,3","91,1",,"0,8"
14/03/2011 12.00,"4,3","8,7","0,3","96,1","81,6","0,7"
14/03/2011 13.00,"3,8","7,7","0,3","95,6",,"0,6"
14/03/2011 14.00,"6,7","11,6","0,3","90,7","70,3","0,7"
14/03/2011 15.00,20,"28,9","0,3",90,,"0,7"
14/03/2011 16.00,"5,4","9,8","0,3","90,3",62,"0,7"
14/03/2011 17.00,"6,6","11,8","0,3",88,,"0,7"
14/03/2011 18.00,"6,9",11,"0,3","86,3","46,9","0,7"
14/03/2011 19.00,"9,1","12,7","0,3","85,1",,"0,8"
14/03/2011 20.00,"11,6","16,7","0,4","80,2",40,"0,8"
14/03/2011 21.00,11,"15,2","0,4","77,6",,"0,9"
14/03/2011 22.00,"8,2","11,4","0,4","80,9","37,6","0,9"
14/03/2011 23.00,"5,1","7,4","0,3","85,2",,"0,8"
15/03/2011 0.00,"2,9","4,8","0,3","85,1","34,7","0,8"
15/03/2011 1.00,"1,6","3,2","0,3","87,5",,"0,7"
15/03/2011 2.00,,,"0,3",,"27,4","0,6"
15/03/2011 3.00,,,,"94,8",,"0,6"
15/03/2011 4.00,,,"0,2","96,8","27,8","0,5"
15/03/2011 5.00,1,"2,5","0,2","96,8",,"0,5"
15/03/2011 6.00,"1,6","2,8","0,2","95,6","31,3","0,5"
15/03/2011 7.00,"3,4",5,"0,2","92,9",,"0,5"
15/03/2011 8.00,"9,1","12,5","0,2",87,"23,9","0,6"
15/03/2011 9.00,"12,1",19,"0,3","84,5",,"0,6"
15/03/2011 10.00,"9,7","15,8","0,3","87,1","17,6","0,7"
15/03/2011 11.00,"6,7","11,2","0,2","93,6",,"0,7"
15/03/2011 12.00,"5,3","9,7","0,2","96,8","23,4","0,6"
15/03/2011 13.00,"6,5","10,6","0,2","97,9",,"0,6"
15/03/2011 14.00,10,"14,9","0,3","95,7","26,9","0,7"
15/03/2011 15.00,"10,4","14,4","0,3","96,1",,"0,7"
15/03/2011 16.00,"6,9","11,3","0,2","98,6","27,8","0,7"
15/03/2011 17.00,"6,8",11,"0,2","97,9",,"0,6"
15/03/2011 18.00,9,"13,1","0,3","91,1","36,6","0,7"
15/03/2011 19.00,"11,1","16,2","0,3","88,3",,"0,9"
15/03/2011 20.00,"12,5","19,7","0,3","84,7","37,1",1
15/03/2011 21.00,"8,1","12,3","0,3","89,2",,"0,9"
15/03/2011 22.00,"5,1","7,6","0,3","94,9","45,9",1
15/03/2011 23.00,"2,6","4,9","0,2","97,2",,"0,8"
16/03/2011 0.00,"2,7","5,3","0,2","98,4","40,5","0,7"
16/03/2011 1.00,"1,1","2,8","0,2","100,5",,"0,7"
16/03/2011 2.00,,,"0,2","103,4","44,4","0,8"
16/03/2011 3.00,,,"0,2","103,4",,"0,6"
16/03/2011 4.00,,,"0,2","104,5","58,6","0,6"
16/03/2011 5.00,,,"0,2","102,6",,"0,6"
16/03/2011 6.00,,,"0,2","101,3",64,"0,6"
16/03/2011 7.00,2,"3,6","0,2","100,4",,"0,6"
16/03/2011 8.00,"5,1","7,9","0,2","96,2","66,9","0,7"
16/03/2011 9.00,7,"11,9","0,2","95,7",,"0,7"
16/03/2011 10.00,9,"13,7","0,2","90,3","67,4","0,8"
16/03/2011 11.00,"6,7","10,6","0,2","90,1",,"0,8"
16/03/2011 12.00,6,10,"0,2","90,7","54,2","0,7"
16/03/2011 13.00,"4,8","10,1","0,2","91,8",,"0,6"
16/03/2011 14.00,"6,6","9,9","0,2","92,1","51,3","0,7"
16/03/2011 15.00,"5,6","9,9","0,2","91,9",,"0,7"
16/03/2011 16.00,"4,5","8,3","0,2","90,6","49,8","0,5"
16/03/2011 17.00,7,11,"0,3","90,3",,"0,6"
16/03/2011 18.00,"5,9","9,3","0,2","91,6","50,3","0,9"
16/03/2011 19.00,"5,8","8,9","0,2","89,3",,"0,7"
16/03/2011 20.00,"5,3","8,5","0,2","90,8","42,5","0,6"
16/03/2011 21.00,"4,6","7,5","0,2","92,8",,"0,6"
16/03/2011 22.00,"2,6","4,9","0,2","94,3",42,"0,7"
16/03/2011 23.00,"2,3","3,8","0,2",90,,"0,6"
17/03/2011 0.00,,,"0,2",94,"33,7","0,6"
17/03/2011 1.00,,,"0,2","96,9",,"0,5"
17/03/2011 2.00,,,"0,2",,"32,7","0,4"
17/03/2011 3.00,"1,1","2,5",,"97,1",,"0,4"
17/03/2011 4.00,"1,3","3,1","0,2","94,3","48,8","0,4"
17/03/2011 5.00,"1,5","2,8","0,2","94,7",,"0,4"
17/03/2011 6.00,"1,1","2,7","0,2","92,1","61,1","0,5"
17/03/2011 7.00,"2,3","3,7","0,2","89,4",,"0,4"
17/03/2011 8.00,"3,1",5,"0,2","85,3","70,8","0,5"
17/03/2011 9.00,"4,2","6,5","0,2","87,8",,"0,5"
17/03/2011 10.00,"3,2","5,6","0,2","92,2","53,7","0,5"
17/03/2011 11.00,"3,7","6,5","0,2",92,,"0,5"
17/03/2011 12.00,"3,6",7,"0,2","91,7","29,8","0,5"
17/03/2011 13.00,4,"7,5","0,2","94,7",,"0,6"
17/03/2011 14.00,"3,2","6,1","0,2","98,2",19,"0,5"
17/03/2011 15.00,"2,1","4,4","0,2","98,4",,"0,6"
17/03/2011 16.00,"2,8","5,1","0,2","97,8","12,7","0,5"
17/03/2011 17.00,3,"6,4","0,2","99,4",,"0,6"
17/03/2011 18.00,"4,4","7,5","0,2","94,9","17,6","0,6"
17/03/2011 19.00,"12,9",18,"0,2","81,8",,"0,6"
17/03/2011 20.00,"31,4","39,3","0,3","56,1","29,3","0,8"
17/03/2011 21.00,"19,5","26,3","0,3","59,5",,"1,3"
17/03/2011 22.00,"15,9","22,2","0,3",62,"37,1","1,1"
17/03/2011 23.00,"13,3","18,3","0,3","54,8",,"1,2"
18/03/2011 0.00,"8,1","10,6","0,2","56,3","63,5","1,2"
18/03/2011 1.00,"5,7","8,7","0,2","61,9",,"0,8"
18/03/2011 2.00,"5,5","7,4","0,2","58,2","58,6","0,7"
18/03/2011 3.00,"6,8","8,3","0,2","56,3",,"0,7"
18/03/2011 4.00,"3,8","5,9","0,2","62,9","51,3","0,8"
18/03/2011 5.00,"3,5",5,"0,2","60,1",,"0,5"
18/03/2011 6.00,"6,2","8,3","0,2","56,4",43,"0,5"
18/03/2011 7.00,"15,8","20,1","0,2","45,2",,"0,5"
18/03/2011 8.00,"26,6","43,4","0,3","43,7","32,2","0,6"
18/03/2011 9.00,"35,2","51,4","0,3","41,2",,1
18/03/2011 10.00,"18,9","28,3","0,3","68,5","21,5",1
18/03/2011 11.00,"17,1","24,5","0,2","75,7",,"0,8"
18/03/2011 12.00,"8,8","13,4","0,2","85,2","20,5","0,9"
18/03/2011 13.00,"6,9","10,3","0,2","87,1",,"1,1"
18/03/2011 14.00,"8,5","12,9","0,2","85,1",21,"0,7"
18/03/2011 15.00,"9,4","13,1","0,2","87,9",,"0,7"
18/03/2011 16.00,"11,6","16,4","0,2","84,1","10,3","0,7"
18/03/2011 17.00,"21,5","28,7","0,3","71,3",,"0,8"
18/03/2011 18.00,"25,9",35,"0,3","65,9","16,1","0,9"
18/03/2011 19.00,"43,8","52,2","0,3","47,8",,1
18/03/2011 20.00,38,"43,5","0,4","44,7","26,9","1,9"
18/03/2011 21.00,"51,8","57,1","0,5","30,9",,"2,1"
18/03/2011 22.00,"34,8","38,4","0,6","36,9","31,3","2,7"
18/03/2011 23.00,28,31,"0,6","29,5",,"2,9"
19/03/2011 0.00,"30,5","34,5","0,6","22,3","37,1","2,5"
19/03/2011 1.00,"21,5","25,3","0,4","38,2",,"2,4"
19/03/2011 2.00,,,"0,3",,"31,3","1,7"
19/03/2011 3.00,"19,9","22,2",,"20,2",,"1,4"
19/03/2011 4.00,"13,1","14,8","0,4","39,2","26,9","1,5"
19/03/2011 5.00,"9,8","11,3","0,2","57,5",,"0,9"
19/03/2011 6.00,"6,5","8,2","0,2","38,2","31,7","0,5"
19/03/2011 7.00,"9,2","11,5","0,3","26,5",,"0,5"
19/03/2011 8.00,"15,1","21,6","0,4","18,5","45,9","0,5"
19/03/2011 9.00,22,"34,7","0,4",25,,"0,8"
19/03/2011 10.00,"19,9",33,"0,4","49,6","30,3",1
19/03/2011 11.00,"18,6","27,9","0,3","69,1",,"0,8"
19/03/2011 12.00,"13,9","21,2","0,3","76,7","13,7","0,5"
19/03/2011 13.00,"10,3","16,9","0,3","84,8",,"0,7"
19/03/2011 14.00,"16,2",25,"0,3","80,3","13,7","0,6"
19/03/2011 15.00,"10,1",16,"0,3","74,8",,"0,8"
19/03/2011 16.00,"8,9","13,3","0,3","73,9","7,3","0,6"
19/03/2011 17.00,"10,1","16,1","0,3","76,7",,"0,6"
19/03/2011 18.00,"13,4","19,5","0,3","71,3","17,1","0,6"
19/03/2011 19.00,16,"21,6","0,4","53,3",,"0,8"
19/03/2011 20.00,"30,4","39,1","0,6","31,9","18,6","1,6"
19/03/2011 21.00,"31,3","38,6","0,5","37,4",,"1,6"
19/03/2011 22.00,"24,9","33,1","0,5","34,8",23,"1,3"
19/03/2011 23.00,"24,2","29,1","0,5","34,8",,"1,4"
20/03/2011 0.00,"10,9","14,2","0,4","50,2","24,9","1,2"
20/03/2011 1.00,"12,7","15,6","0,4",54,,1
20/03/2011 2.00,"14,4","18,6","0,4","51,8","18,1","1,1"
20/03/2011 3.00,"13,2",16,"0,4","49,8",,1
20/03/2011 4.00,"7,9","10,3","0,3","49,9","16,1","0,9"
20/03/2011 5.00,"7,1","9,1","0,3","41,5",,"0,8"
20/03/2011 6.00,"9,8","11,9","0,4","35,5","18,1","0,9"
20/03/2011 7.00,"11,3","14,2","0,3","31,8",,"0,9"
20/03/2011 8.00,"10,2","15,3","0,3","28,1","19,5","0,8"
20/03/2011 9.00,"6,3","10,3","0,3","49,4",,1
20/03/2011 10.00,"3,7","7,6","0,3",62,"13,7","0,9"
20/03/2011 11.00,"4,4","10,7","0,4","67,5",,"0,8"
20/03/2011 12.00,"6,2","12,2","0,4","63,9","15,6","0,8"
20/03/2011 13.00,"6,3","13,4","0,4","65,7",,"1,5"
20/03/2011 14.00,"4,8","9,8","0,4",68,"13,2","1,2"
20/03/2011 15.00,"2,2",5,"0,3","70,3",,"1,2"
20/03/2011 16.00,"3,4","6,6","0,4","69,3","18,6",1
20/03/2011 17.00,"3,6","6,8","0,4",66,,"1,1"
20/03/2011 18.00,"7,5","12,1","0,4","61,6","13,2","1,1"
20/03/2011 19.00,"13,7",21,"0,5","51,9",,"1,3"
20/03/2011 20.00,"19,4","26,9","0,5","56,5","23,9","1,4"
20/03/2011 21.00,24,"32,8","0,5","53,9",,"1,3"
20/03/2011 22.00,"21,4","29,1","0,5","51,2","15,6","1,5"
20/03/2011 23.00,"11,9","17,2","0,4","49,8",,"1,2"
21/03/2011 0.00,"8,7","13,6","0,4",49,"16,6","1,3"
21/03/2011 1.00,"6,3","9,7","0,4","48,5",,"1,5"
21/03/2011 2.00,,,"0,4",,"11,2","1,2"
21/03/2011 3.00,"1,4","3,5",,"50,5",,"1,1"
21/03/2011 4.00,,,"0,3",52,"13,7","1,1"
21/03/2011 5.00,"1,3","3,1","0,3","45,9",,1
21/03/2011 6.00,"2,2","3,8","0,3","45,6","12,2","1,1"
21/03/2011 7.00,"6,4","9,1","0,4","40,9",,1
21/03/2011 8.00,"15,1",21,"0,4","33,6",19,"1,2"
21/03/2011 9.00,"32,5","49,5","0,5","24,2",,"1,4"
21/03/2011 10.00,"31,1","44,9","0,5","25,4","20,5","1,5"
21/03/2011 11.00,"16,4","30,5","0,4","40,1",,"1,7"
21/03/2011 12.00,"12,2","22,5","0,3","47,8","17,1","1,3"
21/03/2011 13.00,"10,6","20,9","0,3","61,8",,"1,5"
21/03/2011 14.00,"15,4","26,8","0,4","66,5","18,1","1,1"
21/03/2011 15.00,"9,8",17,"0,3","73,9",,"1,1"
21/03/2011 16.00,"7,3","13,5","0,3","78,7","17,1","1,1"
21/03/2011 17.00,"7,8","13,8","0,3","81,3",,"1,1"
21/03/2011 18.00,14,"20,6","0,3","72,6",20,"1,1"
21/03/2011 19.00,"22,4",31,"0,4","57,7",,"1,1"
21/03/2011 20.00,"25,1","33,7","0,4","50,4","29,3","1,7"
21/03/2011 21.00,"22,1","28,4","0,4","54,6",,"1,6"
21/03/2011 22.00,"24,2","30,3","0,4",47,"31,3","1,4"
21/03/2011 23.00,"25,5","33,7","0,5","35,2",,"1,5"
22/03/2011 0.00,17,"20,3","0,4","36,1","35,2","1,8"
22/03/2011 1.00,"9,6","12,6","0,3","46,3",,"1,2"
22/03/2011 2.00,"4,6","6,2","0,3","56,2","24,9","0,9"
22/03/2011 3.00,"1,3",3,"0,3","61,7",,"0,8"
22/03/2011 4.00,"2,2","3,9","0,3","58,3","25,4","0,8"
22/03/2011 5.00,"1,9","3,8","0,3","54,4",,"0,8"
22/03/2011 6.00,"10,4","12,3","0,3","40,7","17,6","0,8"
22/03/2011 7.00,21,"24,5","0,3","34,1",,1
22/03/2011 8.00,"19,5","27,1","0,4","43,3","18,1","1,1"
22/03/2011 9.00,"18,7","33,5","0,4","52,1",,"1,1"
22/03/2011 10.00,"11,9","22,5","0,4","65,3","23,4","1,3"
22/03/2011 11.00,"7,6","15,4","0,3","73,2",,"1,1"
22/03/2011 12.00,"5,9","12,8","0,3","77,7","22,5",1
22/03/2011 13.00,"5,9","12,3","0,3",77,,"1,1"
22/03/2011 14.00,,,"0,3","80,5","13,2","1,1"
22/03/2011 15.00,,,"0,2","88,2",,"1,3"
22/03/2011 16.00,"5,6","10,6","0,2","93,4","5,9","1,2"
22/03/2011 17.00,"8,5","14,8","0,2","91,3",,"1,1"
22/03/2011 18.00,"13,8","20,7","0,2",83,"4,9",1
22/03/2011 19.00,"20,6","26,7","0,3","71,1",,"1,3"
22/03/2011 20.00,"25,7","31,2","0,3","61,2",22,"1,6"
22/03/2011 21.00,38,"45,4","0,4",47,,"1,8"
22/03/2011 22.00,"35,5",43,"0,4","45,9","28,8","2,2"
22/03/2011 23.00,"15,5","19,3","0,3","63,2",,"2,1"
23/03/2011 0.00,"8,3","11,3","0,2","71,8","24,9","1,6"
23/03/2011 1.00,"5,5","8,4","0,3","68,8",,"1,3"
23/03/2011 2.00,,,"0,2",,"18,6","1,3"
23/03/2011 3.00,"2,9","4,6",,"65,8",,"1,2"
23/03/2011 4.00,"2,1","3,7","0,3","65,1","23,9","1,2"
23/03/2011 5.00,"4,4","6,3","0,3","53,3",,"1,2"
23/03/2011 6.00,"4,9","6,8","0,3","48,6","26,4","1,1"
23/03/2011 7.00,"12,2","15,3","0,3","43,5",,"1,2"
23/03/2011 8.00,"19,3","26,3","0,4","44,2","26,9","1,3"
23/03/2011 9.00,"23,5","36,9","0,5","56,9",,"1,4"
23/03/2011 10.00,"12,9","21,5","0,4","82,1","27,8","1,6"
23/03/2011 11.00,"8,2","14,4","0,3","90,6",,"1,4"
23/03/2011 12.00,"6,5","10,9","0,3","94,4","24,4","1,3"
23/03/2011 13.00,"6,9",12,"0,3","96,7",,1
23/03/2011 14.00,"9,5","16,7","0,3","93,7","27,4",1
23/03/2011 15.00,"7,5","13,6","0,3",97,,"1,4"
23/03/2011 16.00,"7,4","14,2","0,3","98,8","16,1",1
23/03/2011 17.00,"13,2","19,2","0,3","97,5",,1
23/03/2011 18.00,"21,6","27,4","0,3",87,"24,4","1,1"
23/03/2011 19.00,"28,6","37,3","0,4","82,9",,"1,1"
23/03/2011 20.00,"34,2","41,6","0,4","73,1","28,3","1,8"
23/03/2011 21.00,"29,5","34,7","0,4",74,,"1,8"
23/03/2011 22.00,"26,1","30,5","0,4","78,8","41,5","1,6"
23/03/2011 23.00,"14,8","17,9","0,4","84,9",,"1,4"
24/03/2011 0.00,"11,6",14,"0,3","83,5","34,2","1,2"
24/03/2011 1.00,"8,5","10,7","0,3","89,6",,"1,2"
24/03/2011 2.00,"8,6","10,4","0,3","84,6","37,1",1
24/03/2011 3.00,"7,7","9,6","0,3","75,9",,1
24/03/2011 4.00,"8,2","10,1","0,3","73,2","36,6",1
24/03/2011 5.00,8,"9,9","0,3","70,4",,"1,1"
24/03/2011 6.00,"8,8","10,7","0,3",65,"30,8",1
24/03/2011 7.00,21,"24,7","0,3","54,4",,1
24/03/2011 8.00,"29,6","39,2","0,4","53,9","34,7","1,1"
24/03/2011 9.00,"31,8","46,3","0,5","63,4",,"1,4"
24/03/2011 10.00,"22,1","34,7","0,4","81,7","33,7","1,7"
24/03/2011 11.00,"17,4","25,2","0,3","87,4",,"1,5"
24/03/2011 12.00,"21,1","30,3","0,3","87,5","30,3","1,2"
24/03/2011 13.00,"12,7","19,5","0,3","104,4",,"1,1"
24/03/2011 14.00,"11,2","17,6","0,3","107,9","29,3",1
24/03/2011 15.00,"10,1","15,1","0,3",110,,"0,9"
24/03/2011 16.00,"12,9",19,"0,3",108,"28,3","0,8"
24/03/2011 17.00,"24,7","32,7","0,3","95,5",,"0,9"
24/03/2011 18.00,"35,2",43,"0,3",85,"37,6",1
24/03/2011 19.00,50,"59,5","0,4","70,5",,"1,1"
24/03/2011 20.00,"36,9","42,3","0,4","80,2","45,4","1,7"
24/03/2011 21.00,"31,7","36,7","0,5","79,7",,"1,5"
24/03/2011 22.00,"39,3","44,8","0,5","67,8","40,5","1,8"
24/03/2011 23.00,"26,8","29,7","0,4","71,6",,"1,6"
25/03/2011 0.00,"21,8","24,6","0,4","69,2",40,"1,5"
25/03/2011 1.00,"17,7","19,6","0,3","64,3",,"1,1"
25/03/2011 2.00,,,"0,3",,"40,5","0,9"
25/03/2011 3.00,"11,1",13,,"52,5",,"0,8"
25/03/2011 4.00,8,"9,6","0,3","43,9","37,6",1
25/03/2011 5.00,"7,4","9,2","0,3","49,4",,"1,2"
25/03/2011 6.00,"11,7","13,8","0,3","39,2","27,4",1
25/03/2011 7.00,"32,3","49,1","0,6","14,4",,"1,2"
25/03/2011 8.00,"44,5","70,6","0,7","18,1","41,5","2,2"
25/03/2011 9.00,"37,9","61,6","0,6","34,6",,"2,3"
25/03/2011 10.00,"29,3","42,1","0,5","59,2","35,2",2
25/03/2011 11.00,"20,9","29,6","0,3","88,1",,"1,9"
25/03/2011 12.00,22,"31,8","0,3","92,7","27,8","0,8"
25/03/2011 13.00,"16,8","23,6","0,3",102,,"0,7"
25/03/2011 14.00,"15,9","21,9","0,3","111,4","27,8","0,8"
25/03/2011 15.00,"10,5","15,7","0,3","117,6",,"0,8"
25/03/2011 16.00,"10,4","15,5","0,3","119,3","20,5","0,9"
25/03/2011 17.00,"13,1","18,4","0,3","109,6",,"0,9"
25/03/2011 18.00,"17,4","23,2","0,3","96,7","27,4","0,9"
25/03/2011 19.00,"29,3","35,2","0,4","83,7",,"0,9"
25/03/2011 20.00,"61,3","69,8","0,5","52,8","42,5","1,9"
25/03/2011 21.00,"22,9","28,9","0,4","82,6",,"1,9"
25/03/2011 22.00,"31,8","36,6","0,4","63,9","46,9","1,7"
25/03/2011 23.00,"20,1","23,2","0,4","80,2",,"1,7"
26/03/2011 0.00,"9,5",12,"0,3","87,5",40,"1,5"
26/03/2011 1.00,"7,2","9,7","0,3","86,6",,1
26/03/2011 2.00,"8,8","11,4","0,3","84,5","35,7","0,9"
26/03/2011 3.00,"10,4","12,4","0,3","80,2",,"0,9"
26/03/2011 4.00,"11,9","13,9","0,3","74,5","27,8","0,8"
26/03/2011 5.00,11,"12,6","0,3","70,8",,"0,9"
26/03/2011 6.00,"12,6","14,5","0,3",65,"28,3","0,9"
26/03/2011 7.00,"10,2","12,5","0,3","56,8",,1
26/03/2011 8.00,"20,7","28,6","0,3","49,3","37,6",1
26/03/2011 9.00,"21,3","30,8","0,4",69,,"1,3"
26/03/2011 10.00,"15,4","22,8","0,4","89,1","27,8","1,3"
26/03/2011 11.00,11,"14,7","0,4","101,1",,"1,5"
26/03/2011 12.00,"9,9","14,6","0,4","108,7","24,4","1,3"
26/03/2011 13.00,"5,6","8,1","0,3","115,9",,"1,1"
26/03/2011 14.00,"6,9","11,3","0,2","113,6","17,6","0,8"
26/03/2011 15.00,"4,3","8,3","0,2","116,6",,"0,5"
26/03/2011 16.00,"3,6","6,5","0,2","116,7","15,6","0,5"
26/03/2011 17.00,"7,6","10,9","0,3","112,4",,"0,7"
26/03/2011 18.00,"14,3","18,3","0,3","101,3","17,6","0,9"
26/03/2011 19.00,"20,8","26,2","0,4","88,1",,"1,2"
26/03/2011 20.00,"17,9","23,9","0,4","91,1","36,1","1,4"
26/03/2011 21.00,"23,9",31,"0,4","78,6",,"1,6"
26/03/2011 22.00,42,"50,4","0,5","60,1","50,3","1,4"
26/03/2011 23.00,"24,9","29,5","0,5","69,5",,"1,9"
27/03/2011 0.00,"16,4","19,9","0,4","70,6","50,8","1,8"
27/03/2011 1.00,"21,2","26,5","0,4","59,8",,"1,5"
27/03/2011 2.00,,,"0,5",,"47,9","1,5"
27/03/2011 3.00,"18,9","22,3",,"50,5",,
27/03/2011 4.00,"14,7","17,2","0,4","59,8","40,5","0,7"
27/03/2011 5.00,"11,7","14,9","0,3",67,,"0,9"
27/03/2011 6.00,12,14,"0,3","44,3","35,7","0,8"
27/03/2011 7.00,"17,4","20,4","0,4","38,1",,"0,9"
27/03/2011 8.00,"19,3","25,7","0,5","28,6","30,3","1,2"
27/03/2011 9.00,"15,8","21,2","0,4","54,6",,"1,8"
27/03/2011 10.00,"7,5","11,7","0,4","87,3","28,8","1,6"
27/03/2011 11.00,"6,5","10,1","0,3","104,8",,"1,1"
27/03/2011 12.00,"7,5","11,6","0,3","112,8","14,7","0,8"
27/03/2011 13.00,"6,2","9,5","0,3","117,6",,"0,8"
27/03/2011 14.00,"5,4","8,3","0,3",118,"12,7","0,9"
27/03/2011 15.00,"3,2","5,2","0,3","108,2",,"0,8"
27/03/2011 16.00,"6,2","9,7","0,3",104,"23,4","0,6"
27/03/2011 17.00,"5,4","8,6","0,3","106,7",,"0,6"
27/03/2011 18.00,12,"16,3","0,3","97,5",21,"0,6"
27/03/2011 19.00,"37,6","47,9","0,4","67,1",,"0,8"
27/03/2011 20.00,"57,4","68,1","0,5","53,6","32,7","1,3"
27/03/2011 21.00,"83,9","97,5","0,6","30,4",,"1,6"
27/03/2011 22.00,"43,1",50,"0,5","47,2",40,"2,1"
27/03/2011 23.00,"21,4","24,8","0,4","60,5",,"1,7"
28/03/2011 0.00,"16,8","20,5","0,4","59,6","45,9","1,5"
28/03/2011 1.00,"7,9","9,9","0,4","65,4",,"1,4"
28/03/2011 2.00,"5,3","7,3","0,3","68,4","33,7","1,1"
28/03/2011 3.00,"6,9","8,6","0,3","65,9",,"0,9"
28/03/2011 4.00,10,"11,8","0,3","66,1","30,3","0,8"
28/03/2011 5.00,"7,2",9,"0,3","68,6",,"0,6"
28/03/2011 6.00,"11,7","14,2","0,3",60,"29,8","0,6"
28/03/2011 7.00,"24,6","32,3","0,4","48,9",,"0,7"
28/03/2011 8.00,"22,4","31,4","0,3","56,7","30,3",1
28/03/2011 9.00,"15,4","23,8","0,3",64,,"0,8"
28/03/2011 10.00,"7,3","12,2","0,3","80,3","32,7","0,8"
28/03/2011 11.00,"5,8","10,7","0,3","81,5",,"0,8"
28/03/2011 12.00,"4,9","9,1","0,3","85,7","32,7","0,8"
28/03/2011 13.00,"5,6","10,9","0,3","88,6",,"0,7"
28/03/2011 14.00,"5,2","10,2","0,3","90,6","34,7","0,7"
28/03/2011 15.00,"4,2","9,6","0,3","90,3",,"0,7"
28/03/2011 16.00,"4,9","9,2","0,3","86,3","32,7","0,6"
