BARI - JAPIGIA,,,,,,,
,Japigia,,,,,,
,SO2,NO2,NOX,CO,PM10,BENZENE,CH4



01/01/2011 20.00,"6,59054036","87,43893392","180,51809576","0,89579413","27,27593994","2,80398799","723,94756"
01/01/2011 21.00,"5,81231467","77,16627416","146,93293624","0,93614973","27,27227974","2,37169485","670,72033"
01/01/2011 22.00,"5,3536853","74,05527808","153,85489248","1,15694286","27,27160072","3,01843159","699,25548"
01/01/2011 23.00,"6,43345047","65,75018104","127,60414584","1,00778791","27,27416992","3,48430302","750,07681"
02/01/2011 0.00,"6,29261224","60,97660536","121,21003544","1,0779279","27,27375984","2,77073514","740,59384"
02/01/2011 1.00,"2,98018832","55,54891536","81,03105712","0,6577625",,"2,5587242","681,04757"
02/01/2011 2.00,,"43,8771496","53,15520608","0,50324272",,"1,56761194","648,37682"
02/01/2011 3.00,"5,18215096",,,"0,39442473",,"1,24318894","653,73889"
02/01/2011 4.00,"5,36632457","46,4521356","51,24865528","0,45221689",,"1,03928959","648,29793"
02/01/2011 5.00,"5,45480052","31,07883344","34,55398904","0,37422713",,"1,43232755","647,01413"
02/01/2011 6.00,"5,9332919","23,58102104","28,2040076",,"11,0518198","1,29331178","643,77376"
02/01/2011 7.00,"4,92755721","38,17042232","48,2007552","0,33787563","11,05167961","0,85647672","633,68956"
02/01/2011 8.00,"5,05214582","43,0504008","56,29776928","0,34669235","11,05018997","0,81219349","628,24125"
02/01/2011 9.00,"5,82134258","35,74726824","44,49919968","0,41381266","11,04870033","0,90870882","626,67227"
02/01/2011 10.00,"5,31396128","46,07315808","67,21440976","0,59320519","11,05072975","1,89106167","639,72881"
02/01/2011 11.00,"5,91704126","48,10691424","64,51151096","0,75295115","11,04992008","3,18226521","664,81387"
02/01/2011 12.00,"7,0527811","45,63966944","58,4105484","0,65454826","11,05276966","4,11692787","658,73101"
02/01/2011 13.00,"6,42622875","26,1352236","33,9469864","0,4368319","11,0493803","2,59230249","632,27983"
02/01/2011 14.00,"6,47317449","21,02551832","27,16252208","0,37840831","11,05072975","1,50467387","478,173801"
02/01/2011 15.00,"6,6483202","18,65561153","23,58677616","0,33083321","11,05128002","0,98040631","526,46923"
02/01/2011 16.00,"6,98055579","21,34868456","25,44273544","0,32371273","11,05113983","1,03555822","527,24294"
02/01/2011 17.00,"6,95527724","27,79910336","31,25578904","0,33882278","11,05086994","0,89832729","591,35307"
02/01/2011 18.00,"6,14455026","46,23667232","50,77654424","0,51499874","11,05072975","0,92006363","580,44812"
02/01/2011 19.00,"5,5811943","70,14217888","79,84303592","0,60839329","11,05006027","1,21399087","628,51075"
02/01/2011 20.00,"6,01454512","82,5589172","93,3730936","0,62862934","11,05033016","1,67337383","639,83122"
02/01/2011 21.00,"6,81443799","75,4660664","83,90905688","0,56971413","11,05033016","1,53857557","683,88222"
02/01/2011 22.00,"6,69887832","89,2092356","116,94170576","0,76068326","11,05290985","1,63282096","662,83966"
02/01/2011 23.00,"6,63568092","71,79049496","84,08285768","0,70249733","11,05072975","2,76311069","646,36635"
03/01/2011 0.00,"6,41810292","58,9246852","64,70345664","0,54557183","11,05086994","1,94394262","660,93846"
03/01/2011 1.00,"6,27636058","49,11666056","54,85940992","0,42834953",,"1,31861779","650,90375"
03/01/2011 2.00,"6,69165558","30,16642704","33,7771052","0,41556832",,"1,33451452","641,16157"
03/01/2011 3.00,"5,25979281","25,38376936","28,90955472","0,42742336",,"1,38285355","671,00257"
03/01/2011 4.00,"4,79213553","18,55177846","22,13027192","0,43724547",,"1,58886113","661,86211"
03/01/2011 5.00,"5,70036636","18,12737755","21,63611552","0,42833089",,"1,46687809","655,76945"
03/01/2011 6.00,"5,44396642","18,65431137","22,06671704","0,39304421","8,86053467","1,14148182","650,92335"
03/01/2011 7.00,"4,63504564","25,08136744","29,24807432","0,40594309","8,86433315","1,25292163","659,45229"
03/01/2011 8.00,"6,5345657","31,97305672","38,80287368","0,4517637","8,86894608","1,14440264","668,50994"
03/01/2011 9.00,"6,91916459","44,03808264","56,10062296","0,55868857","8,86338425","1,70192306","652,28653"
03/01/2011 10.00,"6,48581377","40,0964564","51,30959072","0,50424928","8,86718273","2,57202554","650,23245"
03/01/2011 11.00,"6,21858074","35,96531272","47,28379824","0,48130927","8,86392689","2,03380779","652,86081"
03/01/2011 12.00,"6,36122516","30,66222776","41,8157268","0,43696937","8,86487675","1,66120746","645,39223"
03/01/2011 13.00,"6,6176251","35,10223592","44,97389192","0,46097419","8,86392689","1,74653173","628,67"
03/01/2011 14.00,"7,50238256","30,49739424","37,82756248","0,44075678","8,86189175","1,51083791","609,02639"
03/01/2011 15.00,"7,35070921","19,08521116","23,53100312","0,39434551","8,86324787","1,54392906","591,82249"
