BARI - JAPIGIA,,,,,,,
,Japigia,,,,,,
,SO2,NO2,NOX,CO,PM10,BENZENE,CH4



31/01/2011 0.00,"5,67418471","69,61395064","114,2971612","0,82569375","15,55228996","1,47142103","764,80131"
31/01/2011 1.00,"4,51767977","64,6405136","114,7938988","0,71801979","16,12494087","2,19017967","692,53758"
31/01/2011 2.00,"4,68289447","65,58664768","122,46941248","0,70675774","16,12494087","1,86591939","699,45442"
31/01/2011 3.00,"5,18395613","46,75063704","62,91231416","0,55332374","16,12494087","1,98530604","744,56235"
31/01/2011 4.00,"5,29410029","26,86075112","30,29990376","0,4816844","16,12494087","1,87873359","711,68629"
31/01/2011 5.00,"5,01964453","20,3246556","22,5465908","0,4602251","16,12494087","1,40020967","688,27948"
31/01/2011 6.00,"5,0115187","26,70239928","31,21946104","0,42249308","16,12494087","1,43768103","666,30298"
31/01/2011 7.00,"4,90408384","43,87324912","59,55317872","0,4515074","16,12494087","1,4881283","651,61817"
31/01/2011 8.00,"4,68560274","41,7187884","50,75449888","0,47168404","16,12494087","1,36338817","645,55197"
31/01/2011 9.00,"5,94593118","62,52368104","106,66967696","0,79934262","16,12494087","1,69008213","650,15209"
31/01/2011 10.00,"6,35400243","72,0799144","161,20094944","0,83535859","16,12494087","2,51200729","654,31072"
31/01/2011 11.00,"6,23122002","56,178384","85,44856104","0,67300885","16,12494087","2,71039246","652,29927"
31/01/2011 12.00,"5,89717925","51,1452352","67,5153012","0,63657814","16,12494087","2,87406336","628,29466"
31/01/2011 13.00,"5,72203355","43,56696584","57,30422696","0,61093649","16,12494087","2,5191446","621,78991"
31/01/2011 14.00,"5,66425371","42,17044104","55,1629208","0,53925986","16,12494087","1,938103","629,96948"
31/01/2011 15.00,"5,57397157","40,11202008","50,65333496","0,44870558","16,12494087","1,93437265","621,7169"
31/01/2011 16.00,"5,49452454","35,40333768","40,86248008","0,44511621","16,12494087","1,70760097","622,10253"
31/01/2011 17.00,"5,21104088","56,29388792","66,54387136","0,4490609","16,12494087","2,41224773","583,78894"
31/01/2011 18.00,"3,99404783","57,30363424","65,0160304","0,54480177","16,12494087","2,14038125","617,71507"
31/01/2011 19.00,"5,53424856","63,96431568","74,15062952","0,5419813","16,12494087","1,97378953","621,16859"
31/01/2011 20.00,"4,96728123","66,62235896","78,93516096","0,59829391","16,12494087","1,88181612","625,76822"
31/01/2011 21.00,"4,20169482","61,23229712","68,8174688","0,57241576","16,12494087","1,61546382","630,1792"
31/01/2011 22.00,"2,10626395","60,5041884","68,31294936","0,58835296","16,12494087","1,65390845","633,73268"
31/01/2011 23.00,"4,36058988","48,5118376","52,64676704","0,53012743","16,12494087","1,5572304","640,79211"
01/02/2011 0.00,"4,53754178","25,14496056","28,01982464","0,42259094","16,12494087","1,57718292","626,32339"
01/02/2011 1.00,"4,72442468","24,9476804","27,09250464","0,39010491","16,61170959","1,11423029","649,40386"
01/02/2011 2.00,,"24,9022704","27,44786896","0,44000769","16,61170959","1,45065795","675,22392"
01/02/2011 3.00,"4,63323945",,,"0,44710836","16,61170959","1,45828139","677,0183"
01/02/2011 4.00,"4,52219423","38,96730568","41,15819","0,42324217","16,61170959","1,24432391","689,77594"
01/02/2011 5.00,"4,19988965","26,70759992","28,84599984","0,42257113","16,61170959","1,41643082","667,07424"
01/02/2011 6.00,"4,12044161","24,7491192","27,24424096","0,35762005","16,61170959","1,35024853","666,2334"
01/02/2011 7.00,"4,15655426","56,05509824","157,76269544","0,51233671","16,61170959","1,19809414","677,88658"
01/02/2011 8.00,"5,87009451","77,63739096","345,5915144","1,01733509","16,61170959","1,88927785","739,3904"
01/02/2011 9.00,"7,1141723","96,315088","460,58646","1,2544988","16,61170959","3,069366","720,91691"
01/02/2011 10.00,"5,42229924","83,18450448","237,3124688","1,35012083","16,61170959","3,98715867","693,62783"
01/02/2011 11.00,"7,07625447","48,26396592","85,26049672","0,53488179","16,61170959","2,95127603","639,6852"
01/02/2011 12.00,"7,63599907","40,8557116","62,39871272","0,56793867","16,61170959","1,63914772","627,47685"
01/02/2011 13.00,"5,65161341","28,2663388","39,2542204","0,45558956","16,61170959","1,92107029","626,69236"
01/02/2011 14.00,"5,62814105","21,24744416","27,61776928","0,4313098","16,61170959","1,22940147","630,03661"
01/02/2011 15.00,"5,11353702","23,50054496","31,08977008","0,3989426","16,61170959","1,13596764","595,25543"
01/02/2011 16.00,"4,86977738","19,50570776","24,82797008","0,34817074","16,61170959","0,97894691","606,55973"
01/02/2011 17.00,"3,91821116","27,14238872","34,01704208","0,44837006","16,61170959","1,45957908","604,43901"
01/02/2011 18.00,"4,27392013","69,4257716","83,05695496","0,41334084","16,61170959","1,90501186","644,42203"
01/02/2011 19.00,"2,58204706","89,14952384","140,77751992","0,75587064","16,61170959","1,27984874","796,23432"
01/02/2011 20.00,"5,16228895","112,29313664","322,4834648","0,93618934","16,61170959","3,21730289","721,97384"
01/02/2011 21.00,"4,76866215","127,45619528","450,5364144","1,1848318","16,61170959","3,09175119","692,58413"
01/02/2011 22.00,"5,96579319","123,5340332","434,6589752","1,56724538","16,61170959","3,85414524","694,01346"
01/02/2011 23.00,"4,82463681","83,37010232","200,0502656","1,01106273","16,61170959","4,14450383","665,55132"
02/02/2011 0.00,"5,55230438","68,73919152","157,1440296","0,93031192","16,61170959","3,17804771","669,18418"
02/02/2011 1.00,"5,89266479","62,1174384","151,00935848","0,9878268","21,97653008","3,07731488","696,89221"
02/02/2011 2.00,"4,72532676","49,8720344","101,08747824","0,78715322","21,97653008","3,0706637","683,98218"
02/02/2011 3.00,"5,18034477","41,98096184","60,8669904","0,70734839","21,97653008","3,1256539","664,80701"
02/02/2011 4.00,"4,88783319","32,42602864","39,8443592","0,59251551","21,97653008","2,54996478","652,34582"
02/02/2011 5.00,"3,6654236","38,35211968","45,60940248","0,50955469","21,97653008","2,10226104","647,51932"
02/02/2011 6.00,"4,7018544","27,00352016","31,27913456",,"21,97653008","1,53306038","636,76725"
02/02/2011 7.00,"5,2092357","55,3425532","108,57622776","0,48513629","21,97653008","1,41707966","656,943"
02/02/2011 8.00,"5,90801335","67,1233412","132,05273888","0,91837882","21,97653008","1,33224356","662,20119"
02/02/2011 9.00,"5,7057829","78,59392632","149,36995232","0,90313247","21,97653008","2,29886138","696,04157"
02/02/2011 10.00,"6,52553779","83,18970512","174,45732344","1,09701992","21,97653008","2,93992123","714,90069"
02/02/2011 11.00,"5,98746038","87,34937584","194,8391096","1,12203014","21,97653008","4,57760853","722,04636"
02/02/2011 12.00,"5,96398802","64,37315864","104,56597984","0,71875025","21,97653008","4,19105802","661,53283"
02/02/2011 13.00,"6,09760351","50,37819816","69,84725288","0,66659902","21,97653008","2,89498915","645,48533"
02/02/2011 14.00,"6,92096976","47,997892","67,44138328","0,50551098","21,97653008","3,93979291","641,75251"
02/02/2011 15.00,"7,34709785","46,5650392","63,93825512","0,44910051","21,97653008","1,93161454","628,4642"
02/02/2011 16.00,"5,42771578","34,58048936","43,53035104","0,38276774","21,97653008","1,89544087","602,23254"
02/02/2011 17.00,"5,88453998","23,81852968","28,59049928","0,3227283","21,97653008","1,73274324","603,043"
02/02/2011 18.00,"5,58841703","31,40199968","35,04814544","0,44720739","21,97653008","1,05615857","604,71831"
02/02/2011 19.00,"4,64768492","48,52223888","55,88015024","0,82492485","21,97653008","1,27692893",
02/02/2011 20.00,"6,19871873","117,97003672","288,3158336","1,83005074","21,97653008","3,89145389",
02/02/2011 21.00,"4,97450397","140,447872","464,4880872","1,93604826","21,97653008","2,61274114",
02/02/2011 22.00,"5,5811943","139,81966528","433,4085272","2,3915586","21,97653008","3,46645976",
02/02/2011 23.00,"6,28358332","119,26268256","259,8526544","1,89411409","21,97653008","3,82575874","694,15017"
03/02/2011 0.00,"5,17131686","82,86523872","120,94677216","1,62006648","21,97653008","3,11819116","687,68805"
03/02/2011 1.00,"4,83366472","24,59466784","28,32721688","1,13244524","13,95711994","1,97606049","593,26456"
03/02/2011 2.00,,"6,23627671","8,52631162","1,1376924","13,95711994","0,94634189","603,95734"
03/02/2011 3.00,"4,58809889",,,"1,10621177","13,95711994",,"594,35873"
03/02/2011 4.00,"4,64407355","27,93797192","30,50353176","1,12842133","13,95711994","0,93060788","630,21203"
03/02/2011 5.00,"5,13339903","21,41357784","24,10555912","1,1777719","13,95711994","1,19760801","651,32858"
03/02/2011 6.00,"5,27604345","24,36884152","27,19754992","1,18889532","13,95711994","1,09281837","669,46397"
03/02/2011 7.00,"5,01332489","35,45136712","39,30481192","1,20096588","13,95711994","1,27108931","664,49096"
03/02/2011 8.00,"4,65490765","47,12701424","53,79071664","1,23919186","13,95711994","1,38609778","653,79818"
03/02/2011 9.00,"5,39340932","66,37834952","89,84141928","1,44700689","13,95711994","1,41724238","637,04606"
03/02/2011 10.00,"5,57938913","64,71188856","91,51191456","1,47059581","13,95711994","2,27063658","634,95866"
03/02/2011 11.00,"6,44428457","49,81752328","70,46071808","1,36641336","13,95711994","2,38532062","628,10503"
03/02/2011 12.00,"8,37811109","40,27555344","54,67912744","1,2558001","13,95711994","2,07225242","624,36633"
03/02/2011 13.00,"8,0151804","23,47329896","32,73691984","1,13157732","13,95711994","1,75902151","575,10369"
03/02/2011 14.00,"5,4782739","25,71991808","32,12345464","1,16187314","13,95711994","1,33029702","602,43883"
03/02/2011 15.00,"6,69255868","16,55176145","22,02132616","1,08337195","13,95711994","1,03539651","598,88829"
03/02/2011 16.00,"5,89356788","6,0863893","8,06281796","1,0672367","13,95711994","0,88259328",
03/02/2011 17.00,"5,70939427",,,"1,01575651","13,95711994","2,26641908",
03/02/2011 18.00,"3,72410654",,,"0,94026917","13,95711994","2,17850045",
03/02/2011 19.00,"4,02835531","19,59526584","25,17687184",,"13,95711994","1,74361192",
03/02/2011 20.00,"4,38857772","23,12806824","28,71370856","0,88498526","13,95711994",,
03/02/2011 21.00,,"41,81482816","47,58857104","0,8141754","13,95711994","1,11812438",
03/02/2011 22.00,,"39,49163344","43,93630688","0,76119586","13,95711994","1,0141463","587,16896"
03/02/2011 23.00,,"24,9139336","27,3596684","0,69740861","13,95711994","0,8477173","528,0681"
04/02/2011 0.00,,"25,78611152","27,15085888","0,75188634","13,95711994","0,8193308","515,23794"
04/02/2011 1.00,,"21,14362256","21,61407016","0,73740889","12,61402035","0,86231633","600,36466"
04/02/2011 2.00,,"17,9352923","18,16931918","0,72103831","12,61402035","0,84641961","600,14514"
04/02/2011 3.00,,"17,5238624","17,48710994","0,70644202","12,61402035","0,93482538","610,58851"
04/02/2011 4.00,,"16,96189118","16,93459738","0,7028911","12,61402035","0,87334672","638,94138"
04/02/2011 5.00,,"11,74833371","11,71297892","0,69776277","12,61402035","0,79580962","621,99914"
04/02/2011 6.00,,"13,39143959","13,76997926","0,69855264","12,61402035","0,7659627","567,29603"
04/02/2011 7.00,,"23,8795416","25,10163464","0,71326543","12,61402035","0,76872081","604,93783"
04/02/2011 8.00,,"42,5299544","46,560068","0,77287265","12,61402035","0,78997001","629,47115"
04/02/2011 9.00,,"56,35489984","72,71485136","0,96423672","12,61402035","1,35706141","629,21194"
04/02/2011 10.00,,"37,68630392","49,45883208","0,81567359","12,61402035","2,1497885","607,96652"
04/02/2011 11.00,"3,2826309","14,8839965","19,1796544","0,72482456","12,61402035","0,86491172","586,25168"
04/02/2011 12.00,"4,17099973","13,36937894","18,61677498","0,68825521","12,61402035","0,69264311","599,68013"
04/02/2011 13.00,"4,34253407","13,90669491","19,5869104","0,65874809","12,61402035","0,65225193","597,59567"
04/02/2011 14.00,"3,99404783","12,84243556","18,14337908","0,65847198","12,61402035","0,55687259","595,56168"
04/02/2011 15.00,"3,40721951","12,87878077","17,90992388","0,69220106","12,61402035","0,33107316","594,15538"
04/02/2011 16.00,"3,12463792","11,4576122","16,10323684","0,73405485","12,61402035","0,28630381","596,63527"
04/02/2011 17.00,"1,99341255","18,44665096","23,0498292","0,74395735","12,61402035","0,35443264","598,31352"
04/02/2011 18.00,"2,74094213","18,7633317","22,91105624","0,72166857","12,61402035","0,67739522","600,51362"
04/02/2011 19.00,"2,76802687","23,40840568","26,89145784","0,76324742","12,61402035","0,70708044","610,98394"
04/02/2011 20.00,"2,57121398","60,78452584","67,36614608","0,83161079","12,61402035","0,83230772","638,34603"
04/02/2011 21.00,"2,03855311","64,61844912","72,3426232","0,90171117","12,61402035","1,14618646","639,6558"
04/02/2011 22.00,"2,0295252","65,59184832","71,81607752","0,95409889","12,61402035","1,10060554","651,94353"
04/02/2011 23.00,"3,21401696","62,72356152","68,0807752","0,94971965","12,61402035","1,33662276","654,32395"
05/02/2011 0.00,"2,70753876","51,13355288","54,82438208","0,89180983","12,61402035","1,19987897","651,98028"
05/02/2011 1.00,"1,6358984","37,20218552","39,73799464","0,84975683","20,42963982","1,07805763","643,48172"
05/02/2011 2.00,"2,76170723","34,9101564","39,03374768","0,78786271","20,42963982","0,93190558","641,21106"
05/02/2011 3.00,"1,30095454","37,78884448","40,40203224","0,78364191","20,42963982","1,16321918","648,06126"
05/02/2011 4.00,"1,79028002","22,32468408","24,540042","0,77393746","20,42963982","0,85809884","632,61891"
05/02/2011 5.00,"1,88507561","19,08521116","21,2210968","0,72620625","20,42963982","0,83636249","630,56483"
05/02/2011 6.00,"2,49357111","24,97624568","27,37653224","0,73038743","20,42963982","0,74211812","641,45655"
05/02/2011 7.00,"2,41592927","33,23459432","35,896366","0,77823748","20,42963982","1,06345859","631,29983"
05/02/2011 8.00,"2,75177623","60,03955328","71,35174832","0,85894984","20,42963982","0,95088381","640,92196"
05/02/2011 9.00,"2,16675308","63,64374976","91,83617064","1,05382405","20,42963982","1,42908332","650,24862"
05/02/2011 10.00,"3,99946539","65,58536664","96,19790152","1,20660798","20,42963982","3,65997858","661,81556"
05/02/2011 11.00,"4,58448752","54,6417096","73,69150096","1,08790729","20,42963982","4,84525751","650,8572"
05/02/2011 12.00,"3,23929552","44,3054376","58,09795552","1,01528352","20,42963982","3,08023468","631,40224"
05/02/2011 13.00,"4,09516305","35,53572456","46,60029648","0,85240021","20,42963982","2,06527682","625,31938"
05/02/2011 14.00,"3,85320858","29,7238564","38,90143728","0,76245872","20,42963982","1,19987897","561,82077"
05/02/2011 15.00,"4,5158746","24,19232568","30,65916856","0,78332736","20,42963982","1,03069187","608,8936"
05/02/2011 16.00,"1,82910094","15,36939594","19,33789152","0,73815798","20,42963982","1,11682669","608,98964"
05/02/2011 17.00,"0,92087011","21,33960256","25,66452744","0,76794237","20,42963982","0,82727865","609,62125"
05/02/2011 18.00,"1,86611567","34,21579448","37,6407792","0,78967778","20,42963982","0,79224097","595,18634"
05/02/2011 19.00,"3,7791781","111,04068104","235,9052368","1,71482175","20,42963982","1,83282825","635,70395"
05/02/2011 20.00,"3,81890212","157,44216776","409,494952","1,74113328","20,42963982","3,53702227","656,07815"
05/02/2011 21.00,"4,80206653","124,1569628","280,5303608","1,67781902","20,42963982","4,08124134","669,68937"
05/02/2011 22.00,"3,98682509","98,935484","192,4668912","1,42432318","20,42963982","4,38619896","658,53452"
05/02/2011 23.00,"4,28475321","107,6467472","233,9909424","1,47592219","20,42963982","3,49890206","659,75854"
06/02/2011 0.00,"4,39128599","104,9290304","235,9157528","1,28720035","20,42963982","3,42266265","659,66495"
06/02/2011 1.00,"3,92543389","105,05099688","263,247984","1,33000361","16,97352982","2,63431476","645,9474"
06/02/2011 2.00,"4,63685081","104,07501648","214,6969504","1,18940908","16,97352982","2,41581536","642,72663"
06/02/2011 3.00,"3,37652339","81,57125448","115,31790152","0,94597301","16,97352982","1,72511981","652,90785"
06/02/2011 4.00,"3,0551219","62,07332856","71,74344064","0,86372285","16,97352982","1,30774911","645,93466"
06/02/2011 5.00,"3,3756203","46,99464648","51,99959328","0,80900746","16,97352982","1,04464206","661,90572"
06/02/2011 6.00,"3,09845729","52,7675672","58,62712064","0,74612658","16,97352982","1,00879383","639,84788"
06/02/2011 7.00,"2,87817","53,11799856","59,4753412","0,7616304","16,97352982","0,89216325","634,78275"
06/02/2011 8.00,"2,48996076","58,04862592","66,5568156","0,80577342","16,97352982","0,83376711","633,62586"
06/02/2011 9.00,"3,43610942","62,82348264","81,61083288","0,93216543","16,97352982","1,42097274","641,29436"
06/02/2011 10.00,"4,05363386","61,97596952","84,76895976","1,28676697","16,97352982","3,40060189","645,61518"
06/02/2011 11.00,"6,92277494","80,62121992","104,12371512","1,50566581","16,97352982","4,87283346","679,71134"
06/02/2011 12.00,"6,15357817","48,87525144","62,1185856","1,00707843","16,97352982","5,88989957","678,37462"
06/02/2011 13.00,"4,05363386","27,73292904","35,91971152","0,87985693","16,97352982","2,37785787","591,03751"
06/02/2011 14.00,"5,97301592","31,66547328","42,4901848","0,78498399","16,97352982","1,3257551","480,73655"
06/02/2011 15.00,"4,7018544","20,10402992","26,35451088","0,74778321","16,97352982","0,90400418","607,41086"
06/02/2011 16.00,"4,71178439","15,55239729","20,17833024","0,74888763","16,97352982","0,95315477","461,657861"
06/02/2011 17.00,"4,42559246","24,03657416","28,48933536","0,79780482","16,97352982","0,78088616","567,02653"
06/02/2011 18.00,"4,00307574","31,2786948","35,16355376","0,90774703","16,97352982","0,98413768","585,47062"
06/02/2011 19.00,"2,58024189","56,68844824","61,72821256","0,99985892","16,97352982","1,17862876","634,48042"
06/02/2011 20.00,"3,89654397","92,49154688","106,86810432","1,15007868","16,97352982","1,6615329","646,53932"
06/02/2011 21.00,"3,70334245","127,84813616","191,04566336","1,2873984","16,97352982","2,04305435","668,27719"
06/02/2011 22.00,"3,54444637","117,04856744","187,37519696","1,35382903","16,97352982","2,61452496","653,59581"
06/02/2011 23.00,"3,64014505","110,08412656","206,3212432","1,41876147","16,97352982","2,92483607","663,46049"
07/02/2011 0.00,"3,65820087","104,46305688","202,7882496","1,28601787","16,97352982","2,84437916","665,26222"
07/02/2011 1.00,"4,00488193","92,69402768","167,76494104","1,277892","25,80097008","2,62393322","666,26623"
07/02/2011 2.00,"3,7177869","80,95086784","112,28036448","1,10112305","25,80097008","3,12273308","655,98848"
07/02/2011 3.00,"3,65820087","71,57115032","84,39543144","0,89969921","25,80097008","2,73894169","656,39812"
07/02/2011 4.00,"4,13488707","41,02312632","44,35262576","0,84167056","25,80097008","1,77864961","653,12737"
07/02/2011 5.00,"3,96335172","49,32822336","55,52346664","0,82999377","25,80097008","1,75675055","651,8274"
07/02/2011 6.00,"2,74997105","67,73592688","101,3935512","0,81220305","25,80097008","1,57539809","662,5437"
07/02/2011 7.00,"3,00456378","86,76791752","184,82795408","0,87859524","25,80097008","1,1961476","659,94768"
07/02/2011 8.00,"4,16377699","111,38204952","358,2632944","1,45750005","25,80097008","1,85715896","654,52975"
07/02/2011 9.00,"5,33743466","142,01565464","500,2780504","1,68724737","25,80097008","2,30599868","668,80198"
07/02/2011 10.00,"6,30344533","121,65082792","280,4290248","1,56949383","25,80097008","4,36348935","689,7191"
07/02/2011 11.00,"5,12256493","86,38245832","128,62356688","1,1302364","25,80097008","3,32127995","675,9648"
07/02/2011 12.00,"4,77046733","69,6152508","93,17464712","1,03828179","25,80097008","2,47340095","649,84927"
07/02/2011 13.00,"12,74952897","72,29275824","105,30133504","0,90545897","25,80097008","2,05570583","640,04437"
07/02/2011 14.00,"21,21070455","74,5939076","106,41157608","0,86139518","25,80097008","1,75626442","625,78831"
07/02/2011 15.00,"5,3645194","36,09121792","43,5938868","0,81993516","25,80097008","1,5487954","623,47502"
07/02/2011 16.00,"3,53722363","36,99454232","43,3941784","0,90281559","25,80097008","1,06994705","628,13884"
07/02/2011 17.00,"5,0846471","65,23883576","73,4360004","0,96802413","25,80097008","1,25178665","636,38162"
07/02/2011 18.00,"7,5583562","93,25080208","103,53615752","1,17781034","25,80097008","1,61708695","644,76405"
07/02/2011 19.00,"5,49994109","97,17426432","109,1014924","1,29544622","25,80097008","2,17687833","655,5171"
07/02/2011 20.00,"5,1153422","145,56664016","219,9639368","1,43671062","25,80097008","2,53098553","677,02565"
07/02/2011 21.00,"4,59532162","134,45044424","213,9227816","1,58661467","25,80097008","3,12776214","675,95892"
07/02/2011 22.00,"4,77769006","123,24201344","209,9383648","1,63367601","25,80097008","4,01797886","681,67575"
07/02/2011 23.00,"4,76324561","109,90896824","150,84203936","1,40862364","25,80097008","3,86550005","671,75717"
08/02/2011 0.00,"4,71810403","81,37527448","97,06816744","1,28365059","25,80097008","3,57238437","694,12616"
08/02/2011 1.00,"4,07168968","65,62689528","74,68239496","1,04479064",,"2,49838152","677,23488"
08/02/2011 2.00,"3,36568929","59,93961304","71,20649368","0,97252103",,"2,04629858","686,22246"
08/02/2011 3.00,"4,16016563","52,44700128","63,08611496","0,99544124",,"2,07062929","682,6092"
08/02/2011 4.00,"4,57545961","35,36830984","38,55773616","0,88080408",,"2,33341294","694,74503"
08/02/2011 5.00,"3,76473263","29,30983192","32,23108112","0,7815519",,"1,4076714","686,74088"
08/02/2011 6.00,"3,39999677","39,70059592","46,84541488","0,77689656",,"0,97083634","675,82515"
08/02/2011 7.00,"3,64556159","62,32121936","107,63330584","0,88904878",,"1,03620706","677,18196"
08/02/2011 8.00,"3,06776118","78,60560864","186,59703208","1,00731492",,"1,74523404","674,61583"
08/02/2011 9.00,"5,45118916","103,96859456","282,890916","1,35150252",,"2,68557359","662,33104"
08/02/2011 10.00,"8,11990699","138,41279656","422,3195008","2,00721229",,"4,37646627","651,21882"
08/02/2011 11.00,"8,45755913","103,89983904","205,4598872","1,4642454",,"5,4065093","636,41151"
08/02/2011 12.00,"7,55113449","113,33789168","196,6237704","1,29647142",,"3,18713155","627,17403"
08/02/2011 13.00,"8,78979472","131,48739872","218,0590112","1,32262567",,"3,78601641","644,71456"
08/02/2011 14.00,"3,51715212","48,31975808","59,38976008","1,01579612",,"3,08785811","597,85145"
08/02/2011 15.00,,,,"0,89725388",,,"605,101"
08/02/2011 16.00,,,,"1,00084568",,,
08/02/2011 17.00,"6,12288308",,,"1,00254075",,"1,93761688",
08/02/2011 18.00,"5,49452454",,,"1,17410215",,"1,67369826",
08/02/2011 19.00,"5,06659027","74,25255824","231,8756968","1,53331941",,"2,55888692",
08/02/2011 20.00,"4,91311276","99,54806968","395,0088752","1,52503626",,"3,09791523",
08/02/2011 21.00,"4,9492244","100,81610808","427,9560768","1,86717113",,"3,09678026",
08/02/2011 22.00,"5,28326618","90,83026744","379,4362088","2,11293487",,"5,05288823","717,10471"
08/02/2011 23.00,"4,66212937","50,36261536","197,3034864","1,8216872",,"5,52979004","692,58756"
09/02/2011 0.00,"4,57907098","32,64017264","100,83847848","1,63111184",,"4,52245662","674,58202"
09/02/2011 1.00,"4,91130657","26,58041368","87,26302992","1,40878091","30,63842964","4,11530576","685,21159"
09/02/2011 2.00,"4,20530619","11,17338002","39,5330856","1,17800723","30,63842964","3,49079148","704,20742"
09/02/2011 3.00,"3,51013991","0,84102188","19,71400104","1,19130221","30,63842964","2,90407299","697,12447"
09/02/2011 4.00,"3,69250835",,,"1,05394288","30,63842964","2,96701106","704,66312"
09/02/2011 5.00,"3,57514248",,,"1,02632889","30,63842964","2,75937932","706,07922"
09/02/2011 6.00,"3,64375642","0,78910534","21,48697952","0,91705771","30,63842964","2,30372772","689,01399"
09/02/2011 7.00,"3,84779204","14,36613704","57,39370856","0,96025358","30,63842964","2,11345313","660,47639"
09/02/2011 8.00,"3,9976592","28,02622984","68,26103856","1,00226581","30,63842964","1,82990844","653,61198"
09/02/2011 9.00,"4,57004307","46,62863232","167,43290312","1,49442356","30,63842964","1,99244436","656,17517"
09/02/2011 10.00,"4,53934797","46,8985876","138,71401304","1,52740238","30,63842964","4,0114904","675,41355"
09/02/2011 11.00,"4,79755207","13,14225054","41,06998944","1,10226708","30,63842964","3,27002112","656,24181"
09/02/2011 12.00,"4,36781262",,,"1,11331245","30,63842964","2,53309478","651,31584"
09/02/2011 13.00,"3,86223751",,,"1,0072357","30,63842964","2,03056356","649,25147"
09/02/2011 14.00,"4,2143341",,,"0,98613056","30,63842964","1,54911983","638,58809"
09/02/2011 15.00,"4,38045189",,,"0,99074629","30,63842964","1,76275186","632,87812"
09/02/2011 16.00,"4,29919868",,,"0,95926683","30,63842964","1,52138217","629,77397"
09/02/2011 17.00,"3,57875384",,,"0,98218587","30,63842964","1,905499","635,04245"
09/02/2011 18.00,"2,55135197",,,"1,06972164","30,63842964","1,28033588","649,05204"
09/02/2011 19.00,"3,53000192","5,18499793","9,14626614","1,16625238","30,63842964","1,5093775","661,64602"
09/02/2011 20.00,"3,44333114","11,49784068","17,11876887","1,15043401","30,63842964","1,88214054","672,09625"
09/02/2011 21.00,"3,33138283","66,96370832","101,66981608","1,47059581","30,63842964","2,15433144","689,77594"
09/02/2011 22.00,"3,02984335","41,28139928","59,06678504","1,34933213","30,63842964","2,87665874","689,73282"
09/02/2011 23.00,"3,95613","17,97552269","24,0225592","1,21694269","30,63842964","2,55823808","684,83331"
10/02/2011 0.00,"3,52458436","12,20518126","18,06556068","1,11153815","30,63842964","2,09934123","711,99842"
10/02/2011 1.00,"2,21189364","9,9468932","14,6687837","1,12049118","35,97151184","2,25879565","707,96033"
10/02/2011 2.00,"3,30249291","3,22261673","8,66249382","1,08057129","35,97151184","1,86786593","670,18868"
10/02/2011 3.00,"2,94678394",,,"0,96810335","35,97151184","1,76421227","665,53172"
10/02/2011 4.00,"3,45236007",,,"0,92388112","35,97151184","1,5246264","676,94235"
10/02/2011 5.00,"2,87636483",,,"0,92265787","35,97151184","1,21236875","684,93621"
10/02/2011 6.00,"3,23207278",,,"0,95110134","35,97151184","1,27433354","684,87937"
10/02/2011 7.00,"2,80233435",,,"1,12932887","35,97151184","1,45065795","693,11578"
10/02/2011 8.00,"3,53180709",,,"1,26238818","35,97151184","1,71344058","696,96473"
10/02/2011 9.00,"4,61698982",,,"1,61844946","35,97151184","2,3076208","705,05561"
10/02/2011 10.00,"4,41295318",,,"1,55000571","35,97151184","4,57274219","713,21852"
10/02/2011 11.00,"4,75060633",,,"1,20211108","35,97151184","3,68333704","676,31074"
10/02/2011 12.00,"4,25766948",,,"1,0540221","35,97151184","2,07095473","663,23117"
10/02/2011 13.00,"4,4021201",,,"1,05374483","35,97151184","1,805414","660,05744"
10/02/2011 14.00,"4,33169996",,,"1,02857734","35,97151184","1,77183672","656,51033"
10/02/2011 15.00,"4,8047748",,,"1,01129922","35,97151184","1,68359265","648,37437"
10/02/2011 16.00,"4,44003792",,,"0,99749281","35,97151184","1,52657294","645,17271"
10/02/2011 17.00,"3,91279461",,,"1,07354867","35,97151184","1,67077845","647,80548"
10/02/2011 18.00,"3,89112743",,,"1,09394432","35,97151184","1,61676151","651,32221"
10/02/2011 19.00,"3,28624227",,,"1,0956394","35,97151184","1,73047228","654,80856"
10/02/2011 20.00,"3,313326","23,37465888","31,08456944","1,16708069","35,97151184","1,62746747","653,15383"
10/02/2011 21.00,"4,0807186","105,29500632","280,862284","1,8104834","35,97151184","2,43187481","691,14794"
10/02/2011 22.00,"3,78098429","60,23293296","156,18168176","1,76405349","35,97151184","4,69926716","694,47259"
10/02/2011 23.00,"4,12224678","48,977792","136,56104368","1,58704805","35,97151184","3,65786933","689,91853"
11/02/2011 0.00,"3,59861585","32,65833664","82,1542424","1,45533082","35,97151184","3,55080974","682,46661"
11/02/2011 1.00,"3,62569958","14,01312448","33,94830568","1,16321522","35,54835129","2,76830146","691,18175"
11/02/2011 2.00,"2,89803201","0,31148966","4,4123071","1,12573834","35,54835129","2,16600965","690,22086"
11/02/2011 3.00,"2,30217476",,,"1,08621105","35,54835129","2,03721372","687,13288"
11/02/2011 4.00,"2,40148481",,,"0,97693988","35,54835129","1,64093153","673,19973"
11/02/2011 5.00,"3,12192965",,,"0,94376301","35,54835129","1,55560829","681,97122"
