"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
"Parm","NOX","NO","NO2","CO","O3","PM10"
"PtId","1.0","2.0","3.0","5.0","6.0","25.0"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","mg/m3 293K","ug/m3 293K","ug/m3"
"Arch","2.0","2.0","2.0","2.0","2.0","4.0"
"Field","Aver","Aver","Aver","Aver","Aver","Aver"
"41275.0416667","18.649198","1.473535","16.40121","0.792914","37.201045",""
"41275.0833333","27.258515","3.304034","22.20789","0.79469","32.031526","50.78125"
"41275.125","53.370504","12.808417","33.755058","0.902264","20.929817",""
"41275.1666667","36.303616","4.659145","29.180057","0.794571","22.355683","78.613281"
"41275.2083333","33.765437","5.186977","25.830252","0.806291","20.782291",""
"41275.25","43.510905","7.811764","31.555165","0.854357","5.380658","58.59375"
"41275.2916667","102.712603","43.331394","36.298886","0.775708","3.393787",""
"41275.3333333","37.240032","8.769308","23.810761","0.748638","6.551396","50.292969"
"41275.375","40.634215","11.383099","23.19687","0.777208","7.695741",""
"41275.4166667","41.657528","10.312205","25.863994","0.891017","24.774982","39.0625"
"41275.4583333","17.334066","2.887011","12.916423","0.688024","63.016834",""
"41275.5","18.025353","3.627162","12.472551","0.720501","67.217278","44.921875"
"41275.5416667","26.877204","6.164823","17.436912","0.831744","64.837904",""
"41275.5833333","25.708631","5.801091","16.825613","0.801398","68.211391","23.4375"
"41275.625","13.705129","2.022515","10.611402","0.791453","71.533441",""
"41275.6666667","13.965823","1.823732","11.177274","0.780089","69.991187","12.207031"
"41275.7083333","20.502573","2.491983","16.693232","0.801477","62.350257",""
"41275.75","55.422317","8.684719","42.135419","1.046853","29.275218","11.230469"
"41275.7916667","63.298843","9.136422","49.324331","1.06694","22.335379",""
"41275.8333333","70.404972","12.280584","51.611183","1.096733","21.942881","20.996094"
"41275.875","72.410091","13.548568","51.672181","0.998275","23.094668",""
"41275.9166667","47.87652","7.403201","36.550676","0.864854","35.139059","41.992188"
"41275.9583333","49.290222","8.3083","36.57663","0.877876","28.733836",""
"41276.0","47.562651","7.579992","35.965334","0.908656","24.565197","43.457031"
"41276.0416667","51.867309","9.237083","37.730439","1.092432","16.383564",""
"41276.0833333","","","","0.956406","24.236983","41.503906"
"41276.125","24.853924","0.923708","23.453847","0.815525","28.331184",""
"41276.1666667","15.388604","0.370498","14.830784","0.73601","","38.085938"
"41276.2083333","24.38442","4.388461","17.667933","0.749585","18.559242",""
"41276.25","306.043196","156.684446","65.848838","0.907236","3.052716","31.25"
"41276.2916667","586.52302","312.53738","107.392431","1.219185","1.909047",""
"41276.3333333","322.554997","159.146822","78.593946","1.11307","0.980578","24.414063"
"41276.375","192.722642","81.208514","68.255095","1.469651","2.798944",""
"41276.4166667","201.290465","82.326773","75.113049","1.640601","14.993567","40.039063"
"41276.4583333","57.234193","11.994675","38.86997","0.905223","50.098789",""
"41276.5","37.815888","8.710942","24.47657","0.789993","67.615191","47.363281"
"41276.5416667","47.499101","12.525046","28.314379","0.761265","67.20036",""
"41276.5833333","46.991984","11.865253","28.81925","0.767737","63.991324","29.785156"
"41276.625","28.078203","4.862157","20.637465","0.717344","71.206585",""
"41276.6666667","37.164805","7.561382","25.588847","0.757398","67.181411","19.042969"
"41276.7083333","63.547865","14.809785","40.868696","0.835138","46.303024",""
"41276.75","128.405678","40.427466","66.46533","1.156874","19.83555","17.578125"
"41276.7916667","202.277448","77.574583","83.39218","1.332875","12.489677",""
"41276.8333333","246.085356","102.581532","88.861412","1.577383","5.086282","29.296875"
"41276.875","114.946969","30.4257","68.343349","1.371074","17.574606",""
"41276.9166667","199.206217","76.721086","81.628373","1.523912","10.154968","42.96875"
"41276.9583333","85.582164","21.041434","53.356821","1.414482","5.838802",""
"41277.0","54.428835","11.274824","37.167161","1.05435","9.104688","60.546875"
"41277.0416667","81.892274","25.673511","42.557228","1.273997","3.757866",""
"41277.0833333","66.270217","22.078489","32.440314","1.465823","2.05522","69.824219"
"41277.125","30.366066","6.350072","20.643954","0.990541","7.849358",""
"41277.1666667","22.729479","3.232979","17.784742","0.912287","5.149218","71.777344"
"41277.2083333","98.509112","47.312985","25.983399","0.916155","2.304933",""
"41277.25","444.605484","248.958857","62.927331","0.938806","0.74237","57.128906"
"41277.2916667","1109.862634","595.866313","196.373241","1.835308","8.9531",""
