NetC,Provincia di TARANTO,,,,,,
Stat,Massafra (TA) Via Frappietro,,,,,,
Parm,CO,SO2,NOX,NO,NO2,O3,BENZENE
PtId,1,2,3,4,5,6,7
Unit,mg/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3 293K
Arch,2,2,2,2,2,2,2
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver
14/03/2013 7.00,,"1,200742","14,334207","3,012626","22,804252","60,802154","0,484753"
14/03/2013 8.00,,"1,709929","27,430812","8,768462","39,031548","50,005392","1,258995"
14/03/2013 9.00,,"1,836323","24,725008","9,436714","32,829021","61,156087","0,730409"
14/03/2013 10.00,,"1,840837","16,800227","4,791102","24,793897","72,914121","1,123226"
14/03/2013 11.00,,"1,782154","16,416976","6,850837","20,900282","80,799258","0,136685"
14/03/2013 12.00,,"1,745138","14,525152","5,038947","20,060551","82,670225","0,588741"
14/03/2013 13.00,,"1,872435","15,553146","6,888902","19,189023","82,823961","0,43192"
14/03/2013 14.00,,"1,706318","11,170871","4,967469","13,752247","92,624023","0,077241"
14/03/2013 15.00,,"1,687359","4,978513","1,700655","6,916361","109,416356","0,775056"
14/03/2013 16.00,,"1,666594","5,590017","1,235418","8,800222","108,096125","0,926284"
14/03/2013 17.00,,"1,634093","7,528649","1,374988","12,295386","101,539674","0,987405"
14/03/2013 18.00,,"1,704512","17,705105","4,759804","26,573263","82,90336","0,707985"
14/03/2013 19.00,,"1,700901","15,936058","2,619289","26,47269","67,47096","1,953148"
14/03/2013 20.00,,"1,441794","7,58834","1,633831","12,012455","77,886796","1,401934"
14/03/2013 21.00,,"1,245883","10,577686","2,297429","16,71399","61,363864","0,29137"
14/03/2013 22.00,,"1,222409","7,334988","1,759022","11,335611","63,576961","1,975624"
14/03/2013 23.00,,"1,170046","5,220672","0,905521","8,599702","73,020551","1,615047"
15/03/2013 0.00,,"1,147476","3,672072","0,417868","6,384883","74,565462","0,268081"
15/03/2013 1.00,,"1,061709","3,06871","0,141687","5,65418","74,910095","0,730969"
15/03/2013 2.00,,,"3,035133","0,156913","5,566574","71,927511","1,191466"
15/03/2013 3.00,,"1,090599",,,,"71,918234","1,266267"
15/03/2013 4.00,,"1,032818","2,206568","0,0977","4,072074",,"1,234638"
15/03/2013 5.00,,"1,043652","2,131953","0,139149","3,865712","69,753303","1,219891"
15/03/2013 6.00,,"1,03643","3,489266","0,326935","6,174626","66,281642",
15/03/2013 7.00,,"1,047264","8,303965","0,891565","14,520586","54,151963","0,232995"
15/03/2013 8.00,,"1,078862","9,037566","1,61945","14,807423","48,339667","0,21418"
15/03/2013 9.00,,"1,062611","13,200063","4,343629","18,592018","53,01078","0,210824"
15/03/2013 10.00,,"1,054487","7,907827","2,326189","11,561445","72,399709","1,523568"
15/03/2013 11.00,,"1,140253","6,098077","1,776361","8,94234","83,923767","1,339745"
15/03/2013 12.00,,"1,169144","8,936497","3,490975","11,742494","84,633285","1,277098"
15/03/2013 13.00,,"1,148379","10,435579","4,1182","13,648422","85,080125","0,275912"
15/03/2013 14.00,,"1,160115","6,257819","1,645249","9,449159","92,86476","0,252063"
15/03/2013 15.00,,"1,049972","5,449605","1,419398","8,249276","97,139706","0,826668"
15/03/2013 16.00,,"1,120392","4,16894","0,938935","6,536084","106,588361","1,186788"
15/03/2013 17.00,,"1,484226","5,712113","1,226535","9,047467","105,971689","1,116208"
15/03/2013 18.00,,"1,265745","7,266139","1,588153","11,466043","100,028523","0,298337"
15/03/2013 19.00,,"1,054487","9,423867","1,842341","15,204571","91,73118","0,264878"
15/03/2013 20.00,,"1,214285","22,123312","6,201195","32,815389","72,911587","0,867755"
15/03/2013 21.00,,"1,025597","12,244306","2,358333","19,809409","79,352323","0,278658"
15/03/2013 22.00,,"1,048167","7,314979","1,438853","11,788574","91,653471","0,250029"
15/03/2013 23.00,,"0,896494","4,829622","0,864919","7,913776","97,028222","0,609386"
16/03/2013 0.00,,"0,876632","5,602227","1,00576","9,175955","91,304629","1,025695"
16/03/2013 1.00,,"0,947955","2,259137","0,282527","3,889073","102,890331","0,775818"
16/03/2013 2.00,,"0,787254","2,379878","0,174676","4,285574","102,211992","0,585131"
16/03/2013 3.00,,"0,771003","2,941864","0,631032","4,660658","92,635849","0,579741"
16/03/2013 4.00,,"0,723154","1,538764","0,087972","2,809244","96,436946","0,160432"
16/03/2013 5.00,,"0,642803","1,462114","0,086703","2,664533","97,072134","0,15433"
16/03/2013 6.00,,"0,650026","3,979352","0,220354","7,275871","88,366786","0,143041"
16/03/2013 7.00,,"0,636483","6,947669","0,691935","12,23179","82,340812","0,146601"
16/03/2013 8.00,,"0,676207","6,841174","1,328465","11,051379","84,767592","0,154635"
16/03/2013 9.00,,"0,804407","5,70092","1,517944","8,578935","91,593502","0,967981"
16/03/2013 10.00,,"0,751141","3,801631","1,067932","5,635362","99,714308","0,519433"
16/03/2013 11.00,,"0,800796","4,022425","1,320852","5,669755","103,621774","0,481194"
16/03/2013 12.00,,"0,711417","4,111624","1,346229","5,801488","108,95597","0,16272"
16/03/2013 13.00,,"0,787254","4,692941","1,439276","6,770998","115,518304","0,2004"
16/03/2013 14.00,,"0,947052","4,599671","1,544589","6,430956","117,728006","0,575012"
16/03/2013 15.00,,"0,993997","3,808754","1,075545","5,637308","119,201988","0,252216"
16/03/2013 16.00,,"1,00754","4,206247","1,056512","6,427063","120,355873","0,560876"
16/03/2013 17.00,,"0,968719","5,043294","1,136026","7,906638","117,818455","0,306168"
16/03/2013 18.00,,"1,060806","8,279547","1,670627","13,278524","110,142716","0,418597"
16/03/2013 19.00,,"1,200742","14,038463","2,4628","23,081989","93,981438","1,891722"
16/03/2013 20.00,,"0,97865","18,022217","3,289653","29,435736","82,136407","1,184958"
16/03/2013 21.00,,"1,104142","20,650019","3,685106","33,856929","71,908097","1,611792"
16/03/2013 22.00,,"1,069834","18,291851","3,569642","29,522044","70,721313","2,289013"
16/03/2013 23.00,,"0,996707","13,469686","2,241177","22,333765","77,286197","1,140515"
17/03/2013 0.00,,"0,690653","7,982104","1,231188","13,383648","87,108207","0,739562"
17/03/2013 1.00,,"0,653637","6,91545","1,406287","11,074092","94,082784","0,929691"
17/03/2013 2.00,,,"6,625129","0,752416","11,521857","87,549141","0,53723"
17/03/2013 3.00,,"0,616621",,,,"82,930414","0,579029"
17/03/2013 4.00,,"0,706903","6,411119","1,056512","10,645787",,"1,20006"
17/03/2013 5.00,,"0,666276","3,402102","0,322282","6,014989","87,916575","0,777039"
17/03/2013 6.00,,"0,676207","11,587362","2,659045","18,091033","64,885377","0,738901"
17/03/2013 7.00,,"0,755655","20,004587","6,022713","29,035345","60,262426","0,966252"
17/03/2013 8.00,,"1,629579","25,247997","8,865738","34,705745","60,667014","0,84772"
17/03/2013 9.00,,"19,623554","21,775672","6,982372","30,951648","73,299294",
17/03/2013 10.00,,"6,343169","13,548374","4,828744","18,514143","94,877629","0,023289"
17/03/2013 11.00,,"0,886563","13,003347","4,849891","17,438858","101,860571","0,013272"
17/03/2013 12.00,,"0,119171","15,623346","5,911479","20,823057","105,067058","0,019628"
17/03/2013 13.00,,,"16,960652","6,629637","22,279904","104,790826",
17/03/2013 14.00,,"0,023473","12,294844","4,078866","17,26624","109,152735","0,793768"
17/03/2013 15.00,,"0,218481","9,463889","2,672156","14,007926","112,214762","0,802006"
17/03/2013 16.00,,"0,785448","13,797999","3,949023","20,341538","105,436189","0,850212"
17/03/2013 17.00,,"0,876632","13,200733","3,129359","20,456391","102,61572","1,552196"
17/03/2013 18.00,,"1,146574","16,610981","4,237892","25,280578","95,323617","1,767851"
17/03/2013 19.00,,"1,386722","18,536385","4,723433","28,219628","88,756191","1,825006"
17/03/2013 20.00,,"1,582632","21,099741","5,475003","31,971125","83,895875","1,970437"
17/03/2013 21.00,,"1,392139","18,799908","4,878228","28,486333","87,739201","1,948419"
17/03/2013 22.00,,"1,522144","14,809363","2,987672","23,751704","91,688966","1,843058"
17/03/2013 23.00,,"1,547422","13,157324","2,679345","21,063814","91,810578","1,53628"
18/03/2013 0.00,,"0,999415","7,977355","1,722648","12,620508","105,374545","1,128209"
18/03/2013 1.00,,"1,016568","5,755866","1,205389","9,163627","112,648094","0,562147"
18/03/2013 2.00,,"1,003928","2,186217","0,203013","3,871553","114,472585","0,472803"
18/03/2013 3.00,,"0,913647","2,247606","0,284217","3,864414","108,533627","0,393172"
18/03/2013 4.00,,"0,851353","2,015961","0,205128","3,542542","105,708988","0,379799"
18/03/2013 5.00,,"0,922675","2,983242","0,549826","4,864424","103,615054","0,35473"
18/03/2013 6.00,,"0,933509","3,44382","0,819242","5,332308","103,327019","0,390782"
18/03/2013 7.00,,"0,984066","6,851009","1,863488","10,249289","98,280021","0,551926"
18/03/2013 8.00,,"0,953371","14,997259","5,327819","20,520634","91,047849","1,007542"
18/03/2013 9.00,,"1,064418","19,540964","6,87283","26,843866","79,210398","1,038815"
18/03/2013 10.00,,"1,043652","17,578257","6,122106","24,240336","79,295725","1,271911"
18/03/2013 11.00,,"1,105947","18,755819","6,910895","25,283179","76,381551","1,154092"
18/03/2013 12.00,,"1,103239","16,962683","6,937117","21,812019","79,672444","1,276996"
18/03/2013 13.00,,"1,056292","17,04748","7,49921","21,111825","82,064603","1,161007"
18/03/2013 14.00,,"1,090599","13,931284","5,92586","17,563453","86,407144","1,274098"
18/03/2013 15.00,,"1,05268","10,176455","3,788304","13,658798","94,592128",
18/03/2013 16.00,,"1,175464","11,159341","3,70456","15,667909","93,64271","0,011797"
18/03/2013 17.00,,"1,161921","12,764582","5,011879","16,733459","90,845118","0,030357"
18/03/2013 18.00,,"1,130322","15,037279","6,58396","18,671836","88,928519","0,082987"
18/03/2013 19.00,,"1,037333","20,318652","8,746893","25,456462","86,902956","0,655151"
18/03/2013 20.00,,"1,365054","22,629686","9,008271","29,477264","83,411866","0,802871"
18/03/2013 21.00,,"1,175464","16,822617","5,502916","23,744554","85,511767","0,76692"
18/03/2013 22.00,,"1,130322","9,710797","2,814266","14,262313","97,974254","0,563672"
18/03/2013 23.00,,"1,043652","5,946132","1,586038","8,943635","101,937496","0,682661"
19/03/2013 0.00,,"1,018374","5,467918","0,847578","9,161679","94,52795","0,365815"
19/03/2013 1.00,,"1,006638","3,503172","0,504148","5,92933","92,680621","0,55996"
19/03/2013 2.00,,,"2,436855","0,315939","4,17785","87,791568","0,486431"
19/03/2013 3.00,,"1,048167",,,,"87,593068","0,33383"
19/03/2013 4.00,,"1,107752","4,106536","0,265186","7,450435",,"0,171517"
19/03/2013 5.00,,"1,064418","4,732622","0,249959","8,671733","69,447528",
19/03/2013 6.00,,"1,121294","15,643355","4,36689","23,231258","54,076769","0,125447"
19/03/2013 7.00,,"1,675622","31,480029","13,713933","39,191181","35,31208","0,078817"
19/03/2013 8.00,,"1,30276","21,233353","7,099105","29,734887","43,437955","0,761275"
19/03/2013 9.00,,"1,216993","20,757187","7,085148","28,845196","55,882702","0,155398"
19/03/2013 10.00,,"1,015666","10,565136","3,715135","14,514747","85,799802","0,34456"
19/03/2013 11.00,,"1,343387","7,908168","2,269938","11,648395","98,9203","0,388952"
19/03/2013 12.00,,"0,714125","12,616028","5,530407","15,653628","99,855373","0,146397"
19/03/2013 13.00,,"0,713223","12,853781","5,116768","16,743194","105,329773","0,42353"
19/03/2013 14.00,,"0,992192","13,176993","5,101543","17,384996","101,515176","0,152041"
19/03/2013 15.00,,"1,124003","12,45967","4,290337","17,257157","103,233214","0,453379"
19/03/2013 16.00,,"1,08428","16,582831","5,360384","23,504445","98,081521","0,574147"
19/03/2013 17.00,,"1,351512","18,055797","4,780106","27,213112","92,087647","0,179145"
19/03/2013 18.00,,"1,372277","22,762627","4,701017","36,340409","80,561055","0,908384"
19/03/2013 19.00,,"2,461973","62,225808","31,70763","70,410851","40,925011","2,668049"
19/03/2013 20.00,,"3,706953","83,358782","53,424086","77,525783","14,750745","7,50846"
19/03/2013 21.00,,"2,750873","49,408985","21,274045","61,896162","22,067393","3,677014"
19/03/2013 22.00,,"2,463779","37,972203","11,956605","54,309459","27,053597","0,747444"
19/03/2013 23.00,,"1,879658","24,859307","5,72623","38,779105","37,771793","4,038303"
20/03/2013 0.00,,"1,814655","20,620842","5,296097","31,329323","37,795453","0,746173"
20/03/2013 1.00,,"1,69729","16,26131","3,04054","26,448675","39,347145","1,487718"
20/03/2013 2.00,,"1,707221","12,096778","1,951461","20,151409","46,328488","0,246724"
20/03/2013 3.00,,"1,554645","8,555961","1,502295","14,065681","53,589392","0,204315"
20/03/2013 4.00,,"1,456238","5,765362","0,804861","9,796338","62,700176","0,629981"
20/03/2013 5.00,,"1,270258","5,122995","0,878453","8,454338","72,474876","0,543688"
20/03/2013 6.00,,"1,00754","6,945634","1,37372","11,181812","72,577942","0,11126"
20/03/2013 7.00,,"1,041847","12,971128","3,422458","19,567349","67,523327","0,552384"
20/03/2013 8.00,,"1,346998","19,733617","7,991938","25,495391","59,881461","0,538451"
20/03/2013 9.00,,"2,174878","31,729313","15,829493","36,422182","54,767717","1,283962"
20/03/2013 10.00,,"2,591978","26,59785","12,591021","31,572663","70,374998","0,239961"
20/03/2013 11.00,,"2,052999","18,390888","8,172958","22,6485","85,13756","0,822397"
20/03/2013 12.00,,"2,340094","17,294384","7,709834","21,261076","91,340101","0,140193"
20/03/2013 13.00,,"3,289853","16,781916","6,745524","21,760108","92,212655","0,180365"
20/03/2013 14.00,,"3,129152","21,494168","9,319135","26,827654","84,172944","0,720595"
20/03/2013 15.00,,"2,376205","11,219371","4,001467","15,327213","96,04331","0,092293"
20/03/2013 16.00,,"8,791599","17,706805","6,232916","24,31628","86,065022","0,511093"
20/03/2013 17.00,,"0,410781","23,363626","6,854222","34,186597","71,162233","1,127039"
20/03/2013 18.00,,,"25,522713","8,412344","35,927035","63,8329","1,563231"
20/03/2013 19.00,,,"40,371765","14,750987","54,613143","39,76779","1,943589"
20/03/2013 20.00,,,"24,695162","7,108831","36,343658","57,070346","0,183975"
20/03/2013 21.00,,,"31,598398","7,914964","48,315226","39,634347","0,347458"
20/03/2013 22.00,,,"17,151597","3,606861","27,283206","51,639856","1,158973"
20/03/2013 23.00,,,"13,483596","2,294468","22,278604","64,829623","1,236825"
21/03/2013 0.00,,,"14,211767","1,687121","24,603748","53,132415","0,775818"
21/03/2013 1.00,,,"10,273112","1,230765","17,767864","64,211331","0,648185"
21/03/2013 2.00,,,"6,498962","0,556593","11,580904","68,272571","0,426733"
21/03/2013 3.00,,,,,,"81,226661","0,362001"
21/03/2013 4.00,,"0,191396","2,243537","0,218663","3,957213",,"0,131396"
21/03/2013 5.00,,"0,338555","3,981048","0,185672","7,332328","74,559571","0,288828"
21/03/2013 6.00,,"0,498353","16,379676","4,630384","24,235803","53,74059","0,116192"
21/03/2013 7.00,,"0,935315","28,04944","9,878688","38,511751","29,248914","0,666999"
21/03/2013 8.00,,"0,724959","27,428442","9,421909","38,024401","30,216091","0,532501"
21/03/2013 9.00,,"0,700101","19,806178","5,668396","29,199336","39,497688","1,287319"
21/03/2013 10.00,,"0,676207","9,688073","3,0951","13,787938","65,871126","0,958624"
21/03/2013 11.00,,"0,624747","3,343428","1,025215","4,82419","96,378651","0,436039"
21/03/2013 12.00,,"1,048167","3,657149","1,140678","5,247296","101,848759","0,36612"
21/03/2013 13.00,,"0,743016","4,670557","1,652017","6,401754","100,169611","0,215401"
21/03/2013 14.00,,"0,578703","4,319866","1,358494","6,181115","106,938047","0,252114"
21/03/2013 15.00,,"0,983164","4,691245","1,365262","6,881318","111,591363","0,596013"
21/03/2013 16.00,,"0,966914","3,300355","0,8535","5,005245","111,536523","0,211994"
21/03/2013 17.00,,"0,911842","2,925924","0,718157","4,496479","111,033085","0,204417"
21/03/2013 18.00,,"1,334359","3,648333","0,740151","5,844967","105,779985","0,418089"
21/03/2013 19.00,,"2,327453","5,172512","1,067085","8,259658","103,321927","0,814515"
21/03/2013 20.00,,"0,418002","5,769093","1,266715","9,094838","104,175067","1,013644"
21/03/2013 21.00,,"0,802601","6,091972","1,316624","9,636051","104,421695","0,981049"
21/03/2013 22.00,,"0,867604","4,233042","0,87507","6,756723","106,464115","0,203603"
21/03/2013 23.00,,"0,854964","3,406513","0,630185","5,550999","108,803946","0,185043"
22/03/2013 0.00,,"0,773711","4,388376","0,69109","7,336221","103,809285","0,196179"
22/03/2013 1.00,,"0,950663","5,997686","0,675863","10,438779","86,632653","0,185145"
22/03/2013 2.00,,"0,696972","4,68548","0,466084","8,249924","83,76325","0,177772"
22/03/2013 3.00,,"0,789962","4,102804","0,332434","7,340116","83,480298","0,29371"
22/03/2013 4.00,,"0,665373","2,514523","0,217816","4,477011","79,00769","0,133176"
22/03/2013 5.00,,"0,771003","3,054804","0,283795","5,40953","89,147293","0,277031"
22/03/2013 6.00,,"0,899203","6,274438","0,357386","11,45696","92,526862","0,503517"
22/03/2013 7.00,,"0,974135","11,871235","2,068193","19,540755","84,75492","0,668525"
22/03/2013 8.00,,"1,555548","41,919011","23,51353","44,12894","54,543879","1,887349"
22/03/2013 9.00,,"1,014763","12,214127","4,420182","16,588093","86,356452","1,171431"
22/03/2013 10.00,,"0,8342","3,95527","0,849271","6,264828","110,786358","0,597284"
22/03/2013 11.00,,"0,622942","3,916608","0,872955","6,15451","114,763155","0,19023"
22/03/2013 12.00,,"0,852256","4,001736","0,713929","6,561391","122,861137","0,200552"
22/03/2013 13.00,,"0,879341","4,667844","0,945278","7,480935","128,297593","0,225723"
22/03/2013 14.00,,"1,015666","4,219476","0,649218","7,077296","131,189804","0,321118"
22/03/2013 15.00,,"0,478491","6,998205","2,029706","10,275898","130,058804","0,243165"
22/03/2013 16.00,,"0,641901","17,592168","6,47611","23,723789","116,67728","0,237317"
22/03/2013 17.00,,"0,707806","7,188472","1,265446","11,812578","123,057103","0,419055"
22/03/2013 18.00,,"1,039139","8,944297","0,753684","15,957329","112,743512","0,407715"
22/03/2013 19.00,,"0,743918","14,649958","1,954845","25,031387","94,108142","0,375731"
22/03/2013 20.00,,"0,867604","18,004247","2,939033","29,9393","75,461691","0,38346"
22/03/2013 21.00,,"1,024694","21,164176","3,365784","35,330662","73,05772","0,228266"
22/03/2013 22.00,,"1,218798","17,821431","2,618866","30,080769","75,628098","1,380069"
22/03/2013 23.00,,"1,067126","10,633983","1,4139","18,177343","88,650621","0,306829"
23/03/2013 0.00,,"0,292512","6,606814","0,6323","11,671108","97,65497","0,254809"
23/03/2013 1.00,,"0,514604","5,062286","0,521912","8,885234","100,526892","0,232181"
23/03/2013 2.00,,,"4,014284","0,247845","7,30053","97,823052","0,23991"
23/03/2013 3.00,,"0,916356",,,,"102,840476","0,215706"
23/03/2013 4.00,,"0,760169","2,046146","0,17256","3,650266",,"0,186619"
23/03/2013 5.00,,"0,791768","3,541158","0,206819","6,458212","98,615362","0,17589"
23/03/2013 6.00,,"0,94344","12,279244","3,177574","18,619267","83,368799","1,266267"
23/03/2013 7.00,,"1,672914","33,762228","11,563691","46,857058","43,361924","0,887027"
23/03/2013 8.00,,"3,216725","35,675778","12,053885","49,766242","51,018177","1,177025"
23/03/2013 9.00,,"5,001588","32,831238","12,386318","43,814206","67,622999","1,288946"
23/03/2013 10.00,,"4,866166","31,93078","12,891735","41,315143","72,92511","0,356611"
23/03/2013 11.00,,"2,65698","21,08957","8,164077","27,825717","97,136334","0,285675"
23/03/2013 12.00,,"1,891395","18,386479","7,352448","23,899005","110,37082","0,227706"
23/03/2013 13.00,,"1,779446","19,506376","7,904389","25,194921","112,443689","0,200095"
23/03/2013 14.00,,"1,303663","13,606713","4,775877","18,706879","120,528125","0,212655"
23/03/2013 15.00,,"1,364152","11,344177","2,966526","17,153973","128,518079","0,229333"
23/03/2013 16.00,,"1,504088","13,675563","3,966785","20,080015","120,534951","0,216468"
23/03/2013 17.00,,"1,480615","14,962671","3,831445","22,75039","117,482201","0,675135"
23/03/2013 18.00,,"1,732499","21,564051","5,126919","33,393593","103,479035","0,207976"
23/03/2013 19.00,,"1,549229","28,64195","8,290959","42,081551","85,341136","0,224248"
23/03/2013 20.00,,"1,589855","30,904476","8,415727","46,219158","78,918991","0,955166"
23/03/2013 21.00,,"1,607008","25,891041","6,795007","39,113306","78,979798","0,93503"
23/03/2013 22.00,,"1,512213","23,584404","5,23477","37,093812","76,613848","1,572384"
23/03/2013 23.00,,"1,578118","16,603521","3,097214","27,016483","80,806853","1,456242"
24/03/2013 0.00,,"1,346095","12,017071","1,940041","20,016421","84,744783","0,484956"
24/03/2013 1.00,,"1,331651","9,763027","1,169439","16,885957","86,533825","0,461616"
24/03/2013 2.00,,"1,10685","8,225959","1,035365","14,150698","94,894532","0,695577"
24/03/2013 3.00,,"1,051778","7,230187","0,488922","13,083845","93,770267","0,214078"
24/03/2013 4.00,,"0,873021","5,114175","0,348928","9,249934","98,658459","0,336169"
24/03/2013 5.00,,"0,897397","6,205251","0,482155","11,13314","97,985243","0,431259"
24/03/2013 6.00,,"0,939829","5,167086","0,49273","9,13053","101,37918","0,293608"
24/03/2013 7.00,,"0,932606","7,509996","1,262062","12,432959","98,775027","0,645744"
24/03/2013 8.00,,"1,057195","8,330419","1,584769","13,507602","96,019672","1,303438"
24/03/2013 9.00,,"1,258522","10,084207","2,605754","15,296718","93,153633","0,438327"
24/03/2013 10.00,,"1,328039","10,78389","3,652962","15,028712","95,332095","1,065257"
24/03/2013 11.00,,"1,478809","11,951952","5,05798","15,107878","94,565933","0,563011"
24/03/2013 12.00,,"1,711735","22,545902","11,705374","25,179356","82,914357","0,597487"
24/03/2013 13.00,,"2,017789","20,558091","10,188701","23,702375","88,891358","0,848585"
24/03/2013 14.00,,"1,582632","8,139135","3,122591","10,782069","97,035825","0,5863"
24/03/2013 15.00,,"2,091819","6,120123","2,017862","8,614627","99,896773","0,441683"
24/03/2013 16.00,,"3,567016","10,279223","3,323067","14,569258","89,848379","0,861552"
24/03/2013 17.00,,"2,764415","9,823397","2,854445","14,41611","88,927667","0,783802"
24/03/2013 18.00,,"2,673231","11,934314","2,551195","18,920374","89,96748","0,437361"
24/03/2013 19.00,,"2,931436","14,415944","2,947493","23,060575","88,495188","0,541858"
24/03/2013 20.00,,"2,951298","17,553838","4,110163","27,280606","85,675617","1,173313"
24/03/2013 21.00,,"2,774346","16,762918","3,892347","26,101495","86,282974","1,367712"
24/03/2013 22.00,,"3,076789","14,445114","2,976252","23,072255","87,464674","0,931979"
24/03/2013 23.00,,"3,000952","10,294483","1,673165","17,129959","92,414526","0,718409"
25/03/2013 0.00,,"2,944075","9,614475","1,270098","16,447285","90,194709","0,599216"
25/03/2013 1.00,,"3,214017","8,586146","0,62934","15,462845","93,424773","0,446768"
25/03/2013 2.00,,,"8,054344","0,471159","14,688014","98,671123","0,622251"
25/03/2013 3.00,,"3,093943",,,,"99,096837","0,627031"
25/03/2013 4.00,,"3,125541","8,58852","0,333279","15,921646",,"0,70712"
25/03/2013 5.00,,"2,918797","6,901884","0,421674","12,558855","101,200961","0,45165"
25/03/2013 6.00,,"2,257937","8,830341","1,031558","15,312941","95,908987","0,685407"
25/03/2013 7.00,,"2,259742","13,167833","2,748286","20,978139","89,719978","0,443259"
25/03/2013 8.00,,"2,120709","18,317289","5,944892","25,926279","80,034809","0,08314"
25/03/2013 9.00,,"2,102654","27,154396","7,147743","40,989378","64,003531","0,057257"
25/03/2013 10.00,,"1,932924","16,783606","5,089277","24,304579","84,347783","0,267522"
25/03/2013 11.00,,"1,716248","16,722558","4,859197","24,540806","88,932751","0,650829"
25/03/2013 12.00,,"1,958203","21,29576","8,471557","27,748491","79,85911","1,158821"
25/03/2013 13.00,,"2,235367","22,053448","9,879535","27,037915","77,955205","0,836025"
25/03/2013 14.00,,"2,907963","13,945865","6,235455","17,116327","89,81121","0,697306"
25/03/2013 15.00,,"2,019594","8,831698","3,057036","12,207785","99,915342","0,670152"
25/03/2013 16.00,,"1,705415","15,00201","4,520419","21,768539","91,498045","0,873908"
25/03/2013 17.00,,"1,744236","19,989328","5,156949","30,33451","78,789753","1,275572"
25/03/2013 18.00,,"1,608814","19,664423","5,291022","29,50711","81,199652","1,398172"
25/03/2013 19.00,,"1,716248","33,071365","10,128648","47,737036","60,84355","1,540602"
25/03/2013 20.00,,"1,767709","30,917021","10,689892","42,753848","58,184474","2,223365"
25/03/2013 21.00,,"1,402973","14,548211","2,149822","24,537556","73,538335","1,430868"
25/03/2013 22.00,,"1,505893","18,886056","3,831021","30,257935","58,107606","1,660659"
25/03/2013 23.00,,"1,445405","8,33788","1,381333","13,834017","64,0635","1,344118"
26/03/2013 0.00,,"1,300954","3,848774","0,597196","6,447828","70,689213","0,634405"
26/03/2013 1.00,,"0,958788","2,101089","0,255881","3,627553","74,120319","0,774496"
26/03/2013 2.00,,"1,075251","1,360705","0,014379","2,581468","74,526618","0,689272"
26/03/2013 3.00,,"0,92087","1,135843","0,03595","2,118127","73,522292","0,727765"
26/03/2013 4.00,,"0,913647","1,115493","0,121807","1,947456","75,171958","0,68556"
26/03/2013 5.00,,"0,897397","1,723945","0,032567","3,248574","77,009996","0,729697"
26/03/2013 6.00,,"0,970525","5,124013","1,187201","7,982564","74,598414","0,845127"
26/03/2013 7.00,,"0,963302","12,279244","3,210141","18,569303","61,256616","0,154177"
26/03/2013 8.00,,"1,172755","19,603716","6,494719","27,54408","51,894939","0,179195"
26/03/2013 9.00,,"1,602494","30,816641","15,87517","34,605803","43,541855","0,212858"
26/03/2013 10.00,,"1,368665","13,889226","6,460037","16,663375","70,531253","0,91052"
26/03/2013 11.00,,"1,407486","12,209035","6,134369","13,948227","78,614891","0,653117"
26/03/2013 12.00,,"1,746042","15,157004","6,558161","18,938543","81,339005","0,795294"
26/03/2013 13.00,,"1,638607","17,04035","7,398548","21,252645","83,551242","0,644422"
26/03/2013 14.00,,"1,553742","14,737126","6,074313","18,877551","84,882462","1,464988"
26/03/2013 15.00,,"1,491448","9,027391","3,016856","12,64386","94,76613","0,565401"
26/03/2013 16.00,,"1,521241","13,112895","4,495466","18,192264","92,657813","0,184992"
26/03/2013 17.00,,"1,704512","9,912595","1,6812","16,386926","79,868409","0,234673"
26/03/2013 18.00,,"0,646414","15,650145","3,339984","24,819843","68,841884","0,986083"
26/03/2013 19.00,,"2,073764","24,535758","8,284191","34,235257","48,278842","0,188399"
26/03/2013 20.00,,"0,308762","29,944328","12,332597","38,372234","45,060604","0,120921"
26/03/2013 21.00,,"1,365957","24,50117","8,872083","33,26704","47,489918","0,948149"
26/03/2013 22.00,,"1,524852","18,660511","4,217592","29,233256","65,556896","0,268437"
26/03/2013 23.00,,"1,278384","12,715065","2,680192","20,216283","73,430222","0,71251"
27/03/2013 0.00,,"0,894688","10,601766","1,324659","18,252623","74,186209","0,14538"
27/03/2013 1.00,,"1,012054","9,174586","0,740575","16,418084","72,916655","0,740173"
27/03/2013 2.00,,,"4,44739","0,364154","7,950765","71,80841","0,128447"
27/03/2013 3.00,,"1,044556",,,,"70,793117","0,122701"
27/03/2013 4.00,,"0,880243","2,537247","0,05033","4,777467",,"0,113446"
27/03/2013 5.00,,"0,873923","1,734798","0,085857","3,187573","74,347548","0,110446"
27/03/2013 6.00,,"1,416514","2,457207","0,231774","4,345924","76,67212","0,807142"
27/03/2013 7.00,,"0,700584","3,578126","0,580702","5,955287","74,288415","0,070529"
27/03/2013 8.00,,"0,917259","5,844047","1,619028","8,69769","78,770324","0,159771"
27/03/2013 9.00,,"0,901911","6,409762","1,971339","9,239553","82,00124","0,622048"
27/03/2013 10.00,,"0,933509","5,234916","1,778054","7,2882","92,625697","0,177111"
27/03/2013 11.00,,"0,905523","3,02835","0,630608","4,826787","100,417928","0,477888"
