,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


05/01/2007 6.00,,"38,29110776",,"1,50624015",,,
05/01/2007 7.00,,"45,22564496",,"1,54289338",,,
05/01/2007 8.00,,"57,4827504",,"1,58890739",,,
05/01/2007 9.00,,"72,34986968",,"1,68993968",,,
05/01/2007 10.00,,"69,55943952",,"1,65289152",,,
05/01/2007 11.00,,"75,43230048",,"1,79697522",,,
05/01/2007 12.00,,"57,02589712",,"1,7261572",,,
05/01/2007 13.00,,"52,85452496",,"1,71181955",,,
05/01/2007 14.00,,"50,8973444",,"1,74559057",,,
05/01/2007 15.00,,"63,01428112",,"1,76265316",,,
05/01/2007 16.00,,"65,17782384",,"0,55133276",,,
05/01/2007 17.00,,"67,82938544",,"0,02954324",,,
05/01/2007 18.00,,"45,38397768",,"0,33892064",,,
05/01/2007 19.00,"8,27901766","20,46354328",,"0,39942957",,,
05/01/2007 20.00,"8,64203784","13,98457067",,"0,51041446",,,
05/01/2007 21.00,"8,44878852","13,61077658",,"0,56942171",,,
05/01/2007 22.00,"8,1652357","10,45565537",,"0,62294065",,,
05/01/2007 23.00,"7,56020206","12,57897534",,"0,59999248",,,
06/01/2007 0.00,"7,80221552","9,38750892",,"0,64734856",,,
06/01/2007 1.00,,"11,16039945",,"0,64474129",,,
06/01/2007 2.00,"7,86723436",,,"0,69201932",,,
06/01/2007 3.00,"7,61257858","23,13454992",,,,,
06/01/2007 4.00,"7,65411794","16,12086166",,"1,92458932",,,
06/01/2007 5.00,"7,66134271","14,1338233",,"1,93683231",,,
06/01/2007 6.00,"7,54394735","21,22019816",,"1,90191726",,,
06/01/2007 7.00,"7,3741775","17,73931421",,"1,93517335",,,
06/01/2007 8.00,"7,39223841","26,619342",,"2,10220406",,,
06/01/2007 9.00,"7,9864349","39,62013896",,"2,19735077",,,
06/01/2007 10.00,"7,34347427","28,62065152",,"2,10180912",,,
06/01/2007 11.00,"6,48559206","12,64516305",,"1,94240101",,,
