"NetC","Comune Bari","","","","","","","","","","",""
"Stat","Corso Cavour","","","","","","","","","","",""
,CO,PM10,BENZENE
05/01/2011 12.00,"1,0670235","40,53723145","4,99435174"
05/01/2011 13.00,"0,99304134",,"4,71048975"
05/01/2011 14.00,"1,13255941","40,53723145","5,35842554"
05/01/2011 15.00,"0,85613171",,"4,42556093"
05/01/2011 16.00,"0,98749594","37,85102081","3,8024735"
05/01/2011 17.00,"1,16113337",,"4,77135212"
05/01/2011 18.00,"1,8238541","24,17580986","5,16811026"
05/01/2011 19.00,"2,40114772",,"8,7466424"
05/01/2011 20.00,"1,88615597","37,36262131","8,6100115"
05/01/2011 21.00,"1,63516488",,"7,06672518"
05/01/2011 22.00,"1,38946754","49,32844162","6,63365201"
05/01/2011 23.00,"1,18672842",,"5,09886781"
06/01/2011 0.00,"1,85820879","45,1770401","6,73752533"
06/01/2011 1.00,"1,602574",,"7,65057065"
06/01/2011 2.00,"1,2908701","66,66664886","6,31230645"
06/01/2011 3.00,,,"4,90293463"
06/01/2011 4.00,"0,71998398","57,38705063","3,95113653"
06/01/2011 5.00,"0,52881913",,"3,09147457"
06/01/2011 6.00,"0,4686131","49,08423996","1,60657219"
06/01/2011 7.00,"0,41577802",,"1,23035135"
06/01/2011 8.00,"0,48817811","32,96702957","1,24015523"
06/01/2011 9.00,"0,71378968",,"2,35190708"
06/01/2011 10.00,"1,08518352","27,59461975","5,31413925"
06/01/2011 11.00,"0,98021935",,"7,30391806"
06/01/2011 12.00,"0,94120467","35,65322113","6,69571341"
06/01/2011 13.00,"0,90856253",,"5,80371288"
06/01/2011 14.00,"1,09612171","42,97924042","5,00936164"
06/01/2011 15.00,"0,88862472",,"4,37653238"
06/01/2011 16.00,"0,65226952","36,8742218","3,03093968"
06/01/2011 17.00,"0,58016418",,"1,8879649"
06/01/2011 18.00,"0,79675748","27,10622025","2,37344206"
06/01/2011 19.00,"1,12768622",,"3,50180254"
06/01/2011 20.00,"1,43471614","28,32722092","5,10536949"
06/01/2011 21.00,"1,32641891",,"5,37425311"
06/01/2011 22.00,"1,04454133","35,89743042","4,60935317"
06/01/2011 23.00,"1,14917231",,"3,42311725"
07/01/2011 0.00,"0,95279176","32,23442078","7,034948"
07/01/2011 1.00,"0,45457485",,"2,50328245"
07/01/2011 2.00,"0,37223498","25,88521957","1,0696328"
07/01/2011 3.00,"0,3518067",,"0,80649727"
07/01/2011 4.00,"0,33420239","17,58241081","0,71889798"
07/01/2011 5.00,"0,33686907",,"0,64683946"
07/01/2011 6.00,"0,31093151","13,43101025","0,56763143"
07/01/2011 7.00,"0,38552763",,"0,63926484"
07/01/2011 8.00,"0,59227901","9,76801014","1,33265544"
07/01/2011 9.00,"0,74149105",,"2,24355488"
07/01/2011 10.00,"0,85190509","12,21000957","3,0300437"
07/01/2011 11.00,"0,81761681",,"3,17013952"
07/01/2011 12.00,"0,88627259","21,24542046","3,59327152"
07/01/2011 13.00,"0,94242093",,"4,02593383"
07/01/2011 14.00,"1,20434089","22,46640968","5,00803751"
07/01/2011 15.00,"1,24905941",,"5,82355455"
07/01/2011 16.00,"1,10876778","19,78022003","4,65537344"
07/01/2011 17.00,"1,0793993",,"4,52281054"
07/01/2011 18.00,"0,90834701","28,81562042","3,69666381"
07/01/2011 19.00,"0,83053666",,"3,40675982"
07/01/2011 20.00,"0,87390262","27,10622025","3,06656213"
07/01/2011 21.00,"0,85896266",,"3,32791283"
07/01/2011 22.00,"0,80242288","24,17580986","3,09110031"
07/01/2011 23.00,"0,6415457",,"2,21747697"
08/01/2011 0.00,"0,63127389","18,31501007","2,43908432"
08/01/2011 1.00,"0,61080601",,"2,02388797"
08/01/2011 2.00,"0,58771221","22,95482063","1,95573473"
08/01/2011 3.00,,,"1,84556617"
08/01/2011 4.00,"0,37195887","24,90842056","1,46113204"
08/01/2011 5.00,"0,35038773",,"1,18971711"
08/01/2011 6.00,"0,32890513","20,75702095","1,22796851"
08/01/2011 7.00,"0,47348513",,"1,30753351"
08/01/2011 8.00,"0,72237456","17,33819962","1,99400139"
08/01/2011 9.00,"1,34207185",,"4,27406861"
08/01/2011 10.00,"1,07671281","24,17580986","4,86328383"
08/01/2011 11.00,"0,74032022",,"3,71038721"
08/01/2011 12.00,"0,64298913","27,8388195","3,00253893"
08/01/2011 13.00,"0,69295132",,"2,90419707"
08/01/2011 14.00,"0,81154949","25,39682007","3,46775948"
08/01/2011 15.00,"0,61427421",,"3,17891114"
08/01/2011 16.00,"0,46548624","29,54821968","2,19944048"
08/01/2011 17.00,"0,4139513",,"1,60929572"
08/01/2011 18.00,"0,55961241","22,46640968","1,81701797"
08/01/2011 19.00,"0,72040921",,"2,17887877"
08/01/2011 20.00,"0,70338856","19,78022003","2,58694595"
08/01/2011 21.00,"0,75158228",,"2,63608434"
08/01/2011 22.00,"0,71708779","24,42000961","2,81660082"
08/01/2011 23.00,"0,5495305",,"2,01751341"
09/01/2011 0.00,"0,54715157","26,61782074","1,70436691"
09/01/2011 1.00,"0,54033166",,"1,9010181"
09/01/2011 2.00,"0,64322563","24,17580986","1,99891859"
09/01/2011 3.00,"0,79389974",,"2,58239996"
09/01/2011 4.00,"0,62142731","25,88521957","2,55456671"
09/01/2011 5.00,"0,50444267",,"1,84724321"
09/01/2011 6.00,"0,4005072","17,58241081","1,49730673"
09/01/2011 7.00,"0,43806796",,"1,23079984"
09/01/2011 8.00,"0,54962836","22,22220993","1,38006697"
09/01/2011 9.00,"0,82359792",,"2,06925227"
09/01/2011 10.00,"0,96043416","21,97801971","3,44218091"
09/01/2011 11.00,"1,18501121",,"5,51427468"
09/01/2011 12.00,"1,0302095","33,21123123","5,6239205"
09/01/2011 13.00,"0,92784678",,"4,28011874"
09/01/2011 14.00,"1,25714451","30,52503014","5,09813456"
09/01/2011 15.00,"0,79981561",,"4,52273731"
09/01/2011 16.00,"0,56126438","33,45542145","2,54665546"
09/01/2011 17.00,"0,83680552",,"2,73885626"
09/01/2011 18.00,"1,5852423","22,95482063","5,43218753"
09/01/2011 19.00,"1,00465872",,"4,57290287"
09/01/2011 20.00,"1,02902936","38,0952301","4,1178808"
09/01/2011 21.00,"1,20077366",,"4,60560552"
09/01/2011 22.00,"1,23275174","33,69963074","4,85167783"
