,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



26/02/2009 10.00,"2,7","8,0","15,1","28,6"
26/02/2009 11.00,"3,1","7,2","16,2","28,6"
26/02/2009 12.00,"4,6","4,4","13,6","28,6"
26/02/2009 13.00,"4,6","4,5","15,7","28,6"
26/02/2009 14.00,"4,1","4,5","18,5","28,6"
26/02/2009 15.00,"3,8","5,1","21,9","28,6"
26/02/2009 16.00,"3,3","6,0","25,9","28,6"
26/02/2009 17.00,"2,2","5,5","24,7","28,6"
26/02/2009 18.00,"2,1","6,5","25,7","28,6"
26/02/2009 19.00,"1,7","7,1","23,9","28,6"
26/02/2009 20.00,"1,3","8,6","22,9","28,6"
26/02/2009 21.00,"0,9","12,5","25,2","28,6"
26/02/2009 22.00,"1,2","11,1","21,1","28,6"
26/02/2009 23.00,"1,2","9,0","17,4","28,6"
27/02/2009 0.00,"1,2","8,4","16,2","28,6"
27/02/2009 1.00,,"6,6","13,4","26,1"
27/02/2009 2.00,"0,9",,,"26,1"
27/02/2009 3.00,"1,0","4,9","10,5","26,1"
27/02/2009 4.00,"1,1","4,5","9,2","26,1"
27/02/2009 5.00,"1,0","5,2","9,1","26,1"
27/02/2009 6.00,"0,7","10,6","14,0","26,1"
27/02/2009 7.00,"0,8","10,1","12,9","26,1"
27/02/2009 8.00,"0,8","8,2","11,1","26,1"
27/02/2009 9.00,"0,8","9,8","13,8","26,1"
27/02/2009 10.00,"1,1","10,7","15,9","26,1"
27/02/2009 11.00,"1,8","10,8","17,5","26,1"
27/02/2009 12.00,"2,7","7,5","16,8","26,1"
27/02/2009 13.00,"2,6","6,3","20,7","26,1"
27/02/2009 14.00,"3,3","6,3","23,2","26,1"
27/02/2009 15.00,"2,4","6,6","24,5","26,1"
27/02/2009 16.00,"2,1","8,1","27,6","26,1"
27/02/2009 17.00,"2,1","8,9","30,9","26,1"
27/02/2009 18.00,"1,8","9,7","33,2","26,1"
27/02/2009 19.00,"1,4","9,8","33,4","26,1"
27/02/2009 20.00,"1,7","11,5","33,8","26,1"
27/02/2009 21.00,"1,4","11,7","31,7","26,1"
27/02/2009 22.00,"1,3","11,0","28,6","26,1"
27/02/2009 23.00,"1,2","10,4","25,4","26,1"
28/02/2009 0.00,"1,1","9,1","21,9","26,1"
28/02/2009 1.00,"1,1","8,4","19,6","42,1"
28/02/2009 2.00,"1,1","9,3","19,6","42,1"
28/02/2009 3.00,"0,9","9,8","19,2","42,1"
28/02/2009 4.00,"1,0","7,9","17,2","42,1"
28/02/2009 5.00,"1,1","6,1","15,0","42,1"
28/02/2009 6.00,"0,9","5,5","14,0","42,1"
28/02/2009 7.00,"0,8","5,0","13,1","42,1"
28/02/2009 8.00,"0,9","5,2","13,3","42,1"
28/02/2009 9.00,"1,0","5,9","14,3","42,1"
28/02/2009 10.00,"0,9","7,1","16,7","42,1"
28/02/2009 11.00,"1,1","6,8","18,4","42,1"
28/02/2009 12.00,"1,3","5,9","21,4","42,1"
28/02/2009 13.00,"1,8","8,1","26,6","42,1"
28/02/2009 14.00,"1,7","5,8","24,4","42,1"
28/02/2009 15.00,"1,6","7,3","25,9","42,1"
28/02/2009 16.00,"2,0","6,6","25,0","42,1"
28/02/2009 17.00,"1,7","6,8","25,2","42,1"
28/02/2009 18.00,"1,7","8,5","29,4","42,1"
28/02/2009 19.00,"1,4","15,2","37,2","42,1"
28/02/2009 20.00,"1,3","19,7","43,5","42,1"
28/02/2009 21.00,"1,8","24,8","50,9","42,1"
28/02/2009 22.00,"1,9","27,9","50,5","42,1"
28/02/2009 23.00,"1,4","26,2","45,8","42,1"
01/03/2009 0.00,"1,1","21,5","37,7","42,1"
01/03/2009 1.00,,"18,4","33,8","47,7"
01/03/2009 2.00,"0,6",,,"47,7"
01/03/2009 3.00,"0,7","14,5","31,8","47,7"
01/03/2009 4.00,"0,8","11,3","18,7","47,7"
01/03/2009 5.00,"0,6","12,7","19,2","47,7"
01/03/2009 6.00,"0,6","10,9","16,8","47,7"
01/03/2009 7.00,"0,5","10,1","15,9","47,7"
01/03/2009 8.00,"0,6","9,8","17,4","47,7"
01/03/2009 9.00,"0,7","10,7","19,6","47,7"
01/03/2009 10.00,"1,0","12,3","19,4","47,7"
01/03/2009 11.00,"1,1","11,8","20,1","47,7"
01/03/2009 12.00,"1,2","11,7","24,4","47,7"
01/03/2009 13.00,"1,3","7,5","25,2","47,7"
01/03/2009 14.00,"1,1","8,3","27,6","47,7"
01/03/2009 15.00,"1,1","7,7","28,1","47,7"
01/03/2009 16.00,"1,3","8,8","30,3","47,7"
01/03/2009 17.00,"1,3","9,3","31,9","47,7"
01/03/2009 18.00,"1,3","11,0","34,2","47,7"
01/03/2009 19.00,"1,3","11,8","35,9","47,7"
01/03/2009 20.00,"1,4","13,3","38,5","47,7"
01/03/2009 21.00,"1,6","19,1","46,4","47,7"
01/03/2009 22.00,"1,3","14,2","38,8","47,7"
01/03/2009 23.00,"1,4","9,1","33,1","47,7"
02/03/2009 0.00,"1,1","7,8","32,3","47,7"
02/03/2009 1.00,"1,1","7,0","31,6","28,2"
02/03/2009 2.00,"1,0","6,4","31,6","28,2"
02/03/2009 3.00,"0,9","6,0","31,3","28,2"
02/03/2009 4.00,"0,8","5,7","30,9","28,2"
02/03/2009 5.00,"0,8","6,1","31,3","28,2"
02/03/2009 6.00,"0,6","6,0","31,3","28,2"
02/03/2009 7.00,"0,6","6,8","32,1","28,2"
02/03/2009 8.00,"0,7","11,6","37,7","28,2"
02/03/2009 9.00,"0,7","18,5","50,8","28,2"
02/03/2009 10.00,"0,9","12,0","37,3","28,2"
02/03/2009 11.00,"0,8","8,7","32,4","28,2"
02/03/2009 12.00,"0,7","7,2","29,4","28,2"
02/03/2009 13.00,"0,5","8,0","31,0","28,2"
02/03/2009 14.00,"0,6","9,6","31,9","28,2"
02/03/2009 15.00,"0,7","7,6","29,2","28,2"
02/03/2009 16.00,"0,5","8,1","29,6","28,2"
02/03/2009 17.00,"0,5",,,"28,2"
02/03/2009 18.00,"0,5",,,"28,2"
02/03/2009 19.00,"0,5","10,6","19,7","28,2"
02/03/2009 20.00,"0,7","12,9","22,0","28,2"
02/03/2009 21.00,"0,6","14,8","25,0","28,2"
02/03/2009 22.00,"0,6","15,9","26,3","28,2"
02/03/2009 23.00,"0,8","14,5","24,9","28,2"
03/03/2009 0.00,"0,7","14,1","23,5","28,2"
03/03/2009 1.00,,"15,7","24,9",
03/03/2009 2.00,"0,5",,,
03/03/2009 3.00,"0,4","8,8","13,1",
03/03/2009 4.00,"0,4","9,8","12,1",
03/03/2009 5.00,"0,3","7,2","7,8",
03/03/2009 6.00,"0,2","7,8","7,5",
03/03/2009 7.00,"0,2","5,7","4,4",
03/03/2009 8.00,"0,3","8,8","7,9",
03/03/2009 9.00,"0,3","17,0","23,5",
03/03/2009 10.00,"0,7","27,3","44,2",
03/03/2009 11.00,"0,6","12,9","13,3",
03/03/2009 12.00,"0,6","10,0","13,2",
03/03/2009 13.00,"0,6","9,8","14,6",
03/03/2009 14.00,"0,7","9,9","15,0",
03/03/2009 15.00,"0,9","9,6","14,4",
03/03/2009 16.00,"0,7","44,6","49,6",
03/03/2009 17.00,"0,8",,,
03/03/2009 18.00,"0,8",,,
03/03/2009 19.00,"0,7",,,
03/03/2009 20.00,"0,8",,,
03/03/2009 21.00,"0,7",,,
03/03/2009 22.00,"0,8",,,
03/03/2009 23.00,"0,8",,,
04/03/2009 0.00,"0,7",,,
04/03/2009 1.00,"0,6",,,
04/03/2009 2.00,"0,4",,,
04/03/2009 3.00,"0,4",,,
04/03/2009 4.00,"0,4",,,
04/03/2009 5.00,"0,5",,,
04/03/2009 6.00,"0,3",,,
04/03/2009 7.00,"0,3",,,
04/03/2009 8.00,"0,3",,,
04/03/2009 9.00,"0,4",,,
04/03/2009 10.00,"0,5",,,
04/03/2009 11.00,"0,4",,,
04/03/2009 12.00,"0,5",,,
04/03/2009 13.00,"0,5","6,3","14,4",
04/03/2009 14.00,"0,4","6,0","15,2",
04/03/2009 15.00,"0,4","6,4","15,8",
04/03/2009 16.00,"0,4","7,2","16,8",
04/03/2009 17.00,"0,5","6,0","15,6",
04/03/2009 18.00,"0,5","7,3","18,4",
04/03/2009 19.00,"0,4","8,1","19,5",
04/03/2009 20.00,"0,4","7,7","17,6",
04/03/2009 21.00,"0,4","7,2","14,8",
04/03/2009 22.00,"0,4","7,3","13,3",
04/03/2009 23.00,"0,3","4,9","9,9",
05/03/2009 0.00,"0,2","3,9","8,2",
05/03/2009 1.00,,"3,0","6,5",
05/03/2009 2.00,"0,9",,,
05/03/2009 3.00,"0,9","2,4","4,6",
05/03/2009 4.00,"0,9","2,1","3,8",
05/03/2009 5.00,"0,7","2,1","3,1",
05/03/2009 6.00,"0,9","2,1","3,0",
05/03/2009 7.00,"0,8","2,3","3,0",
05/03/2009 8.00,"0,8","3,5","3,5",
05/03/2009 9.00,"0,7","4,9","5,2",
05/03/2009 10.00,"0,9",,,
05/03/2009 11.00,"0,9",,,
05/03/2009 12.00,"1,0","5,0","12,3",
05/03/2009 13.00,"1,4","5,3","15,8",
05/03/2009 14.00,"1,2","5,5","16,2",
05/03/2009 15.00,"1,2","5,4","15,6",
05/03/2009 16.00,"1,3","6,0","17,0",
05/03/2009 17.00,"1,0","5,8","17,1",
05/03/2009 18.00,"0,8","3,9","8,5",
05/03/2009 19.00,"0,7","5,0","8,2",
05/03/2009 20.00,"0,9","7,1","9,5",
05/03/2009 21.00,"0,6","4,6","5,9",
05/03/2009 22.00,"0,5","4,3","4,9",
05/03/2009 23.00,"0,7","5,3","5,9",
06/03/2009 0.00,"0,8","4,2","4,6",
06/03/2009 1.00,"0,9","3,7","4,2","28,1"
06/03/2009 2.00,"0,7","3,1","4,2","28,1"
06/03/2009 3.00,"1,0","3,2","5,1","28,1"
06/03/2009 4.00,"1,0","4,5","6,8","28,1"
06/03/2009 5.00,"0,8","5,4","7,4","28,1"
06/03/2009 6.00,"0,8","5,4","7,7","28,1"
06/03/2009 7.00,"1,0","4,8","7,3","28,1"
06/03/2009 8.00,"1,3","8,4","12,9","28,1"
06/03/2009 9.00,"1,2","13,9","20,3","28,1"
06/03/2009 10.00,"1,3","8,6","14,8","28,1"
06/03/2009 11.00,"1,4","8,9","15,6","28,1"
06/03/2009 12.00,"1,3","8,7","15,5","28,1"
06/03/2009 13.00,"1,4","8,6","15,9","28,1"
06/03/2009 14.00,"1,5","7,0","17,0","28,1"
06/03/2009 15.00,"1,5","7,0","17,6","28,1"
06/03/2009 16.00,"1,4","7,3","19,3","28,1"
06/03/2009 17.00,"1,3","8,7","21,7","28,1"
06/03/2009 18.00,"1,5","9,6","22,7","28,1"
06/03/2009 19.00,"1,4","10,4","23,1","28,1"
06/03/2009 20.00,"1,7","17,1","28,6","28,1"
06/03/2009 21.00,"2,0","18,9","29,8","28,1"
06/03/2009 22.00,"1,8","13,8","23,3","28,1"
06/03/2009 23.00,"1,5","9,4","18,2","28,1"
07/03/2009 0.00,"1,3","5,8","14,0","28,1"
07/03/2009 1.00,,"5,0","13,1","16,4"
07/03/2009 2.00,"1,4",,,"16,4"
07/03/2009 3.00,"1,4","4,7","12,0","16,4"
07/03/2009 4.00,"1,2","3,7","9,5","16,4"
07/03/2009 5.00,"1,1","3,9","8,7","16,4"
07/03/2009 6.00,"1,3","6,3","12,0","16,4"
07/03/2009 7.00,"1,2","6,2","10,0","16,4"
07/03/2009 8.00,"1,2","8,2","13,0","16,4"
07/03/2009 9.00,"1,4","7,4","12,1","16,4"
07/03/2009 10.00,"1,4","7,2","13,6","16,4"
07/03/2009 11.00,"2,6","6,7","13,3","16,4"
07/03/2009 12.00,"1,7","8,0","16,9","16,4"
07/03/2009 13.00,"1,6","8,0","19,7","16,4"
07/03/2009 14.00,"1,5","5,6","17,8","16,4"
07/03/2009 15.00,"1,7","6,8","20,0","16,4"
07/03/2009 16.00,"1,5","9,0","22,6","16,4"
07/03/2009 17.00,"1,9","9,1","22,5","16,4"
07/03/2009 18.00,"1,9","8,8","22,4","16,4"
07/03/2009 19.00,"1,7","7,1","19,8","16,4"
07/03/2009 20.00,"1,7","6,3","17,3","16,4"
07/03/2009 21.00,"1,4","6,3","15,1","16,4"
07/03/2009 22.00,"1,3","9,9","17,3","16,4"
07/03/2009 23.00,"1,2","10,2","16,9","16,4"
08/03/2009 0.00,"1,3","7,6","14,4","16,4"
08/03/2009 1.00,"1,3","4,1","9,9","16,4"
08/03/2009 2.00,"1,1","4,7","9,8","16,4"
08/03/2009 3.00,"1,3","5,3","10,4","16,4"
08/03/2009 4.00,"1,2","5,2","9,8","16,4"
08/03/2009 5.00,"1,3","5,9","9,5","16,4"
08/03/2009 6.00,"1,0","5,6","8,2","16,4"
08/03/2009 7.00,"1,0","5,3","7,3","16,4"
08/03/2009 8.00,"1,4","5,4","7,3","16,4"
08/03/2009 9.00,"1,2","5,7","8,0","16,4"
08/03/2009 10.00,"0,9","5,1","7,2","16,4"
08/03/2009 11.00,"1,2","4,7","7,6","16,4"
08/03/2009 12.00,"1,4","4,6","9,3","16,4"
08/03/2009 13.00,"1,6","5,0","12,4","16,4"
08/03/2009 14.00,"1,5","4,1","12,6","16,4"
08/03/2009 15.00,"1,7","4,5","13,4","16,4"
08/03/2009 16.00,"1,5","4,2","13,0","16,4"
08/03/2009 17.00,"1,5","4,1","13,2","16,4"
08/03/2009 18.00,"1,6","4,7","14,7","16,4"
08/03/2009 19.00,"1,5","4,5","14,2","16,4"
08/03/2009 20.00,"1,3","5,5","14,7","16,4"
08/03/2009 21.00,"1,4","7,2","15,8","16,4"
08/03/2009 22.00,"1,5","8,2","15,2","16,4"
08/03/2009 23.00,"1,6","11,4","18,3","16,4"
09/03/2009 0.00,"1,5","7,2","11,5","16,4"
09/03/2009 1.00,,"5,8","8,6","26,4"
09/03/2009 2.00,"1,0",,,"26,4"
09/03/2009 3.00,"1,0","7,6","8,9","26,4"
09/03/2009 4.00,"0,9","5,8","6,1","26,4"
09/03/2009 5.00,"0,7","4,5","4,1","26,4"
09/03/2009 6.00,"0,8","3,7","2,7","26,4"
09/03/2009 7.00,"0,8","4,3","2,5","26,4"
09/03/2009 8.00,"1,3","7,1","8,1","26,4"
09/03/2009 9.00,"1,7","15,6","28,0","26,4"
09/03/2009 10.00,"1,1","11,3","12,7","26,4"
09/03/2009 11.00,"1,4","4,1","6,1","26,4"
09/03/2009 12.00,"1,5","4,6","10,9","26,4"
09/03/2009 13.00,"1,6","5,5","13,9","26,4"
09/03/2009 14.00,"1,6","5,6","14,1","26,4"
09/03/2009 15.00,"1,6","4,8","13,7","26,4"
09/03/2009 16.00,"1,3","6,7","16,3","26,4"
09/03/2009 17.00,"1,5","7,2","17,6","26,4"
09/03/2009 18.00,"1,5","7,8","19,0","26,4"
09/03/2009 19.00,"1,6","9,6","21,8","26,4"
09/03/2009 20.00,"1,8","10,6","23,6","26,4"
09/03/2009 21.00,"1,2","7,7","21,0","26,4"
09/03/2009 22.00,"1,5","6,3","19,4","26,4"
09/03/2009 23.00,"1,4","5,6","17,9","26,4"
10/03/2009 0.00,"0,9","5,1","15,8","26,4"
10/03/2009 1.00,"0,9","4,5","11,5","15,1"
10/03/2009 2.00,"0,9","3,6","9,0","15,1"
10/03/2009 3.00,"1,0","3,9","8,9","15,1"
10/03/2009 4.00,"0,8","4,1","8,5","15,1"
10/03/2009 5.00,"0,9","3,4","6,7","15,1"
10/03/2009 6.00,"0,7","2,9","4,7","15,1"
10/03/2009 7.00,"0,5","3,1","3,5","15,1"
10/03/2009 8.00,"0,9","3,8","3,9","15,1"
10/03/2009 9.00,"0,7","4,6","5,5","15,1"
10/03/2009 10.00,"1,0","5,3","7,4","15,1"
10/03/2009 11.00,"1,0","3,2","6,0","15,1"
10/03/2009 12.00,"1,0","3,6","7,6","15,1"
10/03/2009 13.00,"1,0","3,3","10,1","15,1"
10/03/2009 14.00,"1,3","4,3","12,2","15,1"
10/03/2009 15.00,"1,4","3,5","11,5","15,1"
10/03/2009 16.00,"1,4","3,4","11,6","15,1"
10/03/2009 17.00,"1,4","4,4","13,2","15,1"
10/03/2009 18.00,"1,7","4,0","13,5","15,1"
10/03/2009 19.00,"1,8","5,3","16,0","15,1"
10/03/2009 20.00,"1,4","8,5","19,1","15,1"
10/03/2009 21.00,"1,4","8,8","16,8","15,1"
10/03/2009 22.00,"1,3","19,8","26,5","15,1"
10/03/2009 23.00,"1,7","16,9","22,2","15,1"
11/03/2009 0.00,"1,4","16,8","20,7","15,1"
11/03/2009 1.00,,"14,0","17,9","50,2"
11/03/2009 2.00,"0,3",,,"50,2"
11/03/2009 3.00,"0,3","10,8","11,1","50,2"
11/03/2009 4.00,"0,3","9,0","9,3","50,2"
11/03/2009 5.00,"0,2","6,8","7,2","50,2"
11/03/2009 6.00,"0,2","5,4","5,5","50,2"
11/03/2009 7.00,"0,3","4,8","5,5","50,2"
11/03/2009 8.00,"0,3","5,2","6,5","50,2"
11/03/2009 9.00,"0,5","15,3","19,4","50,2"
11/03/2009 10.00,"0,4","14,9","20,1","50,2"
11/03/2009 11.00,"0,3","6,4","12,3","50,2"
11/03/2009 12.00,"0,6","8,2","17,8","50,2"
11/03/2009 13.00,"0,8","10,2","22,2","50,2"
11/03/2009 14.00,"0,8","14,6","28,7","50,2"
11/03/2009 15.00,"1,0","16,8","30,3","50,2"
11/03/2009 16.00,"0,7","14,2","26,7","50,2"
11/03/2009 17.00,"0,7","13,5","25,5","50,2"
11/03/2009 18.00,"0,7","12,1","24,5","50,2"
11/03/2009 19.00,"0,7","18,6","32,6","50,2"
11/03/2009 20.00,"1,4","28,3","42,1","50,2"
11/03/2009 21.00,"2,0","37,3","51,6","50,2"
11/03/2009 22.00,"1,1","21,0","31,6","50,2"
11/03/2009 23.00,"0,6","19,1","28,5","50,2"
12/03/2009 0.00,"0,5","10,7","17,0","50,2"
12/03/2009 1.00,"0,2","9,5","14,0","10,6"
12/03/2009 2.00,"0,2","7,9","11,4","10,6"
12/03/2009 3.00,"0,2","6,3","8,8","10,6"
12/03/2009 4.00,"0,3","4,8","6,6","10,6"
12/03/2009 5.00,"0,3","3,7","4,9","10,6"
12/03/2009 6.00,"0,2","3,3","4,2","10,6"
12/03/2009 7.00,"0,2","6,5","10,5","10,6"
12/03/2009 8.00,"0,4","6,7","8,0","10,6"
12/03/2009 9.00,"0,2","5,0","7,3","10,6"
12/03/2009 10.00,"0,3","4,7","7,4","10,6"
12/03/2009 11.00,"0,3","7,1","11,7","10,6"
12/03/2009 12.00,"0,3","5,7","11,3","10,6"
12/03/2009 13.00,"0,3","3,9","8,8","10,6"
12/03/2009 14.00,"0,3","4,3","10,1","10,6"
12/03/2009 15.00,"0,4","4,5","12,3","10,6"
12/03/2009 16.00,"0,3","4,2","13,4","10,6"
12/03/2009 17.00,"0,3","3,9","13,2","10,6"
12/03/2009 18.00,"0,3","3,8","12,2","10,6"
12/03/2009 19.00,"0,3","3,7","9,7","10,6"
12/03/2009 20.00,"0,2","3,6","7,0","10,6"
12/03/2009 21.00,"0,2","3,0","4,9","10,6"
12/03/2009 22.00,"0,3","3,0","4,1","10,6"
12/03/2009 23.00,"0,1","3,0","3,9","10,6"
13/03/2009 0.00,"0,1","3,4","4,4","10,6"
13/03/2009 1.00,,"3,3","4,3","28,4"
13/03/2009 2.00,"1,0",,,"28,4"
13/03/2009 3.00,"0,9","4,4","4,7","28,4"
13/03/2009 4.00,"1,0","3,0","2,3","28,4"
13/03/2009 5.00,"0,8","2,4","1,3","28,4"
13/03/2009 6.00,"0,8","2,5","1,0","28,4"
13/03/2009 7.00,"1,1","2,6","0,8","28,4"
13/03/2009 8.00,"1,0","3,5","1,6","28,4"
13/03/2009 9.00,"1,0","5,0","3,5","28,4"
13/03/2009 10.00,"1,0","4,3","3,2","28,4"
13/03/2009 11.00,"1,5","4,4","4,8","28,4"
13/03/2009 12.00,"1,9","4,5","9,0","28,4"
13/03/2009 13.00,"1,7","5,0","11,9","28,4"
13/03/2009 14.00,"1,7","5,2","12,1","28,4"
13/03/2009 15.00,"1,9","5,7","13,0","28,4"
13/03/2009 16.00,"1,8","8,0","16,8","28,4"
13/03/2009 17.00,"2,0","5,8","14,4","28,4"
13/03/2009 18.00,"1,8","7,3","16,9","28,4"
13/03/2009 19.00,"2,0","13,1","24,9","28,4"
13/03/2009 20.00,"2,8","23,3","36,5","28,4"
13/03/2009 21.00,"3,2","32,9","46,4","28,4"
13/03/2009 22.00,"3,0","28,1","39,0","28,4"
13/03/2009 23.00,"2,1","20,4","28,0","28,4"
14/03/2009 0.00,"2,1","17,3","23,4","28,4"
14/03/2009 1.00,"1,9","17,3","24,2","25,1"
14/03/2009 2.00,"1,3","15,7","18,8","25,1"
14/03/2009 3.00,"1,3","12,7","14,6","25,1"
14/03/2009 4.00,"1,4","10,1","11,2","25,1"
14/03/2009 5.00,"1,3","7,5","7,5","25,1"
14/03/2009 6.00,"1,3","6,2","5,6","25,1"
14/03/2009 7.00,"1,1","8,5","7,6","25,1"
14/03/2009 8.00,"1,2","18,8","28,3","25,1"
14/03/2009 9.00,"1,1","10,2","10,6","25,1"
14/03/2009 10.00,"1,2","7,7","8,8","25,1"
14/03/2009 11.00,"1,4","6,5","9,6","25,1"
14/03/2009 12.00,"1,6","5,5","12,3","25,1"
14/03/2009 13.00,"2,0","3,9","11,3","25,1"
14/03/2009 14.00,"1,9","4,6","12,4","25,1"
14/03/2009 15.00,"2,1","4,7","13,3","25,1"
14/03/2009 16.00,"1,8","5,1","13,6","25,1"
14/03/2009 17.00,"1,6","5,0","13,4","25,1"
14/03/2009 18.00,"1,8","5,3","14,6","25,1"
14/03/2009 19.00,"1,4","5,7","16,6","25,1"
14/03/2009 20.00,"1,9","7,6","19,3","25,1"
14/03/2009 21.00,"1,4","8,9","19,2","25,1"
14/03/2009 22.00,"1,6","7,7","15,8","25,1"
14/03/2009 23.00,"1,7","13,5","20,3","25,1"
15/03/2009 0.00,"1,4","9,4","14,2","25,1"
15/03/2009 1.00,,"8,7","12,1","37,9"
15/03/2009 2.00,"0,3",,,"37,9"
15/03/2009 3.00,"0,3","7,7","9,1","37,9"
15/03/2009 4.00,"0,3","6,6","6,9","37,9"
15/03/2009 5.00,"0,2","6,0","5,2","37,9"
15/03/2009 6.00,"0,2","5,7","4,4","37,9"
15/03/2009 7.00,"0,2","4,9","3,2","37,9"
15/03/2009 8.00,"0,5","4,4","4,0","37,9"
15/03/2009 9.00,"0,3","5,9","8,3","37,9"
15/03/2009 10.00,"0,4","8,5","8,8","37,9"
15/03/2009 11.00,"0,4","10,6","12,3","37,9"
15/03/2009 12.00,"0,8","5,9","10,7","37,9"
15/03/2009 13.00,"0,9","6,3","13,4","37,9"
15/03/2009 14.00,"0,8","6,8","14,6","37,9"
15/03/2009 15.00,"1,0","5,0","12,5","37,9"
15/03/2009 16.00,"0,8","4,9","12,7","37,9"
15/03/2009 17.00,"1,0","6,6","14,8","37,9"
15/03/2009 18.00,"0,7","6,4","16,3","37,9"
15/03/2009 19.00,"0,5","10,9","22,4","37,9"
15/03/2009 20.00,"1,0","19,2","32,9","37,9"
15/03/2009 21.00,"1,0","14,1","27,7","37,9"
15/03/2009 22.00,"0,9","12,9","26,0","37,9"
15/03/2009 23.00,"0,6","12,1","21,8","37,9"
16/03/2009 0.00,"0,7","9,8","18,3","37,9"
16/03/2009 1.00,"0,7","9,4","16,2","26,2"
16/03/2009 2.00,"0,5","14,4","19,3","26,2"
16/03/2009 3.00,"0,4","14,9","18,8","26,2"
16/03/2009 4.00,"0,3","14,3","16,9","26,2"
16/03/2009 5.00,"0,5","12,7","14,2","26,2"
16/03/2009 6.00,"0,3","9,6","9,9","26,2"
16/03/2009 7.00,"0,4","8,7","8,4","26,2"
16/03/2009 8.00,"0,4","7,9","8,1","26,2"
16/03/2009 9.00,"0,5","13,2","19,8","26,2"
16/03/2009 10.00,"0,4","15,9","18,6","26,2"
16/03/2009 11.00,"0,6","13,3","19,1","26,2"
16/03/2009 12.00,"0,8","11,8","20,0","26,2"
16/03/2009 13.00,"6,0","17,2","27,5","26,2"
16/03/2009 14.00,"3,5","11,8","21,8","26,2"
16/03/2009 15.00,"3,1","10,7","19,8","26,2"
16/03/2009 16.00,"2,0","8,9","18,0","26,2"
16/03/2009 17.00,"0,8","6,7","15,9","26,2"
16/03/2009 18.00,"0,5","6,8","16,8","26,2"
16/03/2009 19.00,"0,6","7,4","18,9","26,2"
16/03/2009 20.00,"0,4","7,9","20,8","26,2"
16/03/2009 21.00,"0,4","6,9","18,7","26,2"
16/03/2009 22.00,"0,4","5,4","15,1","26,2"
16/03/2009 23.00,"0,4","5,6","13,9","26,2"
17/03/2009 0.00,"0,3","6,3","14,0","26,2"
17/03/2009 1.00,,"6,2","13,3","12,9"
17/03/2009 2.00,"1,2",,,"12,9"
17/03/2009 3.00,"0,8","5,1","10,7","12,9"
17/03/2009 4.00,"0,9","4,4","9,6","12,9"
17/03/2009 5.00,"0,9","4,8","9,4","12,9"
17/03/2009 6.00,"1,0","4,8","9,1","12,9"
17/03/2009 7.00,"0,8","4,5","8,3","12,9"
17/03/2009 8.00,"0,9","5,2","8,7","12,9"
17/03/2009 9.00,"1,0","7,7","12,2","12,9"
17/03/2009 10.00,"1,2","7,1","12,1","12,9"
17/03/2009 11.00,"1,6","6,8","13,9","12,9"
17/03/2009 12.00,"1,9","4,6","13,1","12,9"
17/03/2009 13.00,"1,8","4,2","12,7","12,9"
17/03/2009 14.00,"1,8","4,0","12,7","12,9"
17/03/2009 15.00,"1,6","4,0","12,7","12,9"
17/03/2009 16.00,"1,3","4,9","13,9","12,9"
17/03/2009 17.00,"1,5","5,1","14,3","12,9"
17/03/2009 18.00,"1,4","5,2","15,8","12,9"
17/03/2009 19.00,"1,7","5,9","17,6","12,9"
17/03/2009 20.00,"1,5","5,8","15,9","12,9"
17/03/2009 21.00,"1,2","6,7","14,8","12,9"
17/03/2009 22.00,"1,1","6,8","13,6","12,9"
17/03/2009 23.00,"1,1","6,7","12,0","12,9"
18/03/2009 0.00,"1,2","5,5","9,7","12,9"
18/03/2009 1.00,"1,2","4,0","7,4","12,1"
18/03/2009 2.00,"1,2","4,8","8,0","12,1"
18/03/2009 3.00,"1,1","4,6","8,2","12,1"
18/03/2009 4.00,"0,9","4,4","8,6","12,1"
18/03/2009 5.00,"1,1","4,8","9,0","12,1"
18/03/2009 6.00,"1,0","5,3","9,2","12,1"
18/03/2009 7.00,"1,1","4,6","7,9","12,1"
18/03/2009 8.00,"1,0","6,1","9,2","12,1"
18/03/2009 9.00,"1,2","9,2","13,4","12,1"
18/03/2009 10.00,"1,4","8,4","13,3","12,1"
18/03/2009 11.00,"1,6","4,3","10,0","12,1"
18/03/2009 12.00,"2,0","4,7","12,1","12,1"
18/03/2009 13.00,"1,9","5,6","13,5","12,1"
18/03/2009 14.00,"1,6","27,9","36,1","12,1"
18/03/2009 15.00,"1,4","70,9","79,9","12,1"
18/03/2009 16.00,"1,3","6,3","17,4","12,1"
18/03/2009 17.00,"1,7","4,8","15,2","12,1"
18/03/2009 18.00,"1,2","4,2","13,8","12,1"
18/03/2009 19.00,"1,2","3,9","12,4","12,1"
18/03/2009 20.00,"1,3","3,7","10,6","12,1"
18/03/2009 21.00,"1,1","4,2","9,3","12,1"
18/03/2009 22.00,"1,0","3,4","7,0","12,1"
18/03/2009 23.00,"1,0","3,9","7,1","12,1"
19/03/2009 0.00,"1,1","4,1","7,3","12,1"
19/03/2009 1.00,,"5,3","8,4",
19/03/2009 2.00,"0,5",,,
19/03/2009 3.00,"0,6","3,3","4,4",
19/03/2009 4.00,"0,4","3,5","3,4",
19/03/2009 5.00,"0,5","3,0","2,0",
