,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



05/01/2009 6.00,"1,8",,,"20,3"
05/01/2009 7.00,"1,8",,,"20,3"
05/01/2009 8.00,"2,0",,,"20,3"
05/01/2009 9.00,"2,1",,,"20,3"
05/01/2009 10.00,"2,0",,,"20,3"
05/01/2009 11.00,"2,1",,,"20,3"
05/01/2009 12.00,"2,2",,,"20,3"
05/01/2009 13.00,"3,0",,,"20,3"
05/01/2009 14.00,"3,0","4,3","4,4","20,3"
05/01/2009 15.00,"3,6","7,0","12,0","20,3"
05/01/2009 16.00,"3,4","7,3","15,5","20,3"
05/01/2009 17.00,"3,3","6,2","16,5","20,3"
05/01/2009 18.00,"3,0","6,9","16,2","20,3"
05/01/2009 19.00,"2,8","7,5","14,2","20,3"
05/01/2009 20.00,"2,9","11,7","15,8","20,3"
05/01/2009 21.00,"3,0","11,3","13,8","20,3"
05/01/2009 22.00,"2,6","7,3","8,2","20,3"
05/01/2009 23.00,"2,4","7,4","7,5","20,3"
06/01/2009 0.00,"2,6","6,1","6,2","20,3"
06/01/2009 1.00,"2,4",,,"17,5"
06/01/2009 2.00,"2,6",,,"17,5"
06/01/2009 3.00,"2,6",,,"17,5"
06/01/2009 4.00,"2,4",,,"17,5"
06/01/2009 5.00,"2,5",,,"17,5"
06/01/2009 6.00,"2,4",,,"17,5"
06/01/2009 7.00,"2,3",,,"17,5"
06/01/2009 8.00,"2,3",,,"17,5"
06/01/2009 9.00,"2,3",,,"17,5"
06/01/2009 10.00,"2,6",,,"17,5"
06/01/2009 11.00,"2,5",,,"17,5"
06/01/2009 12.00,"2,8","5,4","6,1","17,5"
06/01/2009 13.00,"2,8","4,8","7,0","17,5"
06/01/2009 14.00,"3,0","8,0","13,3","17,5"
06/01/2009 15.00,"3,2","6,5","14,4","17,5"
06/01/2009 16.00,"3,4","6,5","16,9","17,5"
06/01/2009 17.00,"3,5","6,1","17,7","17,5"
06/01/2009 18.00,"3,8","10,0","21,1","17,5"
06/01/2009 19.00,"3,0","11,3","20,1","17,5"
06/01/2009 20.00,"3,2","15,0","22,8","17,5"
06/01/2009 21.00,"2,6","11,7","14,7","17,5"
06/01/2009 22.00,"2,5","11,3","15,7","17,5"
06/01/2009 23.00,"2,4","9,6","9,8","17,5"
07/01/2009 0.00,"2,3","8,1","7,5","17,5"
07/01/2009 1.00,"2,3","12,4","14,2","73,1"
07/01/2009 2.00,"2,6","12,1","15,8","73,1"
07/01/2009 3.00,"2,8","7,4","7,0","73,1"
07/01/2009 4.00,"2,8","6,9","6,8","73,1"
07/01/2009 5.00,"2,5","5,6","4,7","73,1"
07/01/2009 6.00,"2,6","5,4","5,1","73,1"
07/01/2009 7.00,"2,7","5,2","4,2","73,1"
07/01/2009 8.00,"2,9","6,6","12,5","73,1"
07/01/2009 9.00,"3,4","17,9","43,6","73,1"
07/01/2009 10.00,"4,6","18,7","39,9","73,1"
07/01/2009 11.00,"0,9","27,2","42,9","73,1"
07/01/2009 12.00,"1,2","28,0","35,2","73,1"
07/01/2009 13.00,"1,2","19,3","22,7","73,1"
07/01/2009 14.00,"2,0","13,5","16,6","73,1"
07/01/2009 15.00,"1,5","12,6","18,4","73,1"
07/01/2009 16.00,"1,5","9,6","18,2","73,1"
07/01/2009 17.00,"1,5","11,5","21,6","73,1"
07/01/2009 18.00,"1,9","16,4","27,8","73,1"
07/01/2009 19.00,"2,3","17,4","28,3","73,1"
07/01/2009 20.00,"2,4","24,5","34,6","73,1"
07/01/2009 21.00,"2,4","24,0","33,4","73,1"
07/01/2009 22.00,"1,6","18,6","24,8","73,1"
07/01/2009 23.00,"1,2","15,2","20,5","73,1"
08/01/2009 0.00,"0,7","13,2","17,9","73,1"
08/01/2009 1.00,"0,7","9,2","13,8","27,7"
08/01/2009 2.00,"0,6",,,"27,7"
08/01/2009 3.00,"0,6","6,8","11,5","27,7"
08/01/2009 4.00,"0,5","5,6","10,2","27,7"
08/01/2009 5.00,"0,5","5,2","9,0","27,7"
08/01/2009 6.00,"0,4","4,6","7,7","27,7"
08/01/2009 7.00,"0,5","4,8","7,6","27,7"
08/01/2009 8.00,"0,4","8,1","11,2","27,7"
08/01/2009 9.00,"1,3","13,2","29,6","27,7"
08/01/2009 10.00,"0,9","9,9","19,1","27,7"
08/01/2009 11.00,"1,0","12,0","19,4","27,7"
08/01/2009 12.00,"1,5","13,4","21,5","27,7"
08/01/2009 13.00,"0,9","12,6","20,3","27,7"
08/01/2009 14.00,"1,0","12,5","22,2","27,7"
08/01/2009 15.00,"0,5","8,5","19,6","27,7"
08/01/2009 16.00,"0,9","5,7","16,1","27,7"
08/01/2009 17.00,"0,5","5,1","15,7","27,7"
08/01/2009 18.00,"0,6","16,9","29,1","27,7"
08/01/2009 19.00,"0,5","9,7","21,1","27,7"
08/01/2009 20.00,"0,5","10,3","20,7","27,7"
08/01/2009 21.00,"0,6","9,8","17,6","27,7"
08/01/2009 22.00,"0,4","9,4","16,9","27,7"
08/01/2009 23.00,"0,5","7,2","12,5","27,7"
09/01/2009 0.00,"0,4","6,6","11,3","27,7"
09/01/2009 1.00,"0,4","6,9","11,8","14,9"
09/01/2009 2.00,"0,3","9,5","14,2","14,9"
09/01/2009 3.00,"0,5","10,0","14,6","14,9"
09/01/2009 4.00,"0,3","7,7","12,1","14,9"
09/01/2009 5.00,"0,2","6,6","10,3","14,9"
09/01/2009 6.00,"0,4","4,8","8,1","14,9"
09/01/2009 7.00,"0,3","4,3","8,1","14,9"
09/01/2009 8.00,"0,3","5,0","9,9","14,9"
09/01/2009 9.00,"0,5",,,"14,9"
09/01/2009 10.00,,,,"14,9"
09/01/2009 11.00,,"6,3","16,1","14,9"
09/01/2009 12.00,,"7,1","18,8","14,9"
09/01/2009 13.00,,"6,9","20,6","14,9"
09/01/2009 14.00,"0,7","5,9","19,9","14,9"
09/01/2009 15.00,"0,7","5,8","20,2","14,9"
09/01/2009 16.00,"0,9","7,0","23,2","14,9"
09/01/2009 17.00,"0,8","6,9","22,9","14,9"
09/01/2009 18.00,"0,9","8,1","23,3","14,9"
09/01/2009 19.00,"0,7","9,0","23,3","14,9"
09/01/2009 20.00,"0,6","6,9","19,8","14,9"
09/01/2009 21.00,"0,8","7,7","19,7","14,9"
09/01/2009 22.00,"0,7","5,5","16,2","14,9"
09/01/2009 23.00,"0,9","5,5","15,7","14,9"
10/01/2009 0.00,"0,5","4,8","14,1","14,9"
10/01/2009 1.00,,"4,2","13,2","25,9"
10/01/2009 2.00,"0,4",,,"25,9"
10/01/2009 3.00,"0,3","5,9","14,7","25,9"
10/01/2009 4.00,"0,3","5,0","13,9","25,9"
10/01/2009 5.00,"0,5","4,8","14,0","25,9"
10/01/2009 6.00,"0,6","6,3","15,9","25,9"
10/01/2009 7.00,"0,4","5,3","14,9","25,9"
10/01/2009 8.00,"0,7","5,3","14,6","25,9"
10/01/2009 9.00,"0,5","8,1","18,4","25,9"
10/01/2009 10.00,"0,6","9,4","19,9","25,9"
10/01/2009 11.00,"2,0","11,5","22,4","25,9"
10/01/2009 12.00,"0,8","8,2","18,8","25,9"
10/01/2009 13.00,"0,8","9,4","21,2","25,9"
10/01/2009 14.00,"0,9","10,6","24,4","25,9"
10/01/2009 15.00,"1,0","12,3","29,2","25,9"
10/01/2009 16.00,"1,1","14,8","34,7","25,9"
10/01/2009 17.00,"1,7","15,9","37,9","25,9"
10/01/2009 18.00,"1,2","12,1","30,6","25,9"
