"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
"","NO2","NOX","PM10"
"2012-01-03 04:00:00","9.37063552","11.02752692","21.0012207"
"2012-01-03 05:00:00","9.07731751","10.74219151",""
"2012-01-03 06:00:00","6.7547767","8.36613573","22.95482063"
"2012-01-03 07:00:00","6.0331573","7.97834006",""
"2012-01-03 08:00:00","9.34532829","12.65587981","27.10622025"
"2012-01-03 09:00:00","10.83982397","14.64024901",""
"2012-01-03 10:00:00","16.52125358","24.88244296","31.74603081"
"2012-01-03 11:00:00","9.49393466","14.17074594",""
"2012-01-03 12:00:00","7.56724286","10.73441158","15.87300968"
"2012-01-03 13:00:00","7.46665827","10.23767016",""
"2012-01-03 14:00:00","7.88911467","11.08978164","15.14041042"
"2012-01-03 15:00:00","10.93327297","14.83220234",""
"2012-01-03 16:00:00","12.43360981","15.3970339","12.45421028"
"2012-01-03 17:00:00","33.65510048","38.21470424",""
"2012-01-03 18:00:00","65.9844584","102.49145984","15.14041042"
"2012-01-03 19:00:00","45.24185872","54.1843592",""
"2012-01-03 20:00:00","41.08283808","50.5378884","29.05982971"
"2012-01-03 21:00:00","37.64022472","45.37332784",""
"2012-01-03 22:00:00","33.71481224","63.89089488","53.72404099"
"2012-01-03 23:00:00","16.27790569","25.2105804",""
"2012-01-04 00:00:00","5.95982828","8.4446023","57.38705063"
"2012-01-04 01:00:00","4.90401041","7.9212726",""
"2012-01-04 02:00:00","","","48.84004974"
"2012-01-04 03:00:00","16.74125021","28.01269288",""
"2012-01-04 04:00:00","10.08641375","12.62475054","24.90842056"
"2012-01-04 05:00:00","6.42252081","8.11127951",""
"2012-01-04 06:00:00","9.68536984","12.74147814","17.58241081"
"2012-01-04 07:00:00","24.46163088","47.84604096",""
"2012-01-04 08:00:00","29.63106704","48.07624576","18.31501007"
"2012-01-04 09:00:00","18.85743269","26.13661936",""
"2012-01-04 10:00:00","12.12860757","17.41901788","39.31623077"
"2012-01-04 11:00:00","6.77229635","10.06322693",""
"2012-01-04 12:00:00","6.15645645","8.92707638","19.53602028"
"2012-01-04 13:00:00","7.0149999","10.22405098",""
"2012-01-04 14:00:00","6.18306193","8.3862385","10.50061035"
"2012-01-04 15:00:00","7.06561436","9.40760595",""
"2012-01-04 16:00:00","8.4738081","11.01585416","17.33819962"
"2012-01-04 17:00:00","12.32718215","14.93920168",""
"2012-01-04 18:00:00","12.2363373","14.64997726","9.76801014"
"2012-01-04 19:00:00","9.22916855","11.27589763",""
"2012-01-04 20:00:00","9.14740187","11.40948525","21.73381996"
"2012-01-04 21:00:00","10.60749876","13.32706255",""
"2012-01-04 22:00:00","9.6315088","11.76226263","26.86202049"
"2012-01-04 23:00:00","6.76970177","8.06718306",""
"2012-01-05 00:00:00","6.34918987","9.27596284","31.25761986"
"2012-01-05 01:00:00","7.46016894","10.48604087",""
"2012-01-05 02:00:00","6.73660505","9.80837071","18.80340958"
"2012-01-05 03:00:00","4.28752042","5.96284159",""
"2012-01-05 04:00:00","1.42117048","3.41623158","14.65200996"
"2012-01-05 05:00:00","1.11097907","3.10755066",""
"2012-01-05 06:00:00","3.00068133","5.33834798","16.36141014"
"2012-01-05 07:00:01","8.33623205","13.81861672",""
"2012-01-05 08:00:01","17.65041003","35.94240696","14.65200996"
"2012-01-05 09:00:01","13.40507215","26.58538488",""
"2012-01-05 10:00:01","18.93010781","43.86627032","34.18803024"
"2012-01-05 11:00:01","9.73728638","18.48188912",""
"2012-01-05 12:00:01","6.29403058","10.2195119","17.09399986"
"2012-01-05 13:00:01","5.70609441","8.79543326",""
"2012-01-05 14:00:01","4.92153198","7.25786978","10.7448101"
"2012-01-05 15:00:01","5.53737188","8.07301848",""
"2012-01-05 16:00:01","7.14997754","9.73249873","7.81440783"
"2012-01-05 17:00:01","17.68090452","39.60700352",""
"2012-01-05 18:00:01","15.95344311","22.13870384","5.61660624"
"2012-01-05 19:00:01","11.66202412","14.83349867",""
"2012-01-05 20:00:01","7.69897774","10.27917203","10.98900986"
"2012-01-05 21:00:01","5.14087088","7.65344729",""
"2012-01-05 22:00:01","12.1902581","21.20488304","12.69841003"
"2012-01-05 23:00:01","2.80535141","4.53033295",""
