"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
04/01/2012 11.00,,"15,134487","29,57231","0,357137","34,78045","28,4"
04/01/2012 12.00,,"12,154564","22,4182","0,344025","45,028169","28,4"
04/01/2012 13.00,,"11,65229","22,20939","0,340577","50,144105","28,4"
04/01/2012 14.00,,"10,59452","20,802177","0,34138","54,917085","28,4"
04/01/2012 15.00,,"9,706785","18,934532","0,340457","58,469203","28,4"
04/01/2012 16.00,,"9,096785","17,274405","0,326382","61,230041","28,4"
04/01/2012 17.00,,"28,262457","37,557779","0,388492","36,711013","28,4"
04/01/2012 18.00,,"55,18292","67,446545","0,50028","7,339246","28,4"
04/01/2012 19.00,,"37,653855","47,104814","0,565436","18,071052","28,4"
04/01/2012 20.00,,"21,549865","30,852413","0,475781","38,742661","28,4"
04/01/2012 21.00,,"65,684007","99,611525","1,328787","9,994314","28,4"
04/01/2012 22.00,,"72,689913","117,993533","1,418802","2,518614","28,4"
04/01/2012 23.00,,"63,260872","96,257553","1,187287","0,971419","28,4"
05/01/2012 0.00,,"35,651227","46,907669","0,718162","7,452957","28,4"
05/01/2012 1.00,,"31,931527","42,845548","0,718403","9,989258","10,9"
05/01/2012 2.00,,"30,864689","40,988269","0,80044","6,582614","10,9"
05/01/2012 3.00,,"17,458976","26,337647","0,660906","11,698174","10,9"
05/01/2012 4.00,,"14,273992","22,88381","0,592461","13,189773","10,9"
05/01/2012 5.00,,"3,66","11,594952","0,354089","39,023497","10,9"
05/01/2012 6.00,,"11,427758","22,864365","0,401363","27,61124","10,9"
05/01/2012 7.00,,"27,661534","39,582357","0,506254","9,157543","10,9"
05/01/2012 8.00,,"27,173534","42,734002","0,583118","11,509739","10,9"
05/01/2012 9.00,,"37,069816","78,194586","0,770328","2,778885","10,9"
05/01/2012 10.00,,"31,517504","68,599577","0,56712","15,134048","10,9"
05/01/2012 11.00,,"20,014472","39,016884","0,531154","24,861949","10,9"
05/01/2012 12.00,,"26,220899","47,652144","0,595589","31,780649","10,9"
05/01/2012 13.00,,"14,011822","25,993964","0,436486","50,575842","10,9"
05/01/2012 14.00,,"7,475744","16,828246","0,368283","63,07831","10,9"
05/01/2012 15.00,,"5,624978","14,397716","0,355894","67,119919","10,9"
05/01/2012 16.00,,"8,341423","16,641481","0,336246","64,641375","10,9"
05/01/2012 17.00,,"12,270076","20,669867","0,35862","54,958957","10,9"
05/01/2012 18.00,,"9,656167","17,837293","0,3334","57,773204","10,9"
05/01/2012 19.00,,"8,816446","16,81787","0,333159","57,337137","10,9"
05/01/2012 20.00,,"8,926764","16,858075","0,330753","54,809513","10,9"
05/01/2012 21.00,,"9,931316","17,861934","0,339214","52,214017","10,9"
05/01/2012 22.00,,"7,114936","15,047499","0,340536","59,890038","10,9"
05/01/2012 23.00,,"3,957213","11,891961","0,392863","68,888763","10,9"
06/01/2012 0.00,,"2,746297","10,661132","0,409222","73,310147","10,9"
06/01/2012 1.00,,"5,687277","13,620828","0,477906","68,99199","4,7"
06/01/2012 2.00,,,,"0,393985","67,980525","4,7"
