"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
04/03/2012 3.00,,"11,95599","19,885202",,"75,907055","38,799992"
04/03/2012 4.00,,"9,28368","17,214744","0,296019",,"38,799992"
04/03/2012 5.00,,"8,70353","16,671313","0,27188","71,604803","38,799992"
04/03/2012 6.00,"0,065019","16,512822","24,812405","0,291904","63,206825","38,799992"
04/03/2012 7.00,,"21,57451","30,997667","0,670685","53,149695","38,799992"
04/03/2012 8.00,"0,097527","33,686264","46,384984","0,602853","33,983329","38,799992"
04/03/2012 9.00,,"39,629219","61,663355","0,880452","33,823391","38,799992"
04/03/2012 10.00,"0,010836","21,067046","33,582559","0,479649","64,96237","38,799992"
04/03/2012 11.00,"0,027091","13,299294","23,281984","0,318629","86,115768","38,799992"
04/03/2012 12.00,"1,170332","7,776849","15,976133","0,28485","114,167129","38,799992"
04/03/2012 13.00,"0,332317","7,02668","14,959306","0,283126","116,316299","38,799992"
04/03/2012 14.00,"0,474996","6,78917","14,721958","0,290337","119,096372","38,799992"
04/03/2012 15.00,,"7,71715","15,649295","0,29257","116,342654","38,799992"
04/03/2012 16.00,"1,61282","7,072106","15,004699","0,275681","115,24574","38,799992"
04/03/2012 17.00,"0,22034","9,6977","18,341814","0,971367","106,884341","38,799992"
04/03/2012 18.00,,"17,822375","27,421921","1,016549","90,644122","38,799992"
04/03/2012 19.00,"0,005419","16,482967","24,948598","0,279599","75,345185","38,799992"
04/03/2012 20.00,,"19,199404","27,709851","0,326467","67,540169","38,799992"
04/03/2012 21.00,,"27,359132","36,17521","0,550184","62,488247","38,799992"
04/03/2012 22.00,,"23,684861","32,290753","0,43811","36,818901","38,799992"
04/03/2012 23.00,,"33,826435","42,661386","0,508373","19,135701","38,799992"
05/03/2012 0.00,,"27,601841","36,245248","0,426432","68,189382","38,799992"
05/03/2012 1.00,"0,348572","18,524525","26,742302","0,349782","74,170212","32,799992"
05/03/2012 2.00,"0,119201","7,789829","15,724521","0,25448","80,25544","32,799992"
05/03/2012 3.00,"0,005419","7,706765","15,714144","0,250131","82,850057","32,799992"
05/03/2012 4.00,,"6,69183","14,624685","0,234182","54,895738","32,799992"
05/03/2012 5.00,,"7,388786","15,321161","0,234143","46,328351","32,799992"
05/03/2012 6.00,,"11,024117","19,018836","0,27619","38,012153","32,799992"
05/03/2012 7.00,,"7,229148","15,161634","0,205497","53,292833","32,799992"
05/03/2012 8.00,"0,169771","22,329884","32,308918","0,241979","47,408404","32,799992"
05/03/2012 9.00,,"13,975477","22,988874","0,202048","46,407213","32,799992"
05/03/2012 10.00,,"9,528978","18,911186","0,205418","51,760754","32,799992"
05/03/2012 11.00,,"6,118168","14,720661","0,226579","77,152575","32,799992"
05/03/2012 12.00,,"7,403061","15,838655","0,249268","85,653509","32,799992"
05/03/2012 13.00,,"8,247978","17,007228","0,275446","101,196357","32,799992"
05/03/2012 14.00,"0,037927","8,99036","17,760771","0,285164","97,870753","32,799992"
05/03/2012 15.00,"0,045152","9,214891","17,781521","0,273564","98,498042","32,799992"
05/03/2012 16.00,"0,095722","10,066296","18,256216","0,276503","103,814992","32,799992"
05/03/2012 17.00,"0,079467","21,311036","30,179294","0,345552","78,27133","32,799992"
05/03/2012 18.00,,"16,957993","25,586708","0,267294","72,396398","32,799992"
05/03/2012 19.00,,"16,970972","25,656745","0,341239","75,562079","32,799992"
05/03/2012 20.00,"0,005419","14,912548","23,555647","0,361852","70,978968","32,799992"
05/03/2012 21.00,"0,298001","20,25198","29,883584","0,445085","49,415869","32,799992"
05/03/2012 22.00,,"37,476038","47,261753","0,60536","19,164912","32,799992"
05/03/2012 23.00,"0,086691","47,634497","63,569906","0,754702","23,176932","32,799992"
06/03/2012 0.00,,"27,79262","36,451437","0,546423","41,389606","32,799992"
06/03/2012 1.00,,"17,492718","26,214436","0,483763","39,712212","23,4"
06/03/2012 2.00,,,,"0,437327","34,312662","23,4"
06/03/2012 3.00,"1,078222","9,576998","17,84248",,"45,208854","23,4"
06/03/2012 4.00,"0,016255","10,447864","18,43779","0,305792",,"23,4"
06/03/2012 5.00,"0,126424","13,811955","21,947388","0,3694","57,435032","23,4"
06/03/2012 6.00,"0,521954","26,255947","35,616199","0,382502","44,25708","23,4"
06/03/2012 7.00,,"36,089918","46,108739","0,459995","31,90013","23,4"
06/03/2012 8.00,,"37,784941","49,679304","0,424116","52,391771","23,4"
06/03/2012 9.00,"0,005419","19,892466","30,401066","0,349705","67,746393","23,4"
06/03/2012 10.00,"0,111976","9,76519","18,672544","0,24312","81,916758","23,4"
06/03/2012 11.00,,"8,511445","17,583085","0,208138","87,053762","23,4"
06/03/2012 12.00,,"8,693147","17,558442","0,202795","93,494438","23,4"
06/03/2012 13.00,"0,38108","7,239532","16,526049","0,199987","97,470595","23,4"
06/03/2012 14.00,"0,037927","7,993594","17,066888","0,242068","97,277978","23,4"
06/03/2012 15.00,"0,800088","6,926743","15,74138","0,233643","98,941982","23,4"
06/03/2012 16.00,"0,278134","11,155202","20,865712","0,249906","92,570157","23,4"
06/03/2012 17.00,"0,182413","15,403146","25,917426","0,246942","84,055334","23,4"
06/03/2012 18.00,,"16,229883","24,953779","0,254625","74,148249","23,4"
06/03/2012 19.00,"0,139068","23,409706","32,061198","0,312968","62,536885","23,4"
06/03/2012 20.00,"0,341347","23,688761","32,544953","0,377512","64,892264","23,4"
06/03/2012 21.00,,"22,105339","30,986005","0,351733","56,233165","23,4"
06/03/2012 22.00,,"16,501145","24,997869","0,390694","61,772261","23,4"
06/03/2012 23.00,,"7,648361","15,580556","0,292961","80,117267","23,4"
07/03/2012 0.00,,"7,33817","15,270579","0,284108","71,348305","23,4"
07/03/2012 1.00,"0,117394","7,752188","15,684314","0,301697","66,784783","18,200001"
07/03/2012 2.00,,"6,78917","14,721958","0,3086","65,621736","18,200001"
07/03/2012 3.00,,"8,229806","16,161601","0,313475","62,378682","18,200001"
07/03/2012 4.00,,"8,28821","16,41451","0,309418","59,367091","18,200001"
07/03/2012 5.00,,"5,724914","13,801108","0,330907","71,541676","18,200001"
07/03/2012 6.00,,"4,526977","12,567685","0,336953","74,043531","18,200001"
07/03/2012 7.00,,"6,103891","14,340648","0,335119","74,738566","18,200001"
07/03/2012 8.00,,"22,052127","34,620142","0,346937","48,297693","18,200001"
07/03/2012 9.00,,"12,786634","23,218428","0,339682","66,766465","18,200001"
07/03/2012 10.00,,"4,687914","13,422391","0,305636","88,369146","18,200001"
07/03/2012 11.00,,"4,953978","13,798512","0,347132","91,869992","18,200001"
07/03/2012 12.00,,"5,271957","13,942477","0,319519","92,717348","18,200001"
07/03/2012 13.00,,"7,778148","16,474171","0,333053","92,62069","18,200001"
07/03/2012 14.00,,"8,698337","17,36649","0,325018","91,700077","18,200001"
07/03/2012 15.00,,"8,941042","17,575303","0,299982","92,565766","18,200001"
07/03/2012 16.00,,"7,055234","15,698581","0,279312","94,582767","18,200001"
07/03/2012 17.00,,"7,230446","15,588338","0,32225","96,431337","18,200001"
07/03/2012 18.00,,"7,466658","15,824388","0,301697","94,415051","18,200001"
07/03/2012 19.00,,"10,084465","18,889137","0,31679","87,930441","18,200001"
07/03/2012 20.00,"0,30342","11,053973","19,777556","0,295379","85,273305","18,200001"
07/03/2012 21.00,,"8,963104","17,721861","0,2673","86,315508","18,200001"
07/03/2012 22.00,,"9,00204","17,081157","0,265467","83,635686","18,200001"
07/03/2012 23.00,,"6,815127","15,295221","0,241678","82,693825","18,200001"
08/03/2012 0.00,,"5,963723","14,363993","0,235711","80,853322","18,200001"
08/03/2012 1.00,,"5,906615","14,177229","0,22015","80,323073","10,6"
08/03/2012 2.00,"0,055988",,,"0,209581","84,193028","10,6"
08/03/2012 3.00,,"5,579552","13,513178",,"84,045083","10,6"
08/03/2012 4.00,"0,15171","5,360211","13,29399","0,198992",,"10,6"
08/03/2012 5.00,,"5,339445","13,273237","0,18888","84,393849","10,6"
08/03/2012 6.00,,"7,364127","15,618168","0,172692","79,174668","10,6"
08/03/2012 7.00,,"7,218765","15,221294","0,14651","78,335447","10,6"
08/03/2012 8.00,,"15,523846","27,717632","0,492915","68,683521","10,6"
08/03/2012 9.00,,"14,384314","24,208023","0,283927","71,813859","10,6"
08/03/2012 10.00,,"8,733381","18,21212","0,294354","79,250139","10,6"
08/03/2012 11.00,,"9,557532","20,254848","0,407117","79,107956","10,6"
08/03/2012 12.00,,"10,447864","21,132895","0,208046","77,76376","10,6"
08/03/2012 13.00,,"8,976082","19,494808","0,194014","77,735175","10,6"
08/03/2012 14.00,"0,010836","9,060446","19,183535","0,208752","78,480584","10,6"
08/03/2012 15.00,,"9,296656","18,344409","0,178454","79,736819","10,6"
08/03/2012 16.00,,"5,543211","14,22392","0,159955","90,015418","10,6"
08/03/2012 17.00,,"6,390722","15,23167","0,172458","89,684125","10,6"
08/03/2012 18.00,,"10,357019","18,90989","0,189782","79,832839","10,6"
08/03/2012 19.00,,"15,542012","24,319569","0,227095","72,494731","10,6"
08/03/2012 20.00,,"14,610138","23,135428","0,224743","73,633715","10,6"
08/03/2012 21.00,,"23,442152","32,297255","0,318144","69,599666","10,6"
08/03/2012 22.00,,"20,24808","28,843418","0,314617","69,419378","10,6"
08/03/2012 23.00,,"20,014472","28,625526","0,360906","66,226003","10,6"
09/03/2012 0.00,,"13,837903","21,939607","0,295176","71,098511","10,6"
09/03/2012 1.00,,"11,288891","19,898183","0,281379","67,72704",
09/03/2012 2.00,,"7,815785","15,88275","0,228898","62,28356",
09/03/2012 3.00,,"8,177894","16,340583","0,209732","54,732208",
09/03/2012 4.00,,"6,600977","14,697316","0,226389","61,222282",
09/03/2012 5.00,,"6,756723","14,762165","0,23995","59,013238",
09/03/2012 6.00,,"15,111122","24,043304","0,220237","47,079687",
09/03/2012 7.00,,"21,013836","30,058665","0,297215","36,51598",
09/03/2012 8.00,,"26,580412","41,243789","0,83442","31,195655",
09/03/2012 9.00,,"20,680173","34,463397","0,387825","47,434515",
09/03/2012 10.00,,"12,113032","24,233969","0,602151","63,902625",
09/03/2012 11.00,,"10,699657","21,217196","0,399591","71,897405",
09/03/2012 12.00,,"9,599062","18,679028","0,21761","76,457699",
09/03/2012 13.00,,"12,227253","21,244441","0,203892","74,032435",
09/03/2012 14.00,,"9,063042","17,925486","0,199345","64,724525",
09/03/2012 15.00,,"8,467319","16,793227","0,188174","62,001769",
09/03/2012 16.00,,"9,452404","18,415743","0,195974","76,808756",
09/03/2012 17.00,,"10,912503","19,730865","0,18547","75,672725",
09/03/2012 18.00,,"8,018253","16,878827","0,198718","79,237689",
09/03/2012 19.00,,"8,303787","17,088937","0,19668","77,672154",
09/03/2012 20.00,,"9,061744","17,896953","0,21369","72,848741",
09/03/2012 21.00,,"7,453679","16,005965","0,186058","76,666572",
09/03/2012 22.00,,"7,200594","15,366555","0,187978","76,054565",
09/03/2012 23.00,,"5,871574","13,895787","0,227997","69,499994",
10/03/2012 0.00,,"5,521148","13,454814","0,222079","74,820324",
10/03/2012 1.00,,"4,41017","12,344604","0,19527","79,517688",
10/03/2012 2.00,"7,53853",,,"0,16015","65,446174",
10/03/2012 3.00,"7,75887","4,828085","12,762231",,"58,489929",
10/03/2012 4.00,"9,359046","3,265446","11,205861","0,253385",,
10/03/2012 5.00,"7,547559","3,698936","11,659802","0,258214","66,277129",
10/03/2012 6.00,"10,157329","6,107786","16,584414","0,358342","79,019158",
10/03/2012 7.00,"11,482977","5,820956","13,951556","0,398473","89,228031",
10/03/2012 8.00,"10,876143","6,761914","15,58704","0,456509","83,840693",
10/03/2012 9.00,"9,050208","5,794999","14,509254","0,374913","80,327418",
10/03/2012 10.00,"11,441443","6,956594","15,751757","0,41956","80,790537",
10/03/2012 11.00,"12,389622","6,01953","14,855548","0,454232","81,690206",
10/03/2012 12.00,"14,399783","6,254446","16,300377","0,429886","78,299717",
10/03/2012 13.00,"11,585928","6,120765","16,948865","0,430122","77,316745",
10/03/2012 14.00,"10,924898","5,374488","14,236891","0,435422","82,454191",
10/03/2012 15.00,"12,003121","4,533469","12,613077","0,390778","80,129238",
10/03/2012 16.00,"9,792502","3,909191","12,05927","0,389677","47,701569",
10/03/2012 17.00,"12,492573","4,777467","12,836158","0,379037",,
10/03/2012 18.00,"10,686503","4,625615","12,67663","0,403734",,
10/03/2012 19.00,"11,965198","6,031211","14,120164","0,396981",,
10/03/2012 20.00,"7,952119","6,8307","15,358773","0,379704",,
10/03/2012 21.00,"10,260269","4,907255","13,112413","0,402557",,
10/03/2012 22.00,"10,343347","4,624317","12,633831","0,392741",,
10/03/2012 23.00,"11,069383","6,244062","14,392526","0,427492","13,768235",
11/03/2012 0.00,"13,171655","5,173317","13,340681","0,452935","77,104196",
11/03/2012 1.00,"10,628708","4,262211","12,432799","0,462398","75,680366",29
11/03/2012 2.00,"11,504649","3,906595","11,841379","0,442609","75,660975",29
11/03/2012 3.00,"11,464915","4,458191","13,050159","0,470526","76,832797",29
11/03/2012 4.00,"11,345713","4,164871","12,264193","0,450107","78,130265",29
11/03/2012 5.00,"11,835164","4,320617","12,353684","0,438957","77,603228",29
11/03/2012 6.00,"12,311964","4,837171","13,349759","0,43715","78,062754",29
11/03/2012 7.00,"11,596759","4,91504","12,913976","0,399652","77,504872",29
11/03/2012 8.00,"14,594834","5,194084","13,388668","0,405187","77,265771",29
11/03/2012 9.00,"10,587173","5,016275","13,995652","0,379704","81,286676",29
11/03/2012 10.00,"11,750275","4,593169","13,460004","0,359717","82,993436",29
11/03/2012 11.00,"11,882119","3,605489","12,139681","0,288725","34,58588",29
11/03/2012 12.00,"9,877388","3,461425","12,216203","0,245767",,29
11/03/2012 13.00,"12,362529","3,414702","12,234362","0,199866",,29
11/03/2012 14.00,"14,166799","2,72034","11,236988","0,20442",,29
11/03/2012 15.00,"13,689989","2,912425","11,462662","0,160285",,29
11/03/2012 16.00,"11,683448","2,218063","10,480851","0,129343",,29
11/03/2012 17.00,"8,759431","2,50619","10,810283","0,10005",,29
11/03/2012 18.00,"8,311527","2,110339","10,310949","0,072054",,29
11/03/2012 19.00,"12,348088","2,782639","10,832332","0,09204",,29
11/03/2012 20.00,"21,560836","3,170702","12,017766","0,249026",,29
11/03/2012 21.00,"19,706011","3,234297","11,683148","0,341615",,29
11/03/2012 22.00,"15,006617","3,942936","12,134494","0,33765",,29
11/03/2012 23.00,"11,790009","3,522424","11,392625","0,343068",,29
12/03/2012 0.00,"10,56549","3,471808","12,23955","0,392033",,29
12/03/2012 1.00,,"2,382893","10,401737","0,398158",,"16,6"
12/03/2012 2.00,"5,237598",,,"0,401575",,"16,6"
12/03/2012 3.00,"11,768337","4,116852","12,122821",,,"16,6"
12/03/2012 4.00,"8,687188","3,645723","12,205827","0,226291",,"16,6"
12/03/2012 5.00,"9,626344","3,517233","12,690896","0,242908",,"16,6"
12/03/2012 6.00,"9,131482","4,493234","15,887938","0,229853",,"16,6"
12/03/2012 7.00,"10,966442","4,515297","16,190134","0,251128",,"16,6"
12/03/2012 8.00,"10,762351","5,096744","18,203039","0,243755",,"16,6"
12/03/2012 9.00,"10,283751","5,209659","18,393694","0,257373",,"16,6"
12/03/2012 10.00,"10,35961","5,168126","18,599913","0,261465",,"16,6"
12/03/2012 11.00,"11,901981","5,351126","18,366458","0,261994",,"16,6"
12/03/2012 12.00,"12,895326","5,692467","20,17443","0,252045",,"16,6"
12/03/2012 13.00,"12,189152","5,949446","21,270368","0,245696",,"16,6"
12/03/2012 14.00,"11,446854","7,297935","24,396088","0,235604",,"16,6"
12/03/2012 15.00,"11,99048","6,240169","22,200308","0,237122",,"16,6"
12/03/2012 16.00,"9,781666","6,504936","22,660736","0,241673",,"16,6"
12/03/2012 17.00,"11,547994","4,358255","16,977398","0,236346",,"16,6"
12/03/2012 18.00,"11,432412","2,552914","11,194188","0,275367",,"16,6"
12/03/2012 19.00,"9,230816","1,918256","9,952982","0,256279",,"16,6"
12/03/2012 20.00,"9,230816","2,351745","10,611846","0,261818",,"16,6"
12/03/2012 21.00,"10,346957","2,835852","11,022988","0,248729",,"16,6"
12/03/2012 22.00,"8,925589","2,567191","10,56775","0,270638",,"16,6"
12/03/2012 23.00,"9,422259","2,619107","10,591096","0,279177",,"16,6"
13/03/2012 0.00,"8,710667","1,896192","9,832364","0,271767",,"16,6"
13/03/2012 1.00,"10,173579","2,102554","10,038583","0,251093",,"13,8"
13/03/2012 2.00,"9,685945","1,853361","9,789564","0,269015",,"13,8"
13/03/2012 3.00,"9,709424","1,373149","9,309683","0,268133",,"13,8"
13/03/2012 4.00,"10,968253","1,534084","9,470509","0,261042",,"13,8"
13/03/2012 5.00,"6,723993","1,868936","9,805127","0,24827",,"13,8"
13/03/2012 6.00,"11,190396","3,42768","11,716867","0,225479",,"13,8"
13/03/2012 7.00,"5,730654","3,430275","11,531401","0,23705",,"13,8"
13/03/2012 8.00,"8,067707","4,951382","13,976198","0,271767",,"13,8"
13/03/2012 9.00,"10,666631","4,395893","13,26416","0,265699",,"13,8"
13/03/2012 10.00,"10,475191","2,700872","11,661098","0,270603",,"13,8"
13/03/2012 11.00,"9,480052","1,954595","10,264258","0,237192",,"13,8"
13/03/2012 12.00,"10,906847","1,722276","10,096946","0,234687",,"13,8"
13/03/2012 13.00,"10,666631","2,125914","10,596282","0,240861",,"13,8"
13/03/2012 14.00,"10,173579","1,820914","10,557373","0,25582",,"13,8"
13/03/2012 15.00,"10,930319","3,149936","12,864691","0,231406",,"13,8"
13/03/2012 16.00,"9,638987","3,67817","14,668783","0,229042",,"13,8"
13/03/2012 17.00,"9,555907","2,428318","11,526215","0,215776",,"13,8"
13/03/2012 18.00,"8,587854","2,734617","11,327778","0,247212",,"13,8"
13/03/2012 19.00,"10,325285","3,38485","11,457474","0,224738",,"13,8"
13/03/2012 20.00,"9,396974","5,021466","12,955478","0,16102",,"13,8"
13/03/2012 21.00,"7,361535","6,680149","14,613012","0,135091",,"13,8"
13/03/2012 22.00,"7,260394","5,619787","13,558572","0,121966",,"13,8"
13/03/2012 23.00,"9,012281","5,722318","13,694755","0,095011",,"13,8"
14/03/2012 0.00,"9,048402","9,10068","17,458575","0,124612",,"13,8"
14/03/2012 1.00,,"6,471191","14,577996","0,166137",,"15,3"
14/03/2012 2.00,"7,65773",,,"0,165502",,"15,3"
14/03/2012 3.00,"8,914753","6,992935","15,005997",,,"15,3"
14/03/2012 4.00,"9,52701","5,827445","13,760901","0,186653",,"15,3"
14/03/2012 5.00,"5,671055","4,602255","12,570277","0,192933",,"15,3"
14/03/2012 6.00,"7,339861","7,452383","15,89572","0,205776",,"15,3"
14/03/2012 7.00,"10,117595","9,711977","18,511719","0,209076",,"15,3"
14/03/2012 8.00,"9,947825","24,772464","45,377246","0,224651",,"15,3"
14/03/2012 9.00,"7,457257","10,08836","21,249623","0,169374",,"15,3"
14/03/2012 10.00,"7,990046","5,40953","14,278393","0,144079",,"15,3"
14/03/2012 11.00,"10,036322","4,397191","13,265456","0,152701",,"15,3"
14/03/2012 12.00,"11,450463","4,469872","13,467783","0,125843",,"15,3"
14/03/2012 13.00,"8,871408","3,166807","12,13579","0,12155",,"15,3"
14/03/2012 14.00,"7,912386","2,969531","11,684444","0,136877",,"15,3"
14/03/2012 15.00,"9,83043","2,656745","11,234395","0,145143",,"15,3"
14/03/2012 16.00,"9,61912","1,835191","10,248695","0,154509",,"15,3"
14/03/2012 17.00,"6,606597","3,126575","11,640347","0,151033",,"15,3"
14/03/2012 18.00,"8,024361","2,939681","11,072271","0,158341",,"15,3"
14/03/2012 19.00,"3,995023","3,229106","11,169546","0,16313",,"15,3"
14/03/2012 20.00,"6,476561","4,333596","12,466519","0,166714",,"15,3"
14/03/2012 21.00,"8,177877","5,637956","14,203169","0,152381",,"15,3"
14/03/2012 22.00,"7,106879","3,839105","11,786906","0,143724",,"15,3"
14/03/2012 23.00,"6,626465","3,502956","11,473038","0,116902",,"15,3"
15/03/2012 0.00,"6,102704","5,370595","13,304365","0,132229",,"15,3"
15/03/2012 1.00,"8,676353","3,475702","11,410783","0,124352","67,388031","21,9"
15/03/2012 2.00,"8,262763","4,555531","12,489867","0,134641","59,761641","21,9"
15/03/2012 3.00,"8,316945","4,46468","12,463926","0,12563","52,002108","21,9"
15/03/2012 4.00,"9,050208","3,339425","11,274601","0,138047","54,151483","21,9"
15/03/2012 5.00,"8,508388","2,241424","10,244802","0,141914","60,479282","21,9"
15/03/2012 6.00,"8,136338","4,040276","12,019063","0,153267","55,684301","21,9"
15/03/2012 7.00,"8,696219","9,201913","17,714078","0,213262","50,068454","21,9"
15/03/2012 8.00,"6,825132","22,466152","36,976741","0,317285","37,5937","21,9"
15/03/2012 9.00,"7,159254","17,386289","31,162407","0,258993","56,663947","21,9"
15/03/2012 10.00,"6,126184","4,780063","13,64936","0,119634","80,041476","21,9"
15/03/2012 11.00,"9,499919","6,141531","15,245936","0,137586","81,811378","21,9"
15/03/2012 12.00,"9,563132","4,411466","13,072206","0,115803","86,842713","21,9"
15/03/2012 13.00,"9,037566","4,077914","12,139681","0,149471","92,277746","21,9"
15/03/2012 14.00,"9,263324","3,976681","12,362762","0,150998","95,051479","21,9"
15/03/2012 15.00,"8,058677","4,96436","13,578028","0,139609","95,372574","21,9"
15/03/2012 16.00,"8,956292","4,207702","12,401671","0,155964","99,078983","21,9"
15/03/2012 17.00,"7,791378","4,987721","13,26416","0,13489","98,648239","21,9"
15/03/2012 18.00,"6,183978","5,096744","13,030704","0,165934","95,022286","21,9"
15/03/2012 19.00,"7,296516","6,3427","14,2758","0,214609","84,227023","21,9"
15/03/2012 20.00,"7,338055","9,599062","18,37424","0,263216","77,830898","21,9"
15/03/2012 21.00,"3,942648","8,468615","17,053922","0,288264","77,3973","21,9"
15/03/2012 22.00,"8,107441","6,876127","14,986542","0,27762","68,942934","21,9"
15/03/2012 23.00,"6,754696","9,105871","17,127847","0,259916","70,974821","21,9"
16/03/2012 0.00,"4,724675","7,319998","15,260203","0,229014","78,201087","21,9"
16/03/2012 1.00,,"5,120106","13,061831","0,19123","84,251939","26,1"
16/03/2012 2.00,"7,444613",,,"0,203824","78,837569","26,1"
16/03/2012 3.00,"7,094237","8,032532","15,96446",,"78,728665","26,1"
16/03/2012 4.00,"7,608966","5,58085","13,514477","0,261032",,"26,1"
16/03/2012 5.00,"6,736635","6,064958","13,998247","0,25611","93,279081","26,1"
16/03/2012 6.00,"7,262201","8,224615","16,627215","0,225908","88,018325","26,1"
16/03/2012 7.00,"6,539774","11,981949","20,449393","0,241623","73,090832","26,1"
16/03/2012 8.00,"7,318188","9,689912","18,55841","0,211183","76,073203","26,1"
16/03/2012 9.00,"7,036442","7,492615","16,32502","0,194592","79,083998","26,1"
16/03/2012 10.00,"7,316383","7,894955","16,843809","0,332311","83,188511","26,1"
16/03/2012 11.00,"10,204282","7,362829","16,912548","0,390257","86,933877","26,1"
16/03/2012 12.00,"6,093675","5,583445","14,57151","0,303974","89,552878","26,1"
16/03/2012 13.00,"7,832918","5,753468","14,725851","0,300919","88,685332","26,1"
16/03/2012 14.00,"7,941282","6,144126","15,152553","0,321159","89,646043","26,1"
16/03/2012 15.00,"8,902111","6,519212","15,753054","0,311079","90,000897","26,1"
16/03/2012 16.00,"9,902673","6,569829","15,3899","0,280161","104,07576","26,1"
16/03/2012 17.00,"8,900304","7,003317","15,480689","0,271509","100,55935","26,1"
16/03/2012 18.00,"5,398339","15,854806","24,556905","0,275201","83,810008","26,1"
16/03/2012 19.00,"4,656045","20,720515","29,166354","0,298378","72,721039","26,1"
16/03/2012 20.00,"8,4524","54,266612","64,879855","0,468087","34,263127","26,1"
16/03/2012 21.00,"7,645088","65,167438","78,428021","0,686651","21,463946","26,1"
16/03/2012 22.00,"7,926834","36,616844","45,783203","0,515197","45,068348","26,1"
16/03/2012 23.00,"8,488522","22,515463","31,113116","0,474079","56,34219","26,1"
17/03/2012 0.00,"6,099093","19,956078","28,616444","0,440106","58,570089","26,1"
17/03/2012 1.00,"5,810122","13,055293","21,36245","0,324176","60,835651","23,1"
17/03/2012 2.00,"6,216488","17,221464","25,280617","0,343107","42,378229","23,1"
17/03/2012 3.00,"6,635496","20,277946","28,941982","0,339654","46,989752","23,1"
17/03/2012 4.00,"5,483224","12,296036","20,346929","0,242298","60,443853","23,1"
17/03/2012 5.00,"7,791379","11,112379","19,094059","0,181654","65,507604","23,1"
17/03/2012 6.00,"5,941965","14,094883","22,271644","0,180424","67,643068","23,1"
17/03/2012 7.00,"6,655362","25,49409","34,611062","0,226979","56,110372","23,1"
17/03/2012 8.00,"5,224956","28,971082","44,76378","1,038172","50,381711","23,1"
17/03/2012 9.00,"3,801774","23,97428","36,336029","0,324771","55,059345","23,1"
17/03/2012 10.00,"5,528375","8,524425","17,650528","0,079139","84,657645","23,1"
17/03/2012 11.00,"7,018382","7,656147","17,112282","0,08537","92,522455","23,1"
17/03/2012 12.00,"7,800409","7,399168","16,575335","0,083267","97,085619","23,1"
17/03/2012 13.00,"7,500602","6,250554","14,803669","0,117081","103,459902","23,1"
17/03/2012 14.00,"7,087012","5,902722","14,515739","0,115296","104,049405","23,1"
17/03/2012 15.00,"6,653555","4,798235","13,445736","0,113113","103,221722","23,1"
17/03/2012 16.00,"5,842631","4,716468","12,811514","0,108747","98,013614","23,1"
17/03/2012 17.00,"5,196058","4,664553","12,785576","0,105532","97,326676","23,1"
17/03/2012 18.00,"4,162988","6,525702","14,637655","0,11466","96,520271","23,1"
17/03/2012 19.00,"6,781787","7,726231","15,738787","0,112755","97,050764","23,1"
17/03/2012 20.00,"6,83055","5,432892","13,366621","0,091085","106,029885","23,1"
17/03/2012 21.00,"6,5181","4,523084","12,457442","0,084696","104,82594","23,1"
17/03/2012 22.00,"7,368759","5,016275","12,950292","0,091046","99,931446","23,1"
17/03/2012 23.00,"6,588538","3,672979","11,680553","0,093268","104,305401","23,1"
18/03/2012 0.00,"6,06839","4,028595","12,061863","0,11343","109,318678","23,1"
18/03/2012 1.00,,"4,181743","12,116338","0,123551","109,528494","22,29999"
18/03/2012 2.00,"3,626585",,,"0,098308","104,724296","22,29999"
18/03/2012 3.00,"5,058798","2,301128","10,237022",,"98,417517","22,29999"
18/03/2012 4.00,"5,941965","3,134361","11,121556","0,214944",,"22,29999"
18/03/2012 5.00,"7,204406","3,317362","11,252551","0,202758","99,871392","22,29999"
18/03/2012 6.00,"6,160499","4,086999","12,021658","0,225388","100,956","22,29999"
18/03/2012 7.00,"5,508509","5,418615","13,386074","0,228078","95,916385","22,29999"
18/03/2012 8.00,"5,965444","5,785915","13,719397","0,240381","95,030985","22,29999"
18/03/2012 9.00,"7,121327","6,918956","15,472906","0,272705","96,639692","22,29999"
18/03/2012 10.00,"6,487398","4,416659","12,615672","0,262141","107,304446","22,29999"
18/03/2012 11.00,"6,411543","4,510106","13,260268","0,250747","109,910631","22,29999"
18/03/2012 12.00,"7,580069","4,066233","12,195453","0,246157","107,278693","22,29999"
18/03/2012 13.00,"7,8275","3,98317","12,117634","0,230413","104,898877","22,29999"
18/03/2012 14.00,"6,368197","3,400425","11,34334","0,23884","103,667862","22,29999"
18/03/2012 15.00,"6,454889","3,068169","11,003533","0,239036","102,590385","22,29999"
18/03/2012 16.00,"5,689116","3,491276","11,457474","0,223093","99,464415","22,29999"
18/03/2012 17.00,"5,656606","3,958509","11,945137","0,223212","100,869615","22,29999"
18/03/2012 18.00,"5,873334","4,40368","12,338118","0,227524","100,588277","22,29999"
18/03/2012 19.00,"4,132284","4,332297","12,266785","0,239115","98,588992","22,29999"
18/03/2012 20.00,"4,710226","3,680766","11,615706","0,223607","95,440839","22,29999"
18/03/2012 21.00,"6,28873","4,097381","12,032034","0,218504","93,048839","22,29999"
