,Provincia di TARANTO,,,
,MARTINA FRANCA,,,
Parm,NOX,NO2,CO,O3
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
,,,,,,
,,,,,,
,,,,,
,,,,,,
04/01/2009 23.00,"19,758111","13,689954","0,293091","41,545595"
05/01/2009 0.00,"23,415575","16,290884","0,260277","38,655918"
05/01/2009 1.00,"22,769682","15,784712","0,226987","37,84481"
05/01/2009 2.00,"11,965888","9,235658","0,195287","43,486052"
05/01/2009 3.00,"8,28248","7,031871","0,212013","43,458959"
05/01/2009 4.00,"6,98291","6,050681","0,230331","44,136023"
05/01/2009 5.00,"6,497842","5,578254","0,188359","44,58424"
05/01/2009 6.00,"76,970236","36,265131","0,413752","21,640104"
05/01/2009 7.00,"540,981093","112,982272","1,230664","2,631046"
05/01/2009 8.00,"305,891312","81,140344","1,488393","2,746145"
05/01/2009 9.00,"176,043552","63,725503","1,324725","5,871445"
05/01/2009 10.00,"114,67587","54,585897","0,947847","14,082789"
05/01/2009 11.00,"60,793377","35,16923","0,567607","34,96922"
05/01/2009 12.00,"61,837156","31,172271","0,47253","44,293088"
05/01/2009 13.00,"83,587417","40,262571","0,545324","41,71892"
05/01/2009 14.00,"78,819715","38,463722","0,472768","40,848223"
05/01/2009 15.00,"80,770393","41,383938","0,508052","35,460207"
05/01/2009 16.00,"99,52721","49,820102","0,670924","26,183157"
05/01/2009 17.00,"150,783642","66,079866","1,189806","12,536398"
05/01/2009 18.00,"107,661831","56,480783","1,037448","12,237137"
05/01/2009 19.00,"191,84836","74,41219","1,395607","5,878213"
05/01/2009 20.00,"130,766153","59,782561","0,943467","6,189661"
05/01/2009 21.00,"87,72474","50,6767","0,629429","12,112558"
05/01/2009 22.00,"60,114771","40,66491","0,515698","19,102501"
05/01/2009 23.00,"38,317819","30,154744","0,401885","25,32872"
06/01/2009 0.00,"24,58545","20,887949","0,326542","32,523129"
06/01/2009 1.00,"51,956803","33,81215","0,515139","14,501217"
06/01/2009 2.00,,,"0,419248","12,046201"
06/01/2009 3.00,"18,253621","16,641314",,"40,287628"
06/01/2009 4.00,"12,087803","11,050076","0,30541",
06/01/2009 5.00,"9,914073","8,815148","0,2994","42,138709"
06/01/2009 6.00,"22,087462","19,021606","0,35348","25,206845"
06/01/2009 7.00,"26,497184","17,163058","0,360291","33,381638"
06/01/2009 8.00,"31,827745","24,496028","0,535428","20,803262"
06/01/2009 9.00,"26,530912","21,046282","0,479186","36,700579"
06/01/2009 10.00,"30,746068","22,55441","0,562909","38,268648"
06/01/2009 11.00,"27,158641","17,456372","0,509631","48,469203"
06/01/2009 12.00,"44,953107","24,945079","0,568998","43,758231"
06/01/2009 13.00,"57,349616","31,463009","0,593274","41,480599"
06/01/2009 14.00,"45,505637","26,891897","0,52966","44,180711"
06/01/2009 15.00,"25,031597","18,071565","0,442492","52,97976"
06/01/2009 16.00,"40,201023","26,746547","0,564591","42,81306"
06/01/2009 17.00,"71,23242","44,701295","0,727071","24,657083"
06/01/2009 18.00,"104,603568","49,212697","1,12053","6,433402"
06/01/2009 19.00,"121,612106","46,362578","1,469764","5,50854"
06/01/2009 20.00,"121,923379","43,242478","1,621428","5,103661"
06/01/2009 21.00,"128,102158","46,2899","1,790316","4,377856"
