Stat,Torchiarolo_Via Fanin,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,
,,,,,,
,,,,,,,
25/03/2014 16.00,"1,9","4,2","5,7","6,8","4,7",,,
25/03/2014 17.00,"1,7","4,6","6,1",,"0,6",,,
25/03/2014 18.00,"1,5","6,0","7,6","4,9","1,2",,,
25/03/2014 19.00,"1,6","7,7","9,2",,"2,7",,,
25/03/2014 20.00,"1,9","14,9","17,3","4,2","3,7",,,
25/03/2014 21.00,"2,0","17,8","20,5",,"7,0",,,
25/03/2014 22.00,,,,,,,,
25/03/2014 23.00,,,,,,,,
26/03/2014 0.00,,,,,,,,
26/03/2014 1.00,,,,,,,,
26/03/2014 2.00,,,,,,,,
26/03/2014 3.00,,,,,,,,
26/03/2014 4.00,,,,,,,,
26/03/2014 5.00,,,,,,,,
26/03/2014 6.00,,,,,,,,
26/03/2014 7.00,,,,,,,,
26/03/2014 8.00,"3,0","10,0","12,3","10,0","2,4",,,
26/03/2014 9.00,"2,4","11,9","16,5",,"1,5",,,
26/03/2014 10.00,"2,4","6,1","8,9","8,1","4,3",,,
26/03/2014 11.00,"4,6","5,8","8,2",,"7,4",,,
26/03/2014 12.00,"4,0","4,3","6,2","10,3","4,9",,,
26/03/2014 13.00,"3,7","4,1","5,9",,"1,4",,,
26/03/2014 14.00,"1,8","3,3","4,9","6,1","3,7",,,
26/03/2014 15.00,"1,7","3,4","4,8",,"4,0",,,
26/03/2014 16.00,"1,6","3,3","4,8","7,3","3,4",,,
26/03/2014 17.00,"1,9","3,1","4,3",,"3,7",,,
26/03/2014 18.00,"1,5","4,3","5,8","8,5","1,5",,,
26/03/2014 19.00,"1,6","5,8","7,1",,"3,4",,,
26/03/2014 20.00,"1,6","10,8","12,4","6,3","6,2",,,
26/03/2014 21.00,"1,5","14,4","16,6",,"11,6",,,
26/03/2014 22.00,"1,7","14,8","17,0","8,3","18,7",,,
26/03/2014 23.00,"1,5","11,8","13,7",,"15,3",,,
27/03/2014 0.00,"1,4","9,4","10,9","20,0","16,2",,,
27/03/2014 1.00,"1,4",,,,"12,3",,,
27/03/2014 2.00,,"8,4","9,6","15,6","10,4",,,
27/03/2014 3.00,"1,3","5,4","6,4",,"11,0",,,
27/03/2014 4.00,"1,3","2,5","3,7","24,9","8,3",,,
27/03/2014 5.00,"1,2","2,2","3,2",,"5,2",,,
27/03/2014 6.00,"1,7","1,1","2,1","14,2","8,2",,,
27/03/2014 7.00,"0,7","1,3","2,2",,"6,1",,,
27/03/2014 8.00,"1,6","2,1","3,2","13,9","4,0",,,
27/03/2014 9.00,"1,7","4,0","5,4",,"6,2",,,
27/03/2014 10.00,"2,1","3,5","4,8","16,4","5,8",,,
27/03/2014 11.00,"2,1","4,2","5,8",,"9,2",,,
27/03/2014 12.00,"2,0","6,0","7,2","16,4","12,2",,,
27/03/2014 13.00,"2,7","11,4","13,6",,"22,3",,,
27/03/2014 14.00,"1,9","8,6","11,3","24,7","25,1",,,
27/03/2014 15.00,"2,0","5,0","7,3",,"40,6",,,
27/03/2014 16.00,"3,3","3,8","5,4","50,3","30,0",,,
27/03/2014 17.00,"2,8","3,8","5,4",,,,,
27/03/2014 18.00,"2,3","4,3","5,8","43,2",,,,
27/03/2014 19.00,"1,9","6,4","8,0",,"1,4",,,
27/03/2014 20.00,"1,5","23,6","26,9","28,8","4,7",,,
27/03/2014 21.00,"2,4","37,1","42,8",,"12,8",,,
27/03/2014 22.00,"2,3","22,7","26,4","17,6","47,3",,,
27/03/2014 23.00,"2,0","15,5","18,2",,"27,9",,,
28/03/2014 0.00,"1,8","8,5","10,8","41,5","20,8",,,
28/03/2014 1.00,"2,0","8,4","12,5",,"17,5",,,
28/03/2014 2.00,"1,9","15,3","22,4","39,6","6,3",,,
28/03/2014 3.00,"1,8","11,7","18,6",,"8,9",,,
28/03/2014 4.00,"1,6","8,1","13,2","23,9","9,8",,,
28/03/2014 5.00,"1,8","8,3","13,2",,"7,0",,,
28/03/2014 6.00,"1,8","8,6","12,7","14,2","6,4",,,
28/03/2014 7.00,"1,5","8,8","16,0",,"7,0",,,
28/03/2014 8.00,"1,7","27,4","63,0","10,7","7,3",,,
28/03/2014 9.00,"3,7","31,6","70,8",,"5,5",,,
28/03/2014 10.00,"3,9","10,2","16,5","13,2","8,9",,,
28/03/2014 11.00,"3,4","5,7","8,6",,"5,8",,,
28/03/2014 12.00,"2,4","4,6","7,4","11,7","1,5",,,
28/03/2014 13.00,"2,1","5,9","8,3",,"3,1",,,
28/03/2014 14.00,"1,7","4,7","6,9","8,3","7,6",,,
28/03/2014 15.00,"0,9","4,9","8,2",,"7,3",,,
28/03/2014 16.00,"1,1","4,3","7,0","14,9","6,1",,,
28/03/2014 17.00,"1,7","2,9","4,7",,"10,7",,,
28/03/2014 18.00,"1,2","2,8","4,1","16,6","7,3",,,
28/03/2014 19.00,"1,4","4,5","5,8",,"4,6",,,
28/03/2014 20.00,"1,5","5,9","7,3","8,8","3,4",,,
28/03/2014 21.00,"1,6","5,0","6,4",,"2,4",,,
28/03/2014 22.00,"1,1","2,5","4,2","5,9","2,1",,,
28/03/2014 23.00,"0,8","1,1","2,1",,"1,8",,,
29/03/2014 0.00,"1,0","1,1","2,2","13,4","2,1",,,
29/03/2014 1.00,"1,6",,,,"1,5",,,
29/03/2014 2.00,,"4,1","6,9","8,1","6,2",,,
29/03/2014 3.00,"0,7","5,6","8,9",,"5,5",,,
29/03/2014 4.00,"1,1","4,9","7,5","12,7","4,3",,,
29/03/2014 5.00,"1,0","4,5","6,4",,"4,0",,,
29/03/2014 6.00,"0,6","3,8","6,0","16,4","1,8",,,
29/03/2014 7.00,"1,0","4,6","6,5",,"1,4",,,
29/03/2014 8.00,"0,5","5,6","7,8","9,0",,,,
29/03/2014 9.00,"0,8","6,2","9,1",,,,,
29/03/2014 10.00,"1,4","5,0","7,6","5,4","28,8",,,
29/03/2014 11.00,"3,2","5,8","8,6",,"13,2",,,
29/03/2014 12.00,"6,7","8,2","11,9","23,0","7,5",,,
29/03/2014 13.00,"4,5","3,2","4,9",,"7,3",,,
29/03/2014 14.00,"5,2","4,0","6,0","19,3","7,5",,,
29/03/2014 15.00,"5,4","4,1","6,0",,"10,7",,,
29/03/2014 16.00,"5,9","2,8","4,3","15,4","12,8",,,
29/03/2014 17.00,"5,6","2,3","3,4",,"8,9",,,
29/03/2014 18.00,"6,5","2,4","3,4","12,0","9,5",,,
29/03/2014 19.00,"5,9","2,2","3,3",,"6,4",,,
29/03/2014 20.00,"2,8","6,7","8,8","14,9","7,6",,,
29/03/2014 21.00,"1,4","7,9","10,8",,"7,4",,,
29/03/2014 22.00,"0,7","7,0","9,8","14,9","7,6",,,
29/03/2014 23.00,"0,9","7,9","12,1",,"14,4",,,
30/03/2014 0.00,"0,8","18,6","26,0","23,4","15,0",,,
30/03/2014 1.00,"0,6","13,2","20,7",,"16,8",,,
30/03/2014 2.00,"0,9","12,8","21,5","24,7","17,8",,,
30/03/2014 3.00,"0,9","11,6","17,7",,"13,8",,,
30/03/2014 4.00,"1,0","7,3","11,5","17,3","11,3",,,
30/03/2014 5.00,"0,9","9,7","14,6",,"13,2",,,
30/03/2014 6.00,"0,5","9,1","13,2","21,2","10,7",,,
30/03/2014 7.00,"1,0","8,8","12,7",,"8,9",,,
30/03/2014 8.00,"1,1","12,0","17,2","12,5","14,7",,,
30/03/2014 9.00,"1,5","12,9","18,3",,"10,7",,,
30/03/2014 10.00,"1,8","9,6","13,4","21,7","48,5",,,
30/03/2014 11.00,"2,7","5,0","7,1",,"6,4",,,
30/03/2014 12.00,"3,7","4,3","6,3","29,1","7,6",,,
30/03/2014 13.00,"4,3","5,9","8,5",,"13,4",,,
30/03/2014 14.00,"2,9","4,7","6,8","23,2","14,1",,,
30/03/2014 15.00,"3,0","4,3","6,2",,"16,8",,,
30/03/2014 16.00,"2,7","4,6","6,6","19,0","15,9",,,
30/03/2014 17.00,"2,9","5,2","7,5",,"13,5",,,
30/03/2014 18.00,"3,2","6,8","9,9","21,2","14,7",,,
30/03/2014 19.00,"3,3","8,2","12,5",,"15,9",,,
30/03/2014 20.00,"3,0","10,8","17,3","22,7","23,2",,,
30/03/2014 21.00,"1,5","21,4","35,7",,"33,3",,,
30/03/2014 22.00,"1,6","40,0","59,0","25,2","21,8",,,
30/03/2014 23.00,"1,5","27,2","40,0",,"22,8",,,
31/03/2014 0.00,"1,3","33,1","48,6","27,8","25,5",,,
31/03/2014 1.00,"1,4",,,,"24,5",,,
31/03/2014 2.00,,"19,4","31,3","33,7","19,9",,,
31/03/2014 3.00,"1,0","12,9","20,2",,"17,5",,,
31/03/2014 4.00,"1,2","12,1","18,3","27,4","9,5",,,
31/03/2014 5.00,"1,3","10,5","16,7",,"16,8",,,
31/03/2014 6.00,"1,5","13,8","21,0","17,8","11,9",,,
31/03/2014 7.00,"1,3","17,3","24,8",,"15,1",,,
31/03/2014 8.00,"1,4","17,9","24,1","19,8","14,7",,,
31/03/2014 9.00,"1,4","15,7","22,4",,"19,1",,,
31/03/2014 10.00,"1,6","13,5","21,9","22,7","31,8",,,
31/03/2014 11.00,"2,0","7,8","11,5",,"23,8",,,
31/03/2014 12.00,"3,5","10,9","15,0","49,6",,,,
31/03/2014 13.00,"8,4","24,1","33,9",,"28,6",,,
31/03/2014 14.00,"5,2","13,8","18,6","26,1","18,4",,,
31/03/2014 15.00,"4,0","7,5","10,2",,"16,2",,,
31/03/2014 16.00,"3,6","4,0","6,0","13,9","12,4",,,
31/03/2014 17.00,"5,3","7,2","9,5",,"10,9",,,
31/03/2014 18.00,"3,2","7,5","9,6","8,3","14,0",,,
31/03/2014 19.00,"3,0","8,4","11,3",,"13,5",,,
31/03/2014 20.00,"2,6","13,6","18,9","7,8","15,0",,,
31/03/2014 21.00,"1,6","22,4","29,4",,"19,5",,,
31/03/2014 22.00,"1,1","43,3","52,5","15,6","28,4",,,
31/03/2014 23.00,"1,7","33,0","43,8",,"26,9",,,
01/04/2014 0.00,"1,7","33,2","46,2","26,4","37,5",,,
01/04/2014 1.00,"1,6","24,4","38,8",,"37,9",,,
01/04/2014 2.00,"1,5","22,5","38,1","40,0","28,5",,,
01/04/2014 3.00,"1,6","22,4","37,9",,"24,5",,,
01/04/2014 4.00,"1,2","22,1","45,5","33,7","16,6",,,
01/04/2014 5.00,"1,6","21,7","44,6",,"20,2",,,
01/04/2014 6.00,"1,6","24,4","81,2","29,1","15,7",,,
01/04/2014 7.00,"1,4","24,7","88,0",,"14,1",,,
01/04/2014 8.00,"1,6","34,1","85,1","26,1","17,4",,,
01/04/2014 9.00,"1,8","24,6","34,0",,"24,1",,,
01/04/2014 10.00,"2,0","13,3","17,6","32,2","56,0",,,
01/04/2014 11.00,"2,2","7,7","10,5",,"26,6",,,
01/04/2014 12.00,"1,9","6,6","9,0","48,6","13,6",,,
01/04/2014 13.00,"2,1","5,4","7,5",,"15,9",,,
01/04/2014 14.00,"1,9","4,4","6,2","31,7","16,5",,,
01/04/2014 15.00,"2,0","3,3","4,6",,"9,3",,,
01/04/2014 16.00,"1,9","3,3","4,7","24,7","8,6",,,
01/04/2014 17.00,"2,6","10,2","13,0",,"7,6",,,
01/04/2014 18.00,"2,2","8,5","11,2","19,0","15,0",,,
01/04/2014 19.00,"2,5","9,9","14,0",,"16,5",,,
01/04/2014 20.00,"1,8","13,4","20,9","25,4","16,8",,,
01/04/2014 21.00,"1,5","63,7","89,6",,"18,3",,,
01/04/2014 22.00,"1,7","42,0","65,8","32,5","20,2",,,
01/04/2014 23.00,"1,2","39,3","68,1",,"26,3",,,
02/04/2014 0.00,"1,1","27,7","56,3","39,6","22,1",,,
02/04/2014 1.00,"0,9",,,,"22,3",,,
02/04/2014 2.00,,"17,5","48,8","33,7","26,9",,,
02/04/2014 3.00,"1,1","21,1","44,3",,"35,4",,,
02/04/2014 4.00,"1,4","18,2","56,8","40,0","30,3",,,
02/04/2014 5.00,"1,7","15,4","65,0",,"28,2",,,
02/04/2014 6.00,"1,4","16,2","45,6","46,4","28,8",,,
02/04/2014 7.00,"1,2","26,0","42,2",,"20,6",,,
02/04/2014 8.00,"1,8","29,1","94,4","44,7","26,9",,,
02/04/2014 9.00,"4,0","32,6","72,4",,"24,5",,,
02/04/2014 10.00,"1,6","8,2","12,2","42,5","32,7",,,
02/04/2014 11.00,"1,7","7,3","10,9",,"9,1",,,
02/04/2014 12.00,"1,8","5,7","8,8","39,6","18,0",,,
02/04/2014 13.00,"2,4","6,8","9,9",,"12,4",,,
02/04/2014 14.00,"3,0","5,9","8,4","27,1","14,1",,,
02/04/2014 15.00,"3,8","7,1","10,6",,"14,4",,,
02/04/2014 16.00,"2,9","6,0","9,2","21,5","16,5",,,
02/04/2014 17.00,"2,6","3,6","5,8",,"11,4",,,
02/04/2014 18.00,"2,0","4,1","6,7","21,7","10,4",,,
02/04/2014 19.00,"1,8","4,9","7,7",,"14,0",,,
02/04/2014 20.00,"2,5","9,3","12,5","17,8","18,9",,,
02/04/2014 21.00,"2,4","16,9","24,3",,"17,5",,,
02/04/2014 22.00,"1,2","53,6","80,4","27,8","28,7",,,
02/04/2014 23.00,"1,4","36,2","63,4",,"21,2",,,
03/04/2014 0.00,"1,0","28,6","43,4","34,2","13,8",,,
03/04/2014 1.00,"1,5","22,9","41,0",,"22,6",,,
03/04/2014 2.00,"1,2","23,7","45,5","28,6","19,3",,,
03/04/2014 3.00,"1,3","18,9","36,4",,"20,2",,,
03/04/2014 4.00,"1,5","17,2","34,7","29,8","25,3",,,
03/04/2014 5.00,"1,5","21,6","33,7",,"22,1",,,
03/04/2014 6.00,"1,4","25,6","52,9","32,2","22,6",,,
03/04/2014 7.00,"1,4","25,2","78,2",,"21,1",,,
03/04/2014 8.00,"1,7","33,7","134,2","26,1","22,6",,,
03/04/2014 9.00,"1,8","41,6","93,2",,"23,2",,,
03/04/2014 10.00,"1,8","27,0","37,4","37,6","16,9",,,
03/04/2014 11.00,"3,4","15,2","18,8",,"12,6",,,
03/04/2014 12.00,"2,6","9,1","11,2","41,3","18,9",,,
03/04/2014 13.00,"2,7","8,0","10,2",,"9,6",,,
03/04/2014 14.00,"2,3","5,4","6,8","21,7","7,5",,,
03/04/2014 15.00,"2,4","5,5","6,8",,"13,7",,,
03/04/2014 16.00,"1,9","5,5","6,7","12,0","13,5",,,
03/04/2014 17.00,"1,7","5,2","6,5",,"9,5",,,
03/04/2014 18.00,"2,3","4,9","6,3","14,4","9,8",,,
03/04/2014 19.00,"2,2","6,5","7,8",,"12,8",,,
03/04/2014 20.00,"1,8","11,5","12,7","11,5","10,1",,,
03/04/2014 21.00,"1,9","16,7","18,4",,"13,4",,,
03/04/2014 22.00,"1,3","10,6","11,9","20,3","22,5",,,
03/04/2014 23.00,"1,4","6,3","7,3",,"24,8",,,
04/04/2014 0.00,"1,2","3,6","4,6","28,6","23,0",,,
04/04/2014 1.00,"1,7",,,,"15,7",,,
04/04/2014 2.00,,"2,0","2,8","29,1","18,3",,,
04/04/2014 3.00,"1,5","1,5","2,5",,"13,2",,,
04/04/2014 4.00,"2,0","1,4","2,3","24,9","17,8",,,
04/04/2014 5.00,"1,4","1,2","2,2",,"9,6",,,
04/04/2014 6.00,"1,2","1,6","2,4","28,1","19,1",,,
04/04/2014 7.00,"1,6","3,7","4,8",,"15,3",,,
04/04/2014 8.00,"2,1","7,7","9,2","21,7","12,4",,,
04/04/2014 9.00,"2,1","12,4","15,3",,"16,5",,,
04/04/2014 10.00,"2,2","9,1","11,1","15,1","35,3",,,
04/04/2014 11.00,"2,4","7,1","9,1",,"19,4",,,
04/04/2014 12.00,"2,1","5,4","7,0","31,7","21,4",,,
04/04/2014 13.00,"1,9","4,2","5,7",,"17,2",,,
04/04/2014 14.00,"2,5","3,9","5,3","24,9","16,5",,,
04/04/2014 15.00,"2,5","4,1","5,5",,"14,4",,,
04/04/2014 16.00,"2,7","4,1","5,4","19,3","17,1",,,
04/04/2014 17.00,"2,3","4,7","6,1",,"16,8",,,
04/04/2014 18.00,"2,7","4,9","6,1","27,4","19,2",,,
04/04/2014 19.00,"1,6","5,9","7,1",,"22,8",,,
04/04/2014 20.00,"2,1","6,7","7,9","31,0","21,1",,,
04/04/2014 21.00,"2,4","7,2","8,7",,"26,6",,,
04/04/2014 22.00,"2,3","7,0","8,4","43,7","23,0",,,
04/04/2014 23.00,"1,5","3,6","5,5",,"24,8",,,
05/04/2014 0.00,"1,9","5,8","10,0","46,6","7,8",,,
05/04/2014 1.00,"1,6","12,9","19,3",,"5,2",,,
05/04/2014 2.00,"1,6","10,9","16,8","24,7","7,6",,,
05/04/2014 3.00,"1,4","9,8","15,8",,"6,4",,,
05/04/2014 4.00,"1,4","14,1","23,4","18,1","3,4",,,
05/04/2014 5.00,"1,4","12,4","19,1",,"10,0",,,
05/04/2014 6.00,"1,8","19,2","26,9","15,4","9,5",,,
05/04/2014 7.00,"2,1","16,3","20,4",,"10,9",,,
05/04/2014 8.00,"2,1","25,4","36,7","12,9","7,4",,,
05/04/2014 9.00,"1,8","26,6","42,4",,"6,4",,,
05/04/2014 10.00,"1,5","12,2","18,9","14,9","3,7",,,
05/04/2014 11.00,"1,6","5,1","8,0",,"6,1",,,
05/04/2014 12.00,"1,8","3,1","4,9","17,8","10,7",,,
05/04/2014 13.00,"2,0","4,4","6,2",,"10,4",,,
05/04/2014 14.00,"2,1","4,4","6,3","13,9","11,0",,,
05/04/2014 15.00,"1,9","3,0","4,1",,"13,1",,,
05/04/2014 16.00,"1,6","3,2","4,5","16,8","8,6",,,
05/04/2014 17.00,"2,2","3,5","4,7",,"6,7",,,
05/04/2014 18.00,"2,4","3,6","4,7","16,6","6,1",,,
05/04/2014 19.00,"2,0","3,7","5,0",,"4,0",,,
05/04/2014 20.00,"2,1","3,8","5,0","16,4","13,4",,,
05/04/2014 21.00,"1,6","4,5","6,4",,"18,6",,,
05/04/2014 22.00,"2,0","3,8","5,2","27,1","15,1",,,
05/04/2014 23.00,"2,1","2,2","3,4",,"10,1",,,
06/04/2014 0.00,"1,9","2,5","4,1","23,4","11,0",,,
06/04/2014 1.00,"1,9",,,,"7,6",,,
06/04/2014 2.00,,"3,7","5,7","22,5","8,9",,,
06/04/2014 3.00,"1,7","5,5","10,5",,"9,8",,,
06/04/2014 4.00,"1,6","3,5","7,6","19,0","6,4",,,
06/04/2014 5.00,"1,5","2,7","5,4",,"11,3",,,
06/04/2014 6.00,"1,7","3,0","6,6","20,0","12,8",,,
06/04/2014 7.00,"1,7","2,2","5,2",,"11,9",,,
06/04/2014 8.00,"1,4","5,1","10,8","15,1","6,8",,,
06/04/2014 9.00,"1,3","4,1","7,4",,"3,7",,,
06/04/2014 10.00,"1,3","5,3","10,6","18,3","16,7",,,
06/04/2014 11.00,"1,4","8,4","13,4",,"7,4",,,
06/04/2014 12.00,"1,7","10,5","15,7","25,9","8,9",,,
06/04/2014 13.00,"1,7","8,2","10,9",,"12,4",,,
06/04/2014 14.00,"1,8","4,8","8,3","24,9","8,9",,,
06/04/2014 15.00,"2,6","4,4","7,3",,"4,3",,,
06/04/2014 16.00,"2,8","5,8","8,3","13,4","4,9",,,
06/04/2014 17.00,"3,1","5,1","7,3",,"6,1",,,
06/04/2014 18.00,"2,1","2,8","4,2","17,6","5,2",,,
06/04/2014 19.00,"1,5","3,8","5,9",,"7,6",,,
06/04/2014 20.00,"1,5","5,7","8,8","18,1","9,8",,,
06/04/2014 21.00,"2,3","11,5","16,6",,"11,0",,,
06/04/2014 22.00,"1,8","5,2","8,8","20,0","11,0",,,
06/04/2014 23.00,"1,9","4,8","8,9",,"11,0",,,
07/04/2014 0.00,"1,6","5,1","9,6","16,8","11,0",,,
07/04/2014 1.00,"1,8","7,1","12,8",,"15,2",,,
07/04/2014 2.00,"1,6","7,5","13,1","29,1","12,6",,,
07/04/2014 3.00,"1,5","5,7","10,2",,"10,4",,,
07/04/2014 4.00,"1,6","5,2","9,2","23,4","8,9",,,
07/04/2014 5.00,"1,6","5,6","8,9",,"11,0",,,
07/04/2014 6.00,"1,8","6,6","9,1","22,0","13,1",,,
07/04/2014 7.00,"1,4","6,2","9,2",,"9,5",,,
07/04/2014 8.00,"1,4","6,7","9,9","19,0","12,5",,,
07/04/2014 9.00,"1,6","5,9","8,8",,"13,6",,,
07/04/2014 10.00,"1,9","5,8","8,2","26,1","18,6",,,
07/04/2014 11.00,"3,1","7,8","11,3",,"20,4",,,
07/04/2014 12.00,"4,0","7,7","11,0","24,2","21,4",,,
07/04/2014 13.00,"4,4","8,1","11,9",,"20,2",,,
07/04/2014 14.00,"5,3","8,0","11,4","23,9","13,2",,,
07/04/2014 15.00,"3,2","2,5","3,7",,"17,4",,,
07/04/2014 16.00,"3,0","1,5","2,4","17,8","12,0",,,
07/04/2014 17.00,"2,6","3,3","4,9",,"13,1",,,
07/04/2014 18.00,"2,7","3,8","5,3","14,4","75,1",,,
07/04/2014 19.00,"2,8","5,1","6,7",,"23,3",,,
07/04/2014 20.00,"2,2","5,7","7,7","33,2","13,3",,,
07/04/2014 21.00,"1,7","7,9","10,9",,"14,7",,,
07/04/2014 22.00,"1,6","6,4","9,5","28,8","15,3",,,
07/04/2014 23.00,"1,8","5,5","8,3",,"17,1",,,
08/04/2014 0.00,"1,5","5,3","8,0","27,8","18,0",,,
08/04/2014 1.00,"1,1",,,,"15,9",,,
08/04/2014 2.00,,"4,5","6,7","27,6","17,4",,,
08/04/2014 3.00,"1,1","4,9","7,7",,"20,5",,,
08/04/2014 4.00,"1,2","4,6","7,4","30,5","16,9",,,
08/04/2014 5.00,"1,2","5,8","9,0",,"16,2",,,
08/04/2014 6.00,"1,1","10,3","13,9","26,4","18,0",,,
08/04/2014 7.00,"1,0","9,5","12,8",,"13,2",,,
08/04/2014 8.00,"0,7","14,6","18,8","27,1","22,2",,,
08/04/2014 9.00,"0,8","11,1","14,7",,"18,0",,,
08/04/2014 10.00,"1,6","6,9","9,6","27,4","21,7",,,
08/04/2014 11.00,"1,9","4,4","6,2",,"14,5",,,
08/04/2014 12.00,"1,9","4,2","5,9","26,4","19,2",,,
08/04/2014 13.00,"1,5","4,0","5,9",,"16,0",,,
08/04/2014 14.00,"2,0","4,6","6,3","25,9","11,1",,,
08/04/2014 15.00,"1,9","3,2","4,4",,"11,6",,,
08/04/2014 16.00,"2,3","3,7","5,2","27,6","16,8",,,
08/04/2014 17.00,"3,1","4,1","6,0",,"18,6",,,
08/04/2014 18.00,"4,3","5,6","7,8","26,6","13,8",,,
08/04/2014 19.00,"3,9","6,1","9,3",,"17,7",,,
08/04/2014 20.00,"2,5","8,4","14,9","26,1","21,4",,,
08/04/2014 21.00,"1,5","25,2","42,4",,"25,9",,,
08/04/2014 22.00,"1,4","36,4","56,3","35,2","65,8",,,
08/04/2014 23.00,"1,7","18,2","28,4",,"33,5",,,
09/04/2014 0.00,"0,7","16,9","26,9","44,7","18,6",,,
09/04/2014 1.00,"1,6","14,8","25,1",,"29,5",,,
09/04/2014 2.00,"1,4","10,8","18,7","40,0","28,8",,,
09/04/2014 3.00,"1,4","10,9","18,8",,"21,5",,,
09/04/2014 4.00,"1,4","18,8","30,0","36,9","21,7",,,
09/04/2014 5.00,"1,2","17,7","28,4",,"58,2",,,
09/04/2014 6.00,"1,2","9,1","13,8","42,0","16,2",,,
09/04/2014 7.00,"1,4","23,0","33,7",,"14,0",,,
09/04/2014 8.00,"1,8","28,1","54,7","34,9","20,4",,,
09/04/2014 9.00,"1,7","18,3","31,3",,"17,8",,,
09/04/2014 10.00,"3,4","17,6","26,2","33,0","14,1",,,
09/04/2014 11.00,"4,4","11,6","16,8",,"33,1",,,
09/04/2014 12.00,"4,6","7,8","10,7","35,2","26,4",,,
09/04/2014 13.00,"3,8","5,9","7,9",,"10,6",,,
09/04/2014 14.00,"4,6","7,7","9,6","21,0","13,1",,,
09/04/2014 15.00,"2,6","7,0","9,0",,"12,9",,,
09/04/2014 16.00,"1,1","5,6","7,3","18,8","13,9",,,
09/04/2014 17.00,"2,0","6,5","8,6",,"11,1",,,
09/04/2014 18.00,"1,9","10,8","13,7","22,7","15,5",,,
09/04/2014 19.00,"1,8","8,6","10,7",,"19,2",,,
09/04/2014 20.00,"1,7","7,1","9,4","21,2","22,0",,,
09/04/2014 21.00,"1,4","8,0","10,8",,"21,7",,,
09/04/2014 22.00,"1,2","5,4","7,7","27,1","20,2",,,
09/04/2014 23.00,"1,2","4,2","6,3",,"21,7",,,
10/04/2014 0.00,"1,3","3,0","4,7","33,7","12,7",,,
10/04/2014 1.00,"2,0",,,,"11,3",,,
10/04/2014 2.00,,"3,0","4,6","24,7","7,7",,,
10/04/2014 3.00,"1,8","2,2","3,3",,"4,3",,,
10/04/2014 4.00,"1,6","2,6","3,8","13,2","3,7",,,
10/04/2014 5.00,"2,3","2,9","4,0",,"7,6",,,
10/04/2014 6.00,"1,7","4,1","5,3","7,3","8,0",,,
10/04/2014 7.00,"1,3","10,8","12,7",,"5,5",,,
10/04/2014 8.00,"2,0","8,3","13,6","5,1","6,4",,,
10/04/2014 9.00,"2,5","3,4","5,0",,"7,0",,,
10/04/2014 10.00,"2,4","2,0","3,4","13,4","7,6",,,
10/04/2014 11.00,"1,9","1,2","2,5",,"6,7",,,
10/04/2014 12.00,"2,7","1,7","3,0","15,6","2,5",,,
10/04/2014 13.00,"3,3","2,6","4,0",,"2,7",,,
10/04/2014 14.00,,,,,,,,
10/04/2014 15.00,,,,,,,,
10/04/2014 16.00,,,,,,,,
10/04/2014 17.00,,,,,,,,
10/04/2014 18.00,,,,,,,,
10/04/2014 19.00,,,,,,,,
10/04/2014 20.00,,,,,,,,
10/04/2014 21.00,,,,,,,,
10/04/2014 22.00,,,,,,,,
10/04/2014 23.00,,,,,,,,
11/04/2014 0.00,,,,,,,,
11/04/2014 1.00,,,,,,,,
11/04/2014 2.00,,,,,,,,
11/04/2014 3.00,,,,,,,,
11/04/2014 4.00,,,,,,,,
11/04/2014 5.00,,,,,,,,
11/04/2014 6.00,,,,,,,,
11/04/2014 7.00,"0,9","32,3","52,5",,"7,0",,,
11/04/2014 8.00,"1,4","33,4","64,7","7,8","9,2",,,
11/04/2014 9.00,"2,9","21,9","33,7",,"16,7",,,
11/04/2014 10.00,"3,3","7,5","10,7","14,4","9,3",,,
11/04/2014 11.00,"1,2","2,1","3,6",,"7,4",,,
11/04/2014 12.00,"1,8","2,6","4,3","19,3","4,6",,,
11/04/2014 13.00,"2,9","3,7","6,1",,"3,4",,,
11/04/2014 14.00,"2,7","4,5","7,1","11,0","2,8",,,
11/04/2014 15.00,"2,5","3,8","5,9",,"2,4",,,
11/04/2014 16.00,"1,3","2,6","4,3","13,2","4,0",,,
11/04/2014 17.00,"5,2","5,0","7,0",,"2,8",,,
11/04/2014 18.00,"6,7","5,8","7,9","12,5","1,2",,,
11/04/2014 19.00,"4,4","4,4","6,6",,"4,2",,,
11/04/2014 20.00,"2,0","9,3","15,0","9,5","4,3",,,
11/04/2014 21.00,"1,2","33,7","55,1",,"13,3",,,
11/04/2014 22.00,"1,0","44,6","70,4","8,8","11,0",,,
11/04/2014 23.00,"1,4","40,9","85,7",,"8,3",,,
12/04/2014 0.00,"1,3","31,7","88,0","25,4","11,0",,,
12/04/2014 1.00,"1,1",,,,"12,2",,,
12/04/2014 2.00,,"20,4","37,8","19,5","12,3",,,
12/04/2014 3.00,"1,0","16,8","31,2",,"17,4",,,
12/04/2014 4.00,"0,9","14,3","26,8","25,9","15,3",,,
