Stat,Torchiarolo_Via Fanin,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,PM10,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,
,,,,,,
,,,,,,,
07/01/2014 15.00,"5,1","16,0","22,8",,"3,7",,,
07/01/2014 16.00,"3,2","8,0","12,1","5,1","3,7",,,
07/01/2014 17.00,"1,3","7,4","11,2",,"4,0",,,
07/01/2014 18.00,"1,3","10,0","17,4","3,7","10,2",,,
07/01/2014 19.00,"1,0","20,7","30,8",,"10,8",,,
07/01/2014 20.00,"1,2","46,0","66,2","6,1","7,8",,,
07/01/2014 21.00,"1,1","47,6","75,7",,"14,8",,,
07/01/2014 22.00,"1,0","44,3","72,6","7,6","23,6",,,
07/01/2014 23.00,"1,2","43,6","111,8",,"21,2",,,
08/01/2014 0.00,"1,1","34,6","87,1","20,5","18,4",,,
08/01/2014 1.00,"1,5",,,,"23,7",,,
08/01/2014 2.00,,"15,8","25,5","22,5","21,5",,,
08/01/2014 3.00,"1,3","11,6","17,1",,"20,5",,,
08/01/2014 4.00,"0,5","11,0","16,1","28,3","14,9",,,
08/01/2014 5.00,"1,0","8,9","12,7",,"15,6",,,
08/01/2014 6.00,"1,5","11,2","15,4","22,5","6,4",,,
08/01/2014 7.00,"1,0","12,0","15,3",,"8,8",,,
08/01/2014 8.00,"1,1","16,2","20,2","15,1","9,8",,,
08/01/2014 9.00,"0,9","31,1","39,6",,"8,0",,,
08/01/2014 10.00,"0,9","27,8","38,9","12,9","7,7",,,
08/01/2014 11.00,"0,9","15,1","21,1",,"5,9",,,
08/01/2014 12.00,"1,1","10,8","15,9","13,4","7,4",,,
08/01/2014 13.00,"1,2","9,0","12,6",,"7,5",,,
08/01/2014 14.00,"0,9","6,7","9,4",,"16,2",,,
08/01/2014 15.00,"1,3","7,4","9,3",,"6,2",,,
08/01/2014 16.00,"1,2","4,7","6,0",,"9,1",,,
08/01/2014 17.00,"1,3","3,7","5,0",,"7,6",,,
08/01/2014 18.00,"1,4","4,8","6,7","7,8","4,7",,,
08/01/2014 19.00,"1,3","6,8","10,8",,"4,8",,,
08/01/2014 20.00,"1,2","8,1","12,7","10,0","8,7",,,
08/01/2014 21.00,"1,3","7,7","12,5",,"8,9",,,
08/01/2014 22.00,"1,1","9,1","13,4","10,5","13,6",,,
08/01/2014 23.00,"1,0","11,2","15,5",,"9,0",,,
09/01/2014 0.00,"1,2","5,0","7,9","11,2","6,4",,,
09/01/2014 1.00,"1,7","5,6","8,4",,,,,
09/01/2014 2.00,"1,6","6,9","8,8","13,7",,,,
09/01/2014 3.00,"1,5","5,9","7,9",,,,,
09/01/2014 4.00,"1,4","8,4","12,1","15,6",,,,
09/01/2014 5.00,"1,3","9,8","15,4",,,,,
09/01/2014 6.00,"1,3","9,3","13,6","15,4",,,,
09/01/2014 7.00,"1,2","7,8","12,5",,,,,
09/01/2014 8.00,"1,3","11,9","16,4","20,8",,,,
09/01/2014 9.00,"1,3","14,9","19,2",,,,,
09/01/2014 10.00,"1,3","16,9","23,0","21,5",,,,
09/01/2014 11.00,"1,5","14,8","20,1",,,,,
09/01/2014 12.00,"1,7","12,8","19,0","16,6",,,,
09/01/2014 13.00,"3,1","9,7","13,2",,,,,
09/01/2014 14.00,"5,3","12,6","17,2","13,7",,,,
09/01/2014 15.00,"10,2","18,5","25,5",,,,,
09/01/2014 16.00,"5,5","13,3","17,7","8,1",,,,
09/01/2014 17.00,"2,8","7,9","11,3",,,,,
09/01/2014 18.00,"1,9","9,2","15,4","7,3",,,,
09/01/2014 19.00,"1,7","33,3","42,9",,,,,
09/01/2014 20.00,"1,5","53,5","87,4","8,5",,,,
09/01/2014 21.00,"1,8","50,1","92,5",,,,,
09/01/2014 22.00,"1,8","46,3","92,0","24,2",,,,
09/01/2014 23.00,"1,3","39,1","62,3",,,,,
10/01/2014 0.00,"1,8","29,9","45,3","39,8",,,,
10/01/2014 1.00,"2,1",,,,"83,6",,,
10/01/2014 2.00,,"26,1","50,7","65,9","74,4",,,
10/01/2014 3.00,"1,6","22,3","49,3",,"66,6",,,
10/01/2014 4.00,"2,0","23,3","59,8","71,1","61,7",,,
10/01/2014 5.00,"1,3","18,5","44,4",,"48,2",,,
10/01/2014 6.00,"1,9","18,8","33,4","64,2","44,5",,,
10/01/2014 7.00,"2,0","24,4","36,0",,"38,7",,,
10/01/2014 8.00,"2,1","33,8","60,3","53,7","22,9",,,
10/01/2014 9.00,"2,0","37,6","95,0",,"25,6",,,
10/01/2014 10.00,"2,2","48,0","120,0","44,2","24,8",,,
10/01/2014 11.00,"2,1","57,9","112,1",,"41,7",,,
10/01/2014 12.00,"2,2","44,7","72,0","47,9","44,0",,,
10/01/2014 13.00,"2,1","32,0","45,1",,"36,1",,,
10/01/2014 14.00,"2,0","17,2","22,5","65,2","29,0",,,
10/01/2014 15.00,"2,1","12,5","15,6",,"20,2",,,
10/01/2014 16.00,"2,1","9,9","12,8","33,9","14,6",,,
10/01/2014 17.00,"2,2","18,7","24,1",,"14,7",,,
10/01/2014 18.00,"1,8","22,4","30,7","23,4","36,0",,,
10/01/2014 19.00,"1,7","47,1","68,1",,"14,2",,,
10/01/2014 20.00,"2,1","56,3","125,5","29,5","13,5",,,
10/01/2014 21.00,"2,7","49,5","146,9",,"122,8",,,
10/01/2014 22.00,"2,6","48,0","180,4","41,3","84,0",,,
10/01/2014 23.00,"2,3","38,8","171,8",,"29,9",,,
11/01/2014 0.00,"2,3","31,3","153,4","58,4","44,4",,,
11/01/2014 1.00,"2,5","27,4","132,3",,"94,2",,,
11/01/2014 2.00,"2,8","23,3","135,9","63,2","139,0",,,
11/01/2014 3.00,"2,6","21,1","116,5",,"133,3",,,
11/01/2014 4.00,"2,2","19,7","70,9","104,8","131,6",,,
11/01/2014 5.00,"2,7","16,6","58,7",,"90,4",,,
11/01/2014 6.00,"2,6","18,7","50,5","122,6","81,5",,,
11/01/2014 7.00,"2,0","15,5","64,6",,"58,5",,,
11/01/2014 8.00,"2,0","18,7","75,6","99,1","51,0",,,
11/01/2014 9.00,"1,7","22,2","96,0",,"37,5",,,
11/01/2014 10.00,"2,2","30,9","112,2","74,0","38,2",,,
11/01/2014 11.00,"2,2","25,8","56,2",,"41,8",,,
11/01/2014 12.00,"2,1","14,1","28,3","75,7","42,8",,,
11/01/2014 13.00,"2,6","14,2","25,7",,"28,9",,,
11/01/2014 14.00,"2,8","9,5","15,3","61,8","24,6",,,
11/01/2014 15.00,"3,1","10,3","15,7",,"25,4",,,
11/01/2014 16.00,"2,9","9,1","13,8","31,7","20,4",,,
11/01/2014 17.00,"2,7","7,9","13,3",,"18,4",,,
11/01/2014 18.00,"1,9","13,5","24,9","30,3","21,3",,,
11/01/2014 19.00,"2,2","15,2","34,3",,"18,8",,,
11/01/2014 20.00,"2,5","40,8","127,6","23,9","16,6",,,
11/01/2014 21.00,"2,8","43,1","147,0",,"21,9",,,
11/01/2014 22.00,"2,6","53,2","105,2","23,7","59,9",,,
11/01/2014 23.00,"2,5","45,9","117,3",,"94,8",,,
12/01/2014 0.00,"2,6","47,0","178,1","56,7","76,8",,,
12/01/2014 1.00,"2,5",,,,"56,9",,,
12/01/2014 2.00,,"25,5","105,2","64,2","65,8",,,
12/01/2014 3.00,"2,3","24,8","106,1",,"68,2",,,
12/01/2014 4.00,"2,1","20,2","61,3","61,3","71,2",,,
12/01/2014 5.00,"1,7","18,5","53,3",,"57,1",,,
12/01/2014 6.00,"2,2","20,8","85,7","73,3","58,7",,,
12/01/2014 7.00,"1,4","13,2","54,1",,"53,4",,,
12/01/2014 8.00,"1,6","14,8","57,4","62,8","46,4",,,
12/01/2014 9.00,"1,7","15,2","57,7",,"44,7",,,
12/01/2014 10.00,"1,8","18,0","47,1","56,7","36,1",,,
12/01/2014 11.00,"1,9","20,7","43,3",,"43,5",,,
12/01/2014 12.00,"1,8","12,5","22,4","65,0","57,4",,,
12/01/2014 13.00,"1,8","5,8","9,5",,"25,0",,,
12/01/2014 14.00,"2,1","6,7","12,0","56,9","10,5",,,
12/01/2014 15.00,"2,2","5,9","9,1",,"14,9",,,
12/01/2014 16.00,"2,2","8,4","12,7","30,0","11,0",,,
12/01/2014 17.00,"2,5","8,9","15,3",,"14,9",,,
12/01/2014 18.00,"1,9","10,6","20,9","31,7","26,5",,,
12/01/2014 19.00,"1,8","15,1","24,1",,"10,0",,,
12/01/2014 20.00,"1,9","16,8","26,2","28,8","30,2",,,
12/01/2014 21.00,"1,8","17,0","25,7",,"29,7",,,
12/01/2014 22.00,"1,8","23,7","33,7","33,5","37,1",,,
12/01/2014 23.00,"1,7","21,0","30,1",,"34,6",,,
13/01/2014 0.00,"1,7","16,8","23,6","36,9","38,4",,,
13/01/2014 1.00,"1,4","15,3","22,3",,"44,8",,,
13/01/2014 2.00,"1,5","18,2","27,5","42,2","44,7",,,
13/01/2014 3.00,"1,4","14,9","21,1",,"46,7",,,
13/01/2014 4.00,"1,3","11,0","15,8","42,7","43,0",,,
13/01/2014 5.00,"1,4","9,1","14,1",,"39,9",,,
13/01/2014 6.00,"1,8","10,8","17,4","47,4","36,2",,,
13/01/2014 7.00,"1,7","15,1","21,2",,"28,4",,,
13/01/2014 8.00,"1,7","30,8","44,4","44,9","35,9",,,
13/01/2014 9.00,"1,6","31,2","44,8",,"36,1",,,
13/01/2014 10.00,"1,7","24,7","36,0","37,6","26,3",,,
13/01/2014 11.00,"2,0","36,7","63,3",,"37,8",,,
13/01/2014 12.00,"2,7","17,7","27,0","41,3","35,0",,,
13/01/2014 13.00,"2,4","6,9","10,6",,"18,6",,,
13/01/2014 14.00,"2,8","6,1","9,8","43,5","20,4",,,
13/01/2014 15.00,"1,2","4,8","8,1",,"14,0",,,
13/01/2014 16.00,"2,2","5,0","8,0","23,2","20,1",,,
13/01/2014 17.00,"1,9","8,2","14,2",,"18,1",,,
13/01/2014 18.00,"2,0","18,9","26,0","18,6","20,1",,,
13/01/2014 19.00,"1,2","29,5","45,8",,"70,0",,,
13/01/2014 20.00,"0,8","25,5","57,2","36,6","93,5",,,
13/01/2014 21.00,"2,0","12,8","34,4",,"61,7",,,
13/01/2014 22.00,"2,2","32,4","119,9","67,4","48,4",,,
13/01/2014 23.00,"2,5","38,3","172,0",,"66,1",,,
14/01/2014 0.00,"2,6","34,0","170,4","66,2","68,8",,,
14/01/2014 1.00,"2,4",,,,"67,7",,,
14/01/2014 2.00,,"15,6","79,4","69,6","43,0",,,
14/01/2014 3.00,"2,2","12,0","65,2",,"26,0",,,
