,Lecce,,,
,Arnesano,,,
Parm,SO2,NOX,NO2,PM10
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
05/01/2010 4.00,,"11,34982511","3,42119131","26,20000076"
05/01/2010 5.00,,"11,39521982","3,40301966","26,20000076"
05/01/2010 6.00,,"11,74929354","3,91438215","26,20000076"
05/01/2010 7.00,,"12,06445806","4,47246818","26,20000076"
05/01/2010 8.00,,"12,99049893","5,44068013","26,20000076"
05/01/2010 9.00,,"13,18504493","5,68857475","26,20000076"
05/01/2010 10.00,,"13,33679081","5,92348881","26,20000076"
05/01/2010 11.00,,"13,70253729","6,33880771","26,20000076"
05/01/2010 12.00,,"13,00087344","6,08312551","26,20000076"
05/01/2010 13.00,,"12,37184074","5,67819068","26,20000076"
05/01/2010 14.00,,"12,84783122","6,06106294","26,20000076"
05/01/2010 15.00,,"11,99831242","5,41212632","26,20000076"
05/01/2010 16.00,,"11,38484339","4,95268037","26,20000076"
05/01/2010 17.00,,"11,85953563","5,37578685","26,20000076"
05/01/2010 18.00,,"11,69871158","5,40823349","26,20000076"
05/01/2010 19.00,,"11,94773046","5,99746791","26,20000076"
05/01/2010 20.00,,"11,51194742","5,8975315","26,20000076"
05/01/2010 21.00,,"11,32907418","5,86378661","26,20000076"
05/01/2010 22.00,,"10,68836871","5,14736021","26,20000076"
05/01/2010 23.00,,"10,03469415","4,39589258","26,20000076"
06/01/2010 0.00,,"10,20589463","4,23625588","26,20000076"
06/01/2010 1.00,,"10,33818591","3,94423421","56,09999084"
06/01/2010 2.00,,,,"56,09999084"
06/01/2010 3.00,,"11,40818891","4,59187258","56,09999084"
06/01/2010 4.00,,"11,20197015","4,495829","56,09999084"
06/01/2010 5.00,,"11,18900106","4,53087214","56,09999084"
06/01/2010 6.00,,"11,43283268","4,75799862","56,09999084"
06/01/2010 7.00,,"11,23179926","4,691809","56,09999084"
06/01/2010 8.00,,"11,88288115","5,23950905","56,09999084"
06/01/2010 9.00,,"12,72202545","6,08182918","56,09999084"
06/01/2010 10.00,,"12,41464086","5,92738355","56,09999084"
06/01/2010 11.00,,"12,08002174","5,62627606","56,09999084"
06/01/2010 12.00,,"12,08261632","6,16489219","56,09999084"
06/01/2010 13.00,,"11,57031122","6,06495769","56,09999084"
06/01/2010 14.00,,"10,50808814","5,51465923","56,09999084"
06/01/2010 15.00,,"9,98929945","5,18370159","56,09999084"
06/01/2010 16.00,,"10,86864737","5,65223337","56,09999084"
06/01/2010 17.00,,"13,36791817","8,00008333","56,09999084"
06/01/2010 18.00,,"16,81397886","11,31614141","56,09999084"
06/01/2010 19.00,,"21,72043472","15,8509102","56,09999084"
06/01/2010 20.00,,"22,28979008","16,27141445","56,09999084"
06/01/2010 21.00,,"23,14451144","16,84248105","56,09999084"
06/01/2010 22.00,,"20,38193912","14,71267174","56,09999084"
06/01/2010 23.00,,"19,1498272","13,23439938","56,09999084"
07/01/2010 0.00,,"16,77247699","10,41152832","56,09999084"
07/01/2010 1.00,,"14,83220234","8,4115094","27,20000076"
07/01/2010 2.00,,"15,00469915","8,17399885","27,20000076"
07/01/2010 3.00,,"15,1746033","8,16102019","27,20000076"
07/01/2010 4.00,,"14,05790734","7,29793574","27,20000076"
07/01/2010 5.00,,"13,47167667","6,71778714","27,20000076"
07/01/2010 6.00,,"13,15780849","6,26353227","27,20000076"
07/01/2010 7.00,,"14,60912165","7,26419086","27,20000076"
07/01/2010 8.00,,"20,68154952","11,81063623","27,20000076"
07/01/2010 9.00,,"26,89145784","16,50243567","27,20000076"
07/01/2010 10.00,,"26,00822856","16,74254272","27,20000076"
07/01/2010 11.00,,"22,18214448","14,72695247","27,20000076"
07/01/2010 12.00,,"18,3872107","11,57831102","27,20000076"
07/01/2010 13.00,,"15,72452126","9,22527572","27,20000076"
07/01/2010 14.00,,"14,71288015","8,23759579","27,20000076"
07/01/2010 15.00,,"13,0060607","7,26029611","27,20000076"
07/01/2010 16.00,,"13,85817409","8,55557286","27,20000076"
07/01/2010 17.00,,"18,4585436","13,06048004","27,20000076"
07/01/2010 18.00,,"26,17942904","18,9424383","27,20000076"
07/01/2010 19.00,,"23,86822256","18,10920208","27,20000076"
07/01/2010 20.00,,"17,6414504","11,7314584","27,20000076"
07/01/2010 21.00,,"15,23037251","9,71327548","27,20000076"
07/01/2010 22.00,,"12,81670386","7,26808369","27,20000076"
07/01/2010 23.00,,"11,62608043","6,04548779","27,20000076"
08/01/2010 0.00,,"10,89847839","5,20836066","27,20000076"
08/01/2010 1.00,,"10,74154334","4,50880766","27,89999962"
08/01/2010 2.00,,,,"27,89999962"
08/01/2010 3.00,,"11,24606852","4,66195694","27,89999962"
08/01/2010 4.00,,"10,47955537","4,07402077","27,89999962"
08/01/2010 5.00,,"10,26944569","4,07402077","27,89999962"
08/01/2010 6.00,,"11,60403316","5,40823349","27,89999962"
08/01/2010 7.00,,"13,20060861","6,85536128","27,89999962"
08/01/2010 8.00,,"13,46389292","7,25251045","27,89999962"
08/01/2010 9.00,,"13,92691431","7,87289135","27,89999962"
08/01/2010 10.00,,"11,1578737","5,60161699","27,89999962"
08/01/2010 11.00,,"10,39136054","5,30959532","27,89999962"
08/01/2010 12.00,,"10,12807623","4,88648884","27,89999962"
08/01/2010 13.00,,"10,27593119","4,86961735","27,89999962"
08/01/2010 14.00,,"10,84270918","5,18629618","27,89999962"
08/01/2010 15.00,,"10,75581069","5,21744648","27,89999962"
08/01/2010 16.00,,"11,42764351","5,87806351","27,89999962"
08/01/2010 17.00,,"12,09558542","6,3556792","27,89999962"
08/01/2010 18.00,,"11,85694296","6,93582971","27,89999962"
08/01/2010 19.00,,"11,57420214","6,70999766","27,89999962"
08/01/2010 20.00,,"10,7143069","5,96761586","27,89999962"
08/01/2010 21.00,,"9,65857125","5,1525532","27,89999962"
08/01/2010 22.00,,"10,42378615","5,73140355","27,89999962"
08/01/2010 23.00,,"9,57556368","4,85793503","27,89999962"
09/01/2010 0.00,,"9,49904353","4,46597886","27,89999962"
09/01/2010 1.00,,"10,19162729","4,691809","53,29999161"
09/01/2010 2.00,,"10,94127851","5,2550842","53,29999161"
09/01/2010 3.00,,"9,97243752","4,09738158","53,29999161"
09/01/2010 4.00,,"10,72597966","4,83846705","53,29999161"
09/01/2010 5.00,,"10,1112143","3,98706301","53,29999161"
09/01/2010 6.00,,"9,8193953","3,84299954","53,29999161"
09/01/2010 7.00,,"9,60928562","3,95202178","53,29999161"
09/01/2010 8.00,,"10,76099986","5,08246693","53,29999161"
09/01/2010 9.00,,"12,58713958","6,91765806","53,29999161"
09/01/2010 10.00,,"12,28364591","6,73725513","53,29999161"
09/01/2010 11.00,,"10,38876596","5,4964895","53,29999161"
09/01/2010 12.00,,"9,8323644","5,06299894","53,29999161"
09/01/2010 13.00,,"9,365454","4,69700008","53,29999161"
09/01/2010 14.00,,"9,1319988","4,44650896","53,29999161"
09/01/2010 15.00,,"8,9698765","4,3621477","53,29999161"
09/01/2010 16.00,,"9,53924906","5,06559544","53,29999161"
09/01/2010 17.00,,"12,07613082","7,05523411","53,29999161"
09/01/2010 18.00,,"12,88025492","7,72493506","53,29999161"
