,Provincia di LECCE,,
,GUAGNANO,,
Parm,SO2,NO2,PM10



07/01/2005 0.00,"1,01438326",,
07/01/2005 1.00,"1,35160622",,
07/01/2005 2.00,"1,3074074",,
07/01/2005 3.00,"1,16164689",,
07/01/2005 4.00,"1,04102357",,
07/01/2005 5.00,"1,15435195",,
07/01/2005 6.00,"1,08106286",,
07/01/2005 7.00,"1,40891519","5,62887064",
07/01/2005 8.00,"1,41573722","9,8106154",
07/01/2005 9.00,"1,63277113","9,96636118",
07/01/2005 10.00,"2,9797561",,
07/01/2005 11.00,"3,2724131",,
07/01/2005 12.00,"2,81727611","4,54514904",
07/01/2005 13.00,"3,05579922","4,93710713",
07/01/2005 14.00,"3,66290856","4,96955186",
07/01/2005 15.00,"3,40542247","5,93906205",
07/01/2005 16.00,"2,63478665","4,84495638",
07/01/2005 17.00,"2,25624196","6,51142498",
07/01/2005 18.00,"1,5065238","6,79436083",
07/01/2005 19.00,"1,26472696","6,89170075",
07/01/2005 20.00,"1,37917709","7,69378666",
07/01/2005 21.00,"1,0241129","14,01571715",
07/01/2005 22.00,"1,06882327","8,21423306",
07/01/2005 23.00,"0,96243185",,
08/01/2005 0.00,"0,80926148",,
08/01/2005 1.00,,,
08/01/2005 2.00,"1,26653926",,
08/01/2005 3.00,"1,04999555",,
08/01/2005 4.00,"0,78352731",,
08/01/2005 5.00,"0,83245925",,
08/01/2005 6.00,"0,73502455",,
08/01/2005 7.00,"1,09899969",,
08/01/2005 8.00,"1,14640817",,
08/01/2005 9.00,"1,10939242","9,04097804",
08/01/2005 10.00,"1,06341893","11,57831102",
08/01/2005 11.00,"1,50778183",,
08/01/2005 12.00,"1,81263063",,
08/01/2005 13.00,"1,56560031","6,57112718",
08/01/2005 14.00,"1,24492496","5,85729728",
08/01/2005 15.00,"1,20094174","10,21295374",
08/01/2005 16.00,"0,96407837","7,43421163",
08/01/2005 17.00,"1,44481529","8,08314826",
08/01/2005 18.00,"1,26134849","8,70353107",
08/01/2005 19.00,"1,27562513","8,24538146",
08/01/2005 20.00,"1,3668897","11,4744856",
08/01/2005 21.00,"0,48472559",,
08/01/2005 22.00,"0,94201049",,
08/01/2005 23.00,"1,23731576",,
09/01/2005 0.00,"1,20102615","11,5315913",
09/01/2005 1.00,"0,82126818",,
09/01/2005 2.00,"0,49810626",,
09/01/2005 3.00,"0,86242109",,
09/01/2005 4.00,"0,70655668",,
09/01/2005 5.00,"0,44819393",,
09/01/2005 6.00,"0,63929535",,
09/01/2005 7.00,"0,55747364",,
09/01/2005 8.00,"0,60552282",,
09/01/2005 9.00,"0,22006558",,
09/01/2005 10.00,"0,38372122",,
09/01/2005 11.00,"0,31762741",,
09/01/2005 12.00,"0,60373188",,
09/01/2005 13.00,"0,54514556",,
09/01/2005 14.00,"0,52609003",,
09/01/2005 15.00,"0,45305825",,
09/01/2005 16.00,"0,49738114",,
09/01/2005 17.00,"0,56505334",,
09/01/2005 18.00,"0,59667899",,
09/01/2005 19.00,"0,53691193",,
09/01/2005 20.00,"0,62749307",,
09/01/2005 21.00,"0,6005324",,
09/01/2005 22.00,"0,57274796",,
09/01/2005 23.00,"0,29248717",,
10/01/2005 0.00,"0,21658134",,
10/01/2005 1.00,,,
10/01/2005 2.00,"2,21970725",,
10/01/2005 3.00,"2,45752457",,
10/01/2005 4.00,"1,8794699",,
10/01/2005 5.00,"2,047939",,
10/01/2005 6.00,"2,30799302",,
10/01/2005 7.00,"2,54816672",,
10/01/2005 8.00,"3,12919001",,
10/01/2005 9.00,"3,07590735",,
10/01/2005 10.00,"2,69204477",,
10/01/2005 11.00,"2,73548084",,
10/01/2005 12.00,"2,36019258",,
10/01/2005 13.00,"2,81679609",,
10/01/2005 14.00,"3,23368371",,
10/01/2005 15.00,"3,40747681",,
10/01/2005 16.00,"3,03939603",,
10/01/2005 17.00,"2,96920066",,
10/01/2005 18.00,"3,54735092",,
10/01/2005 19.00,"3,41553246",,
10/01/2005 20.00,"3,40587503",,
10/01/2005 21.00,"3,34646799",,
10/01/2005 22.00,"3,37383953",,
10/01/2005 23.00,"3,99161008",,
11/01/2005 0.00,"4,42041796",,
11/01/2005 1.00,"3,90855271","9,6938075",
11/01/2005 2.00,"3,91241629","7,81059457",
11/01/2005 3.00,"3,92786859","7,09806291",
11/01/2005 4.00,"3,45962857","6,15710462",
11/01/2005 5.00,"3,51371263","6,04159496",
11/01/2005 6.00,"3,72505438","5,80278616",
11/01/2005 7.00,"3,75209641","5,91180649",
11/01/2005 8.00,"4,15579354","8,96050961",
11/01/2005 9.00,"4,04569414","12,83855038",
11/01/2005 10.00,"3,26213835","12,115627",
11/01/2005 11.00,"2,8988629","13,41480614",
11/01/2005 12.00,"3,51065044","18,15982802",
11/01/2005 13.00,"3,96843163","11,32263074",
11/01/2005 14.00,"3,08443489","7,31999831",
11/01/2005 15.00,"2,85829986","8,7126169",
11/01/2005 16.00,"2,86795831","9,89108383",
11/01/2005 17.00,"3,10247851","10,91509558",
11/01/2005 18.00,"2,91850829","10,58155292",
11/01/2005 19.00,"3,3611189","14,58158694",
11/01/2005 20.00,"3,39009323","13,52382838",
11/01/2005 21.00,"3,22430799","15,44207489",
11/01/2005 22.00,"3,27598888","14,31682465",
11/01/2005 23.00,"2,89353891","12,34405746",
12/01/2005 0.00,"3,0252638","14,70748449",
12/01/2005 1.00,,"9,41995556",
12/01/2005 2.00,"1,46906972",,
12/01/2005 3.00,"1,94799028",,
12/01/2005 4.00,"1,91408655",,
12/01/2005 5.00,"2,15830689",,
12/01/2005 6.00,"1,69592479",,
12/01/2005 7.00,"1,08450338",,
12/01/2005 8.00,"1,0058191",,
12/01/2005 9.00,"1,68347163",,
12/01/2005 10.00,"1,99752123",,
12/01/2005 11.00,"1,44832699","6,00395533",
12/01/2005 12.00,"1,33400093","5,54061654",
12/01/2005 13.00,"1,22258452","5,45884986",
12/01/2005 14.00,"0,95432636","5,98448926",
12/01/2005 15.00,"0,97308696","7,91182923",
12/01/2005 16.00,"1,04989181","9,7677866",
12/01/2005 17.00,"1,32284139","7,70416882",
12/01/2005 18.00,"1,62888517","11,63022756",
12/01/2005 19.00,"1,02069883","15,03065264",
12/01/2005 20.00,"1,19595946","12,31809824",
12/01/2005 21.00,"1,38347188","11,58610242",
12/01/2005 22.00,"1,44658894","11,66137404",
12/01/2005 23.00,"1,41021898",,
13/01/2005 0.00,"1,36721717",,
13/01/2005 1.00,"1,30367501",,
13/01/2005 2.00,"0,94961561",,
13/01/2005 3.00,"1,07366622",,
13/01/2005 4.00,"0,96520317",,
13/01/2005 5.00,"1,27219784",,
13/01/2005 6.00,"1,53770705",,
13/01/2005 7.00,"1,21209213",,
13/01/2005 8.00,"1,44842869",,
13/01/2005 9.00,"1,58833026",,
13/01/2005 10.00,"1,48289889",,
13/01/2005 11.00,"1,50978735",,
13/01/2005 12.00,"1,58976525",,
13/01/2005 13.00,"2,28535053",,
13/01/2005 14.00,"1,989192",,
13/01/2005 15.00,"2,12697109",,
13/01/2005 16.00,"1,97402954",,
13/01/2005 17.00,"2,34072415",,
13/01/2005 18.00,"2,26818662",,
13/01/2005 19.00,"2,05501834",,
13/01/2005 20.00,"2,31025788","10,58674018",
13/01/2005 21.00,"2,36160824","13,83920514",
13/01/2005 22.00,"1,93385804","12,93329189",
13/01/2005 23.00,"1,24144682","15,10203907",
14/01/2005 0.00,"0,80391104","9,80412607",
14/01/2005 1.00,,,
14/01/2005 2.00,"1,74755687",,
14/01/2005 3.00,"1,47036945",,
14/01/2005 4.00,"1,44529531",,
14/01/2005 5.00,"1,77822653",,
14/01/2005 6.00,"1,62701287",,
14/01/2005 7.00,"3,21820497",,
14/01/2005 8.00,"2,89997448",,
14/01/2005 9.00,"2,18654492","11,74314454",
14/01/2005 10.00,"2,0285621","12,3596307",
14/01/2005 11.00,"2,20399257","11,50822666",
14/01/2005 12.00,"2,89382265","8,34402154",
14/01/2005 13.00,"6,31906848","9,18633975",
14/01/2005 14.00,"5,95372852","6,69053158",
14/01/2005 15.00,"6,36728648","5,70025516",
14/01/2005 16.00,"5,60507855","5,2408073",
14/01/2005 17.00,"3,66874512","5,25638245",
14/01/2005 18.00,"3,05664638","5,95074437",
14/01/2005 19.00,"2,91314972","7,76646561",
14/01/2005 20.00,"3,06105406","7,20448866",
14/01/2005 21.00,"3,13198269","7,65095595",
14/01/2005 22.00,"3,6499591","6,01823414",
14/01/2005 23.00,"2,82415815","6,01563765",
15/01/2005 0.00,"3,24661385","8,2518727",
15/01/2005 1.00,"4,44415067","7,27457302",
15/01/2005 2.00,"4,15484468","4,90336033",
15/01/2005 3.00,"3,65807578","4,53346863",
15/01/2005 4.00,"3,1877265","3,72878622",
15/01/2005 5.00,"2,24169784","3,6794681",
15/01/2005 6.00,"1,85469476","3,31606382",
15/01/2005 7.00,"2,33361735","4,29465983",
15/01/2005 8.00,"2,1225268","5,66131919",
15/01/2005 9.00,"2,56917388","7,67691326",
15/01/2005 10.00,"1,98741326","4,62301906",
15/01/2005 11.00,"3,51586867","4,92412656",
15/01/2005 12.00,"2,89245072","5,00978607",
15/01/2005 13.00,"3,34194336","4,20900032",
15/01/2005 14.00,"3,74849013","3,49646675",
15/01/2005 15.00,"3,23239314","4,24793438",
15/01/2005 16.00,"3,78558012","4,1830411",
15/01/2005 17.00,"3,65611297","4,52957389",
15/01/2005 18.00,"3,8347124","4,6295103",
15/01/2005 19.00,"3,57728326","4,55034012",
15/01/2005 20.00,"2,69933971","4,05585103",
15/01/2005 21.00,"1,73782723","4,31802065",
15/01/2005 22.00,"2,2756453","5,43938188",
15/01/2005 23.00,"3,11169151","4,44650896",
16/01/2005 0.00,"3,08572852","6,47897834",
16/01/2005 1.00,,"3,36019086",
16/01/2005 2.00,"0,87619432",,
16/01/2005 3.00,"0,73343701","3,52112773",
16/01/2005 4.00,"0,76614475","3,21482915",
16/01/2005 5.00,"0,81134531","3,11359449",
16/01/2005 6.00,"1,01568807","2,65544678",
16/01/2005 7.00,"0,65647147","2,66842544",
16/01/2005 8.00,"0,68560038","2,86829636",
16/01/2005 9.00,"0,82025932","3,84948887",
16/01/2005 10.00,"1,34816266","3,27453135",
16/01/2005 11.00,"1,49901935","4,71516982",
16/01/2005 12.00,"2,63776036","5,65482795",
16/01/2005 13.00,"2,08851018","4,02989372",
16/01/2005 14.00,"2,58621981","4,02210614",
16/01/2005 15.00,"3,63160835","3,53929746",
