,Bari,,,,,,
,Caldarola,,,,,,
,SO2,NO2,,CO,O3,PM10,BENZENE
,,,,
,,,,
,,,,,
,,,,,
,,,,,
03/01/2009 15.00,"4,18466007","47,42683496",,"0,78798503","30,86055525","12,69338989","2,4341895"
03/01/2009 16.00,"3,3917967","35,00619616",,"0,53521498","33,1955631","12,69338989","1,836702"
03/01/2009 17.00,"3,94626002","10,37388486",,"0,3960569","61,8246111","12,69338989","1,5921135"
03/01/2009 18.00,"3,70424656","9,40048949",,"0,37606666","64,13970885","12,69338989","1,4476995"
03/01/2009 19.00,"3,55073041","9,55104037",,"0,33844066","65,74899555","12,69338989","1,232604"
03/01/2009 20.00,"3,79274387","12,44399579",,"0,37583599","63,2375499","12,69338989","1,181754"
03/01/2009 21.00,"3,52002718","14,64648404",,"0,38664137","60,8627418","12,69338989","1,1883645"
03/01/2009 22.00,"4,13770315","20,47782592",,"0,40134367","54,17612025","12,69338989","1,130904"
03/01/2009 23.00,"3,52183337","18,11180622",,"0,4015755","56,0759787","12,69338989","1,2432825"
04/01/2009 0.00,"3,68618566","28,12486992",,"0,45880613","48,36380745","12,69338989","1,3999005"
04/01/2009 1.00,,"14,78405818",,"0,35144672","64,40372715","18,99850082","1,1446335"
04/01/2009 2.00,"3,63922772",,,"0,36364077","62,8620909","18,99850082","1,0693755"
04/01/2009 3.00,"3,93181048","13,44205597",,,"64,269723","18,99850082","1,05213735"
04/01/2009 4.00,"3,92278054","15,68607668",,"0,30293845","56,5416516","18,99850082","0,981405"
04/01/2009 5.00,"4,32734009","11,43944438",,"0,29873163",,"18,99850082","1,061748"
04/01/2009 6.00,"4,20813955","11,48486202",,"0,29135835","56,71918665","18,99850082","1,0754775"
04/01/2009 7.00,"4,15215167","13,2123349",,"0,29572011","52,7638797","18,99850082","1,050561"
04/01/2009 8.00,"3,77468296","15,11890482",,"0,34216283","48,2146014","18,99850082","1,1415825"
04/01/2009 9.00,"3,61936164","15,69386808",,"0,33648695","48,58062405","18,99850082","1,214298"
04/01/2009 10.00,"4,04378726","18,40901706",,"0,37822075","48,1931352","18,99850082","1,3175235"
04/01/2009 11.00,"3,96973848","20,6828688",,"0,4658171","46,7625207","18,99850082","1,598724"
04/01/2009 12.00,"3,65006487","26,815322",,"0,52167885","43,836933","18,99850082","1,893654"
04/01/2009 13.00,"4,20813955","26,7049996",,"0,49145059","45,9272142","18,99850082","1,9378935"
04/01/2009 14.00,"4,12144844","30,42860048",,"0,52283802","44,0474454","18,99850082","1,8606015"
04/01/2009 15.00,"3,75662206","30,44806464",,"0,49106498","44,00453295","18,99850082","1,8595845"
04/01/2009 16.00,"3,64825868","19,16437752",,"0,35289481","50,7755031","18,99850082","1,4670225"
04/01/2009 17.00,"3,9300053","17,83405381",,"0,33181647","51,64566225","18,99850082","1,2392145"
04/01/2009 18.00,"3,64103391","22,74779056",,"0,39385621","50,0608542","18,99850082","1,217349"
04/01/2009 19.00,"4,0726843","28,44545496",,"0,45809664","47,1580494","18,99850082",
04/01/2009 20.00,"4,0365625","30,03404016",,"0,44292368","46,15917285","18,99850082",
04/01/2009 21.00,"4,15576405","30,7919952",,"0,44964107","46,26778065","18,99850082",
04/01/2009 22.00,"4,15576405","38,55846272",,"0,52330053","41,81905035","18,99850082",
04/01/2009 23.00,"3,85415033","33,31116992",,"0,46859679","45,37749195","18,99850082",
05/01/2009 0.00,"4,36526707","24,20660832",,"0,37262292","53,6635449","18,99850082",
05/01/2009 1.00,"3,99863552","23,80166584",,"0,38119266","53,4744987","55,98711014",
05/01/2009 2.00,"4,09977515","24,47136296",,"0,37810541","48,64498275","55,98711014",
05/01/2009 3.00,"4,56754735","18,91648098",,"0,32108449","51,07984035","55,98711014",
05/01/2009 4.00,"4,2532913","17,40316358",,"0,32386418","50,47248255","55,98711014",
05/01/2009 5.00,"4,28941209","13,39793083",,"0,33702868","51,0074418","55,98711014",
05/01/2009 6.00,"3,91736298","16,45701038",,"0,32394107","47,8445289","55,98711014",
05/01/2009 7.00,"4,27496459","25,13197808",,"0,35142808","39,6496674","55,98711014",
05/01/2009 8.00,"4,95585219","40,80378168",,"0,54766184","27,3439488","55,98711014",
05/01/2009 9.00,"5,17980474","50,53523072",,"0,83365303","19,51779522","55,98711014",
05/01/2009 10.00,"5,08950124","56,21343096",,"1,18365165","22,5707517","55,98711014",
05/01/2009 11.00,"5,4543266","57,98891416",,"1,29858123","23,80831005","55,98711014",
05/01/2009 12.00,"6,22190532","63,32576504",,"1,18481083","26,90818095","55,98711014",
05/01/2009 13.00,"5,87875325","55,06351592",,"0,908933","37,12361835","55,98711014","2,075697"
05/01/2009 14.00,"5,21953791","45,4903996",,"0,7728878","49,00699545","55,98711014","3,73239"
