, Brindisi,,
,Via Dei Mille,,
Parm,SO2,NO2,PM10
,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
06/01/2008 4.00,"1,476957","19,779563","26,86202"
06/01/2008 5.00,"1,50075","19,068334",
06/01/2008 6.00,"1,483755","20,808774","26,37361"
06/01/2008 7.00,"1,482055","22,197496",
06/01/2008 8.00,"1,456561","22,715344","24,908421"
06/01/2008 9.00,"0,782951","23,278618",
06/01/2008 10.00,"0,70729","23,308466","21,97802"
06/01/2008 11.00,"1,480355","24,152097",
06/01/2008 12.00,"1,692806","30,472729","18,07081"
06/01/2008 13.00,"1,888261","32,816687",
06/01/2008 14.00,"2,459328","34,389709","17,582411"
06/01/2008 15.00,"1,753991","30,615496",
06/01/2008 16.00,"1,956245","30,677791","19,53602"
06/01/2008 17.00,"2,520513","30,453264",
06/01/2008 18.00,"2,418537","32,484419","20,51281"
06/01/2008 19.00,"2,658182","32,802406",
06/01/2008 20.00,"2,478023","34,497429","19,53602"
06/01/2008 21.00,"2,66328","37,765478",
06/01/2008 22.00,"2,466126","38,293706","22,46641"
06/01/2008 23.00,"2,649684","37,259295",
07/01/2008 0.00,"2,481423","33,213829","28,81562"
07/01/2008 1.00,"2,10241","30,389672",
07/01/2008 2.00,"1,762489","30,671307","21,48962"
07/01/2008 3.00,"2,525613","26,836086",
07/01/2008 4.00,"2,116008","26,297475","15,14041"
07/01/2008 5.00,"2,144901","27,063212",
07/01/2008 6.00,"2,014031","27,727728","11,72161"
07/01/2008 7.00,"2,860434","30,224838",
07/01/2008 8.00,"3,451897","33,224212","14,65201"
07/01/2008 9.00,"5,224584","38,298888",
07/01/2008 10.00,"7,066956","43,047799","28,81562"
07/01/2008 11.00,"4,468259","43,79409",
07/01/2008 12.00,"3,334624","42,955661","23,44322"
07/01/2008 13.00,"3,224149","38,724596",
07/01/2008 14.00,"3,314229","40,876475","10,25641"
07/01/2008 15.00,"3,30743","40,622081",
07/01/2008 16.00,"3,339723","43,552683","10,74481"
