,Provincia di TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO,NO2



01/01/2006 1.00,"2,458016",,,
01/01/2006 2.00,"2,246086",,,
01/01/2006 3.00,"1,734378",,,
01/01/2006 4.00,"1,745245",,,
01/01/2006 5.00,"1,773322",,,
01/01/2006 6.00,"1,740717",,,
01/01/2006 7.00,"1,752491",,,
01/01/2006 8.00,"1,735283",,,
01/01/2006 9.00,"2,03144",,,
01/01/2006 10.00,"1,659206",,,
01/01/2006 11.00,"1,437314",,,
01/01/2006 12.00,"1,525165",,,
01/01/2006 13.00,"1,120326",,,
01/01/2006 14.00,"1,189158",,,
01/01/2006 15.00,"1,22629",,,
01/01/2006 16.00,"1,910985",,,
01/01/2006 17.00,"2,540432",,,
01/01/2006 18.00,"2,026911",,,
01/01/2006 19.00,"2,512356",,,
01/01/2006 20.00,"2,170914",,,
01/01/2006 21.00,"2,452582",,,
01/01/2006 22.00,"1,641092",,,
01/01/2006 23.00,"1,70449",,,
02/01/2006 0.00,"1,63113",,,
02/01/2006 1.00,,,,
02/01/2006 2.00,"0,581308",,,
02/01/2006 3.00,"0,773178",,,
02/01/2006 4.00,"0,600708",,,
02/01/2006 5.00,"0,641112",,,
02/01/2006 6.00,"0,664606",,,
02/01/2006 7.00,"0,51563",,,
02/01/2006 8.00,"0,481635",,,
02/01/2006 9.00,"0,444791",,,
02/01/2006 10.00,"0,319133",,,
02/01/2006 11.00,"0,217501",,,
02/01/2006 12.00,"0,290476",,,
02/01/2006 13.00,"0,293324",,,
02/01/2006 14.00,"0,407948",,,
02/01/2006 15.00,"0,539837",,,
02/01/2006 16.00,"0,382318",,,
02/01/2006 17.00,"0,792224",,,
02/01/2006 18.00,"1,175253",,,
02/01/2006 19.00,"1,437785",,,
02/01/2006 20.00,"0,837432",,,
02/01/2006 21.00,"1,045499",,,
02/01/2006 22.00,"1,420698",,,
02/01/2006 23.00,"1,679314",,,
03/01/2006 0.00,"1,191806",,,
03/01/2006 1.00,"0,796495",,,
03/01/2006 2.00,"0,511537",,,
03/01/2006 3.00,"0,433935",,,
03/01/2006 4.00,"0,604625",,,
03/01/2006 5.00,"0,67671",,,
03/01/2006 6.00,"0,720317",,,
03/01/2006 7.00,"0,959353",,,
03/01/2006 8.00,"1,146063",,,
03/01/2006 9.00,"1,421944",,,
03/01/2006 10.00,"0,567959",,,
03/01/2006 11.00,"0,557457",,,
03/01/2006 12.00,"0,596971",,,
03/01/2006 13.00,"0,617974",,,
03/01/2006 14.00,"0,599996",,,
03/01/2006 15.00,"0,779408",,,
03/01/2006 16.00,"0,765525",,,
03/01/2006 17.00,"1,205155","41,739207","13,114611","21,645905"
03/01/2006 18.00,"1,568072","77,163483","24,120445","40,208058"
03/01/2006 19.00,"1,093557","39,025964","12,064881","20,541418"
03/01/2006 20.00,"1,127908","32,215537","10,863721","15,569273"
03/01/2006 21.00,"1,460746","29,682557","10,450929","13,667891"
03/01/2006 22.00,"0,855409","25,698254","9,983155","10,398549"
03/01/2006 23.00,"0,633637","17,117472","8,143351","4,634701"
04/01/2006 0.00,"0,522038","19,484446","8,046919","7,151275"
04/01/2006 1.00,,"19,776256","8,103596","7,356339"
04/01/2006 2.00,"1,230579","15,868484","7,475102","4,41017"
04/01/2006 3.00,"1,025672","16,618136","7,763549","4,717766"
04/01/2006 4.00,"1,100354","17,121363","8,002934","4,854042"
04/01/2006 5.00,"1,024447","19,136844","7,949643","6,952701"
04/01/2006 6.00,"1,226966","28,080798","10,091429","12,656841"
04/01/2006 7.00,"1,683304","43,82344","14,117848","22,224744"
04/01/2006 8.00,"7,067629","72,718753","26,405188","32,254693"
04/01/2006 9.00,"5,701391","62,147131","20,500904","30,734901"
04/01/2006 10.00,"1,319028","26,014709","7,672194","14,261011"
04/01/2006 11.00,"10,280324","19,331391","7,563919","7,739212"
04/01/2006 12.00,"0,974907","25,200216","10,716529","8,774913"
04/01/2006 13.00,"0,90981","21,435088","10,66917","5,079872"
04/01/2006 14.00,"0,880934","21,457133","11,220688","4,255722"
04/01/2006 15.00,"0,978461","23,419456","12,344863","4,494531"
04/01/2006 16.00,"1,20448","24,588032","12,042888","6,127254"
04/01/2006 17.00,"2,027156","75,749789","25,055995","37,357935"
04/01/2006 18.00,"2,446346","66,349324","21,680068","33,130772"
04/01/2006 19.00,"1,641797","43,206112","12,503893","24,07422"
04/01/2006 20.00,"1,468901","35,880782","11,1454","18,804864"
04/01/2006 21.00,"1,287464","30,915949","10,016145","15,569273"
04/01/2006 22.00,"1,270801","28,547708","9,651568","13,758736"
04/01/2006 23.00,"1,087574","24,258594","9,22355","10,123403"
05/01/2006 0.00,"1,038273","22,345562","8,830211","8,812553"
05/01/2006 1.00,"1,12281","23,765757","8,491011","10,754168"
05/01/2006 2.00,"1,193223","20,671167","7,199341","9,639296"
05/01/2006 3.00,"1,548003","34,149334","6,948114","23,512246"
05/01/2006 4.00,"1,394516","25,629498","6,114069","16,266226"
05/01/2006 5.00,"1,304784","23,012219","5,732574","14,232459"
05/01/2006 6.00,"1,460928","33,015783","6,084463","23,703026"
05/01/2006 7.00,"1,688291","35,647347","6,702807","25,38767"
05/01/2006 8.00,"1,297527","16,243311","6,043861","6,981255"
05/01/2006 9.00,"1,744221","45,235872","10,252139","29,536958"
05/01/2006 10.00,"1,491267","37,638177","9,519609","23,057993"
05/01/2006 11.00,"1,382363","28,25848","8,562912","15,139675"
05/01/2006 12.00,"1,048038","18,842447","8,300687","6,119467"
05/01/2006 13.00,"1,577178","29,676074","12,073337","11,172077"
05/01/2006 14.00,"2,413947","33,172682","13,296486","12,794415"
05/01/2006 15.00,"4,558007","48,449772","16,198717","23,629049"
05/01/2006 16.00,"4,380632","35,543583","14,110229","13,918373"
05/01/2006 17.00,"3,184902","35,883382","13,73381","14,835974"
