Stat,Galatina-VIALE STUDENTI,,,,,,,  ,
,,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,,,,
03/01/2014 23.00,"4,7","31,3","68,3","1,5","9,2","39,1",,,
04/01/2014 0.00,"4,5","25,7","55,3","1,5","8,9","39,1",,,
04/01/2014 1.00,"3,4","22,9","31,7","1,2","8,0","32,0",,,
04/01/2014 2.00,"3,2",,,"1,2","7,7","32,0",,,
04/01/2014 3.00,"3,7","19,6","31,1",,"8,0","32,0",,,
04/01/2014 4.00,,"17,7","28,6","1,1","9,6","32,0",,,
04/01/2014 5.00,"3,1","14,4","19,5","1,0",,"32,0",,,
04/01/2014 6.00,"2,9","11,8","13,9","0,9","16,5","32,0",,,
04/01/2014 7.00,"3,2","12,2","14,4","0,9","11,5","32,0",,,
04/01/2014 8.00,"3,1","14,4","18,5","1,0","7,6","32,0",,,
04/01/2014 9.00,"3,6","16,2","29,6","1,0","6,9","32,0",,,
04/01/2014 10.00,"3,6","16,9","34,8","0,9","10,5","32,0",,,
04/01/2014 11.00,"3,5","22,0","35,6","0,9","16,5","32,0",,,
04/01/2014 12.00,"3,1","14,1","18,0","0,7","50,5","32,0",,,
04/01/2014 13.00,"3,1","7,4","8,1","0,6","69,4","32,0",,,
04/01/2014 14.00,"3,6","5,9","6,8","0,6","72,2","32,0",,,
04/01/2014 15.00,"4,0","6,3","7,0","0,6","74,1","32,0",,,
04/01/2014 16.00,"3,7","4,3","4,7","0,6","75,5","32,0",,,
04/01/2014 17.00,"3,6","3,5","4,2","0,6","72,6","32,0",,,
04/01/2014 18.00,"3,6","4,6","5,4","0,6","63,4","32,0",,,
04/01/2014 19.00,"4,0","10,2","11,1","0,8","49,1","32,0",,,
04/01/2014 20.00,"3,8","11,9","12,6","0,7","41,3","32,0",,,
04/01/2014 21.00,"4,1","11,1","11,7","0,7","40,3","32,0",,,
