,Provincia di TARANTO,,,,,
,TAR v.Alto Adige,,,,,
Parm,SO2,NOX,NO2,PM10,PM2.5,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K


01/01/2009 1.00,"1,077679","94,022866","62,096673","60,400002","46,200001",
01/01/2009 2.00,"0,922491","98,212097","71,964409","60,400002","46,200001",
01/01/2009 3.00,"1,012343","87,958212","69,656777","60,400002","46,200001",
01/01/2009 4.00,"0,699229","56,876225","51,944735","60,400002","46,200001",
01/01/2009 5.00,"0,318955","45,342218","43,130874","60,400002","46,200001",
01/01/2009 6.00,"0,332581","28,506198","28,363679","60,400002","46,200001",
01/01/2009 7.00,"0,298696","34,133769","33,241093","60,400002","46,200001",
01/01/2009 8.00,"0,246135","35,923592","35,191793","60,400002","46,200001",
01/01/2009 9.00,"0,459908","37,293196","35,513657","60,400002","46,200001",
01/01/2009 10.00,"0,33757","36,640822","32,936092","60,400002","46,200001",
01/01/2009 11.00,"0,503343","44,33448","37,655139","60,400002","46,200001",
01/01/2009 12.00,"0,610533","65,743641","50,405443","60,400002","46,200001",
01/01/2009 13.00,"0,986124","99,178345","67,799538","60,400002","46,200001",
01/01/2009 14.00,"0,930643","90,31353","64,436733","60,400002","46,200001",
01/01/2009 15.00,"0,876257","30,376441","29,231955","60,400002","46,200001",
01/01/2009 16.00,"0,832943","48,47828","42,918033","60,400002","46,200001",
01/01/2009 17.00,"0,837871","67,554193","54,088813","60,400002","46,200001",
01/01/2009 18.00,"1,191136","175,823064","84,669263","60,400002","46,200001",
01/01/2009 19.00,"1,130666","151,972982","78,025467","60,400002","46,200001",
01/01/2009 20.00,"1,087535","173,632444","84,675747","60,400002","46,200001",
01/01/2009 21.00,"0,684386","43,499224","41,914766","60,400002","46,200001",
01/01/2009 22.00,"0,389522","33,149375","32,315705","60,400002","46,200001",
01/01/2009 23.00,"0,364945","25,248189","25,234519","60,400002","46,200001",
02/01/2009 0.00,"0,347363","67,131391","49,285394","60,400002","46,200001",
02/01/2009 1.00,,"90,626101","60,358818","27,29999","18,200001",
02/01/2009 2.00,"0,780434",,,"27,29999","18,200001",
02/01/2009 3.00,"0,74737","8,780517","8,786594","27,29999","18,200001",
02/01/2009 4.00,"0,511932","8,588566","7,872891","27,29999","18,200001",
02/01/2009 5.00,"0,513023","8,135921","8,133765","27,29999","18,200001",
02/01/2009 6.00,"0,597679","22,258661","20,673786","27,29999","18,200001",
02/01/2009 7.00,"0,68088","87,478337","59,502224","27,29999","18,200001",
02/01/2009 8.00,"0,943205","139,688042","77,665953","27,29999","18,200001",
02/01/2009 9.00,"1,056927","119,259392","70,017589","27,29999","18,200001",
02/01/2009 10.00,"0,954832","81,426629","56,944119","27,29999","18,200001",
02/01/2009 11.00,"1,117604","104,877235","67,028601","27,29999","18,200001",
02/01/2009 12.00,"0,990802","130,506775","73,498486","27,29999","18,200001",
02/01/2009 13.00,"0,944659","86,934891","60,295224","27,29999","18,200001",
02/01/2009 14.00,"0,963552","76,02215","56,434056","27,29999","18,200001",
02/01/2009 15.00,"0,854189","47,190395","41,482578","27,29999","18,200001",
02/01/2009 16.00,"0,786973","60,553133","52,387288","27,29999","18,200001",
02/01/2009 17.00,"0,933759","107,578851","71,323242","27,29999","18,200001",
02/01/2009 18.00,"0,976268","98,221178","71,816442","27,29999","18,200001",
02/01/2009 19.00,"0,957375","94,16812","69,695725","27,29999","18,200001",
02/01/2009 20.00,"0,915229","82,315061","61,294585","27,29999","18,200001",
02/01/2009 21.00,"0,927582","104,030312","68,149949","27,29999","18,200001",
02/01/2009 22.00,"0,821127","84,90773","60,501607","27,29999","18,200001",
02/01/2009 23.00,"0,884346","56,947561","49,916142","27,29999","18,200001",
03/01/2009 0.00,"0,870176","52,36924","46,576721","27,29999","18,200001",
03/01/2009 1.00,"0,695414","40,61086","37,616209","19,1","14,4",
03/01/2009 2.00,"0,556622","27,877169","27,352631","19,1","14,4",
03/01/2009 3.00,"0,748097","20,18091","19,858738","19,1","14,4",
03/01/2009 4.00,"0,76263","20,90334","20,582946","19,1","14,4",
03/01/2009 5.00,"0,798236","17,334066","17,34606","19,1","14,4",
03/01/2009 6.00,"0,718667","25,613935","25,350022","19,1","14,4",
03/01/2009 7.00,"0,809136","60,509043","46,170498","19,1","14,4",
03/01/2009 8.00,"1,014781","128,606678","57,934403","19,1","14,4",
03/01/2009 9.00,"1,597199","178,749034","67,458186","19,1","14,4",
03/01/2009 10.00,"1,883504","227,520349","76,183793","19,1","14,4",
03/01/2009 11.00,"1,692756","157,926116","74,05916","19,1","14,4",
03/01/2009 12.00,"1,232416","93,277092","54,537868","19,1","14,4",
03/01/2009 13.00,"1,070008","97,308102","56,735176","19,1","14,4",
03/01/2009 14.00,"1,122328","90,010039","60,253694","19,1","14,4",
03/01/2009 15.00,"0,725207","44,591281","38,16522","19,1","14,4",
03/01/2009 16.00,"0,83021","66,006907","49,302257","19,1","14,4",
03/01/2009 17.00,"0,767717","80,828728","63,197278","19,1","14,4",
03/01/2009 18.00,"0,857096","74,636967","57,798113","19,1","14,4",
03/01/2009 19.00,"0,804776","87,512049","60,706669","19,1","14,4",
03/01/2009 20.00,"0,78334","58,393683","50,049828","19,1","14,4",
03/01/2009 21.00,"0,560618","54,042334","44,562427","19,1","14,4",
03/01/2009 22.00,"0,632921","33,472292","30,436381","19,1","14,4",
03/01/2009 23.00,"0,550808","17,737426","17,579676","19,1","14,4",
04/01/2009 0.00,"0,678701","25,141843","23,888623","19,1","14,4",
04/01/2009 1.00,,"26,166446","24,345477","22,4","12,7",
04/01/2009 2.00,"0,826145",,,"22,4","12,7",
04/01/2009 3.00,"1,058819","15,960571","15,84442","22,4","12,7",
04/01/2009 4.00,"0,97693","6,514704","6,519212","22,4","12,7",
04/01/2009 5.00,"0,996269","10,278523","10,197382","22,4","12,7",
04/01/2009 6.00,"0,986297","19,802201","19,815891","22,4","12,7",
04/01/2009 7.00,"0,940367","28,842118","28,679062","22,4","12,7",
04/01/2009 8.00,"0,972397","39,38391","37,570798","22,4","12,7",
04/01/2009 9.00,"1,250095","56,456006","50,73769","22,4","12,7",
04/01/2009 10.00,"1,062445","56,743932","48,546903","22,4","12,7",
04/01/2009 11.00,"1,088432","63,594552","49,189335","22,4","12,7",
04/01/2009 12.00,"1,28968","44,877909","37,291741","22,4","12,7",
04/01/2009 13.00,"1,514498","44,499198","37,001021","22,4","12,7",
04/01/2009 14.00,"1,476122","33,380231","30,776431","22,4","12,7",
04/01/2009 15.00,"1,402391","22,074499","21,565428","22,4","12,7",
