Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
02/04/2014 23.00,"37,8","42,0","0,8",,"6,2","15,0"
03/04/2014 0.00,"37,1","43,3","0,7","40,0","5,6","15,0"
03/04/2014 1.00,"33,3","36,1","0,7",,"4,7","13,6"
03/04/2014 2.00,"37,6","42,2","0,8","26,4","4,3","13,6"
03/04/2014 3.00,"30,0","30,9","0,8",,"3,9","13,6"
03/04/2014 4.00,"42,4","56,3","0,9","21,7","4,1","13,6"
03/04/2014 5.00,"42,4","51,9","0,9",,"4,1","13,6"
03/04/2014 6.00,"68,9","131,5","1,0","27,8","3,9","13,6"
03/04/2014 7.00,"83,0","187,3","1,5",,"4,9","13,6"
03/04/2014 8.00,"71,7","113,4","1,4","49,3","6,6","13,6"
03/04/2014 9.00,"36,7","45,2","1,0",,"6,4","13,6"
03/04/2014 10.00,"28,8","36,3","0,7","33,2","5,5","13,6"
03/04/2014 11.00,"23,3","32,1","0,8",,"5,2","13,6"
03/04/2014 12.00,"27,8","37,5","0,8","26,1","4,8","13,6"
03/04/2014 13.00,"30,3","41,7","0,7",,"4,7","13,6"
03/04/2014 14.00,"19,6","26,0","0,5","18,6","4,2","13,6"
03/04/2014 15.00,"19,6","26,3","0,5",,"3,7","13,6"
03/04/2014 16.00,"25,8","35,6","0,7","18,6","4,5","13,6"
03/04/2014 17.00,"24,4","34,2","0,7",,"4,3","13,6"
03/04/2014 18.00,"29,6","40,7","0,7","11,5","4,4","13,6"
03/04/2014 19.00,"32,9","43,8","0,8",,"4,7","13,6"
03/04/2014 20.00,"39,7","53,9","0,9","18,1","4,0","13,6"
03/04/2014 21.00,"34,6","45,4","0,8",,"5,5","13,6"
03/04/2014 22.00,"18,2","21,4","0,7","22,7","5,1","13,6"
03/04/2014 23.00,"9,2","11,0","0,7",,"4,3","13,6"
04/04/2014 0.00,"7,4","8,2","0,4","22,7","4,0","13,6"
04/04/2014 1.00,"4,1","5,0","0,4",,"3,4","9,8"
04/04/2014 2.00,"3,6","4,0","0,4","13,7","3,6","9,8"
04/04/2014 3.00,"3,7","4,4","0,5",,"3,3","9,8"
04/04/2014 4.00,"3,1","4,2",,"18,8","3,4","9,8"
04/04/2014 5.00,"4,2","5,4","0,4",,"4,0","9,8"
04/04/2014 6.00,"4,0","5,7","0,4","20,8","3,3","9,8"
04/04/2014 7.00,"11,8","18,3","0,4",,"3,2","9,8"
04/04/2014 8.00,"18,3","29,3","0,5","28,6","3,2","9,8"
04/04/2014 9.00,"17,9","28,3","0,5",,"3,7","9,8"
04/04/2014 10.00,"13,4","21,4","0,5","24,2","3,9","9,8"
04/04/2014 11.00,"17,7","31,0","0,6",,"3,8","9,8"
04/04/2014 12.00,"17,5","28,4","0,5","30,0","4,0","9,8"
04/04/2014 13.00,"14,3","23,7","0,5",,"4,4","9,8"
04/04/2014 14.00,"10,1","15,1","0,5","31,0","3,4","9,8"
04/04/2014 15.00,"12,5","19,1","0,5",,"3,3","9,8"
04/04/2014 16.00,"17,7","26,5","0,7","16,4","3,4","9,8"
04/04/2014 17.00,"21,8","31,6","0,7",,"3,6","9,8"
04/04/2014 18.00,"27,8","42,0","0,7","33,7","3,7","9,8"
04/04/2014 19.00,"35,0","49,9","0,8",,"4,1","9,8"
04/04/2014 20.00,"21,0","26,4","0,6","19,0","4,1","9,8"
04/04/2014 21.00,"12,2","13,1","0,5",,"3,3","9,8"
04/04/2014 22.00,"15,7","17,0","0,5","5,9","3,6","9,8"
04/04/2014 23.00,"19,0","21,3","0,5",,"2,7","9,8"
05/04/2014 0.00,"21,7","26,1","0,5","4,9","3,0","9,8"
05/04/2014 1.00,"17,2","20,1","0,5",,"2,8","4,3"
05/04/2014 2.00,"31,9","47,5","0,5","26,9","2,8","4,3"
05/04/2014 3.00,"20,0","20,9","0,4",,"2,8","4,3"
05/04/2014 4.00,"23,4","33,8","0,5","23,0","3,0","4,3"
05/04/2014 5.00,"36,5","52,8","0,6",,"2,5","4,3"
05/04/2014 6.00,"48,2","74,2","0,8","29,3","3,7","4,3"
05/04/2014 7.00,"51,6","99,1","0,9",,"3,7","4,3"
05/04/2014 8.00,"45,8","76,0","1,1","24,9","6,4","4,3"
05/04/2014 9.00,"25,5","28,4","0,7",,"4,4","4,3"
05/04/2014 10.00,"21,1","24,2","0,6","36,9","3,8","4,3"
05/04/2014 11.00,"16,8","20,8","0,6",,"3,4","4,3"
05/04/2014 12.00,"21,4","28,4","0,4","19,5","3,5","4,3"
05/04/2014 13.00,"25,7","34,9","0,5",,"4,8","4,3"
05/04/2014 14.00,"16,8","18,6","0,4","10,7","3,7","4,3"
05/04/2014 15.00,"12,5","14,9","0,4",,"3,0","4,3"
05/04/2014 16.00,"12,9","14,0","0,4","13,2","2,7","4,3"
05/04/2014 17.00,"12,7","14,1","0,4",,"3,0","4,3"
05/04/2014 18.00,"20,0","21,7","0,4","15,4","2,8","4,3"
05/04/2014 19.00,"21,7","24,3","0,5",,"2,8","4,3"
05/04/2014 20.00,"20,7","22,1","0,5","21,2","3,0","4,3"
05/04/2014 21.00,"16,7","18,2","0,5",,"2,8","4,3"
05/04/2014 22.00,"17,0","18,9","0,6","22,0","2,9","4,3"
05/04/2014 23.00,"12,9","13,9","0,5",,"3,4","4,3"
06/04/2014 0.00,"25,6","29,6","0,5","22,0","2,9","4,3"
06/04/2014 1.00,"37,6","43,8","0,6",,"3,2","9,4"
06/04/2014 2.00,"19,7","20,8","0,5","16,1","2,5","9,4"
06/04/2014 3.00,"13,1","13,9","0,5",,"2,6","9,4"
06/04/2014 4.00,"10,9","11,6",,"19,0","2,2","9,4"
06/04/2014 5.00,"11,6","12,6","0,4",,"2,9","9,4"
06/04/2014 6.00,"10,2","10,5","0,4","22,7","2,5","9,4"
06/04/2014 7.00,"10,9","11,8","0,4",,"2,5","9,4"
06/04/2014 8.00,"7,5","8,0","0,4","29,5","2,4","9,4"
06/04/2014 9.00,"6,1","7,4","0,5",,"2,4","9,4"
06/04/2014 10.00,"7,0","8,7","0,5","16,6","2,3","9,4"
06/04/2014 11.00,"4,1","5,6","0,5",,"2,4","9,4"
06/04/2014 12.00,"3,2","4,5","0,5","17,6","2,4","9,4"
06/04/2014 13.00,"4,4","5,9","0,6",,"2,7","9,4"
06/04/2014 14.00,"2,5","3,4","0,5","24,2","2,4","9,4"
06/04/2014 15.00,"2,6","3,4","0,5",,"2,3","9,4"
06/04/2014 16.00,"4,5","5,6","0,5","17,3","2,4","9,4"
06/04/2014 17.00,"7,0","9,8","0,6",,"2,3","9,4"
06/04/2014 18.00,"5,5","6,8","0,5","14,9","2,4","9,4"
06/04/2014 19.00,"10,4","11,4","0,6",,"2,3","9,4"
06/04/2014 20.00,"17,7","19,5","0,6","22,7","2,4","9,4"
06/04/2014 21.00,"16,8","19,2","0,7",,"3,1","9,4"
06/04/2014 22.00,"19,4","24,7","0,7","27,8","2,7","9,4"
06/04/2014 23.00,"12,4","13,6","0,7",,"2,4","9,4"
07/04/2014 0.00,"11,2","12,5","0,7","29,3","2,4","9,4"
07/04/2014 1.00,"10,9","11,9","0,6",,"2,5","17,1"
07/04/2014 2.00,"8,8","10,0","0,6","19,0","2,2","17,1"
07/04/2014 3.00,"5,9","6,4","0,7",,"2,0","17,1"
07/04/2014 4.00,"5,6","6,3","0,7","13,2","1,7","17,1"
07/04/2014 5.00,"8,6","10,9","0,7",,"1,7","17,1"
07/04/2014 6.00,"16,7","19,9","0,8","18,8","2,0","17,1"
07/04/2014 7.00,"27,4","39,7","0,8",,"2,6","17,1"
07/04/2014 8.00,"29,3","43,0","0,8","29,3","3,3","17,1"
07/04/2014 9.00,"28,2","43,0","0,8",,"3,9","17,1"
07/04/2014 10.00,"16,0","22,5","0,6","40,3","4,2","17,1"
07/04/2014 11.00,"8,6","13,0","0,6",,"3,1","17,1"
07/04/2014 12.00,"7,3","10,7","0,5","27,4","2,8","17,1"
07/04/2014 13.00,"4,6","6,5","0,5",,"2,9","17,1"
07/04/2014 14.00,"5,4","7,7","0,5","20,5","2,9","17,1"
07/04/2014 15.00,"5,9","8,6","0,5",,"3,0","17,1"
07/04/2014 16.00,"7,0","9,9","0,5","24,2","2,6","17,1"
07/04/2014 17.00,"11,6","15,3","0,6",,"2,6","17,1"
07/04/2014 18.00,"15,4","19,0","0,5","14,2","2,9","17,1"
07/04/2014 19.00,"21,6","25,0","0,6",,"3,0","17,1"
07/04/2014 20.00,"25,7","29,8","0,6","22,2","3,2","17,1"
07/04/2014 21.00,"16,0","18,0","0,5",,"3,1","17,1"
07/04/2014 22.00,"14,2","16,6","0,5","28,8","3,2","17,1"
07/04/2014 23.00,"12,1","13,7","0,6",,"3,0","17,1"
08/04/2014 0.00,"8,8","9,8","0,6","29,8","3,3","17,1"
08/04/2014 1.00,"6,0","6,8","0,5",,"3,0","17,5"
08/04/2014 2.00,"4,7","5,4","0,3","22,5","3,0","17,5"
08/04/2014 3.00,"3,2","3,9","0,2",,"2,6","17,5"
08/04/2014 4.00,"2,9","3,2",,"29,5","2,5","17,5"
08/04/2014 5.00,"6,3","7,6","0,2",,"2,6","17,5"
08/04/2014 6.00,"11,4","13,8","0,2","24,2","2,6","17,5"
08/04/2014 7.00,"24,3","31,9","0,3",,"3,2","17,5"
08/04/2014 8.00,"23,1","32,0","0,3","24,9","3,4","17,5"
08/04/2014 9.00,"29,3","41,9","0,3",,"3,7","17,5"
08/04/2014 10.00,"18,6","24,7","0,2","32,7","3,8","17,5"
08/04/2014 11.00,"13,3","17,3","0,2",,"3,5","17,5"
08/04/2014 12.00,"11,5","15,4","0,4","30,3","3,7","17,5"
08/04/2014 13.00,"8,8","11,4","0,5",,"4,0","17,5"
08/04/2014 14.00,"6,4","8,2","0,3","21,0","3,7","17,5"
08/04/2014 15.00,"9,0","10,8","0,4",,"3,6","17,5"
08/04/2014 16.00,"15,3","16,3","0,6","28,8","3,7","17,5"
08/04/2014 17.00,"20,1","22,9","0,5",,"3,6","17,5"
08/04/2014 18.00,"24,6","27,1","0,6","36,4","4,1","17,5"
08/04/2014 19.00,"58,1","79,6","0,9",,"4,5","17,5"
08/04/2014 20.00,"77,9","110,4","1,1","19,8","5,9","17,5"
08/04/2014 21.00,"63,1","82,0","0,9",,"6,6","17,5"
08/04/2014 22.00,"37,1","41,1","0,6","29,3","5,0","17,5"
08/04/2014 23.00,"11,4","11,6","0,3",,"3,9","17,5"
09/04/2014 0.00,"7,4","8,5","0,4","24,7","3,2","17,5"
09/04/2014 1.00,"6,6","7,2","0,5",,"2,8","13,4"
09/04/2014 2.00,"6,4","7,1","0,5","23,0","3,1","13,4"
09/04/2014 3.00,"7,8","8,4","0,4",,"3,0","13,4"
09/04/2014 4.00,"20,9","23,2","0,4","16,8","2,6","13,4"
09/04/2014 5.00,"25,4","27,9","0,4",,"2,8","13,4"
09/04/2014 6.00,"22,4","24,9","0,4","23,0","3,0","13,4"
09/04/2014 7.00,"46,2","58,4","0,6",,"2,9","13,4"
09/04/2014 8.00,"57,3","90,9","0,9","30,8","3,9","13,4"
09/04/2014 9.00,"26,8","35,8","0,6",,"4,2","13,4"
09/04/2014 10.00,"20,3","25,7","0,5","30,5","3,6","13,4"
09/04/2014 11.00,,,"0,6",,"3,7","13,4"
09/04/2014 12.00,"19,9","23,1","0,7","33,5","3,3","13,4"
09/04/2014 13.00,"12,9","15,1","0,7",,"3,1","13,4"
09/04/2014 14.00,"12,6","14,0","0,7","26,4","3,0","13,4"
09/04/2014 15.00,"14,5","16,3","0,7",,"3,1","13,4"
09/04/2014 16.00,"17,1","19,9","0,6","23,7","3,4","13,4"
09/04/2014 17.00,"15,4","17,5","0,6",,"3,6","13,4"
09/04/2014 18.00,"20,3","22,0","0,8","8,3","3,1","13,4"
09/04/2014 19.00,"25,5","27,3","0,8",,"3,4","13,4"
09/04/2014 20.00,"18,4","20,3","0,7","17,8","3,3","13,4"
09/04/2014 21.00,"9,4","9,2","0,6",,"2,7","13,4"
09/04/2014 22.00,"8,0","7,9","0,5","15,4","2,7","13,4"
09/04/2014 23.00,"6,8","6,7","0,6",,"2,7","13,4"
10/04/2014 0.00,"3,9","3,8","0,3","14,7","2,4","13,4"
10/04/2014 1.00,"4,6","4,8","0,3",,"2,2","8,4"
10/04/2014 2.00,"3,6","3,9","0,3","15,1","2,0","8,4"
10/04/2014 3.00,"3,7","3,6","0,4",,"1,9","8,4"
10/04/2014 4.00,"3,8","3,9",,"10,0","2,0","8,4"
10/04/2014 5.00,"3,6","3,6","0,3",,"2,1","8,4"
10/04/2014 6.00,"4,7","5,1","0,3","10,0","2,4","8,4"
10/04/2014 7.00,"5,5","5,7","0,3",,"2,5","8,4"
10/04/2014 8.00,"7,6","8,7","0,3","16,4","2,5","8,4"
10/04/2014 9.00,"7,4","8,7","0,3",,"2,7","8,4"
10/04/2014 10.00,"5,8","6,8","0,3","20,5","2,5","8,4"
10/04/2014 11.00,"7,3","9,1","0,3",,"2,7","8,4"
10/04/2014 12.00,"7,6","10,0","0,3","12,5","2,6","8,4"
10/04/2014 13.00,"6,7","8,3","0,3",,"2,8","8,4"
10/04/2014 14.00,"5,5","6,8","0,3","15,6","2,7","8,4"
10/04/2014 15.00,"6,0","7,3","0,3",,"2,7","8,4"
10/04/2014 16.00,"6,7","8,2","0,4","10,7","3,0","8,4"
10/04/2014 17.00,"9,2","11,4","0,4",,"3,4","8,4"
10/04/2014 18.00,"11,3","13,6","0,4","10,0","3,6","8,4"
10/04/2014 19.00,"34,4","43,8","0,4",,"3,7","8,4"
10/04/2014 20.00,"39,1","48,7","0,4","6,8","3,7","8,4"
10/04/2014 21.00,"28,7","32,9","0,4",,"3,4","8,4"
10/04/2014 22.00,"22,2","23,5","0,4","5,4","3,6","8,4"
10/04/2014 23.00,"18,6","19,3","0,4",,"3,4","8,4"
11/04/2014 0.00,"18,2","18,8","0,4","15,1","3,4","8,4"
11/04/2014 1.00,"16,8","17,0","0,4",,"2,9","8,7"
11/04/2014 2.00,"13,1","13,4","0,5","11,7","3,0","8,7"
11/04/2014 3.00,"17,0","17,0","0,4",,"3,4","8,7"
11/04/2014 4.00,"13,5","14,2","0,5","6,8","4,7","8,7"
11/04/2014 5.00,"17,4","18,7","0,5",,"4,3","8,7"
11/04/2014 6.00,"30,7","35,2","0,5","7,3","3,7","8,7"
11/04/2014 7.00,"39,2","50,3","0,5",,"4,0","8,7"
11/04/2014 8.00,"40,1","53,9","0,5","12,0","4,2","8,7"
11/04/2014 9.00,"28,5","36,7","0,5",,"4,7","8,7"
11/04/2014 10.00,"23,8","25,3","0,4","14,4","5,0","8,7"
11/04/2014 11.00,"24,4","27,8","0,4",,"3,6","8,7"
11/04/2014 12.00,"27,4","32,3","0,4","14,9","3,6","8,7"
11/04/2014 13.00,"17,7","18,8","0,4",,"4,2","8,7"
11/04/2014 14.00,"10,1","10,2","0,3","13,2","3,9","8,7"
11/04/2014 15.00,"6,6","6,8","0,3",,"3,1","8,7"
11/04/2014 16.00,"9,0","9,9","0,3","21,7","3,4","8,7"
11/04/2014 17.00,"11,9","13,0","0,3",,"3,1","8,7"
11/04/2014 18.00,"8,9","9,0","0,3","13,2","3,7","8,7"
11/04/2014 19.00,"12,8","13,1","0,3",,"3,4","8,7"
11/04/2014 20.00,"49,7","61,4","0,5","7,8","3,1","8,7"
11/04/2014 21.00,"65,4","85,6","0,5",,"4,0","8,7"
11/04/2014 22.00,"39,7","46,1","0,5","16,8","4,9","8,7"
11/04/2014 23.00,"29,8","33,0","0,5",,"5,2","8,7"
12/04/2014 0.00,"28,8","30,8","0,5","23,4","4,8","8,7"
12/04/2014 1.00,"23,5","24,9","0,5",,"4,4","9,5"
12/04/2014 2.00,"22,9","25,9","0,5","23,0","3,8","9,5"
12/04/2014 3.00,"15,4","16,0","0,4",,"3,5","9,5"
12/04/2014 4.00,"14,2","14,5",,"22,2","3,3","9,5"
12/04/2014 5.00,"17,0","18,5","0,4",,"3,3","9,5"
12/04/2014 6.00,"33,6","40,4","0,4","17,6","3,3","9,5"
12/04/2014 7.00,"53,1","76,3","0,7",,"4,5","9,5"
12/04/2014 8.00,"50,9","64,6","0,6","17,1","4,4","9,5"
12/04/2014 9.00,"36,8","42,6","0,6",,"3,9","9,5"
12/04/2014 10.00,"26,1","29,0","0,5","27,6","3,7","9,5"
12/04/2014 11.00,"18,2","20,1","0,4",,"3,7","9,5"
12/04/2014 12.00,"19,6","22,0","0,4","15,1","4,2","9,5"
12/04/2014 13.00,"22,0","24,2","0,4",,"7,4","9,5"
12/04/2014 14.00,"17,0","18,6","0,3","8,5","8,1","9,5"
12/04/2014 15.00,"13,7","14,6","0,4",,"6,2","9,5"
12/04/2014 16.00,"12,5","14,0","0,4","6,3","5,6","9,5"
12/04/2014 17.00,"13,3","14,9","0,4",,"4,5","9,5"
12/04/2014 18.00,"20,4","24,0","0,4","5,1","5,0","9,5"
12/04/2014 19.00,"43,9","53,9","0,6",,"5,9","9,5"
12/04/2014 20.00,"31,5","36,9","0,5","4,4","4,1","9,5"
12/04/2014 21.00,"31,8","36,8","0,4",,"4,3","9,5"
12/04/2014 22.00,"18,1","20,0","0,4","4,4","4,0","9,5"
12/04/2014 23.00,"15,3","16,0","0,4",,"3,4","9,5"
13/04/2014 0.00,"21,3","22,7","0,4","10,0","3,2","9,5"
13/04/2014 1.00,"33,1","35,0","0,7",,"3,4","9,1"
13/04/2014 2.00,"32,8","33,6","0,6","14,2","3,2","9,1"
13/04/2014 3.00,"30,9","31,9","0,7",,"3,4","9,1"
13/04/2014 4.00,"30,2","31,3","0,8","14,9","3,2","9,1"
13/04/2014 5.00,"24,6","26,1","0,7",,"3,2","9,1"
13/04/2014 6.00,"25,5","27,0","0,7","14,9","2,9","9,1"
13/04/2014 7.00,"16,8","16,9","0,8",,"3,1","9,1"
13/04/2014 8.00,"9,7","10,3","0,7","15,9","3,3","9,1"
13/04/2014 9.00,"7,7","8,2","0,7",,"2,8","9,1"
13/04/2014 10.00,"16,1","18,2","0,7","17,6","3,1","9,1"
13/04/2014 11.00,"8,4","9,1","0,7",,"2,7","9,1"
13/04/2014 12.00,"11,3","13,2","0,7","18,1","2,8","9,1"
13/04/2014 13.00,"11,4","11,7","0,7",,"3,0","9,1"
13/04/2014 14.00,"8,3","8,3","0,6","11,5","2,8","9,1"
13/04/2014 15.00,"7,5","7,5","0,4",,"2,8","9,1"
13/04/2014 16.00,"7,7","8,2","0,3","14,9","2,8","9,1"
13/04/2014 17.00,"8,4","9,3","0,3",,"2,7","9,1"
13/04/2014 18.00,"7,0","7,3","0,4","9,5","2,4","9,1"
13/04/2014 19.00,"9,1","8,9","0,4",,"2,3","9,1"
13/04/2014 20.00,"9,0","9,0","0,4","7,1","2,4","9,1"
13/04/2014 21.00,"18,1","19,9","0,4",,"2,5","9,1"
13/04/2014 22.00,"57,7","68,1","0,5","5,9","3,3","9,1"
13/04/2014 23.00,"44,4","48,8","0,5",,"3,8","9,1"
14/04/2014 0.00,"35,5","37,9","0,4","10,5","3,6","9,1"
14/04/2014 1.00,"22,1","22,3","0,4",,"3,2","4,0"
14/04/2014 2.00,"8,2","8,5","0,3","13,2","2,9","4,0"
14/04/2014 3.00,"11,1","11,3","0,4",,"2,6","4,0"
14/04/2014 4.00,"13,0","14,4",,"8,8","2,6","4,0"
14/04/2014 5.00,"17,7","18,8","0,4",,"2,6","4,0"
14/04/2014 6.00,"18,9","21,9","0,4","14,2","2,8","4,0"
14/04/2014 7.00,"25,7","34,1","0,4",,"2,8","4,0"
14/04/2014 8.00,"35,7","46,4","0,4","20,3","3,1","4,0"
14/04/2014 9.00,"36,4","52,5","0,6",,"4,0","4,0"
14/04/2014 10.00,"12,7","15,2","0,3","13,7","3,2","4,0"
14/04/2014 11.00,"10,1","12,5","0,3",,"2,7","4,0"
14/04/2014 12.00,"11,7","14,5","0,3","8,8","2,6","4,0"
14/04/2014 13.00,"6,1","6,6","0,3",,"2,8","4,0"
14/04/2014 14.00,"7,4","7,6","0,4","8,3","2,8","4,0"
14/04/2014 15.00,"6,8","7,1","0,5",,"2,6","4,0"
14/04/2014 16.00,"14,6","16,0","0,5","12,7","2,8","4,0"
14/04/2014 17.00,"14,6","14,9","0,6",,"3,4","4,0"
14/04/2014 18.00,"19,9","22,4","0,5","25,2","2,9","4,0"
14/04/2014 19.00,"52,1","65,1","0,8",,"3,7","4,0"
14/04/2014 20.00,"69,1","97,7","1,0","13,9","4,0","4,0"
14/04/2014 21.00,"62,3","82,6","0,9",,"4,9","4,0"
14/04/2014 22.00,"14,0","14,0","0,5","8,3","4,5","4,0"
14/04/2014 23.00,"7,9","8,0","0,4",,"3,2","4,0"
15/04/2014 0.00,"7,9","8,5","0,4","5,1","2,9","4,0"
15/04/2014 1.00,"7,0","7,0","0,4",,"2,9",
15/04/2014 2.00,"7,5","7,4","0,4","3,9","2,7",
15/04/2014 3.00,"7,5","7,4","0,3",,"2,8",
15/04/2014 4.00,"8,9","9,0","0,3","2,9","2,7",
15/04/2014 5.00,"11,6","12,3","0,4",,"2,8",
15/04/2014 6.00,"12,3","13,2","0,4","3,4","3,0",
15/04/2014 7.00,"20,8","25,6","0,4",,"2,8",
15/04/2014 8.00,"29,5","40,5","0,5","14,7","3,1",
15/04/2014 9.00,"25,5","36,7","0,5",,"3,6",
15/04/2014 10.00,"20,8","28,3","0,4","16,6","3,9",
15/04/2014 11.00,"13,0","15,1","0,3",,"3,4",
15/04/2014 12.00,"11,6","14,0","0,3","13,2","3,0",
15/04/2014 13.00,"17,2","21,0","0,4",,"3,7",
15/04/2014 14.00,"20,8","24,2","0,4","13,7","3,4",
15/04/2014 15.00,,,,,,
15/04/2014 16.00,,,,,,
15/04/2014 17.00,,,,,,
15/04/2014 18.00,,,,,,
15/04/2014 19.00,,,,,,
15/04/2014 20.00,,,,,,
15/04/2014 21.00,,,,,,
15/04/2014 22.00,,,,,,
15/04/2014 23.00,,,,,,
16/04/2014 0.00,,,,,,
16/04/2014 1.00,,,,,,
16/04/2014 2.00,,,,,,
16/04/2014 3.00,,,,,,
16/04/2014 4.00,,,,,,
16/04/2014 5.00,,,,,,
16/04/2014 6.00,,,,,,
16/04/2014 7.00,,,,,,
16/04/2014 8.00,,,,,,
16/04/2014 9.00,,,,,,
16/04/2014 10.00,,,,,,
16/04/2014 11.00,,,,,,
16/04/2014 12.00,,,,,,
16/04/2014 13.00,,,,,,
16/04/2014 14.00,,,,,,
16/04/2014 15.00,,,,,,
16/04/2014 16.00,,,,"1,5",,
16/04/2014 17.00,"6,8","65,8","5,0",,"0,3",
16/04/2014 18.00,"6,9","9,5",,,"2,4",
16/04/2014 19.00,"7,2","7,5","0,3",,"2,8",
16/04/2014 20.00,"8,6","9,1","0,3","2,4","3,1",
16/04/2014 21.00,"8,8","9,2","0,3",,"3,3",
16/04/2014 22.00,"6,2","6,4","0,3","2,4","3,4",
16/04/2014 23.00,"4,9","5,0","0,2",,"3,7",
17/04/2014 0.00,"4,7","5,0","0,1","2,4","4,0",
17/04/2014 1.00,"4,0","4,0","0,1",,"4,5",
17/04/2014 2.00,"6,9","6,8","0,1","2,4","4,8",
17/04/2014 3.00,"4,6","5,1","0,2",,"5,2",
17/04/2014 4.00,"4,2","4,6","0,2","2,4","5,3",
17/04/2014 5.00,"4,8","5,3","0,2",,"5,1",
17/04/2014 6.00,"5,7","6,3","0,2","7,3","5,2",
17/04/2014 7.00,"8,2","10,1","0,2",,"5,4",
17/04/2014 8.00,"7,0","8,3","0,2","5,6","5,6",
17/04/2014 9.00,"9,0","11,6","0,2",,"5,9",
17/04/2014 10.00,"6,9","7,9","0,2","4,9","6,0",
17/04/2014 11.00,"7,4","8,0","0,2",,"6,3",
17/04/2014 12.00,"29,2","43,7","0,4","7,3","6,0",
17/04/2014 13.00,"26,5","38,1","0,3",,"6,3",
17/04/2014 14.00,"14,3","19,9","0,3","11,7","6,1",
17/04/2014 15.00,"16,0","21,8","0,4",,"6,9",
17/04/2014 16.00,"9,7","10,7","0,3","10,5","6,7",
17/04/2014 17.00,"13,3","16,8","0,3",,"6,2",
17/04/2014 18.00,"32,0","44,9","0,4","13,2","6,9",
17/04/2014 19.00,"34,0","45,3","0,5",,"6,8",
17/04/2014 20.00,"25,8","34,1","0,4","9,0","6,4",
17/04/2014 21.00,"17,6","22,3","0,4",,"7,0",
17/04/2014 22.00,"14,9","17,0","0,4","10,0","6,1",
17/04/2014 23.00,"16,1","18,2","0,4",,"5,9",
18/04/2014 0.00,"8,9","9,8","0,3","8,1","5,8",
18/04/2014 1.00,"7,2","7,8","0,3",,"5,7",
18/04/2014 2.00,"5,4","5,8","0,3","6,3","5,3",
18/04/2014 3.00,"7,0","8,7","0,2",,"5,8",
18/04/2014 4.00,"6,6","7,3",,"5,1","6,5",
18/04/2014 5.00,"7,7","9,0","0,1",,"6,3",
18/04/2014 6.00,"11,2","13,6","0,2","4,4","6,1",
18/04/2014 7.00,"16,4","22,6","0,1",,"6,7",
18/04/2014 8.00,"18,1","25,6","0,1","4,6","6,6",
18/04/2014 9.00,"18,6","26,5","0,1",,"7,3",
18/04/2014 10.00,"27,2","36,9","0,2","9,5","7,7",
18/04/2014 11.00,,,,,,
18/04/2014 12.00,,,,,,
18/04/2014 13.00,,,,,,
18/04/2014 14.00,,,,,,
18/04/2014 15.00,,,,,,
18/04/2014 16.00,,,,,,
18/04/2014 17.00,,,,,,
18/04/2014 18.00,,,,,,
18/04/2014 19.00,,,,,,
18/04/2014 20.00,,,,,,
18/04/2014 21.00,,,,,,
18/04/2014 22.00,,,,,,
18/04/2014 23.00,,,,,,
19/04/2014 0.00,,,,,,
19/04/2014 1.00,,,,,,
19/04/2014 2.00,,,,,,
19/04/2014 3.00,,,,,,
19/04/2014 4.00,,,,,,
19/04/2014 5.00,,,,,,
19/04/2014 6.00,,,,,,
19/04/2014 7.00,,,,,,
19/04/2014 8.00,,,,,,
19/04/2014 9.00,,,,,,
19/04/2014 10.00,,,,,,
19/04/2014 11.00,,,,,,
19/04/2014 12.00,,,,,,
19/04/2014 13.00,,,,,,
19/04/2014 14.00,,,,,,
19/04/2014 15.00,,,,,,
19/04/2014 16.00,,,,,,
19/04/2014 17.00,,,,,,
19/04/2014 18.00,,,,,,
19/04/2014 19.00,,,,,,
19/04/2014 20.00,,,,,,
19/04/2014 21.00,,,,,,
19/04/2014 22.00,,,,,,
19/04/2014 23.00,,,,,,
20/04/2014 0.00,,,,,,
20/04/2014 1.00,,,,,,
20/04/2014 2.00,,,,,,
20/04/2014 3.00,,,,,,
20/04/2014 4.00,,,,,,
20/04/2014 5.00,,,,,,
20/04/2014 6.00,,,,,,
20/04/2014 7.00,,,,,,
20/04/2014 8.00,,,,,,
20/04/2014 9.00,,,,,,
20/04/2014 10.00,,,,,,
20/04/2014 11.00,,,,,,
20/04/2014 12.00,,,,,,
20/04/2014 13.00,,,,,,
20/04/2014 14.00,,,,,,
20/04/2014 15.00,,,,,,
20/04/2014 16.00,,,,,,
20/04/2014 17.00,,,,,,
20/04/2014 18.00,,,,,,
20/04/2014 19.00,,,,,,
20/04/2014 20.00,,,,,,
20/04/2014 21.00,,,,,,
20/04/2014 22.00,,,,,,
20/04/2014 23.00,,,,,,
21/04/2014 0.00,,,,,,
21/04/2014 1.00,,,,,,
21/04/2014 2.00,,,,,,
21/04/2014 3.00,,,,,,
21/04/2014 4.00,,,,,,
21/04/2014 5.00,,,,,,
21/04/2014 6.00,,,,,,
21/04/2014 7.00,,,,,,
21/04/2014 8.00,,,,,,
