Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
03/01/2014 10.00,"32,9","56,1","1,3","19,8","1,8",
03/01/2014 11.00,"32,4","55,9","1,3",,"1,9",
03/01/2014 12.00,"36,7","64,0","1,3","16,8","1,8",
03/01/2014 13.00,"44,0","79,1","1,3",,"1,8",
03/01/2014 14.00,"50,1","91,7","1,2","4,2","3,1",
03/01/2014 15.00,"49,8","79,0","1,2",,"2,8",
03/01/2014 16.00,"50,1","75,4","1,2","16,8","2,3",
03/01/2014 17.00,"83,4","176,7","1,7",,"2,6",
03/01/2014 18.00,"114,6","409,6","2,6","28,6","5,3",
03/01/2014 19.00,"116,8","481,1","2,9",,"6,9",
03/01/2014 20.00,"109,9","332,8","2,2","44,0","6,6",
03/01/2014 21.00,"63,6","97,8","1,5",,"5,3",
03/01/2014 22.00,"31,5","44,6","1,3","30,3","3,1",
03/01/2014 23.00,"18,9","32,2","1,1",,"2,0",
04/01/2014 0.00,"15,2","29,5","1,1","19,0","1,4",
04/01/2014 1.00,"12,3","26,0","1,0",,"1,3",
04/01/2014 2.00,"9,6","22,7","1,0","11,2","1,2",
04/01/2014 3.00,,,"1,0",,"1,1",
04/01/2014 4.00,"29,7","43,2",,"9,3","0,9",
04/01/2014 5.00,"23,7","38,1","1,0",,"0,9","17,2"
04/01/2014 6.00,"22,3","36,3","0,9","12,0","0,8",
04/01/2014 7.00,"31,8","50,3","1,0",,"1,0",
04/01/2014 8.00,"58,1","104,1","1,2","13,9","1,5",
04/01/2014 9.00,"50,5","90,4","1,2",,"1,7",
04/01/2014 10.00,"62,2","129,4","1,4","29,1","2,2",
04/01/2014 11.00,"51,3","87,2","1,3",,"2,1",
04/01/2014 12.00,"45,1","66,5","1,7","19,0","2,4",
04/01/2014 13.00,"52,1","86,0","1,4",,"2,2",
04/01/2014 14.00,"33,6","52,0","1,2","20,0","1,8",
04/01/2014 15.00,"35,4","58,0","1,1",,"1,6",
04/01/2014 16.00,"31,0","49,9","1,1","11,2","1,2",
04/01/2014 17.00,"50,5","82,6","1,3",,"1,4",
04/01/2014 18.00,"37,1","60,0","1,1","6,8","1,5",
04/01/2014 19.00,"45,1","76,4","1,2",,"1,4",
04/01/2014 20.00,"38,0","66,4","1,2","4,6","1,8",
04/01/2014 21.00,"51,2","90,5","1,2",,"1,8",
04/01/2014 22.00,"40,8","67,6","1,2","12,9","1,7",
04/01/2014 23.00,"27,3","49,0","1,1",,"1,7",
05/01/2014 0.00,"25,9","45,1","0,9","18,1","1,1",
05/01/2014 1.00,"20,6","36,2","0,7",,"1,2",
05/01/2014 2.00,"12,9","27,2","0,7","17,6","1,0",
05/01/2014 3.00,"12,3","26,4","0,7",,"0,8",
05/01/2014 4.00,"16,3","32,0","0,7","10,7","1,0",
05/01/2014 5.00,"11,7","24,9","0,7",,"0,7","10,1"
05/01/2014 6.00,"11,0","24,1","0,7","10,3","0,9",
05/01/2014 7.00,"11,9","25,3","0,6",,"1,0",
05/01/2014 8.00,"9,5","23,3","0,6","10,0","0,8",
05/01/2014 9.00,"13,2","28,0","0,7",,"0,8",
05/01/2014 10.00,"16,4","32,1","0,7","15,1","0,9",
05/01/2014 11.00,"15,3","34,1","0,8",,"1,0",
