, Bari,,,
,Corso Cavour,,,
Parm,CO,,PM10,BENZENE



04/01/2009 5.00,"0,39185241",,,"1,64075051"
04/01/2009 6.00,"0,33485362",,"7,81440783","1,3040391"
04/01/2009 7.00,"0,40500293",,,"1,2355116"
04/01/2009 8.00,"0,48709815",,"13,67521","1,33987411"
04/01/2009 9.00,"0,4832688",,,"1,45015861"
04/01/2009 10.00,"0,56563313",,"16,60560989","1,68290007"
04/01/2009 11.00,"0,75551765",,,"2,86323841"
04/01/2009 12.00,"0,8524305",,"12,69841003","3,65852326"
04/01/2009 13.00,"0,87318498",,,"3,65577024"
04/01/2009 14.00,"0,9615211",,"14,65200996","3,77796075"
04/01/2009 15.00,"0,58653906",,,"3,40757647"
04/01/2009 16.00,"0,41361811",,"15,62880993","1,79300761"
04/01/2009 17.00,"0,59335547",,,"1,70798133"
04/01/2009 18.00,"0,84971256",,"26,86202049","2,46930854"
04/01/2009 19.00,"0,90105993",,,"3,13498284"
04/01/2009 20.00,"0,95815192",,"19,53602028","3,62443138"
04/01/2009 21.00,"0,89489592",,,"3,48239309"
04/01/2009 22.00,"1,00823644",,"26,37360954","4,37466008"
04/01/2009 23.00,"0,70956772",,,"3,56676748"
05/01/2009 0.00,"0,67908899",,"19,53602028","2,92125928"
05/01/2009 1.00,"0,55992813",,,"2,43788731"
05/01/2009 2.00,,,"16,60560989","2,24825749"
05/01/2009 3.00,"0,36198298",,,"1,72986717"
05/01/2009 4.00,"0,29933743",,"17,09399986","1,28724741"
05/01/2009 5.00,"0,21196593",,,"1,15153486"
05/01/2009 6.00,"0,30901975",,"15,62880993","1,47469577"
05/01/2009 7.00,"0,48333404",,,"1,77439143"
05/01/2009 8.00,"0,62584732",,"21,97801971","2,37554114"
05/01/2009 9.00,"0,95977943",,,"3,46207343"
05/01/2009 10.00,"0,97814915",,"27,8388195","4,75353428"
05/01/2009 11.00,"1,24166632",,,"6,30939376"
05/01/2009 12.00,"0,97952618",,"32,23442078","7,01448901"
05/01/2009 13.00,"0,66518704",,,"4,97717664"
05/01/2009 14.00,"0,56423397",,"20,02441978","3,2290828"
05/01/2009 15.00,"0,36803049",,,"2,34273171"
05/01/2009 16.00,"0,36921646",,"19,53602028","1,66062981"
05/01/2009 17.00,"0,53874726",,,"2,11512304"
05/01/2009 18.00,"1,20515872",,"24,90842056","3,55152367"
05/01/2009 19.00,"1,73234918",,,"7,7760898"
05/01/2009 20.00,"1,64597608",,"35,65322113","8,83176936"
05/01/2009 21.00,"1,81910323",,,"8,89917511"
05/01/2009 22.00,"1,44743794",,"38,58362961","9,44061777"
05/01/2009 23.00,"4,1224224",,,"5,93096704"
06/01/2009 0.00,"3,46553948",,"29,7924099","18,37608147"
06/01/2009 1.00,"0,89242728",,,"6,3590437"
06/01/2009 2.00,,,"22,46640968","3,02432206"
06/01/2009 3.00,"0,44923099",,,"2,06017758"
06/01/2009 4.00,"0,33793854",,"22,46640968","1,60506296"
06/01/2009 5.00,"0,3091677",,,"1,38393462"
06/01/2009 6.00,"0,25295645",,"25,88521957","1,35168555"
06/01/2009 7.00,"0,26553379",,,"1,13792333"
06/01/2009 8.00,"0,37169442",,"25,88521957","1,24304961"
06/01/2009 9.00,"0,56015996",,,"2,21467717"
06/01/2009 10.00,"0,91755633",,"19,04759979","4,4747461"
06/01/2009 11.00,"0,93823858",,,"6,48206917"
06/01/2009 12.00,"0,71693518",,"19,04759979","5,61718491"
06/01/2009 13.00,"0,59861778",,,"3,9215459"
06/01/2009 14.00,"1,41326383",,"30,76922989","4,95388022"
06/01/2009 15.00,"0,59846516",,,"3,55447297"
06/01/2009 16.00,"0,34394062",,"30,76922989","1,58988729"
06/01/2009 17.00,"0,6230455",,,"1,82721746"
06/01/2009 18.00,"0,88311311",,"19,04759979","3,34411262"
06/01/2009 19.00,"1,5149893",,,"4,8410817"
06/01/2009 20.00,"1,9054542",,"19,04759979","8,2503108"
06/01/2009 21.00,"1,70693354",,,"7,99410104"
06/01/2009 22.00,"1,50803192",,"32,72283173","7,57318"
06/01/2009 23.00,"1,10200845",,,"6,00459276"
07/01/2009 0.00,"0,99691846",,"32,72283173","4,43388304"
07/01/2009 1.00,"0,77114263",,,"3,56044886"
07/01/2009 2.00,,,"34,67642975","2,98781888"
07/01/2009 3.00,"0,55456447",,,"2,51004956"
07/01/2009 4.00,"0,38639322",,"34,67642975","1,89002128"
07/01/2009 5.00,"0,36114884",,,"1,58070174"
07/01/2009 6.00,"0,31514066",,"28,32722092","1,66805492"
07/01/2009 7.00,"0,43348602",,,"1,50050112"
07/01/2009 8.00,"0,52570043",,"28,32722092","1,68854137"
07/01/2009 9.00,,,,
07/01/2009 10.00,,,,
07/01/2009 11.00,,,,
07/01/2009 12.00,,,,
07/01/2009 13.00,,,,
07/01/2009 14.00,,,,
07/01/2009 15.00,,,,
07/01/2009 16.00,,,,
07/01/2009 17.00,,,,
07/01/2009 18.00,,,,
07/01/2009 19.00,,,,
07/01/2009 20.00,,,,
07/01/2009 21.00,,,,
07/01/2009 22.00,,,,
07/01/2009 23.00,,,,
08/01/2009 0.00,,,,
08/01/2009 1.00,,,,
08/01/2009 2.00,,,,
08/01/2009 3.00,,,,
08/01/2009 4.00,,,,
08/01/2009 5.00,,,,
08/01/2009 6.00,,,,
08/01/2009 7.00,,,,
08/01/2009 8.00,,,,
08/01/2009 9.00,,,,
08/01/2009 10.00,,,,
08/01/2009 11.00,,,,
08/01/2009 12.00,,,,
08/01/2009 13.00,,,,
08/01/2009 14.00,,,,
08/01/2009 15.00,,,,
08/01/2009 16.00,,,,
08/01/2009 17.00,,,,
08/01/2009 18.00,,,,
08/01/2009 19.00,,,,
08/01/2009 20.00,,,,
08/01/2009 21.00,,,,
08/01/2009 22.00,,,,
08/01/2009 23.00,,,,
09/01/2009 0.00,,,,
09/01/2009 1.00,,,,
09/01/2009 2.00,,,,
09/01/2009 3.00,,,,
09/01/2009 4.00,,,,
09/01/2009 5.00,,,,
09/01/2009 6.00,,,,
09/01/2009 7.00,,,,
09/01/2009 8.00,,,,
09/01/2009 9.00,,,,
09/01/2009 10.00,,,,
09/01/2009 11.00,,,,
09/01/2009 12.00,,,,
09/01/2009 13.00,,,,
09/01/2009 14.00,,,,
09/01/2009 15.00,,,,
09/01/2009 16.00,,,"32,72283173",
09/01/2009 17.00,,,,"2,42923874"
09/01/2009 18.00,,,"24,42000961","2,76621864"
09/01/2009 19.00,,,,"2,90898307"
09/01/2009 20.00,,,"20,51280975","3,18760446"
09/01/2009 21.00,,,,"3,41834243"
09/01/2009 22.00,,,"24,90842056","3,52552915"
09/01/2009 23.00,,,,"4,09507661"
10/01/2009 0.00,,,"25,88521957","2,93981342"
10/01/2009 1.00,,,,"2,17407853"
10/01/2009 2.00,,,"24,90842056","2,09150118"
10/01/2009 3.00,,,,"2,01767715"
10/01/2009 4.00,"0,22925686",,"20,51280975","1,22539347"
10/01/2009 5.00,"0,25594701",,,"1,0340195"
10/01/2009 6.00,"0,26153901",,"14,65200996","1,22387509"
10/01/2009 7.00,"0,28691737",,,"1,09337975"
10/01/2009 8.00,"0,47746011",,"14,65200996","1,51668668"
10/01/2009 9.00,"0,59947871",,,"2,51060078"
10/01/2009 10.00,"0,50047934",,"9,76801014","2,12367398"
10/01/2009 11.00,"0,44470147",,,"2,04154919"
10/01/2009 12.00,"0,61876878",,"14,16361046","2,19370866"
10/01/2009 13.00,"0,86390925",,,"3,31351719"
10/01/2009 14.00,"0,93836906",,"18,55920982","4,14485978"
10/01/2009 15.00,"0,55895768",,,"3,54762856"
10/01/2009 16.00,"0,44040146",,"16,11721039","2,13887813"
10/01/2009 17.00,"0,5487616",,,"2,38788142"
10/01/2009 18.00,"0,68459128",,"9,27960968","2,69327839"
10/01/2009 19.00,"0,88057457",,,"3,37838552"
10/01/2009 20.00,"0,98870638",,"19,53602028","4,71295394"
10/01/2009 21.00,"1,09253817",,,"5,1070811"
10/01/2009 22.00,"1,46783942",,"20,51280975","6,2728082"
10/01/2009 23.00,"0,76399652",,,"4,83891041"
11/01/2009 0.00,"0,62314336",,"16,11721039","3,3101672"
11/01/2009 1.00,"0,5399344",,,"2,66632992"
11/01/2009 2.00,"0,535787",,"21,48962021","2,67050267"
11/01/2009 3.00,,,,"2,33701007"
11/01/2009 4.00,"0,47564504",,"20,51280975","2,2804252"
11/01/2009 5.00,"0,36864794",,,"1,89926682"
11/01/2009 6.00,"0,37706623",,"19,53602028","1,99110396"
11/01/2009 7.00,"0,52495133",,,"2,00063121"
11/01/2009 8.00,"0,4855988",,"11,72161007","2,07861986"
11/01/2009 9.00,"0,63721772",,,"2,4457294"
11/01/2009 10.00,"0,62190263",,"24,90842056","2,92612969"
11/01/2009 11.00,"0,53058993",,,"3,09032434"
11/01/2009 12.00,"0,63759868",,"20,51280975","2,92185829"
11/01/2009 13.00,"0,72959873",,,"3,21267046"
11/01/2009 14.00,"0,53359913",,"15,62880993","2,84712811"
11/01/2009 15.00,"0,42373264",,,"2,29385062"
11/01/2009 16.00,"0,392838",,"22,46640968","2,0044948"
11/01/2009 17.00,"0,39352302",,,"1,87322756"
11/01/2009 18.00,"0,45577014",,"21,48962021","1,89609378"
11/01/2009 19.00,"0,72175129",,,"2,24247483"
11/01/2009 20.00,"1,09378821",,"30,28083038","3,99596894"
11/01/2009 21.00,"0,92102687",,,"4,4164303"
11/01/2009 22.00,"1,00464591",,"28,32722092","4,1712316"
11/01/2009 23.00,"0,76628458",,,"3,82023948"
12/01/2009 0.00,"0,66929367",,"27,35042","3,27910395"
12/01/2009 1.00,"0,64891316",,,"2,68512306"
12/01/2009 2.00,"0,50898967",,"25,88521957","2,64777984"
12/01/2009 3.00,,,,"1,94425077"
12/01/2009 4.00,"0,33332747",,"21,97801971","1,46544818"
12/01/2009 5.00,"0,33241295",,,"1,5597068"
12/01/2009 6.00,"0,31705708",,"19,53602028","1,66342859"
12/01/2009 7.00,"0,52167419",,,"1,65966061"
12/01/2009 8.00,"0,68565959",,"22,95482063","2,22442613"
12/01/2009 9.00,"1,15096175",,,"3,675378"
12/01/2009 10.00,,,"86,93527985","5,76255998"
12/01/2009 11.00,"0,07097064",,,"5,33812316"
12/01/2009 12.00,"0,04259823",,"63,49206161","4,16774329"
12/01/2009 13.00,"0,03785668",,,"3,92153166"
12/01/2009 14.00,"0,0162634",,"50,30524063","3,53143283"
12/01/2009 15.00,"0,22439648",,,"3,26245667"
12/01/2009 16.00,"0,85682721",,"41,5140419","6,64100186"
12/01/2009 17.00,"0,39898338",,,"5,42226771"
12/01/2009 18.00,"0,72832655",,"47,86323166","6,6141673"
12/01/2009 19.00,"0,81027032",,,"7,44836155"
12/01/2009 20.00,"1,0033947",,"51,77045059","8,26885376"
12/01/2009 21.00,"1,2213627",,,"10,30726449"
12/01/2009 22.00,"1,2490699",,"53,23564148","11,3994513"
12/01/2009 23.00,"0,97082829",,,"9,7794781"
13/01/2009 0.00,"0,85616083",,"63,49206161","7,87185866"
13/01/2009 1.00,"0,54217935",,,"7,2961136"
13/01/2009 2.00,"0,22741383",,"49,32844162","5,2722836"
13/01/2009 3.00,,,,"4,30947851"
13/01/2009 4.00,"0,52191651",,"40,53723145","3,14065974"
13/01/2009 5.00,"0,41434973",,,"2,41580824"
13/01/2009 6.00,"0,40977361",,"31,74603081","2,16084939"
13/01/2009 7.00,"0,55196885",,,"2,03328505"
13/01/2009 8.00,"0,87369408",,"29,30401993","2,83442985"
13/01/2009 9.00,"1,45163194",,,"4,30429283"
13/01/2009 10.00,"1,50616093",,"35,16482162","5,79127599"
13/01/2009 11.00,"1,27748075",,,"5,48069741"
13/01/2009 12.00,"0,94736635",,"25,88521957","4,1106662"
13/01/2009 13.00,"0,80292033",,,"3,38428412"
13/01/2009 14.00,"0,71292758",,"21,48962021","3,0520048"
13/01/2009 15.00,"0,4638832",,,"1,97198232"
13/01/2009 16.00,"0,48756299",,"14,65200996","1,36424448"
13/01/2009 17.00,"0,53599204",,,"1,66833562"
13/01/2009 18.00,"0,498507",,"21,48962021","1,66730743"
13/01/2009 19.00,"0,48047047",,,"1,72567306"
13/01/2009 20.00,"0,46342535",,"16,11721039","1,44538481"
13/01/2009 21.00,"0,52253046",,,"1,46583261"
13/01/2009 22.00,"0,39860009",,"20,02441978","1,46553056"
13/01/2009 23.00,"0,38742774",,,"1,16214522"
14/01/2009 0.00,"0,36946577",,"18,55920982","1,1537265"
14/01/2009 1.00,"0,49751675",,,"1,52381992"
14/01/2009 2.00,"0,31482261",,"19,53602028","1,27526308"
14/01/2009 3.00,,,,"0,5864561"
14/01/2009 4.00,"0,23780563",,"36,63003159","0,50525374"
