Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
02/03/2014 6.00,"17,5","18,2","0,6","58,7","0,4",,,
02/03/2014 7.00,"22,4","25,4","0,6","51,9","0,4",,,
02/03/2014 8.00,"34,6","42,3","0,7","43,0","0,5",,,
02/03/2014 9.00,"24,9","38,4","0,8","57,4","0,7",,,
02/03/2014 10.00,"14,6","22,2","0,6","73,6","0,9",,,
02/03/2014 11.00,"15,0","22,5","0,5","77,9","0,5",,,
02/03/2014 12.00,"14,7","22,7","0,5","84,9","1,7",,,
02/03/2014 13.00,"15,8","25,7","0,4","85,9","0,9",,,
02/03/2014 14.00,"14,0","19,2","0,4","87,1","1,2",,,
02/03/2014 15.00,"9,2","10,6","0,4","94,0","0,7",,,
02/03/2014 16.00,"13,2","19,0","0,4","87,8","0,9",,,
02/03/2014 17.00,"13,1","16,1","0,4","86,8","0,7",,,
02/03/2014 18.00,"23,1","30,3","0,5","78,9","0,8",,,
02/03/2014 19.00,"41,5","58,5","0,8","56,2","1,7",,,
02/03/2014 20.00,"35,7","41,4","0,8","53,1","2,0",,,
02/03/2014 21.00,"46,2","56,1","1,0","43,9","2,4",,,
02/03/2014 22.00,"40,3","48,2","0,8","36,5","2,2",,,
02/03/2014 23.00,"40,7","45,0","1,1","35,8","2,1",,,
03/03/2014 0.00,"29,7","31,4","0,9","39,1","2,0",,,
03/03/2014 1.00,"18,7","19,0","0,6","44,7","1,3",,,
03/03/2014 2.00,"13,7","13,5","0,5","51,4","1,1",,,
03/03/2014 3.00,"8,3","7,9",,"51,7","0,7",,,
03/03/2014 4.00,"5,4","4,9","0,4","65,1","0,6",,,
03/03/2014 5.00,"4,4","3,9","0,4",,"0,4",,,
03/03/2014 6.00,"8,9","8,4","0,4","63,7","0,4",,,
03/03/2014 7.00,"19,9","20,4","0,5","58,0","0,4",,,
03/03/2014 8.00,"24,4","29,2","0,4","51,7","0,5",,,
03/03/2014 9.00,"15,4","17,9","0,4","75,6","0,5",,,
03/03/2014 10.00,"9,7","10,1","0,3","88,5","0,4",,,
03/03/2014 11.00,"8,5","8,6","0,4","90,1","0,4",,,
03/03/2014 12.00,"9,9","10,5","0,4","91,9","0,5",,,
03/03/2014 13.00,"9,1","9,0","0,6","95,3","0,4",,,
03/03/2014 14.00,"10,7","11,3","0,7","96,8","0,5",,,
03/03/2014 15.00,"7,3","6,9","0,7","99,2","0,4",,,
03/03/2014 16.00,"7,9","7,5","0,7","100,3","0,5",,,
03/03/2014 17.00,"10,5","10,1","0,8","98,2","0,6",,,
03/03/2014 18.00,"19,7","20,0","1,0","85,7","0,8",,,
03/03/2014 19.00,"37,9","43,5","1,2","66,2","1,4",,,
03/03/2014 20.00,"66,8","96,3","1,5","40,5","2,0",,,
03/03/2014 21.00,"65,0","85,4","1,4","35,4","3,1",,,
03/03/2014 22.00,"68,9","92,6","2,2","28,7","3,2",,,
03/03/2014 23.00,"54,1","65,9","2,0","30,8","4,4",,,
04/03/2014 0.00,"40,6","50,6","1,4","33,5","3,5",,,
04/03/2014 1.00,"13,8","15,1","0,8","63,2","1,3",,,
04/03/2014 2.00,"10,1","10,0","0,8","58,9","0,6",,,
04/03/2014 3.00,"7,2","6,7","0,7","59,3","0,6",,,
04/03/2014 4.00,"4,1","3,6","0,6","66,5","0,5",,,
04/03/2014 5.00,"3,3","2,8","0,6","71,7","0,4",,,
04/03/2014 6.00,"6,2","5,8","0,6","74,4","0,3",,,
04/03/2014 7.00,"16,9","22,3","0,6","77,8","0,3",,,
04/03/2014 8.00,"24,0","31,6","0,8","65,3","0,6",,,
04/03/2014 9.00,"25,4","38,4","0,9","62,4","0,6",,,
04/03/2014 10.00,"27,1","39,1","0,9","65,5","1,1",,,
04/03/2014 11.00,"31,1","44,7","1,0","61,6","1,3",,,
04/03/2014 12.00,"27,8","39,7","1,0","60,4","1,1",,,
04/03/2014 13.00,"22,6","34,0","0,7","67,1","0,9",,,
04/03/2014 14.00,"17,9","26,7","0,6","77,7","0,8",,,
04/03/2014 15.00,"12,2","15,9","0,6","84,8","0,6",,,
04/03/2014 16.00,"13,5","20,7","0,6","83,6","0,6",,,
04/03/2014 17.00,"19,1","27,1","0,7","76,9","0,6",,,
04/03/2014 18.00,"30,2","41,6","0,8","63,8","1,0",,,
04/03/2014 19.00,"48,0","66,3","1,0","49,9","1,8",,,
04/03/2014 20.00,"60,3","90,5","1,3","34,8","2,3",,,
04/03/2014 21.00,"64,3","101,7","1,3","30,0","2,2",,,
04/03/2014 22.00,"51,2","69,6","1,0","34,7","2,0",,,
04/03/2014 23.00,"37,9","45,7","0,9","41,6","1,4",,,
05/03/2014 0.00,"33,9","43,7","1,1","39,9","1,2",,,
05/03/2014 1.00,"27,4","31,3","0,9","42,4","1,2",,,
05/03/2014 2.00,"16,3","17,3","0,8","44,9","1,1",,,
05/03/2014 3.00,"12,7","12,3",,"34,9","0,9",,,
05/03/2014 4.00,"8,9","8,5","0,6","42,4","0,7",,,
05/03/2014 5.00,"9,5","9,1","0,7",,"0,9",,,
05/03/2014 6.00,"13,7","13,6","0,6","34,8","0,7",,,
05/03/2014 7.00,"27,3","35,7","0,8","29,8","0,8",,,
05/03/2014 8.00,"39,9","65,6","0,8","25,4","1,2",,,
05/03/2014 9.00,"42,4","74,0","0,7","33,1","1,3",,,
05/03/2014 10.00,"14,2","18,7","0,5","74,1","0,8",,,
05/03/2014 11.00,"13,6","16,8","0,3","78,4","0,4",,,
05/03/2014 12.00,"14,6","16,7","0,4","81,9","0,4",,,
05/03/2014 13.00,"21,5","30,5","0,4","72,0","0,4",,,
05/03/2014 14.00,"24,5","36,8","0,7","70,6","0,9",,,
05/03/2014 15.00,"15,4","18,1","0,5","77,3","1,0",,,
05/03/2014 16.00,"19,6","22,5","0,6","75,1","0,9",,,
05/03/2014 17.00,"19,8","23,3","0,6","75,1","0,8",,,
05/03/2014 18.00,"24,7","26,4","0,8","68,1","1,0",,,
05/03/2014 19.00,"26,4","28,3","0,8","67,2","1,6",,,
05/03/2014 20.00,"24,8","26,3","0,8","65,0","1,4",,,
05/03/2014 21.00,"23,5","24,9","0,7","68,6","1,4",,,
05/03/2014 22.00,"20,0","20,4","0,7","69,7","1,1",,,
05/03/2014 23.00,"13,6","13,5","0,7","70,7","1,0",,,
06/03/2014 0.00,"9,1","8,6","0,6","66,9","0,8",,,
06/03/2014 1.00,"4,1","3,6","0,3","80,7","0,5",,,
06/03/2014 2.00,"2,6","2,1","0,4","78,8","0,3",,,
06/03/2014 3.00,"2,2","1,7","0,3","74,5","0,3",,,
06/03/2014 4.00,"2,3","1,8","0,4","75,2","0,3",,,
06/03/2014 5.00,"6,0","5,6","0,5","66,7","0,3",,,
06/03/2014 6.00,"6,2","5,8","0,3","67,6","1,6",,,
06/03/2014 7.00,"12,1","12,0","0,3","63,8","0,5",,,
06/03/2014 8.00,"20,0","22,5","0,3","69,4","0,4",,,
06/03/2014 9.00,"14,5","16,7","0,4","75,8","0,5",,,
06/03/2014 10.00,"8,3","8,3","0,3","88,0","0,3",,,
06/03/2014 11.00,"7,8","7,5","0,3","86,7","0,4",,,
06/03/2014 12.00,"8,6","8,3","0,4","80,0","0,5",,,
06/03/2014 13.00,"8,8","9,1","0,6","79,5","0,6",,,
06/03/2014 14.00,"8,5","8,5","0,7","81,0","0,6",,,
06/03/2014 15.00,"6,7","6,2","0,7","84,9","0,6",,,
06/03/2014 16.00,"7,0","6,6","0,7","85,4","0,6",,,
06/03/2014 17.00,"9,1","8,6","0,7","84,0","0,6",,,
06/03/2014 18.00,"12,6","12,4","0,7","83,5","0,8",,,
06/03/2014 19.00,"21,4","22,1","1,0","72,4","1,0",,,
06/03/2014 20.00,"25,4","26,8","1,0","59,9","1,6",,,
06/03/2014 21.00,"22,7","23,8","1,0","58,1","1,2",,,
06/03/2014 22.00,"21,4","21,9","1,0","56,0","1,1",,,
06/03/2014 23.00,"17,0","17,3","1,0","55,9","1,0",,,
07/03/2014 0.00,"10,4","10,0","0,8","58,5","0,8",,,
07/03/2014 1.00,"7,3","6,8","0,7","57,1","0,6",,,
07/03/2014 2.00,"3,8","3,4","0,7","55,0","0,6",,,
07/03/2014 3.00,"3,7","3,2",,"56,5","0,5",,,
07/03/2014 4.00,"4,2","3,8","0,3","54,3","0,5",,,
07/03/2014 5.00,"4,0","3,6","0,3",,"0,5",,,
07/03/2014 6.00,"7,0","6,5","0,3","51,1","0,5",,,
07/03/2014 7.00,"18,8","21,0","0,4","38,6","0,5",,,
07/03/2014 8.00,"22,8","29,6","0,5","32,3","0,7",,,
07/03/2014 9.00,"22,8","32,8","0,4","40,3","0,9",,,
07/03/2014 10.00,"15,7","19,2","0,4","53,2","0,8",,,
07/03/2014 11.00,"9,7","10,2","0,3","60,5","0,6",,,
07/03/2014 12.00,"8,3","8,9","0,4","68,2","0,6",,,
07/03/2014 13.00,"8,3","8,4","0,3","77,7","0,6",,,
07/03/2014 14.00,"10,4","10,3","0,4","79,3","0,6",,,
07/03/2014 15.00,"8,8","8,4","0,3","79,8","0,7",,,
07/03/2014 16.00,"12,2","12,3","0,4","75,7","0,8",,,
07/03/2014 17.00,"14,0","14,3","0,4","76,1","1,1",,,
07/03/2014 18.00,"18,0","18,4","0,5","74,4","1,0",,,
07/03/2014 19.00,"39,5","44,3","0,9","52,2","1,8",,,
07/03/2014 20.00,"40,5","46,9","1,0","41,5","2,5",,,
07/03/2014 21.00,"27,9","30,4","0,7","55,0","2,1",,,
07/03/2014 22.00,"18,0","18,3","0,5","68,0","1,4",,,
07/03/2014 23.00,"14,4","14,8","0,4","69,7","0,9",,,
08/03/2014 0.00,"10,0","9,8","0,4","68,1","0,7",,,
08/03/2014 1.00,"5,4","5,0","0,4","68,6","0,6",,,
08/03/2014 2.00,"4,0","3,5","0,3","70,7","0,5",,,
08/03/2014 3.00,"3,7","3,3","0,2","66,5","0,5",,,
08/03/2014 4.00,"4,4","3,9","0,3","59,8","0,5",,,
08/03/2014 5.00,"5,2","4,7","0,3","55,8","0,5",,,
08/03/2014 6.00,"7,9","7,4","0,3","51,0","0,5",,,
08/03/2014 7.00,"11,6","12,8","0,3","51,7","0,5",,,
08/03/2014 8.00,"11,9","12,8","0,3","51,7","0,6",,,
08/03/2014 9.00,"12,3","13,8","0,3","51,7","0,6",,,
08/03/2014 10.00,"9,1","9,6","0,3","60,0","0,6",,,
08/03/2014 11.00,"7,6","8,0","0,3","64,1","0,5",,,
08/03/2014 12.00,"7,1","7,1","0,3","71,6","0,6",,,
08/03/2014 13.00,"8,2","8,4","0,2","80,4","0,6",,,
08/03/2014 14.00,"8,4","8,4","0,2","81,7","0,6",,,
08/03/2014 15.00,"6,1","5,6","0,2","90,7","0,6",,,
08/03/2014 16.00,"6,1","5,7","0,1","90,4","0,5",,,
08/03/2014 17.00,"6,5","6,1","0,2","90,1","0,6",,,
08/03/2014 18.00,"9,3","8,8","0,2","87,4","0,6",,,
08/03/2014 19.00,"14,9","14,9","0,3","73,7","0,8",,,
08/03/2014 20.00,"17,1","17,7","0,3","68,5","1,1",,,
08/03/2014 21.00,"17,6","18,3","0,3","64,5","1,2",,,
08/03/2014 22.00,"16,7","17,3","0,3","66,1","1,0",,,
08/03/2014 23.00,"11,5","11,1","0,3","67,7","0,8",,,
09/03/2014 0.00,"10,1","9,6","0,2","66,1","0,8",,,
09/03/2014 1.00,"8,0","7,6","0,2","70,0","0,6",,,
09/03/2014 2.00,"7,7","7,2","0,2","63,5","0,5",,,
09/03/2014 3.00,"6,9","6,4",,"60,4","0,4",,,
09/03/2014 4.00,"4,1","3,7","0,2","65,6","0,4",,,
09/03/2014 5.00,"3,5","3,1","0,3",,"0,4",,,
09/03/2014 6.00,"4,5","4,1","0,2","70,1","0,4",,,
09/03/2014 7.00,"6,0","5,6","0,3","70,3","0,4",,,
09/03/2014 8.00,"6,6","6,1","0,2","75,6","0,5",,,
09/03/2014 9.00,"5,6","5,2","0,2","80,4","0,6",,,
09/03/2014 10.00,"5,4","5,0","0,2","86,9","0,4",,,
09/03/2014 11.00,"5,5","5,1","0,2","92,4","0,4",,,
09/03/2014 12.00,"5,2","4,7","0,2","95,7","0,4",,,
09/03/2014 13.00,"6,9","6,5","0,3","98,8","0,4",,,
09/03/2014 14.00,"6,2","5,8","0,4","101,6","0,5",,,
09/03/2014 15.00,"4,0","3,5","0,4","105,1","0,6",,,
09/03/2014 16.00,"4,2","3,7","0,4","104,6","0,5",,,
09/03/2014 17.00,"4,3","3,8","0,3","105,9","0,5",,,
09/03/2014 18.00,"9,0","8,6","0,5","93,9","0,6",,,
09/03/2014 19.00,"18,6","18,3","0,7","76,2","1,1",,,
09/03/2014 20.00,"18,2","18,1","0,6","74,9","1,0",,,
09/03/2014 21.00,"23,0","23,4","0,6","71,2","1,0",,,
09/03/2014 22.00,"20,0","20,1","0,5","73,9","1,1",,,
09/03/2014 23.00,"11,1","10,7","0,4","81,2","0,8",,,
10/03/2014 0.00,"4,1","3,6","0,3","90,6","0,5",,,
10/03/2014 1.00,"4,4","4,3","0,3","90,5","0,3",,,
10/03/2014 2.00,"2,4","2,0","0,2","92,3","0,3",,,
10/03/2014 3.00,,,"0,3","97,5","0,3",,,
10/03/2014 4.00,,,"0,2","96,5","0,3",,,
10/03/2014 5.00,"1,7","1,3","0,2","96,2","0,3",,,
10/03/2014 6.00,"3,5","3,1","0,2","88,8","0,3",,,
10/03/2014 7.00,"25,3","30,9","0,3","66,2","0,3",,,
10/03/2014 8.00,"33,6","39,9","0,4","53,7","0,5",,,
10/03/2014 9.00,"25,5","33,9","0,4","61,6","0,9",,,
10/03/2014 10.00,"15,9","17,3","0,4","73,8","0,5",,,
10/03/2014 11.00,"11,8","13,7","0,3","83,4","0,6",,,
10/03/2014 12.00,"14,2","17,1","0,3","81,0","0,4",,,
10/03/2014 13.00,"15,5","16,9","0,3","81,3","0,4",,,
10/03/2014 14.00,"17,1","18,5","0,4","82,3","0,6",,,
10/03/2014 15.00,"12,6","14,6","0,4","84,9","0,6",,,
10/03/2014 16.00,"14,1","19,1","0,5","83,6","1,2",,,
10/03/2014 17.00,"21,8","28,5","0,5","82,0","0,8",,,
10/03/2014 18.00,"23,4","26,7","0,5","76,9","0,9",,,
10/03/2014 19.00,"31,8","35,4","0,9","72,9","1,3",,,
10/03/2014 20.00,"51,9","62,7","0,9","48,3","3,0",,,
10/03/2014 21.00,"66,6","82,9","1,1","38,4","2,5",,,
10/03/2014 22.00,"50,4","60,5","1,0","40,4","2,1",,,
10/03/2014 23.00,"26,9","28,0","0,6","57,5","1,6",,,
11/03/2014 0.00,"16,9","16,5","0,5","61,6","1,0",,,
11/03/2014 1.00,"13,8","13,4","0,5","58,9","0,8",,,
11/03/2014 2.00,"7,5","7,1","0,4","65,4","0,7",,,
11/03/2014 3.00,"4,9","4,5",,"70,6","0,4",,,
11/03/2014 4.00,"3,2","2,8","0,2","78,9","1,0",,,
11/03/2014 5.00,"3,5","3,1","0,3",,"0,3",,,
11/03/2014 6.00,"7,6","7,1","0,3","71,8","0,4",,,
11/03/2014 7.00,"18,7","21,8","0,3","60,4","0,4",,,
11/03/2014 8.00,"21,0","22,7","0,4","65,3","0,5",,,
11/03/2014 9.00,"21,1","24,3","0,4","68,7","0,7",,,
11/03/2014 10.00,"14,7","15,0","0,4","77,0","0,5",,,
11/03/2014 11.00,"12,6","12,7","0,3","83,1","0,6",,,
11/03/2014 12.00,"8,6","8,1","0,3","91,8","0,5",,,
11/03/2014 13.00,"11,5","11,6","0,2","88,8","0,6",,,
11/03/2014 14.00,"13,0","13,5","0,3","91,0","0,8",,,
11/03/2014 15.00,"10,6","10,3","0,3","93,3","0,7",,,
11/03/2014 16.00,"11,1","10,9","0,2","94,5","0,9",,,
11/03/2014 17.00,"11,0","10,5","0,2","99,1","0,7",,,
11/03/2014 18.00,"16,0","15,7","0,4","89,5","1,0",,,
11/03/2014 19.00,"22,5","22,7","0,4","82,0","1,2",,,
11/03/2014 20.00,"27,4","28,1","0,5","78,6","1,4",,,
11/03/2014 21.00,"26,1","26,7","0,4","75,8","1,3",,,
11/03/2014 22.00,"23,2","23,7","0,4","72,1","1,2",,,
11/03/2014 23.00,"14,5","14,1","0,3","77,9","0,8",,,
12/03/2014 0.00,"8,0","7,6","0,2","85,1","0,5",,,
12/03/2014 1.00,"4,9","4,5","0,2","87,2","0,3",,,
12/03/2014 2.00,"3,4","3,0","0,1","87,9","0,3",,,
12/03/2014 3.00,"4,1","3,6","0,1","79,5","0,3",,,
12/03/2014 4.00,"4,1","3,6","0,1","76,6","0,3",,,
12/03/2014 5.00,"3,8","3,3","0,1","82,5","0,3",,,
12/03/2014 6.00,"7,3","7,1","0,2","75,2","0,3",,,
12/03/2014 7.00,"19,7","23,4","0,1","67,1","0,3",,,
12/03/2014 8.00,"17,3","18,3","0,2","75,5","0,4",,,
12/03/2014 9.00,"14,7","16,3","0,2","82,3","0,5",,,
12/03/2014 10.00,"8,8","8,6","0,2","98,9","0,5",,,
12/03/2014 11.00,"6,1","5,7","0,1","101,0","0,4",,,
12/03/2014 12.00,"7,0","6,6","0,2","104,3","0,4",,,
12/03/2014 13.00,"7,1","6,9","0,2","106,8","0,3",,,
12/03/2014 14.00,"7,0","6,9","0,3","109,4","0,4",,,
12/03/2014 15.00,"6,9","6,5","0,3","110,9","0,4",,,
12/03/2014 16.00,"8,4","7,9","0,3","109,9","0,4",,,
12/03/2014 17.00,"9,8","9,4","0,4","110,1","0,5",,,
12/03/2014 18.00,"13,6","13,1","0,5","103,5","0,6",,,
12/03/2014 19.00,"24,0","24,6","0,6","92,2","1,0",,,
12/03/2014 20.00,"34,0","34,7","0,8","81,9","1,7",,,
12/03/2014 21.00,"28,6","29,0","0,7","79,8","1,6",,,
12/03/2014 22.00,"25,2","26,2","0,6","83,2","1,1",,,
12/03/2014 23.00,"15,3","14,8","0,5","90,5","1,0",,,
13/03/2014 0.00,"10,1","9,7","0,4","98,4","0,7",,,
13/03/2014 1.00,"6,6","6,2","0,4","99,1","0,5",,,
13/03/2014 2.00,"4,9","4,4","0,3","102,8","0,4",,,
13/03/2014 3.00,"6,1","6,1",,"97,9","0,4",,,
13/03/2014 4.00,"5,3","5,1","0,2","98,9","0,4",,,
13/03/2014 5.00,"6,0","5,7","0,2",,"0,3",,,
13/03/2014 6.00,"11,8","11,3","0,2","93,8","0,5",,,
13/03/2014 7.00,"26,6","30,8","0,3","79,7","0,4",,,
13/03/2014 8.00,"25,9","29,4","0,2","83,7","0,5",,,
13/03/2014 9.00,"16,3","18,0","0,4","94,0","0,6",,,
13/03/2014 10.00,"12,0","12,2","0,3","100,0","0,5",,,
13/03/2014 11.00,"8,6","8,1","0,3","106,1","0,5",,,
13/03/2014 12.00,"8,5","8,1","0,3","112,6","0,5",,,
13/03/2014 13.00,"9,1","8,7","0,4","117,4","0,6",,,
13/03/2014 14.00,"9,2","8,8","0,5","118,1","0,5",,,
13/03/2014 15.00,"8,3","7,9","0,5","122,9","0,5",,,
13/03/2014 16.00,"9,4","8,9","0,5","120,7","0,6",,,
13/03/2014 17.00,"11,9","11,5","0,6","115,6","0,6",,,
13/03/2014 18.00,"18,7","18,3","0,8","104,4","0,9",,,
13/03/2014 19.00,"36,8","38,0","1,1","81,1","1,7",,,
13/03/2014 20.00,"44,7","49,5","1,0","67,8","2,2",,,
13/03/2014 21.00,"44,9","48,6","1,1","61,4","2,2",,,
13/03/2014 22.00,"40,4","42,5","1,3","52,3","2,4",,,
13/03/2014 23.00,"28,6","29,3","1,1","53,4","2,1",,,
14/03/2014 0.00,"17,7","17,3","0,9","64,5","1,5",,,
14/03/2014 1.00,"16,5","16,6","0,6","71,3","1,2",,,
14/03/2014 2.00,"12,3","11,8","0,5","85,4","0,7",,,
14/03/2014 3.00,"7,6","7,2","0,5","90,7","0,5",,,
14/03/2014 4.00,"6,0","5,5","0,4","84,7","0,5",,,
14/03/2014 5.00,"9,7","9,2","0,5","80,8","0,5",,,
14/03/2014 6.00,"17,7","17,4","0,4","76,9","0,5",,,
14/03/2014 7.00,"52,9","62,7","0,6","51,2","0,5",,,
14/03/2014 8.00,"50,7","63,2","0,8","56,9","0,9",,,
14/03/2014 9.00,"27,3","34,0","0,6","85,3","1,3",,,
14/03/2014 10.00,"15,0","16,4","0,5","103,5","0,9",,,
14/03/2014 11.00,"15,5","17,5","0,5","106,0","0,8",,,
14/03/2014 12.00,"13,2","13,6","0,4","117,2","0,5",,,
14/03/2014 13.00,"14,3","15,2","0,3","120,2","0,4",,,
14/03/2014 14.00,"17,6","19,9","0,3","117,2","0,7",,,
14/03/2014 15.00,"14,2","14,6","0,3","117,6","0,5",,,
14/03/2014 16.00,"16,5","18,9","0,2","116,3","0,5",,,
14/03/2014 17.00,"18,6","19,4","0,3","112,8","0,5",,,
14/03/2014 18.00,"19,1","19,3","0,4","104,7","0,8",,,
14/03/2014 19.00,"29,1","30,1","0,7","93,6","1,4",,,
14/03/2014 20.00,"39,9","42,9","0,7","80,0","2,2",,,
14/03/2014 21.00,"55,6","59,6","1,0","61,7","2,1",,,
14/03/2014 22.00,"56,9","62,8","1,3","45,1","2,7",,,
14/03/2014 23.00,"47,4","51,5","1,2","44,2","2,5",,,
15/03/2014 0.00,"49,2","59,3","1,2","41,1","2,4",,,
15/03/2014 1.00,"40,5","47,3","1,0","37,9","3,3",,,
15/03/2014 2.00,"21,6","21,6","0,6","62,6","1,5",,,
15/03/2014 3.00,"11,4","10,9",,"71,0","0,9",,,
15/03/2014 4.00,"15,0","14,6","0,5","54,1","0,9",,,
15/03/2014 5.00,"13,9","13,7","0,5",,"0,7",,,
15/03/2014 6.00,"22,3","24,7","0,6","63,3","0,7",,,
15/03/2014 7.00,"44,1","55,9","0,8","51,2","0,8",,,
15/03/2014 8.00,"62,3","93,1","1,0","39,4","1,1",,,
15/03/2014 9.00,"62,1","113,7","1,0","33,2","1,7",,,
15/03/2014 10.00,"33,2","47,9","0,8","67,4","1,3",,,
15/03/2014 11.00,"21,6","29,9","0,6","94,0","0,9",,,
15/03/2014 12.00,"24,8","36,2","0,6","99,2","1,1",,,
15/03/2014 13.00,"21,8","29,6","0,7","95,8","1,0",,,
15/03/2014 14.00,"18,5","26,0","0,8","90,5","0,7",,,
15/03/2014 15.00,"17,9","23,5","0,7","88,7","0,6",,,
15/03/2014 16.00,"15,4","20,0","0,8","88,8","0,6",,,
15/03/2014 17.00,"17,4","22,5","0,8","88,3","0,7",,,
15/03/2014 18.00,"29,3","38,7","0,9","73,4","0,9",,,
15/03/2014 19.00,"35,8","46,6","1,1","59,1","1,3",,,
15/03/2014 20.00,"48,2","66,7","1,3","47,5","1,7",,,
15/03/2014 21.00,"57,3","78,9","1,3","42,7","2,0",,,
15/03/2014 22.00,"55,3","72,8","1,3","35,1","2,0",,,
15/03/2014 23.00,"44,2","57,5","1,2","40,0","1,7",,,
16/03/2014 0.00,"40,0","49,1","0,9","43,2","1,3",,,
16/03/2014 1.00,"31,3","34,7","0,8","50,8","1,0",,,
16/03/2014 2.00,"24,9","28,7","0,8","58,7","0,7",,,
16/03/2014 3.00,"11,8","11,3","0,5","68,2","0,4",,,
16/03/2014 4.00,"8,1","7,9","0,5","72,3","0,3",,,
16/03/2014 5.00,"14,7","15,6","0,5","73,2","0,3",,,
16/03/2014 6.00,"15,1","16,3","0,5","69,9","0,4",,,
16/03/2014 7.00,"18,0","18,9","0,5","77,8","0,5",,,
16/03/2014 8.00,"16,0","16,0","0,5","81,0","0,5",,,
16/03/2014 9.00,"13,1","13,6","0,6","83,5","0,6",,,
16/03/2014 10.00,"12,6","12,9","0,6","82,6","0,6",,,
16/03/2014 11.00,"10,9","10,9","0,5","94,0","0,6",,,
16/03/2014 12.00,"8,7","8,3","0,5","111,5","0,6",,,
16/03/2014 13.00,"9,5","9,0","0,5","112,3","0,5",,,
16/03/2014 14.00,"9,0","8,6","0,6","115,6","0,6",,,
16/03/2014 15.00,"5,3","4,8","0,5","114,3","0,6",,,
16/03/2014 16.00,"6,5","6,1","0,5","116,5","0,4",,,
16/03/2014 17.00,"7,0","6,6","0,5","119,9","0,4",,,
16/03/2014 18.00,"8,2","7,7","0,5","117,7","0,5",,,
16/03/2014 19.00,"13,8","13,3","0,7","101,3","0,7",,,
16/03/2014 20.00,"15,6","15,1","0,6","103,4","0,9",,,
16/03/2014 21.00,"16,0","15,6","0,7","116,8","0,6",,,
16/03/2014 22.00,"14,9","14,5","0,6","118,6","0,6",,,
16/03/2014 23.00,"11,3","10,9","0,5","119,7","0,5",,,
17/03/2014 0.00,"15,3","15,0","0,5","105,0","0,5",,,
17/03/2014 1.00,"10,1","9,8","0,5","104,5","0,4",,,
17/03/2014 2.00,"13,6","13,4","0,5","105,1","0,4",,,
17/03/2014 3.00,"9,5","9,0",,"113,1","0,4",,,
17/03/2014 4.00,"11,2","10,7","0,3","105,4","0,4",,,
17/03/2014 5.00,"13,7","13,3","0,3",,"0,4",,,
17/03/2014 6.00,"26,5","27,3","0,3","83,3","0,6",,,
17/03/2014 7.00,"62,2","77,2","0,5","57,4","0,5",,,
17/03/2014 8.00,"82,8","117,9","0,9","41,4","0,9",,,
17/03/2014 9.00,"43,2","61,2","0,6","72,5","1,1",,,
17/03/2014 10.00,"18,5","20,3","0,4","119,3","0,9",,,
17/03/2014 11.00,"12,7","12,9","0,3","132,7","0,5",,,
17/03/2014 12.00,"11,3","11,2","0,2","135,1","0,5",,,
17/03/2014 13.00,"11,3","11,3","0,2","135,6","0,5",,,
17/03/2014 14.00,"11,5","11,5","0,3","137,3","0,4",,,
17/03/2014 15.00,"10,5","10,1","0,3","145,1","0,4",,,
17/03/2014 16.00,"13,2","13,2","0,3","146,0","0,4",,,
17/03/2014 17.00,"22,6","24,5","0,4","137,2","0,6",,,
17/03/2014 18.00,"39,5","46,1","0,5","110,6","0,7",,,
17/03/2014 19.00,"53,7","64,0","0,7","83,9","1,1",,,
17/03/2014 20.00,"78,2","94,6","0,9","61,3","1,7",,,
17/03/2014 21.00,"94,6","119,7","1,1","44,9","2,3",,,
17/03/2014 22.00,"63,7","74,5","0,9","74,4","2,2",,,
17/03/2014 23.00,"40,5","44,6","0,7","90,0","1,6",,,
18/03/2014 0.00,"19,9","21,9","0,4","100,5","1,0",,,
18/03/2014 1.00,"13,9","14,0","0,3","102,3","0,6",,,
18/03/2014 2.00,"12,9","12,6","0,3","87,1","0,6",,,
18/03/2014 3.00,"13,0","12,7","0,3","79,9","0,6",,,
18/03/2014 4.00,"16,0","15,7","0,3","76,1","0,6",,,
18/03/2014 5.00,"16,1","15,8","0,3","76,2","0,6",,,
18/03/2014 6.00,"24,8","25,4","0,4","73,7","0,6",,,
18/03/2014 7.00,"62,0","82,5","0,6","33,3","0,8",,,
18/03/2014 8.00,"46,6","67,4","0,5","52,8","1,0",,,
18/03/2014 9.00,"46,6","76,5","0,6","58,4","1,3",,,
18/03/2014 10.00,"31,2","45,1","0,6","86,5","1,1",,,
18/03/2014 11.00,"20,1","24,7","0,4","110,0","0,7",,,
18/03/2014 12.00,"18,5","22,8","0,3","125,4","0,7",,,
18/03/2014 13.00,"18,7","21,4","0,5","134,6","0,5",,,
18/03/2014 14.00,"16,5","17,5","0,8","138,0","0,5",,,
18/03/2014 15.00,"14,7","15,4","0,8","136,9","1,1",,,
18/03/2014 16.00,"12,0","11,9","0,7","132,0","0,4",,,
18/03/2014 17.00,"13,0","12,9","0,7","126,7","0,4",,,
