Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
04/01/2014 15.00,"27,5","39,5","0,5","51,4","1,0",,,
04/01/2014 16.00,"27,5","39,2","0,5","50,9","1,4",,,
04/01/2014 17.00,"43,7","64,6","0,7","41,5","1,2",,,
04/01/2014 18.00,"62,1","94,2","1,0","29,8","1,9",,,
04/01/2014 19.00,"62,6","97,3","1,0","24,5","2,7",,,
04/01/2014 20.00,"58,4","94,6","0,9","27,9","2,9",,,
04/01/2014 21.00,"47,9","77,1","0,7","35,4","1,5",,,
04/01/2014 22.00,"46,6","68,2","0,5","40,4","0,8",,,
04/01/2014 23.00,"29,7","36,2","0,4","55,4","0,9",,,
05/01/2014 0.00,"22,2","25,1","0,4","54,2","0,4",,,
05/01/2014 1.00,"22,7","33,8","0,3","55,1","0,3",,,
05/01/2014 2.00,"17,0","21,7","0,3","61,4","0,3",,,
05/01/2014 3.00,"9,8","10,7","0,3","63,4","0,2",,,
05/01/2014 4.00,"8,8","9,2","0,3","63,7","0,2",,,
05/01/2014 5.00,"6,5","7,1","0,2","67,8","0,2",,,
05/01/2014 6.00,"7,9","8,7","0,2","64,5","0,2",,,
05/01/2014 7.00,"9,6","10,1","0,2","66,3","0,1",,,
05/01/2014 8.00,"12,4","21,5","0,3","63,6","0,2",,,
05/01/2014 9.00,"17,3","24,1","0,3","65,0","0,3",,,
05/01/2014 10.00,"16,0","24,0","0,3","62,2","0,3",,,
05/01/2014 11.00,"22,3","33,5","0,3","61,3","0,5",,,
05/01/2014 12.00,"18,5","28,5","0,3","62,0","0,5",,,
05/01/2014 13.00,"23,0","35,4","0,4","62,4","1,6",,,
05/01/2014 14.00,"21,0","29,6","0,5","63,0","0,9",,,
05/01/2014 15.00,"11,5","17,5","0,3","64,1","0,9",,,
05/01/2014 16.00,"13,8","17,6","0,4","62,6","0,7",,,
05/01/2014 17.00,"19,1","29,9","0,4","59,5","1,0",,,
