MARTINA FRANCA,,,,
,NO2,CO,O3,PM10
01/03/2011 22.00,"11,129245","0,377772","95,075817",
01/03/2011 23.00,"7,314807","0,3449","95,429233",
02/03/2011 0.00,"6,567232","0,367078","87,430473",
02/03/2011 1.00,"9,85085","0,404763","62,420637",
02/03/2011 2.00,"15,124102","0,450816","52,686595",
02/03/2011 3.00,"12,451775","0,518927","42,917995",
02/03/2011 4.00,"14,081906","0,438899","44,20982",
02/03/2011 5.00,"24,915251","0,456104","36,115604",
02/03/2011 6.00,"28,4766","0,396674","55,207955",
02/03/2011 7.00,"109,193778","0,942791","18,234514",
02/03/2011 8.00,"79,407711","0,937819","17,090291",
02/03/2011 9.00,"31,901682","0,550853","70,900788",
02/03/2011 10.00,"19,648475","0,40796","82,924669",
02/03/2011 11.00,"14,479056","0,397779","91,50026",
02/03/2011 12.00,"22,817884","0,404606","89,070985",
02/03/2011 13.00,"26,326021","0,463721","86,361398",
02/03/2011 14.00,"22,790618","0,419799","92,533445",
02/03/2011 15.00,"24,906151","0,374497","89,008024",
02/03/2011 16.00,"25,300711","0,35078","90,132602",
02/03/2011 17.00,"26,145624","0,459497","79,374165",
02/03/2011 18.00,"32,794624","0,533608","67,724727",
02/03/2011 19.00,"30,293632","0,570624","70,592737",
02/03/2011 20.00,"36,411782","0,580212","64,380044",
02/03/2011 21.00,"39,237259","0,518573","57,430725",
02/03/2011 22.00,"21,815919","0,453025","70,678041",
02/03/2011 23.00,"15,012486","0,398331","76,642234",
03/03/2011 0.00,"9,819701","0,32943","86,466352",
03/03/2011 1.00,"6,756723","0,306306","90,203028",
03/03/2011 2.00,,"0,295651","90,461002",
03/03/2011 3.00,,,"91,932914",
03/03/2011 4.00,,"0,141689",,
03/03/2011 5.00,,"0,141139","85,232544",
03/03/2011 6.00,,"0,151661",,
03/03/2011 7.00,,"0,1434",,
03/03/2011 8.00,,"0,221621",,
03/03/2011 9.00,,"0,367725",,
03/03/2011 10.00,,"0,27153",,
03/03/2011 11.00,,"0,260712",,
03/03/2011 12.00,,"0,242937",,
03/03/2011 13.00,,"0,244209",,
03/03/2011 14.00,,"0,165948",,
03/03/2011 15.00,,"0,122084",,
03/03/2011 16.00,,"0,133974",,
03/03/2011 17.00,,"0,167657",,
03/03/2011 18.00,,"0,203129",,
03/03/2011 19.00,,"0,299843",,
03/03/2011 20.00,,"0,277017",,
03/03/2011 21.00,,"0,300599",,
03/03/2011 22.00,,"0,164078",,
03/03/2011 23.00,,"0,132742",,
04/03/2011 0.00,,"0,082976",,
04/03/2011 1.00,,"0,055676",,
04/03/2011 2.00,,"0,05234",,
04/03/2011 3.00,,"0,017309",,
04/03/2011 4.00,,"0,026519",,
04/03/2011 5.00,,"0,055653",,
04/03/2011 6.00,,"0,02017",,
04/03/2011 7.00,,"0,137416",,
04/03/2011 8.00,,"0,626728",,
04/03/2011 9.00,,"0,703558",,
04/03/2011 10.00,,"0,47112",,
04/03/2011 11.00,,"0,428529",,
04/03/2011 12.00,,"0,408367",,
04/03/2011 13.00,,"0,434454",,
04/03/2011 14.00,,"0,43879",,
04/03/2011 15.00,,"0,335514",,
04/03/2011 16.00,,"0,361085","1,446872",
04/03/2011 17.00,,"0,564413","35,892843",
04/03/2011 18.00,"54,118663","0,720179","32,393134",
04/03/2011 19.00,"60,434111","0,840674","23,79247",
04/03/2011 20.00,"72,362849","1,186343","16,206725",
04/03/2011 21.00,"74,020576","1,127305","23,210208",
04/03/2011 22.00,"62,43152","0,826518","17,35501",
04/03/2011 23.00,"41,992644","0,594437","30,930021",
05/03/2011 0.00,"38,330054","0,518244","35,240836",
05/03/2011 1.00,"31,331923","0,459348","37,919285",
05/03/2011 2.00,,"0,445191","39,098051",
05/03/2011 3.00,"23,470697",,"21,60557",
05/03/2011 4.00,"23,880841","0,560544",,
05/03/2011 5.00,"22,306519","0,610162","5,610776",
05/03/2011 6.00,"63,341329","0,639839","6,300023",
05/03/2011 7.00,"68,013681","0,736415","11,518105",
05/03/2011 8.00,"69,703508","0,758145","19,096407",
05/03/2011 9.00,"67,5114","0,861872","19,887209",
05/03/2011 10.00,"68,126602","0,912363","17,303558",
05/03/2011 11.00,"54,737749","0,825442","25,471581",
05/03/2011 12.00,"51,455419","0,723145","35,986948",
05/03/2011 13.00,"44,458586","0,621167","40,381733",
05/03/2011 14.00,"47,533257","0,742452","35,511657",
05/03/2011 15.00,"31,061969","0,455824","42,406817",
05/03/2011 16.00,"38,711631","0,56273","32,949003",
05/03/2011 17.00,"60,665139","0,661569","17,499905",
05/03/2011 18.00,"60,827354","0,75878","16,834361",
05/03/2011 19.00,"64,881919","0,788575","16,627859",
05/03/2011 20.00,"59,955174","0,820198","20,47285",
05/03/2011 21.00,"62,789736","0,825839","17,092998",
05/03/2011 22.00,"51,288003","0,620492","28,888678",
05/03/2011 23.00,"21,77309","0,452407","44,869943",
06/03/2011 0.00,"14,362252","0,453044","50,734624",
06/03/2011 1.00,"9,486146","0,403425","58,567513",
06/03/2011 2.00,"7,734021","0,403306","61,470059",
06/03/2011 3.00,"6,424467","0,394407","65,277818",
06/03/2011 4.00,"5,957234","0,377404","68,079474",
06/03/2011 5.00,"6,07534","0,391348","70,032123",
06/03/2011 6.00,"5,144766","0,388606","71,686173",
06/03/2011 7.00,"5,286232","0,392698","70,490492",
06/03/2011 8.00,"8,162318","0,419316","63,669129",
06/03/2011 9.00,"9,580893","0,466074","60,934501",
06/03/2011 10.00,"12,355734","0,516289","59,644038",
06/03/2011 11.00,"13,617266","0,544336","63,068572",
06/03/2011 12.00,"16,152017","0,571469","65,780876",
06/03/2011 13.00,"16,521907","0,551764","68,148545",
06/03/2011 14.00,"13,750955","0,489314","72,893367",
06/03/2011 15.00,"8,336232","0,47386","74,47295",
06/03/2011 16.00,"12,3194","0,496664","67,248062",
06/03/2011 17.00,"13,179886","0,528643","65,021221",
06/03/2011 18.00,"15,920995","0,553353","59,421277",
06/03/2011 19.00,"19,047564","0,579335","58,354249",
06/03/2011 20.00,"17,966439","0,577467","65,239911",
06/03/2011 21.00,"17,225349","0,562292","73,110703",
06/03/2011 22.00,"17,374611","0,55379","76,409321",
06/03/2011 23.00,"13,473202","0,524552","78,596238",
07/03/2011 0.00,"13,070864","0,523836","73,911674",
07/03/2011 1.00,"15,704252","0,493842","67,259591",
07/03/2011 2.00,,"0,463452","76,477707",
07/03/2011 3.00,"20,162422",,"84,643026",
07/03/2011 4.00,"12,306421","0,260305",,
07/03/2011 5.00,"9,896275","0,243479","80,168355",
07/03/2011 6.00,"10,408924","0,302469","77,546112",
07/03/2011 7.00,"17,888564","0,483019","72,219017",
07/03/2011 8.00,"28,485682","0,508558","62,408468",
07/03/2011 9.00,"28,535011","0,5261","61,690088",
07/03/2011 10.00,"30,074268","0,545192","62,891199",
07/03/2011 11.00,"27,782239","0,592528","61,699563",
07/03/2011 12.00,"28,585622","0,527014","62,827557",
07/03/2011 13.00,"31,151506","0,565877","62,319074",
07/03/2011 14.00,"28,579122","0,564247","63,917603",
07/03/2011 15.00,"25,800393","0,539702","67,355733",
07/03/2011 16.00,"26,623241","0,533417","64,880392",
07/03/2011 17.00,"35,17621","0,614207","60,148431",
07/03/2011 18.00,"41,125646","0,68708","54,455063",
07/03/2011 19.00,"44,831083","0,725584","48,649971",
07/03/2011 20.00,"39,207413","0,676299","54,351459",
07/03/2011 21.00,"34,9426","0,628606","58,881667",
07/03/2011 22.00,"23,777","0,505454","66,204717",
07/03/2011 23.00,"12,758082","0,455375","75,120231",
08/03/2011 0.00,"11,597779","0,484691","74,776267",
08/03/2011 1.00,"9,114957","0,431428","75,460778",
08/03/2011 2.00,"6,406297","0,41492","76,390363",
08/03/2011 3.00,"6,057168","0,409313","78,170364",
08/03/2011 4.00,"6,01953","0,400004","78,795955",
08/03/2011 5.00,"5,936467","0,411023","78,144626",
08/03/2011 6.00,"16,737355","0,458198","70,230501",
08/03/2011 7.00,"23,932752","0,691296","63,227697",
08/03/2011 8.00,"37,725231","0,647182","54,876187",
08/03/2011 9.00,"39,130837","0,693682","53,634457",
08/03/2011 10.00,"38,227512","0,672201","53,820651",
08/03/2011 11.00,"31,241066","0,643006","60,137598",
08/03/2011 12.00,"28,110605","0,58493","62,454492",
08/03/2011 13.00,"35,461748","0,646029","60,446345",
08/03/2011 14.00,"28,52461","0,565678","64,047617",
08/03/2011 15.00,"23,225407","0,591175","67,379431",
08/03/2011 16.00,"30,127498","0,655059","64,267647",
08/03/2011 17.00,"33,007469","0,645114","61,889829",
08/03/2011 18.00,"38,781706","0,666515","56,588475",
08/03/2011 19.00,"47,184126","0,743723","44,412251",
08/03/2011 20.00,"53,907098","0,823876","37,773711",
08/03/2011 21.00,"49,32692","0,778289","40,140037",
08/03/2011 22.00,"26,296175","0,524548","58,943272",
08/03/2011 23.00,"15,82365","0,432623","67,129577",
09/03/2011 0.00,"16,651698","0,410705","64,464678",
09/03/2011 1.00,"13,117585","0,407124","65,547284",
09/03/2011 2.00,,"0,367705","66,052374",
09/03/2011 3.00,"21,181269",,"63,621748",
09/03/2011 4.00,"11,762614","0,27715",,
09/03/2011 5.00,"9,678232","0,283975","68,831031",
09/03/2011 6.00,"20,813974","0,317141","53,570138",
09/03/2011 7.00,"39,653865","0,463619","40,179299",
09/03/2011 8.00,"43,382667","0,482298","46,236939",
09/03/2011 9.00,"34,188527","0,482816","55,026487",
09/03/2011 10.00,"38,559762","0,459747","53,764453",
09/03/2011 11.00,"32,111944","0,398761","61,714468",
09/03/2011 12.00,"32,00422","0,392136","68,174953",
09/03/2011 13.00,"31,7109","0,42231","68,416672",
09/03/2011 14.00,"32,997086","0,398003","69,76876",
09/03/2011 15.00,"29,486347","0,303413","73,816195",
09/03/2011 16.00,"36,910164","0,379126","68,883839",
09/03/2011 17.00,"39,357944","0,440031","67,025315",
09/03/2011 18.00,"50,688381","0,528675","53,042043",
09/03/2011 19.00,"78,125391","0,98471","25,459391",
09/03/2011 20.00,"76,587412","0,972499","25,720058",
09/03/2011 21.00,"76,06697","0,877587","25,258296",
09/03/2011 22.00,"64,330311","0,674554","27,095831",
09/03/2011 23.00,"43,766826","0,559447","39,198918",
10/03/2011 0.00,"28,681662","0,374734","41,822523",
10/03/2011 1.00,"31,250146","0,372899","30,729603",
10/03/2011 2.00,"21,186451","0,294831","45,53346",
10/03/2011 3.00,"15,521251","0,268967","42,242967",
10/03/2011 4.00,"11,492653","0,257872","40,017484",
10/03/2011 5.00,"24,327293","0,282099","19,103856",
10/03/2011 6.00,"62,46397","0,36771","3,566741",
10/03/2011 7.00,"61,028533","0,574376","19,808673",
10/03/2011 8.00,"64,753419","0,714466","26,667942",
10/03/2011 9.00,"56,46392","0,752663","43,582193",
10/03/2011 10.00,"38,119791","0,495948","64,166102",
10/03/2011 11.00,"39,158082","0,454519","71,20141",
10/03/2011 12.00,"34,294949","0,375573","78,198796",
10/03/2011 13.00,"47,059538","0,523847","70,799898",
10/03/2011 14.00,"41,463114","0,439632","78,10401",
10/03/2011 15.00,"31,168391","0,349751","82,353902",
10/03/2011 16.00,"36,667473","0,392415","77,441151",
10/03/2011 17.00,"40,731104","0,487487","76,602973",
10/03/2011 18.00,"58,060288","0,661583","58,651462",
10/03/2011 19.00,"88,780926","0,964237","27,601603",
10/03/2011 20.00,"88,379904","1,020153","25,242735",
10/03/2011 21.00,"89,476585","1,026499","22,021967",
10/03/2011 22.00,"78,143574","0,816403","28,791859",
10/03/2011 23.00,"56,582023","0,577967","47,389968",
11/03/2011 0.00,"39,800534","0,412213","62,839068",
11/03/2011 1.00,"39,613636","0,426221","32,33829",
11/03/2011 2.00,,"0,38619","25,099195",
11/03/2011 3.00,"33,270939",,"25,598184",
11/03/2011 4.00,"26,194935","0,356488",,
11/03/2011 5.00,"43,674667","0,347394","12,111876",
11/03/2011 6.00,"73,38946","0,505668","1,806391",
11/03/2011 7.00,"149,949593","1,506947","1,433332",
11/03/2011 8.00,"149,8912","2,194123","4,371761",
11/03/2011 9.00,"78,965122","0,993668","34,303785",
11/03/2011 10.00,"55,094662","0,629491","59,870849",
11/03/2011 11.00,"47,424234","0,544925","74,336855",
11/03/2011 12.00,"43,443661","0,509433","83,205642",
11/03/2011 13.00,"60,572979","0,813041","77,252285",
11/03/2011 14.00,"58,292615","0,565836","83,275367",
11/03/2011 15.00,"46,613065","0,450146","88,964014",
11/03/2011 16.00,"45,908322","0,509633","84,714799",
11/03/2011 17.00,"54,937611","0,596001","72,674677",
11/03/2011 18.00,"66,62496","0,773223","59,166692",
11/03/2011 19.00,"98,548724","0,926969","13,197883",
11/03/2011 20.00,"97,527277","1,335815","3,608718",
11/03/2011 21.00,"87,223488","1,29187","3,769179",
11/03/2011 22.00,"73,877459","0,948321","16,849928",
11/03/2011 23.00,"60,767659","0,884427","27,247491",
12/03/2011 0.00,"44,606557","0,587187","47,148253",
12/03/2011 1.00,"33,75764","0,393021","60,667729",
12/03/2011 2.00,"36,657072","0,668108","44,034459",
12/03/2011 3.00,"31,774494","0,572926","47,081221",
12/03/2011 4.00,"24,07422","0,454952","49,77591",
12/03/2011 5.00,"26,115778","0,301686","58,290588",
12/03/2011 6.00,"45,206162","0,411288","33,806153",
12/03/2011 7.00,"110,151653","0,696909","23,640132",
12/03/2011 8.00,"52,716956","0,380081","64,636641",
12/03/2011 9.00,"27,343549","0,267996","87,781872",
12/03/2011 10.00,"27,30072","0,266234","89,974178",
12/03/2011 11.00,"14,105269","0,225373","101,037294",
12/03/2011 12.00,"16,293488","0,204743","100,708261",
12/03/2011 13.00,"23,525209","0,180748","93,232856",
12/03/2011 14.00,"18,350609","0,148019","99,591774",
12/03/2011 15.00,"11,231776","0,110243","107,202582",
12/03/2011 16.00,"9,818403","0,131193","105,819969",
12/03/2011 17.00,"10,848908","0,134078","102,792858",
12/03/2011 18.00,"16,000163","0,174658","99,458411",
12/03/2011 19.00,"17,548519","0,183391","99,109729",
12/03/2011 20.00,"15,709439","0,170892","98,970916",
12/03/2011 21.00,"13,174699","0,12182","101,840944",
12/03/2011 22.00,"9,327808","0,117734","106,146369",
12/03/2011 23.00,"6,951403","0,072146","108,072625",
13/03/2011 0.00,"6,420574","0,04764","104,378559",
13/03/2011 1.00,"6,397212","0,046848","99,296577",
13/03/2011 2.00,,"0,02776","100,587059",
13/03/2011 3.00,"5,039636",,"103,943188",
13/03/2011 4.00,"4,774872","0,095452",,
13/03/2011 5.00,"3,762531","0,09972","100,78884",
13/03/2011 6.00,"4,394594","0,091458","98,633079",
13/03/2011 7.00,"7,541935","0,105581","94,490842",
13/03/2011 8.00,"6,183062","0,101073","95,354758",
13/03/2011 9.00,"5,257681","0,11626","96,511854",
13/03/2011 10.00,"6,777489","0,1381","94,247769",
13/03/2011 11.00,"8,602296","0,170777","93,299211",
13/03/2011 12.00,"8,530913","0,172985","95,123876",
13/03/2011 13.00,"9,897573","0,158933","94,475941",
13/03/2011 14.00,"7,94687","0,119592","97,50443",
13/03/2011 15.00,"5,156446","0,101045","101,988569",
13/03/2011 16.00,"7,317404","0,104137","99,303358",
13/03/2011 17.00,"6,415383","0,125373","99,608037",
13/03/2011 18.00,"9,447211","0,0996","89,226715",
13/03/2011 19.00,"8,029935","0,094999","86,406763",
13/03/2011 20.00,"7,99619","0,072112","85,521843",
13/03/2011 21.00,"7,043553","0,064573","86,242913",
13/03/2011 22.00,"6,168787","0,055031","86,013386",
13/03/2011 23.00,"5,033149","0,048607","87,02288",
14/03/2011 0.00,"4,712573","0,029819","88,302532",
14/03/2011 1.00,"4,323212","0,039831","86,697234",
14/03/2011 2.00,"3,253765","0,017045","82,088485",
14/03/2011 3.00,"2,429617","0,015203","84,956518",
14/03/2011 4.00,"3,832616","0,009258","74,648992",
14/03/2011 5.00,"6,937126","0,014452","76,459435",
14/03/2011 6.00,"6,996828","0,025585","78,741115",
14/03/2011 7.00,"12,772351","0,039812","72,816861",
14/03/2011 8.00,"16,359675","0,046013","70,998961",
14/03/2011 9.00,"17,022889","0,098066","71,08291",
14/03/2011 10.00,"14,015717","0,087605","74,160836",
14/03/2011 11.00,"9,271999","0,045179","77,33418",
14/03/2011 12.00,"12,281765","0,053244","75,032865",
14/03/2011 13.00,"17,998888","0,125052","74,93944",
14/03/2011 14.00,"12,116929","0,074023","76,257654",
14/03/2011 15.00,"11,165589","0,031545","76,001742",
14/03/2011 16.00,"15,625075","0,090848","74,758657",
14/03/2011 17.00,"13,201951","0,105622","74,235303",
14/03/2011 18.00,"14,990424","0,128785","74,613779",
14/03/2011 19.00,"16,523208","0,132037","74,843307",
14/03/2011 20.00,"14,046863","0,101542","74,795225",
14/03/2011 21.00,"8,707424","0,041816","76,218393",
14/03/2011 22.00,"5,553595","0,019743","77,654438",
14/03/2011 23.00,"4,839765","0,005118","78,059999",
15/03/2011 0.00,"3,920871","0,005311","79,608441",
15/03/2011 1.00,"3,016254","0,001734","83,743897",
15/03/2011 2.00,,"0,001481","85,676211",
15/03/2011 3.00,"2,240128",,"85,868508",
15/03/2011 4.00,"3,710616","0,092467",,
15/03/2011 5.00,"3,931253","0,075286","85,882717",
15/03/2011 6.00,"17,196798","0,090304","77,747185",
15/03/2011 7.00,"32,14567","0,154297","72,649624",
15/03/2011 8.00,"23,016446","0,170356","77,759376",
15/03/2011 9.00,"20,104029","0,181649","77,201494",
15/03/2011 10.00,"18,74906","0,168273","78,722158",
15/03/2011 11.00,"12,573776","0,149492","82,207647",
15/03/2011 12.00,"18,297401","0,192421","78,645651",
15/03/2011 13.00,"15,908014","0,136317","78,642942",
15/03/2011 14.00,"15,622478","0,13067","78,393788",
15/03/2011 15.00,"15,885952","0,117975","74,734297",
15/03/2011 16.00,"13,850881","0,122702","75,76274",
15/03/2011 17.00,"14,848953","0,149812","74,96855",
15/03/2011 18.00,"12,942373","0,162747","75,404576",
15/03/2011 19.00,"16,896992","0,192582","70,805324",
15/03/2011 20.00,"14,113062","0,168473","74,256292",
15/03/2011 21.00,"12,259692","0,122217","77,881925",
15/03/2011 22.00,"7,919614","0,08721","86,037769",
15/03/2011 23.00,"4,961766","0,052938","90,036468",
16/03/2011 0.00,"3,977977","0,046778","91,652611",
16/03/2011 1.00,"2,959149","0,039384","91,550374",
16/03/2011 2.00,"2,118127","0,02989","92,066978",
16/03/2011 3.00,"1,900084","0,042292","91,750792",
16/03/2011 4.00,"2,219362","0,03324","92,995886",
16/03/2011 5.00,"4,624317","0,033969","80,656511",
16/03/2011 6.00,"7,34985","0,046072","75,709932",
16/03/2011 7.00,"12,89955","0,050783","76,208241",
16/03/2011 8.00,"20,283126","0,138288","73,200756",
16/03/2011 9.00,"16,507635","0,180687","76,631405",
16/03/2011 10.00,"16,164997","0,20047","77,930685",
16/03/2011 11.00,"10,939762","0,159784","81,708676",
16/03/2011 12.00,"16,065058","0,167833","78,044421",
16/03/2011 13.00,"19,152695","0,209961","76,663224",
16/03/2011 14.00,"16,414188","0,210683","74,982774",
16/03/2011 15.00,"15,479719","0,131831","81,368769",
16/03/2011 16.00,"15,556293","0,171557","82,113545",
16/03/2011 17.00,"14,768483","0,166752","80,896868",
16/03/2011 18.00,"15,113717","0,164269","81,338305",
16/03/2011 19.00,"17,381099","0,209001","76,588072",
16/03/2011 20.00,"14,972247","0,158303","73,999003",
16/03/2011 21.00,"12,168847","0,126665","72,049763",
16/03/2011 22.00,"8,745064","0,079272","74,217693",
16/03/2011 23.00,"5,412126","0,074004","82,026202",
17/03/2011 0.00,"5,321275","0,045731","78,556299",
17/03/2011 1.00,"5,052617","0,064475","76,195372",
17/03/2011 2.00,,"0,079491","78,525812",
17/03/2011 3.00,"6,968274",,"80,754007",
17/03/2011 4.00,"6,708701","0,088571",,
17/03/2011 5.00,"4,50102","0,08121","89,263282",
17/03/2011 6.00,"7,126615","0,122209","83,267247",
17/03/2011 7.00,"11,612061","0,173776","72,867637",
17/03/2011 8.00,"12,530953","0,169898","72,143865",
17/03/2011 9.00,"7,082489","0,166574","80,226574",
17/03/2011 10.00,"6,242764","0,185016","85,390512",
17/03/2011 11.00,"6,45951","0,220594","86,221247",
17/03/2011 12.00,"7,493913","0,242757","87,793387",
17/03/2011 13.00,"9,416062","0,242559","88,733132",
17/03/2011 14.00,"8,939743","0,282254","89,537474",
17/03/2011 15.00,"17,993701","0,573173","81,682246",
17/03/2011 16.00,"10,286935","0,287161","89,800852",
17/03/2011 17.00,"21,234462","0,547213","76,234656",
17/03/2011 18.00,"21,082629","0,388513","74,678094",
17/03/2011 19.00,"21,410976","0,369636","66,56222",
17/03/2011 20.00,"25,649824","0,320839","52,002747",
17/03/2011 21.00,"22,106639","0,310431","56,235041",
17/03/2011 22.00,"13,675673","0,254115","68,495195",
17/03/2011 23.00,"10,830742","0,202706","66,692874",
18/03/2011 0.00,"6,811232","0,147656","75,604316",
18/03/2011 1.00,"8,756744","0,148251","64,37598",
18/03/2011 2.00,"7,586063","0,167602","69,783646",
18/03/2011 3.00,"9,090296","0,285577","73,679422",
18/03/2011 4.00,"7,902743","0,178328","75,190634",
18/03/2011 5.00,"12,192201","0,190557","70,760636",
18/03/2011 6.00,"18,708821","0,205159","64,981959",
18/03/2011 7.00,"30,442883","0,182721","48,789441",
18/03/2011 8.00,"31,860151","0,334651","54,596565",
18/03/2011 9.00,"43,823936","0,412932","51,142225",
18/03/2011 10.00,"22,881478","0,217508","66,067275",
18/03/2011 11.00,"21,861348","0,173025","71,79586",
18/03/2011 12.00,"24,213089","0,189566","68,9082",
18/03/2011 13.00,"41,505943","0,298083","54,399541",
18/03/2011 14.00,"32,62719","0,249801","60,542486",
18/03/2011 15.00,"32,457173","0,265394","54,280379",
18/03/2011 16.00,"43,720095","0,330892","43,002625",
18/03/2011 17.00,"65,878669","0,608238","25,53183",
18/03/2011 18.00,"65,506187","0,594308","23,858145",
18/03/2011 19.00,"74,963783","0,795667","8,203233",
18/03/2011 20.00,"72,048768","0,830058","4,417802",
18/03/2011 21.00,"60,109625","0,635901","12,9995",
18/03/2011 22.00,"41,855074","0,398011","21,193922",
18/03/2011 23.00,"27,780939","0,364214","26,344972",
19/03/2011 0.00,"18,428487","0,214975","52,218047",
19/03/2011 1.00,"12,586757","0,114136","62,406433",
19/03/2011 2.00,,"0,091987","61,508643",
19/03/2011 3.00,"6,996828",,"68,317799",
19/03/2011 4.00,"4,982532","0,170485",,
19/03/2011 5.00,"6,726087","0,455227","66,368765",
19/03/2011 6.00,"10,532227","0,340985","70,30633",
19/03/2011 7.00,"20,468227","0,539739","54,360257",
19/03/2011 8.00,"45,483917","0,650828","41,905114",
19/03/2011 9.00,"70,234336","1,097602","22,634014",
19/03/2011 10.00,"53,97459","0,852921","26,660482",
19/03/2011 11.00,"35,36701","0,717272","32,543438",
19/03/2011 12.00,"26,690735","0,633297","38,668106",
19/03/2011 13.00,"25,610895","0,62349","44,194238",
19/03/2011 14.00,"29,961364","0,624931","52,285779",
19/03/2011 15.00,"18,924271","0,526426","61,358339",
19/03/2011 16.00,"22,242907","0,610521","56,118591",
19/03/2011 17.00,"24,724454","0,642983","58,432095",
19/03/2011 18.00,"32,793322","0,695978","45,926834",
19/03/2011 19.00,"37,692785","0,732202","33,693753",
19/03/2011 20.00,"32,820567","0,719433","32,575937",
19/03/2011 21.00,"35,011376","0,690694","35,792634",
19/03/2011 22.00,"28,984064","0,692055","46,668894",
19/03/2011 23.00,"23,530409","0,597834","48,886937",
20/03/2011 0.00,"19,748397","0,568855","50,146259",
20/03/2011 1.00,"18,180587","0,504252","46,75083",
20/03/2011 2.00,"14,094883","0,503531","46,666181",
20/03/2011 3.00,"10,359612","0,451056","48,272837",
20/03/2011 4.00,"7,756083","0,400184","50,989886",
20/03/2011 5.00,"7,207085","0,390976","50,125273",
20/03/2011 6.00,"6,751532","0,393579","51,340588",
20/03/2011 7.00,"8,555572","0,432485","49,518632",
20/03/2011 8.00,"9,623723","0,451697","49,635758",
20/03/2011 9.00,"9,078615","0,461383","57,314275",
20/03/2011 10.00,"11,565332","0,516901","59,920262",
20/03/2011 11.00,"12,151972","0,540796","65,152567",
20/03/2011 12.00,"16,289591","0,575097","61,239177",
20/03/2011 13.00,"20,268863","0,605878","62,953481",
20/03/2011 14.00,"14,325908","0,514419","66,528361",
20/03/2011 15.00,"8,559465","0,478755","67,77414",
20/03/2011 16.00,"11,474485","0,529268","62,410481",
20/03/2011 17.00,"12,273973","0,526586","59,560743",
20/03/2011 18.00,"17,691291","0,598194","58,778086",
20/03/2011 19.00,"18,95152","0,587426","64,673209",
20/03/2011 20.00,"18,437568","0,589548","63,700948",
20/03/2011 21.00,"20,024854","0,57838","61,578388",
20/03/2011 22.00,"16,292186","0,514739","61,98393",
20/03/2011 23.00,"12,882677","0,493844","61,5662",
21/03/2011 0.00,"12,928102","0,525466","56,335927",
21/03/2011 1.00,"10,14417","0,498167","56,518049",
21/03/2011 2.00,,"0,465186","55,571542",
21/03/2011 3.00,"9,7587",,"51,824692",
21/03/2011 4.00,"8,394636","0,325989",,
21/03/2011 5.00,"7,948168","0,332847","56,060357",
21/03/2011 6.00,"11,596477","0,327874","47,180752",
21/03/2011 7.00,"20,976188","0,484352","42,429838",
21/03/2011 8.00,"33,282623","0,613121","27,609044",
21/03/2011 9.00,"41,603285","0,746219","24,376766",
21/03/2011 10.00,"41,734353","0,721356","26,938086",
21/03/2011 11.00,"40,711641","0,668982","29,808132",
21/03/2011 12.00,"39,24246","0,606784","29,482469",
21/03/2011 13.00,"46,054973","0,735392","25,90286",
21/03/2011 14.00,"32,93219","0,604698","35,348488",
21/03/2011 15.00,"27,225446","0,477294","41,754133",
21/03/2011 16.00,"30,464928","0,559182","44,584918",
21/03/2011 17.00,"33,402029","0,580637","43,153606",
21/03/2011 18.00,"41,198342","0,723923","37,754757",
21/03/2011 19.00,"48,222435","0,733707","25,056543",
21/03/2011 20.00,"47,51119","0,692522","26,491904",
21/03/2011 21.00,"42,638976","0,610834","33,021438",
21/03/2011 22.00,"28,451936","0,494138","47,570058",
21/03/2011 23.00,"16,286998","0,394203","57,446984",
22/03/2011 0.00,"11,499142","0,320375","59,442939",
22/03/2011 1.00,"11,549757","0,323945","52,449606",
22/03/2011 2.00,"8,14934","0,293627","51,070445",
22/03/2011 3.00,"5,648339","0,266117","59,581055",
22/03/2011 4.00,"6,874829","0,263831","54,676466",
22/03/2011 5.00,"6,876127","0,275381","49,139485",
22/03/2011 6.00,"12,093566","0,307061","44,094706",
22/03/2011 7.00,"47,60983","0,813269","10,267577",
22/03/2011 8.00,"53,206254","0,844068","18,3293",
22/03/2011 9.00,"39,594173","0,641192","45,9336",
22/03/2011 10.00,"27,089177","0,545628","59,715796",
22/03/2011 11.00,"27,638169","0,515552","61,652862",
22/03/2011 12.00,"28,984064","0,473164","63,346855",
22/03/2011 13.00,"32,453275","0,51864","64,919654",
22/03/2011 14.00,"35,880953","0,510339","62,791667",
22/03/2011 15.00,"31,181374","0,476532","66,675956",
22/03/2011 16.00,"36,19634","0,500112","61,91285",
22/03/2011 17.00,"39,298253","0,575385","56,27837",
22/03/2011 18.00,"40,881657","0,595355","53,279009",
22/03/2011 19.00,"56,60149","0,736394","34,90027",
22/03/2011 20.00,"58,862391","0,82919","28,410676",
22/03/2011 21.00,"53,4178","0,732224","26,816212",
22/03/2011 22.00,"33,36568","0,477615","45,610667",
22/03/2011 23.00,"16,026119","0,345479","60,192442",
23/03/2011 0.00,"15,037142","0,357149","54,019714",
23/03/2011 1.00,"10,159742","0,305657","59,622372",
23/03/2011 2.00,,"0,311312","65,973835",
23/03/2011 3.00,"6,839786",,"69,306996",
23/03/2011 4.00,"7,858616","0,314361",,
23/03/2011 5.00,"8,64902","0,311671","62,761203",
23/03/2011 6.00,"13,299294","0,357325","55,479454",
