MARTINA FRANCA,,,,
,NO2,CO,O3,PM10
05/01/2011 16.00,"26,998318","0,365646","55,20568",
05/01/2011 17.00,"34,240458","0,501554","43,878269",
05/01/2011 18.00,"48,742863","0,661726","32,003253",
05/01/2011 19.00,"41,012743","0,646286","42,751892",
05/01/2011 20.00,"30,902335","0,467703","50,578198",
05/01/2011 21.00,"29,729038","0,454725","46,469876",
05/01/2011 22.00,"19,815891","0,35538","56,151768",
05/01/2011 23.00,"12,493307","0,270798","64,926876",
06/01/2011 0.00,"16,38953","0,313981","56,927085",
06/01/2011 1.00,"16,843785","0,402889","43,533993",
06/01/2011 2.00,,"0,523018","18,950392",
06/01/2011 3.00,"23,984663",,"31,416362",
06/01/2011 4.00,"19,47066","0,499892",,
06/01/2011 5.00,"18,972291","0,503287","11,490053",
06/01/2011 6.00,"24,763382","0,540637","5,77417",
06/01/2011 7.00,"24,794528","0,481726","8,059443",
06/01/2011 8.00,"42,430011","0,523913","3,324893",
06/01/2011 9.00,"41,077635","0,77161","11,887204",
06/01/2011 10.00,"36,84917","0,608544","32,661999",
06/01/2011 11.00,"24,384405","0,403122","53,682177",
06/01/2011 12.00,"21,656287","0,329271","63,772051",
06/01/2011 13.00,"23,470697","0,313652","65,306425",
06/01/2011 14.00,"20,488188","0,247187","67,850571",
06/01/2011 15.00,"19,841855","0,233181","64,628681",
06/01/2011 16.00,"21,710797","0,347097","60,97578",
06/01/2011 17.00,"45,020581","0,655911","27,789213",
06/01/2011 18.00,"48,423599","0,670002","22,200739",
06/01/2011 19.00,"36,602581","0,46806","36,851678",
06/01/2011 20.00,"39,566909","0,43453","35,936754",
06/01/2011 21.00,"22,582956","0,286064","55,141959",
06/01/2011 22.00,"8,833317","0,167054","69,885068",
06/01/2011 23.00,"12,672424","0,218071","64,428088",
07/01/2011 0.00,"6,816425","0,171724","72,007709",
07/01/2011 1.00,"3,987063","0,10257","74,565416",
07/01/2011 2.00,"2,632084","0,084631","74,808033",
07/01/2011 3.00,"2,206383","0,080613","71,198496",
07/01/2011 4.00,"2,767064","0,064315","67,302963",
07/01/2011 5.00,"5,453659","0,05891","70,366261",
07/01/2011 6.00,"7,80021","0,080076","70,077549",
07/01/2011 7.00,"20,667305","0,131517","57,508567",
07/01/2011 8.00,"26,066447","0,210857","53,176586",
07/01/2011 9.00,"25,09825","0,21128","53,354142",
07/01/2011 10.00,"22,707561","0,225541","51,146133",
07/01/2011 11.00,"18,645227","0,248205","58,809787",
07/01/2011 12.00,"22,624484","0,414667","55,918634",
07/01/2011 13.00,"38,757042","0,882641","43,361844",
07/01/2011 14.00,"32,288459","0,614147","55,834604",
07/01/2011 15.00,"22,55441","0,236745","67,670298",
07/01/2011 16.00,"20,5453","0,21858","66,611694",
07/01/2011 17.00,"25,77833","0,300664","54,912896",
07/01/2011 18.00,"36,231387","0,496241","38,784517",
07/01/2011 19.00,"34,619435","0,379268","42,865746",
07/01/2011 20.00,"30,292312","0,310681","54,480519",
07/01/2011 21.00,"21,936624","0,267814","61,317342",
07/01/2011 22.00,"12,446589","0,157972","70,917941",
07/01/2011 23.00,"11,338204","0,23386","62,790708",
08/01/2011 0.00,"11,818416","0,192775","60,113721",
08/01/2011 1.00,"5,614593","0,12266","70,581786",
08/01/2011 2.00,,"0,105767","73,228952",
08/01/2011 3.00,"1,580809","0,109842","77,333221",
08/01/2011 4.00,"1,684638","0,105427",,
08/01/2011 5.00,"7,146085","0,135562","67,965784",
08/01/2011 6.00,"8,864468","0,130045","66,634738",
08/01/2011 7.00,"21,806837","0,221976","56,932511",
08/01/2011 8.00,"18,126074","0,230464","56,212777",
08/01/2011 9.00,"14,948881","0,292346","59,437353",
08/01/2011 10.00,"18,720498","0,274605","62,122484",
08/01/2011 11.00,"10,837231","0,235134","71,785426",
08/01/2011 12.00,"14,027395","0,212214","70,774258",
08/01/2011 13.00,"25,350022","0,268239","60,293986",
08/01/2011 14.00,"18,211733","0,216033","68,197556",
08/01/2011 15.00,"11,434247","0,157039","69,792923",
08/01/2011 16.00,"10,382978","0,173337","70,709205",
08/01/2011 17.00,"13,975477","0,229616","66,679464",
08/01/2011 18.00,"12,830759","0,204574","67,298914",
08/01/2011 19.00,"17,617311","0,232587","65,158679",
08/01/2011 20.00,"13,47191","0,199735","66,91667",
08/01/2011 21.00,"14,089698","0,238784","64,731709",
08/01/2011 22.00,"14,385606","0,307625","60,432239",
08/01/2011 23.00,"12,815186","0,309068","53,396155",
09/01/2011 0.00,"19,590064","0,46076","36,930282",
09/01/2011 1.00,"30,637545","0,766178","15,99824",
09/01/2011 2.00,"32,685601","0,89775","3,583782",
09/01/2011 3.00,"24,932096",,"1,454387",
09/01/2011 4.00,"18,9645","0,886236","1,21854",
09/01/2011 5.00,"14,938505","0,591445","3,480768",
09/01/2011 6.00,"16,342799","0,538393","1,938278",
09/01/2011 7.00,"22,544027","0,583745","0,302262",
09/01/2011 8.00,"19,774363","0,556077","0,761757",
09/01/2011 9.00,"28,104105","0,905444","5,314678",
09/01/2011 10.00,"39,771971","0,747132","22,042136",
09/01/2011 11.00,"21,092993","0,462918","54,353096",
09/01/2011 12.00,"12,181825","0,415958","74,27942",
09/01/2011 13.00,"23,107303","0,805939","64,272213",
09/01/2011 14.00,"11,465392","0,37052","82,700773",
09/01/2011 15.00,"5,744382","0,288953","86,969052",
09/01/2011 16.00,"11,374549","0,304691","73,807717",
09/01/2011 17.00,"17,687394","0,40665","47,550165",
09/01/2011 18.00,"39,626619","0,904176","12,076958",
09/01/2011 19.00,"62,996118","2,067265","1,570955",
09/01/2011 20.00,"50,453472","0,990987","22,115332",
09/01/2011 21.00,"62,414657","2,064727","3,594625",
09/01/2011 22.00,"67,279089","2,07945","1,627882",
09/01/2011 23.00,"51,403506","1,191182","18,204896",
10/01/2011 0.00,"33,666783","0,564876","32,66607",
10/01/2011 1.00,"30,590832","0,475864","32,699967",
10/01/2011 2.00,,"0,433473","35,019132",
10/01/2011 3.00,"30,512957","0,632905","24,136287",
10/01/2011 4.00,"41,508525","1,275288",,
10/01/2011 5.00,"18,507653","0,408427","44,078865",
10/01/2011 6.00,"16,238977","0,223716","44,744399",
10/01/2011 7.00,"33,344915","0,249016","31,27404",
10/01/2011 8.00,"38,484487","0,332022","35,010993",
10/01/2011 9.00,"31,377334","0,34759","46,400748",
10/01/2011 10.00,"18,743863","0,273131","58,28931",
10/01/2011 11.00,"18,471309","0,325676","60,166586",
10/01/2011 12.00,"13,778204","0,225833","65,448731",
10/01/2011 13.00,"19,774363","0,23827","63,640579",
10/01/2011 14.00,"17,954761","0,225917","66,796054",
10/01/2011 15.00,"13,03323","0,185471","67,74892",
