 Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NO2,PM10,NOX
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,
04/01/2010 14.00,"1,13024702","15,99238099","20,10000038","19,06423078"
04/01/2010 15.00,"1,36662223","20,62447632","20,10000038","26,61391192"
04/01/2010 16.00,"1,66873021","29,63429832","20,10000038","37,86127104"
04/01/2010 17.00,"1,87829018","19,22277","20,10000038","24,97064352"
04/01/2010 18.00,"1,99817516","14,18443777","20,10000038","18,6595751"
04/01/2010 19.00,"1,46326265","15,19029126","20,10000038","18,64141684"
04/01/2010 20.00,"1,49834813","15,66790886","20,10000038","17,66349958"
04/01/2010 21.00,"1,56042378","15,13837472","20,10000038","16,63240387"
04/01/2010 22.00,"1,83232076","12,07799119","20,10000038","13,8166703"
04/01/2010 23.00,"1,77189978","10,4258014","20,10000038","12,41593719"
05/01/2010 0.00,"1,72366652","9,77816876","20,10000038","12,70386718"
05/01/2010 1.00,"1,25039438","7,74959412","29,10000038","11,89066299"
05/01/2010 2.00,"1,53186744","7,28236059","29,10000038","12,87247308"
05/01/2010 3.00,"1,48250327","9,89497858","29,10000038","15,56758622"
05/01/2010 4.00,"1,09725045","11,56663253","29,10000038","16,83084079"
05/01/2010 5.00,"0,82578976","12,53614272","29,10000038","17,72705064"
05/01/2010 6.00,"1,38647305","14,9787361","29,10000038","20,07974752"
05/01/2010 7.00,"1,04449053","19,1552764","29,10000038","24,96416184"
05/01/2010 8.00,"1,09873121","16,51022707","29,10000038","21,97593528"
05/01/2010 9.00,"0,93940595","12,68020618","29,10000038","17,79968178"
05/01/2010 10.00,"0,54344514","12,106545","29,10000038","16,63759113"
05/01/2010 11.00,"0,90458082","13,83661246","29,10000038","18,21341564"
05/01/2010 12.00,"0,90902104","14,23765829","29,10000038","18,48578004"
05/01/2010 13.00,"0,74107773","14,09229084","29,10000038","18,6790297"
05/01/2010 14.00,"0,80985642","10,41801765","29,10000038","14,8892698"
05/01/2010 15.00,"0,70738452","9,49393466","29,10000038","13,40942195"
05/01/2010 16.00,"0,74595323","10,47902001","29,10000038","14,08125478"
05/01/2010 17.00,"0,56129349","10,72301033","29,10000038","14,2835807"
05/01/2010 18.00,"0,50548561","12,00401209","29,10000038","15,66615746"
05/01/2010 19.00,"0,44332352","12,01570014","29,10000038","16,01504393"
05/01/2010 20.00,"0,4766679","10,716521","29,10000038","13,92561606"
05/01/2010 21.00,"0,28913513","10,46992654","29,10000038","13,7972157"
05/01/2010 22.00,"0,44750237","7,66004178","29,10000038","11,20715932"
05/01/2010 23.00,"0,39317525","5,7352983","29,10000038","9,39398678"
06/01/2010 0.00,"0,38159569","4,87221194","29,10000038","8,87519808"
06/01/2010 1.00,,"4,47116994","39,09999084","8,42125678"
06/01/2010 2.00,"0,36545081",,"39,09999084",
06/01/2010 3.00,"0,65763797","4,59446717","39,09999084","9,26299374"
06/01/2010 4.00,"0,40284794","4,80602041","39,09999084","9,53146722"
06/01/2010 5.00,"0,48338824","5,06170261","39,09999084","9,56129825"
06/01/2010 6.00,"0,64877278","6,1791691","39,09999084","10,97110954"
