,Provincia di TARANTO,
,TAR v.Alto Adige,
Parm,SO2,NO2



07/01/2005 8.00,"5,095467","89,45582"
07/01/2005 9.00,"8,565136","88,626475"
07/01/2005 10.00,"15,068319","79,812635"
07/01/2005 11.00,"9,105886","48,353503"
07/01/2005 12.00,"2,259275","36,84657"
07/01/2005 13.00,"0,582416","37,547415"
07/01/2005 14.00,"0,315054","47,402167"
07/01/2005 15.00,"0,191302","35,452667"
07/01/2005 16.00,"0,107619","31,878334"
07/01/2005 17.00,"0,274542","37,980923"
07/01/2005 18.00,"0,177384","60,412047"
07/01/2005 19.00,"0,194937","71,240181"
07/01/2005 20.00,"0,238197","90,046347"
07/01/2005 21.00,"1,182117","89,166406"
07/01/2005 22.00,"3,281736","79,724374"
07/01/2005 23.00,"3,485626","86,63943"
08/01/2005 0.00,"3,283509","94,652509"
08/01/2005 1.00,,"75,473846"
08/01/2005 2.00,"2,836684",
08/01/2005 3.00,"2,524092","25,570667"
08/01/2005 4.00,"1,970918","29,129415"
08/01/2005 5.00,"2,495947","47,568303"
08/01/2005 6.00,"3,116939","27,806885"
08/01/2005 7.00,"2,069427","51,663078"
08/01/2005 8.00,"2,305218","85,450586"
08/01/2005 9.00,"2,237549","84,54988"
08/01/2005 10.00,"2,280067","53,508658"
08/01/2005 11.00,"4,960153","58,890935"
08/01/2005 12.00,"4,636782","63,804683"
08/01/2005 13.00,"2,795243","62,600099"
08/01/2005 14.00,"2,048916","68,136988"
08/01/2005 15.00,"1,088385","41,659074"
08/01/2005 16.00,"0,704531","51,892808"
08/01/2005 17.00,"1,250969","97,66488"
08/01/2005 18.00,"3,455729","100,252831"
08/01/2005 19.00,"4,785892","107,760967"
08/01/2005 20.00,"2,435165","94,73686"
08/01/2005 21.00,"2,283211","87,978845"
08/01/2005 22.00,"2,202817","84,692632"
08/01/2005 23.00,"2,271982","81,298698"
09/01/2005 0.00,"1,370137","78,03845"
09/01/2005 1.00,"1,608323","75,357045"
09/01/2005 2.00,"2,45867","73,675001"
09/01/2005 3.00,"1,716713","68,366696"
09/01/2005 4.00,"1,521043","63,694359"
09/01/2005 5.00,"1,911185","61,778705"
09/01/2005 6.00,"1,846959","59,743631"
09/01/2005 7.00,"1,719857","49,811021"
09/01/2005 8.00,"2,22677","59,464596"
09/01/2005 9.00,"2,681436","61,699531"
09/01/2005 10.00,"2,260155","65,581465"
09/01/2005 11.00,"2,236502","83,96712"
09/01/2005 12.00,"3,000166","93,598627"
09/01/2005 13.00,"2,357317","60,347155"
09/01/2005 14.00,"1,342441","53,201053"
09/01/2005 15.00,"0,842563","44,22758"
09/01/2005 16.00,"0,99841","71,376471"
09/01/2005 17.00,"0,715459","41,346309"
09/01/2005 18.00,"0,465895","60,81827"
09/01/2005 19.00,"0,363345","83,880165"
09/01/2005 20.00,"0,406311","97,828398"
09/01/2005 21.00,"0,585662","90,387692"
09/01/2005 22.00,"0,905291","104,797901"
09/01/2005 23.00,"0,794656","96,826433"
10/01/2005 0.00,"1,318187","97,676543"
10/01/2005 1.00,,"89,791972"
10/01/2005 2.00,"1,176261",
10/01/2005 3.00,"1,844615","57,328296"
10/01/2005 4.00,"1,917122","46,552075"
10/01/2005 5.00,"2,226532","43,252861"
10/01/2005 6.00,"1,971322","32,053533"
10/01/2005 7.00,"1,642171","37,171038"
10/01/2005 8.00,"1,570382","41,629228"
10/01/2005 9.00,"1,778569","74,070837"
10/01/2005 10.00,"1,932556","71,872253"
10/01/2005 11.00,"3,781477","79,014449"
10/01/2005 12.00,"2,523378","59,159591"
10/01/2005 13.00,"1,593354","63,707341"
10/01/2005 14.00,"1,093704","64,994826"
10/01/2005 15.00,"0,639999","53,748767"
10/01/2005 16.00,"0,588311","50,523547"
10/01/2005 17.00,"0,417094","69,655493"
10/01/2005 18.00,"0,416735","91,394843"
10/01/2005 19.00,"0,531597","91,310484"
10/01/2005 20.00,"0,869364","88,447378"
10/01/2005 21.00,"0,855006","83,553101"
10/01/2005 22.00,"2,031625","83,680303"
10/01/2005 23.00,"2,378006","87,531071"
11/01/2005 0.00,"1,792927","85,8153"
11/01/2005 1.00,"1,673758","75,100051"
11/01/2005 2.00,"1,900969","66,062966"
11/01/2005 3.00,"2,635728","66,197973"
11/01/2005 4.00,"2,583681","68,301797"
11/01/2005 5.00,"2,763871","65,726836"
11/01/2005 6.00,"3,313055","59,439928"
11/01/2005 7.00,"4,124268","59,432146"
11/01/2005 8.00,"4,217594","75,228559"
11/01/2005 9.00,"3,917876","73,312883"
11/01/2005 10.00,"5,560045","66,684652"
11/01/2005 11.00,"7,990096","56,058977"
11/01/2005 12.00,"5,572607","49,348987"
11/01/2005 13.00,"3,144351","41,525406"
11/01/2005 14.00,"2,898475","50,805186"
11/01/2005 15.00,"2,077211","38,59611"
11/01/2005 16.00,"2,071827","46,96348"
11/01/2005 17.00,"2,003268","75,732138"
11/01/2005 18.00,"1,62207","91,002879"
11/01/2005 19.00,"1,524796","93,014592"
11/01/2005 20.00,"1,129958","82,015122"
11/01/2005 21.00,"1,036273","83,649137"
11/01/2005 22.00,"0,752348","72,368028"
11/01/2005 23.00,"0,669791","58,287414"
12/01/2005 0.00,"0,730093","75,700972"
12/01/2005 1.00,,"54,879217"
12/01/2005 2.00,"1,029007",
12/01/2005 3.00,"0,870698","12,928102"
12/01/2005 4.00,"1,017665","17,988502"
12/01/2005 5.00,"0,95685","16,254549"
12/01/2005 6.00,"1,035282","22,839947"
12/01/2005 7.00,"1,097301","43,194468"
12/01/2005 8.00,"1,297479","61,734578"
12/01/2005 9.00,"1,576812","81,457051"
12/01/2005 10.00,"4,0359","79,858061"
12/01/2005 11.00,"8,638787","72,682116"
12/01/2005 12.00,"5,543811","63,95133"
12/01/2005 13.00,"3,306741","48,850605"
12/01/2005 14.00,"2,066698","52,2601"
12/01/2005 15.00,"1,500312","37,883581"
12/01/2005 16.00,"1,375909","43,409913"
12/01/2005 17.00,"1,467854","74,605568"
12/01/2005 18.00,"1,622301","93,015875"
12/01/2005 19.00,"1,399439","92,845859"
12/01/2005 20.00,"1,665981","100,09838"
12/01/2005 21.00,"1,852765","96,546114"
12/01/2005 22.00,"2,499512","98,32418"
12/01/2005 23.00,"2,079127","98,434497"
13/01/2005 0.00,"1,564625","79,275323"
13/01/2005 1.00,"1,284448","68,971497"
13/01/2005 2.00,"1,468457","69,372541"
13/01/2005 3.00,"1,27745","61,866944"
13/01/2005 4.00,"1,234494","45,020581"
13/01/2005 5.00,"1,172474","32,296242"
13/01/2005 6.00,"1,035764","41,8888"
13/01/2005 7.00,"1,309425","56,391245"
13/01/2005 8.00,"1,804863","74,288904"
13/01/2005 9.00,"1,359861","82,457696"
13/01/2005 10.00,"1,671411","77,960575"
13/01/2005 11.00,"2,048479","65,286843"
13/01/2005 12.00,"2,781862","58,51454"
13/01/2005 13.00,"2,897214","59,180356"
13/01/2005 14.00,"1,940245","59,057071"
13/01/2005 15.00,"1,292412","44,727261"
13/01/2005 16.00,"1,070756","54,929828"
13/01/2005 17.00,"1,09163","76,631546"
13/01/2005 18.00,"0,909552","84,670569"
13/01/2005 19.00,"1,005357","87,398704"
13/01/2005 20.00,"1,225323","79,396027"
13/01/2005 21.00,"1,389423","80,405752"
13/01/2005 22.00,"1,468577","63,656709"
13/01/2005 23.00,"1,137361","46,689642"
14/01/2005 0.00,"0,818934","39,466985"
14/01/2005 1.00,,"39,738242"
14/01/2005 2.00,"0,637913",
14/01/2005 3.00,"0,55308","31,540866"
14/01/2005 4.00,"1,684153","33,22551"
14/01/2005 5.00,"2,866101","29,568104"
14/01/2005 6.00,"2,928266","29,757601"
14/01/2005 7.00,"3,288142","50,884359"
14/01/2005 8.00,"3,304731","66,439358"
14/01/2005 9.00,"3,900602","76,371971"
14/01/2005 10.00,"3,981452","74,133133"
14/01/2005 11.00,"4,746839","59,663174"
14/01/2005 12.00,"4,921119","53,450246"
14/01/2005 13.00,"2,806631","61,747539"
14/01/2005 14.00,"1,792762","66,713214"
14/01/2005 15.00,"1,648788","45,106238"
14/01/2005 16.00,"1,432617","44,729843"
14/01/2005 17.00,"0,999316","49,338587"
14/01/2005 18.00,"0,713404","67,76579"
14/01/2005 19.00,"1,066214","85,86721"
14/01/2005 20.00,"1,163504","81,030042"
14/01/2005 21.00,"1,426898","76,351227"
14/01/2005 22.00,"1,364912","51,1699"
14/01/2005 23.00,"1,155179","35,055525"
15/01/2005 0.00,"1,232257","26,062547"
15/01/2005 1.00,"1,06804","20,285726"
15/01/2005 2.00,"1,102177","16,397312"
15/01/2005 3.00,"1,212343","11,722374"
15/01/2005 4.00,"1,207044","11,475778"
15/01/2005 5.00,"1,274419","9,443316"
15/01/2005 6.00,"1,405936","10,090957"
15/01/2005 7.00,"1,643398","19,508307"
15/01/2005 8.00,"2,034417","32,577877"
15/01/2005 9.00,"2,292869","48,854485"
15/01/2005 10.00,"2,203334","42,628593"
15/01/2005 11.00,"2,004411","44,061444"
15/01/2005 12.00,"1,560541","35,709639"
15/01/2005 13.00,"1,087055","38,493568"
15/01/2005 14.00,"0,622701","36,184656"
15/01/2005 15.00,"0,449531","16,641314"
15/01/2005 16.00,"0,263215","15,168227"
15/01/2005 17.00,"2,790221","29,080104"
15/01/2005 18.00,"14,15247","75,155877"
15/01/2005 19.00,"8,909756","64,709306"
15/01/2005 20.00,"7,432882","79,233778"
15/01/2005 21.00,"8,602523","75,53744"
15/01/2005 22.00,"7,626924","53,604698"
15/01/2005 23.00,"5,458326","48,324959"
16/01/2005 0.00,"3,769443","23,492763"
16/01/2005 1.00,,"25,614796"
16/01/2005 2.00,"2,23213",
16/01/2005 3.00,"2,095927","18,83731"
16/01/2005 4.00,"2,898623","19,871703"
16/01/2005 5.00,"2,249415","6,970871"
16/01/2005 6.00,"1,897673","7,929999"
16/01/2005 7.00,"1,969577","11,548466"
16/01/2005 8.00,"1,705469","11,597779"
16/01/2005 9.00,"1,837869","14,018311"
16/01/2005 10.00,"1,778928","16,270123"
16/01/2005 11.00,"1,640479","22,616704"
16/01/2005 12.00,"1,804164","25,266965"
16/01/2005 13.00,"1,620947","23,019046"
