STATTE - SS7 PONTE WIND,,,,,
,SO2,NO2,PM10,CO,BENZENE
04/01/2011 23.00,"6,883051","7,211626",,"0,334115","4,58739"
05/01/2011 0.00,"5,272432","6,425115","24,17581","0,352324","2,574157"
05/01/2011 1.00,"0,384599","8,763233",,"0,244215","3,742429"
05/01/2011 2.00,,"14,678932","26,12941","0,054634","8,146987"
05/01/2011 3.00,"0,980456","15,081268",,"0,003393","1,180152"
05/01/2011 4.00,"0,431545","4,241447","20,51281","0,011052","4,193785"
05/01/2011 5.00,"4,014813","11,845027",,"0,013902","3,524725"
05/01/2011 6.00,"0,692458","7,209679","23,93162","0,021469","3,42979"
05/01/2011 7.00,,"9,333",,"0,033822","0,850241"
05/01/2011 8.00,,"17,680905","24,908421","0,056838","1,233945"
05/01/2011 9.00,,"30,969809",,"0,065166","2,316081"
05/01/2011 10.00,"0,980456","24,340925","41,75824","0,044875","3,237717"
05/01/2011 11.00,"0,320498","18,105316",,"0,024745","2,593078"
05/01/2011 12.00,"5,996489","24,621913","37,118431","0,204635","2,989982"
05/01/2011 13.00,"5,617307","28,093073",,"0,027128","0,079205"
05/01/2011 14.00,"5,012422","38,265162","32,96703","0,010924","0,232004"
05/01/2011 15.00,"1,617842","37,065917",,"0,002609","1,117779"
05/01/2011 16.00,"1,693678","33,733626","21,001221","0,008738","0,787538"
05/01/2011 17.00,"12,985168","37,091861",,"0,02805","0,113527"
05/01/2011 18.00,"0,915454","21,443424","29,79241","0,057372","1,130759"
05/01/2011 19.00,,"20,425895",,"0,148394","2,810672"
05/01/2011 20.00,,"22,722475","41,514042","0,190697","0,137399"
05/01/2011 21.00,"1,989801","19,365538",,"0,171058","1,395985"
05/01/2011 22.00,"3,662715","19,160476","37,606831","0,090505","1,019762"
05/01/2011 23.00,"0,513701","16,104647",,"0,090082","0,079205"
06/01/2011 0.00,"0,644609","4,214842","27,10622","0,039352","0,079205"
06/01/2011 1.00,,"8,107807",,"0,025987","1,395985"
06/01/2011 2.00,,,"18,07081","0,054408","3,376106"
06/01/2011 3.00,"0,743918","23,38244",,,"2,554356"
06/01/2011 4.00,"2,658787","13,440113","24,908421","0,450948","0,079205"
06/01/2011 5.00,"2,145086","8,064976",,"0,405756","4,10325"
06/01/2011 6.00,"2,075569","6,108434","22,22221","0,360625","1,124269"
06/01/2011 7.00,"0,306957","3,662595",,"0,32365","1,151"
06/01/2011 8.00,,"2,987701","17,582411","0,297706","0,837591"
06/01/2011 9.00,,"2,93449",,"0,287424","7,21226"
06/01/2011 10.00,"1,252203","18,588774","8,791209","0,386946","4,486073"
06/01/2011 11.00,"5,578486","24,664091",,"0,676994","0,988081"
06/01/2011 12.00,"0,956983","15,051413","19,78022","0,412976","0,079205"
06/01/2011 13.00,"1,207965","13,17534",,"0,297435","0,079205"
06/01/2011 14.00,"4,2035","24,605049","10,74481","0,312623","0,079205"
06/01/2011 15.00,"24,302842","23,057993",,"0,384365","0,116167"
06/01/2011 16.00,"4,954642","19,151395","9,27961","0,339673","1,720725"
