,Provincia di FOGGIA,,,
,MICHELANGELO,,,
Parm,SO2,NO2,CO,PM10



05/01/2005 7.00,"0,2455516","20,58422872","0,35142109",
05/01/2005 8.00,"0,28169375","35,53312424","0,30710682",
05/01/2005 9.00,"0,52028398","47,63189696","0,44217575",
05/01/2005 10.00,"0,45738253","33,32935304","0,29213424",
05/01/2005 11.00,"0,32661464","36,89976448","0,42411243",
05/01/2005 12.00,"0,46488901","30,39225336","0,43145775",
05/01/2005 13.00,"0,4022296","31,40848136","0,35760258",
05/01/2005 14.00,"0,4669169","33,2969064","0,43173968",
05/01/2005 15.00,"0,36832689","38,55976288","0,39047655",
05/01/2005 16.00,"0,50402825","46,56243888","0,52755161",
05/01/2005 17.00,"0,56541641","50,1069236","0,5683336",
05/01/2005 18.00,"0,83055237","76,64322744","1,26242313",
05/01/2005 19.00,"1,13095383","74,83659776","0,88547456",
05/01/2005 20.00,"0,84913907","53,69165592","0,78749457",
05/01/2005 21.00,"0,66966704","43,21653448","0,71038671",
05/01/2005 22.00,"0,73114571","33,01915016","0,39938647",
05/01/2005 23.00,"0,75726837","35,02826064","0,52811431",
06/01/2005 0.00,"0,70514305","22,94637088","0,48018737",
06/01/2005 1.00,,"23,16051488","0,60257295",
06/01/2005 2.00,"0,42336998",,"0,44157345",
06/01/2005 3.00,"0,40915334","12,91900925",,
06/01/2005 4.00,"0,41609538","10,28173602","0,34383228",
06/01/2005 5.00,"0,38748005","11,09160951","0,35828294",
06/01/2005 6.00,"0,38002341","11,84956264","0,32801274",
06/01/2005 7.00,"0,4043948","10,49199866","0,31183206",
06/01/2005 8.00,"0,36714107","21,80423768","0,45114392",
06/01/2005 9.00,"0,44386151","21,41227768","0,55535667",
06/01/2005 10.00,"0,45780458","32,61810816","0,51788095",
06/01/2005 11.00,"0,42540093","32,75309536","0,55032503",
06/01/2005 12.00,"0,38078107","21,95608872","0,45210971",
06/01/2005 13.00,"0,31570121","21,30845608","0,49831943",
06/01/2005 14.00,"0,41585232","24,79324816","0,44828618",
06/01/2005 15.00,"0,36741362","29,31501344","0,43021353",
06/01/2005 16.00,"0,36289713","25,99895536","0,45448514",
06/01/2005 17.00,"0,39123888","34,53637952","0,54481109",
06/01/2005 18.00,"0,57299102","61,62295696","1,13945272",
06/01/2005 19.00,"0,34840793","31,85107112","0,62853381",
06/01/2005 20.00,"0,49578547","35,29173424","0,65803977",
