, Brindisi,,,,
,Quartiere Bozzano,,,,
Parm,SO2,NOX,NO,NO2,PM10



01/01/2005 1.00,"8,851038","5,885671","1,930479","3,018851",
01/01/2005 2.00,"3,105525","8,395316","2,255746","5,284934","44,932831"
01/01/2005 3.00,"2,630288","7,146331","1,96005","4,377723",
01/01/2005 4.00,"2,62253","8,639148","0,584636","7,746997","35,653221"
01/01/2005 5.00,"2,302989","7,872635","0,58886","7,073404",
01/01/2005 6.00,"0,897841","4,181446","1,124493","2,491915","25,88522"
01/01/2005 7.00,"0,572288","2,333257","0,989319","0,869574",
01/01/2005 8.00,"0,568861","8,641743","0,855832","7,379702","29,30402"
01/01/2005 9.00,"0,873853","10,434161","1,217427","8,682764",
01/01/2005 10.00,"0,856719","6,643104","2,069035","3,89751","28,327221"
01/01/2005 11.00,"0,954385","5,610712","2,230402","2,22066",
01/01/2005 12.00,"1,010928","4,68078","2,691688","1,095404","27,35042"
01/01/2005 13.00,"0,964665","3,246327","2,670566","0,423106",
01/01/2005 14.00,"0,964665","6,016664","2,150141","3,692447","4,884005"
01/01/2005 15.00,"0,986941","8,906325","1,054371","7,292743",
01/01/2005 16.00,"0,759053","8,879089","0,825418","7,617213","25,39682"
01/01/2005 17.00,"0,723071","10,045068","0,789089","8,842403",
01/01/2005 18.00,"0,503751","3,848124","1,221652","2,028574","5,860806"
01/01/2005 19.00,"0,532879","8,768845","1,726026","6,123361",
01/01/2005 20.00,"0,777901","6,591226","1,628869","4,093488","0,976801"
01/01/2005 21.00,"0,832731","5,081547","1,185323","3,264149",
01/01/2005 22.00,"0,860146","7,72478","1,9271","5,153851","5,372406"
01/01/2005 23.00,"0,945818","4,066015","1,049302","2,456872",
02/01/2005 0.00,"0,388951","6,76891","0,861746","5,449764","2,442003"
02/01/2005 1.00,,"3,636717","0,730794","2,519171",
02/01/2005 2.00,"0,165832",,,,"1,465201"
02/01/2005 3.00,"0,660987","11,275898","0,659828","10,270059",
02/01/2005 4.00,"0,339858","10,478258","0,658137","9,474466","9,27961"
02/01/2005 5.00,"1,042402","8,078856","0,562669","7,246021",
02/01/2005 6.00,"0,077843","7,591192","0,521272","6,874829","5,372406"
02/01/2005 7.00,"0,061162","10,056741","0,684327","9,012424",
02/01/2005 8.00,"0,117644","6,171005","1,222496","4,379021","3,418803"
02/01/2005 9.00,"0,093256","5,630167","2,104518","3,087637",
02/01/2005 10.00,"0,317422","6,96216","2,553134","3,160318","26,86202"
02/01/2005 11.00,"0,204558","8,360298","4,682997","2,870893",
02/01/2005 12.00,"3,121547","4,66911","4,234383","0,160935","3,907204"
02/01/2005 13.00,"3,736102","4,133457","3,5509","0,142765",
02/01/2005 14.00,"3,123498","6,813008","2,779553","3,166807","2,930403"
02/01/2005 15.00,"2,411394","9,499044","1,709974","6,878724",
02/01/2005 16.00,"2,460169","8,240976","1,913583","5,510764","1,465201"
02/01/2005 17.00,"2,407492","7,897278","1,974411","4,998106",
02/01/2005 18.00,"2,469924","60,891634","4,426164","54,134224","5,860806"
02/01/2005 19.00,"2,429343","54,738799","4,363646","48,073166",
02/01/2005 20.00,"2,156891","59,850188","4,606962","52,814294","32,722832"
02/01/2005 21.00,"2,633805","89,330397","13,571649","68,543211",
02/01/2005 22.00,"2,251513","68,031485","3,438535","62,796234","55,189251"
02/01/2005 23.00,"2,659167","77,587583","22,845551","42,545536",
03/01/2005 0.00,"1,669149","58,457237","7,146577","47,518972","60,073261"
03/01/2005 1.00,"1,431424","12,910086","3,347291","8,170104",
03/01/2005 2.00,"2,46212","7,00496","3,190149","2,789126","35,653221"
03/01/2005 3.00,"1,673051","8,353815","4,017257","3,722297",
03/01/2005 4.00,"0,363758","5,697609","2,492304","2,484128","34,67643"
03/01/2005 5.00,"0,256844","5,204758","1,660973","2,973426",
03/01/2005 6.00,"0,767022","12,274567","3,016111","7,813191","24,42001"
03/01/2005 7.00,"2,500554","68,862858","16,009871","44,315838",
03/01/2005 8.00,"2,729402","80,50321","13,716115","59,487957","27,83882"
03/01/2005 9.00,"3,051312","102,815065","31,698728","54,190035",
03/01/2005 10.00,"2,386032","66,02765","5,137526","58,180992","31,746031"
03/01/2005 11.00,"2,466021","53,532614","5,637677","44,968653",
03/01/2005 12.00,"2,413346","6,518595","4,724395","0,959128","33,699631"
03/01/2005 13.00,"2,438708","7,991957","4,062034","2,950063",
03/01/2005 14.00,"2,795735","13,073504","6,236674","6,079232","36,630032"
03/01/2005 15.00,"4,352607","7,959534","4,907727","2,224553",
03/01/2005 16.00,"3,26787","4,915534","4,178622","0,693064","46,88644"
03/01/2005 17.00,"2,471874","10,652052","4,776776","4,480256",
03/01/2005 18.00,"2,450414","8,399207","4,101742","2,809894","29,30402"
03/01/2005 19.00,"2,647462","8,025679","3,792527","2,462063",
03/01/2005 20.00,"2,893283","7,886902","3,659885","2,560701","5,372406"
03/01/2005 21.00,"3,7322","6,934923","3,276324","1,989639",
03/01/2005 22.00,"4,143854","5,873998","2,579323","3,082446","17,094"
03/01/2005 23.00,"3,367369","9,928341","1,92879","7,096765",
04/01/2005 0.00,"2,469924","8,456275","1,465812","6,210317","24,908421"
04/01/2005 1.00,,"6,435587","1,361896","4,347871",
04/01/2005 2.00,"2,551354",,,,"14,16361"
04/01/2005 3.00,"2,425749","5,719658","1,333171","3,675573",
04/01/2005 4.00,"2,44145","4,928503","1,239393","3,027937","24,908421"
04/01/2005 5.00,"2,4336","6,199539","1,458209","3,963702",
04/01/2005 6.00,"2,429674","8,225412","1,547764","5,853404","0,4884"
04/01/2005 7.00,"2,645559","8,342139","2,216883","5,534127",
04/01/2005 8.00,"2,078863","6,899905","4,688911","1,758617","1,465201"
04/01/2005 9.00,"2,427711","8,894653","6,357488","0,43219",
04/01/2005 10.00,"1,016125","6,659964","5,252425","0,793","5,372406"
04/01/2005 11.00,"1,01449","8,061994","5,544743","1,743042",
04/01/2005 12.00,"0,27149","11,80636","5,778766","4,525679","29,30402"
04/01/2005 13.00,"0,833933","8,678057","5,627539","0,931872",
04/01/2005 14.00,"0,545433","8,362893","4,522476","3,410807","32,234421"
04/01/2005 15.00,"1,085634","5,138612","3,926012","1,515914",
04/01/2005 16.00,"1,683076","28,153416","8,80586","14,771077","27,83882"
04/01/2005 17.00,"2,121058","47,570426","12,667649","28,90749",
04/01/2005 18.00,"1,461304","18,018868","3,773941","12,370017","18,07081"
04/01/2005 19.00,"0,258406","28,743535","4,329851","22,111839",
04/01/2005 20.00,"0,224061","54,286152","4,491216","47,424234","31,746031"
04/01/2005 21.00,"0,481486","58,824245","6,058411","49,55793",
04/01/2005 22.00,"0,687721","33,574776","4,079775","27,330568","36,630032"
04/01/2005 23.00,"0,57062","23,665893","3,051595","18,994354",
05/01/2005 0.00,"0,205089","7,362925","2,183089","4,168766","34,67643"
05/01/2005 1.00,"0,208687","4,775461","1,230101","2,944872",
05/01/2005 2.00,"0,208687","5,014103","1,568039","2,870893","35,164822"
05/01/2005 3.00,"0,232075","9,956876","1,408363","7,904041",
05/01/2005 4.00,"0,188899","11,072271","1,229255","9,19153","30,28083"
05/01/2005 5.00,"0,208687","9,444571","1,332326","7,470553",
05/01/2005 6.00,"0,20329","6,98291","2,31742","4,140212","14,16361"
05/01/2005 7.00,"0,228477","12,709054","3,000059","8,398531",
05/01/2005 8.00,"0,938113","51,840074","6,813705","41,422868","23,44322"
05/01/2005 9.00,"1,400791","30,534658","5,770318","21,905477",
05/01/2005 10.00,"1,984823","18,701077","7,06885","9,657465","24,42001"
05/01/2005 11.00,"2,421824","13,651955","5,982375","9,063042",
05/01/2005 12.00,"2,429674","4,012838","6,834827","0,06749","35,653221"
05/01/2005 13.00,"2,39631","15,941115","5,586141","10,85021",
05/01/2005 14.00,"2,439487","14,886675","6,751187","5,68468","36,630032"
05/01/2005 15.00,"5,002945","187,244226","70,633584","79,157202",
05/01/2005 16.00,"0,674637","8,18002","4,462492","2,346554","32,722832"
05/01/2005 17.00,"0,428005","51,194181","4,993058","43,565666",
05/01/2005 18.00,"0,887086","67,424518","6,237519","57,888974","32,234421"
05/01/2005 19.00,"2,586026","97,428732","17,417397","70,739199",
05/01/2005 20.00,"2,553153","121,932446","29,740362","76,329142","54,700851"
05/01/2005 21.00,"1,164464","86,910245","8,625061","73,720426",
05/01/2005 22.00,"0,459571","66,06786","4,098361","59,817607","67,399261"
05/01/2005 23.00,"1,236426","63,304007","10,720281","46,87914",
06/01/2005 0.00,"0,350975","60,886473","5,253271","52,858424","89,865692"
06/01/2005 1.00,,"59,210757","4,391525","52,505391",
06/01/2005 2.00,"0,161872",,,,"94,74968"
06/01/2005 3.00,"0,392292","22,135452","4,563874","15,374593",
06/01/2005 4.00,"0,199863","6,355176","1,933015","3,465318","61,05006"
06/01/2005 5.00,"0,214398","9,595018","1,22841","7,71715",
06/01/2005 6.00,"0,223483","4,119191","1,44807","2,018191","32,234421"
06/01/2005 7.00,"0,190778","9,548327","2,12564","6,28949",
06/01/2005 8.00,"0,196228","37,350269","4,53008","30,610295","38,09523"
06/01/2005 9.00,"0,192594","8,116467","4,311264","3,131764",
06/01/2005 10.00,"0,132636","5,605525","5,829458","0,584043","32,234421"
06/01/2005 11.00,"1,10007","7,731266","4,590064","1,892299",
06/01/2005 12.00,"1,78175","6,365551","3,830545","0,963021","32,722832"
06/01/2005 13.00,"0,914412","5,339644","3,458811","0,700851",
06/01/2005 14.00,"0,418059","6,684608","2,234625","4,083105","30,76923"
06/01/2005 15.00,"1,014509","10,426378","1,483555","8,154531",
06/01/2005 16.00,"0,275017","4,809183","1,95498","2,135","30,28083"
06/01/2005 17.00,"0,181693","6,566582","1,755595","3,990958",
06/01/2005 18.00,"0,185327","33,403575","3,190149","28,525911","33,699631"
06/01/2005 19.00,"0,221665","49,513303","4,257194","43,00757",
06/01/2005 20.00,"0,199863","50,772663","3,671714","45,176316","32,234421"
06/01/2005 21.00,"0,194412","8,698808","2,260816","5,399148",
06/01/2005 22.00,"0,176242","6,448558","1,854442","3,696339","31,746031"
06/01/2005 23.00,"0,435898","10,810283","1,261359","8,890425",
07/01/2005 0.00,"0,436394","9,440677","1,182788","7,630189","31,746031"
07/01/2005 1.00,"0,199863","8,321389","1,225876","6,443935",
