,Regione Puglia,,
,Fraz. Villa Baldassare,,
Parm,SO2,NO2,PM10
,,,,,
,,,,
,,,,
,,,,,
,,,,
05/01/2006 11.00,"0,65034913","8,13506288","18,4453907"
05/01/2006 12.00,"0,95548981","7,67691518","18,4453907"
05/01/2006 13.00,"0,91573934","6,56853069","18,4453907"
05/01/2006 14.00,"0,79649813","7,65874353","18,4453907"
05/01/2006 15.00,"0,8230703","7,89884866","18,4453907"
05/01/2006 16.00,"0,94552321","9,84695678","18,4453907"
05/01/2006 17.00,"0,77399294","11,36805794","18,4453907"
05/01/2006 18.00,"0,80195738","10,29861134","18,4453907"
05/01/2006 19.00,"0,78098684","10,996868","18,4453907"
05/01/2006 20.00,"0,54398923","12,29603567","18,4453907"
05/01/2006 21.00,"0,6682046","17,26428737","18,4453907"
05/01/2006 22.00,"0,78616032","17,92880297","18,4453907"
05/01/2006 23.00,"0,51602478","17,41743474","18,4453907"
06/01/2006 0.00,1,"13,14354306","18,4453907"
06/01/2006 1.00,,"9,87810518","16,95292091"
06/01/2006 2.00,1,,"16,95292091"
06/01/2006 3.00,1,"7,44199921","16,95292091"
06/01/2006 4.00,1,"5,2693611","16,95292091"
06/01/2006 5.00,1,"4,77357377","16,95292091"
06/01/2006 6.00,1,"4,44001963","16,95292091"
06/01/2006 7.00,1,"4,45689303","16,95292091"
06/01/2006 8.00,1,"5,20706241","16,95292091"
06/01/2006 9.00,1,"6,94102079","16,95292091"
06/01/2006 10.00,1,"7,89884866","16,95292091"
06/01/2006 11.00,1,"6,93972254","16,95292091"
06/01/2006 12.00,2,"5,45365878","16,95292091"
06/01/2006 13.00,2,"5,64314754","16,95292091"
06/01/2006 14.00,2,"5,83653105","16,95292091"
06/01/2006 15.00,2,"5,00848974","16,95292091"
06/01/2006 16.00,2,"5,3602117","16,95292091"
06/01/2006 17.00,"1,83927196","7,04485004","16,95292091"
06/01/2006 18.00,"1,47952448","8,92287189","16,95292091"
06/01/2006 19.00,"1,41950623","8,4738081","16,95292091"
06/01/2006 20.00,"1,43785901","11,67306018","16,95292091"
06/01/2006 21.00,"1,21813514","12,0014175","16,95292091"
06/01/2006 22.00,"1,18004849","10,61529207","16,95292091"
06/01/2006 23.00,"1,2501025","13,13965787","16,95292091"
07/01/2006 0.00,1,"9,08510509","16,95292091"
07/01/2006 1.00,1,"10,00659349","33,80952072"
07/01/2006 2.00,1,"8,7697226","33,80952072"
07/01/2006 3.00,1,"7,97412602","33,80952072"
07/01/2006 4.00,1,"7,9196149","33,80952072"
07/01/2006 5.00,1,"6,4322548","33,80952072"
07/01/2006 6.00,1,"5,48870192","33,80952072"
07/01/2006 7.00,1,"4,99550917","33,80952072"
07/01/2006 8.00,1,"6,7593177","33,80952072"
07/01/2006 9.00,1,"9,77038118","33,80952072"
07/01/2006 10.00,1,"11,86384337","33,80952072"
07/01/2006 11.00,"1,3753847","9,56661552","33,80952072"
07/01/2006 12.00,1,"7,22914772","33,80952072"
07/01/2006 13.00,1,"6,3556792","33,80952072"
07/01/2006 14.00,2,"6,18306193","33,80952072"
07/01/2006 15.00,2,"6,35178637","33,80952072"
07/01/2006 16.00,2,"7,21487273","33,80952072"
07/01/2006 17.00,2,"7,36931835","33,80952072"
07/01/2006 18.00,"1,55590627","9,36933918","33,80952072"
07/01/2006 19.00,"1,60797362","19,83667496","33,80952072"
07/01/2006 20.00,"1,50354602","18,40512041","33,80952072"
07/01/2006 21.00,"1,35382532","16,36227078","33,80952072"
07/01/2006 22.00,1,"18,01835722","33,80952072"
07/01/2006 23.00,1,"13,35509821","33,80952072"
08/01/2006 0.00,"1,06879073","12,06890919","33,80952072"
08/01/2006 1.00,,"11,70031192","26,84452057"
08/01/2006 2.00,"1,00477261",,"26,84452057"
08/01/2006 3.00,1,"7,78334092","26,84452057"
08/01/2006 4.00,1,"6,81123232","26,84452057"
08/01/2006 5.00,1,"6,00525358","26,84452057"
08/01/2006 6.00,1,"5,49778583","26,84452057"
08/01/2006 7.00,1,"5,41472282","26,84452057"
08/01/2006 8.00,1,"6,1765726","26,84452057"
08/01/2006 9.00,"0,7844477","9,1733611","26,84452057"
08/01/2006 10.00,"1,2992714","8,75804028","26,84452057"
08/01/2006 11.00,"1,46627501","6,54776446","26,84452057"
08/01/2006 12.00,"1,73470504","5,23301972","26,84452057"
08/01/2006 13.00,2,"6,38163842","26,84452057"
08/01/2006 14.00,2,"7,1006575","26,84452057"
08/01/2006 15.00,2,"7,92221139","26,84452057"
08/01/2006 16.00,2,"9,3524677","26,84452057"
08/01/2006 17.00,"2,09048215","7,10974332","26,84452057"
08/01/2006 18.00,"2,2317109","6,8332968","26,84452057"
