,Regione Puglia,,,,
,ASM,,,,
Parm,SO2,NO2,NOX,CO,O3
,,,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
07/01/2006 13.00,9,21,36,,45
07/01/2006 14.00,9,18,31,,50
07/01/2006 15.00,8,16,28,,51
07/01/2006 16.00,9,16,27,,52
07/01/2006 17.00,6,19,30,,47
07/01/2006 18.00,5,26,42,,33
07/01/2006 19.00,1,44,58,,16
07/01/2006 20.00,3,27,39,,30
07/01/2006 21.00,3,25,37,,29
07/01/2006 22.00,1,24,36,,27
07/01/2006 23.00,2,27,39,,22
08/01/2006 0.00,0,24,36,,22
08/01/2006 1.00,,16,29,,26
08/01/2006 2.00,3,,,,27
08/01/2006 3.00,2,14,26,,
08/01/2006 4.00,1,13,25,,26
08/01/2006 5.00,1,9,21,,29
08/01/2006 6.00,1,8,21,,30
08/01/2006 7.00,2,11,24,,29
08/01/2006 8.00,0,16,32,,26
08/01/2006 9.00,3,17,30,,28
08/01/2006 10.00,4,18,33,,31
08/01/2006 11.00,6,15,30,,36
08/01/2006 12.00,4,16,32,,41
08/01/2006 13.00,7,16,28,,47
08/01/2006 14.00,7,19,32,,49
08/01/2006 15.00,7,17,29,,53
08/01/2006 16.00,5,21,32,,48
08/01/2006 17.00,5,30,42,,37
08/01/2006 18.00,5,23,35,,30
08/01/2006 19.00,3,48,63,,12
08/01/2006 20.00,4,55,68,,7
08/01/2006 21.00,3,37,51,,13
08/01/2006 22.00,2,19,32,,25
08/01/2006 23.00,5,16,29,,26
09/01/2006 0.00,4,13,25,,29
09/01/2006 1.00,3,14,26,,29
09/01/2006 2.00,2,18,30,,28
09/01/2006 3.00,4,14,27,,31
09/01/2006 4.00,4,10,22,,35
09/01/2006 5.00,2,7,19,,39
09/01/2006 6.00,2,11,24,,34
09/01/2006 7.00,4,14,26,,32
09/01/2006 8.00,3,26,44,,22
09/01/2006 9.00,1,45,79,,11
09/01/2006 10.00,4,42,68,,15
09/01/2006 11.00,2,40,68,,16
09/01/2006 12.00,5,32,54,,27
09/01/2006 13.00,7,37,56,,26
09/01/2006 14.00,9,40,56,,28
09/01/2006 15.00,7,34,50,,32
09/01/2006 16.00,8,38,54,,31
09/01/2006 17.00,2,59,81,,18
09/01/2006 18.00,2,69,113,,5
09/01/2006 19.00,4,48,70,,9
09/01/2006 20.00,6,41,60,,12
09/01/2006 21.00,4,28,41,,18
09/01/2006 22.00,5,23,36,,22
09/01/2006 23.00,4,15,27,,28
10/01/2006 0.00,3,15,27,,28
10/01/2006 1.00,,15,27,,26
10/01/2006 2.00,1,,,,30
10/01/2006 3.00,3,10,22,,
10/01/2006 4.00,4,12,24,,29
10/01/2006 5.00,4,13,25,,28
10/01/2006 6.00,5,15,27,,29
10/01/2006 7.00,3,18,31,,29
10/01/2006 8.00,4,27,42,,26
10/01/2006 9.00,5,38,56,,21
10/01/2006 10.00,6,52,80,,15
10/01/2006 11.00,6,54,78,,13
10/01/2006 12.00,4,63,101,,8
10/01/2006 13.00,4,62,96,,8
10/01/2006 14.00,5,59,82,,16
10/01/2006 15.00,3,61,82,,18
10/01/2006 16.00,4,65,89,,12
10/01/2006 17.00,4,51,71,,15
10/01/2006 18.00,6,50,67,,13
10/01/2006 19.00,6,46,62,,16
10/01/2006 20.00,4,32,45,,25
10/01/2006 21.00,1,25,37,,29
10/01/2006 22.00,4,21,33,,33
10/01/2006 23.00,4,19,31,,35
11/01/2006 0.00,1,17,29,,35
11/01/2006 1.00,2,16,28,,37
11/01/2006 2.00,2,14,26,,39
11/01/2006 3.00,2,13,25,,42
11/01/2006 4.00,3,11,23,,42
11/01/2006 5.00,3,11,23,,41
11/01/2006 6.00,4,12,24,,40
11/01/2006 7.00,4,12,24,,42
11/01/2006 8.00,4,24,38,,36
11/01/2006 9.00,4,39,54,,29
11/01/2006 10.00,3,41,59,,28
11/01/2006 11.00,6,39,56,,28
11/01/2006 12.00,6,41,57,,27
11/01/2006 13.00,5,46,64,,24
11/01/2006 14.00,6,46,64,,27
11/01/2006 15.00,6,37,51,,31
11/01/2006 16.00,7,41,55,,38
11/01/2006 17.00,7,39,53,,31
11/01/2006 18.00,7,44,59,,21
11/01/2006 19.00,6,47,63,,18
11/01/2006 20.00,5,43,57,,20
11/01/2006 21.00,2,32,44,,27
11/01/2006 22.00,3,33,46,,24
11/01/2006 23.00,4,32,44,,23
12/01/2006 0.00,4,29,42,,28
12/01/2006 1.00,,25,37,,30
12/01/2006 2.00,5,,,,46
12/01/2006 3.00,3,14,26,,
12/01/2006 4.00,3,16,28,,38
12/01/2006 5.00,4,19,32,,31
12/01/2006 6.00,3,26,39,,22
12/01/2006 7.00,5,26,39,,26
12/01/2006 8.00,2,33,48,,24
12/01/2006 9.00,1,50,74,,13
12/01/2006 10.00,4,59,96,,8
12/01/2006 11.00,5,65,123,,7
12/01/2006 12.00,5,63,93,,9
12/01/2006 13.00,4,59,82,,14
12/01/2006 14.00,5,60,87,,14
12/01/2006 15.00,4,54,71,,22
12/01/2006 16.00,5,50,66,,26
12/01/2006 17.00,4,36,50,,32
12/01/2006 18.00,4,52,72,,24
12/01/2006 19.00,3,35,49,,33
