NetC,Foggia,,,,,
,Stat,Manfredonia - Liceo Scientifico via dei mandorli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,
03/01/2009 19.00,"1,21255385","62,6443856","1,36231722","36,310596",,"3,1277835"
03/01/2009 20.00,"1,29293346","44,55204736","0,9037639","52,23905505",,"4,528701"
03/01/2009 21.00,"0,94890473","26,72448288","0,7464388","68,88114555",,"1,9439955"
03/01/2009 22.00,"1,06461899","37,26447848","0,8605855","63,36309525",,"1,956708"
03/01/2009 23.00,"1,09886748","15,39924991","0,66488298","76,46418045",,"1,829583"
04/01/2009 0.00,"1,03594061","7,35374511","0,58218662","80,44528275",,"1,198026"
04/01/2009 1.00,,"6,32842555","0,59076684","78,8054526",,"1,167516"
04/01/2009 2.00,"1,30937631",,"0,5902158","78,37076205",,"1,096326"
04/01/2009 3.00,"1,47531817","5,19236869",,"79,2739584",,"1,1598885"
04/01/2009 4.00,"1,40898638",,"0,58450846","77,87109435",,"1,414647"
04/01/2009 5.00,"1,32815725",,"0,57155949",,,"1,3236255"
04/01/2009 6.00,"1,31270902","6,45042454","0,5861616","74,83111335",,"1,0642905"
04/01/2009 7.00,"1,33606443","15,10982091","0,62516813","64,84178925",,"1,0876815"
04/01/2009 8.00,"1,6292879","9,76129536","0,60588039","71,46343365",,"1,2097215"
04/01/2009 9.00,"1,52342024","7,42512772","0,63327653","75,9022089",,"1,217349"
04/01/2009 10.00,"1,52554271","8,37906276","0,61981495","76,09179375",,"1,185822"
04/01/2009 11.00,"1,58730004","7,07599843","0,62599528","75,4716081",,"1,25091"
04/01/2009 12.00,"1,36868063","10,27005944","0,65480689","74,04165195",,"1,286505"
04/01/2009 13.00,"1,62064849","11,78208434","0,67783312","72,51691335",,"1,39329"
04/01/2009 14.00,"1,50797201","12,16235628","0,65594859","72,26642115",,"1,23057"
04/01/2009 15.00,"1,57540216","7,088979","0,6030075","75,41201745",,"1,308879"
04/01/2009 16.00,"1,60274827","8,53221205","0,63296198","74,7525702",,"1,1507355"
04/01/2009 17.00,"1,68804203","9,05395478","0,65039853","73,8019926",,"1,177686"
04/01/2009 18.00,"1,56822722","10,7814181","0,66016007","72,43839015",,"1,185822"
04/01/2009 19.00,"1,85277467","12,44528639","0,71534379","72,0335049",,"1,205145"
04/01/2009 20.00,"1,63503599","15,53033663","0,70853436","71,02876305",,"1,308879"
04/01/2009 21.00,"1,7641482","22,8658948","0,74876065","67,7030382",,"1,3521015"
04/01/2009 22.00,"1,77417887","24,45449912","0,75415343","65,64613335",,"1,446174"
04/01/2009 23.00,"1,85244516","24,20010752","0,72841159","66,63194265",,"1,516347"
05/01/2009 0.00,"1,80009712","14,71916107","0,69928426","69,4254813",,"1,4487165"
05/01/2009 1.00,"1,7717635",,"0,64126726","74,4235149",,"0,6920685"
05/01/2009 2.00,"1,90450031",,"0,63489005","71,5175979",,"1,1131065"
05/01/2009 3.00,"1,96508503",,"0,61682323","71,12623875",,"1,225485"
05/01/2009 4.00,"2,05839681",,"0,59989811","73,7464518",,"1,1080215"
05/01/2009 5.00,"1,89911936",,"0,6131628","70,76470485",,"1,045476"
05/01/2009 6.00,"1,91636158",,"0,73494491","69,447147",,"1,0927665"
05/01/2009 7.00,"2,15994528",,"0,81351018","68,30427135",,"1,4883795"
05/01/2009 8.00,"2,05444373","35,09703528","0,87554177","49,78269135",,"1,3643055"
05/01/2009 9.00,"2,26365284","46,14063256","1,11265189","40,07909115",,"1,905858"
05/01/2009 10.00,"2,3482886","61,0558004","1,46815863","36,05330085",,"3,3677955"
05/01/2009 11.00,"2,78025223","67,4478076","1,80776429","38,1535371",,"5,1973785"
05/01/2009 12.00,"2,58184163","46,97776352","1,44725853","46,62352905",,"4,8699045"
05/01/2009 13.00,"2,41074053","51,62155264","1,30823559","47,2396449",,"3,4186455"
05/01/2009 14.00,"2,31742875","53,78511448","1,39479043","50,6750349",,"3,8122245"
05/01/2009 15.00,"2,11045298","36,3884192","0,83153623","64,5520155",,"3,176091"
05/01/2009 16.00,"1,99707985","43,29180992","0,91978381","60,9690354",,"1,95264"
05/01/2009 17.00,"1,94359684","28,80366816","0,85633442","59,56617135",,"2,010609"
05/01/2009 18.00,"1,90918664","49,76301216","1,05172123","46,355421",,"2,1626505"
05/01/2009 19.00,"2,13951884","56,1018084","0,9677655","38,917263",,"2,3040135"
05/01/2009 20.00,"2,52912747","75,58935216","1,6024575","29,6916648",,"2,924892"
05/01/2009 21.00,"2,4824909","73,29990424","1,56742712","28,87784445",,"4,9787235"
05/01/2009 22.00,"2,68910055","64,50034488","1,52090284","34,01536845",,"4,9075335"
05/01/2009 23.00,"2,01428546","32,85043528","0,80433814","54,82541295",,"4,5170055"
06/01/2009 0.00,"1,82876025","24,37142272","0,70554381","59,5147203",,"2,0314575"
06/01/2009 1.00,,,"0,67535283","64,15120005",,"0,8527545"
06/01/2009 2.00,"1,76702631",,"0,63792138","63,15322125",,"0,672237"
06/01/2009 3.00,"1,84929449",,,"64,9690902",,"1,1700585"
