, Brindisi,,,,,,
,Via Taranto,,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE,PM10
,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,
01/01/2009 1.00,"0,5","170,7","74,8","1,7","16,7","6,3",
01/01/2009 2.00,"0,3","252,5","98,0","2,2","16,4","8,5",
01/01/2009 3.00,"0,3","324,9","106,7","2,3","16,7","9,3",
01/01/2009 4.00,"0,1","276,7","101,7","2,4","17,9","10,1",
01/01/2009 5.00,"0,0","45,1","39,6","0,9","34,4","10,3",
01/01/2009 6.00,"0,0","22,3","22,8","0,5","43,0","4,1",
01/01/2009 7.00,"0,0","14,5","19,2","0,4","51,2","2,4",
01/01/2009 8.00,"0,0","28,5","32,3","0,4","41,9","1,7",
01/01/2009 9.00,"0,0","22,6","25,4","0,4","47,9","0,8",
01/01/2009 10.00,"0,1","22,2","21,5","0,5","47,5","2,0",
01/01/2009 11.00,"0,2","24,3","20,3","0,6","46,5","0,9",
01/01/2009 12.00,"0,2","27,9","20,4","0,6","51,2","2,6",
01/01/2009 13.00,"0,4","27,9","16,6","0,5","60,2","2,6",
01/01/2009 14.00,"0,2","36,7","19,4","0,5","56,7","2,2",
01/01/2009 15.00,"0,1","25,1","10,4","0,4","59,6","1,8",
01/01/2009 16.00,"0,2","24,8","11,3","0,4","56,5","1,2",
01/01/2009 17.00,"0,1","33,5","18,7","0,5","46,1","1,4",
01/01/2009 18.00,"0,2","39,3","24,3","0,5","40,1","1,8",
01/01/2009 19.00,"0,4","58,6","38,9","0,7","30,9","2,2",
01/01/2009 20.00,"0,1","53,2","33,6","0,7","33,1","2,9",
01/01/2009 21.00,"0,2","45,7","30,5","0,6","36,3","2,8",
01/01/2009 22.00,"0,1","25,6","16,6","0,5","49,8","2,4",
01/01/2009 23.00,"0,2","24,8","16,1","0,5","50,1","1,5",
02/01/2009 0.00,"0,1","30,4","18,6","0,5","41,4","1,7",
02/01/2009 1.00,"0,1","44,6","29,2","0,6","32,6","1,5",
02/01/2009 2.00,"0,1",,,"0,4","43,7","1,9",
02/01/2009 3.00,"0,2","30,2","18,9",,"42,2","1,4",
02/01/2009 4.00,"0,1","33,4","22,3","0,4",,"1,4",
02/01/2009 5.00,"0,1","28,0","17,8","0,4","43,1","1,3",
02/01/2009 6.00,"0,0","23,7","14,6","0,4","44,5","1,3",
02/01/2009 7.00,"0,1","42,2","31,1","0,4","31,4","1,3",
02/01/2009 8.00,"0,1","58,7","41,7","0,5","24,0","1,8",
02/01/2009 9.00,"0,2","79,0","53,3","0,6","22,0","2,0",
02/01/2009 10.00,"0,2","71,3","44,9","0,6","27,4","2,0",
02/01/2009 11.00,"0,3","50,0","31,3","0,5","39,1","2,7",
02/01/2009 12.00,"0,2","47,2","26,7","0,5","44,0","1,9",
02/01/2009 13.00,"0,2","58,9","32,6","0,5","43,9","2,2",
02/01/2009 14.00,"0,1","63,8","35,8","0,6","43,0","2,1",
02/01/2009 15.00,"0,1","57,3","35,1","0,5","44,4","2,1",
02/01/2009 16.00,"0,1","67,5","42,8","0,5","38,3","1,9",
02/01/2009 17.00,"0,1","79,0","53,6","0,6","29,9","2,6",
02/01/2009 18.00,"0,2","119,5","75,0","0,9","18,7","2,9",
02/01/2009 19.00,"0,3","156,7","87,9","1,1","17,4","4,1",
02/01/2009 20.00,"0,1","166,1","83,8","1,1","16,1","4,6",
02/01/2009 21.00,"0,1","119,4","64,0","0,9","15,7","5,0",
02/01/2009 22.00,"0,1","127,2","62,3","0,8","14,7","3,7",
02/01/2009 23.00,"0,0","87,0","53,7","0,9","18,6","3,4",
03/01/2009 0.00,"0,0","62,8","41,6","0,6","26,5","3,1",
03/01/2009 1.00,"0,0","43,8","31,9","0,6","32,5","2,8",
03/01/2009 2.00,"0,0","37,3","26,7","0,6","33,6","2,8",
03/01/2009 3.00,"0,0","22,5","13,5","0,4","50,1","3,0",
03/01/2009 4.00,"0,0","17,3","8,0","0,3","62,0","1,4",
03/01/2009 5.00,"0,0","15,2","6,0","0,3","62,4","0,9",
03/01/2009 6.00,"0,1","63,1","37,1","0,4","40,1","1,0",
03/01/2009 7.00,"0,1","45,8","31,9","0,5","27,5","1,3",
03/01/2009 8.00,"0,0","70,5","42,7","0,6","18,1","1,6",
03/01/2009 9.00,"0,0","84,2","44,9","0,9","21,2","2,3",
03/01/2009 10.00,"0,2","74,9","44,0","0,7","30,3","4,5",
03/01/2009 11.00,"0,1","57,4","35,5","0,6","38,9","2,4",
03/01/2009 12.00,"0,2","58,4","33,2","0,7","29,0","2,3",
03/01/2009 13.00,"0,1","59,1","33,2","0,5","40,3","2,5",
03/01/2009 14.00,"0,0","50,4","27,4","0,5","43,9","1,7",
03/01/2009 15.00,"0,1","39,9","22,3","0,4","48,0","1,8",
03/01/2009 16.00,"0,1","41,2","23,1","0,4","46,5","1,6",
03/01/2009 17.00,"0,1","36,7","21,4","0,4","49,3","1,6",
03/01/2009 18.00,"0,0","33,2","18,9","0,4","50,0","1,5",
03/01/2009 19.00,"0,1","34,3","20,0","0,4","51,2","2,1",
03/01/2009 20.00,"0,3","31,6","16,2","0,4","56,8","1,5",
03/01/2009 21.00,"0,1","35,5","21,0","0,5","53,0","1,9",
03/01/2009 22.00,"0,0","27,0","17,0","0,4","56,8","2,1",
03/01/2009 23.00,"0,1","18,5","10,9","0,4","62,7","1,5",
04/01/2009 0.00,"0,1","16,8","10,0","0,4","64,8","1,4",
04/01/2009 1.00,"0,0","14,9","8,9","0,3","66,5","1,2",
04/01/2009 2.00,"0,1",,,"0,3","69,6","1,0",
04/01/2009 3.00,"0,2","9,1","5,1",,"69,6","1,0",
04/01/2009 4.00,"0,1","8,4","4,5","0,3",,"1,0",
04/01/2009 5.00,"0,2","9,6","5,4","0,3","67,3","1,0",
04/01/2009 6.00,"0,1","14,4","8,6","0,3","62,3","1,0",
04/01/2009 7.00,"0,1","20,1","12,2","0,3","62,1","0,5",
04/01/2009 8.00,"0,3","19,0","11,4","0,3","65,2","1,0",
04/01/2009 9.00,"0,0","15,4","11,0","0,4","64,0","1,1",
04/01/2009 10.00,"0,3","25,2","18,9","0,4","52,7","1,2",
04/01/2009 11.00,"0,0","25,1","19,6","0,4","55,0","1,4",
04/01/2009 12.00,"0,0","22,5","16,3","0,4","59,5","1,8",
04/01/2009 13.00,"0,0","31,8","23,2","0,5","51,5","1,6",
04/01/2009 14.00,"0,0","32,6","23,7","0,5","51,0","2,3",
04/01/2009 15.00,"0,0","19,9","15,1","0,4","61,2","1,9",
04/01/2009 16.00,"0,0","27,3","21,2","0,4","53,1","1,9",
04/01/2009 17.00,"0,0","30,6","25,3","0,5","47,0","2,0",
04/01/2009 18.00,"0,0","46,2","37,2","0,5","38,4","1,9",
04/01/2009 19.00,"0,0","45,9","36,7","0,5","37,1","2,5",
04/01/2009 20.00,"0,0","50,9","40,6","0,6","35,8","2,2",
04/01/2009 21.00,"0,0","54,9","41,6","0,6","34,0","2,3",
04/01/2009 22.00,"0,0","43,4","36,7","0,5","39,1","2,5",
04/01/2009 23.00,"0,0","31,9","30,1","0,5","42,7","2,3",
05/01/2009 0.00,"0,0","34,5","32,0","0,4","40,5","1,9",
05/01/2009 1.00,"0,0","19,9","20,6","0,4","49,5","0,9",
05/01/2009 2.00,"0,0","20,6","20,3","0,4","46,0","1,4",
05/01/2009 3.00,"0,1","13,7","15,2","0,4","49,2","1,7",
05/01/2009 4.00,"0,0","11,6","12,7","0,3","49,5","1,3",
05/01/2009 5.00,"0,1","10,5","10,5","0,3","50,8","1,2",
05/01/2009 6.00,"0,0","20,8","19,2","0,4","44,8","1,2",
05/01/2009 7.00,"0,0","52,3","41,7","0,6","23,8","1,2",
05/01/2009 8.00,"0,0","62,0","51,8","0,6","24,8","1,8",
05/01/2009 9.00,"0,0","96,4","68,4","0,8","23,8","2,6",
05/01/2009 10.00,"0,1","75,6","49,7","0,8","30,7","2,9",
05/01/2009 11.00,"0,1","51,9","35,8","0,6","42,0","2,9",
05/01/2009 12.00,"0,1","49,0","28,7","0,5","51,8","2,2",
05/01/2009 13.00,"0,0","60,6","31,2","0,4","55,6","2,0",
05/01/2009 14.00,"0,1","57,5","25,4","0,4","64,1","1,6",
05/01/2009 15.00,"0,1","61,1","29,2","0,4","61,7","1,7",
05/01/2009 16.00,"0,0","60,2","28,1","0,4","62,5","1,5",
05/01/2009 17.00,"0,0","63,6","33,4","0,5","57,4","1,6",
05/01/2009 18.00,"0,0","69,9","44,6","0,6","50,2","1,8",
05/01/2009 19.00,"0,0","104,3","70,9","0,8","25,4","2,4",
05/01/2009 20.00,"0,0","86,7","58,1","0,7","30,0","3,1",
05/01/2009 21.00,"0,2","85,9","61,0","0,7","32,4","2,7",
05/01/2009 22.00,"0,0","67,8","51,3","0,6","40,0","2,6",
05/01/2009 23.00,"0,0","54,2","42,9","0,5","45,7","2,2",
06/01/2009 0.00,"0,1","35,8","27,5","0,4","51,2","1,7",
06/01/2009 1.00,"0,1","27,3","22,0","0,4","52,9","1,9",
06/01/2009 2.00,"0,0",,,"0,4","47,7","1,7",
06/01/2009 3.00,"0,0","24,0","17,6",,"57,7","1,4",
06/01/2009 4.00,"0,0","27,3","18,3","0,3",,"1,4",
06/01/2009 5.00,"0,1","26,7","16,8","0,3","57,6","1,1",
06/01/2009 6.00,"0,0","29,5","19,6","0,3","55,9","1,5",
06/01/2009 7.00,"0,0","28,0","18,6","0,3","57,0","1,2",
06/01/2009 8.00,"0,0","30,9","22,0","0,3","53,9","1,5",
06/01/2009 9.00,"0,0","37,4","28,3","0,4","49,1","1,1",
06/01/2009 10.00,"0,0","44,1","34,1","0,4","45,1","1,3",
06/01/2009 11.00,"0,0","48,1","33,1","0,5","45,7","2,0",
06/01/2009 12.00,"0,0","59,3","36,9","0,5","47,0","2,0",
06/01/2009 13.00,"0,0","73,4","43,5","0,5","46,3","2,0",
06/01/2009 14.00,"0,0","75,3","45,1","0,6","45,2","2,4",
06/01/2009 15.00,"0,0","36,1","18,8","0,3","71,1","2,4",
06/01/2009 16.00,"0,0","53,0","31,5","0,5","62,0","1,5",
06/01/2009 17.00,"0,0","66,7","43,5","0,6","51,2","3,6",
06/01/2009 18.00,"0,0","88,4","58,9","0,6","37,2","2,7",
06/01/2009 19.00,"0,0","255,4","103,7","1,9","23,2","2,7",
06/01/2009 20.00,"0,3","336,6","121,9","2,2","20,4","8,5",
06/01/2009 21.00,"0,1","328,9","116,7","2,0","18,6","8,6",
06/01/2009 22.00,"0,2","410,2","128,0","2,4","17,9","8,9",
06/01/2009 23.00,"0,1","235,0","103,2","1,8","19,8","9,0",
07/01/2009 0.00,"0,1","192,7","87,3","1,6","16,5","8,7",
07/01/2009 1.00,"0,0","115,2","66,9","1,3","16,9","7,3",
07/01/2009 2.00,"0,1","70,5","52,2","1,1","21,9","6,0",
07/01/2009 3.00,"0,1","50,4","37,5","0,9","28,0","5,4",
