Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
04/01/2014 11.00,"80,4","197,7","7,7","35,6","9,3","27,6"
04/01/2014 12.00,"58,5","91,7","25,0","35,6","9,4","27,6"
04/01/2014 13.00,"51,6","61,4","40,4","35,6","7,9","27,6"
04/01/2014 14.00,"49,5","52,9","36,4","35,6","7,6","27,6"
04/01/2014 15.00,"48,6","52,1","36,1","35,6","7,2","27,6"
04/01/2014 16.00,"54,4","58,6","25,0","35,6","7,1","27,6"
04/01/2014 17.00,"71,8","95,3","4,6","35,6","7,4","27,6"
04/01/2014 18.00,"37,7","41,4","25,0","35,6","6,7","27,6"
04/01/2014 19.00,"35,8","37,6","24,4","35,6","5,4","27,6"
04/01/2014 20.00,"36,2","40,7","22,8","35,6","5,2","27,6"
04/01/2014 21.00,"60,3","91,4","10,7","35,6","5,8","27,6"
04/01/2014 22.00,"19,6","19,5","50,0","35,6","5,2","27,6"
04/01/2014 23.00,"13,1","13,1","54,7","35,6","3,6","27,6"
05/01/2014 0.00,"14,4","14,4","50,8","35,6","3,4","27,6"
05/01/2014 1.00,"7,4","7,4","58,8","11,4","3,2","9,3"
05/01/2014 2.00,"6,5","6,5","56,8","11,4","2,9","9,3"
05/01/2014 3.00,"7,6","7,6","55,2","11,4","3,0","9,3"
05/01/2014 4.00,"7,7","7,7","55,1","11,4","2,6","9,3"
05/01/2014 5.00,"4,6","4,6","58,3","11,4","2,4","9,3"
05/01/2014 6.00,"9,4","9,4","53,8","11,4","2,3","9,3"
05/01/2014 7.00,"6,4","6,4","54,4","11,4","2,4","9,3"
05/01/2014 8.00,"9,6","9,6","51,3","11,4","3,1","9,3"
05/01/2014 9.00,"11,1","11,1","49,9","11,4","3,6","9,3"
05/01/2014 10.00,"10,2","10,2","48,6","11,4","3,8","9,3"
05/01/2014 11.00,"14,5","14,5","44,2","11,4","4,1","9,3"
05/01/2014 12.00,"14,7","14,7","46,8","11,4","4,4","9,3"
05/01/2014 13.00,"16,1","16,1","47,6","11,4","4,2","9,3"
05/01/2014 14.00,"18,2","18,4","46,6","11,4","4,2","9,3"
05/01/2014 15.00,"17,3","17,3","53,1","11,4","4,0","9,3"
05/01/2014 16.00,"12,0","12,0","68,0","11,4","3,8","9,3"
05/01/2014 17.00,"9,8","9,8","75,5","11,4","3,0","9,3"
05/01/2014 18.00,"12,7","12,7","74,8","11,4","2,6","9,3"
05/01/2014 19.00,"16,6","16,6","70,1","11,4","3,6","9,3"
05/01/2014 20.00,"31,1","31,1","56,6","11,4","3,9","9,3"
05/01/2014 21.00,"44,1","44,4","43,8","11,4","4,2","9,3"
05/01/2014 22.00,"40,0","40,1","46,4","11,4","4,7","9,3"
05/01/2014 23.00,"23,0","23,0","53,0","11,4","4,3","9,3"
06/01/2014 0.00,"14,5","14,5","57,8","11,4","4,0","9,3"
06/01/2014 1.00,"10,4","10,4","60,9","14,2","3,3","8,7"
06/01/2014 2.00,"9,6","9,6","63,5","14,2","2,9","8,7"
06/01/2014 3.00,,,"61,4","14,2","3,1","8,7"
06/01/2014 4.00,"5,1","5,1","64,8","14,2","3,2","8,7"
06/01/2014 5.00,"7,3","7,3",,"14,2","3,3","8,7"
06/01/2014 6.00,"9,8","9,8","50,5","14,2","4,1","8,7"
06/01/2014 7.00,"13,4","13,4","48,3","14,2","4,6","8,7"
06/01/2014 8.00,"15,6","15,6","46,4","14,2","4,3","8,7"
06/01/2014 9.00,"18,4","18,4","45,0","14,2","4,4","8,7"
06/01/2014 10.00,"17,4","18,0","46,8","14,2","4,8","8,7"
06/01/2014 11.00,"17,2","18,5","49,5","14,2","4,6","8,7"
06/01/2014 12.00,"14,6","16,5","59,5","14,2","4,5","8,7"
06/01/2014 13.00,"12,7","13,3","68,7","14,2","4,3","8,7"
06/01/2014 14.00,"18,7","22,5","56,5","14,2","4,4","8,7"
06/01/2014 15.00,"11,1","11,3","66,2","14,2","4,0","8,7"
06/01/2014 16.00,"9,4","9,4","67,6","14,2","3,2","8,7"
06/01/2014 17.00,"13,7","13,6","64,1","14,2","2,9","8,7"
