Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
08/03/2014 20.00,"17,9","18,4","63,7","24,5","4,3","15,6"
08/03/2014 21.00,"18,1","19,3","62,2","24,5","3,9","15,6"
08/03/2014 22.00,"24,3","25,7","51,4","24,5","3,7","15,6"
08/03/2014 23.00,"16,0","16,2","58,8","24,5","3,9","15,6"
09/03/2014 0.00,"15,3","15,4","59,1","24,5","3,3","15,6"
09/03/2014 1.00,"16,8","16,9","49,4","24,5","3,8","14,5"
09/03/2014 2.00,"14,9","14,9","50,7","24,5","3,7","14,5"
09/03/2014 3.00,,,"60,5","24,5","3,5","14,5"
09/03/2014 4.00,"9,2","9,2","40,9","24,5","3,4","14,5"
09/03/2014 5.00,"9,9","9,9",,"24,5","3,5","14,5"
09/03/2014 6.00,"11,3","11,4","37,1","24,5","3,6","14,5"
09/03/2014 7.00,"14,2","14,2","35,1","24,5","3,5","14,5"
09/03/2014 8.00,"17,4","18,8","32,8","24,5","3,7","14,5"
09/03/2014 9.00,"17,5","19,4","35,6","24,5","4,6","14,5"
09/03/2014 10.00,"19,4","22,9","36,0","24,5","4,5","14,5"
09/03/2014 11.00,"19,3","22,7","45,2","24,5","4,5","14,5"
09/03/2014 12.00,"14,1","16,2","66,5","24,5","4,1","14,5"
09/03/2014 13.00,"13,8","26,4","72,8","24,5","3,8","14,5"
09/03/2014 14.00,"12,4","14,2","77,9","24,5","3,6","14,5"
09/03/2014 15.00,"5,7","5,8","86,1","24,5","3,2","14,5"
09/03/2014 16.00,"12,4","25,2","83,9","24,5","2,7","14,5"
09/03/2014 17.00,"9,2","9,6","84,7","24,5","2,7","14,5"
09/03/2014 18.00,"12,6","12,7","80,0","24,5","3,0","14,5"
09/03/2014 19.00,"18,2","18,2","70,3","24,5","3,3","14,5"
09/03/2014 20.00,"32,0","32,2","55,5","24,5","3,6","14,5"
09/03/2014 21.00,"34,8","35,8","43,2","24,5","4,0","14,5"
09/03/2014 22.00,"31,0","31,5","45,9","24,5","4,2","14,5"
09/03/2014 23.00,"23,3","23,3","54,2","24,5","3,9","14,5"
10/03/2014 0.00,"13,6","15,1","72,6","24,5","3,5","14,5"
10/03/2014 1.00,"45,1","56,8","42,3","28,2","2,5","12,6"
10/03/2014 2.00,"10,4","11,8","77,4","28,2","2,3","12,6"
10/03/2014 3.00,"20,3","23,0","62,3","28,2","2,6","12,6"
10/03/2014 4.00,"8,9","9,2","74,7","28,2","2,6","12,6"
10/03/2014 5.00,"4,4","4,5","78,4","28,2","2,7","12,6"
10/03/2014 6.00,"9,6","10,1","73,3","28,2","2,8","12,6"
10/03/2014 7.00,"39,6","51,4","45,2","28,2","2,8","12,6"
10/03/2014 8.00,"37,4","40,3","45,8","28,2","3,1","12,6"
10/03/2014 9.00,"36,1","39,5","42,9","28,2","4,0","12,6"
10/03/2014 10.00,"28,9","35,5","48,1","28,2","4,3","12,6"
10/03/2014 11.00,"15,4","19,2","66,0","28,2","4,0","12,6"
10/03/2014 12.00,"12,2","13,9","73,3","28,2","3,4","12,6"
10/03/2014 13.00,"14,6","16,2","69,6","28,2","3,3","12,6"
10/03/2014 14.00,"16,2","18,4","73,1","28,2","3,4","12,6"
10/03/2014 15.00,"11,5","13,1","79,0","28,2","3,0","12,6"
10/03/2014 16.00,"17,2","19,1","75,1","28,2","2,6","12,6"
10/03/2014 17.00,"20,1","22,8","71,5","28,2","2,8","12,6"
10/03/2014 18.00,"26,4","28,1","68,3","28,2","3,2","12,6"
10/03/2014 19.00,"38,6","39,7","57,9","28,2","3,7","12,6"
10/03/2014 20.00,"51,9","53,8","46,9","28,2","4,1","12,6"
10/03/2014 21.00,"91,9","131,3","8,1","28,2","4,9","12,6"
10/03/2014 22.00,"81,1","101,6","21,8","28,2","6,4","12,6"
10/03/2014 23.00,"24,4","24,4","65,0","28,2","4,5","12,6"
11/03/2014 0.00,"25,7","26,0","40,8","28,2","3,5","12,6"
11/03/2014 1.00,"19,2","19,3","43,3","21,9","3,4","15,0"
11/03/2014 2.00,"11,0","11,0","51,5","21,9","3,4","15,0"
11/03/2014 3.00,,,"55,8","21,9","2,8","15,0"
11/03/2014 4.00,"7,7","7,7","56,8","21,9","2,9","15,0"
11/03/2014 5.00,"9,0","9,0",,"21,9","2,9","15,0"
11/03/2014 6.00,"15,5","15,6","49,8","21,9","2,7","15,0"
11/03/2014 7.00,"27,6","28,0","41,5","21,9","3,1","15,0"
11/03/2014 8.00,"38,8","41,9","32,4","21,9","3,9","15,0"
11/03/2014 9.00,"49,4","62,8","19,6","21,9","4,7","15,0"
11/03/2014 10.00,"37,9","49,2","24,5","21,9","5,2","15,0"
11/03/2014 11.00,"31,6","37,6","38,0","21,9","4,8","15,0"
11/03/2014 12.00,"25,3","27,3","49,2","21,9","5,1","15,0"
11/03/2014 13.00,"26,7","28,3","58,9","21,9","4,1","15,0"
11/03/2014 14.00,"31,0","32,9","57,4","21,9","4,2","15,0"
11/03/2014 15.00,"20,7","22,8","67,1","21,9","3,3","15,0"
11/03/2014 16.00,"24,3","25,8","62,1","21,9","3,0","15,0"
11/03/2014 17.00,"25,8","26,2","59,1","21,9","3,3","15,0"
11/03/2014 18.00,"33,3","34,2","48,8","21,9","3,5","15,0"
11/03/2014 19.00,"44,4","46,8","34,5","21,9","3,8","15,0"
11/03/2014 20.00,"72,3","95,8","7,8","21,9","4,6","15,0"
11/03/2014 21.00,"77,8","107,9","6,2","21,9","5,7","15,0"
11/03/2014 22.00,"53,8","62,0","15,4","21,9","5,1","15,0"
11/03/2014 23.00,"43,8","46,0","22,5","21,9","4,2","15,0"
12/03/2014 0.00,"32,6","33,2","28,4","21,9","3,9","15,0"
12/03/2014 1.00,"19,5","19,6","35,5","27,0","3,5","19,4"
12/03/2014 2.00,"11,1","11,1","45,4","27,0","3,1","19,4"
12/03/2014 3.00,"8,0","8,0","50,8","27,0","2,7","19,4"
12/03/2014 4.00,"8,4","8,5","54,0","27,0","2,7","19,4"
12/03/2014 5.00,"9,2","9,4","58,5","27,0","2,7","19,4"
12/03/2014 6.00,"13,5","13,6","58,8","27,0","2,7","19,4"
12/03/2014 7.00,"21,9","22,5","55,0","27,0","2,9","19,4"
12/03/2014 8.00,"31,6","36,6","49,6","27,0","3,6","19,4"
12/03/2014 9.00,"30,9","38,9","54,5","27,0","4,4","19,4"
12/03/2014 10.00,"20,8","25,8","64,9","27,0","4,7","19,4"
12/03/2014 11.00,"19,1","24,2","68,7","27,0","4,3","19,4"
12/03/2014 12.00,"14,9","18,1","77,1","27,0","3,7","19,4"
12/03/2014 13.00,"10,7","12,3","87,5","27,0","3,2","19,4"
12/03/2014 14.00,"13,6","16,1","91,8","27,0","3,1","19,4"
12/03/2014 15.00,"12,0","13,6","95,8","27,0","3,0","19,4"
12/03/2014 16.00,"11,7","12,7","97,3","27,0","2,7","19,4"
12/03/2014 17.00,"17,4","18,6","92,9","27,0","2,8","19,4"
12/03/2014 18.00,"27,1","28,0","84,9","27,0","3,3","19,4"
12/03/2014 19.00,"46,4","46,7","63,9","27,0","3,5","19,4"
12/03/2014 20.00,"73,0","75,8","31,7","27,0","4,9","19,4"
12/03/2014 21.00,"51,1","53,6","34,2","27,0","5,3","19,4"
12/03/2014 22.00,"47,2","49,8","36,4","27,0","4,8","19,4"
12/03/2014 23.00,"34,0","34,3","53,8","27,0","4,2","19,4"
13/03/2014 0.00,"20,2","20,2","69,6","27,0","3,8","19,4"
13/03/2014 1.00,"13,3","13,3","74,9","41,7","3,3","29,8"
13/03/2014 2.00,"9,0","9,0","78,7","41,7","3,2","29,8"
13/03/2014 3.00,,,"80,6","41,7","3,0","29,8"
13/03/2014 4.00,"6,0","6,0","83,7","41,7","3,0","29,8"
13/03/2014 5.00,"8,9","9,0",,"41,7","3,2","29,8"
13/03/2014 6.00,"14,7","14,7","76,6","41,7","3,3","29,8"
13/03/2014 7.00,"24,1","24,5","70,6","41,7","3,3","29,8"
13/03/2014 8.00,"34,2","37,2","63,0","41,7","4,0","29,8"
13/03/2014 9.00,"31,4","36,8","68,5","41,7","4,8","29,8"
13/03/2014 10.00,"20,5","23,5","80,9","41,7","4,6","29,8"
13/03/2014 11.00,"18,4","21,3","87,6","41,7","4,2","29,8"
13/03/2014 12.00,"20,6","23,8","93,3","41,7","3,9","29,8"
13/03/2014 13.00,"20,4","23,9","94,5","41,7","3,8","29,8"
13/03/2014 14.00,"20,4","22,8","103,9","41,7","3,8","29,8"
13/03/2014 15.00,"15,8","16,5","108,6","41,7","3,8","29,8"
13/03/2014 16.00,"14,6","14,9","110,2","41,7","3,6","29,8"
13/03/2014 17.00,"12,7","12,8","112,4","41,7","3,2","29,8"
13/03/2014 18.00,"22,3","22,4","101,9","41,7","3,3","29,8"
13/03/2014 19.00,"38,4","38,4","81,8","41,7","3,7","29,8"
13/03/2014 20.00,"80,0","83,2","43,6","41,7","5,3","29,8"
13/03/2014 21.00,"63,8","64,5","49,4","41,7","6,0","29,8"
13/03/2014 22.00,"75,5","78,1","30,6","41,7","5,5","29,8"
13/03/2014 23.00,"54,4","55,8","26,3","41,7","5,7","29,8"
14/03/2014 0.00,"40,1","40,5","34,6","41,7","5,4","29,8"
14/03/2014 1.00,"24,9","24,9","42,4","58,1","4,7","44,6"
14/03/2014 2.00,"18,0","18,0","42,5","58,1","4,3","44,6"
14/03/2014 3.00,"14,3","14,3","54,7","58,1","4,1","44,6"
14/03/2014 4.00,"12,3","12,3","62,1","58,1","4,1","44,6"
14/03/2014 5.00,"13,2","13,3","53,2","58,1","4,5","44,6"
14/03/2014 6.00,"26,0","26,2","37,9","58,1","3,8","44,6"
14/03/2014 7.00,"45,1","52,9","13,1","58,1","4,1","44,6"
14/03/2014 8.00,"53,0","74,5","18,8","58,1","5,4","44,6"
14/03/2014 9.00,"52,7","72,3","34,8","58,1","6,1","44,6"
14/03/2014 10.00,"55,5","82,5","36,5","58,1","6,7","44,6"
14/03/2014 11.00,"30,8","40,0","57,3","58,1","6,3","44,6"
14/03/2014 12.00,"15,5","17,5","80,4","58,1","4,7","44,6"
14/03/2014 13.00,"14,0","14,7","94,7","58,1","3,9","44,6"
14/03/2014 14.00,"18,5","19,7","94,9","58,1","4,1","44,6"
14/03/2014 15.00,"15,3","15,8","102,2","58,1","3,9","44,6"
14/03/2014 16.00,"18,1","18,6","100,1","58,1","3,5","44,6"
14/03/2014 17.00,"16,2","16,3","105,1","58,1","3,3","44,6"
14/03/2014 18.00,"29,8","29,8","93,0","58,1","3,8","44,6"
14/03/2014 19.00,"44,1","44,0","80,7","58,1","4,1","44,6"
14/03/2014 20.00,"52,9","52,9","71,7","58,1","4,3","44,6"
14/03/2014 21.00,"88,1","90,9","32,6","58,1","5,4","44,6"
14/03/2014 22.00,"103,6","138,0","6,3","58,1","5,9","44,6"
14/03/2014 23.00,"52,4","56,4","22,3","58,1","5,9","44,6"
15/03/2014 0.00,"22,9","22,9","50,8","58,1","4,6","44,6"
15/03/2014 1.00,"13,7","13,7","71,1","50,4","4,3","41,1"
15/03/2014 2.00,"10,5","10,4","61,1","50,4","4,3","41,1"
15/03/2014 3.00,,,"50,2","50,4","4,0","41,1"
15/03/2014 4.00,"11,5","11,5","34,0","50,4","4,1","41,1"
15/03/2014 5.00,"18,5","19,3",,"50,4","3,8","41,1"
15/03/2014 6.00,"26,7","30,8","9,6","50,4","3,9","41,1"
15/03/2014 7.00,"31,8","35,8","13,0","50,4","4,9","41,1"
15/03/2014 8.00,"39,4","58,2","11,7","50,4","4,8","41,1"
15/03/2014 9.00,"31,0","44,1","25,1","50,4","4,9","41,1"
15/03/2014 10.00,"44,7","70,6","28,0","50,4","5,6","41,1"
15/03/2014 11.00,"33,8","46,6","46,3","50,4","6,3","41,1"
15/03/2014 12.00,"23,3","29,2","62,2","50,4","5,6","41,1"
15/03/2014 13.00,"17,7","20,1","72,9","50,4","4,6","41,1"
15/03/2014 14.00,"16,5","18,0","86,7","50,4","4,1","41,1"
15/03/2014 15.00,"10,0","10,0","101,2","50,4","3,5","41,1"
15/03/2014 16.00,"9,1","9,1","105,2","50,4","3,2","41,1"
15/03/2014 17.00,"32,7","35,7","87,6","50,4","3,2","41,1"
15/03/2014 18.00,"27,2","27,3","92,1","50,4","4,0","41,1"
15/03/2014 19.00,"30,3","30,3","86,3","50,4","4,1","41,1"
15/03/2014 20.00,"36,8","36,7","81,8","50,4","4,3","41,1"
15/03/2014 21.00,"83,9","90,5","25,6","50,4","4,8","41,1"
15/03/2014 22.00,"72,7","80,9","18,6","50,4","5,9","41,1"
15/03/2014 23.00,"52,4","54,7","21,7","50,4","5,2","41,1"
16/03/2014 0.00,"33,3","33,3","39,3","50,4","4,8","41,1"
16/03/2014 1.00,"24,7","24,7","59,2","39,0","4,3","29,5"
16/03/2014 2.00,"16,9","16,9","67,7","39,0","3,7","29,5"
16/03/2014 3.00,"13,3","13,3","71,9","39,0","3,3","29,5"
16/03/2014 4.00,"11,6","11,6","76,5","39,0","3,0","29,5"
16/03/2014 5.00,"14,0","14,0","76,1","39,0","3,1","29,5"
16/03/2014 6.00,"19,6","20,0","61,0","39,0","3,0","29,5"
16/03/2014 7.00,"18,2","18,4","44,5","39,0","3,1","29,5"
16/03/2014 8.00,"28,1","30,4","50,1","39,0","3,3","29,5"
16/03/2014 9.00,"28,0","32,4","55,8","39,0","4,8","29,5"
16/03/2014 10.00,"19,2","20,9","76,0","39,0","5,3","29,5"
16/03/2014 11.00,"14,6","15,3","77,6","39,0","4,2","29,5"
16/03/2014 12.00,"16,8","18,0","90,5","39,0","3,6","29,5"
16/03/2014 13.00,"17,2","18,8","93,8","39,0","3,6","29,5"
16/03/2014 14.00,"12,3","12,5","99,7","39,0","3,6","29,5"
16/03/2014 15.00,"8,5","8,5","102,5","39,0","3,2","29,5"
16/03/2014 16.00,"10,8","10,8","102,8","39,0","2,8","29,5"
16/03/2014 17.00,"10,8","10,7","99,5","39,0","3,0","29,5"
16/03/2014 18.00,"12,6","12,6","102,3","39,0","3,1","29,5"
16/03/2014 19.00,"18,9","18,9","98,2","39,0","3,3","29,5"
16/03/2014 20.00,"46,7","46,6","63,0","39,0","3,4","29,5"
16/03/2014 21.00,"53,5","53,7","46,9","39,0","4,5","29,5"
16/03/2014 22.00,"38,0","37,9","63,9","39,0","4,2","29,5"
16/03/2014 23.00,"28,4","28,3","73,7","39,0","3,8","29,5"
17/03/2014 0.00,"21,4","21,4","86,0","39,0","3,4","29,5"
17/03/2014 1.00,"12,8","12,8","92,8","54,3","3,0","39,6"
17/03/2014 2.00,"9,9","9,8","88,4","54,3","2,9","39,6"
17/03/2014 3.00,,,"87,0","54,3","2,8","39,6"
17/03/2014 4.00,"7,6","7,6","87,3","54,3","2,9","39,6"
17/03/2014 5.00,"10,1","10,1",,"54,3","2,9","39,6"
17/03/2014 6.00,"19,7","19,7","73,4","54,3","2,9","39,6"
17/03/2014 7.00,"29,1","29,2","62,4","54,3","3,5","39,6"
17/03/2014 8.00,"55,0","63,1","42,1","54,3","5,0","39,6"
17/03/2014 9.00,"66,4","103,1","27,3","54,3","6,3","39,6"
17/03/2014 10.00,"46,0","62,1","42,2","54,3","6,7","39,6"
17/03/2014 11.00,"36,6","47,9","37,4","54,3","5,4","39,6"
17/03/2014 12.00,"26,8","30,7","78,0","54,3","4,3","39,6"
17/03/2014 13.00,"21,4","22,3","107,1","54,3","4,2","39,6"
17/03/2014 14.00,"18,5","18,7","118,6","54,3","4,1","39,6"
17/03/2014 15.00,"12,4","12,4","123,2","54,3","3,6","39,6"
17/03/2014 16.00,"15,8","15,9","121,9","54,3","3,1","39,6"
17/03/2014 17.00,"31,8","33,8","101,9","54,3","3,3","39,6"
17/03/2014 18.00,"57,0","62,3","71,2","54,3","4,4","39,6"
17/03/2014 19.00,"129,5","261,8","2,2","54,3","5,6","39,6"
17/03/2014 20.00,"131,2","284,9","2,1","54,3","7,6","39,6"
17/03/2014 21.00,"95,8","108,1","20,7","54,3","6,8","39,6"
17/03/2014 22.00,"62,0","61,9","46,0","54,3","5,6","39,6"
17/03/2014 23.00,"29,8","29,7","65,8","54,3","4,8","39,6"
18/03/2014 0.00,"21,4","21,4","70,1","54,3","4,1","39,6"
18/03/2014 1.00,"13,8","13,8","77,3","42,6","3,5","30,6"
18/03/2014 2.00,"8,1","8,1","85,3","42,6","3,1","30,6"
18/03/2014 3.00,"6,4","6,4","86,7","42,6","2,9","30,6"
18/03/2014 4.00,"6,9","6,9","84,1","42,6","3,0","30,6"
18/03/2014 5.00,"9,8","9,8","80,3","42,6","2,8","30,6"
18/03/2014 6.00,"16,5","16,5","73,2","42,6","2,8","30,6"
18/03/2014 7.00,"18,2","18,2","73,8","42,6","3,0","30,6"
18/03/2014 8.00,"23,2","23,6","72,9","42,6","3,5","30,6"
18/03/2014 9.00,"23,5","25,3","77,5","42,6","3,8","30,6"
18/03/2014 10.00,"13,0","100,4",,"42,6","5,1","30,6"
18/03/2014 11.00,"16,4","18,6","88,7","42,6","9,2","30,6"
18/03/2014 12.00,"18,8","21,4","91,7","42,6","8,0","30,6"
18/03/2014 13.00,"16,3","17,4","106,9","42,6","5,0","30,6"
18/03/2014 14.00,"14,2","14,8","113,3","42,6","3,7","30,6"
18/03/2014 15.00,"11,9","12,0","118,9","42,6","3,4","30,6"
18/03/2014 16.00,"15,1","15,4","117,2","42,6","3,2","30,6"
18/03/2014 17.00,"14,2","14,2","120,4","42,6","3,2","30,6"
18/03/2014 18.00,"33,0","33,3","99,9","42,6","3,8","30,6"
18/03/2014 19.00,"59,0","63,3","70,3","42,6","4,7","30,6"
18/03/2014 20.00,"47,0","46,9","65,9","42,6","4,8","30,6"
18/03/2014 21.00,"75,7","77,8","30,7","42,6","5,6","30,6"
18/03/2014 22.00,"40,2","40,1","47,8","42,6","5,6","30,6"
18/03/2014 23.00,"25,5","25,4","61,5","42,6","4,2","30,6"
19/03/2014 0.00,"16,6","16,6","66,6","42,6","3,3","30,6"
19/03/2014 1.00,"10,2","10,2","73,1","28,4","2,8","19,7"
19/03/2014 2.00,"5,0","5,0","80,5","28,4","2,4","19,7"
19/03/2014 3.00,,,"80,9","28,4","2,1","19,7"
19/03/2014 4.00,"2,6","2,6","82,1","28,4","2,2","19,7"
19/03/2014 5.00,"6,8","6,8",,"28,4","3,7","19,7"
19/03/2014 6.00,"13,4","13,5","70,3","28,4","2,5","19,7"
19/03/2014 7.00,"21,4","21,9","67,8","28,4","2,3","19,7"
19/03/2014 8.00,"24,0","27,2","67,6","28,4","2,8","19,7"
19/03/2014 9.00,"18,0","21,0","87,7","28,4","3,1","19,7"
19/03/2014 10.00,"14,8","17,3","93,6","28,4","3,1","19,7"
19/03/2014 11.00,"12,4","14,4","103,2","28,4","3,0","19,7"
19/03/2014 12.00,"12,5","14,4","102,4","28,4","3,0","19,7"
19/03/2014 13.00,"12,4","14,0","103,1","28,4","3,0","19,7"
19/03/2014 14.00,"13,0","14,6","103,3","28,4","3,0","19,7"
19/03/2014 15.00,"12,5","13,6","106,9","28,4","2,7","19,7"
19/03/2014 16.00,"11,5","12,2","110,1","28,4","2,4","19,7"
19/03/2014 17.00,"12,2","12,7","110,4","28,4","2,4","19,7"
19/03/2014 18.00,"15,4","15,4","102,6","28,4","2,9","19,7"
19/03/2014 19.00,"17,0","16,9","98,5","28,4","3,2","19,7"
19/03/2014 20.00,"33,7","34,0","77,5","28,4","3,3","19,7"
19/03/2014 21.00,"67,4","69,3","30,3","28,4","4,3","19,7"
19/03/2014 22.00,"37,0","37,0","48,4","28,4","4,3","19,7"
19/03/2014 23.00,"30,3","30,3","49,3","28,4","3,5","19,7"
20/03/2014 0.00,"18,8","18,7","58,4","28,4","3,2","19,7"
20/03/2014 1.00,"10,3","10,3","69,5","30,8","2,6","19,5"
20/03/2014 2.00,"5,6","5,7","74,8","30,8","2,2","19,5"
20/03/2014 3.00,"4,7","4,7","73,6","30,8","2,2","19,5"
20/03/2014 4.00,"4,2","4,2","74,3","30,8","2,1","19,5"
20/03/2014 5.00,"5,4","5,5","73,6","30,8","2,2","19,5"
20/03/2014 6.00,"13,6","13,9","65,4","30,8","0,8","19,5"
20/03/2014 7.00,"20,0","20,9","55,4","30,8","2,0","19,5"
20/03/2014 8.00,"35,8","42,6","47,3","30,8","4,1","19,5"
20/03/2014 9.00,"40,0","55,2","42,9","30,8","5,2","19,5"
20/03/2014 10.00,"14,2","16,6","82,0","30,8","4,7","19,5"
20/03/2014 11.00,"10,4","12,3","90,9","30,8","2,9","19,5"
20/03/2014 12.00,"13,1","15,8","91,2","30,8","2,8","19,5"
20/03/2014 13.00,"8,7","9,9","97,9","30,8","2,7","19,5"
20/03/2014 14.00,"9,8","11,5","96,8","30,8","2,4","19,5"
20/03/2014 15.00,"7,5","8,5","97,9","30,8","2,3","19,5"
20/03/2014 16.00,"8,8","9,9","96,1","30,8","2,0","19,5"
20/03/2014 17.00,"11,4","12,3","89,7","30,8","2,8","19,5"
20/03/2014 18.00,"16,2","16,9","80,3","30,8","2,6","19,5"
20/03/2014 19.00,"26,7","27,4","67,9","30,8","2,6","19,5"
20/03/2014 20.00,"56,2","63,6","37,2","30,8","3,8","19,5"
20/03/2014 21.00,"72,1","83,4","9,7","30,8","4,3","19,5"
20/03/2014 22.00,"75,1","110,2","2,7","30,8","5,2","19,5"
20/03/2014 23.00,"49,5","53,3","15,1","30,8","5,2","19,5"
21/03/2014 0.00,"36,3","37,0","26,8","30,8","4,0","19,5"
21/03/2014 1.00,"27,9","28,2","33,6","26,8","3,1","17,0"
21/03/2014 2.00,"24,0","24,0","29,1","26,8","3,3","17,0"
21/03/2014 3.00,,,"31,5","26,8","3,7","17,0"
21/03/2014 4.00,"12,4","12,4","39,8","26,8","3,3","17,0"
21/03/2014 5.00,"17,0","17,0",,"26,8","3,1","17,0"
21/03/2014 6.00,"38,6","45,0","16,1","26,8","3,0","17,0"
21/03/2014 7.00,"51,8","63,7","11,1","26,8","4,0","17,0"
21/03/2014 8.00,"54,0","87,3","18,5","26,8","5,2","17,0"
21/03/2014 9.00,"51,0","76,9","30,3","26,8","5,2","17,0"
21/03/2014 10.00,"31,6","44,6","50,6","26,8","5,0","17,0"
21/03/2014 11.00,"18,1","24,2","56,2","26,8","3,6","17,0"
21/03/2014 12.00,"15,9","20,4","66,8","26,8","3,3","17,0"
21/03/2014 13.00,"13,0","16,3","74,1","26,8","2,7","17,0"
21/03/2014 14.00,"12,8","15,2","88,9","26,8","2,6","17,0"
21/03/2014 15.00,"6,5","6,7","99,9","26,8","2,2","17,0"
21/03/2014 16.00,"9,5","9,8","101,0","26,8","2,1","17,0"
21/03/2014 17.00,"12,3","12,7","99,9","26,8","2,6","17,0"
21/03/2014 18.00,"21,8","21,8","86,3","26,8","3,0","17,0"
21/03/2014 19.00,"47,2","47,9","54,6","26,8","4,1","17,0"
21/03/2014 20.00,"64,2","65,0","32,4","26,8","4,8","17,0"
21/03/2014 21.00,"47,6","47,9","44,2","26,8","4,8","17,0"
21/03/2014 22.00,"41,8","41,8","49,8","26,8","4,6","17,0"
21/03/2014 23.00,"26,6","26,6","54,5","26,8","4,2","17,0"
22/03/2014 0.00,"21,2","21,3","56,6","26,8","3,2","17,0"
22/03/2014 1.00,"25,5","25,5","48,7","27,5","3,4","19,5"
22/03/2014 2.00,"19,0","19,0","49,0","27,5","4,3","19,5"
22/03/2014 3.00,"16,2","16,2","49,1","27,5","3,9","19,5"
22/03/2014 4.00,"18,0","18,0","40,3","27,5","3,5","19,5"
22/03/2014 5.00,"15,6","15,8","58,2","27,5","3,0","19,5"
22/03/2014 6.00,"11,2","11,2","75,7","27,5","1,9","19,5"
22/03/2014 7.00,"22,3","22,7","69,0","27,5","2,6","19,5"
22/03/2014 8.00,"22,3","24,9","70,1","27,5","3,3","19,5"
22/03/2014 9.00,"19,3","22,5","79,8","27,5","4,1","19,5"
22/03/2014 10.00,"10,9","12,6","89,9","27,5","3,1","19,5"
22/03/2014 11.00,"9,8","11,4","88,6","27,5","2,7","19,5"
22/03/2014 12.00,"7,7","9,4","91,9","27,5","2,5","19,5"
22/03/2014 13.00,"9,5","11,4","88,4","27,5","2,4","19,5"
22/03/2014 14.00,"10,8","13,1","90,6","27,5","2,6","19,5"
22/03/2014 15.00,"9,3","9,7","103,6","27,5","2,4","19,5"
22/03/2014 16.00,"12,7","13,3","96,5","27,5","2,1","19,5"
22/03/2014 17.00,"25,9","26,7","82,7","27,5","2,7","19,5"
22/03/2014 18.00,"18,7","18,9","82,3","27,5","3,4","19,5"
22/03/2014 19.00,"23,0","23,0","66,8","27,5","2,8","19,5"
22/03/2014 20.00,"19,1","19,1","58,7","27,5","3,4","19,5"
22/03/2014 21.00,"17,2","17,2","57,1","27,5","2,9","19,5"
22/03/2014 22.00,"20,4","20,5","50,6","27,5","2,7","19,5"
22/03/2014 23.00,"17,9","18,0","51,6","27,5","2,6","19,5"
23/03/2014 0.00,"13,0","13,0","56,4","27,5","2,3","19,5"
23/03/2014 1.00,"14,9","14,9","52,1","22,9","2,6","13,6"
23/03/2014 2.00,"13,2","13,2","52,6","22,9","2,4","13,6"
23/03/2014 3.00,,,"42,9","22,9","2,9","13,6"
23/03/2014 4.00,"8,2","8,2","60,6","22,9","2,5","13,6"
23/03/2014 5.00,"13,5","13,6",,"22,9","2,0","13,6"
23/03/2014 6.00,"14,8","14,9","55,4","22,9","2,3","13,6"
23/03/2014 7.00,"13,9","14,2","56,5","22,9","2,8","13,6"
23/03/2014 8.00,"9,4","9,8","67,8","22,9","3,1","13,6"
23/03/2014 9.00,"8,1","8,5","75,2","22,9","3,2","13,6"
23/03/2014 10.00,"7,5","8,0","75,1","22,9","2,9","13,6"
23/03/2014 11.00,"11,5","12,6","68,7","22,9","3,1","13,6"
23/03/2014 12.00,"11,0","12,6","71,7","22,9","3,3","13,6"
23/03/2014 13.00,"6,8","7,5","79,7","22,9","2,7","13,6"
23/03/2014 14.00,"6,9","8,8","80,5","22,9","2,2","13,6"
23/03/2014 15.00,"2,3","2,9","88,3","22,9","1,9","13,6"
23/03/2014 16.00,"1,7","2,3","88,7","22,9","1,3","13,6"
23/03/2014 17.00,"4,1","5,4","84,8","22,9","1,3","13,6"
23/03/2014 18.00,"4,0","4,7","85,6","22,9","1,3","13,6"
23/03/2014 19.00,"5,8","6,0","82,5","22,9","1,4","13,6"
23/03/2014 20.00,"9,4","9,7","79,7","22,9","1,5","13,6"
23/03/2014 21.00,"11,6","12,2","77,1","22,9","1,7","13,6"
23/03/2014 22.00,"15,4","16,0","76,1","22,9","2,0","13,6"
23/03/2014 23.00,"12,5","12,9","73,9","22,9","1,8","13,6"
24/03/2014 0.00,"9,3","9,3","70,1","22,9","1,7","13,6"
24/03/2014 1.00,"4,1","4,1","74,5","8,5","1,6","6,4"
24/03/2014 2.00,"3,7","3,8","68,7","8,5","1,4","6,4"
24/03/2014 3.00,"2,5","2,5","66,5","8,5","1,5","6,4"
24/03/2014 4.00,"2,0","2,0","64,6","8,5","1,6","6,4"
24/03/2014 5.00,"2,6","2,7","71,6","8,5","1,7","6,4"
24/03/2014 6.00,"2,7","2,8","76,4","8,5","1,4","6,4"
24/03/2014 7.00,"5,9","6,7","73,5","8,5","1,4","6,4"
24/03/2014 8.00,"14,2","15,3","64,8","8,5","2,3","6,4"
24/03/2014 9.00,"26,1","30,4","69,6","8,5","3,4","6,4"
24/03/2014 10.00,"14,4","17,6","65,7","8,5","3,2","6,4"
