Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
04/01/2014 16.00,"1,1","15,6","11,0","0,8","2,5","17,1"
04/01/2014 17.00,"1,0","14,8","10,4","0,8","2,4",
04/01/2014 18.00,"1,5","23,0","19,7","0,8","2,4","15,1"
04/01/2014 19.00,"1,7","58,4","47,1","0,8","2,6",
04/01/2014 20.00,"1,9","50,2","35,9","0,9","2,5","16,1"
04/01/2014 21.00,"1,0","24,4","19,4","0,8","2,5",
04/01/2014 22.00,"1,8","41,0","35,6","0,8","2,5","14,2"
04/01/2014 23.00,"1,4","23,4","19,1","0,8","2,4",
05/01/2014 0.00,"1,2","18,4","13,9","0,8","2,3","16,6"
05/01/2014 1.00,"1,1","17,6","13,2","0,8","2,6",
05/01/2014 2.00,"1,5","18,1","13,5","0,8","2,4","21,0"
05/01/2014 3.00,"1,4","14,9","10,3","0,8","2,4",
05/01/2014 4.00,"0,9","11,6","7,4","0,8","2,4","14,7"
05/01/2014 5.00,"1,1","10,6","6,3","0,8","2,3",
05/01/2014 6.00,"1,2","10,7","6,1","0,8","2,4","17,6"
05/01/2014 7.00,"1,6","10,8","6,2","0,8","2,3",
05/01/2014 8.00,"1,3","11,8","7,4","0,8","2,4","17,1"
05/01/2014 9.00,"1,5","12,9","8,4","0,7","2,5",
05/01/2014 10.00,"1,5","13,7","8,8","0,7","2,5","15,1"
05/01/2014 11.00,"1,6","12,8","8,2","0,8","2,4",
05/01/2014 12.00,"1,3","11,5","7,1","0,8","2,3","20,5"
05/01/2014 13.00,"1,3","11,7","7,1","0,7","2,3",
05/01/2014 14.00,"1,5","13,0","8,3","0,7","2,3","19,5"
05/01/2014 15.00,"1,8","11,0","6,3","0,7","2,5",
05/01/2014 16.00,"1,5","11,4","7,1","0,8","2,5","19,0"
05/01/2014 17.00,"1,7","10,9","6,4","0,7","2,4",
05/01/2014 18.00,"1,3","12,5","8,0","0,7","2,5","15,1"
05/01/2014 19.00,"1,0","14,1","9,4","0,7","4,0",
05/01/2014 20.00,"1,6","19,0","14,5","1,0","3,0","10,3"
05/01/2014 21.00,"1,0","25,8","20,9","1,0","3,0",
05/01/2014 22.00,"1,6","36,9","32,3","0,9","2,5","10,7"
05/01/2014 23.00,"0,8","33,3","28,9","0,9","2,6",
06/01/2014 0.00,"0,5","22,7","17,8","0,8","2,4","9,3"
06/01/2014 1.00,"0,8","17,8","13,4","0,8","2,5",
06/01/2014 2.00,"0,6","13,7","9,1","0,8","2,5","6,8"
06/01/2014 3.00,,"10,0","5,6",,"2,5",
06/01/2014 4.00,"1,3","7,9","3,5","0,7","2,3","7,3"
06/01/2014 5.00,"0,4",,,"0,8","2,3",
06/01/2014 6.00,"0,9","10,9","6,4","0,8","2,2","10,7"
06/01/2014 7.00,"0,5","14,9","10,4","0,8","2,5",
06/01/2014 8.00,"0,4","21,4","16,4","0,8","2,5","7,8"
06/01/2014 9.00,"0,8","17,0","12,3","0,7","2,4",
06/01/2014 10.00,"1,0","17,2","11,6","0,8","2,3","5,9"
06/01/2014 11.00,"0,8","14,0","9,0","0,8","2,4",
06/01/2014 12.00,"0,4","12,7","7,5","0,8","2,4","4,9"
06/01/2014 13.00,"0,7","10,8","5,8","0,7","2,5",
06/01/2014 14.00,"0,3","10,9","6,3","0,7","2,4","15,1"
06/01/2014 15.00,"0,6","11,2","6,4","0,7","2,4",
06/01/2014 16.00,"0,6","11,0","6,4","0,7","2,2","8,8"
06/01/2014 17.00,"0,4","15,3","10,8","0,8","2,5",
06/01/2014 18.00,"0,2","15,9","11,4","0,8","2,4","8,3"
06/01/2014 19.00,"0,1","19,9","15,5","0,8","2,4",
06/01/2014 20.00,,"17,2","12,9","0,8","2,5","11,2"
06/01/2014 21.00,"0,2","15,5","11,0","0,8","2,5",
06/01/2014 22.00,"0,1","19,5","15,0","0,8","2,6","6,8"
06/01/2014 23.00,"0,1","24,6","20,2","0,8","2,7",
07/01/2014 0.00,"0,2","33,5","29,0","0,9","3,3","4,9"
07/01/2014 1.00,"0,7","49,0","39,1","0,9","2,7",
07/01/2014 2.00,"0,1","20,4","15,9","0,8","3,1","15,1"
07/01/2014 3.00,,"20,4","16,0","0,8","2,7",
07/01/2014 4.00,,"23,3","18,9","0,8","2,8","20,5"
07/01/2014 5.00,"0,2","27,5","23,2","0,8","2,8",
07/01/2014 6.00,"0,2","33,8","28,8","0,9","2,6","21,0"
07/01/2014 7.00,"0,7","39,8","30,4","0,8","2,9",
07/01/2014 8.00,"1,6","85,8","39,1","0,8","2,9","20,5"
07/01/2014 9.00,"1,3","88,0","43,1","0,8","2,8",
07/01/2014 10.00,"0,8","64,5","38,4","0,9","2,6","15,1"
07/01/2014 11.00,"1,6","82,7","42,9","1,1","3,1",
07/01/2014 12.00,"0,3","46,5","33,0","1,0","3,4","21,0"
07/01/2014 13.00,"0,5","43,7","33,1","1,0","2,9",
07/01/2014 14.00,"0,5","47,4","37,0","0,9","3,7","18,6"
07/01/2014 15.00,"0,5","45,6","36,1","0,9","3,3",
07/01/2014 16.00,"2,5","40,3","32,9","0,8","3,3","23,0"
07/01/2014 17.00,"4,4","35,4","29,2",,"2,6",
07/01/2014 18.00,"3,6","49,0","41,4","0,1","2,5","14,2"
07/01/2014 19.00,"4,2","83,7","49,4","0,1","2,9",
07/01/2014 20.00,"4,1","83,2","44,5","0,1","3,3","13,2"
07/01/2014 21.00,"4,8","98,8","42,4","0,2","3,0",
07/01/2014 22.00,"4,0","48,2","32,8","0,3","2,7","21,0"
07/01/2014 23.00,"3,7","40,7","30,3","0,2","2,7",
08/01/2014 0.00,"3,8","44,0","31,0","0,1","2,8","24,4"
08/01/2014 1.00,"4,0","45,2","30,7","0,2","3,0",
08/01/2014 2.00,"3,4","39,1","27,9","0,1","3,0","34,2"
08/01/2014 3.00,,"31,4","22,4",,"3,2",
08/01/2014 4.00,"4,0","28,0","20,1",,"2,7","30,3"
08/01/2014 5.00,"3,8",,,,"2,6",
08/01/2014 6.00,"3,4","27,6","19,0",,"2,7","27,4"
08/01/2014 7.00,"4,9","82,6","30,5",,"2,9",
08/01/2014 8.00,"7,3","140,3","40,4","0,1","3,1","16,1"
08/01/2014 9.00,"7,4","176,6","56,1","0,2","3,1",
08/01/2014 10.00,"7,3","146,6","48,9","0,3","3,1","17,1"
08/01/2014 11.00,"4,8","82,4","37,4","0,4","3,2",
08/01/2014 12.00,"3,7","20,9","15,7",,"2,7","21,5"
08/01/2014 13.00,"3,5","17,7","12,5",,"2,5",
08/01/2014 14.00,"3,6","17,9","12,6",,"2,6","33,2"
08/01/2014 15.00,"3,6","19,4","14,1","0,1","2,7",
08/01/2014 16.00,"3,5","19,5","14,3",,"2,5","19,5"
08/01/2014 17.00,"3,2","24,2","19,3",,"2,7",
08/01/2014 18.00,"3,4","27,8","23,1",,"2,7","13,7"
08/01/2014 19.00,"3,8","43,4","33,1","0,9","2,8",
08/01/2014 20.00,"3,4","51,5","43,1","0,7","3,5","18,1"
08/01/2014 21.00,"3,8","42,9","37,5","0,1","2,8",
08/01/2014 22.00,"3,6","28,4","23,7",,"2,9","21,5"
08/01/2014 23.00,"2,9","28,3","23,2","0,2","2,9",
09/01/2014 0.00,"3,1","26,6","22,2","0,1","2,8","25,4"
09/01/2014 1.00,"2,9","28,3","23,6","0,2","3,2",
09/01/2014 2.00,"3,3","20,4","15,9",,"2,9","32,2"
09/01/2014 3.00,"3,4","13,3","8,7",,"2,7",
09/01/2014 4.00,"2,9","18,7","14,1",,"2,6","27,8"
09/01/2014 5.00,"3,6","18,0","13,2",,"2,6",
09/01/2014 6.00,"2,9","21,8","16,7",,"2,7","15,1"
09/01/2014 7.00,"4,7","64,0","32,5",,"3,2",
09/01/2014 8.00,"5,7","107,6","37,1",,"3,0","20,0"
09/01/2014 9.00,"5,3","109,0","44,8","0,1","3,0",
09/01/2014 10.00,"4,5","68,3","36,4",,"3,5","19,0"
09/01/2014 11.00,"5,1","65,5","39,0","0,2","3,3",
09/01/2014 12.00,"4,5","78,3","47,5","0,3","3,8","25,4"
09/01/2014 13.00,"4,2","65,9","45,5","0,2","3,7",
09/01/2014 14.00,"4,0","43,0","33,1","0,1","3,0","36,6"
09/01/2014 15.00,"4,1","36,0","28,8",,"3,2",
09/01/2014 16.00,"3,3","39,2","32,6","0,1","3,2","26,4"
09/01/2014 17.00,"3,4","44,7","38,8","0,1","2,9",
09/01/2014 18.00,"4,5","81,3","51,3","0,1","3,3","18,1"
09/01/2014 19.00,"6,5","170,6","66,6","0,2","3,3",
09/01/2014 20.00,"7,3","161,3","54,4","0,3","3,3","24,4"
09/01/2014 21.00,"4,9","111,3","47,4","0,3","3,0",
09/01/2014 22.00,"5,7","132,9","48,2","0,3","3,1","35,7"
09/01/2014 23.00,"5,9","114,1","40,4","0,3","3,0",
10/01/2014 0.00,"3,6","57,3","31,2","0,2","2,9","34,2"
10/01/2014 1.00,"4,1","59,6","29,7","0,1","2,9",
10/01/2014 2.00,"3,7","40,6","26,7","0,1","2,9","35,2"
10/01/2014 3.00,,"30,8","21,1",,"2,9",
10/01/2014 4.00,"3,8","21,6","16,1",,"2,7","28,8"
10/01/2014 5.00,"3,7",,,,"2,7",
10/01/2014 6.00,"3,8","17,0","12,3",,"2,9","24,9"
10/01/2014 7.00,"4,6","43,5","27,4",,"2,9",
10/01/2014 8.00,"6,5","121,5","42,2",,"3,2","29,8"
10/01/2014 9.00,"4,9","92,6","44,9",,"3,4",
10/01/2014 10.00,"3,8","44,0","32,1",,"3,0","30,3"
10/01/2014 11.00,"3,8","33,3","23,5",,"2,6",
10/01/2014 12.00,"3,9","31,7","23,2",,"2,4","24,9"
10/01/2014 13.00,"3,6","24,7","17,6",,"2,8",
10/01/2014 14.00,"3,8","21,5","15,6",,"2,7","24,9"
10/01/2014 15.00,"3,6","22,1","16,5",,"2,7",
10/01/2014 16.00,"3,4","21,1","16,0",,"2,7","23,9"
10/01/2014 17.00,"3,3","20,1","15,4",,"2,7",
10/01/2014 18.00,"3,4","24,1","19,4",,"2,6","20,0"
10/01/2014 19.00,"3,9","71,1","50,8",,"2,7",
10/01/2014 20.00,"3,5","58,5","42,2",,"2,9","12,2"
10/01/2014 21.00,"3,3","45,3","35,9",,"2,7",
10/01/2014 22.00,"2,6","24,9","20,0",,"2,7","28,3"
10/01/2014 23.00,"3,2","45,8","28,0",,"2,6",
11/01/2014 0.00,"4,0","82,1","32,3","0,1","3,2","28,3"
11/01/2014 1.00,"3,2","26,4","17,5",,"2,7",
11/01/2014 2.00,"3,6","16,4","11,9",,"2,7","21,5"
11/01/2014 3.00,"2,9","18,5","14,0",,"2,9",
11/01/2014 4.00,"3,4","22,1","15,9",,"2,6","29,8"
11/01/2014 5.00,"3,7","15,4","10,5",,"2,5",
11/01/2014 6.00,"3,4","40,0","23,0",,"2,7","28,8"
11/01/2014 7.00,"5,1","77,1","25,8",,"3,2",
11/01/2014 8.00,"6,2","121,6","35,8","0,1","3,2","16,6"
11/01/2014 9.00,"4,6","79,7","33,6","0,1","2,9",
11/01/2014 10.00,"7,5","145,4","35,0","0,3","3,1","22,0"
11/01/2014 11.00,"6,3","116,4","37,9","0,5","3,5",
11/01/2014 12.00,"4,3","75,1","41,7","0,1","3,2","25,9"
11/01/2014 13.00,"4,3","58,7","38,1","0,1","3,1",
11/01/2014 14.00,"4,5","58,8","38,0","0,1","3,0","38,1"
11/01/2014 15.00,"3,7","28,5","22,5",,"2,6",
11/01/2014 16.00,"3,5","34,2","28,0",,"2,9","40,0"
11/01/2014 17.00,"3,6","36,0","30,5",,"2,8",
11/01/2014 18.00,"3,2","52,6","44,6",,"2,9","33,2"
11/01/2014 19.00,"3,6","62,3","48,7",,"3,0",
11/01/2014 20.00,"4,2","98,5","52,4","0,1","3,0","35,7"
11/01/2014 21.00,"3,7","66,3","47,6","0,2","2,8",
11/01/2014 22.00,"4,4","72,9","45,6","0,1","2,8","34,2"
11/01/2014 23.00,"4,1","69,4","46,3","0,1","2,8",
12/01/2014 0.00,"3,2","47,1","37,4","0,1","3,0","33,2"
12/01/2014 1.00,"2,7","32,0","26,5","0,1","3,0",
12/01/2014 2.00,"2,8","34,7","27,8","0,1","3,0","51,3"
12/01/2014 3.00,,"46,7","30,2",,"3,3",
12/01/2014 4.00,"4,2","36,2","25,9",,"2,8","50,3"
12/01/2014 5.00,"3,3",,,,"2,8",
12/01/2014 6.00,"3,2","21,0","15,8",,"2,9","39,1"
12/01/2014 7.00,"2,8","17,7","13,1",,"2,7",
12/01/2014 8.00,"3,1","18,9","13,4",,"2,8","26,9"
12/01/2014 9.00,"4,4","69,5","29,2",,"2,9",
12/01/2014 10.00,"3,3","36,8","24,1",,"2,9","16,1"
12/01/2014 11.00,"3,1","22,4","14,7",,"3,0",
12/01/2014 12.00,"2,9","18,2","12,8",,"2,7","29,8"
12/01/2014 13.00,"3,0","19,3","14,2",,"2,7",
12/01/2014 14.00,"3,4","19,2","14,1",,"2,5","24,4"
12/01/2014 15.00,"3,0","12,7","8,1",,"2,6",
12/01/2014 16.00,"3,1","12,9","8,4",,"2,5","20,5"
12/01/2014 17.00,"2,8","13,9","9,3",,"2,8",
12/01/2014 18.00,"2,7","21,4","17,0",,"2,6","27,4"
12/01/2014 19.00,"3,2","33,0","27,2",,"2,9",
12/01/2014 20.00,"2,9","36,0","30,4",,"2,7","16,6"
12/01/2014 21.00,"3,0","24,8","20,4",,"2,7",
12/01/2014 22.00,"2,3","29,4","24,7",,"2,8","28,3"
12/01/2014 23.00,"3,1","27,8","23,0",,"2,8",
13/01/2014 0.00,"3,1","25,6","20,8","0,1","2,6","40,5"
13/01/2014 1.00,"3,8","35,6","28,3","0,3","3,3",
13/01/2014 2.00,"3,0","21,4","16,7",,"2,8","38,1"
13/01/2014 3.00,"2,4","15,9","11,2",,"2,8",
13/01/2014 4.00,"2,6","13,0","8,4",,"2,5","45,4"
13/01/2014 5.00,"3,2","13,8","9,2",,"2,7",
13/01/2014 6.00,"3,6","30,4","22,9",,"2,7","37,6"
13/01/2014 7.00,"2,9","29,0","22,6",,"2,7",
13/01/2014 8.00,"3,7","54,0","33,0","0,1","2,8","33,2"
13/01/2014 9.00,"5,0","92,6","44,1","0,1","2,9",
13/01/2014 10.00,,"61,2","38,2","0,2","2,5","28,8"
13/01/2014 11.00,,"38,6","20,9","0,2","2,5",
13/01/2014 12.00,,"59,6","35,8","0,3","2,5",
13/01/2014 13.00,,,,,,
13/01/2014 14.00,,"64,4","56,8","0,5","1,7",
13/01/2014 15.00,,"38,4","34,9","0,5","1,8",
13/01/2014 16.00,,,,,,
13/01/2014 17.00,,"44,9","42,9","0,9","1,7",
13/01/2014 18.00,"0,2","101,9","85,0","1,0","2,0","21,5"
13/01/2014 19.00,"1,2","111,6","99,4","0,9","1,9",
13/01/2014 20.00,"1,5","60,7","57,0","0,9","1,5","24,9"
13/01/2014 21.00,"1,4","65,9","61,9","0,9","1,5",
13/01/2014 22.00,"2,0","44,1","40,7","1,0","1,5","22,0"
13/01/2014 23.00,"2,0","24,8","21,7","0,9","1,5",
