Stat,TA V.Archimede,,,,,
,,,,,,,,,,
Parm,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
20/02/2014 7.00,"1,4","9,3","8,2","0,1","1,5",
20/02/2014 8.00,"1,5","17,1","15,2","0,1","1,5","24,4"
20/02/2014 9.00,"1,4","26,7","24,3","0,2","1,6",
20/02/2014 10.00,"1,6","24,2","20,7","0,2","1,5","31,7"
20/02/2014 11.00,"1,6","22,8","19,0","0,2","1,4",
20/02/2014 12.00,"1,6","23,0","19,2","0,2","1,7","30,3"
20/02/2014 13.00,"1,7","23,0","19,2","0,2","1,6",
20/02/2014 14.00,"1,9","14,4","12,5","0,2","1,3","35,7"
20/02/2014 15.00,"1,8","13,3","11,9","0,1","1,6",
20/02/2014 16.00,"1,4","11,7","10,2","0,1","1,5","32,7"
20/02/2014 17.00,"1,5","11,4","9,7","0,1","1,6",
20/02/2014 18.00,"1,7","16,0","13,6","0,1","1,4","32,7"
20/02/2014 19.00,"1,6","15,4","14,2","0,1","1,4",
20/02/2014 20.00,"1,7","17,6","16,1","0,1","1,5","29,8"
20/02/2014 21.00,"1,8","21,0","18,6","0,2","1,6",
20/02/2014 22.00,"1,5","19,8","18,8","0,2","1,6","29,8"
20/02/2014 23.00,"1,8","14,9","12,8","0,1","1,5",
21/02/2014 0.00,"2,4","9,1","7,8","0,2","1,4","34,2"
21/02/2014 1.00,"1,6","7,7","6,7","0,1","1,3",
21/02/2014 2.00,"1,4","6,2","5,3","0,1",,"38,1"
21/02/2014 3.00,,"4,8","3,7",,"1,7",
21/02/2014 4.00,"2,5","5,2","4,2","0,3","1,6","26,9"
21/02/2014 5.00,"1,8",,,"0,2","1,4",
21/02/2014 6.00,"1,8","9,3","8,4","0,2","1,5","23,4"
21/02/2014 7.00,"2,0","13,6","12,7","0,2","1,7",
21/02/2014 8.00,"1,6","35,9","33,1","0,3","1,2","24,9"
21/02/2014 9.00,"1,9","47,9","42,8","0,3","1,7",
21/02/2014 10.00,"2,0","45,3","40,0","0,3","1,4","24,9"
21/02/2014 11.00,"2,0","40,5","35,7","0,3","1,4",
21/02/2014 12.00,"1,9","25,9","23,0","0,3","1,6","30,8"
21/02/2014 13.00,"1,9","29,5","26,5","0,3","1,4",
21/02/2014 14.00,"1,6","26,5","23,8","0,3","1,5","27,4"
21/02/2014 15.00,"2,1","25,1","23,3","0,3","1,5",
21/02/2014 16.00,"2,1","21,5","19,9","0,3","1,4","29,3"
21/02/2014 17.00,"1,7","22,6","21,7","0,3","1,5",
21/02/2014 18.00,"1,9","32,6","30,9","0,3","1,7","22,0"
21/02/2014 19.00,"1,6","39,5","38,1","0,4","1,5",
21/02/2014 20.00,"1,5","39,4","38,4","0,4","1,6","19,0"
21/02/2014 21.00,"1,6","31,1","30,2","0,3","1,6",
21/02/2014 22.00,"1,6","36,9","35,6","0,3","1,7","10,7"
21/02/2014 23.00,"1,6","24,4","23,5","0,3","1,6",
22/02/2014 0.00,"1,1","41,0","39,8","0,5","1,5","20,0"
22/02/2014 1.00,"1,8","45,1","43,6","0,5","1,7",
22/02/2014 2.00,"2,4","46,9","45,1","0,4","1,7","20,0"
22/02/2014 3.00,"1,4","42,4","40,7","0,7","1,9",
22/02/2014 4.00,"2,3","24,0","23,1","0,3","1,8","35,2"
22/02/2014 5.00,"1,8","30,7","28,3","0,4","1,9",
22/02/2014 6.00,"1,3","32,3","29,5","0,3","1,7","37,6"
22/02/2014 7.00,"2,6","115,6","52,2","0,4","1,7",
22/02/2014 8.00,"7,4","425,6","83,2","0,5","2,2","26,9"
22/02/2014 9.00,"3,0","127,6","54,8","0,4","2,2",
22/02/2014 10.00,"2,6","75,6","51,5","0,5","2,0","33,2"
22/02/2014 11.00,"2,5","86,1","61,3","0,7","2,0",
22/02/2014 12.00,"1,5","50,4","43,4","0,4","1,6","27,4"
22/02/2014 13.00,"1,2","44,2","37,9","0,4","1,7",
22/02/2014 14.00,"1,5","36,2","32,2","0,3","1,5","24,9"
22/02/2014 15.00,"1,3","14,9","13,2","0,2","1,6",
22/02/2014 16.00,"1,2","11,8","10,7","0,2","1,7","24,4"
22/02/2014 17.00,"1,6","16,1","15,0","0,3","1,6",
22/02/2014 18.00,"1,1","23,2","22,3","0,3","1,6","20,5"
22/02/2014 19.00,"1,9","51,4","49,9","0,3","1,6",
22/02/2014 20.00,"1,5","82,0","77,0","0,3","1,7","27,4"
22/02/2014 21.00,"1,2","37,2","35,7","0,3","1,6",
22/02/2014 22.00,"1,9","49,8","47,9","0,4","1,7","22,0"
22/02/2014 23.00,"1,8","48,1","46,8","0,4","1,8",
23/02/2014 0.00,"1,6","50,9","50,2","0,9","2,2","26,4"
23/02/2014 1.00,"2,0","46,2","44,6","0,9","2,3",
23/02/2014 2.00,"2,5","81,6","77,7","3,4",,"29,8"
23/02/2014 3.00,,"76,5","73,8",,"3,1",
23/02/2014 4.00,"2,6","43,3","42,5","0,6","2,0","27,4"
23/02/2014 5.00,"1,9",,,"0,7","2,5",
23/02/2014 6.00,"1,8","33,1","32,2","0,5","1,8","26,4"
23/02/2014 7.00,"1,7","31,0","30,3","0,4","2,0",
23/02/2014 8.00,"1,4","21,1","19,7","0,2","1,8","36,1"
23/02/2014 9.00,"1,6","12,0","10,9","0,2","1,6",
23/02/2014 10.00,"1,7","10,1","8,9","0,1","1,6","27,8"
23/02/2014 11.00,"1,4","9,8","8,6","0,1","1,8",
23/02/2014 12.00,"1,7","11,6","10,6","0,2","1,7","28,3"
23/02/2014 13.00,"1,6","12,4","11,3","0,2","1,7",
23/02/2014 14.00,"1,3","18,9","17,9","0,2","1,8","15,6"
23/02/2014 15.00,"1,1","11,8","10,5","0,2","1,7",
23/02/2014 16.00,"1,3","9,9","8,8","0,2","1,7","10,7"
23/02/2014 17.00,"1,2","12,2","11,2","0,2","1,7",
23/02/2014 18.00,"1,2","14,4","13,4","0,2","1,7","6,3"
23/02/2014 19.00,"1,1","22,7","21,5","0,3","1,8",
23/02/2014 20.00,"1,2","35,9","33,3","1,0","2,7","4,4"
23/02/2014 21.00,"1,5","70,6","65,4","0,9","5,3",
23/02/2014 22.00,"1,8","47,7","45,0","0,9","2,1","15,6"
23/02/2014 23.00,"1,1","26,6","25,5","0,5","1,9",
24/02/2014 0.00,"1,3","43,5","42,0","0,6","1,9","27,4"
24/02/2014 1.00,"1,5","70,9","65,7","0,8","2,9",
24/02/2014 2.00,"4,2","108,4","92,3","1,2","3,9","22,0"
24/02/2014 3.00,"5,2","90,4","80,9","1,3","3,9",
24/02/2014 4.00,"4,1","54,2","51,1","1,0","2,5","18,6"
24/02/2014 5.00,"3,0","81,4","76,6","1,2","3,3",
24/02/2014 6.00,"3,0","96,4","87,9","0,9","3,1","32,7"
24/02/2014 7.00,"2,7","63,2","60,3","0,7","2,0",
24/02/2014 8.00,"2,7","86,5","69,1","0,4","1,9","27,8"
24/02/2014 9.00,"3,8","97,8","70,6","0,5","2,2",
24/02/2014 10.00,"4,1","85,5","61,7","0,5","2,2","34,2"
24/02/2014 11.00,"4,1","48,8","40,5","0,3","1,9",
24/02/2014 12.00,"2,9","30,3","27,1","0,2","2,0","24,4"
24/02/2014 13.00,"2,8","34,1","28,3","0,3","1,8",
24/02/2014 14.00,"2,6","41,4","36,6","0,5","1,8","25,9"
24/02/2014 15.00,"2,8","31,8","28,8","0,4","1,8",
24/02/2014 16.00,"2,1","20,4","18,8","0,2","1,5","15,6"
24/02/2014 17.00,"1,6","20,3","19,1","0,2","1,8",
24/02/2014 18.00,"1,1","23,8","22,7","0,2","1,9","8,8"
24/02/2014 19.00,"1,1","38,5","37,8","0,2","1,8",
24/02/2014 20.00,"1,5","30,9","30,0","0,3","1,8","16,1"
24/02/2014 21.00,"1,4","68,0","64,5","0,6","3,3",
24/02/2014 22.00,"1,9","84,0","79,7","0,5","2,5","17,1"
24/02/2014 23.00,"1,2","60,8","58,8","0,3","1,9",
25/02/2014 0.00,"1,1","36,8","35,5","0,3","2,0","23,0"
25/02/2014 1.00,"1,2","31,8","31,0","0,2","1,7",
25/02/2014 2.00,"1,2","35,0","34,2","0,4",,"24,9"
25/02/2014 3.00,,"31,2","30,2",,"2,2",
25/02/2014 4.00,"1,5","41,7","40,7","0,8","2,1","33,2"
25/02/2014 5.00,"1,3",,,"0,9","2,1",
25/02/2014 6.00,"1,2","35,9","34,5","0,3","1,9","37,6"
25/02/2014 7.00,"1,2","61,6","57,4","0,7","2,0",
25/02/2014 8.00,"2,3","114,4","82,8","0,7","2,3","37,6"
25/02/2014 9.00,"2,7","149,5","88,8","0,8","2,4",
25/02/2014 10.00,"2,6","104,1","70,2","0,6","2,3","44,4"
25/02/2014 11.00,"2,4","64,2","50,4","0,6","2,3",
25/02/2014 12.00,"2,0","39,3","33,7","0,5","2,1","48,8"
25/02/2014 13.00,"1,6","31,9","29,3","0,3","2,0",
25/02/2014 14.00,"1,0","31,0","28,6","0,3","1,7","34,2"
25/02/2014 15.00,"1,0","33,6","31,3","0,3","1,9",
25/02/2014 16.00,"1,1","41,3","37,9","0,3","1,9","20,0"
25/02/2014 17.00,"1,1","40,8","38,3","0,3","2,0",
25/02/2014 18.00,"1,0","45,2","43,4","0,3","1,8","21,5"
25/02/2014 19.00,"1,2","34,3","32,7","0,3","2,0",
25/02/2014 20.00,"1,0","53,5","51,2","0,4","2,0","20,5"
25/02/2014 21.00,"1,1","72,9","70,6","0,4","2,1",
25/02/2014 22.00,"1,9","129,2","94,4","0,5","2,0","35,2"
25/02/2014 23.00,"1,5","79,9","69,7","0,4","1,9",
26/02/2014 0.00,"1,1","40,0","36,7","0,3","1,8","25,4"
26/02/2014 1.00,"1,6","57,0","53,0","0,4","1,7",
26/02/2014 2.00,"2,1","23,0","22,3","0,3","1,8","34,7"
26/02/2014 3.00,"1,2","25,5","24,4","0,3","1,8",
26/02/2014 4.00,"1,1","27,1","26,1","0,3","1,8","13,7"
26/02/2014 5.00,"1,3","33,6","31,7","0,3","2,1",
26/02/2014 6.00,"1,1","24,3","23,3","0,3","2,2","11,2"
26/02/2014 7.00,"2,7","172,1","68,3","0,3","2,3",
26/02/2014 8.00,"5,3","341,0","88,6","0,4","2,4","22,5"
26/02/2014 9.00,"3,1","189,6","95,9","0,5","2,3",
26/02/2014 10.00,"2,1","101,5","74,8","0,4","2,1","26,9"
26/02/2014 11.00,"1,6","52,7","43,9","0,4","2,0",
26/02/2014 12.00,"1,1","33,5","30,5","0,3","2,0","31,7"
26/02/2014 13.00,"1,4","29,0","26,2","0,3","2,0",
26/02/2014 14.00,"1,0","26,2","23,9","0,3","1,7","25,9"
26/02/2014 15.00,"1,1","18,3","17,3","0,3","2,0",
26/02/2014 16.00,"1,1","20,3","19,3","0,3","1,9","18,6"
26/02/2014 17.00,"1,0","25,7","24,5","0,3","1,8",
26/02/2014 18.00,"1,1","30,7","29,7","0,3","1,8","13,2"
26/02/2014 19.00,"1,1","44,3","43,5","0,4","1,9",
26/02/2014 20.00,"1,1","135,7","113,0","0,4","2,3","12,7"
26/02/2014 21.00,"1,8","199,9","141,3","0,5","2,1",
26/02/2014 22.00,"0,9","124,4","108,6","0,4","1,9","22,0"
26/02/2014 23.00,"1,0","43,9","43,0","0,3","1,9",
27/02/2014 0.00,"1,2","76,3","70,7","0,4","2,0","36,1"
27/02/2014 1.00,"1,2","27,9","27,0","0,3","2,0",
27/02/2014 2.00,"1,0","22,9","22,0","0,3",,"27,4"
27/02/2014 3.00,,"19,2","18,8",,"1,9",
27/02/2014 4.00,"1,0","22,6","21,7","0,3","1,9","24,9"
27/02/2014 5.00,"1,0",,,"0,3","1,8",
27/02/2014 6.00,"1,1","29,2","28,2","0,3","2,1","15,6"
27/02/2014 7.00,"2,2","171,4","68,3","0,3","2,2",
27/02/2014 8.00,"1,8","184,2","76,9","0,3","2,1","22,5"
27/02/2014 9.00,"2,9","213,0","84,7","0,4","2,2",
27/02/2014 10.00,"3,4","240,2","110,5","0,6","2,5","14,2"
27/02/2014 11.00,"2,1","114,7","88,1","0,5","2,3",
27/02/2014 12.00,"1,7","115,7","93,5","0,4","2,4","39,1"
27/02/2014 13.00,"1,2","70,9","64,0","0,4","2,2",
27/02/2014 14.00,"1,0","39,3","36,7","0,3","2,0","31,3"
27/02/2014 15.00,"1,2","29,7","28,5","0,2","1,8",
27/02/2014 16.00,"1,1","29,5","28,3","0,2","1,8","19,5"
27/02/2014 17.00,"1,3","35,5","33,9","0,3","1,9",
27/02/2014 18.00,"1,2","39,6","39,0","0,3","1,7","21,0"
27/02/2014 19.00,"1,3","56,6","55,8","0,3","2,0",
27/02/2014 20.00,"1,1","45,3","44,7","0,3","1,8","22,5"
27/02/2014 21.00,"1,2","106,5","91,3","0,3","1,9",
27/02/2014 22.00,"1,1","124,1","108,6","0,4","1,9","21,0"
27/02/2014 23.00,"1,2","63,2","61,9","0,3","2,0",
28/02/2014 0.00,"1,5","89,7","84,4","0,4","2,0","23,4"
28/02/2014 1.00,"1,7","36,0","34,9","0,3","1,9",
28/02/2014 2.00,"1,4","29,1","28,1","0,3","1,9","23,9"
28/02/2014 3.00,"1,2","51,1","50,7","0,5","2,4",
28/02/2014 4.00,"1,0","20,9","20,1","0,3","1,8","15,6"
28/02/2014 5.00,"1,1","24,1","23,2","0,3","2,0",
28/02/2014 6.00,"1,2","42,9","41,2","0,3","1,8","29,3"
28/02/2014 7.00,"1,7","86,6","61,5","0,4","1,8",
28/02/2014 8.00,"1,6","115,8","69,3","0,4","2,0","16,1"
28/02/2014 9.00,"1,6","82,5","59,2","0,3","2,1",
28/02/2014 10.00,"2,2","72,8","55,6","0,4","2,0","24,4"
28/02/2014 11.00,"1,9","56,1","49,2","0,4","2,2",
28/02/2014 12.00,"1,5","45,4","40,8","0,3","1,9","16,6"
28/02/2014 13.00,"1,3","36,0","33,4","0,3","2,0",
28/02/2014 14.00,"1,3","25,1","23,1","0,3","1,8","18,1"
28/02/2014 15.00,"1,2","18,3","16,8","0,2","1,8",
28/02/2014 16.00,"1,9","16,7","15,3","0,2","1,7","11,7"
28/02/2014 17.00,"2,0","15,7","14,5","0,2","1,7",
28/02/2014 18.00,"1,3","22,1","20,7","0,2","1,8","8,3"
28/02/2014 19.00,"0,6","38,3","37,5","0,2","1,7",
28/02/2014 20.00,"0,4","31,5","30,6","0,2","1,8","9,3"
28/02/2014 21.00,"1,0","28,8","27,8","0,2","1,8",
28/02/2014 22.00,"1,2","21,0","19,9","0,2","1,8","8,8"
28/02/2014 23.00,"1,3","25,0","24,2","0,2","1,8",
01/03/2014 0.00,"1,0","52,8","51,4","0,3","1,9","21,0"
01/03/2014 1.00,"1,2","47,4","46,7","0,3","1,7",
01/03/2014 2.00,"1,1","20,3","19,5","0,2",,"16,6"
01/03/2014 3.00,,"13,3","12,4",,"1,9",
01/03/2014 4.00,"1,3","12,6","11,5","0,2","1,8","15,6"
01/03/2014 5.00,"1,2",,,"0,2","1,9",
01/03/2014 6.00,"1,5",,,"0,2","1,9","9,3"
01/03/2014 7.00,"1,4",,,"0,2","1,9",
01/03/2014 8.00,"1,9",,,"0,3","2,0","12,2"
01/03/2014 9.00,"1,9",,,"0,2","1,8",
01/03/2014 10.00,"1,7",,,"0,2","1,8","12,2"
01/03/2014 11.00,"1,5",,,"0,3","1,8",
01/03/2014 12.00,"1,4",,,"0,3","1,7","17,1"
01/03/2014 13.00,"1,7",,,"0,3","1,8",
01/03/2014 14.00,"1,4",,,"0,2","1,6","17,6"
01/03/2014 15.00,"1,9",,,"0,2","1,8",
01/03/2014 16.00,"1,4",,,"0,1","1,8","21,0"
01/03/2014 17.00,"1,2",,,"0,2","1,8",
01/03/2014 18.00,"1,3",,,"0,2","1,7","22,0"
01/03/2014 19.00,"1,4",,,"0,2","1,8",
01/03/2014 20.00,"1,5",,,"0,2","1,9","13,7"
01/03/2014 21.00,"1,4",,,"0,2","1,8",
01/03/2014 22.00,"1,3",,,"0,2","1,7","22,0"
01/03/2014 23.00,"1,6",,,"0,2","1,8",
02/03/2014 0.00,"1,4",,,"0,2","1,8","12,7"
02/03/2014 1.00,"2,3",,,"0,2","1,9",
02/03/2014 2.00,"1,4",,,"0,3","2,1","8,8"
02/03/2014 3.00,"1,6",,,"0,3","1,9",
02/03/2014 4.00,"1,5",,,"0,2","1,8","7,3"
02/03/2014 5.00,"1,5",,,"0,2","1,6",
02/03/2014 6.00,"1,1",,,"0,2","1,8","5,9"
02/03/2014 7.00,"1,1",,,"0,2","1,8",
02/03/2014 8.00,"2,0",,,"0,3","2,0","4,9"
02/03/2014 9.00,"1,8",,,"0,3","2,1",
02/03/2014 10.00,"2,6",,,"0,2","2,5","5,4"
02/03/2014 11.00,"2,5",,,"0,2","1,9",
02/03/2014 12.00,"1,8",,,"0,2","1,7","10,7"
02/03/2014 13.00,"1,5",,,"0,2","1,7",
02/03/2014 14.00,"1,8",,,"0,2","1,8","17,6"
02/03/2014 15.00,"2,2",,,"0,2","1,8",
02/03/2014 16.00,"2,3",,,"0,2","1,9","11,2"
02/03/2014 17.00,"1,9",,,"0,2","1,9",
02/03/2014 18.00,"1,4",,,"0,2","1,9","7,8"
02/03/2014 19.00,"1,5",,,"0,2","1,9",
02/03/2014 20.00,"1,2",,,"0,3","2,0","6,8"
02/03/2014 21.00,"1,1",,,"0,3","1,9",
02/03/2014 22.00,"1,5",,,"0,2","1,7","15,1"
02/03/2014 23.00,"1,5",,,"0,2","1,8",
03/03/2014 0.00,"1,9",,,"0,3","2,0","10,3"
03/03/2014 1.00,"1,3",,,"0,2","1,9",
03/03/2014 2.00,"1,1",,,"0,2",,"9,3"
03/03/2014 3.00,,,,,"2,0",
03/03/2014 4.00,"1,3",,,"0,2","1,8","7,3"
03/03/2014 5.00,"2,0",,,"0,2","1,8",
03/03/2014 6.00,"1,9",,,"0,2","1,8","5,9"
03/03/2014 7.00,"1,8",,,"0,3","2,0",
03/03/2014 8.00,"2,3",,,"0,3","1,9","10,7"
03/03/2014 9.00,"2,2",,,"0,3","2,1",
03/03/2014 10.00,"2,6",,,"0,5","1,8","24,9"
03/03/2014 11.00,"1,9","35,8","35,1","0,3","2,0",
03/03/2014 12.00,"2,0","26,3","25,9","0,2","1,9","28,3"
03/03/2014 13.00,"1,5","24,3","23,9","0,2","1,7",
03/03/2014 14.00,"2,3","36,4","34,7","0,3","2,0","18,6"
03/03/2014 15.00,"3,5","49,3","47,5","0,5","2,6",
03/03/2014 16.00,"4,0","50,4","48,6","0,4","2,1","14,2"
03/03/2014 17.00,"2,1","25,9","26,2","0,2","1,7",
03/03/2014 18.00,"1,7","50,3","48,1","0,2","1,8","12,7"
03/03/2014 19.00,"1,6","30,1","30,5","0,2","1,7",
03/03/2014 20.00,"1,9","125,4","107,5","0,3","2,0","12,2"
03/03/2014 21.00,"2,2","99,0","97,8","0,3","1,8",
03/03/2014 22.00,"2,5","64,7","63,5","0,3","1,8","14,2"
03/03/2014 23.00,"1,8","49,6","50,3","0,3","1,8",
04/03/2014 0.00,"1,6","78,9","77,2","0,3","1,9","16,6"
04/03/2014 1.00,"1,2","65,0","65,9","0,3","1,9",
04/03/2014 2.00,"1,7","22,6","23,0","0,2","1,9","20,5"
04/03/2014 3.00,"1,7","25,6","26,1","0,2","1,9",
04/03/2014 4.00,"1,8","16,9","17,2","0,2","1,9","18,1"
04/03/2014 5.00,"2,1","3,8","3,8","0,2","1,8",
04/03/2014 6.00,"1,6","7,1","7,3","0,2","1,8","4,9"
04/03/2014 7.00,"2,4","10,5","10,7","0,2","1,7",
04/03/2014 8.00,"2,1","22,4","22,8","0,2","1,8","13,7"
04/03/2014 9.00,"2,6","36,1","36,7","0,1","1,8",
04/03/2014 10.00,"1,7","57,3","56,0","0,2","1,8","9,3"
04/03/2014 11.00,"2,1","55,2","55,4","0,2","1,8",
04/03/2014 12.00,"2,1","53,7","52,6","0,2","2,2","9,3"
04/03/2014 13.00,"1,1","30,1","30,2","0,1","2,3",
04/03/2014 14.00,"1,3","22,9","23,0","0,1","2,3","7,3"
04/03/2014 15.00,"2,0","19,0","19,3","0,1","2,3",
04/03/2014 16.00,"1,9","18,1","18,4","0,1","2,4","4,9"
04/03/2014 17.00,"1,5","31,4","31,5","0,2","2,3",
04/03/2014 18.00,"1,5","61,6","62,3","0,2","2,4","3,9"
04/03/2014 19.00,"2,2","109,7","109,2","0,3","2,5",
04/03/2014 20.00,"1,6","58,1","59,1","0,2","2,3","8,8"
04/03/2014 21.00,"1,6","105,1","94,7","0,3","2,4",
04/03/2014 22.00,"2,4","159,7","150,6","0,3","2,4","10,7"
04/03/2014 23.00,"1,6","86,3","84,0","0,2","2,5",
05/03/2014 0.00,"1,5","90,7","83,5","0,2","2,5","12,2"
05/03/2014 1.00,"1,5","107,6","99,0","0,2","2,2",
05/03/2014 2.00,"1,2","54,2","53,9","0,2",,"13,7"
05/03/2014 3.00,,"40,2","40,9",,,
05/03/2014 4.00,"1,6","27,5","28,0","0,2",,"18,1"
05/03/2014 5.00,"1,9",,,"0,2",,
05/03/2014 6.00,"1,3","51,9","52,2","0,2",,"16,6"
05/03/2014 7.00,"2,5","199,3","99,3","0,2",,
05/03/2014 8.00,"3,8","321,3","136,0","0,3",,"14,2"
05/03/2014 9.00,"3,2","267,6","136,2","0,3",,
05/03/2014 10.00,"2,5","135,8","104,8","0,2",,"17,1"
05/03/2014 11.00,"2,0","77,7","70,8","0,2",,
05/03/2014 12.00,"1,4","29,3","29,3","0,2",,"24,9"
05/03/2014 13.00,,"32,1","30,4",,,
05/03/2014 14.00,"2,6","70,0","64,4","0,1",,"25,4"
05/03/2014 15.00,"2,2","57,9","54,4","0,1","1,1",
05/03/2014 16.00,"1,4","35,4","32,4","0,2","1,4","14,7"
05/03/2014 17.00,"1,7","42,6","40,0","0,2","1,5",
05/03/2014 18.00,"2,5","52,9","50,9","0,2","1,5","10,3"
05/03/2014 19.00,"1,7","41,1","39,5","0,2","1,3",
05/03/2014 20.00,"1,6","36,7","35,2","0,2","1,4","11,2"
05/03/2014 21.00,"1,9","31,7","30,3","0,2","1,3",
05/03/2014 22.00,"2,5","25,5","24,2","0,2","1,5","8,3"
05/03/2014 23.00,"2,0","28,9","27,3","0,2","1,3",
06/03/2014 0.00,"1,5","33,5","32,8","0,2","1,3","13,2"
06/03/2014 1.00,"2,4","34,9","33,7","0,2","1,3",
06/03/2014 2.00,"1,4","9,4","7,7","0,2","1,4","9,3"
06/03/2014 3.00,"1,4","5,8","4,3","0,2","1,4",
06/03/2014 4.00,"1,5","9,2","8,2","0,2","1,4","6,8"
06/03/2014 5.00,"1,8","10,9","9,4","0,2","1,3",
06/03/2014 6.00,"2,1","27,8","25,7","0,2","1,4","6,8"
06/03/2014 7.00,"2,2","70,9","65,4","0,2","1,4",
06/03/2014 8.00,"1,5","81,9","77,9","0,2","1,4","5,9"
06/03/2014 9.00,"2,1","73,2","66,8","0,2","1,6",
06/03/2014 10.00,"2,5","32,6","28,7","0,2","1,4","4,9"
06/03/2014 11.00,"2,3","17,4","15,0","0,2","1,4",
06/03/2014 12.00,"1,5","18,7","16,0","0,2","1,4","17,1"
06/03/2014 13.00,"1,8","20,5","17,4","0,2","1,4",
06/03/2014 14.00,"1,9","22,1","19,0","0,3","1,3","14,7"
06/03/2014 15.00,"2,1","20,6","18,4","0,2","1,3",
06/03/2014 16.00,"1,1","20,9","18,3","0,2","1,3","12,2"
06/03/2014 17.00,"1,9","23,5","21,6","0,3","1,3",
06/03/2014 18.00,"1,2","21,3","19,9","0,3","1,3","9,8"
06/03/2014 19.00,"1,5","31,9","31,0","0,3","1,4",
06/03/2014 20.00,"1,1","38,4","37,0","0,3","1,4","9,3"
06/03/2014 21.00,"1,1","57,1","55,6","0,3","1,6",
06/03/2014 22.00,"1,1","61,6","60,7","0,3","1,4","8,3"
06/03/2014 23.00,"1,1","76,1","74,2","0,3","1,4",
07/03/2014 0.00,"1,9","28,1","26,1","0,3","1,4","12,7"
07/03/2014 1.00,"1,6","25,4","24,0","0,3","1,5",
07/03/2014 2.00,"1,3","14,0","12,4","0,3",,"7,8"
07/03/2014 3.00,,"11,2","9,8",,"1,6",
07/03/2014 4.00,"1,8","11,1","9,9","0,3","1,4","13,2"
07/03/2014 5.00,"1,5",,,"0,2","1,5",
07/03/2014 6.00,"1,8",,,"0,2","1,4","15,6"
07/03/2014 7.00,"1,9",,,"0,2","1,4",
07/03/2014 8.00,"1,8",,,"0,2","1,4","19,5"
07/03/2014 9.00,"2,4",,,"0,2","1,5",
07/03/2014 10.00,"1,5",,,"0,2","1,4","18,1"
07/03/2014 11.00,"1,5",,,"0,2","1,5",
07/03/2014 12.00,"2,0",,,"0,2","1,3","15,1"
07/03/2014 13.00,"1,4",,,"0,2","1,2",
07/03/2014 14.00,"1,8",,,"0,2","1,3","14,7"
07/03/2014 15.00,"2,1",,,"0,2","1,3",
07/03/2014 16.00,"1,5","24,5","20,0","0,2","1,8","10,3"
07/03/2014 17.00,"1,6","25,3","21,5","0,2","1,8",
07/03/2014 18.00,"1,6","42,6","39,0","0,2","1,7","9,8"
07/03/2014 19.00,"1,1","46,2","43,1","0,2","1,7",
07/03/2014 20.00,"1,6","57,9","54,9","0,2","1,7","12,7"
07/03/2014 21.00,"1,8","28,5","25,1","0,3","1,8",
07/03/2014 22.00,"1,4","17,1","13,6","0,3","1,7","17,1"
07/03/2014 23.00,"1,2","16,0","12,6","0,3","1,6",
08/03/2014 0.00,"1,4","17,4","13,8","0,3","1,7","15,6"
08/03/2014 1.00,"1,1","12,9","9,5","0,3","1,7",
08/03/2014 2.00,"1,4","11,1","7,7","0,3","1,7","17,1"
08/03/2014 3.00,"2,1","11,0","7,6","0,2","1,7",
08/03/2014 4.00,"1,9","10,9","7,4","0,2","1,5","11,2"
08/03/2014 5.00,"1,3","10,0","6,6","0,2","1,6",
08/03/2014 6.00,"1,1","11,5","8,0","0,2","1,8","7,8"
08/03/2014 7.00,"1,6","18,1","14,0","0,2","1,8",
08/03/2014 8.00,"1,9","42,9","31,3","0,4","1,7","14,7"
08/03/2014 9.00,"1,1","19,6","14,4","0,3","1,7",
08/03/2014 10.00,"1,3","16,0","11,6","0,2","1,4","20,5"
08/03/2014 11.00,"1,3","14,4","10,0","0,2","1,6",
08/03/2014 12.00,"1,4","14,7","10,3","0,2","1,4","18,1"
08/03/2014 13.00,"1,8","13,4","9,0","0,2","1,6",
08/03/2014 14.00,"1,4","17,2","12,2","0,2","1,6","20,0"
08/03/2014 15.00,"1,4","10,2","6,5","0,2","1,4",
08/03/2014 16.00,"2,2","17,3","10,8","0,2","1,4","23,0"
08/03/2014 17.00,"1,3","8,7","5,2","0,2","1,5",
08/03/2014 18.00,"1,2","10,1","6,7","0,2","1,3","14,2"
08/03/2014 19.00,"1,2","13,1","9,6","0,2","1,4",
08/03/2014 20.00,"1,1","15,4","12,0","0,2","1,6","17,1"
08/03/2014 21.00,"1,1","17,6","14,1","0,2","1,6",
08/03/2014 22.00,"1,1","16,7","13,5","0,2","1,6","16,6"
08/03/2014 23.00,"1,2","21,1","17,8","0,4","1,6",
09/03/2014 0.00,"1,2","20,4","17,2","0,2","1,7","23,4"
09/03/2014 1.00,"1,1","11,5","8,1","0,2","1,4",
09/03/2014 2.00,"1,1","8,6","5,2","0,2",,"13,7"
09/03/2014 3.00,,"10,1","6,8",,"1,7",
09/03/2014 4.00,"1,4","12,1","8,7","0,3","1,6","12,7"
09/03/2014 5.00,"1,1",,,"0,2","1,6",
09/03/2014 6.00,"1,2","12,3","8,9","0,3","1,6","19,5"
