Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
14/03/2014 2.00,,,"0,49","42,14","44,79","27,79",,
14/03/2014 3.00,,,"0,46","40,45","44,79","27,79",,
14/03/2014 4.00,,,"0,42","38,90","44,79","27,79",,
14/03/2014 5.00,,,"0,48","22,08","44,79","27,79",,
14/03/2014 6.00,,,"0,43","16,88","44,79","27,79",,
14/03/2014 7.00,,,"0,50","12,43","44,79","27,79",,
14/03/2014 8.00,,,"0,55","29,47","44,79","27,79",,
14/03/2014 9.00,,,"0,63","35,55","44,79","27,79",,
14/03/2014 10.00,,,"0,51","60,88","44,79","27,79",,
14/03/2014 11.00,,,"0,52","79,50","44,79","27,79",,
14/03/2014 12.00,,,"0,36","98,12","44,79","27,79",,
14/03/2014 13.00,,,"0,34","107,23","44,79","27,79",,
14/03/2014 14.00,,,"0,32","107,39","44,79","27,79",,
14/03/2014 15.00,,,"0,32","108,88","44,79","27,79",,
14/03/2014 16.00,,,"0,36","108,04","44,79","27,79",,
14/03/2014 17.00,,,"0,38","102,33","44,79","27,79",,
14/03/2014 18.00,,,"0,39","89,79","44,79","27,79",,
14/03/2014 19.00,,,"0,52","62,33","44,79","27,79",,
14/03/2014 20.00,,,"0,47","54,58","44,79","27,79",,
14/03/2014 21.00,,,"0,65","29,57","44,79","27,79",,
14/03/2014 22.00,,,"0,70","4,86","44,79","27,79",,
14/03/2014 23.00,,,"0,73","4,82","44,79","27,79",,
15/03/2014 0.00,,,"0,62","15,07","44,79","27,79",,
15/03/2014 1.00,,,"0,70","16,68","40,39","26,42",,
15/03/2014 2.00,,,"0,64","13,93","40,39","26,42",,
15/03/2014 3.00,,,,"11,04","40,39","26,42",,
15/03/2014 4.00,,,"0,59","15,05","40,39","26,42",,
15/03/2014 5.00,,,"0,51",,"40,39","26,42",,
15/03/2014 6.00,,,"0,55","13,90","40,39","26,42",,
15/03/2014 7.00,,,"0,60","15,48","40,39","26,42",,
15/03/2014 8.00,,,"0,71","10,73","40,39","26,42",,
15/03/2014 9.00,,,"0,83","20,11","40,39","26,42",,
15/03/2014 10.00,,,"0,59","70,84","40,39","26,42",,
15/03/2014 11.00,,,"0,44","92,82","40,39","26,42",,
15/03/2014 12.00,,,"0,44","100,48","40,39","26,42",,
15/03/2014 13.00,,,"0,44","100,11","40,39","26,42",,
15/03/2014 14.00,,,"0,44","96,39","40,39","26,42",,
15/03/2014 15.00,,,"0,37","103,26","40,39","26,42",,
15/03/2014 16.00,,,"0,45","100,44","40,39","26,42",,
15/03/2014 17.00,,,"0,47","96,32","40,39","26,42",,
15/03/2014 18.00,,,"0,49","81,45","40,39","26,42",,
15/03/2014 19.00,,,"0,56","69,19","40,39","26,42",,
15/03/2014 20.00,,,"0,65","56,21","40,39","26,42",,
15/03/2014 21.00,,,"0,70","40,61","40,39","26,42",,
15/03/2014 22.00,,,"0,76","33,82","40,39","26,42",,
15/03/2014 23.00,,,"0,68","41,71","40,39","26,42",,
16/03/2014 0.00,,,"0,65","38,15","40,39","26,42",,
16/03/2014 1.00,,,"0,54","31,77","40,78","24,42",,
16/03/2014 2.00,,,"0,63","15,51","40,78","24,42",,
16/03/2014 3.00,,,"0,58","16,80","40,78","24,42",,
16/03/2014 4.00,,,"0,50","8,62","40,78","24,42",,
16/03/2014 5.00,,,"0,53","14,75","40,78","24,42",,
16/03/2014 6.00,,,"0,48","25,63","40,78","24,42",,
16/03/2014 7.00,,,"0,45","21,36","40,78","24,42",,
16/03/2014 8.00,,,"0,54","33,36","40,78","24,42",,
16/03/2014 9.00,,,"0,45","54,55","40,78","24,42",,
16/03/2014 10.00,,,"0,40","65,92","40,78","24,42",,
16/03/2014 11.00,,,"0,41","79,39","40,78","24,42",,
16/03/2014 12.00,,,"0,42","86,28","40,78","24,42",,
16/03/2014 13.00,,,"0,39","96,89","40,78","24,42",,
16/03/2014 14.00,,,"0,37","98,93","40,78","24,42",,
16/03/2014 15.00,,,"0,34","101,72","40,78","24,42",,
16/03/2014 16.00,,,"0,36","101,84","40,78","24,42",,
16/03/2014 17.00,,,"0,36","102,39","40,78","24,42",,
16/03/2014 18.00,,,"0,38","99,52","40,78","24,42",,
16/03/2014 19.00,,,"0,43","87,67","40,78","24,42",,
16/03/2014 20.00,,,"0,49","84,45","40,78","24,42",,
16/03/2014 21.00,,,"0,45","84,47","40,78","24,42",,
16/03/2014 22.00,,,"0,46","82,25","40,78","24,42",,
16/03/2014 23.00,,,"0,47","72,11","40,78","24,42",,
17/03/2014 0.00,,,"0,49","73,04","40,78","24,42",,
17/03/2014 1.00,,,"0,42","77,47","52,84","29,05",,
17/03/2014 2.00,,,"0,38","83,79","52,84","29,05",,
17/03/2014 3.00,,,,"83,07","52,84","29,05",,
17/03/2014 4.00,,,"0,37","74,32","52,84","29,05",,
17/03/2014 5.00,,,"0,39",,"52,84","29,05",,
17/03/2014 6.00,,,"0,41","43,75","52,84","29,05",,
17/03/2014 7.00,,,"0,57","19,11","52,84","29,05",,
17/03/2014 8.00,,,"0,53","27,86","52,84","29,05",,
17/03/2014 9.00,,,"0,50","58,84","52,84","29,05",,
17/03/2014 10.00,,,"0,44","89,62","52,84","29,05",,
17/03/2014 11.00,,,"0,39","99,67","52,84","29,05",,
17/03/2014 12.00,,,"0,37","118,70","52,84","29,05",,
17/03/2014 13.00,,,"0,37","123,31","52,84","29,05",,
17/03/2014 14.00,,,"0,45","124,23","52,84","29,05",,
17/03/2014 15.00,,,"0,38","123,55","52,84","29,05",,
17/03/2014 16.00,,,"0,40","125,14","52,84","29,05",,
17/03/2014 17.00,,,"0,40","118,79","52,84","29,05",,
17/03/2014 18.00,,,"0,42","102,48","52,84","29,05",,
17/03/2014 19.00,,,"0,46","80,22","52,84","29,05",,
17/03/2014 20.00,,,"0,77","48,14","52,84","29,05",,
17/03/2014 21.00,,,"0,70","32,71","52,84","29,05",,
17/03/2014 22.00,,,"0,72","10,95","52,84","29,05",,
17/03/2014 23.00,,,"0,70","34,89","52,84","29,05",,
18/03/2014 0.00,,,"0,95","13,22","52,84","29,05",,
18/03/2014 1.00,,,"0,85","16,73","70,62","43,22",,
18/03/2014 2.00,,,"0,88","11,37","70,62","43,22",,
18/03/2014 3.00,,,"0,82","15,63","70,62","43,22",,
18/03/2014 4.00,,,"0,81","13,45","70,62","43,22",,
18/03/2014 5.00,,,"0,82","7,13","70,62","43,22",,
18/03/2014 6.00,,,"0,85","3,45","70,62","43,22",,
18/03/2014 7.00,,,"1,00","3,01","70,62","43,22",,
18/03/2014 8.00,,,"0,93","10,93","70,62","43,22",,
18/03/2014 9.00,,,"0,88","42,27","70,62","43,22",,
18/03/2014 10.00,,,"0,63","92,45","70,62","43,22",,
18/03/2014 11.00,,,"0,71","101,10","70,62","43,22",,
18/03/2014 12.00,,,"0,58","118,00","70,62","43,22",,
18/03/2014 13.00,,,"0,61","125,65","70,62","43,22",,
18/03/2014 14.00,,,"0,62","127,79","70,62","43,22",,
18/03/2014 15.00,,,"0,65","123,94","70,62","43,22",,
18/03/2014 16.00,,,"0,63","124,73","70,62","43,22",,
18/03/2014 17.00,,,"0,60","123,52","70,62","43,22",,
18/03/2014 18.00,,,"0,59","108,65","70,62","43,22",,
18/03/2014 19.00,,,"0,74","72,11","70,62","43,22",,
18/03/2014 20.00,,,"0,81","52,11","70,62","43,22",,
18/03/2014 21.00,,,"1,13","34,17","70,62","43,22",,
18/03/2014 22.00,,,"0,86","63,47","70,62","43,22",,
18/03/2014 23.00,,,"0,78","49,56","70,62","43,22",,
19/03/2014 0.00,,,"0,76","60,85","70,62","43,22",,
19/03/2014 1.00,,,"0,71","51,10","45,47","25,35",,
19/03/2014 2.00,,,"0,71","35,79","45,47","25,35",,
19/03/2014 3.00,,,,"21,84","45,47","25,35",,
19/03/2014 4.00,,,"0,75","23,30","45,47","25,35",,
19/03/2014 5.00,,,"0,67",,"45,47","25,35",,
19/03/2014 6.00,,,"0,68","12,98","45,47","25,35",,
19/03/2014 7.00,,,"0,68","11,37","45,47","25,35",,
19/03/2014 8.00,,,"0,64","39,20","45,47","25,35",,
19/03/2014 9.00,,,"0,68","61,27","45,47","25,35",,
19/03/2014 10.00,,,"0,60","90,66","45,47","25,35",,
19/03/2014 11.00,,,"0,59","97,45","45,47","25,35",,
19/03/2014 12.00,,,"0,56","98,94","45,47","25,35",,
19/03/2014 13.00,,,"0,55","95,77","45,47","25,35",,
19/03/2014 14.00,,,"0,56","94,35","45,47","25,35",,
19/03/2014 15.00,,,"0,53","102,01","45,47","25,35",,
19/03/2014 16.00,,,"0,49","117,08","45,47","25,35",,
19/03/2014 17.00,,,"0,50","116,34","45,47","25,35",,
19/03/2014 18.00,,,"0,60","104,15","45,47","25,35",,
19/03/2014 19.00,,,"0,64","76,47","45,47","25,35",,
19/03/2014 20.00,,,"0,68","79,92","45,47","25,35",,
19/03/2014 21.00,,,"0,71","86,03","45,47","25,35",,
19/03/2014 22.00,,,"0,62","87,86","45,47","25,35",,
19/03/2014 23.00,,,"0,54","96,67","45,47","25,35",,
20/03/2014 0.00,,,"0,51","89,70","45,47","25,35",,
20/03/2014 1.00,,,"0,48","91,71","26,47","13,14",,
20/03/2014 2.00,,,"0,48","86,97","26,47","13,14",,
20/03/2014 3.00,,,"0,47","82,47","26,47","13,14",,
20/03/2014 4.00,,,"0,45","86,89","26,47","13,14",,
20/03/2014 5.00,,,"0,42","89,47","26,47","13,14",,
20/03/2014 6.00,,,"0,48","78,77","26,47","13,14",,
20/03/2014 7.00,,,"0,50","73,98","26,47","13,14",,
20/03/2014 8.00,,,"0,49","58,18","26,47","13,14",,
20/03/2014 9.00,,,"0,48","60,65","26,47","13,14",,
20/03/2014 10.00,,,"0,39","70,18","26,47","13,14",,
20/03/2014 11.00,,,"0,36","74,12","26,47","13,14",,
20/03/2014 12.00,,,"0,37","76,98","26,47","13,14",,
20/03/2014 13.00,,,"0,39","79,14","26,47","13,14",,
20/03/2014 14.00,,,"0,36","82,34","26,47","13,14",,
20/03/2014 15.00,,,"0,31","84,30","26,47","13,14",,
20/03/2014 16.00,,,"0,39","77,06","26,47","13,14",,
20/03/2014 17.00,,,"0,39","78,92","26,47","13,14",,
20/03/2014 18.00,,,"0,40","76,51","26,47","13,14",,
20/03/2014 19.00,,,"0,55","73,14","26,47","13,14",,
20/03/2014 20.00,,,"0,53","66,27","26,47","13,14",,
20/03/2014 21.00,,,"0,58","60,75","26,47","13,14",,
20/03/2014 22.00,,,"0,45","68,65","26,47","13,14",,
20/03/2014 23.00,,,"0,41","68,10","26,47","13,14",,
21/03/2014 0.00,,,"0,35","66,10","26,47","13,14",,
21/03/2014 1.00,,,"0,37","63,17",,"13,72",,
21/03/2014 2.00,,,"0,37","53,65",,"13,72",,
21/03/2014 3.00,,,,"36,71",,"13,72",,
21/03/2014 4.00,,,"0,37","21,06",,"13,72",,
21/03/2014 5.00,,,"0,36",,,"13,72",,
21/03/2014 6.00,,,"0,40","5,34",,"13,72",,
21/03/2014 7.00,,,"0,39","6,18",,"13,72",,
21/03/2014 8.00,,,"0,46","11,65",,"13,72",,
21/03/2014 9.00,,,"0,43","41,84",,"13,72",,
21/03/2014 10.00,,,"0,43","63,68",,"13,72",,
21/03/2014 11.00,,,"0,38","77,63",,"13,72",,
21/03/2014 12.00,,,"0,39","86,61",,"13,72",,
21/03/2014 13.00,,,"0,37","92,60",,"13,72",,
21/03/2014 14.00,,,"0,39","94,31",,"13,72",,
21/03/2014 15.00,,,"0,35","95,92",,"13,72",,
21/03/2014 16.00,,,"0,34","94,65",,"13,72",,
21/03/2014 17.00,,,"0,36","90,12",,"13,72",,
21/03/2014 18.00,,,"0,45","82,42",,"13,72",,
21/03/2014 19.00,,,"0,48","71,02",,"13,72",,
21/03/2014 20.00,,,"0,44","77,74",,"13,72",,
21/03/2014 21.00,,,"0,39","61,05",,"13,72",,
21/03/2014 22.00,,,"0,45","54,05",,"13,72",,
21/03/2014 23.00,,,"0,46","42,58",,"13,72",,
22/03/2014 0.00,,,"0,51","41,27",,"13,72",,
22/03/2014 1.00,,,"0,48","45,65",,"12,94",,
22/03/2014 2.00,,,"0,48","47,81",,"12,94",,
22/03/2014 3.00,,,"0,42","50,55",,"12,94",,
22/03/2014 4.00,,,"0,44","42,53",,"12,94",,
22/03/2014 5.00,,,"0,39","38,01",,"12,94",,
22/03/2014 6.00,,,"0,40","35,84",,"12,94",,
22/03/2014 7.00,,,"0,45","32,26",,"12,94",,
22/03/2014 8.00,,,"0,42","49,34",,"12,94",,
22/03/2014 9.00,,,"0,45","69,02",,"12,94",,
22/03/2014 10.00,,,"0,42","78,88",,"12,94",,
22/03/2014 11.00,,,"0,41","84,53",,"12,94",,
22/03/2014 12.00,,,"0,39","88,06",,"12,94",,
22/03/2014 13.00,,,"0,38","90,76",,"12,94",,
22/03/2014 14.00,,,"0,42","90,33",,"12,94",,
22/03/2014 15.00,,,"0,37","93,19",,"12,94",,
22/03/2014 16.00,,,"0,38","90,47",,"12,94",,
22/03/2014 17.00,,,"0,44","88,61",,"12,94",,
22/03/2014 18.00,,,"0,43","86,83",,"12,94",,
22/03/2014 19.00,,,"0,45","75,47",,"12,94",,
22/03/2014 20.00,,,"0,51","59,65",,"12,94",,
22/03/2014 21.00,,,"0,51","44,71",,"12,94",,
22/03/2014 22.00,,,"0,45","51,52",,"12,94",,
22/03/2014 23.00,,,"0,47","50,14",,"12,94",,
23/03/2014 0.00,,,"0,43","45,44",,"12,94",,
23/03/2014 1.00,,,"0,48","41,13",,"9,47",,
23/03/2014 2.00,,,"0,46","45,81",,"9,47",,
23/03/2014 3.00,,,,"45,71",,"9,47",,
23/03/2014 4.00,,,"0,38","59,01",,"9,47",,
23/03/2014 5.00,,,"0,39",,,"9,47",,
23/03/2014 6.00,,,"0,40","19,14",,"9,47",,
23/03/2014 7.00,,,"0,36","55,72",,"9,47",,
23/03/2014 8.00,,,"0,40","57,59",,"9,47",,
23/03/2014 9.00,,,"0,44","75,90",,"9,47",,
23/03/2014 10.00,,,"0,41","82,91",,"9,47",,
23/03/2014 11.00,,,"0,37","86,99",,"9,47",,
23/03/2014 12.00,,,"0,39","85,93",,"9,47",,
23/03/2014 13.00,,,"0,38","86,85",,"9,47",,
23/03/2014 14.00,,,"0,37","91,92",,"9,47",,
23/03/2014 15.00,,,"0,30","92,72",,"9,47",,
23/03/2014 16.00,,,"0,35","92,47",,"9,47",,
23/03/2014 17.00,,,"0,34","92,76",,"9,47",,
23/03/2014 18.00,,,"0,41","91,29",,"9,47",,
23/03/2014 19.00,,,"0,39","82,24",,"9,47",,
23/03/2014 20.00,,,"0,37","78,79",,"9,47",,
23/03/2014 21.00,,,"0,39","82,35",,"9,47",,
23/03/2014 22.00,,,"0,34","80,79",,"9,47",,
23/03/2014 23.00,,,"0,41","81,62",,"9,47",,
24/03/2014 0.00,,,"0,59","76,43",,"9,47",,
24/03/2014 1.00,,,"0,58","67,50","14,03","3,03",,
24/03/2014 2.00,,,"0,59","68,23","14,03","3,03",,
24/03/2014 3.00,,,"0,56","69,50","14,03","3,03",,
24/03/2014 4.00,,,"0,58","68,67","14,03","3,03",,
24/03/2014 5.00,,,"0,57","71,65","14,03","3,03",,
24/03/2014 6.00,,,"0,54","84,85","14,03","3,03",,
24/03/2014 7.00,,,"0,54","78,99","14,03","3,03",,
24/03/2014 8.00,,,"0,59","75,25","14,03","3,03",,
24/03/2014 9.00,,,"0,85","74,96","14,03","3,03",,
24/03/2014 10.00,,,"0,57","79,84","14,03","3,03",,
24/03/2014 11.00,,,"0,62","79,51","14,03","3,03",,
24/03/2014 12.00,,,"0,57","81,62","14,03","3,03",,
24/03/2014 13.00,,,"0,59","81,22","14,03","3,03",,
24/03/2014 14.00,,,"0,64","81,63","14,03","3,03",,
24/03/2014 15.00,,,"0,61","83,59","14,03","3,03",,
24/03/2014 16.00,,,"0,59",,"14,03","3,03",,
24/03/2014 17.00,,,"0,59","78,85","14,03","3,03",,
24/03/2014 18.00,,,"0,62","74,57","14,03","3,03",,
24/03/2014 19.00,,,"0,64","76,94","14,03","3,03",,
24/03/2014 20.00,,,"0,75","72,77","14,03","3,03",,
24/03/2014 21.00,,,"0,85","62,45","14,03","3,03",,
24/03/2014 22.00,,,"0,89","58,72","14,03","3,03",,
24/03/2014 23.00,,,"0,66","65,94","14,03","3,03",,
25/03/2014 0.00,,,"0,47","70,00","14,03","3,03",,
25/03/2014 1.00,,,"0,47","68,40","8,60","2,64",,
25/03/2014 2.00,,,"0,48","63,64","8,60","2,64",,
25/03/2014 3.00,,,,"57,73","8,60","2,64",,
25/03/2014 4.00,,,"0,44","54,75","8,60","2,64",,
25/03/2014 5.00,,,"0,43",,"8,60","2,64",,
25/03/2014 6.00,,,"0,42","52,28","8,60","2,64",,
25/03/2014 7.00,,,"0,45","47,99","8,60","2,64",,
25/03/2014 8.00,,,"0,48","50,87","8,60","2,64",,
25/03/2014 9.00,,,"0,51","62,30","8,60","2,64",,
25/03/2014 10.00,,,"0,55","70,71","8,60","2,64",,
25/03/2014 11.00,,,"0,49","74,39","8,60","2,64",,
25/03/2014 12.00,,,"0,52","77,80","8,60","2,64",,
25/03/2014 13.00,,,"0,43","82,78","8,60","2,64",,
25/03/2014 14.00,,,"0,48","85,26","8,60","2,64",,
25/03/2014 15.00,,,"0,43","86,83","8,60","2,64",,
25/03/2014 16.00,,,"0,40","86,91","8,60","2,64",,
25/03/2014 17.00,,,"0,44","86,19","8,60","2,64",,
25/03/2014 18.00,,,"0,46","80,92","8,60","2,64",,
25/03/2014 19.00,,,"0,52","65,75","8,60","2,64",,
25/03/2014 20.00,,,"0,54","61,41","8,60","2,64",,
25/03/2014 21.00,,,"0,46","69,19","8,60","2,64",,
25/03/2014 22.00,,,"0,46","66,08","8,60","2,64",,
25/03/2014 23.00,,,"0,42","62,73","8,60","2,64",,
26/03/2014 0.00,,,"0,47","60,47","8,60","2,64",,
26/03/2014 1.00,,,"0,47","58,33","15,04","5,03",,
26/03/2014 2.00,,,"0,46","67,45","15,04","5,03",,
26/03/2014 3.00,,,"0,45","70,31","15,04","5,03",,
26/03/2014 4.00,,,"0,45","74,19","15,04","5,03",,
26/03/2014 5.00,,,"0,44","78,86","15,04","5,03",,
26/03/2014 6.00,,,"0,49","69,08","15,04","5,03",,
26/03/2014 7.00,,,"0,46","56,46","15,04","5,03",,
26/03/2014 8.00,,,"0,56","55,46","15,04","5,03",,
26/03/2014 9.00,,,"0,52","75,85","15,04","5,03",,
26/03/2014 10.00,,,"0,52","79,79","15,04","5,03",,
26/03/2014 11.00,,,"0,47","82,17","15,04","5,03",,
26/03/2014 12.00,,,"0,50","83,26","15,04","5,03",,
26/03/2014 13.00,,,"0,52","85,29","15,04","5,03",,
26/03/2014 14.00,,,"0,54","85,02","15,04","5,03",,
26/03/2014 15.00,,,"0,49","88,14","15,04","5,03",,
26/03/2014 16.00,,,"0,49","89,61","15,04","5,03",,
26/03/2014 17.00,,,"0,48","85,23","15,04","5,03",,
26/03/2014 18.00,,,"0,52","79,00","15,04","5,03",,
26/03/2014 19.00,,,"0,56","69,75","15,04","5,03",,
26/03/2014 20.00,,,"0,59","66,52","15,04","5,03",,
26/03/2014 21.00,,,"0,63","57,32","15,04","5,03",,
26/03/2014 22.00,,,"0,59","58,45","15,04","5,03",,
26/03/2014 23.00,,,"0,60","58,00","15,04","5,03",,
27/03/2014 0.00,,,"0,45","54,36","15,04","5,03",,
27/03/2014 1.00,,,"0,42","59,99","25,49","7,23",,
27/03/2014 2.00,,,"0,44","61,88","25,49","7,23",,
27/03/2014 3.00,,,,"60,80","25,49","7,23",,
27/03/2014 4.00,,,"0,43","68,23","25,49","7,23",,
27/03/2014 5.00,,,"0,42",,"25,49","7,23",,
27/03/2014 6.00,,,"0,39","77,53","25,49","7,23",,
27/03/2014 7.00,,,"0,42","74,96","25,49","7,23",,
27/03/2014 8.00,,,"0,41","76,74","25,49","7,23",,
27/03/2014 9.00,,,"0,42","79,64","25,49","7,23",,
27/03/2014 10.00,,,"0,42","78,28","25,49","7,23",,
27/03/2014 11.00,,,"0,46","89,99","25,49","7,23",,
27/03/2014 12.00,,,"0,43","84,26","25,49","7,23",,
27/03/2014 13.00,,,"0,45","81,16","25,49","7,23",,
27/03/2014 14.00,,,"0,53","88,14","25,49","7,23",,
27/03/2014 15.00,,,"0,39","90,73","25,49","7,23",,
27/03/2014 16.00,,,"0,37","90,37","25,49","7,23",,
27/03/2014 17.00,,,"0,42","90,34","25,49","7,23",,
27/03/2014 18.00,,,"0,42","84,72","25,49","7,23",,
27/03/2014 19.00,,,"0,49","56,50","25,49","7,23",,
27/03/2014 20.00,,,"0,55","54,50","25,49","7,23",,
27/03/2014 21.00,,,"0,48","61,24","25,49","7,23",,
27/03/2014 22.00,,,"0,48","58,55","25,49","7,23",,
27/03/2014 23.00,,,"0,39","68,69","25,49","7,23",,
28/03/2014 0.00,,,"0,24","48,28","25,49","7,23",,
28/03/2014 1.00,,,"0,35","31,96","18,12","6,94",,
28/03/2014 2.00,,,"0,28","43,76","18,12","6,94",,
28/03/2014 3.00,,,"0,24","61,53","18,12","6,94",,
28/03/2014 4.00,,,"0,24","55,56","18,12","6,94",,
28/03/2014 5.00,,,"0,24","34,79","18,12","6,94",,
28/03/2014 6.00,,,"0,24","30,95","18,12","6,94",,
28/03/2014 7.00,,,"0,36","25,71","18,12","6,94",,
28/03/2014 8.00,,,"0,31","54,30","18,12","6,94",,
28/03/2014 9.00,,,"0,40","72,16","18,12","6,94",,
28/03/2014 10.00,,,"0,32","79,34","18,12","6,94",,
28/03/2014 11.00,,,"0,24","83,38","18,12","6,94",,
28/03/2014 12.00,,,"0,24","86,81","18,12","6,94",,
28/03/2014 13.00,,,"0,30","77,46","18,12","6,94",,
28/03/2014 14.00,,,"0,62","65,17","18,12","6,94",,
28/03/2014 15.00,,,"0,29","73,81","18,12","6,94",,
28/03/2014 16.00,,,"0,29","79,02","18,12","6,94",,
28/03/2014 17.00,,,"0,26","85,48","18,12","6,94",,
28/03/2014 18.00,,,"0,25","78,69","18,12","6,94",,
28/03/2014 19.00,,,"0,27","77,89","18,12","6,94",,
28/03/2014 20.00,,,"0,29","81,60","18,12","6,94",,
28/03/2014 21.00,,,"0,29","85,91","18,12","6,94",,
28/03/2014 22.00,,,"0,32","82,18","18,12","6,94",,
28/03/2014 23.00,,,"0,29","85,25","18,12","6,94",,
29/03/2014 0.00,,,"0,39","73,38","18,12","6,94",,
29/03/2014 1.00,,,"0,31","75,03","21,88","8,92",,
29/03/2014 2.00,,,"0,30","74,68","21,88","8,92",,
29/03/2014 3.00,,,,"70,85","21,88","8,92",,
29/03/2014 4.00,,,"0,30","76,31","21,88","8,92",,
29/03/2014 5.00,,,"0,30",,"21,88","8,92",,
29/03/2014 6.00,,,"0,27","73,02","21,88","8,92",,
29/03/2014 7.00,,,"0,33","69,29","21,88","8,92",,
29/03/2014 8.00,,,"0,36","64,24","21,88","8,92",,
29/03/2014 9.00,,,"0,39","66,85","21,88","8,92",,
29/03/2014 10.00,,,"0,34","75,66","21,88","8,92",,
29/03/2014 11.00,,,"0,34","81,15","21,88","8,92",,
29/03/2014 12.00,,,"0,33","90,41","21,88","8,92",,
29/03/2014 13.00,,,"0,34","90,02","21,88","8,92",,
29/03/2014 14.00,,,"0,35","92,81","21,88","8,92",,
29/03/2014 15.00,,,"0,34","95,71","21,88","8,92",,
29/03/2014 16.00,,,"0,35","95,52","21,88","8,92",,
29/03/2014 17.00,,,"0,34","95,32","21,88","8,92",,
29/03/2014 18.00,,,"0,33","87,99","21,88","8,92",,
29/03/2014 19.00,,,"0,41","77,22","21,88","8,92",,
29/03/2014 20.00,,,"0,47","63,82","21,88","8,92",,
29/03/2014 21.00,,,"0,45","74,15","21,88","8,92",,
29/03/2014 22.00,,,"0,47","63,30","21,88","8,92",,
29/03/2014 23.00,,,"0,39","60,88","21,88","8,92",,
30/03/2014 0.00,,,"0,29","58,54","21,88","8,92",,
30/03/2014 1.00,,,"0,31","58,74","30,96","16,21",,
30/03/2014 2.00,,,"0,25","62,20","30,96","16,21",,
30/03/2014 3.00,,,"0,24","54,13","30,96","16,21",,
30/03/2014 4.00,,,"0,23","58,23","30,96","16,21",,
30/03/2014 5.00,,,"0,19","57,75","30,96","16,21",,
30/03/2014 6.00,,,"0,24","41,05","30,96","16,21",,
30/03/2014 7.00,,,"0,28","41,71","30,96","16,21",,
30/03/2014 8.00,,,"0,26","71,99","30,96","16,21",,
30/03/2014 9.00,,,"0,26","75,96","30,96","16,21",,
30/03/2014 10.00,,,"0,24","88,79","30,96","16,21",,
30/03/2014 11.00,,,"0,19","90,14","30,96","16,21",,
30/03/2014 12.00,,,"0,21","91,63","30,96","16,21",,
30/03/2014 13.00,,,"0,28","103,18","30,96","16,21",,
30/03/2014 14.00,,,"0,23","105,11","30,96","16,21",,
30/03/2014 15.00,,,"0,23","102,86","30,96","16,21",,
30/03/2014 16.00,,,"0,23","99,48","30,96","16,21",,
30/03/2014 17.00,,,"0,24","100,21","30,96","16,21",,
30/03/2014 18.00,,,"0,26","102,19","30,96","16,21",,
30/03/2014 19.00,,,"0,28","81,59","30,96","16,21",,
30/03/2014 20.00,,,"0,33","56,42","30,96","16,21",,
30/03/2014 21.00,,,"0,39","29,94","30,96","16,21",,
30/03/2014 22.00,,,"0,36","14,76","30,96","16,21",,
30/03/2014 23.00,,,"0,34","13,89","30,96","16,21",,
31/03/2014 0.00,,,"0,52","34,54","30,96","16,21",,
31/03/2014 1.00,,,"0,50","65,59","30,09","15,82",,
31/03/2014 2.00,,,"0,48","69,86","30,09","15,82",,
31/03/2014 3.00,,,,"53,10","30,09","15,82",,
31/03/2014 4.00,,,"0,54","24,87","30,09","15,82",,
31/03/2014 5.00,,,"0,55",,"30,09","15,82",,
31/03/2014 6.00,,,"0,58","17,70","30,09","15,82",,
31/03/2014 7.00,,,"0,66","28,84","30,09","15,82",,
31/03/2014 8.00,,,"0,66","31,53","30,09","15,82",,
31/03/2014 9.00,,,"0,62","40,04","30,09","15,82",,
31/03/2014 10.00,,,"0,55","67,33","30,09","15,82",,
31/03/2014 11.00,,,"0,48","81,94","30,09","15,82",,
31/03/2014 12.00,,,"0,48","85,87","30,09","15,82",,
31/03/2014 13.00,,,"0,52","90,65","30,09","15,82",,
31/03/2014 14.00,,,"0,42","94,73","30,09","15,82",,
31/03/2014 15.00,,,"0,46","81,87","30,09","15,82",,
31/03/2014 16.00,,,"0,46","93,73","30,09","15,82",,
31/03/2014 17.00,,,"0,49","97,77","30,09","15,82",,
31/03/2014 18.00,,,"0,55","91,29","30,09","15,82",,
31/03/2014 19.00,,,"0,77","77,50","30,09","15,82",,
31/03/2014 20.00,,,"0,64","78,66","30,09","15,82",,
31/03/2014 21.00,,,"0,60","63,86","30,09","15,82",,
31/03/2014 22.00,,,"0,59","32,63","30,09","15,82",,
31/03/2014 23.00,,,"0,59","24,80","30,09","15,82",,
01/04/2014 0.00,,,"0,54","35,93","30,09","15,82",,
01/04/2014 1.00,,,"0,61","34,95","38,14","18,75",,
01/04/2014 2.00,,,"0,53","20,49","38,14","18,75",,
01/04/2014 3.00,,,"0,53","19,75","38,14","18,75",,
01/04/2014 4.00,,,"0,54","13,66","38,14","18,75",,
01/04/2014 5.00,,,"0,55","14,58","38,14","18,75",,
01/04/2014 6.00,,,"0,63","11,08","38,14","18,75",,
01/04/2014 7.00,,,"0,62","9,60","38,14","18,75",,
01/04/2014 8.00,,,"0,74","17,29","38,14","18,75",,
