Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
05/01/2014 1.00,,,"0,29","67,48","17,63","8,01",,
05/01/2014 2.00,,,"0,28","73,22","17,63","8,01",,
05/01/2014 3.00,,,"0,24","71,41","17,63","8,01",,
05/01/2014 4.00,,,"0,24","72,69","17,63","8,01",,
05/01/2014 5.00,,,"0,24","73,85","17,63","8,01",,
05/01/2014 6.00,,,"0,22","73,15","17,63","8,01",,
05/01/2014 7.00,,,"0,24","76,43","17,63","8,01",,
05/01/2014 8.00,,,"0,24","79,32","17,63","8,01",,
05/01/2014 9.00,,,"0,26","76,61","17,63","8,01",,
05/01/2014 10.00,,,"0,22","77,17","17,63","8,01",,
05/01/2014 11.00,,,"0,25","77,67","17,63","8,01",,
05/01/2014 12.00,,,"0,28","78,81","17,63","8,01",,
05/01/2014 13.00,,,"0,29","81,95","17,63","8,01",,
05/01/2014 14.00,,,"0,30","82,86","17,63","8,01",,
05/01/2014 15.00,,,"0,24","84,20","17,63","8,01",,
05/01/2014 16.00,,,"0,26","84,65","17,63","8,01",,
05/01/2014 17.00,,,"0,28","82,18","17,63","8,01",,
05/01/2014 18.00,,,"0,28","82,23","17,63","8,01",,
05/01/2014 19.00,,,"0,40","76,84","17,63","8,01",,
05/01/2014 20.00,,,"0,45","72,52","17,63","8,01",,
05/01/2014 21.00,,,"0,53","66,81","17,63","8,01",,
05/01/2014 22.00,,,"0,32","60,84","17,63","8,01",,
05/01/2014 23.00,,,"0,44","56,47","17,63","8,01",,
06/01/2014 0.00,,,"0,65","56,38","17,63","8,01",,
06/01/2014 1.00,,,"0,62","63,88","23,69","15,43",,
06/01/2014 2.00,,,"0,62","54,25","23,69","15,43",,
06/01/2014 3.00,,,,"44,30","23,69","15,43",,
06/01/2014 4.00,,,"0,70","49,22","23,69","15,43",,
06/01/2014 5.00,,,"0,67",,"23,69","15,43",,
06/01/2014 6.00,,,"0,62","31,44","23,69","15,43",,
06/01/2014 7.00,,,"0,66","34,42","23,69","15,43",,
06/01/2014 8.00,,,"0,59","29,44","23,69","15,43",,
06/01/2014 9.00,,,"0,77","24,83","23,69","15,43",,
06/01/2014 10.00,,,"0,61","44,96","23,69","15,43",,
06/01/2014 11.00,,,"0,54","73,82","23,69","15,43",,
06/01/2014 12.00,,,"0,45","81,47","23,69","15,43",,
06/01/2014 13.00,,,"0,48","80,34","23,69","15,43",,
06/01/2014 14.00,,,"0,47","82,47","23,69","15,43",,
06/01/2014 15.00,,,"0,44","87,17","23,69","15,43",,
06/01/2014 16.00,,,"0,45","82,46","23,69","15,43",,
06/01/2014 17.00,,,"0,54","67,18","23,69","15,43",,
06/01/2014 18.00,,,"1,07","43,31","23,69","15,43",,
06/01/2014 19.00,,,"0,88","36,75","23,69","15,43",,
06/01/2014 20.00,,,"0,94","37,04","23,69","15,43",,
06/01/2014 21.00,,,"0,89","34,87","23,69","15,43",,
06/01/2014 22.00,,,"0,71","40,53","23,69","15,43",,
06/01/2014 23.00,,,"0,73","46,50","23,69","15,43",,
07/01/2014 0.00,,,"0,57","49,94","23,69","15,43",,
07/01/2014 1.00,,,"0,56","51,19","42,15","25,10",,
07/01/2014 2.00,,,"0,50","55,60","42,15","25,10",,
07/01/2014 3.00,,,"0,49","57,92","42,15","25,10",,
07/01/2014 4.00,,,"0,48","57,54","42,15","25,10",,
07/01/2014 5.00,,,"0,49","54,33","42,15","25,10",,
