Stat,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO2,CO,BENZENE,PM10  orario,IPA TOT ,PM10,PM2.5
Unit,ug/m3 293K,,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3
04/01/2014 5.00,"3,8","30,2","21,9","0,4","2,3",,"7,8","21,1","15,6"
04/01/2014 6.00,"3,8","44,0","28,8","0,4","0,9",,"9,2","21,1","15,6"
04/01/2014 7.00,"4,4","101,1","37,4","0,6","1,4",,"19,6","21,1","15,6"
04/01/2014 8.00,"4,1","61,0","32,9","0,4","1,7",,"13,5","21,1","15,6"
04/01/2014 9.00,"6,2","159,8","52,3","0,9","3,0",,"44,2","21,1","15,6"
04/01/2014 10.00,"6,1","209,3","66,6","1,3","2,9",,"57,3","21,1","15,6"
04/01/2014 11.00,"4,7","121,2","59,9","0,8","4,9",,"18,3","21,1","15,6"
04/01/2014 12.00,"3,9","55,0","37,8","0,4","2,1",,"8,5","21,1","15,6"
04/01/2014 13.00,"3,6","51,0","36,5","0,4","1,2",,"6,4","21,1","15,6"
04/01/2014 14.00,"3,4","54,1","37,7","0,3","1,1",,"4,8","21,1","15,6"
04/01/2014 15.00,"3,7","23,7","17,3","0,3","2,1",,"3,0","21,1","15,6"
04/01/2014 16.00,"3,6","28,4","22,6","0,3","1,8",,"3,8","21,1","15,6"
04/01/2014 17.00,"3,3","15,8","11,8","0,2","1,9",,"2,7","21,1","15,6"
04/01/2014 18.00,"3,1","27,4","22,3","0,4","1,6",,"5,9","21,1","15,6"
04/01/2014 19.00,"3,2","57,0","49,7","0,4","2,7",,"12,2","21,1","15,6"
04/01/2014 20.00,"3,3","45,0","38,8","0,4","0,9",,"8,4","21,1","15,6"
04/01/2014 21.00,"3,3","46,5","39,8","0,4","1,1",,"9,4","21,1","15,6"
04/01/2014 22.00,"3,4","47,5","39,4","0,4","1,3",,"9,1","21,1","15,6"
04/01/2014 23.00,"3,2","23,4","18,7","0,3","2,1",,"4,3","21,1","15,6"
05/01/2014 0.00,"3,2","18,7","14,2","0,3","0,9",,"3,2","21,1","15,6"
05/01/2014 1.00,"3,2","17,0","12,6","0,2","0,8",,"2,4","18,6","8,9"
05/01/2014 2.00,"3,4","15,3","10,6","0,2","0,7",,"1,9","18,6","8,9"
05/01/2014 3.00,"3,3","14,9","10,5","0,2","0,6",,"2,1","18,6","8,9"
05/01/2014 4.00,"3,1","9,6","5,8","0,2","0,6",,"1,4","18,6","8,9"
05/01/2014 5.00,"3,0","8,7","4,8","0,2","1,7",,"1,2","18,6","8,9"
05/01/2014 6.00,"3,1","8,9","5,0","0,2","1,7",,"1,3","18,6","8,9"
05/01/2014 7.00,"2,9","11,7","7,7","0,2","0,6",,"1,7","18,6","8,9"
05/01/2014 8.00,"3,1","12,4","8,3","0,2","1,7",,"2,0","18,6","8,9"
05/01/2014 9.00,"3,1","16,3","11,6","0,2","0,7",,"2,0","18,6","8,9"
05/01/2014 10.00,"2,9","15,7","10,2","0,2","0,6",,"2,1","18,6","8,9"
05/01/2014 11.00,"2,9","15,4","10,2","0,2","1,6",,"2,5","18,6","8,9"
05/01/2014 12.00,"3,3","13,1","8,5","0,2","0,6",,"2,5","18,6","8,9"
05/01/2014 13.00,"3,0","17,5","12,5","0,2","0,6",,"2,8","18,6","8,9"
05/01/2014 14.00,"2,8","12,2","7,8","0,2","2,1",,"2,4","18,6","8,9"
05/01/2014 15.00,"2,9","10,7","6,3","0,2","0,6",,"2,1","18,6","8,9"
05/01/2014 16.00,"2,8","17,0","12,4","0,2","0,5",,"2,0","18,6","8,9"
05/01/2014 17.00,"2,9","13,3","9,4","0,2","0,5",,"2,2","18,6","8,9"
05/01/2014 18.00,"2,7","20,7","15,4","0,2","0,4",,"5,0","18,6","8,9"
05/01/2014 19.00,"2,9","16,4","10,8","0,2","1,0",,"3,8","18,6","8,9"
05/01/2014 20.00,"3,1","21,6","17,1","0,2","0,9",,"6,7","18,6","8,9"
05/01/2014 21.00,"2,8","33,7","28,6","0,3","2,1",,"6,8","18,6","8,9"
