Stat,TA V. Machiavelli,,,,,,,,
Parm,SO2,NOX,NO2,CO,BENZENE,PM10  orario,IPA TOT ,PM10,PM2.5
Unit,ug/m3 293K,,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3
17/02/2014 18.00,"2,6","15,8","11,6","0,2","4,3",,"5,1","30,4","15,4"
17/02/2014 19.00,"2,7","16,1","11,9","0,2","3,9",,"5,1","30,4","15,4"
17/02/2014 20.00,"3,0","18,9","14,6","0,2","3,7",,"5,9","30,4","15,4"
17/02/2014 21.00,"2,5","16,8","12,7","0,2","3,8",,"4,8","30,4","15,4"
17/02/2014 22.00,"2,6","16,3","12,2","0,2","3,7",,"4,1","30,4","15,4"
17/02/2014 23.00,"2,9","13,1","8,7","0,2","3,7",,"3,3","30,4","15,4"
18/02/2014 0.00,"2,6","10,5","6,6","0,2","3,7",,"3,3","30,4","15,4"
18/02/2014 1.00,"2,5","8,0","4,5","0,2","4,5",,"2,2","26,0","12,7"
18/02/2014 2.00,"2,7","7,1","3,4","0,2","3,3",,"1,9","26,0","12,7"
18/02/2014 3.00,"2,7","6,0","2,4","0,1","3,1",,"1,7","26,0","12,7"
18/02/2014 4.00,"2,4","6,4","3,0","0,2","2,9",,"1,7","26,0","12,7"
18/02/2014 5.00,"2,8","9,1","5,1","0,2","4,0",,"2,2","26,0","12,7"
18/02/2014 6.00,"2,3","9,2","5,4","0,2","4,8",,"3,0","26,0","12,7"
18/02/2014 7.00,"2,5","13,4","9,4","0,2","4,5",,"3,6","26,0","12,7"
18/02/2014 8.00,"2,7","19,0","14,8","0,2","4,4",,"5,2","26,0","12,7"
18/02/2014 9.00,"2,8","29,3","22,9","0,3","5,0",,"10,9","26,0","12,7"
18/02/2014 10.00,"2,9","31,9","25,5","0,3","4,2",,"12,1","26,0","12,7"
18/02/2014 11.00,"2,7","19,0","13,9","0,2","4,9",,"6,7","26,0","12,7"
18/02/2014 12.00,"2,8","16,7","11,6","0,2","3,9",,"5,5","26,0","12,7"
18/02/2014 13.00,"2,5","20,8","15,2","0,2","1,8",,"7,3","26,0","12,7"
18/02/2014 14.00,"2,5","21,4","15,8","0,2","4,7",,"7,3","26,0","12,7"
18/02/2014 15.00,"2,5","20,0","15,2","0,2",,,"6,4","26,0","12,7"
18/02/2014 16.00,"2,7","12,5","8,2","0,2",,,"5,0","26,0","12,7"
18/02/2014 17.00,"2,8","12,4","8,4","0,2",,,"5,3","26,0","12,7"
18/02/2014 18.00,"2,6","15,4","11,2","0,2",,,"5,9","26,0","12,7"
18/02/2014 19.00,"2,6","17,2","12,9","0,2",,,"6,0","26,0","12,7"
18/02/2014 20.00,"2,7","19,5","15,2","0,3",,,"5,6","26,0","12,7"
18/02/2014 21.00,"2,8","17,1","13,0","0,3",,,"5,1","26,0","12,7"
18/02/2014 22.00,"2,8","14,2","10,3","0,2",,,"4,7","26,0","12,7"
18/02/2014 23.00,"2,7","11,8","7,8","0,2",,,"3,4","26,0","12,7"
19/02/2014 0.00,"2,6","9,8","6,1","0,4",,,"4,7","26,0","12,7"
19/02/2014 1.00,,"7,1","3,5","0,2",,,"2,1","33,9","10,0"
19/02/2014 2.00,"2,5",,,"0,2",,,"1,8","33,9","10,0"
19/02/2014 3.00,"2,5","7,8","4,2",,,,"1,8","33,9","10,0"
19/02/2014 4.00,"2,7","6,1","3,0","0,2",,,"1,7","33,9","10,0"
19/02/2014 5.00,"2,8","6,4","2,8","0,2",,,"1,6","33,9","10,0"
19/02/2014 6.00,"2,3","7,3","3,5","0,2",,,"3,0","33,9","10,0"
19/02/2014 7.00,"2,7","12,1","8,0","0,2",,,"4,0","33,9","10,0"
19/02/2014 8.00,"2,3","15,1","10,7","0,2",,,"4,5","33,9","10,0"
19/02/2014 9.00,"2,5","18,0","13,3","0,2",,,"6,2","33,9","10,0"
19/02/2014 10.00,"2,6","15,4","11,1","0,2",,,"5,8","33,9","10,0"
19/02/2014 11.00,"2,5","15,2","11,0","0,2",,,"5,6","33,9","10,0"
19/02/2014 12.00,"2,8","15,0","10,6","0,2",,,"5,1","33,9","10,0"
19/02/2014 13.00,"2,7","12,7","8,5","0,2",,,"4,7","33,9","10,0"
19/02/2014 14.00,"2,5","12,0","7,7","0,2",,,"4,5","33,9","10,0"
19/02/2014 15.00,"2,3","10,6","6,5","0,2",,,"3,9","33,9","10,0"
19/02/2014 16.00,"2,3","9,1","5,3","0,2",,,"3,3","33,9","10,0"
19/02/2014 17.00,"2,5","9,5","5,7","0,2",,,"3,4","33,9","10,0"
19/02/2014 18.00,"2,2","12,6","8,9","0,2",,,"3,4","33,9","10,0"
19/02/2014 19.00,"2,3","10,9","6,9","0,2",,,"4,0","33,9","10,0"
19/02/2014 20.00,"2,2","15,4","11,3","0,2",,,"4,5","33,9","10,0"
19/02/2014 21.00,"2,6","13,1","8,9","0,2",,,"4,2","33,9","10,0"
19/02/2014 22.00,"2,2","12,2","8,3","0,2",,,"3,6","33,9","10,0"
19/02/2014 23.00,"2,3","9,5","5,7","0,2",,,"3,2","33,9","10,0"
20/02/2014 0.00,"2,4","7,8","4,0","0,2",,,"2,8","33,9","10,0"
20/02/2014 1.00,"2,1","6,0","2,5","0,2",,,"2,0","38,0","12,7"
20/02/2014 2.00,"2,3","5,6","2,0","0,2",,,"1,7","38,0","12,7"
20/02/2014 3.00,"2,1","5,7","2,1","0,2",,,"1,6","38,0","12,7"
20/02/2014 4.00,"2,1","5,3","2,2","0,2",,,"1,7","38,0","12,7"
20/02/2014 5.00,"2,4","5,9","2,6","0,2",,,"1,8","38,0","12,7"
20/02/2014 6.00,"2,3","7,1","3,5","0,2",,,"2,4","38,0","12,7"
20/02/2014 7.00,"2,1","11,0","7,1","0,2",,,"3,7","38,0","12,7"
20/02/2014 8.00,"2,1","14,2","9,9","0,2",,,"4,6","38,0","12,7"
20/02/2014 9.00,"2,2","14,9","10,6","0,2",,,"4,8","38,0","12,7"
20/02/2014 10.00,"1,8","13,0","9,4","0,3",,,"5,3","38,0","12,7"
20/02/2014 11.00,"1,9","13,1","8,8","0,2",,,"4,7","38,0","12,7"
20/02/2014 12.00,"2,0","12,3","7,9","0,3","1,3",,"5,3","38,0","12,7"
20/02/2014 13.00,"2,0","12,3","8,1","0,2","0,4",,"5,1","38,0","12,7"
20/02/2014 14.00,"1,9","13,8","9,3","0,3","0,4",,"5,2","38,0","12,7"
20/02/2014 15.00,"2,2","11,3","7,3","0,2","0,4",,"4,5","38,0","12,7"
20/02/2014 16.00,"2,2","11,2","7,0","0,2","0,4",,"4,4","38,0","12,7"
20/02/2014 17.00,"2,0","11,3","7,4","0,2","1,7",,"6,2","38,0","12,7"
20/02/2014 18.00,"1,9","13,8","9,8","0,2","0,4",,"5,4","38,0","12,7"
20/02/2014 19.00,"2,0","16,0","12,0","0,3","0,4",,"6,2","38,0","12,7"
20/02/2014 20.00,"2,1","17,5","13,0","0,3","0,5",,"6,3","38,0","12,7"
20/02/2014 21.00,"2,2","14,9","10,9","0,3","0,5",,"5,6","38,0","12,7"
20/02/2014 22.00,"1,9","15,6","11,7","0,2","0,5",,"4,3","38,0","12,7"
20/02/2014 23.00,"1,9","10,9","7,0","0,2","0,4",,"3,3","38,0","12,7"
21/02/2014 0.00,"2,0","9,8","5,9","0,2","0,4",,"3,1","38,0","12,7"
21/02/2014 1.00,,"7,9","4,4","0,2","0,4",,"2,4","28,9","13,5"
21/02/2014 2.00,"1,9",,,"0,2","0,3",,"1,9","28,9","13,5"
21/02/2014 3.00,"2,1","10,2","6,6",,"0,3",,"2,0","28,9","13,5"
21/02/2014 4.00,"2,0","8,6","5,0","0,2","0,4",,"2,1","28,9","13,5"
21/02/2014 5.00,"2,0","9,5","6,0","0,2","0,4",,"2,0","28,9","13,5"
21/02/2014 6.00,"1,8","8,9","5,4","0,2","0,3",,"2,2","28,9","13,5"
21/02/2014 7.00,"2,0","13,6","9,9","0,2","0,3",,"4,0","28,9","13,5"
21/02/2014 8.00,"1,9","28,7","23,9","0,3","0,5",,"12,1","28,9","13,5"
21/02/2014 9.00,"2,2","45,2","36,6","0,4","0,6",,"22,1","28,9","13,5"
21/02/2014 10.00,"2,0","30,7","24,7","0,2","0,9",,"12,0","28,9","13,5"
21/02/2014 11.00,"1,9","23,3","17,8","0,2","0,6",,"7,8","28,9","13,5"
21/02/2014 12.00,"1,9","24,2","17,9","0,2","0,5",,"7,4","28,9","13,5"
21/02/2014 13.00,"2,0","23,0","16,1","0,1","2,0",,"7,4","28,9","13,5"
21/02/2014 14.00,"2,2","18,4","12,4","0,1","0,4",,"4,1","28,9","13,5"
21/02/2014 15.00,"2,2",,,"0,2","0,4",,"8,7","28,9","13,5"
21/02/2014 16.00,"1,9","35,7","27,1","0,2","2,5",,"9,7","28,9","13,5"
21/02/2014 17.00,"1,9","39,3","30,2","0,2","0,7",,"13,3","28,9","13,5"
21/02/2014 18.00,"1,9","26,5","22,9","0,2","0,9",,"6,6","28,9","13,5"
21/02/2014 19.00,"1,9","32,3","27,8","0,2","0,8",,,"28,9","13,5"
21/02/2014 20.00,"2,0","30,1","25,0","0,4","0,9",,,"28,9","13,5"
21/02/2014 21.00,"2,1","36,4","29,1","0,3","1,2",,,"28,9","13,5"
21/02/2014 22.00,"2,0","40,2","31,5","0,2","1,0",,,"28,9","13,5"
21/02/2014 23.00,"2,1","34,1","28,2","0,3","0,9",,,"28,9","13,5"
22/02/2014 0.00,"2,1","30,8","25,1","0,2","1,0",,,"28,9","13,5"
22/02/2014 1.00,"2,1","29,8","24,6","0,2","0,7",,,"29,6","13,2"
22/02/2014 2.00,"2,0","28,3","23,3","0,2","0,8",,,"29,6","13,2"
22/02/2014 3.00,"2,1","28,6","23,9","0,2","0,7",,,"29,6","13,2"
22/02/2014 4.00,"2,5","23,8","19,1","0,2","1,0",,,"29,6","13,2"
22/02/2014 5.00,"1,9","30,1","24,9","0,2","2,9",,,"29,6","13,2"
22/02/2014 6.00,"2,4","31,6","23,3","0,3","2,6",,,"29,6","13,2"
22/02/2014 7.00,"2,6","50,1","29,9","0,3","1,1",,,"29,6","13,2"
22/02/2014 8.00,"2,6","60,9","30,5","0,2","1,0",,,"29,6","13,2"
22/02/2014 9.00,"2,5","57,9","29,5","0,3","0,9",,,"29,6","13,2"
22/02/2014 10.00,"2,3","45,8","29,5","0,3","1,0",,,"29,6","13,2"
22/02/2014 11.00,"2,4","41,6","28,2","0,2","2,6",,,"29,6","13,2"
22/02/2014 12.00,"2,2","19,6","13,2","0,2","0,8",,,"29,6","13,2"
22/02/2014 13.00,"2,4","18,8","13,0","0,1","0,6",,,"29,6","13,2"
22/02/2014 14.00,"2,1","19,1","13,5","0,1","0,5",,,"29,6","13,2"
22/02/2014 15.00,"2,6","18,6","13,8","0,1","1,9",,,"29,6","13,2"
22/02/2014 16.00,"2,2","24,9","20,0","0,1","3,5",,,"29,6","13,2"
22/02/2014 17.00,"2,5","19,6","15,6","0,2","0,5",,,"29,6","13,2"
22/02/2014 18.00,"2,5","18,0","14,9","0,2","0,6",,,"29,6","13,2"
22/02/2014 19.00,"2,4","41,4","35,1","0,3","0,7",,,"29,6","13,2"
22/02/2014 20.00,"2,5","87,9","62,0","0,5","1,2",,,"29,6","13,2"
22/02/2014 21.00,"2,5","51,6","40,9","0,4","1,6",,,"29,6","13,2"
22/02/2014 22.00,"2,6","51,6","40,0","0,4","1,4",,,"29,6","13,2"
22/02/2014 23.00,"2,3","37,5","32,4","0,3","1,4",,,"29,6","13,2"
23/02/2014 0.00,"2,5","29,4","23,4","0,2","2,3",,,"29,6","13,2"
23/02/2014 1.00,,"25,5","20,8","0,1","1,1",,,"19,5","8,6"
23/02/2014 2.00,"2,7",,,"0,4","2,6",,,"19,5","8,6"
23/02/2014 3.00,"2,5","27,5","22,9",,"1,5",,,"19,5","8,6"
23/02/2014 4.00,"2,5","18,5","14,6","0,2","0,7",,,"19,5","8,6"
23/02/2014 5.00,"2,6","15,6","12,4","0,3","0,6",,,"19,5","8,6"
23/02/2014 6.00,"2,7","18,5","13,9","0,2","0,6",,,"19,5","8,6"
23/02/2014 7.00,"2,7","23,5","17,9","0,2","0,6",,,"19,5","8,6"
23/02/2014 8.00,"2,3","23,3","18,4","0,3","0,6",,,"19,5","8,6"
23/02/2014 9.00,"2,5","20,9","15,2","0,2","0,6",,,"19,5","8,6"
23/02/2014 10.00,"2,6","15,9","10,9","0,3","0,6",,,"19,5","8,6"
23/02/2014 11.00,"3,0","18,0","12,5","0,3","0,7",,,"19,5","8,6"
23/02/2014 12.00,"2,4","19,1","14,3","0,3","0,7",,,"19,5","8,6"
23/02/2014 13.00,"2,7","19,6","15,1","0,3","0,8",,,"19,5","8,6"
23/02/2014 14.00,"2,8","20,4","16,7","0,3","0,8",,,"19,5","8,6"
23/02/2014 15.00,"2,5","13,1","9,6","0,2","0,7",,,"19,5","8,6"
23/02/2014 16.00,"3,0","12,5","9,2","0,2","0,7",,,"19,5","8,6"
23/02/2014 17.00,"2,6","11,5","8,0","0,2","0,7",,,"19,5","8,6"
23/02/2014 18.00,"3,0","18,5","14,1","0,3","0,6",,,"19,5","8,6"
23/02/2014 19.00,"2,9","49,3","41,0","0,6","0,7",,,"19,5","8,6"
23/02/2014 20.00,"3,1","41,8","33,0","0,7","1,5",,,"19,5","8,6"
23/02/2014 21.00,"2,9","34,7","25,4","0,6","1,4",,,"19,5","8,6"
23/02/2014 22.00,"3,1","23,7","16,1","0,3","1,7",,,"19,5","8,6"
23/02/2014 23.00,"2,8","17,9","11,6","0,2","0,9",,,"19,5","8,6"
24/02/2014 0.00,"2,9","24,1","18,9","0,2","0,7",,,"19,5","8,6"
24/02/2014 1.00,"3,0","27,9","23,9","0,6","0,7",,,"21,1","11,6"
24/02/2014 2.00,"2,9","23,3","19,4","0,7","1,3",,,"21,1","11,6"
24/02/2014 3.00,"2,8","33,0","28,3","0,8","3,3",,,"21,1","11,6"
24/02/2014 4.00,"3,1","18,8","14,6","0,7","3,7",,,"21,1","11,6"
24/02/2014 5.00,"2,6","20,3","15,8","0,3","0,9",,,"21,1","11,6"
24/02/2014 6.00,"3,3","22,7","16,4","0,5","0,8",,,"21,1","11,6"
24/02/2014 7.00,"2,9","47,4","30,1","0,3","1,0",,,"21,1","11,6"
24/02/2014 8.00,"3,4","51,7","32,3","0,3","0,8",,,"21,1","11,6"
24/02/2014 9.00,"3,4","56,7","31,6","0,4","0,9",,,"21,1","11,6"
24/02/2014 10.00,"3,1","45,1","25,5","0,3","1,1",,,"21,1","11,6"
24/02/2014 11.00,"2,9","39,3","23,6","0,3","1,0",,,"21,1","11,6"
24/02/2014 12.00,"3,6","44,4","29,6","0,5","0,9",,,"21,1","11,6"
24/02/2014 13.00,"4,7","43,7","29,3","0,6","1,2",,,"21,1","11,6"
24/02/2014 14.00,"7,3","40,8","27,8","0,6","1,2",,,"21,1","11,6"
24/02/2014 15.00,"6,3","32,5","23,4","0,5",,,,"21,1","11,6"
24/02/2014 16.00,"5,0","18,8","14,0","0,3","0,9",,,"21,1","11,6"
24/02/2014 17.00,"3,8","18,8","14,5","0,3","0,8",,,"21,1","11,6"
24/02/2014 18.00,"3,7","21,2","16,8","0,3","0,8",,,"21,1","11,6"
24/02/2014 19.00,"3,3","32,3","26,7","0,3","0,8",,,"21,1","11,6"
24/02/2014 20.00,"3,0","57,9","45,4","0,9","1,1",,,"21,1","11,6"
24/02/2014 21.00,"3,4","43,9","34,6","0,5","1,6",,,"21,1","11,6"
24/02/2014 22.00,"3,4","32,4","24,6","0,4","1,6",,,"21,1","11,6"
24/02/2014 23.00,"3,0","28,3","20,4","0,3","3,3",,,"21,1","11,6"
25/02/2014 0.00,"3,5","28,3","21,9","0,3","1,3",,,"21,1","11,6"
25/02/2014 1.00,,"20,4","16,3","0,3","1,1",,,,
25/02/2014 2.00,"3,2",,,"0,3","1,0",,,,
25/02/2014 3.00,"3,1","22,3","18,5",,"4,6",,,,
25/02/2014 4.00,"3,1","22,6","17,9","0,3","2,8",,,,
25/02/2014 5.00,"3,3","20,3","15,2","0,3","4,7",,,,
25/02/2014 6.00,"3,2","24,8","16,5","0,3","1,1",,,,
25/02/2014 7.00,"3,4","51,6","32,5","0,4","3,3",,,,
25/02/2014 8.00,"3,3","80,4","45,6","0,4","1,2",,,,
25/02/2014 9.00,"3,6","64,4","37,4","0,4","1,3",,,,
25/02/2014 10.00,"3,3","62,8","34,2","0,4","1,2",,,,
25/02/2014 11.00,"3,4","47,1","28,2","0,5","1,4",,,,
25/02/2014 12.00,"3,7","46,6","30,6","0,6","1,5",,,,
25/02/2014 13.00,"4,0","38,9","26,7","0,5","1,4",,,,
25/02/2014 14.00,"4,0","32,9","25,8","0,4","1,7",,,,
25/02/2014 15.00,"3,9","26,4","21,2","0,3","1,4",,,,
25/02/2014 16.00,"5,3","26,5","20,0","0,3","1,2",,,,
25/02/2014 17.00,"4,7","25,7","20,9","0,3","2,6",,,,
25/02/2014 18.00,"3,6","34,6","29,9","0,4","1,1",,,,
25/02/2014 19.00,"3,3","38,2","33,1","0,4","1,4",,,,
25/02/2014 20.00,"3,4","43,8","38,2","0,5","1,5",,,,
25/02/2014 21.00,"3,1","51,1","44,4","0,5","1,6",,,,
25/02/2014 22.00,"3,0","46,0","39,3","0,5","1,6",,,,
25/02/2014 23.00,"3,0","41,2","36,0","0,5","1,7",,,,
26/02/2014 0.00,"2,9","34,9","28,0","0,5","1,5",,,,
26/02/2014 1.00,"3,4","41,4","29,6",,,,,,
26/02/2014 2.00,"3,2","74,2","28,6",,,,,,
26/02/2014 3.00,"2,9","19,2","14,3","0,3",,,,,
26/02/2014 4.00,"2,6","17,3","13,4","0,3",,,,,
26/02/2014 5.00,"2,8","20,1","16,2","0,2",,,,,
26/02/2014 6.00,"3,1","18,6","14,3","0,3",,,,,
26/02/2014 7.00,"2,9","33,4","26,7","0,3",,,,,
26/02/2014 8.00,"3,1","63,9","43,3","0,3",,,,,
26/02/2014 9.00,"3,7","136,4","54,7","0,5",,,,,
26/02/2014 10.00,"3,2","61,7","41,5","0,4",,,,,
26/02/2014 11.00,"2,8","36,4","28,2","0,4",,,,,
26/02/2014 12.00,"2,7","24,9","18,4","0,3",,,,,
26/02/2014 13.00,"3,0","23,6","16,8","0,3",,,,,
26/02/2014 14.00,"3,1","20,0","14,6","0,3",,,,,
26/02/2014 15.00,"2,6","17,1","12,7","0,2",,,,,
26/02/2014 16.00,"3,0","20,7","15,8","0,3","1,9",,,,
26/02/2014 17.00,"2,8","23,0","18,8","0,3","2,4",,,,
26/02/2014 18.00,"2,7","20,5","17,1","0,3","2,8",,,,
26/02/2014 19.00,"2,7","29,9","26,3","0,3","1,0",,,,
26/02/2014 20.00,"3,0","59,6","54,5","0,4","1,1",,,,
26/02/2014 21.00,"2,6","56,6","51,0","0,4","1,2",,,,
26/02/2014 22.00,"2,7","47,6","42,3","0,4","1,2",,,,
26/02/2014 23.00,"2,7","51,4","43,0","0,5","1,4",,,,
27/02/2014 0.00,"2,8","46,4","37,7","0,4","1,6",,,,
27/02/2014 1.00,,"29,1","23,3","0,4","1,5",,,,
27/02/2014 2.00,"2,9",,,"0,3","1,5",,,,
27/02/2014 3.00,"3,1","71,8","44,8",,"1,2",,,,
27/02/2014 4.00,"2,6","30,8","22,8","0,3","3,5",,,,
27/02/2014 5.00,"3,1","16,7","12,9","0,3","1,0",,,,
27/02/2014 6.00,"2,9","19,1","14,8","0,3","2,7",,,,
27/02/2014 7.00,"3,0","47,0","26,9","0,4","0,9",,,,
27/02/2014 8.00,"4,5","197,2","59,0","0,9","1,2",,,,
27/02/2014 9.00,"4,7","248,3","67,6","1,0","2,1",,,,
27/02/2014 10.00,"3,6","123,5","63,0","0,7","2,9",,,,
27/02/2014 11.00,"3,1","70,6","50,3","0,3","2,0",,,,
27/02/2014 12.00,"2,8","54,6","40,4","0,4","1,1",,,,
27/02/2014 13.00,"3,0","38,8","29,7","0,4","0,9",,,,
27/02/2014 14.00,"3,4","22,7","17,1","0,3","4,6",,,,
27/02/2014 15.00,"3,1","26,6","20,9","0,3","0,8",,,,
27/02/2014 16.00,"3,2","31,5","25,6","0,3","0,7",,,,
27/02/2014 17.00,"3,0","30,9","25,7","0,3","2,4",,,,
27/02/2014 18.00,"3,0","36,8","31,4","0,4","2,6",,,,
27/02/2014 19.00,"2,9","28,0","24,3","0,3","2,9",,,,
27/02/2014 20.00,"2,7","33,1","29,3","0,3","1,0",,,,
27/02/2014 21.00,"2,5","38,5","34,4","0,4","3,8",,,,
27/02/2014 22.00,"2,8","56,1","50,8","0,5","1,0",,,,
27/02/2014 23.00,"2,5","50,7","45,1","0,5","1,3",,,,
28/02/2014 0.00,"2,4","33,9","29,8","0,3","1,4",,,,
28/02/2014 1.00,"2,5","20,0","16,2","0,3","3,8",,,"20,4","11,9"
28/02/2014 2.00,"2,4","22,5","18,3","0,3","3,8",,,"20,4","11,9"
28/02/2014 3.00,"2,9","29,2","24,9","0,4","2,7",,,"20,4","11,9"
28/02/2014 4.00,"2,4","20,5","16,1","0,4","1,9",,,"20,4","11,9"
28/02/2014 5.00,"2,6","28,0","24,3","0,3","1,1",,,"20,4","11,9"
28/02/2014 6.00,"2,7","38,3","30,4","0,5","3,0",,,"20,4","11,9"
28/02/2014 7.00,"3,1","103,5","48,6","0,7","1,1",,,"20,4","11,9"
28/02/2014 8.00,"3,2","103,5","48,8","0,6","1,6",,,"20,4","11,9"
28/02/2014 9.00,"2,9","50,6","32,5","0,4","1,5",,,"20,4","11,9"
28/02/2014 10.00,"2,7","39,0","28,1","0,4","1,3",,,"20,4","11,9"
28/02/2014 11.00,"2,6","33,7","25,0","0,3","5,8",,,"20,4","11,9"
28/02/2014 12.00,"2,4","33,1","23,1","0,3","5,0",,,"20,4","11,9"
28/02/2014 13.00,"2,8","21,8","15,8","0,3","0,8",,,"20,4","11,9"
28/02/2014 14.00,"2,9","17,5","12,8","0,3","2,2",,,"20,4","11,9"
28/02/2014 15.00,"2,7","20,0","14,8","0,2","0,7",,,"20,4","11,9"
28/02/2014 16.00,"2,8","16,2","11,6","0,3","0,6",,,"20,4","11,9"
28/02/2014 17.00,"2,7","14,6","10,8","0,2","0,5",,,"20,4","11,9"
28/02/2014 18.00,"2,6","14,8","11,0","0,3","0,6",,,"20,4","11,9"
28/02/2014 19.00,,,,,"0,8",,,"20,4","11,9"
28/02/2014 20.00,"2,5","21,6","18,1","0,2","2,7",,,"20,4","11,9"
28/02/2014 21.00,"2,7","17,5","12,3","0,3","0,6",,,"20,4","11,9"
28/02/2014 22.00,"2,7","13,6","9,4","0,2","0,9",,,"20,4","11,9"
28/02/2014 23.00,"2,7","37,6","29,0","0,3","1,0",,,"20,4","11,9"
01/03/2014 0.00,"2,9","31,2","26,8","0,3","1,0",,,"20,4","11,9"
01/03/2014 1.00,,"18,9","15,2","0,2","2,5",,,"13,9","6,2"
01/03/2014 2.00,"2,6",,,"0,2","2,9",,,"13,9","6,2"
01/03/2014 3.00,"2,6","17,1","14,2",,"2,7",,,"13,9","6,2"
01/03/2014 4.00,"2,6","16,7","13,4","0,2","0,5",,,"13,9","6,2"
01/03/2014 5.00,"2,6","12,9","9,5","0,2","2,4",,,"13,9","6,2"
01/03/2014 6.00,"2,7","15,0","11,7","0,2","2,5",,,"13,9","6,2"
01/03/2014 7.00,"2,7","28,0","23,5","0,3","0,5",,,"13,9","6,2"
01/03/2014 8.00,"2,7","34,6","28,4","0,3","0,7",,,"13,9","6,2"
01/03/2014 9.00,"2,9","13,9","10,0","0,2","0,8",,,"13,9","6,2"
01/03/2014 10.00,"2,7","14,5","10,3","0,2","2,5",,,"13,9","6,2"
01/03/2014 11.00,"2,5","12,7","8,9","0,2","0,5",,,"13,9","6,2"
01/03/2014 12.00,"2,6","11,7","7,9","0,2","0,5",,,"13,9","6,2"
01/03/2014 13.00,"2,6","10,5","7,1","0,2","0,5",,,"13,9","6,2"
01/03/2014 14.00,"2,3","9,6","6,1","0,2","0,5",,,"13,9","6,2"
01/03/2014 15.00,"2,1","9,0","5,5","0,2","0,5",,,"13,9","6,2"
01/03/2014 16.00,"2,3","8,0","5,0","0,2","2,0",,,"13,9","6,2"
01/03/2014 17.00,"2,2","8,8","5,8","0,2","2,0",,,"13,9","6,2"
01/03/2014 18.00,"2,6","9,2","6,1","0,2","0,4",,,"13,9","6,2"
01/03/2014 19.00,"2,3","16,1","12,7","0,2","0,4",,,"13,9","6,2"
01/03/2014 20.00,"2,5","13,5","9,9","0,2","0,5",,,"13,9","6,2"
01/03/2014 21.00,"2,3","12,7","9,7","0,2","0,7",,,"13,9","6,2"
01/03/2014 22.00,"2,6","14,6","11,3","0,2","0,5",,,"13,9","6,2"
01/03/2014 23.00,"2,5","15,7","12,2","0,2","0,5",,,"13,9","6,2"
02/03/2014 0.00,"2,5","17,5","13,8","0,2","0,6",,,"13,9","6,2"
02/03/2014 1.00,"2,4","11,4","7,8","0,2","0,8",,,"12,9","5,0"
02/03/2014 2.00,"2,2","16,0","12,7","0,2","0,7",,,"12,9","5,0"
02/03/2014 3.00,"2,5","23,8","18,0","0,2","0,7",,,"12,9","5,0"
02/03/2014 4.00,"2,6","20,8","16,0","0,2","0,7",,,"12,9","5,0"
02/03/2014 5.00,"2,5","14,8","11,1","0,2","0,6",,,"12,9","5,0"
02/03/2014 6.00,"2,6","35,2","23,3","0,2","0,5",,,"12,9","5,0"
02/03/2014 7.00,"2,8","34,5","25,5","0,3","0,6",,,"12,9","5,0"
02/03/2014 8.00,"2,6","45,0","27,9","0,3","0,7",,,"12,9","5,0"
02/03/2014 9.00,"2,9","40,4","29,1","0,3","2,1",,,"12,9","5,0"
02/03/2014 10.00,"2,6","24,7","17,6","0,3","1,0",,,"12,9","5,0"
02/03/2014 11.00,"2,9","24,9","17,2","0,3","1,1",,,"12,9","5,0"
02/03/2014 12.00,"2,3","14,2","8,7","0,2","0,8",,,"12,9","5,0"
02/03/2014 13.00,"2,6","13,7","9,2","0,2","0,7",,,"12,9","5,0"
02/03/2014 14.00,"2,9","12,8","8,1","0,2","0,5",,,"12,9","5,0"
02/03/2014 15.00,"2,6","11,5","7,5","0,2","0,5",,,"12,9","5,0"
02/03/2014 16.00,"2,6","12,9","8,7","0,2","0,5",,,"12,9","5,0"
02/03/2014 17.00,"3,1","12,5","8,8","0,2","0,4",,,"12,9","5,0"
02/03/2014 18.00,"2,4","11,4","8,3","0,2","0,4",,,"12,9","5,0"
02/03/2014 19.00,"2,7","15,3","12,1","0,2","0,5",,,"12,9","5,0"
02/03/2014 20.00,"2,7","37,0","32,7","0,3","0,7",,,"12,9","5,0"
02/03/2014 21.00,"3,1","37,8","32,2","0,4","1,1",,,"12,9","5,0"
02/03/2014 22.00,"3,1","27,4","22,6","0,3","1,3",,,"12,9","5,0"
02/03/2014 23.00,"2,7","32,9","26,9","0,4","1,3",,,"12,9","5,0"
03/03/2014 0.00,"2,7","25,9","20,2","0,3","3,1",,,"12,9","5,0"
03/03/2014 1.00,,"12,3","8,8","0,2","1,3",,,,"11,0"
03/03/2014 2.00,"3,0",,,"0,2","0,9",,,,"11,0"
03/03/2014 3.00,"3,0","16,9","13,5",,"0,7",,,,"11,0"
03/03/2014 4.00,"2,8","9,7","6,6","0,2","0,5",,,,"11,0"
03/03/2014 5.00,"2,6","11,2","7,8","0,2","3,9",,,,"11,0"
03/03/2014 6.00,"2,7","17,3","13,8","0,2","4,0",,,,"11,0"
03/03/2014 7.00,"2,7","36,5","27,0","0,3","0,6",,,,"11,0"
03/03/2014 8.00,"3,0","33,3","26,0","0,3","0,9",,,,"11,0"
03/03/2014 9.00,"3,2",,,"0,5","0,8",,,,"11,0"
