,Regione Puglia,,,,,
,Bari Via Caldarola,,,,,
,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,
,,,
,,,,
,,,,,
,,,,
04/01/2008 2.00,"1,25029898",,"0,46526355","43,88303376","27,9204998","2,52099991"
04/01/2008 3.00,"1,25886297","9,56472888",,"40,53425292","27,9204998","2,39299989"
04/01/2008 4.00,"1,47381103","6,57950099","0,4297412","49,0895343","27,9204998","2,23950005"
04/01/2008 5.00,"1,32137799","6,32030484","0,443854",,"27,9204998","1,90050006"
04/01/2008 6.00,"1,21176195","9,16508033","0,5368476","30,11332536","27,9204998","2,00049996"
04/01/2008 7.00,"1,31367004","13,75655243","0,6560566","21,02434074","27,9204998","2,21300006"
04/01/2008 8.00,"1,444695","17,47595342","0,80055295","16,98074114","27,9204998","2,5769999"
04/01/2008 9.00,"1,42157304","16,92947777","0,8381384","27,5506002","27,9204998","2,97650003"
04/01/2008 10.00,"0,87863499","10,72025351","0,5398629","48,3401484","27,9204998","2,23600006"
04/01/2008 11.00,"1,05675995","8,94035726","0,5138016","49,24145196","27,9204998","2,102"
04/01/2008 12.00,"1,16038001","7,77972195","0,4674014","52,9688007","27,9204998","1,98899996"
04/01/2008 13.00,"1,07388699","7,8512244","0,42235475","52,73124174","27,9204998","1,74199998"
04/01/2008 14.00,"1,14496601","8,10914148","0,4184896","52,8099768","27,9204998","1,949"
04/01/2008 15.00,"0,92916101","8,34280306","0,4087445","50,7901959","27,9204998","1,61950004"
04/01/2008 16.00,"1,06189799","7,56138299","0,42919955","52,28331714","27,9204998","1,67200005"
04/01/2008 17.00,"1,02336097","9,01952103","0,5790319","44,31553704","27,9204998","1,73950005"
04/01/2008 18.00,"0,84009802","8,92758903","0,54206745","47,83383468","27,9204998","1,85399997"
04/01/2008 19.00,"0,76644999","8,35812569","0,523894","50,19839784","27,9204998","1,79750001"
04/01/2008 20.00,"0,81355101","7,67501985","0,481206","49,8604041","27,9204998","1,62750006"
04/01/2008 21.00,"0,89918798","8,12446411","0,49299925","45,75976524","27,9204998","1,53349996"
04/01/2008 22.00,"0,87007099","8,95057297","0,5564896","40,3872795","27,9204998","1,70350003"
04/01/2008 23.00,"0,81269401","8,10403457","0,51233305","40,8447198","27,9204998","1,80400002"
05/01/2008 0.00,"0,834104","6,55651894","0,4389044","43,89201972","27,9204998","1,84599996"
05/01/2008 1.00,"0,94885701","5,20690896","0,39946515","49,45183722","26,08979988","1,50950003"
05/01/2008 2.00,"0,85636902","4,54423454","0,39656485","47,77275762","26,08979988","1,47449994"
05/01/2008 3.00,"0,726201","4,82513744","0,38198745","46,03397436","26,08979988","1,35549998"
05/01/2008 4.00,"0,87520897","4,17140153","0,363814","50,3504136","26,08979988","1,26199996"
05/01/2008 5.00,"0,574624","4,21481313","0,3552304","47,29903272","26,08979988","1,19400001"
05/01/2008 6.00,"0,67910099","5,77637607","0,3964096","32,05980594","26,08979988","1,20299995"
05/01/2008 7.00,"0,74075902","5,51845711","0,39857505","47,90986218","26,08979988","1,38750005"
05/01/2008 8.00,"0,70821702","7,34687564","0,3843461","50,83906932","26,08979988","1,02600002"
05/01/2008 9.00,"0,650841","7,71077201","0,43960015","49,9934277","26,08979988","1,12699997"
05/01/2008 10.00,"0,706505","9,47407408","0,53936035","47,74018842","26,08979988","1,68550003"
05/01/2008 11.00,"0,582331","8,58795379","0,4399486","56,01880818","26,08979988","1,49600005"
05/01/2008 12.00,"0,75360501","8,1729845","0,45978495","58,9344579","26,08979988","1,47500002"
05/01/2008 13.00,"0,46843401","8,40153729","0,40282775","63,30653946","26,08979988","1,47049999"
05/01/2008 14.00,"0,72877002","8,29428455","0,3869359","63,3459168","26,08979988","1,32599998"
05/01/2008 15.00,"0,658548","7,75418549","0,4007405","61,27726248","26,08979988","1,273"
05/01/2008 16.00,"0,47357199","6,59993054","0,36048935","62,85861486","26,08979988","1,14649999"
05/01/2008 17.00,"0,53951299","5,96534697","0,32394925","65,23402788","26,08979988","1,07099998"
05/01/2008 18.00,"0,562635","6,26157061","0,3361289","63,27261648","26,08979988","1,05599999"
05/01/2008 19.00,"0,56177801","8,46410123","0,48294595","55,53150624","26,08979988","1,25600004"
05/01/2008 20.00,"0,578906","8,42196683","0,4377843","55,51794882","26,08979988","1,42050004"
05/01/2008 21.00,"0,50611401","8,33258735","0,42711115","56,29843242","26,08979988","1,36650002"
