,Comune Bari,,
,Corso Cavour,,
Parm,CO,PM10,BENZENE



07/01/2010 0.00,"0,79981794","24,42000961","3,60527517"
07/01/2010 1.00,"0,56566459",,"2,65632569"
07/01/2010 2.00,"0,50320777","19,04759979","2,06734438"
07/01/2010 3.00,"0,52547325",,"1,98211368"
07/01/2010 4.00,"0,32274578","13,67521","1,36587982"
07/01/2010 5.00,"0,1988189",,"0,80086716"
07/01/2010 6.00,"0,18571265","11,23320961","0,55162487"
07/01/2010 7.00,"0,23747011",,"0,58060937"
07/01/2010 8.00,"0,28468872","9,27960968","0,63766002"
07/01/2010 9.00,"0,51386752",,"1,25364878"
07/01/2010 10.00,"0,85343124","16,60560989","2,79651406"
07/01/2010 11.00,"0,89546793",,"7,73092483"
07/01/2010 12.00,"0,87976373","17,58241081","5,09619615"
07/01/2010 13.00,"1,00246619",,"4,41957283"
07/01/2010 14.00,"0,86191943","18,55920982","3,9650196"
07/01/2010 15.00,"1,00850788",,"4,75485638"
07/01/2010 16.00,"1,19204781","16,60560989","5,37466601"
07/01/2010 17.00,"1,5506418",,"6,77386681"
07/01/2010 18.00,"1,28794362","29,7924099","7,72061042"
07/01/2010 19.00,"0,96918564",,"5,40012457"
07/01/2010 20.00,"0,8816988","25,88521957","4,30098148"
07/01/2010 21.00,"1,20641925",,"4,96839892"
07/01/2010 22.00,"1,3535203","36,14162064","6,07517357"
07/01/2010 23.00,"1,01277178",,"4,89289175"
08/01/2010 0.00,"0,58729864","29,30401993","3,16213674"
08/01/2010 1.00,"0,34627645",,"1,90604716"
08/01/2010 2.00,"0,22890386","16,60560989","1,20022475"
08/01/2010 3.00,,,"1,09146067"
08/01/2010 4.00,"0,18888961","24,90842056","0,79563978"
08/01/2010 5.00,"0,16854754",,
08/01/2010 6.00,"0,19319661","29,7924099","0,58541063"
08/01/2010 7.00,"0,22637698",,"0,69077488"
08/01/2010 8.00,"0,29585874","25,39682007","0,77007342"
08/01/2010 9.00,"0,40953944",,"1,13118469"
08/01/2010 10.00,"0,40452412","26,86202049","1,44737508"
08/01/2010 11.00,"0,40487828",,"1,75743092"
08/01/2010 12.00,"0,42138982","26,86202049","1,65716387"
08/01/2010 13.00,"0,5339661",,"1,89309058"
08/01/2010 14.00,"0,58144568","34,18803024","2,24510581"
08/01/2010 15.00,"0,4447737",,"1,99275048"
08/01/2010 16.00,"0,29550225","33,21123123","1,23776019"
08/01/2010 17.00,"0,32022938",,"1,04259687"
08/01/2010 18.00,"0,44702565","27,8388195","1,55148537"
08/01/2010 19.00,"0,46784303",,"1,7744016"
08/01/2010 20.00,"0,53195065","22,46640968","1,90736926"
08/01/2010 21.00,"0,55944349",,"2,06880377"
08/01/2010 22.00,"0,50382755","38,0952301","2,26875004"
08/01/2010 23.00,"0,30936692",,"1,35670749"
09/01/2010 0.00,"0,24308541","39,56044006","0,76450331"
09/01/2010 1.00,"0,23546165",,"0,85547091"
09/01/2010 2.00,"0,2545793","39,56044006","0,65012132"
09/01/2010 3.00,"0,25450124",,"0,5699329"
09/01/2010 4.00,"0,18067519","48,35165024","0,44305097"
09/01/2010 5.00,"0,17640896",,"0,39935149"
09/01/2010 6.00,"0,16029235","56,65444183","0,38133534"
09/01/2010 7.00,"0,21401283",,"0,36114585"
09/01/2010 8.00,"0,45622915","47,86323166","0,61810209"
09/01/2010 9.00,"0,59420476",,"1,11476421"
09/01/2010 10.00,"0,66775354","30,28083038","1,73042652"
09/01/2010 11.00,"0,55612673",,"1,83744848"
09/01/2010 12.00,"0,58448749","37,11843109","2,01612724"
09/01/2010 13.00,"0,84661133",,"3,21477158"
09/01/2010 14.00,"0,78352891","27,35042","3,39973947"
09/01/2010 15.00,"0,61802318",,"2,79097242"
09/01/2010 16.00,"0,44149656","16,11721039","1,9426612"
09/01/2010 17.00,"0,37766388",,"1,32619648"
09/01/2010 18.00,"0,46132486","14,16361046","1,38332238"
09/01/2010 19.00,"0,60739722",,"1,72167828"
09/01/2010 20.00,"0,66878107","13,67521","2,3110664"
09/01/2010 21.00,"0,76318684",,"2,6701691"
09/01/2010 22.00,"0,74272595","14,65200996","2,99155737"
09/01/2010 23.00,"0,61545552",,"2,39691645"
10/01/2010 0.00,"0,53408493","16,60560989","1,9981538"
10/01/2010 1.00,"0,52784286",,"1,63739644"
10/01/2010 2.00,"0,63172941","11,23320961","2,32471454"
10/01/2010 3.00,,,"1,86205174"
10/01/2010 4.00,"0,41813015","7,81440783","1,32948647"
10/01/2010 5.00,"0,30044302",,
10/01/2010 6.00,"0,24997405","6,34920597","0,64480851"
10/01/2010 7.00,"0,26115922",,"0,53948799"
10/01/2010 8.00,"0,28570111","5,86080599","0,52421367"
10/01/2010 9.00,"0,31953271",,"0,62731814"
10/01/2010 10.00,"0,36921064","12,21000957","1,00279149"
10/01/2010 11.00,"0,45382692",,"1,38319526"
10/01/2010 12.00,"0,44635694","8,30280876","1,51102911"
10/01/2010 13.00,"0,64036788",,"3,1782206"
10/01/2010 14.00,"0,63349205","5,86080599","2,60394816"
10/01/2010 15.00,"0,59993772",,"2,61346829"
10/01/2010 16.00,"0,38774695","5,37240601","1,39875943"
10/01/2010 17.00,"0,34391732",,"1,15164877"
10/01/2010 18.00,"0,58080959","8,79120922","1,58235335"
10/01/2010 19.00,"0,76110615",,"2,86524393"
10/01/2010 20.00,"0,79157789","9,27960968","2,98209011"
10/01/2010 21.00,"0,74818281",,"2,91430706"
10/01/2010 22.00,"0,88109416","14,65200996","3,06735845"
10/01/2010 23.00,"0,70838524",,"3,14822622"
11/01/2010 0.00,"0,59689474","15,62880993","2,48561817"
11/01/2010 1.00,"0,5761857",,"2,59827126"
11/01/2010 2.00,"0,49477084","22,46640968","1,99306067"
11/01/2010 3.00,"0,40489925",,"1,6674793"
11/01/2010 4.00,"0,30747845","14,16361046","1,36746735"
11/01/2010 5.00,"0,25839234",,"1,10198154"
11/01/2010 6.00,"0,25210833","12,69841003","0,95056956"
11/01/2010 7.00,"0,32482763",,"0,95016683"
11/01/2010 8.00,"0,4071908","13,67521","1,0089718"
11/01/2010 9.00,"0,61673469",,"1,70369874"
11/01/2010 10.00,"0,90923474","16,60560989","3,17304305"
11/01/2010 11.00,"1,07186641",,"4,64213921"
11/01/2010 12.00,"1,04459609","20,51280975","4,99403647"
11/01/2010 13.00,"1,0627363",,"5,55107381"
11/01/2010 14.00,"1,00096334","22,46640968","4,57420972"
11/01/2010 15.00,"0,84908229",,"4,54034463"
11/01/2010 16.00,"0,65755979","13,18680954","3,1769646"
11/01/2010 17.00,"0,60033266",,"2,54308681"
11/01/2010 18.00,"0,64712605","13,18680954","2,53265951"
11/01/2010 19.00,"0,83023026",,"3,18541181"
11/01/2010 20.00,"1,04542557","17,09399986","4,54810434"
11/01/2010 21.00,"1,13344015",,"4,84932652"
11/01/2010 22.00,"0,96069162","21,97801971","4,68610209"
11/01/2010 23.00,"0,62606168",,"3,05829392"
12/01/2010 0.00,"0,55369771","18,55920982","2,45717472"
12/01/2010 1.00,"0,46192833",,"2,09743131"
12/01/2010 2.00,"0,4769079","14,65200996","1,93677683"
12/01/2010 3.00,,,"1,65000114"
12/01/2010 4.00,"0,35775519","9,76801014","1,38299288"
12/01/2010 5.00,"0,30683887",,
12/01/2010 6.00,"0,30288835","7,81440783","1,21453496"
12/01/2010 7.00,"0,37297941",,"1,18003324"
12/01/2010 8.00,"0,54974952","15,62880993","1,36133586"
12/01/2010 9.00,"0,82102909",,"2,76490976"
12/01/2010 10.00,"0,97527859","26,37360954","5,03803596"
12/01/2010 11.00,"0,91992478",,"5,06969517"
12/01/2010 12.00,"0,76350139","27,8388195","4,7108457"
12/01/2010 13.00,"0,66693804",,"3,47344349"
12/01/2010 14.00,"0,61221682","16,60560989","2,93315207"
12/01/2010 15.00,"0,54749758",,"2,6295135"
12/01/2010 16.00,"0,55449107","13,18680954","1,97482687"
12/01/2010 17.00,"1,03213408",,"3,38501534"
12/01/2010 18.00,"1,00649127","15,62880993","5,13063381"
12/01/2010 19.00,"0,60360281",,"2,87667908"
12/01/2010 20.00,"0,93114489","14,16361046","3,39598471"
12/01/2010 21.00,"1,32297167",,"4,82087493"
12/01/2010 22.00,"1,49598815","29,7924099","7,31973749"
12/01/2010 23.00,"0,97887378",,"5,67455693"
13/01/2010 0.00,"0,71853938","28,81562042","3,86768558"
13/01/2010 1.00,"0,64378483",,"2,92445062"
13/01/2010 2.00,"0,51170062","20,02441978","2,2034678"
13/01/2010 3.00,"0,43354893",,"1,65566278"
13/01/2010 4.00,"0,36883085","21,48962021","1,3878999"
13/01/2010 5.00,"0,31323938",,"1,20898621"
13/01/2010 6.00,"0,34627062","13,67521","1,19435463"
13/01/2010 7.00,"0,3835681",,"1,30802675"
13/01/2010 8.00,"0,54449421","14,65200996","1,70348517"
13/01/2010 9.00,"1,12778874",,"3,5413557"
13/01/2010 10.00,"1,84956798","34,67642975","7,2347285"
13/01/2010 11.00,"1,90176115",,"10,26984906"
13/01/2010 12.00,"1,35086527","39,56044006","8,19685321"
13/01/2010 13.00,"1,24375284",,"7,12601628"
13/01/2010 14.00,"1,25232607","31,74603081","6,50535135"
13/01/2010 15.00,"1,11202396",,"6,46455847"
13/01/2010 16.00,"0,8539019","27,35042","4,157436"
13/01/2010 17.00,"0,95295486",,"4,20508245"
13/01/2010 18.00,"1,12988341","24,90842056","4,91938053"
13/01/2010 19.00,"1,33616763",,"5,46834086"
13/01/2010 20.00,"1,48271181","23,93161964","7,36995492"
13/01/2010 21.00,"1,30499339",,"6,56320543"
13/01/2010 22.00,"1,23727311","23,93161964","5,9824069"
13/01/2010 23.00,"0,7340665",,"3,87031961"
14/01/2010 0.00,"0,63208939","19,53602028","2,72138623"
14/01/2010 1.00,"0,64437781",,"2,64600924"
14/01/2010 2.00,"0,51715282","17,58241081","2,00703933"
14/01/2010 3.00,,,
14/01/2010 4.00,,,
14/01/2010 5.00,,,
14/01/2010 6.00,,,
14/01/2010 7.00,,,
14/01/2010 8.00,,,
14/01/2010 9.00,,,
14/01/2010 10.00,,,
14/01/2010 11.00,,,
14/01/2010 12.00,,,
14/01/2010 13.00,,,
14/01/2010 14.00,,,
14/01/2010 15.00,,,
14/01/2010 16.00,,,
14/01/2010 17.00,,,
14/01/2010 18.00,"0,65255378","20,02441978","3,31911069"
14/01/2010 19.00,"0,93323956",,"4,16009342"
14/01/2010 20.00,"1,13794288","25,39682007","5,27117609"
14/01/2010 21.00,"1,50325775",,"6,71141386"
14/01/2010 22.00,"1,64751155","40,04883957","7,89488557"
14/01/2010 23.00,"1,39946324",,"7,6910747"
15/01/2010 0.00,"1,15189142","42,49084091","5,77281947"
15/01/2010 1.00,"1,06267572",,"4,89664041"
15/01/2010 2.00,"0,99815453","40,04883957","4,84621043"
15/01/2010 3.00,"0,85552241",,"4,27476729"
15/01/2010 4.00,"0,66346168","47,37483978","4,01523906"
15/01/2010 5.00,"0,55567588",,"2,97826925"
15/01/2010 6.00,"0,44714098","34,18803024","2,53284969"
15/01/2010 7.00,"0,49202494",,"2,09136694"
15/01/2010 8.00,"0,6287307","28,81562042","2,10360755"
15/01/2010 9.00,"1,17721619",,"3,85674266"
15/01/2010 10.00,"1,72838818","44,93283081","7,75526469"
15/01/2010 11.00,"1,48883622",,"8,55978085"
15/01/2010 12.00,"0,92794464","41,5140419","5,91046025"
15/01/2010 13.00,"0,73114235",,"4,43204024"
15/01/2010 14.00,"0,72114549","32,23442078","3,85590668"
15/01/2010 15.00,"0,70830602",,"3,44851174"
15/01/2010 16.00,"0,56697638","24,42000961","2,79719748"
15/01/2010 17.00,"0,59095907",,"2,78721156"
15/01/2010 18.00,"0,65239767","22,95482063","2,84707523"
15/01/2010 19.00,"0,6270729",,"3,08331212"
15/01/2010 20.00,"0,64923703","21,0012207","2,908321"
15/01/2010 21.00,"0,8478171",,"4,1045642"
15/01/2010 22.00,"0,92020088","20,51280975","6,2213897"
15/01/2010 23.00,"0,68226827",,"4,49819202"
16/01/2010 0.00,"0,78831473","20,02441978","3,14171335"
16/01/2010 1.00,"0,62426642",,"2,58801177"
16/01/2010 2.00,"0,57823727","20,51280975","2,52944681"
16/01/2010 3.00,,,"1,85000538"
16/01/2010 4.00,"0,28102363","22,95482063","1,48228869"
16/01/2010 5.00,"0,22524343",,
16/01/2010 6.00,"0,23106494","16,11721039","1,26102712"
16/01/2010 7.00,"0,51500573",,"1,32782978"
16/01/2010 8.00,"0,83776082","25,88521957","2,88635075"
16/01/2010 9.00,"0,67957246",,"2,71127725"
16/01/2010 10.00,"0,87411931","42,97924042","5,24891599"
16/01/2010 11.00,"0,8357011",,"5,97508552"
16/01/2010 12.00,"0,65984785","47,86323166","4,61487955"
16/01/2010 13.00,"0,64246022",,"3,81614605"
16/01/2010 14.00,"0,75240943","30,76922989","3,44413661"
16/01/2010 15.00,"0,50629269",,"2,95292052"
16/01/2010 16.00,"0,38533424","26,86202049","1,94654207"
16/01/2010 17.00,"0,46636931",,"1,87999264"
16/01/2010 18.00,"0,49745966","29,30401993","2,31238646"
16/01/2010 19.00,"0,52312578",,"2,60316608"
16/01/2010 20.00,"0,59497133","25,39682007","2,78674882"
16/01/2010 21.00,"0,6407966",,"3,29743741"
16/01/2010 22.00,"0,59647651","28,32722092","3,12306665"
16/01/2010 23.00,"0,5791681",,"3,04553566"
17/01/2010 0.00,"0,64622317","32,72283173","2,98497738"
17/01/2010 1.00,"0,91265751",,"4,0520809"
17/01/2010 2.00,"0,81217509","31,74603081","4,21610978"
17/01/2010 3.00,"0,67711664",,"3,5632568"
17/01/2010 4.00,"0,55615702","31,25761986","3,00418647"
17/01/2010 5.00,"0,41262203",,"2,41146057"
17/01/2010 6.00,"0,34580695","27,35042","1,90875543"
17/01/2010 7.00,"0,3454493",,"1,73342972"
17/01/2010 8.00,"0,32730908","31,25761986","1,68452015"
17/01/2010 9.00,"0,44870441",,"2,2429396"
17/01/2010 10.00,"0,64364852","34,18803024","3,64323775"
17/01/2010 11.00,"1,08201472",,"7,28393299"
17/01/2010 12.00,"1,1129478","56,16604996","9,42145139"
17/01/2010 13.00,"0,83122634",,"7,51777587"
17/01/2010 14.00,"0,97804779","54,21244049","5,3709265"
17/01/2010 15.00,"1,01349525",,"6,8742681"
17/01/2010 16.00,"1,5389184","56,16604996","10,46807253"
17/01/2010 17.00,"0,58808035",,"5,67541325"
17/01/2010 18.00,"0,50605503","43,46763992","3,85331333"
17/01/2010 19.00,"0,67644327",,"3,56128382"
17/01/2010 20.00,"1,04173485","50,30524063","5,01460529"
17/01/2010 21.00,"1,14582177",,"6,17812957"
17/01/2010 22.00,"1,21283607","58,11965179","7,34427465"
17/01/2010 23.00,"1,15802049",,"7,3642404"
18/01/2010 0.00,"1,09714574","77,16725922","7,18269268"
18/01/2010 1.00,"1,0278329",,"6,90497947"
18/01/2010 2.00,"0,86520822","65,93405151","5,82778019"
18/01/2010 3.00,,,"3,91642124"
18/01/2010 4.00,"0,49681658","46,39804077","2,37694664"
18/01/2010 5.00,"0,38426593",,
18/01/2010 6.00,"0,4000645","29,7924099","1,48299449"
18/01/2010 7.00,"0,4711761",,"1,49972312"
18/01/2010 8.00,"0,72517639","32,23442078","2,07619431"
18/01/2010 9.00,"1,03001611",,"3,61925689"
18/01/2010 10.00,"1,27106859","31,74603081","6,51111368"
18/01/2010 11.00,"0,88937498",,"5,66086201"
18/01/2010 12.00,"0,66364575","40,53723145","3,58853535"
18/01/2010 13.00,"0,58160645",,"2,70771267"
18/01/2010 14.00,"0,59031715","22,46640968","2,34702548"
18/01/2010 15.00,"0,49362681",,"2,07782965"
18/01/2010 16.00,"0,45747686","22,46640968","1,74178641"
18/01/2010 17.00,"0,39820399",,"2,99695967"
18/01/2010 18.00,"0,51611714","22,46640968","2,68610955"
18/01/2010 19.00,"0,71579231",,"2,69374621"
18/01/2010 20.00,"0,95882529","19,04759979","4,12783825"
18/01/2010 21.00,"0,93934533",,"4,05304298"
18/01/2010 22.00,"0,82107453","20,51280975","3,5807136"
18/01/2010 23.00,"0,65061988",,"2,59449107"
19/01/2010 0.00,"0,56953006","23,93161964","2,22087985"
19/01/2010 1.00,"0,55329578",,"1,94101467"
19/01/2010 2.00,"0,46781158","20,02441978","1,54991309"
19/01/2010 3.00,"0,36240937",,"1,23315827"
19/01/2010 4.00,"0,262711","15,62880993","0,6677978"
19/01/2010 5.00,"0,25209901",,"0,52767655"
19/01/2010 6.00,"0,27253078","17,58241081","0,59028002"
19/01/2010 7.00,"0,30123638",,"0,63499751"
19/01/2010 8.00,"0,40980506","13,18680954","0,76953542"
19/01/2010 9.00,"0,62943669",,"1,67729132"
19/01/2010 10.00,"0,68787891","21,97801971","2,86805797"
19/01/2010 11.00,"0,58845665",,"2,27545004"
19/01/2010 12.00,"0,53330089","13,18680954","2,19842042"
19/01/2010 13.00,"0,46088216",,"1,72951122"
19/01/2010 14.00,"0,47240401","11,23320961","1,42522278"
19/01/2010 15.00,"0,45205262",,"1,39496602"
19/01/2010 16.00,"0,36233131","15,14041042","1,04759238"
19/01/2010 17.00,"0,39887736",,"0,96369191"
19/01/2010 18.00,"0,40556796","13,18680954","1,05418457"
19/01/2010 19.00,"0,4015289",,"1,03151361"
19/01/2010 20.00,"0,41400256","13,18680954","1,03070713"
19/01/2010 21.00,"0,77732295",,"2,30416707"
19/01/2010 22.00,"0,81367095","12,21000957","2,73034295"
19/01/2010 23.00,"0,57103407",,"2,1329063"
20/01/2010 0.00,"0,44084765","16,60560989","1,26355538"
20/01/2010 1.00,"0,44730175",,"1,22060137"
20/01/2010 2.00,"0,38121829","10,7448101","0,96778737"
20/01/2010 3.00,,,"0,91122488"
20/01/2010 4.00,"0,29517955","10,25640965","0,85537531"
20/01/2010 5.00,"0,278788",,
20/01/2010 6.00,"0,30948458","17,58241081","1,04862362"
20/01/2010 7.00,"0,41960388",,"1,13125893"
20/01/2010 8.00,"0,83561606","20,51280975","5,39906892"
20/01/2010 9.00,"0,96905283",,"4,35213149"
20/01/2010 10.00,"1,25940228","33,69963074","6,02439171"
20/01/2010 11.00,"0,80914143",,"5,82436714"
20/01/2010 12.00,"0,52873525","23,93161964","2,94328851"
20/01/2010 13.00,"0,62350684",,"3,02738323"
20/01/2010 14.00,"0,57489838","19,04759979","2,34488368"
20/01/2010 15.00,"0,40662228",,"1,76224235"
20/01/2010 16.00,"0,39861407","16,11721039","1,24411542"
20/01/2010 17.00,"0,53946723",,"1,64106781"
20/01/2010 18.00,"0,62034969","16,11721039","2,6315892"
20/01/2010 19.00,"0,60255548",,"2,34555897"
