TARANTO - SAN VITO,,,
,SO2,NO2,PM10
01/01/2011 1.00,"1,139749","36,514324","39,599991"
01/01/2011 2.00,"1,239178","49,45281","39,599991"
01/01/2011 3.00,"0,858035","42,995889","39,599991"
01/01/2011 4.00,"0,903452","31,233283","39,599991"
01/01/2011 5.00,"0,821209","24,06644","39,599991"
01/01/2011 6.00,"0,825505","27,9886","39,599991"
01/01/2011 7.00,"0,903452","24,524573","39,599991"
01/01/2011 8.00,"0,913886","31,738146","39,599991"
01/01/2011 9.00,"0,777632","33,608389","39,599991"
01/01/2011 10.00,"0,972193","9,004636","39,599991"
01/01/2011 11.00,"0,6647","6,295977","39,599991"
01/01/2011 12.00,"0,947029","5,532829","39,599991"
01/01/2011 13.00,"0,564658","5,640551","39,599991"
01/01/2011 14.00,"0,642605","7,251212","39,599991"
01/01/2011 15.00,"0,661017","6,96568","39,599991"
01/01/2011 16.00,"0,677589","5,366701","39,599991"
01/01/2011 17.00,"0,652425","11,344693","39,599991"
01/01/2011 18.00,"0,640764","25,370787","39,599991"
01/01/2011 19.00,"0,800955","21,544664","39,599991"
01/01/2011 20.00,"0,683727","41,014041","39,599991"
01/01/2011 21.00,"0,662859","49,46449","39,599991"
01/01/2011 22.00,"0,789907","46,504046","39,599991"
01/01/2011 23.00,"0,832257","41,713606","39,599991"
02/01/2011 0.00,"0,580615","42,27428","39,599991"
02/01/2011 1.00,,"32,224865","8,3"
02/01/2011 2.00,"1,059536",,"8,3"
02/01/2011 3.00,"1,230346","9,721063","8,3"
02/01/2011 4.00,"1,382926","8,07536","8,3"
02/01/2011 5.00,"1,498835","6,272616","8,3"
02/01/2011 6.00,"1,438432","16,850274","8,3"
02/01/2011 7.00,"1,331199","13,952123","8,3"
02/01/2011 8.00,"1,324336","8,85668","8,3"
02/01/2011 9.00,"1,273668","7,601636","8,3"
02/01/2011 10.00,"1,49173","7,248615","8,3"
02/01/2011 11.00,"1,110174","7,519871","8,3"
02/01/2011 12.00,"1,219946","6,73985","8,3"
02/01/2011 13.00,"1,21124","6,199935","8,3"
02/01/2011 14.00,"1,207582","6,841084","8,3"
02/01/2011 15.00,"1,181734","5,32517","8,3"
02/01/2011 16.00,"1,367145","7,884574","8,3"
02/01/2011 17.00,"1,428032","15,545907","8,3"
02/01/2011 18.00,"1,407989","17,044952","8,3"
02/01/2011 19.00,"1,573175","15,717231","8,3"
02/01/2011 20.00,"1,342718","21,186451","8,3"
02/01/2011 21.00,"1,441969","26,86205","8,3"
02/01/2011 22.00,"1,524139","15,08257","8,3"
02/01/2011 23.00,"1,332952","7,355041","8,3"
03/01/2011 0.00,"1,402003","7,27068","8,3"
03/01/2011 1.00,"1,635332","7,207085","11,7"
03/01/2011 2.00,"1,117883","6,286893","11,7"
03/01/2011 3.00,"1,369231","6,249255","11,7"
03/01/2011 4.00,"1,234699","5,217446","11,7"
03/01/2011 5.00,"1,440578","7,015","11,7"
03/01/2011 6.00,"1,358045","7,210978","11,7"
03/01/2011 7.00,"1,244464","7,676915","11,7"
03/01/2011 8.00,"1,452247","9,93521","11,7"
03/01/2011 9.00,"1,490008","12,606227","11,7"
03/01/2011 10.00,"1,525197","15,752273","11,7"
03/01/2011 11.00,"1,446111","10,900826","11,7"
03/01/2011 12.00,"1,608063","8,266147","11,7"
03/01/2011 13.00,"1,536565","9,345976","11,7"
03/01/2011 14.00,"1,579101","8,908595","11,7"
03/01/2011 15.00,"1,605342","13,904102","11,7"
03/01/2011 16.00,"1,466638","10,50627","11,7"
03/01/2011 17.00,"1,460138","24,188425","11,7"
03/01/2011 18.00,"1,463918","8,847594","11,7"
03/01/2011 19.00,"1,339029","7,369318","11,7"
03/01/2011 20.00,"1,055666","9,297956","11,7"
03/01/2011 21.00,"1,254743","10,800886","11,7"
03/01/2011 22.00,"1,403544","7,261594","11,7"
03/01/2011 23.00,"1,107514","5,905319","11,7"
04/01/2011 0.00,"1,146966","4,772275","11,7"
04/01/2011 1.00,,"4,155785","18,5"
04/01/2011 2.00,"0,656433",,"18,5"
04/01/2011 3.00,"0,510083","6,648999","18,5"
04/01/2011 4.00,"0,686438","9,007233","18,5"
04/01/2011 5.00,"0,642349","8,530913","18,5"
04/01/2011 6.00,"0,622142","6,071445","18,5"
04/01/2011 7.00,"0,538251","4,700893","18,5"
04/01/2011 8.00,"0,662557","6,062361","18,5"
04/01/2011 9.00,"0,593361","17,486227","18,5"
04/01/2011 10.00,"0,595811","26,680334","18,5"
04/01/2011 11.00,"0,552947","9,279787","18,5"
04/01/2011 12.00,"0,813805","5,591233","18,5"
04/01/2011 13.00,"0,926477","5,052617","18,5"
04/01/2011 14.00,"0,909943","5,429","18,5"
04/01/2011 15.00,"1,21183","6,841084","18,5"
04/01/2011 16.00,"1,487384","8,960509","18,5"
04/01/2011 17.00,"1,20142","17,75748","18,5"
04/01/2011 18.00,"1,125489","44,335301","18,5"
04/01/2011 19.00,"1,187335","59,317923","18,5"
04/01/2011 20.00,"1,007307","48,345721","18,5"
04/01/2011 21.00,"0,939949","41,713606","18,5"
04/01/2011 22.00,"1,044047","33,827733","18,5"
04/01/2011 23.00,"0,729302","24,946379","18,5"
05/01/2011 0.00,"0,857282","24,7608","18,5"
05/01/2011 1.00,"0,886674","22,986598",23
05/01/2011 2.00,"1,001183","25,154042",23
05/01/2011 3.00,"0,969954","18,131274",23
05/01/2011 4.00,"1,040985","12,085782",23
05/01/2011 5.00,"1,022003","7,632786",23
05/01/2011 6.00,"1,194684","11,467996",23
05/01/2011 7.00,"1,138961","19,639375",23
05/01/2011 8.00,"1,059356","33,167099",23
05/01/2011 9.00,"0,806458","32,506504",23
05/01/2011 10.00,"1,138961","22,388276",23
05/01/2011 11.00,"1,192846","20,567365",23
05/01/2011 12.00,"1,134674","19,260416",23
05/01/2011 13.00,"1,341646","12,277868",23
05/01/2011 14.00,"1,142022","13,653609",23
05/01/2011 15.00,"1,214279","14,136416",23
05/01/2011 16.00,"1,327562","22,765955",23
05/01/2011 17.00,"1,394308","34,810216",23
05/01/2011 18.00,"1,33491","57,596952",23
05/01/2011 19.00,"0,980976","18,724393",23
05/01/2011 20.00,"0,984037","11,40959",23
05/01/2011 21.00,"1,118141","9,71587",23
05/01/2011 22.00,"0,938723","8,558167",23
05/01/2011 23.00,"0,829727","13,461523",23
06/01/2011 0.00,"1,216728","43,120495",23
06/01/2011 1.00,,"28,492164","35,799992"
06/01/2011 2.00,"0,71326",,"35,799992"
06/01/2011 3.00,"0,890547","27,037266","35,799992"
06/01/2011 4.00,"0,841798","15,073487","35,799992"
06/01/2011 5.00,"0,664236","13,630244","35,799992"
06/01/2011 6.00,"0,709426","13,732777","35,799992"
06/01/2011 7.00,"1,136396","21,725061","35,799992"
06/01/2011 8.00,"0,649173","28,374059","35,799992"
06/01/2011 9.00,"1,049394","19,523872","35,799992"
06/01/2011 10.00,"0,900499","23,587502","35,799992"
06/01/2011 11.00,"1,063453","25,357804","35,799992"
