Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
08/01/2014 19.00,,,,
08/01/2014 20.00,"84,5",,,
08/01/2014 21.00,,,,
08/01/2014 22.00,"71,4",,,
08/01/2014 23.00,,,,
09/01/2014 0.00,"59,3",,,
09/01/2014 1.00,,,,
09/01/2014 2.00,"30,4",,,
09/01/2014 3.00,,,,
09/01/2014 4.00,"30,5",,,
09/01/2014 5.00,,,,
09/01/2014 6.00,"37,1",,,
09/01/2014 7.00,,,,
09/01/2014 8.00,"22,4",,,
09/01/2014 9.00,,,,
09/01/2014 10.00,"14,1",,,
09/01/2014 11.00,,,,
09/01/2014 12.00,"10,4",,,
09/01/2014 13.00,,,,
09/01/2014 14.00,"6,6",,,
09/01/2014 15.00,,,,
09/01/2014 16.00,"13,0",,,
09/01/2014 17.00,,,,
09/01/2014 18.00,"29,8",,,
09/01/2014 19.00,,,,
09/01/2014 20.00,"33,6",,,
09/01/2014 21.00,,,,
09/01/2014 22.00,"32,4",,,
09/01/2014 23.00,,,,
10/01/2014 0.00,"30,9",,,
10/01/2014 1.00,,,,
10/01/2014 2.00,"38,7",,,
10/01/2014 3.00,,,,
10/01/2014 4.00,"77,8",,,
10/01/2014 5.00,,,,
10/01/2014 6.00,"76,4",,,
10/01/2014 7.00,,,,
10/01/2014 8.00,"41,6",,,
10/01/2014 9.00,,,,
10/01/2014 10.00,"27,3",,,
10/01/2014 11.00,,,,
10/01/2014 12.00,"19,6",,,
10/01/2014 13.00,,,,
10/01/2014 14.00,"17,0",,,
10/01/2014 15.00,,,,
10/01/2014 16.00,"13,7",,,
10/01/2014 17.00,,,,
10/01/2014 18.00,"13,0",,,
10/01/2014 19.00,,,,
10/01/2014 20.00,"27,8",,,
10/01/2014 21.00,,,,
10/01/2014 22.00,"40,6",,,
10/01/2014 23.00,,,,
11/01/2014 0.00,"43,9",,,
11/01/2014 1.00,,,,
11/01/2014 2.00,"40,3",,,
11/01/2014 3.00,,,,
11/01/2014 4.00,"39,6",,,
11/01/2014 5.00,,,,
11/01/2014 6.00,"57,2",,,
11/01/2014 7.00,,,,
11/01/2014 8.00,"52,6",,,
11/01/2014 9.00,,,,
11/01/2014 10.00,"31,1",,,
11/01/2014 11.00,,,,
11/01/2014 12.00,"28,0",,,
11/01/2014 13.00,,,,
11/01/2014 14.00,"26,8",,,
11/01/2014 15.00,,,,
11/01/2014 16.00,"23,3",,,
11/01/2014 17.00,,,,
11/01/2014 18.00,"27,5",,,
11/01/2014 19.00,,,,
11/01/2014 20.00,"27,4",,,
11/01/2014 21.00,,,,
11/01/2014 22.00,"28,5",,,
11/01/2014 23.00,,,,
12/01/2014 0.00,"21,2",,,
12/01/2014 1.00,,,,
12/01/2014 2.00,"31,8",,,
12/01/2014 3.00,,,,
12/01/2014 4.00,"49,8",,,
12/01/2014 5.00,,,,
12/01/2014 6.00,"47,7",,,
12/01/2014 7.00,,,,
12/01/2014 8.00,"45,3",,,
12/01/2014 9.00,,,,
12/01/2014 10.00,"46,5",,,
12/01/2014 11.00,,,,
12/01/2014 12.00,"49,8",,,
12/01/2014 13.00,,,,
12/01/2014 14.00,"49,3",,,
12/01/2014 15.00,,,,
12/01/2014 16.00,"38,4",,,
12/01/2014 17.00,,,,
12/01/2014 18.00,"33,0",,,
12/01/2014 19.00,,,,
12/01/2014 20.00,"42,1",,,
12/01/2014 21.00,,,,
12/01/2014 22.00,"38,6",,,
12/01/2014 23.00,,,,
13/01/2014 0.00,"46,1",,,
13/01/2014 1.00,,,,
13/01/2014 2.00,"69,0",,,
13/01/2014 3.00,,,,
13/01/2014 4.00,"59,5",,,
13/01/2014 5.00,,,,
13/01/2014 6.00,"55,7",,,
13/01/2014 7.00,,,,
13/01/2014 8.00,"59,4",,,
13/01/2014 9.00,,,,
13/01/2014 10.00,"54,7",,,
13/01/2014 11.00,,,,
13/01/2014 12.00,"58,6",,,
13/01/2014 13.00,,,,
13/01/2014 14.00,"41,0",,,
13/01/2014 15.00,,,,
13/01/2014 16.00,"37,7",,,
13/01/2014 17.00,,,,
13/01/2014 18.00,"44,8",,,
13/01/2014 19.00,,,,
13/01/2014 20.00,"71,5",,,
13/01/2014 21.00,,,,
13/01/2014 22.00,"73,4",,,
13/01/2014 23.00,,,,
14/01/2014 0.00,"51,9",,,
14/01/2014 1.00,,,,
14/01/2014 2.00,"43,2",,,
14/01/2014 3.00,,,,
14/01/2014 4.00,"47,6",,,
14/01/2014 5.00,,,,
14/01/2014 6.00,"50,5",,,
14/01/2014 7.00,,,,
14/01/2014 8.00,"43,1",,,
14/01/2014 9.00,,,,
14/01/2014 10.00,"60,2",,,
14/01/2014 11.00,,,,
