Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
29/03/2014 6.00,"15,8",,,
29/03/2014 7.00,,,,
29/03/2014 8.00,"9,1",,,
29/03/2014 9.00,,,,
29/03/2014 10.00,"13,4",,,
29/03/2014 11.00,,,,
29/03/2014 12.00,"22,7",,,
29/03/2014 13.00,,,,
29/03/2014 14.00,"28,6",,,
29/03/2014 15.00,,,,
29/03/2014 16.00,"28,9",,,
29/03/2014 17.00,,,,
29/03/2014 18.00,"35,5",,,
29/03/2014 19.00,,,,
29/03/2014 20.00,"48,8",,,
29/03/2014 21.00,,,,
29/03/2014 22.00,"45,9",,,
29/03/2014 23.00,,,,
30/03/2014 0.00,"31,7",,,
30/03/2014 1.00,,,,
30/03/2014 2.00,"38,6",,,
30/03/2014 3.00,,,,
30/03/2014 4.00,"40,4",,,
30/03/2014 5.00,,,,
30/03/2014 6.00,"27,2",,,
30/03/2014 7.00,,,,
30/03/2014 8.00,"20,4",,,
30/03/2014 9.00,,,,
30/03/2014 10.00,"13,3",,,
30/03/2014 11.00,,,,
30/03/2014 12.00,"21,4",,,
30/03/2014 13.00,,,,
30/03/2014 14.00,"28,1",,,
30/03/2014 15.00,,,,
30/03/2014 16.00,"30,9",,,
30/03/2014 17.00,,,,
30/03/2014 18.00,"40,9",,,
30/03/2014 19.00,,,,
30/03/2014 20.00,"45,0",,,
30/03/2014 21.00,,,,
30/03/2014 22.00,"45,2",,,
30/03/2014 23.00,,,,
31/03/2014 0.00,"38,3",,,
31/03/2014 1.00,,,,
31/03/2014 2.00,"34,2",,,
31/03/2014 3.00,,,,
31/03/2014 4.00,"34,3",,,
31/03/2014 5.00,,,,
31/03/2014 6.00,"25,7",,,
31/03/2014 7.00,,,,
31/03/2014 8.00,"22,1",,,
31/03/2014 9.00,,,,
31/03/2014 10.00,"33,8",,,
31/03/2014 11.00,,,,
31/03/2014 12.00,"35,6",,,
31/03/2014 13.00,,,,
31/03/2014 14.00,"29,9",,,
31/03/2014 15.00,,,,
31/03/2014 16.00,"22,8",,,
31/03/2014 17.00,,,,
31/03/2014 18.00,"21,9",,,
31/03/2014 19.00,,,,
31/03/2014 20.00,"30,6",,,
31/03/2014 21.00,,,,
31/03/2014 22.00,"30,2",,,
31/03/2014 23.00,,,,
01/04/2014 0.00,"23,8",,,
01/04/2014 1.00,,,,
01/04/2014 2.00,"22,0",,,
01/04/2014 3.00,,,,
01/04/2014 4.00,"25,0",,,
01/04/2014 5.00,,,,
01/04/2014 6.00,"33,2",,,
01/04/2014 7.00,,,,
01/04/2014 8.00,"36,6",,,
01/04/2014 9.00,,,,
01/04/2014 10.00,"35,7",,,
01/04/2014 11.00,,,,
01/04/2014 12.00,"33,8",,,
01/04/2014 13.00,,,,
01/04/2014 14.00,"23,9",,,
01/04/2014 15.00,,,,
01/04/2014 16.00,"16,8",,,
01/04/2014 17.00,,,,
01/04/2014 18.00,"25,4",,,
01/04/2014 19.00,,,,
01/04/2014 20.00,"29,0",,,
01/04/2014 21.00,,,,
01/04/2014 22.00,"29,5",,,
01/04/2014 23.00,,,,
02/04/2014 0.00,"45,9",,,
02/04/2014 1.00,,,,
02/04/2014 2.00,"49,5",,,
02/04/2014 3.00,,,,
02/04/2014 4.00,"37,2",,,
02/04/2014 5.00,,,,
02/04/2014 6.00,"38,5",,,
02/04/2014 7.00,,,,
02/04/2014 8.00,"38,7",,,
02/04/2014 9.00,,,,
02/04/2014 10.00,"32,8",,,
02/04/2014 11.00,,,,
02/04/2014 12.00,"25,8",,,
02/04/2014 13.00,,,,
02/04/2014 14.00,"30,3",,,
02/04/2014 15.00,,,,
02/04/2014 16.00,"43,3",,,
02/04/2014 17.00,,,,
02/04/2014 18.00,"37,9",,,
02/04/2014 19.00,,,,
02/04/2014 20.00,"40,6",,,
02/04/2014 21.00,,,,
02/04/2014 22.00,"45,3",,,
02/04/2014 23.00,,,,
03/04/2014 0.00,"43,5",,,
03/04/2014 1.00,,,,
03/04/2014 2.00,"40,6",,,
03/04/2014 3.00,,,,
03/04/2014 4.00,"32,6",,,
03/04/2014 5.00,,,,
03/04/2014 6.00,"23,3",,,
03/04/2014 7.00,,,,
03/04/2014 8.00,"20,7",,,
03/04/2014 9.00,,,,
03/04/2014 10.00,"40,5",,,
03/04/2014 11.00,,,,
03/04/2014 12.00,"44,0",,,
03/04/2014 13.00,,,,
03/04/2014 14.00,"32,1",,,
03/04/2014 15.00,,,,
03/04/2014 16.00,"27,0",,,
03/04/2014 17.00,,,,
03/04/2014 18.00,"19,6",,,
03/04/2014 19.00,,,,
03/04/2014 20.00,"14,9",,,
03/04/2014 21.00,,,,
03/04/2014 22.00,"21,7",,,
03/04/2014 23.00,,,,
04/04/2014 0.00,"25,3",,,
04/04/2014 1.00,,,,
04/04/2014 2.00,"24,0",,,
04/04/2014 3.00,,,,
04/04/2014 4.00,"32,1",,,
04/04/2014 5.00,,,,
04/04/2014 6.00,"29,2",,,
04/04/2014 7.00,,,,
04/04/2014 8.00,"26,9",,,
04/04/2014 9.00,,,,
04/04/2014 10.00,"25,5",,,
04/04/2014 11.00,,,,
04/04/2014 12.00,"33,6",,,
04/04/2014 13.00,,,,
04/04/2014 14.00,"41,9",,,
04/04/2014 15.00,,,,
04/04/2014 16.00,"30,2",,,
04/04/2014 17.00,,,,
04/04/2014 18.00,"27,4",,,
04/04/2014 19.00,,,,
04/04/2014 20.00,"31,2",,,
04/04/2014 21.00,,,,
04/04/2014 22.00,"45,7",,,
04/04/2014 23.00,,,,
05/04/2014 0.00,"46,8",,,
05/04/2014 1.00,,,,
05/04/2014 2.00,"26,9",,,
05/04/2014 3.00,,,,
05/04/2014 4.00,"17,3",,,
05/04/2014 5.00,,,,
05/04/2014 6.00,"13,8",,,
05/04/2014 7.00,,,,
05/04/2014 8.00,"11,7",,,
05/04/2014 9.00,,,,
05/04/2014 10.00,"11,5",,,
05/04/2014 11.00,,,,
05/04/2014 12.00,"9,4",,,
05/04/2014 13.00,,,,
05/04/2014 14.00,"20,3",,,
05/04/2014 15.00,,,,
05/04/2014 16.00,"32,6",,,
05/04/2014 17.00,,,,
05/04/2014 18.00,"32,3",,,
05/04/2014 19.00,,,,
05/04/2014 20.00,"36,6",,,
05/04/2014 21.00,,,,
05/04/2014 22.00,"32,1",,,
05/04/2014 23.00,,,,
06/04/2014 0.00,"23,5",,,
06/04/2014 1.00,,,,
06/04/2014 2.00,"18,9",,,
06/04/2014 3.00,,,,
06/04/2014 4.00,"19,5",,,
06/04/2014 5.00,,,,
06/04/2014 6.00,"23,7",,,
06/04/2014 7.00,,,,
06/04/2014 8.00,"22,7",,,
06/04/2014 9.00,,,,
06/04/2014 10.00,"17,8",,,
06/04/2014 11.00,,,,
06/04/2014 12.00,"14,0",,,
06/04/2014 13.00,,,,
06/04/2014 14.00,"10,6",,,
06/04/2014 15.00,,,,
06/04/2014 16.00,"14,6",,,
06/04/2014 17.00,,,,
06/04/2014 18.00,"20,4",,,
06/04/2014 19.00,,,,
06/04/2014 20.00,"18,7",,,
06/04/2014 21.00,,,,
06/04/2014 22.00,"22,6",,,
06/04/2014 23.00,,,,
07/04/2014 0.00,"33,0",,,
07/04/2014 1.00,,,,
07/04/2014 2.00,"38,1",,,
07/04/2014 3.00,,,,
07/04/2014 4.00,"35,2",,,
07/04/2014 5.00,,,,
07/04/2014 6.00,"25,2",,,
07/04/2014 7.00,,,,
07/04/2014 8.00,"15,9",,,
07/04/2014 9.00,,,,
07/04/2014 10.00,"19,0",,,
07/04/2014 11.00,,,,
07/04/2014 12.00,"22,7",,,
07/04/2014 13.00,,,,
07/04/2014 14.00,"28,9",,,
07/04/2014 15.00,,,,
07/04/2014 16.00,"30,7",,,
07/04/2014 17.00,,,,
07/04/2014 18.00,"26,9",,,
07/04/2014 19.00,,,,
07/04/2014 20.00,"37,9",,,
07/04/2014 21.00,,,,
07/04/2014 22.00,"38,0",,,
07/04/2014 23.00,,,,
08/04/2014 0.00,"31,2",,,
08/04/2014 1.00,,,,
08/04/2014 2.00,"35,3",,,
08/04/2014 3.00,,,,
08/04/2014 4.00,"29,8",,,
08/04/2014 5.00,,,,
08/04/2014 6.00,"24,4",,,
08/04/2014 7.00,,,,
08/04/2014 8.00,"26,4",,,
08/04/2014 9.00,,,,
08/04/2014 10.00,"29,7",,,
08/04/2014 11.00,,,,
08/04/2014 12.00,"33,8",,,
08/04/2014 13.00,,,,
08/04/2014 14.00,"38,5",,,
08/04/2014 15.00,,,,
08/04/2014 16.00,"41,9",,,
08/04/2014 17.00,,,,
08/04/2014 18.00,"40,8",,,
08/04/2014 19.00,,,,
08/04/2014 20.00,"28,9",,,
08/04/2014 21.00,,,,
08/04/2014 22.00,"29,4",,,
08/04/2014 23.00,,,,
09/04/2014 0.00,"41,6",,,
09/04/2014 1.00,,,,
09/04/2014 2.00,"35,4",,,
09/04/2014 3.00,,,,
09/04/2014 4.00,"28,7",,,
09/04/2014 5.00,,,,
09/04/2014 6.00,"27,3",,,
09/04/2014 7.00,,,,
09/04/2014 8.00,"26,5",,,
09/04/2014 9.00,,,,
09/04/2014 10.00,"25,0",,,
09/04/2014 11.00,,,,
09/04/2014 12.00,"22,3",,,
09/04/2014 13.00,,,,
09/04/2014 14.00,"30,4",,,
09/04/2014 15.00,,,,
09/04/2014 16.00,"46,9",,,
09/04/2014 17.00,,,,
09/04/2014 18.00,"53,3",,,
09/04/2014 19.00,,,,
09/04/2014 20.00,"38,1",,,
09/04/2014 21.00,,,,
09/04/2014 22.00,"37,5",,,
09/04/2014 23.00,,,,
10/04/2014 0.00,"36,1",,,
10/04/2014 1.00,,,,
10/04/2014 2.00,"20,4",,,
10/04/2014 3.00,,,,
10/04/2014 4.00,"13,0",,,
10/04/2014 5.00,,,,
10/04/2014 6.00,"9,5",,,
10/04/2014 7.00,,,,
10/04/2014 8.00,"16,1",,,
10/04/2014 9.00,,,,
10/04/2014 10.00,"17,0",,,
10/04/2014 11.00,,,,
10/04/2014 12.00,"18,3",,,
10/04/2014 13.00,,,,
10/04/2014 14.00,"21,4",,,
10/04/2014 15.00,,,,
10/04/2014 16.00,"17,1",,,
10/04/2014 17.00,,,,
10/04/2014 18.00,"17,6",,,
10/04/2014 19.00,,,,
10/04/2014 20.00,"16,5",,,
10/04/2014 21.00,,,,
10/04/2014 22.00,"23,1",,,
10/04/2014 23.00,,,,
11/04/2014 0.00,"25,1",,,
11/04/2014 1.00,,,,
11/04/2014 2.00,"19,0",,,
11/04/2014 3.00,,,,
11/04/2014 4.00,"16,8",,,
11/04/2014 5.00,,,,
11/04/2014 6.00,"18,4",,,
11/04/2014 7.00,,,,
11/04/2014 8.00,"17,3",,,
11/04/2014 9.00,,,,
11/04/2014 10.00,"14,4",,,
11/04/2014 11.00,,,,
11/04/2014 12.00,"11,3",,,
11/04/2014 13.00,,,,
11/04/2014 14.00,"10,2",,,
11/04/2014 15.00,,,,
11/04/2014 16.00,"17,8",,,
11/04/2014 17.00,,,,
11/04/2014 18.00,"17,0",,,
11/04/2014 19.00,,,,
11/04/2014 20.00,"11,7",,,
11/04/2014 21.00,,,,
11/04/2014 22.00,"13,7",,,
11/04/2014 23.00,,,,
12/04/2014 0.00,"13,8",,,
12/04/2014 1.00,,,,
12/04/2014 2.00,"19,5",,,
12/04/2014 3.00,,,,
12/04/2014 4.00,"22,5",,,
12/04/2014 5.00,,,,
12/04/2014 6.00,"19,9",,,
12/04/2014 7.00,,,,
12/04/2014 8.00,"20,2",,,
12/04/2014 9.00,,,,
12/04/2014 10.00,"28,4",,,
12/04/2014 11.00,,,,
12/04/2014 12.00,"29,5",,,
12/04/2014 13.00,,,,
12/04/2014 14.00,"19,7",,,
12/04/2014 15.00,,,,
12/04/2014 16.00,"16,2",,,
12/04/2014 17.00,,,,
12/04/2014 18.00,"17,7",,,
12/04/2014 19.00,,,,
12/04/2014 20.00,"15,8",,,
12/04/2014 21.00,,,,
12/04/2014 22.00,"16,6",,,
12/04/2014 23.00,,,,
13/04/2014 0.00,"16,8",,,
13/04/2014 1.00,,,,
13/04/2014 2.00,"21,0",,,
13/04/2014 3.00,,,,
13/04/2014 4.00,"20,5",,,
13/04/2014 5.00,,,,
13/04/2014 6.00,"10,6",,,
13/04/2014 7.00,,,,
13/04/2014 8.00,"12,4",,,
13/04/2014 9.00,,,,
13/04/2014 10.00,"19,0",,,
13/04/2014 11.00,,,,
13/04/2014 12.00,"29,6",,,
13/04/2014 13.00,,,,
13/04/2014 14.00,"27,9",,,
13/04/2014 15.00,,,,
13/04/2014 16.00,"16,8",,,
13/04/2014 17.00,,,,
13/04/2014 18.00,"13,9",,,
13/04/2014 19.00,,,,
13/04/2014 20.00,"11,0",,,
13/04/2014 21.00,,,,
13/04/2014 22.00,"7,3",,,
13/04/2014 23.00,,,,
14/04/2014 0.00,"4,7",,,
14/04/2014 1.00,,,,
14/04/2014 2.00,"5,4",,,
14/04/2014 3.00,,,,
14/04/2014 4.00,"7,2",,,
14/04/2014 5.00,,,,
14/04/2014 6.00,"8,0",,,
14/04/2014 7.00,,,,
14/04/2014 8.00,"8,9",,,
14/04/2014 9.00,,,,
14/04/2014 10.00,"8,3",,,
14/04/2014 11.00,,,,
14/04/2014 12.00,"9,5",,,
14/04/2014 13.00,,,,
14/04/2014 14.00,"10,1",,,
14/04/2014 15.00,,,,
14/04/2014 16.00,"8,6",,,
14/04/2014 17.00,,,,
14/04/2014 18.00,"12,4",,,
14/04/2014 19.00,,,,
14/04/2014 20.00,"13,8",,,
14/04/2014 21.00,,,,
14/04/2014 22.00,"13,1",,,
14/04/2014 23.00,,,,
15/04/2014 0.00,"19,5",,,
15/04/2014 1.00,,,,
15/04/2014 2.00,"21,0",,,
15/04/2014 3.00,,,,
15/04/2014 4.00,"16,6",,,
15/04/2014 5.00,,,,
15/04/2014 6.00,"12,1",,,
15/04/2014 7.00,,,,
15/04/2014 8.00,"9,4",,,
15/04/2014 9.00,,,,
15/04/2014 10.00,"9,2",,,
15/04/2014 11.00,,,,
15/04/2014 12.00,"6,4",,,
15/04/2014 13.00,,,,
15/04/2014 14.00,"6,1",,,
15/04/2014 15.00,,,,
15/04/2014 16.00,"7,0",,,
15/04/2014 17.00,,,,
15/04/2014 18.00,"7,7",,,
15/04/2014 19.00,,,,
15/04/2014 20.00,"7,8",,,
15/04/2014 21.00,,,,
15/04/2014 22.00,"7,4",,,
15/04/2014 23.00,,,,
16/04/2014 0.00,"7,7",,,
16/04/2014 1.00,,,,
16/04/2014 2.00,"9,5",,,
16/04/2014 3.00,,,,
16/04/2014 4.00,"9,4",,,
16/04/2014 5.00,,,,
16/04/2014 6.00,"8,5",,,
16/04/2014 7.00,,,,
16/04/2014 8.00,"8,1",,,
16/04/2014 9.00,,,,
16/04/2014 10.00,"8,3",,,
16/04/2014 11.00,,,,
16/04/2014 12.00,"9,8",,,
16/04/2014 13.00,,,,
16/04/2014 14.00,"8,9",,,
16/04/2014 15.00,,,,
16/04/2014 16.00,"8,6",,,
16/04/2014 17.00,,,,
16/04/2014 18.00,"7,6",,,
16/04/2014 19.00,,,,
16/04/2014 20.00,"5,3",,,
16/04/2014 21.00,,,,
16/04/2014 22.00,"10,3",,,
16/04/2014 23.00,,,,
17/04/2014 0.00,"11,4",,,
17/04/2014 1.00,,,,
17/04/2014 2.00,"10,9",,,
17/04/2014 3.00,,,,
17/04/2014 4.00,"10,6",,,
17/04/2014 5.00,,,,
17/04/2014 6.00,"12,4",,,
17/04/2014 7.00,,,,
17/04/2014 8.00,"15,2",,,
17/04/2014 9.00,,,,
17/04/2014 10.00,"12,5",,,
17/04/2014 11.00,,,,
17/04/2014 12.00,"10,5",,,
17/04/2014 13.00,,,,
17/04/2014 14.00,"7,3",,,
17/04/2014 15.00,,,,
17/04/2014 16.00,"5,1",,,
17/04/2014 17.00,,,,
17/04/2014 18.00,"5,2",,,
17/04/2014 19.00,,,,
17/04/2014 20.00,"4,2",,,
17/04/2014 21.00,,,,
17/04/2014 22.00,"2,7",,,
17/04/2014 23.00,,,,
18/04/2014 0.00,"2,7",,,
18/04/2014 1.00,,,,
18/04/2014 2.00,"7,1",,,
18/04/2014 3.00,,,,
18/04/2014 4.00,"8,7",,,
18/04/2014 5.00,,,,
18/04/2014 6.00,"11,2",,,
18/04/2014 7.00,,,,
18/04/2014 8.00,"13,1",,,
18/04/2014 9.00,,,,
18/04/2014 10.00,"9,2",,,
18/04/2014 11.00,,,,
18/04/2014 12.00,"7,5",,,
18/04/2014 13.00,,,,
18/04/2014 14.00,"8,3",,,
18/04/2014 15.00,,,,
18/04/2014 16.00,"8,8",,,
18/04/2014 17.00,,,,
18/04/2014 18.00,"9,2",,,
18/04/2014 19.00,,,,
18/04/2014 20.00,"8,6",,,
18/04/2014 21.00,,,,
18/04/2014 22.00,"9,0",,,
18/04/2014 23.00,,,,
19/04/2014 0.00,"7,9",,,
19/04/2014 1.00,,,,
19/04/2014 2.00,"11,9",,,
19/04/2014 3.00,,,,
19/04/2014 4.00,"14,4",,,
19/04/2014 5.00,,,,
19/04/2014 6.00,"9,6",,,
19/04/2014 7.00,,,,
19/04/2014 8.00,"9,7",,,
19/04/2014 9.00,,,,
19/04/2014 10.00,"9,6",,,
19/04/2014 11.00,,,,
19/04/2014 12.00,"6,4",,,
19/04/2014 13.00,,,,
19/04/2014 14.00,"3,6",,,
19/04/2014 15.00,,,,
19/04/2014 16.00,"11,4",,,
19/04/2014 17.00,,,,
19/04/2014 18.00,"16,3",,,
19/04/2014 19.00,,,,
19/04/2014 20.00,"12,7",,,
19/04/2014 21.00,,,,
19/04/2014 22.00,"17,2",,,
19/04/2014 23.00,,,,
20/04/2014 0.00,"19,0",,,
20/04/2014 1.00,,,,
20/04/2014 2.00,"20,1",,,
20/04/2014 3.00,,,,
20/04/2014 4.00,"22,3",,,
20/04/2014 5.00,,,,
20/04/2014 6.00,"23,0",,,
20/04/2014 7.00,,,,
20/04/2014 8.00,"22,9",,,
20/04/2014 9.00,,,,
20/04/2014 10.00,"19,2",,,
20/04/2014 11.00,,,,
20/04/2014 12.00,"21,8",,,
20/04/2014 13.00,,,,
20/04/2014 14.00,"19,7",,,
20/04/2014 15.00,,,,
20/04/2014 16.00,"16,8",,,
20/04/2014 17.00,,,,
20/04/2014 18.00,"19,3",,,
20/04/2014 19.00,,,,
20/04/2014 20.00,"24,2",,,
20/04/2014 21.00,,,,
20/04/2014 22.00,"35,3",,,
20/04/2014 23.00,,,,
21/04/2014 0.00,"33,9",,,
21/04/2014 1.00,,,,
21/04/2014 2.00,"33,5",,,
21/04/2014 3.00,,,,
21/04/2014 4.00,"30,6",,,
21/04/2014 5.00,,,,
21/04/2014 6.00,"24,2",,,
21/04/2014 7.00,,,,
21/04/2014 8.00,"27,4",,,
21/04/2014 9.00,,,,
21/04/2014 10.00,"23,1",,,
21/04/2014 11.00,,,,
21/04/2014 12.00,"14,5",,,
21/04/2014 13.00,,,,
21/04/2014 14.00,"23,3",,,
21/04/2014 15.00,,,,
21/04/2014 16.00,"26,3",,,
21/04/2014 17.00,,,,
21/04/2014 18.00,"21,9",,,
21/04/2014 19.00,,,,
21/04/2014 20.00,"25,4",,,
21/04/2014 21.00,,,,
21/04/2014 22.00,"40,4",,,
21/04/2014 23.00,,,,
22/04/2014 0.00,"50,8",,,
22/04/2014 1.00,,,,
22/04/2014 2.00,"54,0",,,
22/04/2014 3.00,,,,
22/04/2014 4.00,"50,4",,,
22/04/2014 5.00,,,,
22/04/2014 6.00,"35,0",,,
22/04/2014 7.00,,,,
22/04/2014 8.00,"32,0",,,
22/04/2014 9.00,,,,
22/04/2014 10.00,"30,4",,,
22/04/2014 11.00,,,,
22/04/2014 12.00,"23,0",,,
22/04/2014 13.00,,,,
22/04/2014 14.00,"21,7",,,
22/04/2014 15.00,,,,
22/04/2014 16.00,"30,2",,,
22/04/2014 17.00,,,,
22/04/2014 18.00,"38,8",,,
22/04/2014 19.00,,,,
22/04/2014 20.00,"48,0",,,
22/04/2014 21.00,,,,
22/04/2014 22.00,"50,6",,,
22/04/2014 23.00,,,,
23/04/2014 0.00,"59,3",,,
23/04/2014 1.00,,,,
23/04/2014 2.00,"67,2",,,
23/04/2014 3.00,,,,
23/04/2014 4.00,"57,3",,,
23/04/2014 5.00,,,,
23/04/2014 6.00,"52,3",,,
23/04/2014 7.00,,,,
23/04/2014 8.00,"47,7",,,
23/04/2014 9.00,,,,
23/04/2014 10.00,"46,8",,,
23/04/2014 11.00,,,,
23/04/2014 12.00,"43,1",,,
23/04/2014 13.00,,,,
23/04/2014 14.00,"27,5",,,
23/04/2014 15.00,,,,
23/04/2014 16.00,"27,7",,,
23/04/2014 17.00,,,,
23/04/2014 18.00,"27,7",,,
23/04/2014 19.00,,,,
23/04/2014 20.00,"29,1",,,
23/04/2014 21.00,,,,
23/04/2014 22.00,"31,4",,,
23/04/2014 23.00,,,,
24/04/2014 0.00,"28,3",,,
24/04/2014 1.00,,,,
24/04/2014 2.00,"33,8",,,
24/04/2014 3.00,,,,
24/04/2014 4.00,"32,7",,,
24/04/2014 5.00,,,,
24/04/2014 6.00,"30,2",,,
24/04/2014 7.00,,,,
24/04/2014 8.00,"28,2",,,
24/04/2014 9.00,,,,
24/04/2014 10.00,"20,1",,,
24/04/2014 11.00,,,,
24/04/2014 12.00,"17,6",,,
24/04/2014 13.00,,,,
24/04/2014 14.00,"15,7",,,
24/04/2014 15.00,,,,
24/04/2014 16.00,"21,1",,,
24/04/2014 17.00,,,,
24/04/2014 18.00,"24,9",,,
24/04/2014 19.00,,,,
24/04/2014 20.00,"24,4",,,
24/04/2014 21.00,,,,
24/04/2014 22.00,"25,2",,,
24/04/2014 23.00,,,,
25/04/2014 0.00,"19,4",,,
25/04/2014 1.00,,,,
25/04/2014 2.00,"12,6",,,
25/04/2014 3.00,,,,
25/04/2014 4.00,"9,3",,,
25/04/2014 5.00,,,,
25/04/2014 6.00,"9,1",,,
25/04/2014 7.00,,,,
25/04/2014 8.00,"10,4",,,
25/04/2014 9.00,,,,
25/04/2014 10.00,"12,9",,,
25/04/2014 11.00,,,,
25/04/2014 12.00,"11,6",,,
25/04/2014 13.00,,,,
25/04/2014 14.00,"10,2",,,
25/04/2014 15.00,,,,
25/04/2014 16.00,"11,2",,,
25/04/2014 17.00,,,,
25/04/2014 18.00,"11,0",,,
25/04/2014 19.00,,,,
25/04/2014 20.00,"8,1",,,
25/04/2014 21.00,,,,
25/04/2014 22.00,"14,7",,,
25/04/2014 23.00,,,,
26/04/2014 0.00,"25,9",,,
26/04/2014 1.00,,,,
26/04/2014 2.00,"28,2",,,
26/04/2014 3.00,,,,
26/04/2014 4.00,"21,8",,,
26/04/2014 5.00,,,,
26/04/2014 6.00,"12,3",,,
26/04/2014 7.00,,,,
26/04/2014 8.00,"7,4",,,
26/04/2014 9.00,,,,
26/04/2014 10.00,"14,3",,,
26/04/2014 11.00,,,,
26/04/2014 12.00,"30,9",,,
26/04/2014 13.00,,,,
26/04/2014 14.00,"30,0",,,
26/04/2014 15.00,,,,
26/04/2014 16.00,"16,5",,,
26/04/2014 17.00,,,,
26/04/2014 18.00,"13,0",,,
26/04/2014 19.00,,,,
26/04/2014 20.00,"12,7",,,
26/04/2014 21.00,,,,
26/04/2014 22.00,"10,0",,,
26/04/2014 23.00,,,,
27/04/2014 0.00,"15,8",,,
27/04/2014 1.00,,,,
27/04/2014 2.00,"18,8",,,
27/04/2014 3.00,,,,
27/04/2014 4.00,"16,6",,,
27/04/2014 5.00,,,,
27/04/2014 6.00,"14,1",,,
27/04/2014 7.00,,,,
27/04/2014 8.00,"12,9",,,
27/04/2014 9.00,,,,
27/04/2014 10.00,"20,8",,,
27/04/2014 11.00,,,,
27/04/2014 12.00,"21,9",,,
27/04/2014 13.00,,,,
27/04/2014 14.00,"14,4",,,
27/04/2014 15.00,,,,
27/04/2014 16.00,"19,8",,,
27/04/2014 17.00,,,,
27/04/2014 18.00,"21,4",,,
27/04/2014 19.00,,,,
27/04/2014 20.00,"20,8",,,
27/04/2014 21.00,,,,
27/04/2014 22.00,"21,4",,,
27/04/2014 23.00,,,,
28/04/2014 0.00,"14,2",,,
28/04/2014 1.00,,,,
28/04/2014 2.00,"12,5",,,
28/04/2014 3.00,,,,
28/04/2014 4.00,"16,8",,,
28/04/2014 5.00,,,,
28/04/2014 6.00,"17,2",,,
28/04/2014 7.00,,,,
28/04/2014 8.00,"13,4",,,
28/04/2014 9.00,,,,
28/04/2014 10.00,"11,7",,,
28/04/2014 11.00,,,,
28/04/2014 12.00,"8,4",,,
28/04/2014 13.00,,,,
28/04/2014 14.00,"6,9",,,
28/04/2014 15.00,,,,
28/04/2014 16.00,"8,8",,,
28/04/2014 17.00,,,,
28/04/2014 18.00,"9,4",,,
28/04/2014 19.00,,,,
28/04/2014 20.00,"12,6",,,
28/04/2014 21.00,,,,
28/04/2014 22.00,"17,9",,,
28/04/2014 23.00,,,,
29/04/2014 0.00,"25,7",,,
29/04/2014 1.00,,,,
29/04/2014 2.00,"25,8",,,
29/04/2014 3.00,,,,
29/04/2014 4.00,"17,0",,,
29/04/2014 5.00,,,,
29/04/2014 6.00,"11,4",,,
29/04/2014 7.00,,,,
29/04/2014 8.00,"9,7",,,
29/04/2014 9.00,,,,
29/04/2014 10.00,"7,3",,,
29/04/2014 11.00,,,,
29/04/2014 12.00,"3,8",,,
29/04/2014 13.00,,,,
29/04/2014 14.00,"7,5",,,
29/04/2014 15.00,,,,
29/04/2014 16.00,"19,9",,,
29/04/2014 17.00,,,,
29/04/2014 18.00,"20,8",,,
29/04/2014 19.00,,,,
29/04/2014 20.00,"12,8",,,
29/04/2014 21.00,,,,
29/04/2014 22.00,"8,8",,,
29/04/2014 23.00,,,,
30/04/2014 0.00,"8,7",,,
30/04/2014 1.00,,,,
30/04/2014 2.00,"8,5",,,
30/04/2014 3.00,,,,
30/04/2014 4.00,"5,3",,,
30/04/2014 5.00,,,,
30/04/2014 6.00,"7,5",,,
30/04/2014 7.00,,,,
30/04/2014 8.00,"11,2",,,
30/04/2014 9.00,,,,
30/04/2014 10.00,"9,7",,,
30/04/2014 11.00,,,,
30/04/2014 12.00,"8,2",,,
30/04/2014 13.00,,,,
30/04/2014 14.00,"7,9",,,
30/04/2014 15.00,,,,
30/04/2014 16.00,"8,8",,,
30/04/2014 17.00,,,,
30/04/2014 18.00,"11,9",,,
30/04/2014 19.00,,,,
30/04/2014 20.00,"11,9",,,
30/04/2014 21.00,,,,
30/04/2014 22.00,"10,0",,,
30/04/2014 23.00,,,,
01/05/2014 0.00,"9,3",,,
01/05/2014 1.00,,,,
01/05/2014 2.00,"10,7",,,
01/05/2014 3.00,,,,
01/05/2014 4.00,"11,2",,,
01/05/2014 5.00,,,,
01/05/2014 6.00,"11,4",,,
01/05/2014 7.00,,,,
01/05/2014 8.00,"13,5",,,
01/05/2014 9.00,,,,
01/05/2014 10.00,"11,7",,,
01/05/2014 11.00,,,,
01/05/2014 12.00,"7,2",,,
01/05/2014 13.00,,,,
01/05/2014 14.00,"7,3",,,
01/05/2014 15.00,,,,
01/05/2014 16.00,"8,9",,,
01/05/2014 17.00,,,,
01/05/2014 18.00,"10,8",,,
01/05/2014 19.00,,,,
01/05/2014 20.00,"26,8",,,
01/05/2014 21.00,,,,
01/05/2014 22.00,"32,1",,,
01/05/2014 23.00,,,,
02/05/2014 0.00,"18,8",,,
02/05/2014 1.00,,,,
02/05/2014 2.00,"11,6",,,
02/05/2014 3.00,,,,
02/05/2014 4.00,"7,6",,,
02/05/2014 5.00,,,,
02/05/2014 6.00,"4,7",,,
02/05/2014 7.00,,,,
02/05/2014 8.00,"4,5",,,
02/05/2014 9.00,,,,
