Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
02/03/2014 0.00,"16,922276","3,960422","10,849841","0,4","54,8","0,7"
02/03/2014 1.00,"18,630391","4,802922","11,388734","0,3","46,0","0,6"
02/03/2014 2.00,"16,935895","4,418045","10,161796","0,3","45,0","0,5"
02/03/2014 3.00,"16,570796","3,944773","10,522355","0,3","39,5","0,5"
02/03/2014 4.00,"14,163611","3,667746","8,572354","0,3","35,9","0,5"
02/03/2014 5.00,"16,694658","3,849611","10,798611","0,3","30,3","0,5"
02/03/2014 6.00,"17,843777","3,768829","12,065106","0,4","25,1","0,5"
02/03/2014 7.00,"23,449934","4,928957","15,892478","0,4","23,2","0,8"
02/03/2014 8.00,"29,443901","8,345899","16,770531","0,4","19,3","0,8"
02/03/2014 9.00,"28,317484","7,833719","16,438505","0,4","29,0","1,0"
02/03/2014 10.00,"19,281467","4,815186","11,898444","0,4","53,6","0,9"
02/03/2014 11.00,"17,89825","5,621735","9,776514","0,3","69,0","0,7"
02/03/2014 12.00,"15,202487","5,956281","6,667098","0,3","85,5","0,7"
02/03/2014 13.00,"17,544824","5,743965","9,084009","0,3","90,0","0,6"
02/03/2014 14.00,"11,238285","5,327791","4,245118","0,2","99,8","0,6"
02/03/2014 15.00,"9,868681","4,030207","3,946045","0,3","99,2","0,4"
02/03/2014 16.00,"13,699943","4,971674","6,504327","0,3","90,5","0,5"
02/03/2014 17.00,"17,321745","5,056686","9,626795","0,3","84,1","0,6"
02/03/2014 18.00,"22,541409","6,662171","12,951249","0,3","69,7","0,8"
02/03/2014 19.00,"32,35884","11,632576","16,736908","0,3","54,0","0,6"
02/03/2014 20.00,"41,141305","10,447918","25,137312","0,4","38,1","0,8"
02/03/2014 21.00,"34,969656","8,399614","22,097193","0,4","41,0","0,8"
02/03/2014 22.00,"34,301068","7,470411","22,846851","0,4","34,3","0,8"
02/03/2014 23.00,"84,316963","35,535946","34,107574","0,4","28,3","0,9"
03/03/2014 0.00,"51,90881","14,731883","29,410843","0,4","27,2","0,9"
03/03/2014 1.00,"33,003453","5,751155","24,185327","0,4","28,8","0,8"
03/03/2014 2.00,"32,393886","4,836756","24,977775","0,7","19,8","1,0"
03/03/2014 3.00,"23,298847","4,017942","17,138222",,"24,2","1,0"
03/03/2014 4.00,"17,614213","3,509567","12,233064","0,4",,"0,8"
03/03/2014 5.00,"15,732301","3,44105","10,45621","0,4","40,1","0,7"
03/03/2014 6.00,"16,418402","3,427517","11,16306","0,4","40,1","0,6"
03/03/2014 7.00,"18,251026","3,55609","12,798545","0,3","42,6","0,6"
03/03/2014 8.00,"21,832611","4,182467","15,435295","0,3","48,0","0,6"
03/03/2014 9.00,"28,021124","6,339467","18,300961","0,4","49,4","0,7"
03/03/2014 10.00,"25,363635","5,299454","17,23809","0,4","54,2","0,7"
03/03/2014 11.00,"20,948733","4,865516","13,489833","0,4","61,7","0,6"
03/03/2014 12.00,"19,273687","3,923203","13,258322","0,3","62,6","0,6"
03/03/2014 13.00,"20,673767","4,252251","14,153883","0,3","62,9","0,6"
03/03/2014 14.00,"19,787938","4,221377","13,31539","0,4","65,7","0,6"
03/03/2014 15.00,"17,432636","3,711733","11,741511","0,3","69,9","0,7"
03/03/2014 16.00,"17,429394","3,872873","11,491194","0,4","70,0","0,7"
03/03/2014 17.00,"19,314546","4,053469","13,105928","0,4","68,5","0,7"
03/03/2014 18.00,"22,730773","3,628836","17,166755","0,5","61,5","0,9"
03/03/2014 19.00,"48,407633","8,946053","34,697291","0,8","44,0","1,4"
03/03/2014 20.00,"64,866858","12,249647","46,084743","1,0","25,6","2,0"
03/03/2014 21.00,"65,118476","16,947678","39,197166","0,9","21,1","2,4"
03/03/2014 22.00,"52,193487","13,73967","31,126729","0,9","20,9","2,1"
03/03/2014 23.00,"28,591149","6,829656","18,169966","0,5","34,7","1,4"
04/03/2014 0.00,"20,100512","4,936993","12,923519","0,4","47,7","1,0"
04/03/2014 1.00,"20,444193","5,745233","12,483517","0,4","44,4","0,8"
04/03/2014 2.00,"16,013096","3,956192","10,04442","0,3","47,7","0,6"
04/03/2014 3.00,"14,323139","4,664196","8,709783","0,3","48,9","0,6"
04/03/2014 4.00,"11,435425","4,467951","5,740642","0,3","58,5","0,7"
04/03/2014 5.00,"9,355078","3,150489","4,539411","0,3","66,7","0,6"
04/03/2014 6.00,"7,918678","3,981569","2,607947","0,3","75,1","0,5"
04/03/2014 7.00,"10,718846","6,131379","4,459916","0,3","79,1","0,4"
04/03/2014 8.00,"21,140028","9,98945","10,242446","0,3","65,5","0,3"
04/03/2014 9.00,"49,907557","16,56238","25,637587","0,5","38,9","0,8"
04/03/2014 10.00,"43,003136","13,148817","23,076405","0,5","44,9","0,8"
04/03/2014 11.00,"38,70301","13,064233","20,532891","0,4","44,6","0,9"
04/03/2014 12.00,"41,449978","12,95426","22,226884","0,4","48,7","0,8"
04/03/2014 13.00,"35,115582","13,455441","16,740398","0,4","60,2","0,6"
04/03/2014 14.00,"35,057837","13,134439","16,995295","0,4","79,7","0,6"
04/03/2014 15.00,"20,118657","7,331686","10,041191","0,3","90,9","0,6"
04/03/2014 16.00,"16,661585","6,936659","8,035029","0,3","93,7","0,5"
04/03/2014 17.00,"19,094059","7,066925","10,043135","0,5","95,6","0,4"
04/03/2014 18.00,"27,421272","8,753616","14,714826","0,4","76,2","0,4"
04/03/2014 19.00,"34,798477","10,392089","19,243859","0,4","55,7","0,8"
04/03/2014 20.00,"39,544747","10,199228","24,066649","0,5","44,4","0,9"
04/03/2014 21.00,"28,674799","8,262581","16,242662","0,4","56,5","0,8"
04/03/2014 22.00,"25,8072","5,941056","16,709572","0,4","56,1","0,6"
04/03/2014 23.00,"29,661791","4,558461","22,6724","0,6","40,9","0,8"
05/03/2014 0.00,"80,424723","29,711621","35,842581","0,5","30,1","1,0"
05/03/2014 1.00,"29,454933","5,749041","20,64004","0,4","31,4","0,7"
05/03/2014 2.00,"22,338431","5,022004","14,638304","0,4","34,4","0,7"
05/03/2014 3.00,"18,32236","3,764601","12,550175",,"37,6","0,7"
05/03/2014 4.00,"24,437578","6,128841","15,166821","0,4",,"0,7"
05/03/2014 5.00,"19,318426","3,831848","13,443141","0,4","25,9","0,7"
05/03/2014 6.00,"26,129487","8,009239","14,197334","0,4","26,6","0,7"
05/03/2014 7.00,"36,288018","10,639934","20,003879","0,4","27,3","0,6"
05/03/2014 8.00,"78,054511","26,806435","37,073353","0,7","17,9","0,8"
05/03/2014 9.00,"164,076996","71,749012","54,397049","1,5","12,3","2,5"
05/03/2014 10.00,"52,889302","19,545378","23,344888","0,6","45,2","1,8"
05/03/2014 11.00,"40,669213","13,242703","20,719158","0,5","62,8","0,8"
05/03/2014 12.00,"30,789527","11,103477","16,061076","0,3","73,9","0,7"
05/03/2014 13.00,"25,303311","10,417466","12,679195","0,4","83,3","0,4"
05/03/2014 14.00,"26,594447","9,139338","13,755012","0,3","80,2","0,5"
05/03/2014 15.00,"30,087862","13,524388","14,838508","0,4","76,0","0,5"
05/03/2014 16.00,"34,760849","9,699735","20,423772","0,4","63,7","0,6"
05/03/2014 17.00,"37,215358","8,569636","24,229417","0,5","47,8","0,6"
05/03/2014 18.00,"29,767506","4,071233","23,52517","0,6","47,0","1,0"
05/03/2014 19.00,"44,556253","5,87127","35,553944","0,7","34,0","1,4"
05/03/2014 20.00,"39,60182","5,516","31,185732","0,7","35,6","1,6"
05/03/2014 21.00,"31,722049","4,164702","25,33639","0,6","42,4","1,4"
05/03/2014 22.00,"31,302478","4,591027","24,312436","0,6","44,2","1,2"
05/03/2014 23.00,"24,848084","3,667746","19,224394","0,6","44,9","1,2"
06/03/2014 0.00,"20,036956","3,562857","14,574103","0,5","49,2","0,9"
06/03/2014 1.00,"17,773092","3,604305","12,246683","0,4","52,9","0,7"
06/03/2014 2.00,"15,380174","3,597115","9,86479","0,3","53,6","0,6"
06/03/2014 3.00,"14,542976","3,558205","9,087254","0,3","51,7","0,5"
06/03/2014 4.00,"15,454749","3,518872","10,059336","0,3","45,7","0,4"
06/03/2014 5.00,"16,527348","3,573008","11,048928","0,3","44,4","0,4"
06/03/2014 6.00,"16,779609","3,55609","11,327128","0,3","45,9","0,6"
06/03/2014 7.00,"21,0246","3,67113","15,395737","0,3","41,4","0,5"
06/03/2014 8.00,"33,127961","5,263926","25,056893","0,4","31,9","0,5"
06/03/2014 9.00,"36,356145","7,539351","24,796193","0,5","37,2","0,7"
06/03/2014 10.00,"30,572917","5,613699","21,965553","0,5","48,0","0,6"
06/03/2014 11.00,"23,957703","4,492482","17,069483","0,9","54,0","0,5"
06/03/2014 12.00,"22,117308","4,582145","15,091597","0,4","55,9","0,6"
06/03/2014 13.00,"21,438988","4,554654","14,455431","0,4","55,8","0,7"
06/03/2014 14.00,"21,542733","4,527164","14,601339","0,4","57,9","0,8"
06/03/2014 15.00,"19,446837","4,064888","13,243408","0,4","59,1","0,9"
06/03/2014 16.00,"19,494808","4,32246","12,867286","0,5","60,6","0,8"
06/03/2014 17.00,"21,575159","4,338108","14,92364","0,5","56,6","0,9"
06/03/2014 18.00,"23,981049","4,055161","17,763362","0,6","49,9","0,9"
06/03/2014 19.00,"30,983423","4,494597","24,091946","0,6","41,1","1,3"
06/03/2014 20.00,"34,481981","4,679422","27,307144","0,7","36,1","1,4"
06/03/2014 21.00,"36,077278","4,747093","28,798659","0,8","34,4","1,5"
06/03/2014 22.00,"39,459797","5,605663","30,864747","0,9","29,4","1,6"
06/03/2014 23.00,"28,877126","4,530547","21,930543","0,7","31,0","1,5"
07/03/2014 0.00,"22,506399","4,148208","16,146037","0,6","32,6","1,2"
07/03/2014 1.00,"20,691931","3,972265","14,601339","0,5","32,9","1,0"
07/03/2014 2.00,"18,859308","3,7388","13,126679","0,5","34,3","0,8"
07/03/2014 3.00,"18,062965","3,748952","12,314775",,"33,9","0,5"
07/03/2014 4.00,"18,042862","3,751488","12,29078","0,4",,"0,4"
07/03/2014 5.00,"18,210172","3,9084","12,2175","0,4","30,5","0,4"
07/03/2014 6.00,"26,158663","6,064978","16,859373","0,5","26,6","0,5"
07/03/2014 7.00,"51,233702","14,412564","29,309028","1,2","13,0","0,6"
07/03/2014 8.00,"65,578905","22,221739","31,567692","0,7","12,1","0,6"
07/03/2014 9.00,"78,938412","25,786302","39,400773","0,9","14,7","0,7"
07/03/2014 10.00,"49,818727","14,810132","27,110648","0,7","22,5","0,9"
07/03/2014 11.00,"33,967101","9,225195","19,822295","0,5","38,7","0,6"
07/03/2014 12.00,"32,345897","7,766471","20,437712","0,5","45,9","0,5"
07/03/2014 13.00,"35,666792","9,385489","21,412391","0,5","53,5","0,5"
07/03/2014 14.00,"36,413849","8,233397","23,791053","0,5","53,5","0,5"
07/03/2014 15.00,"33,142205","8,232129","20,992765","0,5","51,6","0,5"
07/03/2014 16.00,"35,344465","8,131046","22,896142","0,5","55,5","0,5"
07/03/2014 17.00,"41,636114","9,542823","27,048395","0,5","48,3","0,5"
07/03/2014 18.00,"56,120065","13,444032","35,769389","0,6","33,9","0,6"
07/03/2014 19.00,"49,757121","6,715037","39,461099","0,8","30,3","0,7"
07/03/2014 20.00,"61,455827","11,211326","44,367539","1,0","23,5","1,1"
07/03/2014 21.00,"46,935564","10,202613","31,30118","0,7","27,2","1,0"
07/03/2014 22.00,"36,880088","5,771456","28,030856","0,7","38,5","0,8"
07/03/2014 23.00,"30,860845","4,922614","23,313112","0,6","40,3","0,7"
08/03/2014 0.00,"25,096452","4,479794","18,227681","0,6","42,5","0,6"
08/03/2014 1.00,"22,351393","4,297506","15,762131","0,5","41,4","0,5"
08/03/2014 2.00,"20,478572","4,36433","13,786839","0,5","42,2","0,5"
08/03/2014 3.00,"18,730259","4,217571","12,263543","0,4","44,2","0,4"
08/03/2014 4.00,"19,525287","4,327535","12,889981","0,4","41,2","0,4"
08/03/2014 5.00,"18,923507","4,288624","12,347846","0,4","37,3","0,3"
08/03/2014 6.00,"19,275636","4,383363","12,554714","0,4","34,6","0,3"
08/03/2014 7.00,"21,033031","4,739903","13,76544","0,4","32,1","0,3"
08/03/2014 8.00,"25,501109","5,675026","16,799713","0,4","28,7","0,3"
08/03/2014 9.00,"29,030182","6,986144","18,318469","0,9","29,1","0,4"
08/03/2014 10.00,"24,852615","5,971931","15,695986","0,5","38,3","0,4"
08/03/2014 11.00,"23,480411","5,828554","14,544922","0,4","44,6","0,4"
08/03/2014 12.00,"21,631584","5,284229","13,52939","0,4","51,3","0,4"
08/03/2014 13.00,"23,246325","5,335404","15,09484","0,4","59,6","0,4"
08/03/2014 14.00,"20,89684","5,07741","13,111765","0,4","66,8","0,4"
08/03/2014 15.00,"18,088256","4,683651","11,06514","0,4","71,5","0,4"
08/03/2014 16.00,"17,004635","4,301312","10,409519","0,4","74,1","0,4"
08/03/2014 17.00,"18,011734","4,407894","11,2532","0,4","68,5","0,4"
08/03/2014 18.00,"20,977909","4,426503","14,190848","0,5","61,2","0,4"
08/03/2014 19.00,"24,285842","4,746247","17,008526","0,5","51,3","0,4"
08/03/2014 20.00,"25,518621","4,784311","18,182936","0,5","48,4","0,4"
08/03/2014 21.00,"25,040679","5,005086","17,380756","0,5","47,5","0,4"
08/03/2014 22.00,"25,094501","4,508977","18,18099","0,5","46,1","0,4"
08/03/2014 23.00,"22,163349","4,459915","15,325052","0,5","48,9","0,4"
09/03/2014 0.00,"21,368301","4,456109","14,535842","0,5","51,8","0,4"
09/03/2014 1.00,"21,073891","4,321614","14,447649","0,4","46,9","0,3"
09/03/2014 2.00,"17,740668","4,263247","11,203914","0,4","53,0","0,3"
09/03/2014 3.00,"17,238739","4,237871","10,740895",,"51,3","0,3"
09/03/2014 4.00,"17,116823","4,241678","10,613143","0,4",,"0,2"
09/03/2014 5.00,"15,455398","4,185427","9,037969","0,3","53,3","0,2"
09/03/2014 6.00,"15,820497","4,23618","9,325248","0,3","55,9","0,2"
09/03/2014 7.00,"16,793227","4,300466","10,199408","0,3","56,3","0,2"
09/03/2014 8.00,"18,145971","4,601601","11,13323","0,3","53,7","0,2"
09/03/2014 9.00,"17,514346","4,715795","10,295383","0,3","59,6","0,3"
09/03/2014 10.00,"17,609024","4,709451","10,411463","0,3","65,0","0,2"
09/03/2014 11.00,"19,349554","6,45366","11,022668","0,3","71,5","0,3"
09/03/2014 12.00,"17,407993","4,583837","10,381634","0,4","74,4","0,3"
09/03/2014 13.00,"19,498059","4,94672","11,943191","0,4","77,5","0,3"
09/03/2014 14.00,"16,64213","4,421851","9,863492","0,4","79,5","0,3"
09/03/2014 15.00,"15,445668","4,149053","9,084009","0,4","79,8","0,3"
09/03/2014 16.00,"16,487141","4,201921","10,04442","0,4","80,6","0,3"
09/03/2014 17.00,"18,01822","4,336839","11,369928","0,4","79,1","0,3"
09/03/2014 18.00,"21,933774","4,280588","15,370446","0,5","68,4","0,3"
09/03/2014 19.00,"26,073714","4,363485","19,383282","0,5","57,3","0,4"
09/03/2014 20.00,"26,998471","4,378711","20,284676","0,5","54,0","0,4"
09/03/2014 21.00,"31,760308","5,038922","24,034222","0,5","49,3","0,4"
09/03/2014 22.00,"30,147517","4,474719","23,286515","0,5","47,1","0,4"
09/03/2014 23.00,"24,621109","4,479371","17,752988","0,5","53,5","0,4"
10/03/2014 0.00,"18,324955","4,28947","11,747997","0,4","68,3","0,3"
10/03/2014 1.00,"16,996852","4,234911","10,503548","0,3","66,3","0,2"
10/03/2014 2.00,"15,801043","3,968881","9,715636","0,3","69,1","0,2"
10/03/2014 3.00,"15,222592","3,904594","9,235757","0,3","70,4","0,2"
10/03/2014 4.00,"15,109754","3,959577","9,038617","0,3","68,6","0,2"
10/03/2014 5.00,"15,425568","3,914744","9,423169","0,3","66,4","0,2"
10/03/2014 6.00,"21,291134","5,870424","12,29143","0,3","58,5","0,2"
10/03/2014 7.00,"34,877555","7,359601","23,593257","0,3","40,8","0,2"
10/03/2014 8.00,"45,98421","10,800228","29,515886","0,4","31,9","0,2"
10/03/2014 9.00,"64,38505","21,411825","31,975581","0,5","28,2","0,3"
10/03/2014 10.00,"44,232015","12,501711","25,342221","0,5","40,0","0,3"
10/03/2014 11.00,"32,606578","7,357908","21,398129","1,6","58,9","0,3"
10/03/2014 12.00,"35,035792","7,791847","23,119865","1,6","60,1","0,3"
10/03/2014 13.00,"34,758916","8,568789","21,621852","1,0","59,1","0,3"
10/03/2014 14.00,"33,419789","8,489699","21,065115","0,8","63,1","0,3"
10/03/2014 15.00,"28,21827","7,222568","17,561684","0,5","71,5","0,3"
10/03/2014 16.00,"27,846692","7,09061","17,708703","0,6","68,9","0,2"
10/03/2014 17.00,"29,793452","5,205984","21,811216","0,5","57,0","0,3"
10/03/2014 18.00,"38,976674","5,924138","29,893315","0,8","50,7","0,4"
10/03/2014 19.00,"46,87849","6,812315","36,433313","1,1","43,5","0,5"
10/03/2014 20.00,"69,108626","13,333634","48,664433","1,2","23,5","0,7"
10/03/2014 21.00,"58,321676","9,591461","43,6153","1,5","25,8","0,8"
10/03/2014 22.00,"56,476749","9,876524","41,333272","1,2","22,5","0,9"
10/03/2014 23.00,"46,730636","7,715295","34,900939","1,3","24,7","0,9"
11/03/2014 0.00,"36,278325","6,126727","26,884325","1,0","33,4","0,8"
11/03/2014 1.00,"31,650042","5,363319","23,426589","0,9","31,3","0,6"
11/03/2014 2.00,"26,112624","4,963639","18,501991","0,7","32,9","0,5"
11/03/2014 3.00,"21,038863","4,555923","14,053368",,"42,3","0,4"
11/03/2014 4.00,"19,917628","4,489944","13,033297","0,5",,"0,3"
11/03/2014 5.00,"18,889787","4,425658","12,104015","0,6","42,1","0,3"
11/03/2014 6.00,"20,590767","4,537314","13,633797","0,6","41,7","0,3"
11/03/2014 7.00,"23,686638","4,598218","16,636294","0,5","37,3","0,3"
11/03/2014 8.00,"29,475678","5,138736","21,596556","0,4","39,6","0,3"
11/03/2014 9.00,"42,946062","8,32729","30,177994","0,7","32,8","0,3"
11/03/2014 10.00,"41,662688","7,671732","29,899798","0,6","33,3","0,4"
11/03/2014 11.00,"32,855577","5,895801","23,81568","0,6","44,3","0,4"
11/03/2014 12.00,"27,987415","4,818993","20,598549","0,5","55,7","0,3"
11/03/2014 13.00,"28,17871","5,002126","20,510348","0,5","56,3","0,3"
11/03/2014 14.00,"28,196875","5,122665","20,342398","0,5","59,5","0,3"
11/03/2014 15.00,"25,398643","4,520819","18,466972","0,5","60,1","0,3"
11/03/2014 16.00,"24,886343","4,546195","17,915758","0,6","61,2","0,3"
11/03/2014 17.00,"27,303895","4,772893","19,985714","0,6","59,8","0,3"
11/03/2014 18.00,"30,438045","4,773315","23,119216","0,6","54,5","0,4"
11/03/2014 19.00,"37,295147","5,110822","29,458833","0,7","45,4","0,5"
11/03/2014 20.00,"41,047293","5,379813","32,798544","0,7","42,6","0,5"
11/03/2014 21.00,"37,297747","4,924728","29,746761","0,6","46,8","0,6"
11/03/2014 22.00,"29,857638","4,760627","22,558272","0,6","54,7","0,5"
11/03/2014 23.00,"26,979657","4,378288","20,266511","0,5","54,3","0,4"
12/03/2014 0.00,"23,695721","4,429886","16,903469","0,5","54,0","0,3"
12/03/2014 1.00,"21,484378","4,391822","14,750493","0,4","54,3","0,3"
12/03/2014 2.00,"22,470071","4,285241","15,899612","0,4","48,5","0,2"
12/03/2014 3.00,"22,109525","4,383363","15,388604","0,4","47,8","0,2"
12/03/2014 4.00,"20,318402","4,283548","13,750524","0,4","50,0","0,2"
12/03/2014 5.00,"20,071966","4,291585","13,491779","0,4","51,1","0,2"
12/03/2014 6.00,"19,535667","4,192193","13,107875","0,3","52,5","0,2"
12/03/2014 7.00,"22,708077","4,531392","15,760187","0,4","49,5","0,2"
12/03/2014 8.00,"28,545108","5,137045","20,668585","0,4","44,8","0,2"
12/03/2014 9.00,"34,880826","7,236948","23,784553","0,5","46,8","0,3"
12/03/2014 10.00,"29,747412","5,767226","20,904622","0,4","54,7","0,3"
12/03/2014 11.00,"24,630192","4,774583","17,309424","0,4","65,5","0,2"
12/03/2014 12.00,"22,839719","4,87186","15,595993","0,4","73,1","0,2"
12/03/2014 13.00,"25,079588","5,080793","17,289321","0,4","76,0","0,2"
12/03/2014 14.00,"23,824763","4,921768","16,278328","0,4","77,6","0,2"
12/03/2014 15.00,"22,099144","4,268747","15,553969","0,4","78,4","0,3"
12/03/2014 16.00,"24,943416","5,455943","16,655099","0,4","77,7","0,2"
12/03/2014 17.00,"25,353904","4,836756","17,94559","0,5","74,1","0,3"
12/03/2014 18.00,"26,807157","4,363908","20,116075","0,5","72,8","0,3"
12/03/2014 19.00,"33,629249","4,313155","27,015967","0,6","63,0","0,3"
12/03/2014 20.00,"38,527929","4,874398","31,05411","0,6","55,2","0,4"
12/03/2014 21.00,"37,028614","4,569457","30,022357","0,6","52,8","0,5"
12/03/2014 22.00,"38,4112","4,831681","31,002868","0,8","50,6","0,5"
12/03/2014 23.00,"35,941086","4,972944","28,316184","0,8","50,4","0,6"
13/03/2014 0.00,"31,580675","4,786003","24,2424","0,7","50,8","0,5"
13/03/2014 1.00,"25,148325","4,44765","18,328846","0,5","62,4","0,4"
13/03/2014 2.00,"22,534927","4,252251","16,015042","0,5","66,1","0,3"
13/03/2014 3.00,"21,349487","4,341069","14,693425",,"67,1","0,3"
13/03/2014 4.00,"22,777464","4,616404","15,69923","0,4",,"0,3"
13/03/2014 5.00,"21,653629","4,540697","14,691478","0,4","50,3","0,2"
13/03/2014 6.00,"23,110783","4,504748","16,203752","0,4","49,1","0,2"
13/03/2014 7.00,"29,216296","4,546195","22,245699","0,5","46,3","0,3"
13/03/2014 8.00,"35,551344","5,158614","27,641764","0,5","49,3","0,3"
13/03/2014 9.00,"33,087101","6,154641","23,65033","0,6","57,8","0,3"
13/03/2014 10.00,"30,467222","5,221633","22,46099","0,5","63,6","0,3"
13/03/2014 11.00,"26,852548","4,787694","19,511673","0,5","70,2","0,3"
13/03/2014 12.00,"24,799442","4,681114","17,625237","0,6","80,1","0,3"
13/03/2014 13.00,"25,573745","4,98394","17,93197","0,6","81,5","0,3"
13/03/2014 14.00,"25,790986","5,354436","17,58114","0,7","85,0","0,3"
13/03/2014 15.00,"22,285258","4,294969","15,699877","0,5","86,3","0,3"
13/03/2014 16.00,"23,497925","4,509823","16,583117","0,6","83,9","0,3"
13/03/2014 17.00,"28,311002","5,338364","20,169898","0,6","76,7","0,3"
13/03/2014 18.00,"29,091136","4,596948","22,04272","0,7","69,8","0,3"
13/03/2014 19.00,"38,696526","5,408149","30,404318","0,9","59,0","0,4"
13/03/2014 20.00,"52,441207","6,017185","43,215156","1,0","47,7","0,5"
13/03/2014 21.00,"54,140249","6,210046","44,630189","1,1","45,7","0,6"
13/03/2014 22.00,"49,82911","5,584093","41,267114","1,0","44,3","0,7"
13/03/2014 23.00,"39,232825","5,069797","31,459417","0,9","52,0","0,7"
14/03/2014 0.00,"35,592203","4,784311","28,256529","0,8","52,9","0,6"
14/03/2014 1.00,"34,553339","4,937417","26,982908","0,8","40,5","0,5"
14/03/2014 2.00,"30,431563","5,122665","22,577086","0,8","33,4","0,5"
14/03/2014 3.00,"25,46803","4,814763","18,085663","0,7","36,5","0,5"
14/03/2014 4.00,"24,205423","4,862133","16,750427","0,7","36,4","0,4"
14/03/2014 5.00,"23,652261","4,857057","16,20505","0,6","32,9","0,4"
14/03/2014 6.00,"25,107466","4,924728","17,556496","0,6","33,9","0,4"
14/03/2014 7.00,"31,391961","5,439871","23,051129","0,7","26,1","0,4"
14/03/2014 8.00,"47,368748","8,869078","33,769974","0,7","28,3","0,5"
14/03/2014 9.00,"55,03256","11,386424","37,573993","0,9","33,3","0,6"
14/03/2014 10.00,"40,981118","7,192538","29,952971","0,7","45,4","0,6"
14/03/2014 11.00,"37,145991","7,167585","26,188511","0,7","66,7","0,4"
14/03/2014 12.00,"36,384671","8,205906","24,458686","0,6","75,1","0,4"
14/03/2014 13.00,"36,882058","6,630027","26,716374","0,5","79,2","0,3"
14/03/2014 14.00,"36,395703","6,108541","27,029599","0,6","84,6","0,3"
14/03/2014 15.00,"30,764233","5,274501","22,67695","0,5","88,6","0,3"
14/03/2014 16.00,"38,304836","6,957807","27,672892","0,6","85,0","0,3"
14/03/2014 17.00,"44,275456","7,78508","32,833302","0,6","78,7","0,3"
14/03/2014 18.00,"49,303194","6,837691","38,819086","0,7","64,8","0,3"
14/03/2014 19.00,"44,071178","5,403498","35,786121","0,8","61,6","0,5"
14/03/2014 20.00,"72,937943","11,820362","54,814037","0,9","48,0","0,5"
14/03/2014 21.00,"71,892595","11,124624","54,835433","1,0","43,2","0,7"
14/03/2014 22.00,"76,9923","12,072435","58,481882","1,2","33,9","0,8"
14/03/2014 23.00,"88,753911","23,573051","52,609826","1,4","11,9","0,8"
15/03/2014 0.00,"75,054604","22,197648","41,019417","1,2","14,3","0,9"
15/03/2014 1.00,"67,670286","20,299065","36,546139","1,2","14,4","0,8"
15/03/2014 2.00,"50,493796","14,734003","27,902447","1,2","13,1","0,8"
15/03/2014 3.00,"36,684263","11,543758","18,984466",,"19,6","0,8"
15/03/2014 4.00,"33,271935","9,403253","18,85412","1,0",,"0,7"
15/03/2014 5.00,"27,79157","7,623515","16,102588","0,8","24,2","0,6"
15/03/2014 6.00,"30,743467","7,402318","19,393644","0,8","20,3","0,6"
15/03/2014 7.00,"60,459121","21,454111","27,977568","0,8","16,7","0,5"
15/03/2014 8.00,"62,134149","20,730863","30,347893","0,8","15,2","0,6"
15/03/2014 9.00,"76,747815","23,534556","40,689329","1,0","20,5","0,6"
15/03/2014 10.00,"72,743398","23,186056","40,900584","0,9","37,2","0,7"
15/03/2014 11.00,"41,501891","12,487333","23,750156","0,7","71,5","0,6"
15/03/2014 12.00,"35,205042","10,280432","20,556466","0,6","104,4","0,4"
15/03/2014 13.00,"35,911259","7,468296","24,735237","0,6","87,1","0,4"
15/03/2014 14.00,"32,581283","7,734326","21,093987","0,5","90,8","0,3"
15/03/2014 15.00,"24,220335","5,344285","16,155115","0,5","89,4","0,3"
15/03/2014 16.00,"20,258079","6,352577","10,60212","0,5","100,2","0,3"
15/03/2014 17.00,"23,322192","6,762832","12,981418","0,6","93,1","0,3"
15/03/2014 18.00,"36,297121","9,670975","21,804083","0,7","83,2","0,4"
15/03/2014 19.00,"51,725928","10,960522","34,932028","0,8","51,5","0,4"
15/03/2014 20.00,"53,565042","11,707437","35,61427","0,9","39,5","0,6"
15/03/2014 21.00,"52,188287","12,539782","32,96131","0,9","34,9","0,7"
15/03/2014 22.00,"44,627589","8,316717","31,875734","0,9","34,7","0,6"
15/03/2014 23.00,"36,686193","7,761818","24,852615","0,8","38,2","0,6"
16/03/2014 0.00,"32,300505","6,297596","22,644524","0,7","42,3","0,6"
16/03/2014 1.00,"30,622859","5,758346","21,793702","0,7","41,6","0,5"
16/03/2014 2.00,"29,347938","5,201331","21,372832","0,6","39,9","0,4"
16/03/2014 3.00,"29,442619","4,923036","21,894215","0,6","38,8","0,4"
16/03/2014 4.00,"24,928484","4,85748","17,480623","0,6","37,4","0,3"
16/03/2014 5.00,"24,093895","4,909503","16,566256","0,5","33,7","0,3"
16/03/2014 6.00,"25,316945","5,058377","17,561036","0,5","30,4","0,3"
16/03/2014 7.00,"33,113698","6,376686","23,336457","0,6","27,7","0,3"
16/03/2014 8.00,"33,213563","6,109387","23,846157","0,6","36,2","0,3"
16/03/2014 9.00,"31,956155","5,805715","23,05436","0,6","47,4","0,4"
16/03/2014 10.00,"27,168372","5,259275","19,104436","0,6","54,6","0,4"
