Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
04/01/2014 9.00,"49,248721","22,918762","14,324436","0,8","13,4","1,1"
04/01/2014 10.00,"41,943485","18,788736","13,856456","0,8","27,6","1,3"
04/01/2014 11.00,"26,56722","11,27519","10,380898","0,7","51,4","1,1"
04/01/2014 12.00,"30,871858","13,677495","12,367906","0,6","53,9","1,0"
04/01/2014 13.00,"24,668451","10,062619","9,579455","0,6","64,5","0,8"
04/01/2014 14.00,"19,892333","8,587822","7,462792","0,5","73,8","0,8"
04/01/2014 15.00,"16,496869","7,319845","6,129501","0,5","81,2","0,6"
04/01/2014 16.00,"13,31604","6,452392","3,997925","0,4","83,0","0,4"
04/01/2014 17.00,"18,037025","7,601101","6,934082","0,5","74,8","0,4"
04/01/2014 18.00,"19,868337","7,110911","9,126163","0,5","67,2","0,5"
04/01/2014 19.00,"19,182886","7,558384","7,910896","0,5","60,0","0,5"
04/01/2014 20.00,"15,445668","6,819928","5,575694","0,5","65,6","0,4"
04/01/2014 21.00,"15,314675","6,053558","6,297461","0,5","65,9","0,4"
04/01/2014 22.00,"14,751789","5,934712","5,761162","0,5","70,6","0,4"
04/01/2014 23.00,"12,773903","5,280844","4,743685","0,4","68,2","0,4"
05/01/2014 0.00,"9,693589","5,186106","2,187995","0,4","90,7","0,3"
05/01/2014 1.00,"9,596314","4,811802","2,438312","0,4","90,8","0,2"
05/01/2014 2.00,"9,456243","4,733981","2,358547","0,4","92,0","0,2"
05/01/2014 3.00,"9,072987","4,71368","2,026523","0,4","93,5","0,2"
05/01/2014 4.00,"8,652119","4,469643","1,872831","0,4","95,0","0,2"
05/01/2014 5.00,"8,596348","4,357987","2,037548","0,4","95,2","0,2"
05/01/2014 6.00,"8,294152","4,53393","1,46169","0,4","93,6","0,2"
05/01/2014 7.00,"9,603448","4,573687","2,676307","0,4","90,6","0,2"
05/01/2014 8.00,"9,593721","4,864248","2,503162","0,4","89,6","0,2"
05/01/2014 9.00,"10,510034","5,317218","2,935054","0,4","91,9","0,2"
05/01/2014 10.00,"10,486689","5,11336","2,938945","0,4","89,8","0,2"
05/01/2014 11.00,"10,734411","5,236436","3,049187","0,4","91,2","0,2"
05/01/2014 12.00,"10,360881","5,062607","2,901332","0,4","91,7","0,2"
05/01/2014 13.00,"10,978889","5,633577","3,023249","0,4","92,2","0,2"
05/01/2014 14.00,"9,781134","4,900197","2,729483","0,4","93,0","0,2"
05/01/2014 15.00,"9,185823","4,86171","2,064784","0,4","95,3","0,2"
05/01/2014 16.00,"10,002268","4,92938","2,800168","0,4","91,8","0,2"
05/01/2014 17.00,"9,628092","4,833373","2,590706","0,4","94,6","0,2"
05/01/2014 18.00,"16,240067","5,426759","8,163806","0,5","81,2","0,2"
05/01/2014 19.00,"23,73658","6,361036","13,983331","0,7","59,9","0,5"
05/01/2014 20.00,"27,188466","7,756743","15,405465","0,8","49,6","0,7"
05/01/2014 21.00,"28,7656","8,438101","15,862647","0,7","45,3","0,8"
05/01/2014 22.00,"24,208023","8,457556","11,260334","0,6","52,4","0,6"
05/01/2014 23.00,"24,136685","8,135699","11,66888","0,6","52,6","0,5"
06/01/2014 0.00,"27,357086","8,45375","14,395121","0,7","36,3","0,5"
06/01/2014 1.00,"26,641138","9,217159","12,508671","0,6","31,9","0,6"
06/01/2014 2.00,"25,187885","9,211237","11,064491","0,6","32,1","0,5"
06/01/2014 3.00,"23,217128","8,945207","9,501636",,"32,6","0,4"
06/01/2014 4.00,"23,312461","9,242113","9,141727","0,5",,"0,4"
06/01/2014 5.00,"22,662036","9,022606","8,827859","0,5","29,7","0,3"
06/01/2014 6.00,"23,377965","9,536903","8,755227","0,5","23,6","0,3"
06/01/2014 7.00,"24,647706","10,366291","8,762361","0,5","28,0","0,4"
06/01/2014 8.00,"25,739744","10,255902","10,021075","0,5","34,1","0,3"
06/01/2014 9.00,"31,866004","10,821798","15,273172","0,6","29,6","0,4"
06/01/2014 10.00,"34,395752","11,230359","17,176483","0,7","32,5","0,5"
06/01/2014 11.00,"35,578571","10,513473","19,4585","0,9","35,1","0,8"
06/01/2014 12.00,"25,395394","8,542567","12,297265","0,6","48,6","0,7"
06/01/2014 13.00,"24,32865","7,721216","12,489867","0,6","52,6","0,5"
06/01/2014 14.00,"25,405777","7,394282","14,100707","0,6","52,0","0,5"
06/01/2014 15.00,"22,63869","6,648215","12,44512","0,6","57,5","0,6"
06/01/2014 16.00,"23,863671","6,41475","14,028078","0,7","53,3","0,6"
06/01/2014 17.00,"26,327283","6,86053","15,808176","0,7","46,4","0,7"
06/01/2014 18.00,"33,276468","7,79946","21,31771","0,9","33,9","0,8"
06/01/2014 19.00,"34,64284","8,308681","21,903298","0,9","31,5","1,0"
06/01/2014 20.00,"39,605051","8,908835","25,945323","1,2","27,1","1,2"
06/01/2014 21.00,"38,531809","9,435819","24,064067","1,1","25,3","1,4"
06/01/2014 22.00,"40,602429","9,915857","25,398643","1,3","22,4","1,3"
06/01/2014 23.00,"34,181109","9,411711","19,750328","1,1","24,6","1,2"
07/01/2014 0.00,"31,200017","8,927443","17,511751","1,0","27,5","0,9"
07/01/2014 1.00,"26,250765","8,025733","13,94507","0,8","31,9","0,8"
07/01/2014 2.00,"23,532302","6,928201","12,909438","0,7","37,3","0,6"
07/01/2014 3.00,"21,928594","6,592808","11,819978","0,7","35,6","0,5"
07/01/2014 4.00,"21,635466","6,493417","11,679257","0,6","33,8","0,4"
07/01/2014 5.00,"20,504517","6,424055","10,654647","0,5","33,6","0,4"
07/01/2014 6.00,"21,872821","6,579697","11,784311","0,5","29,0","0,3"
07/01/2014 7.00,"24,357178","7,118947","13,441845","0,5","26,4","0,3"
07/01/2014 8.00,"31,764841","9,267912","17,554551","0,6","19,5","0,4"
07/01/2014 9.00,"41,664008","14,020494","20,166647","0,9","17,8","0,6"
07/01/2014 10.00,"36,074678","11,927366","17,786709","0,9","25,7","0,8"
07/01/2014 11.00,"29,860889","9,907821","14,669431","0,7","35,5","0,8"
07/01/2014 12.00,"26,167097","8,394539","13,295935","0,6","43,0","0,6"
07/01/2014 13.00,"26,176177","7,892506","14,074769","0,6","46,0","0,6"
07/01/2014 14.00,"26,030923","7,795653","14,078012","0,7","48,9","0,6"
07/01/2014 15.00,"23,043347","6,925664","12,424369","0,7","53,1","0,6"
07/01/2014 16.00,"24,453161","6,922703","13,838719","0,7","48,3","0,6"
07/01/2014 17.00,"30,904935","7,918306","18,763979","0,9","37,5","0,7"
07/01/2014 18.00,"42,649701","10,294813","26,86488","1,1","25,0","1,0"
07/01/2014 19.00,"48,334995","11,552641","30,621539","1,2","19,0","1,2"
07/01/2014 20.00,"55,88271","14,909519","33,022268","1,6","17,5","1,6"
07/01/2014 21.00,"56,60254","15,315118","33,12016","1,8","16,2","1,9"
07/01/2014 22.00,"48,312301","14,162603","26,597048","1,6","15,8","2,0"
07/01/2014 23.00,"41,220424","12,640016","21,839742","1,4","17,6","1,7"
08/01/2014 0.00,"34,301068","11,364432","16,876235","1,3","19,2","1,4"
08/01/2014 1.00,"30,358927","10,713525","13,932101","1,2","18,3","1,3"
08/01/2014 2.00,"26,479019","9,678588","11,639049","1,0","24,2","1,0"
08/01/2014 3.00,"23,983649","9,128763","9,986705",,"22,6","0,9"
08/01/2014 4.00,"23,092619","8,512539","10,04053","0,7",,"0,7"
08/01/2014 5.00,"22,227535","8,458402","9,258454","0,7","26,4","0,6"
08/01/2014 6.00,"22,172411","8,066759","9,803832","0,6","25,2","0,5"
08/01/2014 7.00,"24,879861","8,23805","12,248629","0,6","22,6","0,5"
08/01/2014 8.00,"31,080688","9,474307","16,553935","0,7","18,6","0,5"
