Stat,Lendinuso,,,,,  ,
,,,,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
,,,,,,,
,,,,,,,
,,,,,,
01/01/2014 1.00,"7,1","5,0","7,0",,,,
01/01/2014 2.00,"7,0","4,3","6,1","13,4",,,
01/01/2014 3.00,"7,2","5,2","7,6",,,,
01/01/2014 4.00,"6,9","5,4","8,4","14,9",,,
01/01/2014 5.00,"7,2","5,3","9,1",,,,
01/01/2014 6.00,"6,7","9,2","19,3","16,8",,,
01/01/2014 7.00,"6,2","5,8","11,7",,,,
01/01/2014 8.00,"5,4","5,3","11,8","16,8",,,
01/01/2014 9.00,"7,2","10,1","24,8",,,,
01/01/2014 10.00,"6,9","7,6","17,8","14,2",,,
01/01/2014 11.00,"6,8","4,5","9,1",,,, 
01/01/2014 12.00,"6,8","6,0","11,6","9,5",,,
01/01/2014 13.00,"7,0","5,0","9,4",,,,
01/01/2014 14.00,"7,1","3,8","6,7","6,3",,,
01/01/2014 15.00,"7,2","9,7","21,5",,,,
01/01/2014 16.00,"7,0","10,2","22,0","10,3",,,
01/01/2014 17.00,"7,0","9,4","18,4",,,,
01/01/2014 18.00,"6,8","6,7","16,7","15,9",,,
01/01/2014 19.00,"6,9","9,3","24,1",,,,
01/01/2014 20.00,"7,1","14,5","30,9","19,5",,,
01/01/2014 21.00,"7,2","13,5","29,5",,,,
01/01/2014 22.00,"6,6","12,4","29,6","16,6",,,
01/01/2014 23.00,"6,8","14,6","36,5",,,,
02/01/2014 0.00,"6,7","10,3","21,5","16,8",,,
02/01/2014 1.00,"6,9",,,,,,
02/01/2014 2.00,,"9,9","21,4","15,4",,,
02/01/2014 3.00,"6,6","7,9","19,1",,,,
02/01/2014 4.00,"6,7","8,1","15,9","16,4",,,
02/01/2014 5.00,"7,0","10,5","21,7",,,,
02/01/2014 6.00,"7,4","14,6","34,4","9,3",,,
02/01/2014 7.00,"6,7","12,9","30,5",,,,
02/01/2014 8.00,"7,1","11,0","31,1","18,3",,,
02/01/2014 9.00,"7,2","19,9","48,3",,,,
02/01/2014 10.00,"7,2","18,9","33,7","16,1",,,
