,Regione Puglia,,
,Fz. Giorgilorio - Surbo,,
Parm,SO2,NO2,CO



01/01/2006 1.00,"1,17417125","11,94820846","1,23189081"
01/01/2006 2.00,"1,15741617","14,53876387","1,2079652"
01/01/2006 3.00,"1,31217917","18,50635125","1,17132479"
01/01/2006 4.00,"1,17196639","20,68158776","1,11693327"
01/01/2006 5.00,"1,06173681","11,71588325","1,05141134"
01/01/2006 6.00,"1,08995551","8,21682956","1,05258915"
01/01/2006 7.00,"1,30909257","7,02797664","0,98800155"
01/01/2006 8.00,"1,23105002","6,72687297","1,04470793"
01/01/2006 9.00,"1,14286595","5,58863834","0,99754756"
01/01/2006 10.00,"1,3725849","5,58734009","1,02858083"
01/01/2006 11.00,"1,34216134","6,62044531","1,04328663"
01/01/2006 12.00,"1,19930335","6,92155281","1,01773585"
01/01/2006 13.00,"1,20283031","7,96893494","1,033821"
01/01/2006 14.00,"1,35274323","8,20514724","1,02439732"
01/01/2006 15.00,"1,19313016","6,39591342","0,98865162"
01/01/2006 16.00,"1,18387139","4,7203609","0,96496834"
01/01/2006 17.00,"1,29542409","5,91180649","1,03264319"
01/01/2006 18.00,"1,28440083","7,61461648","1,03337481"
01/01/2006 19.00,"1,29410097","9,95467886","1,02703721"
01/01/2006 20.00,"1,23766358","12,54132998","1,05478285"
01/01/2006 21.00,"1,08907377","11,4459337","1,04864912"
01/01/2006 22.00,"1,09304211","10,52055056","1,04145874"
01/01/2006 23.00,"1,19621676","6,99163717","0,98661986"
02/01/2006 0.00,"1,2076814","5,9403603","0,9961251"
02/01/2006 1.00,,"5,19148917","0,99380908"
02/01/2006 2.00,"1,30584427",,"0,97650417"
02/01/2006 3.00,"1,35762686","4,44131788",
02/01/2006 4.00,"1,33244391","3,39782858","1,2595048"
02/01/2006 5.00,"1,40510144","3,56395653","1,25533527"
02/01/2006 6.00,"1,52442401","4,18823409","1,23546503"
02/01/2006 7.00,"1,40362679","5,15774428","1,23056737"
