Stat,Via Cappuccini,,,,,,  ,
,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,
04/01/2014 20.00,"5,5","37,0","51,0","1,3","12,2",,,
04/01/2014 21.00,"5,0","30,8","43,4","1,2",,,,
04/01/2014 22.00,"4,9","24,0","33,6","1,2","17,6",,,
04/01/2014 23.00,"4,6","16,7","21,7","1,1",,,,
05/01/2014 0.00,"4,5","13,2","18,0","1,1","22,5",,,
05/01/2014 1.00,"4,5","14,4","21,0","1,0",,,,
05/01/2014 2.00,"4,1","9,3","13,2","1,0","23,0",,,
05/01/2014 3.00,"4,4","7,2","10,7","0,9",,,,
05/01/2014 4.00,"4,3","7,1","10,6","0,9","14,2",,,
05/01/2014 5.00,"4,2","5,7","8,3","0,9",,,,
05/01/2014 6.00,"4,1","8,7","12,5","0,9","19,8",,,
05/01/2014 7.00,"4,2","10,0","14,3","0,9",,,,
05/01/2014 8.00,"4,1","8,9","12,7","1,0","12,5",,,
05/01/2014 9.00,"4,2","8,5","13,4","0,9",,,,
05/01/2014 10.00,"4,1","10,5","16,0","1,0","12,7",,,
05/01/2014 11.00,"4,3","11,4","17,9","1,0",,,,
05/01/2014 12.00,"4,1","14,1","22,4","1,0","18,3",,,
05/01/2014 13.00,"4,1","11,6","18,9","1,0",,,,
05/01/2014 14.00,"4,1","11,2","17,1","1,0","14,2",,,
05/01/2014 15.00,"4,1","8,1","12,5","1,0",,,,
05/01/2014 16.00,"4,2","9,6","15,6","1,0","13,2",,,
05/01/2014 17.00,"4,2","11,0","17,1","1,0",,,,
05/01/2014 18.00,"4,2","15,7","26,0","1,0","11,2",,,
05/01/2014 19.00,"4,2","38,2","57,4","1,1",,,,
05/01/2014 20.00,"3,9","35,0","54,5","1,1","17,3",,,
05/01/2014 21.00,"4,3","38,4","56,4","1,2",,,,
05/01/2014 22.00,"4,3","31,9","41,0","1,1","11,7",,,
05/01/2014 23.00,"4,3","35,6","49,9","1,1",,,,
06/01/2014 0.00,"4,3","31,2","41,9","1,0","7,1",,,
06/01/2014 1.00,,"24,1","31,6","1,1",,,,
06/01/2014 2.00,"4,1",,,"1,0","5,4",,,
06/01/2014 3.00,"4,2","13,4","17,5",,,,,
06/01/2014 4.00,"4,1","18,3","24,4","1,0","6,6",,,
06/01/2014 5.00,"4,2","11,0","16,2","1,0",,,,
06/01/2014 6.00,"4,0","21,1","28,0","1,0","7,3",,,
06/01/2014 7.00,"5,3","19,1","26,0","1,1",,,,
06/01/2014 8.00,"4,6","24,9","33,2","1,1","5,4",,,
06/01/2014 9.00,"4,7","41,8","68,2","1,3",,,,
06/01/2014 10.00,"5,2","48,3","75,3","1,2","14,4",,,
06/01/2014 11.00,"5,5","34,6","54,6","1,2",,,,
06/01/2014 12.00,"4,7","23,5","36,4","1,1","12,7",,,
06/01/2014 13.00,"4,8","19,4","31,7","1,1",,,,
06/01/2014 14.00,"4,3","12,8","20,8","1,0","6,8",,,
06/01/2014 15.00,"4,1","9,7","14,6","0,9",,,,
06/01/2014 16.00,"4,3","13,3","20,4","1,0","5,4",,,
06/01/2014 17.00,"4,3","14,1","20,6","1,0",,,,
06/01/2014 18.00,"5,7","53,9","85,2","1,2","4,4",,,
06/01/2014 19.00,"4,4","17,9","24,9","1,0",,,,
06/01/2014 20.00,"5,5","71,3","139,7","1,6","8,8",,,
06/01/2014 21.00,"6,7","70,3","172,8","1,6",,,,
06/01/2014 22.00,"5,1","51,5","87,2","1,2","11,2",,,
06/01/2014 23.00,"4,9","37,0","52,6","1,1",,,,
07/01/2014 0.00,"4,7","35,4","49,7","1,1","9,8",,,
07/01/2014 1.00,"4,7","16,8","21,9","1,0",,,,
07/01/2014 2.00,"4,3","12,4","16,5","1,0","12,0",,,
07/01/2014 3.00,"4,5","10,1","13,3","0,9",,,,
07/01/2014 4.00,"4,4","10,0","12,9","0,9","12,2",,,
07/01/2014 5.00,"4,4","11,1","14,6","0,9",,,,
07/01/2014 6.00,"4,7","19,0","25,3","1,0","11,7",,,
07/01/2014 7.00,"4,6","35,9","54,8","1,0",,,,
07/01/2014 8.00,"6,3","46,1","93,5","1,3","7,1",,,
07/01/2014 9.00,"5,3","45,8","97,5","1,4",,,,
07/01/2014 10.00,"4,9","24,0","40,4","1,1","8,5",,,
07/01/2014 11.00,"4,5","15,4","26,8","1,0",,,,
07/01/2014 12.00,"4,5","14,2","24,4","1,0","15,4",,,
07/01/2014 13.00,"4,7","12,5","21,1","1,0",,,,
07/01/2014 14.00,"4,5","12,5","21,1","1,0",,,,
07/01/2014 15.00,"4,3","15,7","23,9","1,0",,,,
07/01/2014 16.00,"3,7","18,7","26,9","1,0",,,,
07/01/2014 17.00,"3,6","30,7","42,5","1,1",,,,
07/01/2014 18.00,"4,3","74,7","132,1","1,5",,,,
07/01/2014 19.00,"5,7","85,7","220,2","1,8",,,,
07/01/2014 20.00,"5,2","75,0","200,8","1,6",,,,
07/01/2014 21.00,"5,1","66,9","147,9","1,6",,,,
07/01/2014 22.00,"4,4","44,5","74,5","1,1",,,,
07/01/2014 23.00,"3,9","46,2","67,2","1,1",,,,
08/01/2014 0.00,"4,1","28,4","38,1","1,1",,,,
08/01/2014 1.00,,"22,5","32,2","1,2",,,,
08/01/2014 2.00,"4,0",,,"1,2",,,,
08/01/2014 3.00,"4,2","12,0","16,7",,,,,
08/01/2014 4.00,"3,9","12,5","16,0","1,0",,,,
08/01/2014 5.00,"4,0","12,7","16,5","1,0",,,,
08/01/2014 6.00,"4,0","21,5","36,7","1,0",,,,
08/01/2014 7.00,"4,2","35,6","73,5","1,2",,,,
08/01/2014 8.00,"5,0","46,8","114,8","1,4",,,,
08/01/2014 9.00,"5,6","60,1","194,5","1,7",,,,
08/01/2014 10.00,"4,0","29,9","50,3","1,1",,,,
